% Please add the following required packages to your document preamble:
% \usepackage{multirow}
\begin{table}[]
\begin{tabular}{lllllll}
\multirow{3}{*}{Industry}                                                                                                                   & \multicolumn{6}{l}{2023}                                                                                                                                                                                                                 \\
                                                                                                                                            & \multirow{2}{*}{\begin{tabular}[c]{@{}l@{}}Total\\ employed\end{tabular}} & \multicolumn{5}{l}{Percent of total employed}                                                                                                                \\
                                                                                                                                            &                                                                           & Women & White & \begin{tabular}[c]{@{}l@{}}Black or\\ African\\ American\end{tabular} & Asian & \begin{tabular}[c]{@{}l@{}}Hispanic\\ or Latino\end{tabular} \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Miscellaneous nonmetallic mineral product manufacturing                                                                                     & 70                                                                        & 29.4  & 89.9  & 3.2                                                                   & 4.5   & 35.1                                                         \\
Primary metals and fabricated metal products manufacturing                                                                                  & 1632                                                                      & 17    & 87    & 6.2                                                                   & 3.3   & 16.7                                                         \\
Iron and steel mills and steel product manufacturing                                                                                        & 317                                                                       & 12.7  & 86.3  & 9.1                                                                   & 1.6   & 16                                                           \\
Aluminum production and processing                                                                                                          & 55                                                                        & 23.8  & 81.9  & 11.1                                                                  & 2.6   & 12.3                                                         \\
Nonferrous metal (except aluminum) production and processing                                                                                & 52                                                                        & 14.5  & 91.7  & 5.9                                                                   & 2     & 15.4                                                         \\
Foundries                                                                                                                                   & 62                                                                        & 12.1  & 86.9  & 5.2                                                                   & 5     & 14                                                           \\
Metal forgings and stampings                                                                                                                & 37                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Cutlery and hand tool manufacturing                                                                                                         & 46                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Structural metals, and boiler, tank, and shipping container manufacturing                                                                   & 320                                                                       & 19.1  & 88.3  & 4.6                                                                   & 3.3   & 17.6                                                         \\
Machine shops; turned product; screw, nut, and bolt manufacturing                                                                           & 255                                                                       & 16.9  & 89.8  & 2.8                                                                   & 5.2   & 11.9                                                         \\
Coating, engraving, heat treating, and allied activities                                                                                    & 60                                                                        & 20.8  & 91.8  & 0.2                                                                   & 1.1   & 36.9                                                         \\
Ordnance                                                                                                                                    & 51                                                                        & 10.7  & 78    & 5.1                                                                   & 11.1  & 13.5                                                         \\
Miscellaneous fabricated metal product manufacturing                                                                                        & 338                                                                       & 18.1  & 85.6  & 8                                                                     & 2.3   & 15.8                                                         \\
Not specified metal industries                                                                                                              & 38                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Machinery manufacturing                                                                                                                     & 1401                                                                      & 22    & 84.8  & 8.1                                                                   & 5.6   & 12.6                                                         \\
Agricultural implement manufacturing                                                                                                        & 148                                                                       & 20    & 91.4  & 4.1                                                                   & 3.1   & 9.3                                                          \\
Construction, and mining and oil and gas field machinery manufacturing                                                                      & 149                                                                       & 17.4  & 89.2  & 6.2                                                                   & 2.6   & 17.8                                                         \\
Commercial and service industry machinery manufacturing                                                                                     & 75                                                                        & 16    & 89.7  & 4.6                                                                   & 5.4   & 14.6                                                         \\
Metalworking machinery manufacturing                                                                                                        & 88                                                                        & 18.6  & 89.7  & 5.7                                                                   & 1.8   & 6.6                                                          \\
Engine, turbine, and power transmission equipment manufacturing                                                                             & 53                                                                        & 17.1  & 72.1  & 17.4                                                                  & 5.7   & 8.7                                                          \\
Machinery manufacturing, n.e.c. or not specified                                                                                            & 888                                                                       & 24.2  & 82.9  & 9                                                                     & 6.9   & 12.9                                                         \\
Computers and electronic products manufacturing                                                                                             & 1087                                                                      & 29.9  & 68.3  & 6.2                                                                   & 23    & 11.4                                                         \\
Computer and peripheral equipment manufacturing                                                                                             & 128                                                                       & 25.2  & 58    & 12                                                                    & 29.2  & 7.2                                                          \\
Communications, audio, and video equipment manufacturing                                                                                    & 91                                                                        & 28.5  & 76.1  & 6.6                                                                   & 17.1  & 12.9                                                         \\
Navigational, measuring, electromedical, and control instruments manufacturing                                                              & 177                                                                       & 36.4  & 85.6  & 5                                                                     & 6.4   & 12.9                                                         \\
Electronic component and product manufacturing, n.e.c.                                                                                      & 690                                                                       & 29.2  & 64.8  & 5.3                                                                   & 26.9  & 11.7                                                         \\
Electrical equipment and appliances manufacturing                                                                                           & 399                                                                       & 24.2  & 77.5  & 13.7                                                                  & 6.9   & 12.4                                                         \\
Household appliance manufacturing                                                                                                           & 63                                                                        & 26.6  & 71.9  & 24.9                                                                  & 1.2   & 12.9                                                         \\
Electrical lighting and electrical equipment manufacturing, and other electrical component manufacturing, n.e.c.                            & 336                                                                       & 23.7  & 78.6  & 11.6                                                                  & 7.9   & 12.3                                                         \\
Transportation equipment manufacturing                                                                                                      & 2699                                                                      & 24.6  & 75.2  & 13.7                                                                  & 7.8   & 14.8                                                         \\
Motor vehicles and motor vehicle equipment manufacturing                                                                                    & 1451                                                                      & 26.4  & 71.8  & 18                                                                    & 6.5   & 15                                                           \\
Aircraft and parts manufacturing                                                                                                            & 961                                                                       & 23.5  & 79.9  & 6.3                                                                   & 10.7  & 15.2                                                         \\
Aerospace products and parts manufacturing                                                                                                  & 44                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Railroad rolling stock manufacturing                                                                                                        & 24                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Ship and boat building                                                                                                                      & 186                                                                       & 18.1  & 71.3  & 21.2                                                                  & 4.3   & 14.4                                                         \\
Other transportation equipment manufacturing                                                                                                & 34                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Wood products manufacturing                                                                                                                 & 397                                                                       & 18.1  & 88.9  & 5.9                                                                   & 1     & 21.9                                                         \\
Sawmills and wood preservation                                                                                                              & 115                                                                       & 12.3  & 91.9  & 4.7                                                                   & 0.6   & 13.9                                                         \\
Veneer, plywood, and engineered wood products                                                                                               & 30                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Prefabricated wood buildings and mobile homes manufacturing                                                                                 & 33                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Miscellaneous wood products                                                                                                                 & 219                                                                       & 17.7  & 87.4  & 5                                                                     & 1.4   & 26.8                                                         \\
Furniture and related product manufacturing                                                                                                 & 376                                                                       & 28    & 90.7  & 5.4                                                                   & 1.7   & 20.7                                                         \\
Miscellaneous manufacturing                                                                                                                 & 1669                                                                      & 40.3  & 76.4  & 10.4                                                                  & 10.1  & 19                                                           \\
Medical equipment and supplies manufacturing                                                                                                & 716                                                                       & 44.4  & 74.9  & 8.8                                                                   & 13    & 14.2                                                         \\
Sporting and athletic goods, and doll, toy and game manufacturing                                                                           & 97                                                                        & 41.4  & 92.2  & 1.1                                                                   & 3.9   & 15                                                           \\
Miscellaneous manufacturing, n.e.c.                                                                                                         & 438                                                                       & 35.8  & 80.2  & 9.3                                                                   & 7.3   & 17.3                                                         \\
Not specified manufacturing industries                                                                                                      & 418                                                                       & 37.5  & 71.5  & 16.3                                                                  & 9.5   & 30.1                                                         \\
Nondurable goods manufacturing                                                                                                              & 5506                                                                      & 36.4  & 76.6  & 13                                                                    & 6.7   & 22                                                           \\
Food manufacturing                                                                                                                          & 1699                                                                      & 41.1  & 74.3  & 15                                                                    & 6.2   & 30.2                                                         \\
Animal food, grain, and oilseed milling                                                                                                     & 139                                                                       & 28.4  & 85.3  & 7.4                                                                   & 1.6   & 19.2                                                         \\
Sugar and confectionery products                                                                                                            & 77                                                                        & 35.7  & 86.1  & 9.3                                                                   & 2.6   & 28.3                                                         \\
Fruit and vegetable preserving and specialty food manufacturing                                                                             & 167                                                                       & 36.4  & 75.9  & 14.4                                                                  & 6.4   & 37.7                                                         \\
Dairy product manufacturing                                                                                                                 & 158                                                                       & 28.7  & 83.1  & 8.5                                                                   & 2.2   & 25.7                                                         \\
Animal slaughtering and processing                                                                                                          & 434                                                                       & 38.5  & 68.4  & 21                                                                    & 6.8   & 38.7                                                         \\
Retail bakeries                                                                                                                             & 209                                                                       & 66.5  & 77.6  & 8.8                                                                   & 9.5   & 25.5                                                         \\
Bakeries and tortilla manufacturing, except retail bakeries                                                                                 & 208                                                                       & 50.3  & 66.2  & 23.9                                                                  & 5.6   & 33.2                                                         \\
Seafood and other miscellaneous foods, n.e.c.                                                                                               & 226                                                                       & 35.2  & 73.4  & 13.5                                                                  & 7.5   & 23                                                           \\
Not specified food industries                                                                                                               & 81                                                                        & 42.8  & 71.1  & 13                                                                    & 10.3  & 22.8                                                         \\
Beverages and tobacco products manufacturing                                                                                                & 363                                                                       & 26.2  & 77.4  & 14                                                                    & 4.2   & 16.7                                                         \\
Beverage manufacturing                                                                                                                      & 345                                                                       & 27.1  & 77.1  & 14.4                                                                  & 3.9   & 16.6                                                         \\
Tobacco manufacturing                                                                                                                       & 18                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Textiles, apparel, and leather manufacturing                                                                                                & 419                                                                       & 56.6  & 76.7  & 14.8                                                                  & 6.8   & 27.9                                                         \\
Fiber, yarn, and thread mills                                                                                                               & 9                                                                         & –     & –     & –                                                                     & –     & –                                                            \\
Fabric mills, except knitting mills                                                                                                         & 78                                                                        & 46.7  & 78.7  & 15.2                                                                  & 5.5   & 15                                                           \\
Textile and fabric finishing and coating mills                                                                                              & 10                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Carpet and rug mills                                                                                                                        & 43                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Textile product mills, except carpet and rug                                                                                                & 56                                                                        & 55    & 83.6  & 12.5                                                                  & 3.1   & 25.6                                                         \\
Knitting fabric mills, and apparel knitting mills                                                                                           & 7                                                                         & –     & –     & –                                                                     & –     & –                                                            \\
Cut and sew, and apparel accessories and other apparel manufacturing                                                                        & 169                                                                       & 68.7  & 72.9  & 14.7                                                                  & 10.3  & 38                                                           \\
Footwear manufacturing                                                                                                                      & 30                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Leather and hide tanning and finishing, and other leather and allied product manufacturing                                                  & 16                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Paper manufacturing and printing                                                                                                            & 796                                                                       & 28.9  & 80    & 11.3                                                                  & 4.7   & 17.4                                                         \\
Pulp, paper, and paperboard mills                                                                                                           & 201                                                                       & 22.5  & 78.1  & 14.9                                                                  & 4     & 10.8                                                         \\
Paperboard container manufacturing                                                                                                          & 89                                                                        & 21.7  & 75    & 14.9                                                                  & 3.3   & 32.3                                                         \\
Miscellaneous paper and pulp products                                                                                                       & 71                                                                        & 27.2  & 76.9  & 15.8                                                                  & 7.1   & 12.6                                                         \\
Printing and related support activities                                                                                                     & 435                                                                       & 33.6  & 82.4  & 8.3                                                                   & 4.8   & 18.1                                                         \\
Petroleum and coal products manufacturing                                                                                                   & 231                                                                       & 13.4  & 80.1  & 8.9                                                                   & 6.3   & 24.3                                                         \\
Petroleum refining                                                                                                                          & 208                                                                       & 14    & 81.8  & 7.4                                                                   & 5.6   & 25.6                                                         \\
Miscellaneous petroleum and coal products                                                                                                   & 22                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Chemicals manufacturing                                                                                                                     & 1522                                                                      & 37.6  & 75.6  & 11.5                                                                  & 9.5   & 15.7                                                         \\
Resin, synthetic rubber, and fibers and filaments manufacturing                                                                             & 163                                                                       & 26.7  & 85.2  & 11.5                                                                  & 3     & 24                                                           \\
Agricultural chemical manufacturing                                                                                                         & 33                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Pharmaceutical and medicine manufacturing                                                                                                   & 708                                                                       & 47.3  & 68.1  & 12.2                                                                  & 15.6  & 12.5                                                         \\
Paint, coating, and adhesive manufacturing                                                                                                  & 62                                                                        & 17.8  & 81.4  & 8.8                                                                   & 3.7   & 23                                                           \\
Soap, cleaning compound, and cosmetics manufacturing                                                                                        & 161                                                                       & 49.6  & 72.5  & 14.8                                                                  & 6.8   & 20.3                                                         \\
Industrial and miscellaneous chemicals                                                                                                      & 395                                                                       & 23.2  & 83.9  & 10.3                                                                  & 3.9   & 14.5                                                         \\
Plastics and rubber products manufacturing                                                                                                  & 475                                                                       & 29.9  & 79.6  & 12.8                                                                  & 4.9   & 18                                                           \\
Plastics product manufacturing                                                                                                              & 363                                                                       & 31.8  & 82.2  & 9.9                                                                   & 4.9   & 20.1                                                         \\
Tire manufacturing                                                                                                                          & 57                                                                        & 22.5  & 64.8  & 32.1                                                                  & 0     & 9.6                                                          \\
Rubber product, except tire, manufacturing                                                                                                  & 56                                                                        & 25.1  & 77.7  & 11.8                                                                  & 10.2  & 12.5                                                         \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Wholesale and retail trade                                                                                                                  & 19787                                                                     & 45    & 77.6  & 12                                                                    & 6.4   & 18.9                                                         \\
Wholesale trade                                                                                                                             & 3259                                                                      & 31.7  & 82    & 8.7                                                                   & 5.8   & 19.2                                                         \\
Motor vehicle and motor vehicle parts and supplies merchant wholesalers                                                                     & 151                                                                       & 24.8  & 82.9  & 6.4                                                                   & 9     & 20.2                                                         \\
Furniture and home furnishing merchant wholesalers                                                                                          & 72                                                                        & 31.7  & 73.5  & 8.9                                                                   & 10.8  & 20.7                                                         \\
Lumber and other construction materials merchant wholesalers                                                                                & 151                                                                       & 22.3  & 89.7  & 6.2                                                                   & 1     & 18.8                                                         \\
Professional and commercial equipment and supplies merchant wholesalers                                                                     & 287                                                                       & 41.3  & 81.5  & 10.4                                                                  & 6.1   & 10.9                                                         \\
Metals and minerals, except petroleum, merchant wholesalers                                                                                 & 40                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Household appliances and electrical and electronic goods merchant wholesalers                                                               & 167                                                                       & 28.7  & 82.8  & 5.3                                                                   & 7.8   & 16.3                                                         \\
Hardware, and plumbing and heating equipment, and supplies merchant wholesalers                                                             & 188                                                                       & 23.9  & 88.6  & 5.4                                                                   & 1.5   & 15.9                                                         \\
Machinery, equipment, and supplies merchant wholesalers                                                                                     & 326                                                                       & 25.9  & 91.5  & 4.3                                                                   & 2.5   & 13.1                                                         \\
Recyclable material merchant wholesalers                                                                                                    & 58                                                                        & 14.8  & 84.6  & 7.4                                                                   & 0     & 34.3                                                         \\
Miscellaneous durable goods merchant wholesalers                                                                                            & 61                                                                        & 26.2  & 92.6  & 1.5                                                                   & 2.2   & 19.2                                                         \\
Paper and paper products merchant wholesalers                                                                                               & 30                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Drugs, sundries, and chemical and allied products merchant wholesalers                                                                      & 212                                                                       & 49.2  & 76.4  & 10.2                                                                  & 8.8   & 14.4                                                         \\
Apparel, piece goods, and notions merchant wholesalers                                                                                      & 91                                                                        & 47.3  & 77.6  & 11                                                                    & 7.6   & 31.9                                                         \\
Grocery and related product merchant wholesalers                                                                                            & 794                                                                       & 30.4  & 76.4  & 14.1                                                                  & 5.3   & 26.2                                                         \\
Farm product raw material merchant wholesalers                                                                                              & 51                                                                        & 30    & 90.7  & 4                                                                     & 5.3   & 9.7                                                          \\
Petroleum and petroleum products merchant wholesalers                                                                                       & 99                                                                        & 21.2  & 83.3  & 7.9                                                                   & 6.6   & 15.2                                                         \\
Alcoholic beverages merchant wholesalers                                                                                                    & 105                                                                       & 22.9  & 86.8  & 8.9                                                                   & 3.6   & 12.7                                                         \\
Farm supplies merchant wholesalers                                                                                                          & 37                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Miscellaneous nondurable goods merchant wholesalers                                                                                         & 153                                                                       & 44.6  & 79.9  & 6.3                                                                   & 6.3   & 24.4                                                         \\
Wholesale electronic markets and agents and brokers                                                                                         & 87                                                                        & 34    & 87.2  & 4.6                                                                   & 8.3   & 16.4                                                         \\
Not specified wholesale trade                                                                                                               & 99                                                                        & 41.2  & 68.2  & 10.1                                                                  & 20.2  & 21.5                                                         \\
Retail trade                                                                                                                                & 16528                                                                     & 47.7  & 76.7  & 12.7                                                                  & 6.5   & 18.8                                                         \\
Automobile dealers                                                                                                                          & 1314                                                                      & 21.7  & 82.7  & 9.8                                                                   & 4.5   & 15.8                                                         \\
Other motor vehicle dealers                                                                                                                 & 175                                                                       & 22.7  & 93.4  & 2.9                                                                   & 0.6   & 15.8                                                         \\
Automotive parts, accessories, and tire stores                                                                                              & 488                                                                       & 17.2  & 83.7  & 8.8                                                                   & 2.1   & 22.3                                                         \\
Furniture and home furnishings stores                                                                                                       & 456                                                                       & 45.8  & 81.3  & 10                                                                    & 6.4   & 17.8                                                         \\
Household appliance stores                                                                                                                  & 76                                                                        & 34.1  & 90.2  & 7.5                                                                   & 1.7   & 13.3                                                         \\
Electronics stores                                                                                                                          & 429                                                                       & 26.4  & 78.2  & 11.4                                                                  & 8.6   & 17.2                                                         \\
Building material and supplies dealers                                                                                                      & 1071                                                                      & 30.9  & 81.9  & 11.7                                                                  & 1.6   & 16.6                                                         \\
Hardware stores                                                                                                                             & 199                                                                       & 30.7  & 85.2  & 8                                                                     & 2.4   & 14.5                                                         \\
Lawn and garden equipment and supplies stores                                                                                               & 271                                                                       & 37.7  & 95.1  & 1.4                                                                   & 1.9   & 7.7                                                          \\
Supermarkets and other grocery (except convenience) stores                                                                                  & 2434                                                                      & 47.2  & 77.7  & 11.3                                                                  & 6     & 20.2                                                         \\
Convenience stores                                                                                                                          & 330                                                                       & 57.7  & 69    & 14                                                                    & 12.5  & 10.5                                                         \\
Specialty food stores                                                                                                                       & 249                                                                       & 49.8  & 82.4  & 7.5                                                                   & 4.8   & 28.3                                                         \\
Beer, wine, and liquor stores                                                                                                               & 174                                                                       & 33.9  & 76.3  & 8.9                                                                   & 13.2  & 11.8                                                         \\
Pharmacies and drug stores                                                                                                                  & 808                                                                       & 70    & 68.4  & 13.8                                                                  & 13.7  & 14.2                                                         \\
Health and personal care, except drug, stores                                                                                               & 488                                                                       & 66    & 79.4  & 9.6                                                                   & 7.7   & 18.3                                                         \\
Gasoline stations                                                                                                                           & 505                                                                       & 45.5  & 69.5  & 14.4                                                                  & 9.8   & 16.3                                                         \\
Clothing stores                                                                                                                             & 935                                                                       & 73.8  & 69.7  & 19.2                                                                  & 7.3   & 24.5                                                         \\
Shoe stores                                                                                                                                 & 155                                                                       & 55.7  & 71.3  & 21.4                                                                  & 5.2   & 26.6                                                         \\
Jewelry, luggage, and leather goods stores                                                                                                  & 169                                                                       & 62.9  & 75.9  & 8.7                                                                   & 11.3  & 15.9                                                         \\
Sporting goods, and hobby and toy stores                                                                                                    & 516                                                                       & 44.3  & 87.3  & 6.2                                                                   & 2.4   & 15.1                                                         \\
Sewing, needlework, and piece goods stores                                                                                                  & 48                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Musical instrument and supplies stores                                                                                                      & 35                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Book stores and news dealers                                                                                                                & 86                                                                        & 59.2  & 81.2  & 5.6                                                                   & 5.6   & 12.1                                                         \\
Department stores                                                                                                                           & 276                                                                       & 72    & 67    & 18.8                                                                  & 9.9   & 18.8                                                         \\
General merchandise stores, including warehouse clubs and supercenters                                                                      & 2157                                                                      & 53.2  & 72.1  & 17.9                                                                  & 5     & 22.2                                                         \\
Florists                                                                                                                                    & 92                                                                        & 78.3  & 90.6  & 1.3                                                                   & 5.9   & 22.9                                                         \\
Office supplies and stationery stores                                                                                                       & 68                                                                        & 35.8  & 80.6  & 10.3                                                                  & 8.7   & 8.4                                                          \\
Used merchandise stores                                                                                                                     & 271                                                                       & 61.6  & 82.2  & 10.1                                                                  & 3.7   & 25.8                                                         \\
Gift, novelty, and souvenir shops                                                                                                           & 159                                                                       & 68.2  & 80.2  & 2.9                                                                   & 11.6  & 14.4                                                         \\
Miscellaneous retail stores                                                                                                                 & 610                                                                       & 53.1  & 80.3  & 10.8                                                                  & 3.5   & 14.3                                                         \\
Electronic shopping and mail-order houses                                                                                                   & 824                                                                       & 47.5  & 60.9  & 20                                                                    & 15.2  & 23.1                                                         \\
Vending machine operators                                                                                                                   & 34                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Fuel dealers                                                                                                                                & 92                                                                        & 29.2  & 94.7  & 2.2                                                                   & 0.5   & 13.7                                                         \\
Other direct selling establishments                                                                                                         & 85                                                                        & 77.3  & 73.6  & 13.3                                                                  & 1.7   & 22.8                                                         \\
Not specified retail trade                                                                                                                  & 450                                                                       & 54.2  & 67.9  & 20.1                                                                  & 9.5   & 23.5                                                         \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Transportation and utilities                                                                                                                & 9949                                                                      & 24.3  & 70.1  & 20.7                                                                  & 5.6   & 21.1                                                         \\
Transportation and warehousing                                                                                                              & 8452                                                                      & 24.9  & 67.7  & 22.7                                                                  & 5.8   & 22.2                                                         \\
Air transportation                                                                                                                          & 734                                                                       & 32.5  & 73.2  & 16                                                                    & 7     & 17                                                           \\
Rail transportation                                                                                                                         & 236                                                                       & 8.3   & 80.9  & 15.4                                                                  & 1.6   & 11.8                                                         \\
Water transportation                                                                                                                        & 78                                                                        & 32.2  & 75.7  & 17.6                                                                  & 3.3   & 15.9                                                         \\
Truck transportation                                                                                                                        & 2221                                                                      & 11.9  & 70.5  & 22.2                                                                  & 4.3   & 22.2                                                         \\
Bus service and urban transit                                                                                                               & 457                                                                       & 38.4  & 58    & 34.2                                                                  & 3.6   & 19.2                                                         \\
Taxi and limousine service                                                                                                                  & 602                                                                       & 16.2  & 54.1  & 25.3                                                                  & 17    & 23.3                                                         \\
Pipeline transportation                                                                                                                     & 41                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Scenic and sightseeing transportation                                                                                                       & 44                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Services incidental to transportation                                                                                                       & 902                                                                       & 22.9  & 71    & 18.3                                                                  & 7.4   & 21                                                           \\
Postal Service                                                                                                                              & 616                                                                       & 41.9  & 63.1  & 27.3                                                                  & 4.8   & 12                                                           \\
Couriers and messengers                                                                                                                     & 1503                                                                      & 29.7  & 65    & 25.1                                                                  & 5.2   & 22.2                                                         \\
Warehousing and storage                                                                                                                     & 1019                                                                      & 34.4  & 68.8  & 23                                                                    & 4     & 37.2                                                         \\
Utilities                                                                                                                                   & 1497                                                                      & 21    & 83.6  & 9.5                                                                   & 4.1   & 14.6                                                         \\
Electric power generation, transmission and distribution                                                                                    & 817                                                                       & 20.7  & 85.3  & 7.7                                                                   & 4.9   & 13                                                           \\
Natural gas distribution                                                                                                                    & 178                                                                       & 25    & 78.7  & 14                                                                    & 2.8   & 16.7                                                         \\
Electric and gas, and other combinations                                                                                                    & 120                                                                       & 25.8  & 75.4  & 13.3                                                                  & 5.8   & 12.1                                                         \\
Water, steam, air-conditioning, and irrigation systems                                                                                      & 270                                                                       & 18.5  & 87.3  & 7.7                                                                   & 2.4   & 21.3                                                         \\
Sewage treatment facilities                                                                                                                 & 82                                                                        & 11    & 86.6  & 11.1                                                                  & 0.3   & 9.3                                                          \\
Not specified utilities                                                                                                                     & 30                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
                                                                                                                                            &                                                                           &       &       &                                                                       &       &                                                              \\
Information                                                                                                                                 & 2971                                                                      & 38.3  & 75.1  & 11                                                                    & 10.5  & 12.8                                                         \\
Newspaper publishers                                                                                                                        & 110                                                                       & 39.8  & 85.3  & 2.2                                                                   & 8.7   & 8.1                                                          \\
Periodical, book, and directory publishers                                                                                                  & 170                                                                       & 63.7  & 85.1  & 5.1                                                                   & 5.9   & 8.4                                                          \\
Software publishers                                                                                                                         & 331                                                                       & 36.9  & 71.8  & 4.6                                                                   & 22.3  & 8.1                                                          \\
Motion pictures and video industries                                                                                                        & 486                                                                       & 34.3  & 76.7  & 11.5                                                                  & 5.3   & 16.6                                                         \\
Sound recording industries                                                                                                                  & 49                                                                        & –     & –     & –                                                                     & –     & –                                                            \\
Broadcasting (except internet)                                                                                                              & 279                                                                       & 40.9  & 77    & 14.5                                                                  & 4.6   & 16.3                                                         \\
Internet publishing and broadcasting and web search portals                                                                                 & 237                                                                       & 42.7  & 66.2  & 4.8                                                                   & 25.2  & 8.6                                                          \\
