% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
\begin{table}[]
\begin{tabular}{lrrrr}
\textbf{Fatal occupational injuries, total hours worked, and rates1 of fatal occupational injuries by selected} & \multicolumn{1}{l}{\textbf{}}                                            & \multicolumn{1}{l}{}                                                                    & \multicolumn{1}{l}{}                                                    & \multicolumn{1}{l}{}                                                  \\
\textbf{Management, professional, and related occupations}                                                      & 11, 13, 15, 17, 19, 21, 23, 25, 27, 29                                   & 130,700                                                                                 & 0.9                                                                     & 0.01                                                                  \\
Management, business, and financial operations occupations                                                      & 11, 13                                                                   & 59,400                                                                                  & 1.3                                                                     & 0.02                                                                  \\
Management occupations                                                                                          & 11-0000                                                                  & 41,600                                                                                  & 1.6                                                                     & 0.03                                                                  \\
Farmers, ranchers, and other agricultural managers                                                              & 11-9013                                                                  & 2,000                                                                                   & 14.9                                                                    & 1.46                                                                  \\
Construction managers                                                                                           & 11-9021                                                                  & 2,200                                                                                   & 2.9                                                                     & 0.18                                                                  \\
Food service managers                                                                                           & 11-9051                                                                  & 2,500                                                                                   & 1.7                                                                     & 0.11                                                                  \\
Property, real estate, and community association managers                                                       & 11-9141                                                                  & 1,500                                                                                   & 1.5                                                                     & 0.11                                                                  \\
Business and financial operations occupations                                                                   & 13-0000                                                                  & 17,800                                                                                  & 0.4                                                                     & 0.01                                                                  \\
Professional and related occupations                                                                            & 15, 17, 19,  21, 23, 25, 27, 29                                          & 71,300                                                                                  & 0.7                                                                     & 0.01                                                                  \\
Computer and mathematical occupations                                                                           & 15-0000                                                                  & 12,100                                                                                  & 0.2                                                                     & 0.01                                                                  \\
Architecture and engineering occupations                                                                        & 17-0000                                                                  & 6,900                                                                                   & 1.2                                                                     & 0.05                                                                  \\
Life, physical, and social science occupations                                                                  & 19-0000                                                                  & 3,500                                                                                   & 1.2                                                                     & 0.06                                                                  \\
Community and social service occupations                                                                        & 21-0000                                                                  & 5,500                                                                                   & 0.6                                                                     & 0.02                                                                  \\
Legal occupations                                                                                               & 23-0000                                                                  & 3,700                                                                                   & 0.6                                                                     & 0.03                                                                  \\
Educational instruction and library occupations                                                                 & 25-0000                                                                  & 15,400                                                                                  & 0.4                                                                     & 0.01                                                                  \\
Arts, design, entertainment, sports, and media occupations                                                      & 27-0000                                                                  & 5,900                                                                                   & 1.6                                                                     & 0.07                                                                  \\
Athletes, coaches, umpires, and related workers                                                                 & 27-2020                                                                  & 600                                                                                     & 4.7                                                                     & 0.64                                                                  \\
Healthcare practitioners and technical occupations                                                              & 29-0000                                                                  & 18,300                                                                                  & 0.7                                                                     & 0.02                                                                  \\
Registered nurses                                                                                               & 29-1141                                                                  & 6,100                                                                                   & 0.7                                                                     & 0.02                                                                  \\
Emergency medical technicians and paramedics                                                                    & 29-2042, 29-2043                                                         & 600                                                                                     & 3.7                                                                     & 0.56                                                                  \\
\textbf{Service occupations}                                                                                    & 31, 33, 35, 37, 39                                                       & 42,200                                                                                  & 4.2                                                                     & 0.06                                                                  \\
Healthcare support occupations                                                                                  & 31-0000                                                                  & 8,400                                                                                   & 0.9                                                                     & 0.03                                                                  \\
Protective service occupations                                                                                  & 33-0000                                                                  & 6,100                                                                                   & 10.2                                                                    & 0.44                                                                  \\
Police officers                                                                                                 & 33-3050                                                                  & 1,600                                                                                   & 14.3                                                                    & 1.26                                                                  \\
Security guards and gambling surveillance officers                                                              & 33-9030                                                                  & 1,500                                                                                   & 11.8                                                                    & 0.84                                                                  \\
Food preparation and serving related occupations                                                                & 35-0000                                                                  & 12,100                                                                                  & 2.0                                                                     & 0.06                                                                  \\
Supervisors of food preparation and serving workers                                                             & 35-1010                                                                  & 1,900                                                                                   & 3.0                                                                     & 0.22                                                                  \\
Building and grounds cleaning and maintenance occupations                                                       & 37-0000                                                                  & 9,500                                                                                   & 7.4                                                                     & 0.24                                                                  \\
First-line supervisors of landscaping, lawn service, and groundskeeping workers                                 & 37-1012                                                                  & 500                                                                                     & 17.3                                                                    & 2.22                                                                  \\
Grounds maintenance workers                                                                                     & 37-3010                                                                  & 2,300                                                                                   & 18.9                                                                    & 1.12                                                                  \\
Personal care and service occupations                                                                           & 39-0000                                                                  & 6,300                                                                                   & 1.8                                                                     & 0.07                                                                  \\
\textbf{Sales and office occupations}                                                                           & 41, 43                                                                   & 54,700                                                                                  & 1.1                                                                     & 0.01                                                                  \\
Sales and related occupations                                                                                   & 41-0000                                                                  & 25,800                                                                                  & 1.6                                                                     & 0.03                                                                  \\
First-line supervisors of retail sales workers                                                                  & 41-1011                                                                  & 6,200                                                                                   & 1.9                                                                     & 0.08                                                                  \\
First-line supervisors of non-retail sales workers                                                              & 41-1012                                                                  & 2,400                                                                                   & 0.7                                                                     & 0.04                                                                  \\
Cashiers (including gambling change persons and booth cashiers )                                                & 41-2010                                                                  & 3,800                                                                                   & 3.5                                                                     & 0.15                                                                  \\
Retail salespersons                                                                                             & 41-2031                                                                  & 4,300                                                                                   & 1.9                                                                     & 0.09                                                                  \\
Office and administrative support occupations                                                                   & 43-0000                                                                  & 28,800                                                                                  & 0.6                                                                     & 0.01                                                                  \\
\textbf{Natural resources, construction, and maintenance occupations}                                           & 45, 47, 49                                                               & 27,800                                                                                  & 12.2                                                                    & 0.24                                                                  \\
Farming, fishing, and forestry occupations                                                                      & 45-0000                                                                  & 1,800                                                                                   & 23.5                                                                    & 2.17                                                                  \\
Miscellaneous agricultural workers                                                                              & 45-2090                                                                  & 1,400                                                                                   & 20.0                                                                    & 2.24                                                                  \\
Fishing and hunting workers                                                                                     & 45-3031                                                                  & 100                                                                                     & 50.9                                                                    & 16.59                                                                 \\
Logging workers                                                                                                 & 45-4020                                                                  & 100                                                                                     & 100.7                                                                   & 29.74                                                                 \\
Construction and extraction occupations                                                                         & 47-0000                                                                  & 16,200                                                                                  & 13.0                                                                    & 0.34                                                                  \\
First-line supervisors of construction trades and extraction workers                                            & 47-1011                                                                  & 1,400                                                                                   & 16.4                                                                    & 1.25                                                                  \\
Carpenters                                                                                                      & 47-2031                                                                  & 2,400                                                                                   & 7.8                                                                     & 0.48                                                                  \\
Construction laborers                                                                                           & 47-2061                                                                  & 4,100                                                                                   & 15.6                                                                    & 0.68                                                                  \\
Construction equipment operators                                                                                & 47-2070                                                                  & 800                                                                                     & 11.8                                                                    & 1.25                                                                  \\
Electricians                                                                                                    & 47-2111                                                                  & 1,800                                                                                   & 8.1                                                                     & 0.63                                                                  \\
Painters and paperhangers                                                                                       & 47-2140                                                                  & 1,100                                                                                   & 6.7                                                                     & 0.62                                                                  \\
Pipelayers, plumbers, pipefitters, and steamfitters                                                             & 47-2150                                                                  & 1,300                                                                                   & 5.6                                                                     & 0.52                                                                  \\
Roofers                                                                                                         & 47-2181                                                                  & 400                                                                                     & 57.5                                                                    & 9.12                                                                  \\
Structural iron and steel workers                                                                               & 47-2221                                                                  & 100                                                                                     & 21.3                                                                    & 6.52                                                                  \\
Helpers, construction trades                                                                                    & 47-3010                                                                  & 100                                                                                     & 38.5                                                                    & 11.11                                                                 \\
Underground mining machine operators                                                                            & 47-5040                                                                  & 100                                                                                     & 20.1                                                                    & 6.98                                                                  \\
Installation, maintenance, and repair occupations                                                               & 49-0000                                                                  & 9,700                                                                                   & 8.8                                                                     & 0.27                                                                  \\
First-line supervisors of mechanics, installers, and repairers                                                  & 49-1011                                                                  & 500                                                                                     & 14.7                                                                    & 1.91                                                                  \\
Automotive service technicians and mechanics                                                                    & 49-3023                                                                  & 1,800                                                                                   & 7.5                                                                     & 0.52                                                                  \\
Bus and truck mechanics and diesel engine specialists                                                           & 49-3031                                                                  & 700                                                                                     & 6.7                                                                     & 0.75                                                                  \\
Heating, air conditioning, and refrigeration mechanics and installers                                           & 49-9021                                                                  & 900                                                                                     & 5.0                                                                     & 0.46                                                                  \\
Industrial machinery installation, repair, and maintenance workers                                              & 49-9040                                                                  & 1,000                                                                                   & 8.7                                                                     & 0.87                                                                  \\
Electrical power-line installers and repairers                                                                  & 49-9051                                                                  & 300                                                                                     & 14.9                                                                    & 2.80                                                                  \\
Telecommunications line installers and repairers                                                                & 49-9052                                                                  & 300                                                                                     & 11.0                                                                    & 2.09                                                                  \\
Maintenance and repair workers, general                                                                         & 49-9071                                                                  & 1,300                                                                                   & 14.9                                                                    & 1.28                                                                  \\
\textbf{Production, transportation, and material moving occupations}                                            & 51, 53                                                                   & 38,300                                                                                  & 9.8                                                                     & 0.17                                                                  \\
Production occupations                                                                                          & 51-0000                                                                  & 16,200                                                                                  & 3.3                                                                     & 0.10                                                                  \\
First-line supervisors of production and operating workers                                                      & 51-1011                                                                  & 1,700                                                                                   & 2.1                                                                     & 0.16                                                                  \\
Welding, soldering, and brazing workers                                                                         & 51-4120                                                                  & 1,100                                                                                   & 10.4                                                                    & 0.94                                                                  \\
Transportation and material moving occupations                                                                  & 53-0000                                                                  & 22,000                                                                                  & 14.6                                                                    & 0.31                                                                  \\
Aircraft pilots and flight engineers                                                                            & 53-2010                                                                  & 400                                                                                     & 35.9                                                                    & 6.79                                                                  \\
Driver/sales workers and truck drivers                                                                          & 53-3030                                                                  & 7,300                                                                                   & 30.4                                                                    & 1.05                                                                  \\
Shuttle drivers, chauffeurs, and taxi drivers                                                                   & 53-3053, 53-3054                                                         & 900                                                                                     & 11.2                                                                    & 1.19                                                                  \\
Industrial truck and tractor operators                                                                          & 53-7051                                                                  & 1,300                                                                                   & 8.8                                                                     & 0.73                                                                  \\
Laborers and freight, stock, and material movers, hand                                                          & 53-7062                                                                  & 4,000                                                                                   & 6.9                                                                     & 0.34                                                                  \\
Refuse and recyclable material collectors                                                                       & 53-7081                                                                  & 200                                                                                     & 22.6                                                                    & 5.38                                                                  \\
                                                                                                                &                                                                          &                                                                                         &                                                                         &                                                                       \\
\multicolumn{1}{c}{\textbf{Industry8}}                                                                          & \multicolumn{1}{c}{\textbf{Industry code8}}                              &                                                                                         &                                                                         &                                                                       \\
\textbf{Private industry}                                                                                       & \multicolumn{1}{l}{\textbf{}}                                            & 254,500                                                                                 & 3.9                                                                     & 0.02                                                                  \\
\textbf{Goods producing}                                                                                        & 11, 21, 23, 31, 32, 33                                                   & \multicolumn{1}{c}{-}                                                                   & \multicolumn{1}{c}{-}                                                   & \multicolumn{1}{c}{-}                                                 \\
\textbf{Natural resources and mining9}                                                                          & 11, 21                                                                   & 5,800                                                                                   & 18.1                                                                    & 1.30                                                                  \\
\textbf{Agriculture, forestry, fishing and hunting}                                                             & 11                                                                       & 4,400                                                                                   & 18.6                                                                    & 1.46                                                                  \\
Crop production                                                                                                 & 111000                                                                   & 2,300                                                                                   & 14.9                                                                    & 1.39                                                                  \\
Animal production and aquaculture                                                                               & 112000                                                                   & 1,600                                                                                   & 14.9                                                                    & 1.89                                                                  \\
Logging                                                                                                         & 113300                                                                   & 200                                                                                     & 75.6                                                                    & 21.84                                                                 \\
Fishing, hunting, and trapping                                                                                  & 114000                                                                   & 100                                                                                     & 42.9                                                                    & 13.24                                                                 \\
Support activities for agriculture and forestry                                                                 & 115000                                                                   & 300                                                                                     & 27.5                                                                    & 6.14                                                                  \\
\textbf{Mining, quarrying, and oil and gas extraction9}                                                         & 21                                                                       & 1,400                                                                                   & 16.6                                                                    & 2.91                                                                  \\
Oil and gas extraction                                                                                          & 211000                                                                   & 100                                                                                     & 12.2                                                                    & 3.26                                                                  \\
Mining (except oil and gas)                                                                                     & 212000                                                                   & 400                                                                                     & 16.3                                                                    & 3.31                                                                  \\
Nonmetallic mineral mining and quarrying                                                                        & 212300                                                                   & 200                                                                                     & 19.4                                                                    & 4.50                                                                  \\
Support activities for mining                                                                                   & 213000                                                                   & 900                                                                                     & 17.4                                                                    & 4.64                                                                  \\
\textbf{Construction}                                                                                           & 23                                                                       & 22,100                                                                                  & 9.6                                                                     & 0.21                                                                  \\
\textbf{Manufacturing}                                                                                          & 31, 32, 33                                                               & 30,600                                                                                  & 2.6                                                                     & 0.06                                                                  \\
Food manufacturing                                                                                              & 311000                                                                   & 3,500                                                                                   & 4.3                                                                     & 0.31                                                                  \\
Animal food, grain and oilseed milling                                                                          & 3111, 3112                                                               & 400                                                                                     & 10.2                                                                    & 1.70                                                                  \\
Animal slaughtering and processing                                                                              & 311600                                                                   & 900                                                                                     & 3.4                                                                     & 0.58                                                                  \\
Wood product manufacturing                                                                                      & 321000                                                                   & 800                                                                                     & 7.3                                                                     & 0.89                                                                  \\
Chemical manufacturing                                                                                          & 325000                                                                   & 3,000                                                                                   & 0.9                                                                     & 0.05                                                                  \\
Plastics and rubber products manufacturing                                                                      & 326000                                                                   & 1,000                                                                                   & 3.5                                                                     & 0.39                                                                  \\
Nonmetallic mineral product manufacturing                                                                       & 327000                                                                   & 900                                                                                     & 9.8                                                                     & 1.17                                                                  \\
Primary metal manufacturing                                                                                     & 331000                                                                   & 900                                                                                     & 5.0                                                                     & 0.64                                                                  \\
Fabricated metal product manufacturing                                                                          & 332000                                                                   & 2,300                                                                                   & 4.5                                                                     & 0.30                                                                  \\
Machinery manufacturing                                                                                         & 333000                                                                   & 1,000                                                                                   & 5.4                                                                     & 0.61                                                                  \\
Transportation equipment manufacturing                                                                          & 336000                                                                   & 5,100                                                                                   & 1.6                                                                     & 0.09                                                                  \\
\textbf{Service providing}                                                                                      & 22, 42, 44, 45, 48, 49, 81, 99                                           & \multicolumn{1}{c}{-}                                                                   & \multicolumn{1}{c}{-}                                                   & \multicolumn{1}{c}{-}                                                 \\
\textbf{Trade, transportation, and utilities}                                                                   & 42, 44, 45, 48, 49, 22                                                   & 51,800                                                                                  & 6.0                                                                     & 0.08                                                                  \\
\textbf{Wholesale trade}                                                                                        & 42                                                                       & 6,300                                                                                   & 5.4                                                                     & 0.20                                                                  \\
Merchant wholesalers, durable goods                                                                             & 423000                                                                   & 2,900                                                                                   & 6.2                                                                     & 0.33                                                                  \\
Machinery, equipment, and supplies merchant wholesalers                                                         & 423800                                                                   & 600                                                                                     & 6.6                                                                     & 0.82                                                                  \\
Recyclable material merchant wholesalers                                                                        & 423930                                                                   & 100                                                                                     & 28.2                                                                    & 7.06                                                                  \\
Merchant wholesalers, nondurable goods                                                                          & 424000                                                                   & 3,100                                                                                   & 5.0                                                                     & 0.26                                                                  \\
\textbf{Retail trade}                                                                                           & 44, 45                                                                   & 28,500                                                                                  & 2.1                                                                     & 0.04                                                                  \\
Motor vehicle and parts dealers                                                                                 & 441000                                                                   & 3,700                                                                                   & 3.1                                                                     & 0.16                                                                  \\
Automobile dealers                                                                                              & 441100                                                                   & 2,500                                                                                   & 2.6                                                                     & 0.16                                                                  \\
Automotive parts, accessories, and tire stores                                                                  & 441300                                                                   & 900                                                                                     & 4.4                                                                     & 0.43                                                                  \\
Building material and garden equipment and supplies dealers                                                     & 444000                                                                   & 2,900                                                                                   & 2.2                                                                     & 0.11                                                                  \\
Food and beverage stores                                                                                        & 445000                                                                   & 5,400                                                                                   & 2.4                                                                     & 0.09                                                                  \\
Grocery stores                                                                                                  & 445100                                                                   & 4,700                                                                                   & 2.3                                                                     & 0.10                                                                  \\
Gasoline stations                                                                                               & 447000                                                                   & 900                                                                                     & 9.7                                                                     & 0.99                                                                  \\
Miscellaneous store retailers                                                                                   & 453000                                                                   & 1,900                                                                                   & 2.4                                                                     & 0.17                                                                  \\
Nonstore retailers                                                                                              & 454000                                                                   & 2,000                                                                                   & 0.7                                                                     & 0.05                                                                  \\
\textbf{Transportation and warehousing}                                                                         & 48, 49                                                                   & 14,900                                                                                  & 14.1                                                                    & 0.39                                                                  \\
Air transportation                                                                                              & 481000                                                                   & 1,300                                                                                   & 3.4                                                                     & 0.31                                                                  \\
Rail transportation                                                                                             & 482000                                                                   & 400                                                                                     & 3.1                                                                     & 0.51                                                                  \\
Water transportation                                                                                            & 483000                                                                   & 200                                                                                     & 15.4                                                                    & 3.77                                                                  \\
Truck transportation                                                                                            & 484000                                                                   & 4,800                                                                                   & 29.2                                                                    & 1.53                                                                  \\
Transit and ground passenger transportation                                                                     & 485000                                                                   & 1,500                                                                                   & 8.2                                                                     & 0.70                                                                  \\
Bus service and urban transit                                                                                   & 485000 except 485300                                                     & 500                                                                                     & 6.3                                                                     & 0.88                                                                  \\
Taxi and limousine service                                                                                      & 485300                                                                   & 900                                                                                     & 8.9                                                                     & 0.94                                                                  \\
Support activities for transportation                                                                           & 488000                                                                   & 1,500                                                                                   & 15.4                                                                    & 1.19                                                                  \\
Couriers and messengers                                                                                         & 492000                                                                   & 2,700                                                                                   & 4.5                                                                     & 0.26                                                                  \\
Warehousing and storage                                                                                         & 493000                                                                   & 2,300                                                                                   & 4.3                                                                     & 0.34                                                                  \\
\textbf{Utilities}                                                                                              & 22                                                                       & 2,100                                                                                   & 3.4                                                                     & 0.24                                                                  \\
\textbf{Information}                                                                                            & 51                                                                       & 5,100                                                                                   & 1.9                                                                     & 0.10                                                                  \\
Publishing industries (except internet)                                                                         & 511000                                                                   & 900                                                                                     & 2.9                                                                     & 0.30                                                                  \\
\textbf{Financial activities}                                                                                   & 52, 53                                                                   & 21,100                                                                                  & 0.9                                                                     & 0.02                                                                  \\
Finance and insurance                                                                                           & 52                                                                       & 15,300                                                                                  & 0.2                                                                     & 0.01                                                                  \\
Real estate and rental and leasing                                                                              & 53                                                                       & 5,800                                                                                   & 2.9                                                                     & 0.12                                                                  \\
Real estate                                                                                                     & 531000                                                                   & 5,200                                                                                   & 2.3                                                                     & 0.11                                                                  \\
Rental and leasing services                                                                                     & 532000                                                                   & 600                                                                                     & 7.4                                                                     & 0.99                                                                  \\
\textbf{Professional and business services}                                                                     & 54, 56                                                                   & 38,200                                                                                  & 3.1                                                                     & 0.05                                                                  \\
Professional, scientific, and technical services                                                                & 54                                                                       & 25,900                                                                                  & 0.6                                                                     & 0.01                                                                  \\
Architectural, engineering, and related services                                                                & 541300                                                                   & 3,600                                                                                   & 1.6                                                                     & 0.09                                                                  \\
Management, administrative, and waste services                                                                  & 55, 56                                                                   & 12,300                                                                                  & 8.4                                                                     & 0.23                                                                  \\
Employment services                                                                                             & 561300                                                                   & 1,600                                                                                   & 7.3                                                                     & 0.54                                                                  \\
Investigation and security services                                                                             & 561600                                                                   & 1,600                                                                                   & 8.2                                                                     & 0.67                                                                  \\
Services to buildings and dwellings (except landscaping services)                                               & 561700, except 561730                                                    & 2,900                                                                                   & 3.7                                                                     & 0.21                                                                  \\
Landscaping services                                                                                            & 561730                                                                   & 2,600                                                                                   & 18.1                                                                    & 1.03                                                                  \\
Waste management and remediation services                                                                       & 562000                                                                   & 900                                                                                     & 13.1                                                                    & 1.38                                                                  \\
\textbf{Educational and health services}                                                                        & 61, 62                                                                   & 45,000                                                                                  & 0.8                                                                     & 0.01                                                                  \\
Educational services                                                                                            & 61                                                                       & 8,800                                                                                   & 0.8                                                                     & 0.03                                                                  \\
Health care and social assistance                                                                               & 62                                                                       & 36,200                                                                                  & 0.8                                                                     & 0.01                                                                  \\
Ambulatory health care services                                                                                 & 621000                                                                   & 15,000                                                                                  & 0.7                                                                     & 0.02                                                                  \\
Hospitals                                                                                                       & 622000                                                                   & 12,300                                                                                  & 0.5                                                                     & 0.01                                                                  \\
Nursing and residential care facilities                                                                         & 623000                                                                   & 3,700                                                                                   & 2.0                                                                     & 0.10                                                                  \\
Social assistance                                                                                               & 624000                                                                   & 5,100                                                                                   & 0.7                                                                     & 0.03                                                                  \\
\textbf{Leisure and hospitality}                                                                                & 71, 72                                                                   & 21,500                                                                                  & 2.8                                                                     & 0.07                                                                  \\
Arts, entertainment, and recreation                                                                             & 71                                                                       & 4,800                                                                                   & 3.3                                                                     & 0.15                                                                  \\
Performing arts, spectator sports, and related industries                                                       & 711000                                                                   & 1,500                                                                                   & 5.3                                                                     & 0.44                                                                  \\
Amusement, gambling, and recreation industries (except bowling centers)                                         & 713000, except 713950                                                    & 3,000                                                                                   & 2.5                                                                     & 0.15                                                                  \\
Accommodation and food services                                                                                 & 72                                                                       & 16,700                                                                                  & 2.6                                                                     & 0.07                                                                  \\
Accommodation                                                                                                   & 721000                                                                   & 2,200                                                                                   & 4.2                                                                     & 0.29                                                                  \\
Traveler accommodation                                                                                          & 721100                                                                   & 2,100                                                                                   & 4.0                                                                     & 0.29                                                                  \\
Food services and drinking places                                                                               & 722000                                                                   & 14,400                                                                                  & 2.4                                                                     & 0.07                                                                  \\
Restaurants and other food services                                                                             & 722000, except 722400                                                    & 14,100                                                                                  & 2.1                                                                     & 0.06                                                                  \\
Drinking places (alcoholic beverages)                                                                           & 722400                                                                   & 400                                                                                     & 13.7                                                                    & 2.22                                                                  \\
\textbf{Other services, except public administration}                                                           & 81                                                                       & 13,300                                                                                  & 2.9                                                                     & 0.08                                                                  \\
Repair and maintenance                                                                                          & 811000                                                                   & 4,400                                                                                   & 5.5                                                                     & 0.27                                                                  \\
Automotive repair and maintenance (except car washes)                                                           & 811100, except 811192                                                    & 2,800                                                                                   & 6.0                                                                     & 0.35                                                                  \\
Personal and laundry services                                                                                   & 812000                                                                   & 4,300                                                                                   & 2.0                                                                     & 0.10                                                                  \\
Religious, grantmaking, civic, professional, and similar organizations                                          & 813000                                                                   & 3,600                                                                                   & 1.2                                                                     & 0.06                                                                  \\
\textbf{Government10}                                                                                           & \multicolumn{1}{l}{\textbf{}}                                            & 39,300                                                                                  & 2.1                                                                     & 0.04                                                                  \\
Federal government                                                                                              & \multicolumn{1}{l}{}                                                     & 7,700                                                                                   & 1.1                                                                     & 0.05                                                                  \\
State government                                                                                                & \multicolumn{1}{l}{}                                                     & 13,100                                                                                  & 1.3                                                                     & 0.05                                                                  \\
Local government                                                                                                & \multicolumn{1}{l}{}                                                     & 18,400                                                                                  & 3.0                                                                     & 0.07                                                                 
\end{tabular}
\end{table}
