% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
\begin{table}[]
\begin{tabular}{llcllrrrllrrrllrrrllrrrll}
\multicolumn{25}{c}{\textbf{2009-2010 Award Year FFEL Volume by School}}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             \\
\multicolumn{25}{c}{Award Year Quarterly Activity  (07/01/2009-09/30/2009)}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          \\
\multicolumn{25}{c}{Data Run: 4/5/2012}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              \\
\multicolumn{1}{c}{}                                        & \multicolumn{1}{c}{}                                               &                & \multicolumn{1}{c}{}                                          & \multicolumn{1}{c}{}                                             & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     \\
00100200                                                    & ALABAMA AGRICULTURAL \& MECHANICAL UNIVERSITY                      & AL             & 357621357                                                     & PUBLIC                                                           & 2,675                                                           & 2,692                                                                       & \$12,343,721.00                                                             & 2,701                                                                    & \$6,178,188.00                                                           & 2,801                                                           & 2,968                                                                       & \$14,208,634.00                                                             & 3,035                                                                    & \$7,100,249.00                                                           & 231                                                             & 236                                                                         & \$1,744,374.00                                                              & 239                                                                      & \$927,673.00                                                             & 2                                                               & 2                                                                           & \$9,524.00                                                                  & 2                                                                        & \$6,262.00                                                               \\
00100300                                                    & FAULKNER UNIVERSITY                                                & AL             & 361093398                                                     & PRIVATE                                                          & 1,392                                                           & 1,403                                                                       & \$6,244,282.00                                                              & 1,426                                                                    & \$3,470,561.00                                                           & 1,228                                                           & 1,254                                                                       & \$7,295,546.00                                                              & 1,278                                                                    & \$3,788,949.00                                                           & 78                                                              & 78                                                                          & \$611,850.00                                                                & 79                                                                       & \$347,361.00                                                             & 188                                                             & 203                                                                         & \$4,204,847.00                                                              & 208                                                                      & \$2,143,612.00                                                           \\
00100400                                                    & UNIVERSITY OF MONTEVALLO                                           & AL             & 351156000                                                     & PUBLIC                                                           & 1,172                                                           & 1,201                                                                       & \$5,291,490.00                                                              & 1,201                                                                    & \$2,700,158.00                                                           & 1,275                                                           & 1,351                                                                       & \$6,345,947.00                                                              & 1,351                                                                    & \$3,224,176.00                                                           & 56                                                              & 57                                                                          & \$323,056.00                                                                & 57                                                                       & \$178,279.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00100700                                                    & CENTRAL ALABAMA COMMUNITY COLLEGE                                  & AL             & 350110000                                                     & PUBLIC                                                           & 481                                                             & 487                                                                         & \$1,656,341.00                                                              & 616                                                                      & \$973,931.00                                                             & 416                                                             & 419                                                                         & \$1,590,900.00                                                              & 487                                                                      & \$747,118.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00101200                                                    & BIRMINGHAM SOUTHERN COLLEGE                                        & AL             & 352540002                                                     & PRIVATE                                                          & 441                                                             & 447                                                                         & \$1,798,128.00                                                              & 448                                                                      & \$934,808.00                                                             & 483                                                             & 524                                                                         & \$1,902,764.00                                                              & 524                                                                      & \$978,463.00                                                             & 127                                                             & 132                                                                         & \$1,732,080.00                                                              & 132                                                                      & \$896,559.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00101500                                                    & ENTERPRISE STATE COMMUNITY COLLEGE                                 & AL             & 363311300                                                     & PUBLIC                                                           & 303                                                             & 304                                                                         & \$934,811.00                                                                & 305                                                                      & \$418,035.00                                                             & 139                                                             & 139                                                                         & \$433,285.00                                                                & 140                                                                      & \$199,909.00                                                             & 1                                                               & 1                                                                           & \$9,000.00                                                                  & 1                                                                        & \$3,000.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00101600                                                    & UNIVERSITY OF NORTH ALABAMA                                        & AL             & 356320001                                                     & PUBLIC                                                           & 2,128                                                           & 2,167                                                                       & \$8,846,539.00                                                              & 2,169                                                                    & \$4,482,258.00                                                           & 2,150                                                           & 2,281                                                                       & \$9,693,630.00                                                              & 2,281                                                                    & \$4,917,855.00                                                           & 89                                                              & 94                                                                          & \$557,312.00                                                                & 94                                                                       & \$283,008.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00101900                                                    & HUNTINGDON COLLEGE                                                 & AL             & 361062148                                                     & PRIVATE                                                          & 343                                                             & 343                                                                         & \$1,410,184.00                                                              & 345                                                                      & \$683,031.00                                                             & 406                                                             & 406                                                                         & \$1,848,107.00                                                              & 415                                                                      & \$884,845.00                                                             & 102                                                             & 102                                                                         & \$998,307.00                                                                & 103                                                                      & \$499,731.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00102000                                                    & JACKSONVILLE STATE UNIVERSITY                                      & AL             & 362651602                                                     & PUBLIC                                                           & 3,972                                                           & 3,992                                                                       & \$18,277,528.00                                                             & 3,993                                                                    & \$9,655,986.00                                                           & 3,857                                                           & 4,101                                                                       & \$20,412,159.00                                                             & 4,104                                                                    & \$10,778,342.00                                                          & 175                                                             & 177                                                                         & \$1,187,184.00                                                              & 177                                                                      & \$612,842.00                                                             & 1                                                               & 1                                                                           & \$17,790.00                                                                 & 1                                                                        & \$8,895.00                                                               \\
00102300                                                    & JUDSON COLLEGE                                                     & AL             & 367562504                                                     & PRIVATE                                                          & 129                                                             & 132                                                                         & \$473,003.00                                                                & 132                                                                      & \$255,485.00                                                             & 141                                                             & 166                                                                         & \$514,440.00                                                                & 167                                                                      & \$285,521.00                                                             & 21                                                              & 21                                                                          & \$158,917.00                                                                & 21                                                                       & \$84,710.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00102400                                                    & UNIVERSITY OF WEST ALABAMA                                         & AL             & 354700000                                                     & PUBLIC                                                           & 2,839                                                           & 2,852                                                                       & \$17,872,533.00                                                             & 2,853                                                                    & \$6,158,482.00                                                           & 3,070                                                           & 3,199                                                                       & \$21,910,289.00                                                             & 3,200                                                                    & \$7,311,392.00                                                           & 43                                                              & 43                                                                          & \$253,207.00                                                                & 43                                                                       & \$126,908.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00102600                                                    & MARION MILITARY INSTITUTE                                          & AL             & 367563214                                                     & PUBLIC                                                           & 126                                                             & 129                                                                         & \$367,434.00                                                                & 136                                                                      & \$193,790.00                                                             & 154                                                             & 167                                                                         & \$555,651.00                                                                & 170                                                                      & \$287,135.00                                                             & 11                                                              & 11                                                                          & \$62,327.00                                                                 & 12                                                                       & \$37,342.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00102900                                                    & UNIVERSITY OF MOBILE                                               & AL             & 366630220                                                     & PRIVATE                                                          & 883                                                             & 883                                                                         & \$4,153,866.00                                                              & 897                                                                      & \$2,117,791.00                                                           & 964                                                             & 964                                                                         & \$5,483,159.00                                                              & 991                                                                      & \$2,804,070.00                                                           & 71                                                              & 73                                                                          & \$624,226.00                                                                & 76                                                                       & \$320,080.00                                                             & 1                                                               & 1                                                                           & \$16,236.00                                                                 & 1                                                                        & \$8,118.00                                                               \\
00103100                                                    & NORTHEAST ALABAMA COMMUNITY COLLEGE                                & AL             & 359860159                                                     & PUBLIC                                                           & 305                                                             & 307                                                                         & \$907,719.00                                                                & 307                                                                      & \$461,224.00                                                             & 81                                                              & 81                                                                          & \$221,426.00                                                                & 81                                                                       & \$110,717.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00103300                                                    & OAKWOOD UNIVERSITY                                                 & AL             & 358960001                                                     & PRIVATE                                                          & 440                                                             & 444                                                                         & \$2,044,384.00                                                              & 446                                                                      & \$1,052,221.00                                                           & 306                                                             & 308                                                                         & \$1,942,779.00                                                              & 309                                                                      & \$1,008,530.00                                                           & 58                                                              & 59                                                                          & \$775,105.00                                                                & 60                                                                       & \$420,982.00                                                             & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
00103600                                                    & SAMFORD UNIVERSITY                                                 & AL             & 352297000                                                     & PRIVATE                                                          & 1,689                                                           & 1,712                                                                       & \$10,865,654.00                                                             & 1,712                                                                    & \$5,663,095.00                                                           & 1,791                                                           & 1,855                                                                       & \$17,239,110.00                                                             & 1,855                                                                    & \$8,797,985.00                                                           & 435                                                             & 445                                                                         & \$6,360,638.00                                                              & 446                                                                      & \$3,251,935.00                                                           & 558                                                             & 593                                                                         & \$10,394,943.00                                                             & 595                                                                      & \$5,252,933.00                                                           \\
