% Please add the following required packages to your document preamble:
% \usepackage{multirow}
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
\begin{table}[]
\begin{tabular}{cllllllll}
                                & \multicolumn{8}{c}{\textbf{Production (MBPD)}}                                                                                                                                                                          \\
                                & \multicolumn{4}{c}{\textbf{Planned}}                                                                      & \multicolumn{4}{c}{\textbf{Actual}}                                                                         \\
\multirow{-3}{*}{\textbf{Date}} & \multicolumn{1}{c}{U19.3} & \multicolumn{1}{c}{U36} & \multicolumn{1}{c}{U42} & \multicolumn{1}{c}{Total} & \multicolumn{1}{c}{U19.3} & \multicolumn{1}{c}{U36}  & \multicolumn{1}{c}{U42}  & \multicolumn{1}{c}{Total} \\
2017/3/4                        & 6.83                      & -                       & 15.00                   & 21.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/5                        & 6.83                      & -                       & 6.00                    & 12.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/6                        & 6.83                      & -                       & 6.00                    & 12.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/7                        & 6.83                      & -                       & 6.00                    & 12.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/8                        & 6.83                      & -                       & 6.00                    & 12.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/9                        & 6.83                      & -                       & 6.00                    & 12.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/10                       & 6.83                      & -                       & 6.00                    & 12.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/11                       & 6.83                      & -                       & 6.00                    & 12.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/12                       & 6.83                      & -                       & 6.00                    & 12.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/13                       & 6.83                      & -                       & 6.00                    & 12.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/14                       & 6.83                      & -                       & 6.00                    & 12.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/15                       & 6.83                      & -                       & 6.00                    & 12.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/16                       & 6.83                      & -                       & 6.00                    & 12.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/17                       & 6.83                      & -                       & 6.00                    & 12.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/18                       & 6.83                      & -                       & 25.00                   & 31.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/19                       & 6.83                      & 4.50                    & 25.00                   & 36.33                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/20                       & 6.83                      & 4.50                    & 25.00                   & 36.33                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/21                       & 6.83                      & 4.50                    & 25.00                   & 36.33                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/22                       & 6.83                      & 4.50                    & 25.00                   & 36.33                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/23                       & 6.83                      & 4.50                    & 25.00                   & 36.33                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/24                       & 6.83                      & 4.50                    & 20.00                   & 31.33                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/25                       & 6.83                      & 4.50                    & 20.00                   & 31.33                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/26                       & 6.83                      & 4.50                    & 20.00                   & 31.33                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/27                       & 12.02                     & 4.50                    & 20.00                   & 36.52                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/28                       & 12.02                     & 4.50                    & 20.00                   & 36.52                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/29                       & 12.02                     & 4.50                    & 20.00                   & 36.52                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/30                       & 12.02                     & 4.50                    & 20.00                   & 36.52                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} 
\end{tabular}
\end{table}
