\begin{table}[]
\begin{tabular}{lllllllllll}
            & raw clone size data used for Figure 5a,d, Extended Data Figure 11c,d from ovariectomized BRCA1,P53 confetti mouse model &             &       &             &       &             &       &             &       &  \\
            &                                                                                                                         & 1           & 2     & 1           & 2     & 1           & 1     & 3           & 2     &  \\
            &                                                                                                                         & 2           & 2     & 1           & 1     & 1           & 2     & 1           & 4     &  \\
            &                                                                                                                         & 7           & 1     & 1           & 2     & 2           & 1     & 2           & 2     &  \\
            &                                                                                                                         & 2           & 2     & 4           & 1     & 1           & 1     & 1           & 2     &  \\
            &                                                                                                                         & 4           & 1     & 2           & 1     & 2           & 2     & 1           & 3     &  \\
            &                                                                                                                         & 2           & 2     & 1           & 1     & 1           & 2     & 2           & 1     &  \\
            &                                                                                                                         & 1           & 2     & 1           & 1     & 1           & 1     & 3           & 2     &  \\
            &                                                                                                                         & 1           & 1     & 1           & 1     & 1           & 1     & 1           & 3     &  \\
            &                                                                                                                         & 1           & 1     & 1           & 1     & 2           & 1     & 5           & 16    &  \\
            &                                                                                                                         & 1           & 1     & 1           & 1     & 1           & 1     & 2           & 1     &  \\
            &                                                                                                                         & 3           & 5     & 1           & 1     & 1           & 1     & 1           & 3     &  \\
            &                                                                                                                         & 2           & 8     & 1           & 2     & 1           & 1     & 1           & 2     &  \\
            &                                                                                                                         & 2           & 2     & 1           & 1     & 2           & 1     & 3           & 2     &  \\
            &                                                                                                                         & 1           & 2     & 1           & 2     & 3           & 1     & 4           & 1     &  \\
            &                                                                                                                         & 1           & 2     & 1           & 3     & 1           & 1     & 1           & 2     &  \\
            &                                                                                                                         & 3           & 1     & 1           & 2     & 1           & 1     & 1           & 1     &  \\
            &                                                                                                                         & 2           & 1     & 2           & 2     & 1           & 1     & 4           & 2     &  \\
            &                                                                                                                         & 2           & 1     & 1           & 1     & 2           & 3     & 2           & 2     &  \\
            &                                                                                                                         & 1           & 3     & 1           & 2     & 1           & 11    & 2           & 1     &  \\
            &                                                                                                                         & 1           & 1     & 1           & 3     & 1           & 3     & 1           & 14    &  \\
            &                                                                                                                         & 3           & 3     & 2           & 2     & 1           & 1     & 2           & 6     &  \\
            &                                                                                                                         & 1           & 1     & 1           & 1     & 1           & 2     & 3           & 4     &  \\
            &                                                                                                                         & 1           & 2     & 1           & 1     & 10          & 1     & 2           & 5     &  \\
            &                                                                                                                         & 2           & 2     & 2           & 1     & 1           & 3     & 2           & 1     &  \\
            &                                                                                                                         & 1           & 1     & 1           & 1     & 2           & 2     & 4           & 2     &  \\
            &                                                                                                                         & 2           & 2     & 1           & 1     & 1           & 1     & 2           & 2     &  \\
            &                                                                                                                         & 1           & 2     & 1           & 1     & 1           & 9     & 1           & 3     &  \\
            &                                                                                                                         & 1           & 2     & 1           & 1     & 1           & 2     & 3           & 1     &  \\
            &                                                                                                                         & 2           & 1     & 3           & 1     & 1           & 1     & 3           & 2     &  \\
            &                                                                                                                         & 3           & 2     & 1           & 1     & 1           & 6     & 1           & 3     &  \\
            &                                                                                                                         & 1           & 2     & 1           & 2     & 1           & 2     & 1           & 1     &  \\
            &                                                                                                                         & 2           & 3     & 3           & 2     & 1           & 2     & 4           & 5     &  \\
            &                                                                                                                         & 2           & 3     & 2           & 2     & 1           & 1     & 2           & 9     &  \\
            &                                                                                                                         & 1           & 2     & 1           & 2     & 1           & 3     & 1           & 6     &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 2           & 1     & 1           & 14    &  \\
            &                                                                                                                         & 3           & 1     & 1           &       & 1           & 1     & 1           & 3     &  \\
            &                                                                                                                         & 3           & 3     & 1           &       & 1           & 1     & 1           & 3     &  \\
            &                                                                                                                         & 1           & 5     & 1           &       & 1           & 4     & 1           & 1     &  \\
            &                                                                                                                         & 8           & 2     & 1           &       & 1           & 2     & 1           & 2     &  \\
            &                                                                                                                         & 10          & 1     & 2           &       & 1           & 2     & 1           & 7     &  \\
            &                                                                                                                         & 7           & 2     & 1           &       & 3           & 3     & 2           & 3     &  \\
            &                                                                                                                         & 2           & 1     & 3           &       & 3           & 5     & 1           & 1     &  \\
            &                                                                                                                         & 2           & 2     & 1           &       & 1           & 1     & 1           & 2     &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 1           & 2     & 1           & 2     &  \\
            &                                                                                                                         & 4           & 2     & 1           &       & 1           & 7     & 2           & 3     &  \\
            &                                                                                                                         & 2           & 2     & 1           &       & 1           & 1     & 1           & 3     &  \\
            &                                                                                                                         & 2           & 2     & 1           &       & 1           & 1     & 1           & 1     &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           & 2     & 2           & 2     &  \\
            &                                                                                                                         & 5           & 1     & 1           &       & 3           & 1     & 1           & 1     &  \\
            &                                                                                                                         & 2           & 3     & 1           &       & 2           & 1     & 1           & 10    &  \\
            &                                                                                                                         & 1           & 2     & 1           &       & 1           & 3     & 1           & 1     &  \\
            &                                                                                                                         & 3           & 1     & 1           &       & 3           & 1     & 4           &       &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 1           & 3     & 1           &       &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 7           & 2     & 1           &       &  \\
            &                                                                                                                         & 1           & 2     & 1           &       & 1           & 3     & 1           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           & 1     & 1           &       &  \\
            &                                                                                                                         & 11          & 1     & 1           &       & 1           & 1     & 5           &       &  \\
            &                                                                                                                         & 2           & 1     & 2           &       & 1           & 1     & 4           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           & 1     & 2           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 2           & 1     & 2           &       &  \\
            &                                                                                                                         & 1           & 1     & 2           &       & 2           & 1     & 2           &       &  \\
            &                                                                                                                         & 2           & 3     & 1           &       & 1           & 4     & 1           &       &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 1           & 1     & 1           &       &  \\
            &                                                                                                                         & 2           & 3     & 3           &       & 2           & 2     & 4           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           & 1     & 1           &       &  \\
            &                                                                                                                         & 2           & 1     & 4           &       & 1           & 2     & 1           &       &  \\
            &                                                                                                                         & 1           & 3     & 1           &       & 1           & 1     & 1           &       &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 1           & 3     & 4           &       &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 3           & 1     & 5           &       &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 1           & 1     & 4           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           & 1     & 1           &       &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 1           & 1     & 2           &       &  \\
            &                                                                                                                         & 3           & 1     & 1           &       & 1           & 1     & 4           &       &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 1           & 1     & 1           &       &  \\
            &                                                                                                                         & 1           & 2     & 1           &       & 2           & 1     & 1           &       &  \\
            &                                                                                                                         & 1           & 2     & 1           &       & 1           & 1     & 1           &       &  \\
            &                                                                                                                         & 1           & 1     & 7           &       & 1           & 1     & 1           &       &  \\
            &                                                                                                                         & 1           & 2     & 1           &       & 1           & 1     & 1           &       &  \\
            &                                                                                                                         & 3           & 2     & 2           &       & 1           & 1     & 2           &       &  \\
            &                                                                                                                         & 2           & 2     & 1           &       & 1           & 3     & 30          &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           & 2     & 1           &       &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 1           & 4     & 2           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           & 1     & 1           &       &  \\
            &                                                                                                                         & 3           & 3     & 1           &       & 3           & 3     & 1           &       &  \\
            &                                                                                                                         & 3           & 1     & 2           &       & 1           & 4     & 1           &       &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 2           & 2     & 2           &       &  \\
            &                                                                                                                         & 3           & 1     & 1           &       & 1           & 4     & 5           &       &  \\
            &                                                                                                                         & 3           & 2     & 1           &       & 1           & 3     & 1           &       &  \\
            &                                                                                                                         & 1           & 2     & 1           &       & 1           & 7     & 11          &       &  \\
            &                                                                                                                         & 3           & 1     & 1           &       & 1           & 1     & 21          &       &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 1           & 2     & 2           &       &  \\
            &                                                                                                                         & 2           & 1     & 2           &       & 34          & 4     & 175         &       &  \\
            &                                                                                                                         & 5           & 1     & 8           &       & 1           & 1     & 1           &       &  \\
            &                                                                                                                         & 2           & 2     & 1           &       & 2           & 3     & 2           &       &  \\
            &                                                                                                                         & 2           & 2     & 1           &       & 2           & 1     & 2           &       &  \\
            &                                                                                                                         & 2           & 3     & 1           &       & 1           & 1     &             &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           & 1     & 3           &       &  \\
            &                                                                                                                         & 2           & 1     & 2           &       & 1           & 2     & 5           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 4           & 1     & 1           &       &  \\
            &                                                                                                                         & 3           & 1     & 1           &       & 1           & 1     & 2           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 2           & 1     & 4           &       &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 12          & 4     & 1           &       &  \\
            &                                                                                                                         & 6           & 1     & 1           &       & 2           & 5     & 15          &       &  \\
            &                                                                                                                         & 1           & 1     & 3           &       & 1           & 12    & 2           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 2           & 4     & 4           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           & 7     & 2           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           & 5     & 3           &       &  \\
            &                                                                                                                         & 1           & 1     & 2           &       & 1           & 1     & 1           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           & 2     & 1           &       &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 3           & 1     & 1           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           & 5     & 2           &       &  \\
            &                                                                                                                         & 2           & 1     & 1           &       & 1           & 24    & 1           &       &  \\
            &                                                                                                                         & 2           & 1     & 3           &       & 1           & 1     & 1           &       &  \\
            &                                                                                                                         & 1           & 3     & 1           &       & 1           & 8     & 4           &       &  \\
            &                                                                                                                         & 2           & 4     & 1           &       & 1           & 15    & 4           &       &  \\
            &                                                                                                                         & 2           & 1     & 3           &       & 1           & 2     & 1           &       &  \\
            &                                                                                                                         & 1           & 2     & 4           &       & 1           & 4     & 1           &       &  \\
            &                                                                                                                         & 1           & 2     & 2           &       & 2           & 12    & 1           &       &  \\
            &                                                                                                                         & 2           & 2     & 1           &       & 2           & 2     & 1           &       &  \\
            &                                                                                                                         & 2           & 3     & 1           &       & 1           & 8     & 1           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 3           & 3     & 1           &       &  \\
            &                                                                                                                         & 1           & 2     & 1           &       & 1           & 5     & 1           &       &  \\
            &                                                                                                                         & 1           & 2     & 1           &       & 1           & 40    & 3           &       &  \\
            &                                                                                                                         & 1           & 1     & 3           &       & 1           & 12    & 3           &       &  \\
            &                                                                                                                         & 1           & 1     & 2           &       & 2           & 1     & 1           &       &  \\
            &                                                                                                                         & 2           & 1     & 2           &       & 1           & 1     & 3           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           & 2     & 3           &       &  \\
            &                                                                                                                         & 1           & 1     & 3           &       & 1           & 2     & 3           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 3           & 1     & 2           &       &  \\
            &                                                                                                                         & 5           & 1     & 1           &       & 1           & 1     & 2           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           & 1     & 3           &       &  \\
            &                                                                                                                         & 1           & 2     & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 1           & 1     & 1           &       & 3           &       & 1           &       &  \\
            &                                                                                                                         & 4           & 2     & 7           &       & 2           &       & 3           &       &  \\
            &                                                                                                                         & 1           & 2     & 2           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 4           &       & 1           &       & 2           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 3           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 29          &       & 1           &       &  \\
            &                                                                                                                         & 4           &       & 1           &       & 2           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 12          &       & 2           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 2           &       & 3           &       & 2           &       &  \\
            &                                                                                                                         & 2           &       & 2           &       & 2           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 2           &       & 2           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 1           &       & 2           &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 2           &       & 6           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 3           &       & 3           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 1           &       &  \\
            &                                                                                                                         & 1           &       & 2           &       & 2           &       & 2           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 3           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 5           &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       & 15          &       &  \\
            &                                                                                                                         & 1           &       & 1           &       & 1           &       &             &       &  \\
            &                                                                                                                         & 2           &       & 1           &       & 1           &       & 4           &       &  \\
            &                                                                                                                         & 5           &       & 1           &       & 1           &       & 1           &       &  \\
