% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
% \usepackage[normalem]{ulem}
% \useunder{\uline}{\ul}{}
\begin{table}[]
\begin{tabular}{llrrrrrrrr}
\textbf{Table 1a: Individual insolvencies, England and Wales, seasonally adjusted, 1 January 2012 to 30 June 2022 {[}p{]}{[}note 1{]}} & \textbf{}                            & \multicolumn{1}{l}{\textbf{}}          & \multicolumn{1}{l}{\textbf{}}                       & \multicolumn{1}{l}{\textbf{}}                   & \multicolumn{1}{l}{\textbf{}}                              & \multicolumn{1}{l}{\textbf{}}                         & \multicolumn{1}{l}{\textbf{}}                      & \multicolumn{1}{l}{\textbf{}}              & \multicolumn{1}{l}{\textbf{}}                      \\
\textbf{2018}                                                                                                                          & \textbf{Q4}                          & {\color[HTML]{0000FF} 33,764}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 4,217}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 7,120}                          & {\color[HTML]{0000FF} {[}r{]}}                     & {\color[HTML]{0000FF} 22,427}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2019}                                                                                                                          & \textbf{Q1}                          & {\color[HTML]{0000FF} 31,975}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 4,115}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,946}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 20,914}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2019}                                                                                                                          & \textbf{Q2}                          & {\color[HTML]{0000FF} 30,026}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 4,226}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,796}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 19,004}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2019}                                                                                                                          & \textbf{Q3}                          & {\color[HTML]{0000FF} 31,712}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 4,270}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,788}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 20,654}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2019}                                                                                                                          & \textbf{Q4}                          & {\color[HTML]{0000FF} 28,437}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 4,131}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,937}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 17,369}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2020}                                                                                                                          & \textbf{Q1}                          & {\color[HTML]{0000FF} 28,368}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 4,240}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,915}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 17,213}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2020}                                                                                                                          & \textbf{Q2}                          & {\color[HTML]{0000FF} 31,730}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 2,450}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 4,820}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 24,460}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2020}                                                                                                                          & \textbf{Q3}                          & {\color[HTML]{0000FF} 20,258}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 2,912}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 4,490}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 12,856}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2020}                                                                                                                          & \textbf{Q4}                          & {\color[HTML]{0000FF} 31,217}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 3,055}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 4,248}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 23,914}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2021}                                                                                                                          & \textbf{Q1}                          & {\color[HTML]{0000FF} 28,209}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 2,598}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 4,163}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 21,448}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2021}                                                                                                                          & \textbf{Q2}                          & {\color[HTML]{0000FF} 27,179}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 2,297}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 4,374}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 20,508}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2021}                                                                                                                          & \textbf{Q3}                          & {\color[HTML]{0000FF} 26,934}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 1,988}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 5,735}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 19,211}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2021}                                                                                                                          & \textbf{Q4}                          & {\color[HTML]{0000FF} 27,723}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 1,837}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 5,863}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 20,023}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2022}                                                                                                                          & \textbf{Q1}                          & {\color[HTML]{0000FF} 32,197}          & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 1,704}                    & {\color[HTML]{0000FF} {[}r{]}}                             & {\color[HTML]{0000FF} 6,629}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 23,864}              & {\color[HTML]{0000FF} {[}r{]}}                     \\
\textbf{2022}                                                                                                                          & \textbf{Q2}                          & {\color[HTML]{0000FF} 28,946}          & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 1,596}                    & {\color[HTML]{0000FF} }                                    & {\color[HTML]{0000FF} 5,772}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 21,578}              & {\color[HTML]{0000FF} }                            \\
\textbf{Percentage change, latest quarter (2022 Q2) compared with:}                                                                    &                                      & \multicolumn{1}{l}{}                   & \multicolumn{1}{l}{}                                & \multicolumn{1}{l}{}                            & \multicolumn{1}{l}{}                                       & \multicolumn{1}{l}{}                                  & \multicolumn{1}{l}{}                               & \multicolumn{1}{l}{}                       & \multicolumn{1}{l}{}                               \\
\textbf{2022}                                                                                                                          & \textbf{Q1}                          & {\color[HTML]{0000FF} -10\%}           & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} -6\%}                     & {\color[HTML]{0000FF} }                                    & {\color[HTML]{0000FF} -13\%}                          & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} -10\%}               &                                                    \\
\textbf{2021}                                                                                                                          & \textbf{Q2}                          & {\color[HTML]{0000FF} 7\%}             & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} -31\%}                    & {\color[HTML]{0000FF} }                                    & {\color[HTML]{0000FF} 32\%}                           & {\color[HTML]{0000FF} }                            & {\color[HTML]{0000FF} 5\%}                 &                                                   
\end{tabular}
\end{table}
