% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
% \usepackage[normalem]{ulem}
% \useunder{\uline}{\ul}{}
\begin{table}[]
\begin{tabular}{llrr}
 & \textbf{Green areas - Local areas}                              & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Measure: Land area                                              & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Territorial level: TL2                                          & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Time period: 2021                                               & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Combined unit of measure: Square kilometres                     & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 &                                                                 & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & \cellcolor[HTML]{E2F2FB}\textbf{Reference area}                 & \multicolumn{1}{l}{\cellcolor[HTML]{F1F1F1}} & \multicolumn{1}{l}{\cellcolor[HTML]{F1F1F1}} \\
 & \cellcolor[HTML]{E2F2FB}Australia                               & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Coquimbo                             & \cellcolor[HTML]{F1F1F1}                     & 21,899,554                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Valparaíso                           & \cellcolor[HTML]{F1F1F1}                     & 11,644,599                                   \\
 & \cellcolor[HTML]{E2F2FB}·  O'Higgins                            & \cellcolor[HTML]{F1F1F1}                     & 10,589,050                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Maule                                & \cellcolor[HTML]{F1F1F1}                     & 20,848,252                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Biobío                               & \cellcolor[HTML]{F1F1F1}                     & 19,693,726                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Araucanía                            & \cellcolor[HTML]{F1F1F1}                     & 25,485,007                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Los Lagos                            & \cellcolor[HTML]{F1F1F1}                     & 41,369,370                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Aysén                                & \cellcolor[HTML]{F1F1F1}                     & 64,419,884                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Magallanes and Chilean Antarctica    & \cellcolor[HTML]{F1F1F1}                     & 81,440,385                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Santiago Metropolitan Region         & \cellcolor[HTML]{F1F1F1}                     & 8,686,309                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Los Ríos                             & \cellcolor[HTML]{F1F1F1}                     & 14,664,617                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Arica y Parinacota                   & \cellcolor[HTML]{F1F1F1}                     & 3,728,754                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Ñuble                                & \cellcolor[HTML]{F1F1F1}                     & 10,250,959                                   \\
 & \cellcolor[HTML]{E2F2FB}Colombia                                & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Antioquia                            & \cellcolor[HTML]{F1F1F1}                     & 60,877,162                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Atlántico                            & \cellcolor[HTML]{F1F1F1}                     & 2,768,608                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Bogotá Capital District              & \cellcolor[HTML]{F1F1F1}                     & 1,275,494                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Bolívar                              & \cellcolor[HTML]{F1F1F1}                     & 22,972,202                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Boyacá                               & \cellcolor[HTML]{F1F1F1}                     & 22,169,742                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Caldas                               & \cellcolor[HTML]{F1F1F1}                     & 7,277,672                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Caquetá                              & \cellcolor[HTML]{F1F1F1}                     & 87,950,273                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Cauca                                & \cellcolor[HTML]{F1F1F1}                     & 30,255,300                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Cesar                                & \cellcolor[HTML]{F1F1F1}                     & 21,496,062                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Córdoba                              & \cellcolor[HTML]{F1F1F1}                     & 23,642,059                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Cundinamarca                         & \cellcolor[HTML]{F1F1F1}                     & 21,359,734                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Chocó                                & \cellcolor[HTML]{F1F1F1}                     & 45,760,569                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Huila                                & \cellcolor[HTML]{F1F1F1}                     & 17,549,878                                   \\
 & \cellcolor[HTML]{E2F2FB}·  La Guajira                           & \cellcolor[HTML]{F1F1F1}                     & 18,101,434                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Magdalena                            & \cellcolor[HTML]{F1F1F1}                     & 19,954,383                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Meta                                 & \cellcolor[HTML]{F1F1F1}                     & 81,195,055                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Nariño                               & \cellcolor[HTML]{F1F1F1}                     & 29,014,570                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Norte de Santander                   & \cellcolor[HTML]{F1F1F1}                     & 21,394,076                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Quindío                              & \cellcolor[HTML]{F1F1F1}                     & 1,870,675                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Risaralda                            & \cellcolor[HTML]{F1F1F1}                     & 3,452,311                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Santander                            & \cellcolor[HTML]{F1F1F1}                     & 29,912,801                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Sucre                                & \cellcolor[HTML]{F1F1F1}                     & 8,686,840                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Tolima                               & \cellcolor[HTML]{F1F1F1}                     & 22,826,877                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Valle del Cauca                      & \cellcolor[HTML]{F1F1F1}                     & 18,352,829                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Arauca                               & \cellcolor[HTML]{F1F1F1}                     & 23,387,466                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Casanare                             & \cellcolor[HTML]{F1F1F1}                     & 42,579,203                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Putumayo                             & \cellcolor[HTML]{F1F1F1}                     & 25,507,306                                   \\
 & \cellcolor[HTML]{E2F2FB}·  San Andrés                           & \cellcolor[HTML]{F1F1F1}                     & 39,861                                       \\
 & \cellcolor[HTML]{E2F2FB}·  Amazonas                             & \cellcolor[HTML]{F1F1F1}                     & 107,306,441                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Guainía                              & \cellcolor[HTML]{F1F1F1}                     & 69,911,214                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Guaviare                             & \cellcolor[HTML]{F1F1F1}                     & 55,121,310                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Vaupés                               & \cellcolor[HTML]{F1F1F1}                     & 52,714,527                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Vichada                              & \cellcolor[HTML]{F1F1F1}                     & 97,780,579                                   \\
 & \cellcolor[HTML]{E2F2FB}Costa Rica                              & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Central                              & \cellcolor[HTML]{F1F1F1}                     & 8,096,038                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Chorotega                            & \cellcolor[HTML]{F1F1F1}                     & 9,460,860                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Central Pacific                      & \cellcolor[HTML]{F1F1F1}                     & 3,566,383                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Brunca                               & \cellcolor[HTML]{F1F1F1}                     & 9,099,702                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Huetar Caribbean                     & \cellcolor[HTML]{F1F1F1}                     & 9,000,914                                    \\
 & \cellcolor[HTML]{E2F2FB}·  North Huetar                         & \cellcolor[HTML]{F1F1F1}                     & 9,499,720                                    \\
 & \cellcolor[HTML]{E2F2FB}Czechia                                 & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Prague                               & \cellcolor[HTML]{F1F1F1}                     & 240,839                                      \\
 & \cellcolor[HTML]{E2F2FB}·  Central Bohemian Region              & \cellcolor[HTML]{F1F1F1}                     & 5,743,105                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Southwest                            & \cellcolor[HTML]{F1F1F1}                     & 12,652,595                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Northwest                            & \cellcolor[HTML]{F1F1F1}                     & 6,269,160                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Northeast                            & \cellcolor[HTML]{F1F1F1}                     & 8,157,097                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Southeast                            & \cellcolor[HTML]{F1F1F1}                     & 7,214,634                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Central Moravia                      & \cellcolor[HTML]{F1F1F1}                     & 6,085,420                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Moravia-Silesia                      & \cellcolor[HTML]{F1F1F1}                     & 3,837,871                                    \\
 & \cellcolor[HTML]{E2F2FB}Denmark                                 & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Capital region                       & \cellcolor[HTML]{F1F1F1}                     & 1,483,193                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Zealand                              & \cellcolor[HTML]{F1F1F1}                     & 2,942,842                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Southern Denmark                     & \cellcolor[HTML]{F1F1F1}                     & 5,767,022                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Central Denmark                      & \cellcolor[HTML]{F1F1F1}                     & 6,568,092                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Northern Denmark                     & \cellcolor[HTML]{F1F1F1}                     & 4,029,569                                    \\
 & \cellcolor[HTML]{E2F2FB}Estonia                                 & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Estonia                              & \cellcolor[HTML]{F1F1F1}                     & 34,429,534                                   \\
 & \cellcolor[HTML]{E2F2FB}Finland                                 & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Western Finland                      & \cellcolor[HTML]{F1F1F1}                     & 50,862,486                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Helsinki-Uusimaa                     & \cellcolor[HTML]{F1F1F1}                     & 7,313,987                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Southern Finland                     & \cellcolor[HTML]{F1F1F1}                     & 25,701,485                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Northern and Eastern Finland         & \cellcolor[HTML]{F1F1F1}                     & 187,994,550                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Åland                                & \cellcolor[HTML]{F1F1F1}                     & 1,287,365                                    \\
 & \cellcolor[HTML]{E2F2FB}France                                  & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Île-de-France                        & \cellcolor[HTML]{F1F1F1}                     & 5,261,797                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Centre-Val de Loire                  & \cellcolor[HTML]{F1F1F1}                     & 19,293,223                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Bourgogne-Franche-Comté              & \cellcolor[HTML]{F1F1F1}                     & 34,702,445                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Normandy                             & \cellcolor[HTML]{F1F1F1}                     & 17,243,610                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Hauts-de-France                      & \cellcolor[HTML]{F1F1F1}                     & 11,828,069                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Grand Est                            & \cellcolor[HTML]{F1F1F1}                     & 33,405,989                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Pays de la Loire                     & \cellcolor[HTML]{F1F1F1}                     & 17,951,404                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Brittany                             & \cellcolor[HTML]{F1F1F1}                     & 16,602,197                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Nouvelle-Aquitaine                   & \cellcolor[HTML]{F1F1F1}                     & 60,798,743                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Occitanie                            & \cellcolor[HTML]{F1F1F1}                     & 55,987,395                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Auvergne-Rhône-Alpes                 & \cellcolor[HTML]{F1F1F1}                     & 57,609,262                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Provence-Alpes-Côte d’Azur           & \cellcolor[HTML]{F1F1F1}                     & 25,971,806                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Corsica                              & \cellcolor[HTML]{F1F1F1}                     & 8,389,268                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Guadeloupe                           & \cellcolor[HTML]{F1F1F1}                     & 1,406,098                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Martinique                           & \cellcolor[HTML]{F1F1F1}                     & 982,097                                      \\
 & \cellcolor[HTML]{E2F2FB}·  French Guiana                        & \cellcolor[HTML]{F1F1F1}                     & 81,481,444                                   \\
 & \cellcolor[HTML]{E2F2FB}·  La Réunion                           & \cellcolor[HTML]{F1F1F1}                     & 2,187,339                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Mayotte                              & \cellcolor[HTML]{F1F1F1}                     & 343,252                                      \\
 & \cellcolor[HTML]{E2F2FB}Germany                                 & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Baden-Württemberg                    & \cellcolor[HTML]{F1F1F1}                     & 25,052,960                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Bavaria                              & \cellcolor[HTML]{F1F1F1}                     & 46,694,829                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Berlin                               & \cellcolor[HTML]{F1F1F1}                     & 562,046                                      \\
 & \cellcolor[HTML]{E2F2FB}·  Brandenburg                          & \cellcolor[HTML]{F1F1F1}                     & 19,012,318                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Bremen                               & \cellcolor[HTML]{F1F1F1}                     & 253,467                                      \\
 & \cellcolor[HTML]{E2F2FB}·  Hamburg                              & \cellcolor[HTML]{F1F1F1}                     & 486,218                                      \\
 & \cellcolor[HTML]{E2F2FB}·  Hesse                                & \cellcolor[HTML]{F1F1F1}                     & 15,260,413                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Mecklenburg-Vorpommern               & \cellcolor[HTML]{F1F1F1}                     & 11,545,842                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Lower Saxony                         & \cellcolor[HTML]{F1F1F1}                     & 27,867,931                                   \\
 & \cellcolor[HTML]{E2F2FB}·  North Rhine-Westphalia               & \cellcolor[HTML]{F1F1F1}                     & 20,775,664                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Rhineland-Palatinate                 & \cellcolor[HTML]{F1F1F1}                     & 14,704,612                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Saarland                             & \cellcolor[HTML]{F1F1F1}                     & 1,984,240                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Saxony                               & \cellcolor[HTML]{F1F1F1}                     & 10,521,217                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Saxony-Anhalt                        & \cellcolor[HTML]{F1F1F1}                     & 9,587,071                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Schleswig-Holstein                   & \cellcolor[HTML]{F1F1F1}                     & 8,642,897                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Thuringia                            & \cellcolor[HTML]{F1F1F1}                     & 9,490,581                                    \\
 & \cellcolor[HTML]{E2F2FB}Greece                                  & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Attica                               & \cellcolor[HTML]{F1F1F1}                     & 3,117,197                                    \\
 & \cellcolor[HTML]{E2F2FB}·  North Aegean                         & \cellcolor[HTML]{F1F1F1}                     & 3,540,740                                    \\
 & \cellcolor[HTML]{E2F2FB}·  South Aegean                         & \cellcolor[HTML]{F1F1F1}                     & 4,782,277                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Crete                                & \cellcolor[HTML]{F1F1F1}                     & 7,738,913                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Eastern Macedonia, Thrace            & \cellcolor[HTML]{F1F1F1}                     & 10,471,079                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Central Macedonia                    & \cellcolor[HTML]{F1F1F1}                     & 12,763,225                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Western Macedonia                    & \cellcolor[HTML]{F1F1F1}                     & 7,320,534                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Epirus                               & \cellcolor[HTML]{F1F1F1}                     & 8,564,318                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Thessaly                             & \cellcolor[HTML]{F1F1F1}                     & 10,016,550                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Ionian Islands                       & \cellcolor[HTML]{F1F1F1}                     & 2,149,034                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Western Greece                       & \cellcolor[HTML]{F1F1F1}                     & 9,975,667                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Central Greece                       & \cellcolor[HTML]{F1F1F1}                     & 13,490,503                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Peloponnese                          & \cellcolor[HTML]{F1F1F1}                     & 14,782,957                                   \\
 & \cellcolor[HTML]{E2F2FB}Hungary                                 & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Budapest                             & \cellcolor[HTML]{F1F1F1}                     & 284,663                                      \\
 & \cellcolor[HTML]{E2F2FB}·  Pest                                 & \cellcolor[HTML]{F1F1F1}                     & 3,622,145                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Central Transdanubia                 & \cellcolor[HTML]{F1F1F1}                     & 5,484,404                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Western Transdanubia                 & \cellcolor[HTML]{F1F1F1}                     & 5,885,905                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Southern Transdanubia                & \cellcolor[HTML]{F1F1F1}                     & 6,813,193                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Northern Hungary                     & \cellcolor[HTML]{F1F1F1}                     & 8,380,413                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Northern Great Plain                 & \cellcolor[HTML]{F1F1F1}                     & 7,021,473                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Southern Great Plain                 & \cellcolor[HTML]{F1F1F1}                     & 7,148,159                                    \\
 & \cellcolor[HTML]{E2F2FB}Ireland                                 & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Northern and Western                 & \cellcolor[HTML]{F1F1F1}                     & 24,288,184                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Southern                             & \cellcolor[HTML]{F1F1F1}                     & 27,162,974                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Eastern and Midland                  & \cellcolor[HTML]{F1F1F1}                     & 12,285,652                                   \\
 & \cellcolor[HTML]{E2F2FB}Italy                                   & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Piedmont                             & \cellcolor[HTML]{F1F1F1}                     & 17,542,027                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Aosta Valley                         & \cellcolor[HTML]{F1F1F1}                     & 2,167,590                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Liguria                              & \cellcolor[HTML]{F1F1F1}                     & 5,129,260                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Lombardy                             & \cellcolor[HTML]{F1F1F1}                     & 13,173,740                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Abruzzo                              & \cellcolor[HTML]{F1F1F1}                     & 8,970,680                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Molise                               & \cellcolor[HTML]{F1F1F1}                     & 3,050,026                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Campania                             & \cellcolor[HTML]{F1F1F1}                     & 9,992,156                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Apulia                               & \cellcolor[HTML]{F1F1F1}                     & 9,994,438                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Basilicata                           & \cellcolor[HTML]{F1F1F1}                     & 7,083,894                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Calabria                             & \cellcolor[HTML]{F1F1F1}                     & 13,457,644                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Sicily                               & \cellcolor[HTML]{F1F1F1}                     & 17,947,404                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Sardinia                             & \cellcolor[HTML]{F1F1F1}                     & 20,114,511                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Autonomous prov. Bolzano             & \cellcolor[HTML]{F1F1F1}                     & 6,035,429                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Autonomous prov. Trento              & \cellcolor[HTML]{F1F1F1}                     & 5,479,592                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Veneto                               & \cellcolor[HTML]{F1F1F1}                     & 9,905,945                                    \\
