% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
% \usepackage[normalem]{ulem}
% \useunder{\uline}{\ul}{}
\begin{table}[]
\begin{tabular}{llrrrrlrrrlr}
\textbf{Table 4b: Bankruptcies by employment status, England and Wales, not seasonally adjusted, 1 January 2012 to 30 June 2022 {[}p{]}{[}note 2{]}{[}note 3{]}{[}note 9{]}}    & \textbf{}                     & \multicolumn{1}{l}{\textbf{}}                    & \multicolumn{1}{l}{\textbf{}}                                     & \multicolumn{1}{l}{\textbf{}}                                       & \multicolumn{1}{l}{\textbf{}}                           & \textbf{}                                                                & \multicolumn{1}{l}{\textbf{}}                                 & \multicolumn{1}{l}{\textbf{}}                    & \multicolumn{1}{l}{\textbf{}}                       &                                                     & \multicolumn{1}{l}{}                                      \\
{\color[HTML]{800000} \textbf{2017}}                                                                                                                                            & \textbf{}                     & {\color[HTML]{C55C10} 15,107}                    & {\color[HTML]{C55C10} }                                           & {\color[HTML]{C55C10} 3,601}                                        & {\color[HTML]{C55C10} }                                 & {\color[HTML]{C55C10} 24\%}                                              & {\color[HTML]{C55C10} }                                       & {\color[HTML]{C55C10} 11,506}                    & {\color[HTML]{C55C10} }                             & {\color[HTML]{C55C10} 76\%}                         &                                                           \\
{\color[HTML]{800000} \textbf{2018}}                                                                                                                                            & \textbf{}                     & {\color[HTML]{C55C10} 16,643}                    & {\color[HTML]{C55C10} {[}r{]}}                                    & {\color[HTML]{C55C10} 3,894}                                        & {\color[HTML]{C55C10} {[}r{]}}                          & {\color[HTML]{C55C10} 23\%}                                              & {\color[HTML]{C55C10} }                                       & {\color[HTML]{C55C10} 12,749}                    & {\color[HTML]{C55C10} }                             & {\color[HTML]{C55C10} 77\%}                         &                                                           \\
{\color[HTML]{800000} \textbf{2019}}                                                                                                                                            & \textbf{}                     & {\color[HTML]{C55C10} 16,743}                    & {\color[HTML]{C55C10} {[}r{]}}                                    & {\color[HTML]{C55C10} 3,540}                                        & {\color[HTML]{C55C10} }                                 & {\color[HTML]{C55C10} 21\%}                                              & {\color[HTML]{C55C10} }                                       & {\color[HTML]{C55C10} 13,203}                    & {\color[HTML]{C55C10} {[}r{]}}                      & {\color[HTML]{C55C10} 79\%}                         &                                                           \\
{\color[HTML]{800000} \textbf{2020}}                                                                                                                                            & \textbf{}                     & {\color[HTML]{C55C10} 12,658}                    & {\color[HTML]{C55C10} }                                           & {\color[HTML]{C55C10} 2,234}                                        & {\color[HTML]{C55C10} }                                 & {\color[HTML]{C55C10} 18\%}                                              & {\color[HTML]{C55C10} }                                       & {\color[HTML]{C55C10} 10,424}                    & {\color[HTML]{C55C10} }                             & {\color[HTML]{C55C10} 82\%}                         &                                                           \\
{\color[HTML]{800000} \textbf{2021}}                                                                                                                                            & \textbf{}                     & {\color[HTML]{C55C10} 8,719}                     & {\color[HTML]{C55C10} {[}r{]}}                                    & {\color[HTML]{C55C10} 1,399}                                        & {\color[HTML]{C55C10} {[}r{]}}                          & {\color[HTML]{C55C10} 16\%}                                              & {\color[HTML]{C55C10} }                                       & {\color[HTML]{C55C10} 7,320}                     & {\color[HTML]{C55C10} {[}r{]}}                      & {\color[HTML]{C55C10} 84\%}                         &                                                           \\
\textbf{2012}                                                                                                                                                                   & \textbf{Q1}                   & {\color[HTML]{0000FF} 9,125}                     & {\color[HTML]{0000FF} {[}r{]}}                                    & {\color[HTML]{0000FF} 2,174}                                        & {\color[HTML]{0000FF} {[}r{]}}                          & {\color[HTML]{0000FF} 24\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 6,951}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 76\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2012}                                                                                                                                                                   & \textbf{Q2}                   & {\color[HTML]{0000FF} 8,092}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 1,925}                                        & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 24\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 6,167}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 76\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2012}                                                                                                                                                                   & \textbf{Q3}                   & {\color[HTML]{0000FF} 7,639}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 1,791}                                        & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 23\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 5,848}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 77\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2012}                                                                                                                                                                   & \textbf{Q4}                   & {\color[HTML]{0000FF} 6,920}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 1,718}                                        & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 25\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 5,202}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 75\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2013}                                                                                                                                                                   & \textbf{Q1}                   & {\color[HTML]{0000FF} 6,674}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 1,715}                                        & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 26\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 4,959}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 74\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2013}                                                                                                                                                                   & \textbf{Q2}                   & {\color[HTML]{0000FF} 6,477}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 1,662}                                        & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 26\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 4,815}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 74\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2013}                                                                                                                                                                   & \textbf{Q3}                   & {\color[HTML]{0000FF} 6,009}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 1,544}                                        & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 26\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 4,465}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 74\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2013}                                                                                                                                                                   & \textbf{Q4}                   & {\color[HTML]{0000FF} 5,405}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 1,366}                                        & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 25\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 4,039}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 75\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2014}                                                                                                                                                                   & \textbf{Q1}                   & {\color[HTML]{0000FF} 5,684}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 1,515}                                        & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 27\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 4,169}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 73\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2014}                                                                                                                                                                   & \textbf{Q2}                   & {\color[HTML]{0000FF} 5,472}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 1,431}                                        & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 26\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 4,041}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 74\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2014}                                                                                                                                                                   & \textbf{Q3}                   & {\color[HTML]{0000FF} 4,905}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 1,202}                                        & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 25\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 3,703}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 75\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2014}                                                                                                                                                                   & \textbf{Q4}                   & {\color[HTML]{0000FF} 4,278}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 1,040}                                        & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 24\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 3,238}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 76\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2015}                                                                                                                                                                   & \textbf{Q1}                   & {\color[HTML]{0000FF} 4,410}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 1,165}                                        & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 26\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 3,245}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 74\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2015}                                                                                                                                                                   & \textbf{Q2}                   & {\color[HTML]{0000FF} 3,972}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 965}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 24\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 3,007}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 76\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2015}                                                                                                                                                                   & \textbf{Q3}                   & {\color[HTML]{0000FF} 3,896}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 969}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 25\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 2,927}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 75\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2015}                                                                                                                                                                   & \textbf{Q4}                   & {\color[HTML]{0000FF} 3,571}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 996}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 28\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 2,575}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 72\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2016}                                                                                                                                                                   & \textbf{Q1}                   & {\color[HTML]{0000FF} 3,780}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 1,043}                                        & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 28\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 2,737}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 72\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2016}                                                                                                                                                                   & \textbf{Q2}                   & {\color[HTML]{0000FF} 3,709}                     & {\color[HTML]{0000FF} {[}r{]}}                                    & {\color[HTML]{0000FF} 926}                                          & {\color[HTML]{0000FF} {[}r{]}}                          & {\color[HTML]{0000FF} 25\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 2,783}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 75\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2016}                                                                                                                                                                   & \textbf{Q3}                   & {\color[HTML]{0000FF} 3,936}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 947}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 24\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 2,989}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 76\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2016}                                                                                                                                                                   & \textbf{Q4}                   & {\color[HTML]{0000FF} 3,626}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 917}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 25\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 2,709}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 75\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2017}                                                                                                                                                                   & \textbf{Q1}                   & {\color[HTML]{0000FF} 4,082}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 977}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 24\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 3,105}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 76\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2017}                                                                                                                                                                   & \textbf{Q2}                   & {\color[HTML]{0000FF} 3,722}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 905}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 24\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 2,817}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 76\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2017}                                                                                                                                                                   & \textbf{Q3}                   & {\color[HTML]{0000FF} 3,738}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 849}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 23\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 2,889}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 77\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2017}                                                                                                                                                                   & \textbf{Q4}                   & {\color[HTML]{0000FF} 3,565}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 870}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 24\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 2,695}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 76\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2018}                                                                                                                                                                   & \textbf{Q1}                   & {\color[HTML]{0000FF} 4,384}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 1,057}                                        & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 24\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 3,327}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 76\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2018}                                                                                                                                                                   & \textbf{Q2}                   & {\color[HTML]{0000FF} 4,108}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 958}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 23\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 3,150}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 77\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2018}                                                                                                                                                                   & \textbf{Q3}                   & {\color[HTML]{0000FF} 4,209}                     & {\color[HTML]{0000FF} {[}r{]}}                                    & {\color[HTML]{0000FF} 991}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 24\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 3,218}                     & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 76\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2018}                                                                                                                                                                   & \textbf{Q4}                   & {\color[HTML]{0000FF} 3,942}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 888}                                          & {\color[HTML]{0000FF} {[}r{]}}                          & {\color[HTML]{0000FF} 23\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 3,054}                     & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 77\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2019}                                                                                                                                                                   & \textbf{Q1}                   & {\color[HTML]{0000FF} 4,469}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 964}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 22\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 3,505}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 78\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2019}                                                                                                                                                                   & \textbf{Q2}                   & {\color[HTML]{0000FF} 4,235}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 940}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 22\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 3,295}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 78\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2019}                                                                                                                                                                   & \textbf{Q3}                   & {\color[HTML]{0000FF} 4,178}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 886}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 21\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 3,292}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 79\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2019}                                                                                                                                                                   & \textbf{Q4}                   & {\color[HTML]{0000FF} 3,861}                     & {\color[HTML]{0000FF} {[}r{]}}                                    & {\color[HTML]{0000FF} 750}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 19\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 3,111}                     & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 81\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2020}                                                                                                                                                                   & \textbf{Q1}                   & {\color[HTML]{0000FF} 4,585}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 911}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 20\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 3,674}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 80\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2020}                                                                                                                                                                   & \textbf{Q2}                   & {\color[HTML]{0000FF} 2,442}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 367}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 15\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 2,075}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 85\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2020}                                                                                                                                                                   & \textbf{Q3}                   & {\color[HTML]{0000FF} 2,786}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 455}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 16\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 2,331}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 84\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2020}                                                                                                                                                                   & \textbf{Q4}                   & {\color[HTML]{0000FF} 2,845}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 501}                                          & {\color[HTML]{0000FF} }                                 & {\color[HTML]{0000FF} 18\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 2,344}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 82\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2021}                                                                                                                                                                   & \textbf{Q1}                   & {\color[HTML]{0000FF} 2,801}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 418}                                          & {\color[HTML]{0000FF} {[}r{]}}                          & {\color[HTML]{0000FF} 15\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 2,383}                     & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 85\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2021}                                                                                                                                                                   & \textbf{Q2}                   & {\color[HTML]{0000FF} 2,307}                     & {\color[HTML]{0000FF} }                                           & {\color[HTML]{0000FF} 349}                                          & {\color[HTML]{0000FF} {[}r{]}}                          & {\color[HTML]{0000FF} 15\%}                                              & {\color[HTML]{0000FF} }                                       & {\color[HTML]{0000FF} 1,958}                     & {\color[HTML]{0000FF} {[}r{]}}                      & {\color[HTML]{0000FF} 85\%}                         & {\color[HTML]{0000FF} }                                   \\
\textbf{2021}                                                                                                                                                                   & \textbf{Q3}                   & {\color[HTML]{0000FF} 1,889}                     & {\color[HTML]{0000FF} {[}r{]}}                                    & {\color[HTML]{0000FF} 312}                                          & {\color[HTML]{0000FF} {[}r{]}}                          & {\color[HTML]{0000FF} 17\%}                                              & \multicolumn{1}{l}{{\color[HTML]{0000FF} {[}r{]}}}            & {\color[HTML]{0000FF} 1,577}                     & {\color[HTML]{0000FF} }                             & {\color[HTML]{0000FF} 83\%}                         & {\color[HTML]{0000FF} {[}r{]}}                            \\
