"Column1","Column2","Column3","Column4","Column5","","","","","",""
"                    India","3674688.55","","","3674688.55","","","","","",""
"                         DIECUT","1336010","","","1336010","","","","","",""
"                         Uncovered Flat Sheet","2338678.55","","","2338678.55","","","","","",""
"               Pakkar Leather Exports Private Limited","17475.15","","","17475.15","","","","","",""
"                    India","17475.15","","","17475.15","","","","","",""
"                         Uncovered Flat Sheet","17475.15","","","17475.15","","","","","",""
"               R S V World Wide (Rb International)","377840","","","377840","","","","","",""
"                    India","377840","","","377840","","","","","",""
"                         Uncovered Flat Sheet","377840","","","377840","","","","","",""
"               Raadhika Shoecrafts Private Limited","115834.6","","","115834.6","","","","","",""
"                    India","115834.6","","","115834.6","","","","","",""
"                         Uncovered Flat Sheet","115834.6","","","115834.6","","","","","",""
"               Raj Overseas","19320","","","19320","","","","","",""
"                    India","19320","","","19320","","","","","",""
"                         Uncovered Flat Sheet","19320","","","19320","","","","","",""
"               Sara Suole Private Limited","1364006.64","","","1364006.64","","","","","",""
"                    India","1364006.64","","","1364006.64","","","","","",""
"                         Uncovered Flat Sheet","1364006.64","","","1364006.64","","","","","",""
"               Shalimar Tanning Company","317130","","","317130","","","","","",""
"                    India","317130","","","317130","","","","","",""
"                         Uncovered Flat Sheet","317130","","","317130","","","","","",""
"               Shoe Line","5005","","","5005","","","","","",""
"                    India","5005","","","5005","","","","","",""
"                         Uncovered Flat Sheet","5005","","","5005","","","","","",""
"               Shoe Variants Private Limited","139863","","","139863","","","","","",""
"                    India","139863","","","139863","","","","","",""
"                         Covered Flat Sheet","139863","","","139863","","","","","",""
"               Sky Walk Shoe Industries","82432","","","82432","","","","","",""
"                    India","82432","","","82432","","","","","",""
"                         Uncovered Flat Sheet","82432","","","82432","","","","","",""
"               Sri Jati Shoes Pvt Ltd","402614.8","","","402614.8","","","","","",""
"                    India","402614.8","","","402614.8","","","","","",""
"                         Covered Flat Sheet","22554","","","22554","","","","","",""
"                         Die Cut","46468.8","","","46468.8","","","","","",""
"                         Uncovered Flat Sheet","333592","","","333592","","","","","",""
"               Staby Footwear","128840","","","128840","","","","","",""
"                    India","128840","","","128840","","","","","",""
"                         Covered Flat Sheet","64440","","","64440","","","","","",""
"                         Uncovered Flat Sheet","64400","","","64400","","","","","",""
"               Tata International Limited","9016","","","9016","","","","","",""
"                    India","9016","","","9016","","","","","",""
"                         Uncovered Flat Sheet","9016","","","9016","","","","","",""
"               Tej Shoe Tech","1102200","","","1102200","","","","","",""
"                    India","1102200","","","1102200","","","","","",""
"                         Uncovered Flat Sheet","1102200","","","1102200","","","","","",""
"               Ticomp Heels Private Limited","73566","","","73566","","","","","",""
"                    India","73566","","","73566","","","","","",""
"                         Uncovered Flat Sheet","73566","","","73566","","","","","",""
"               Vrd Exports","112558","","","112558","","","","","",""
"                    India","112558","","","112558","","","","","",""
"                         Covered Flat Sheet","92594","","","92594","","","","","",""
"                         Uncovered Flat Sheet","19964","","","19964","","","","","",""
"               Way Finders Brands Limited","84302","","","84302","","","","","",""
"                    India","84302","","","84302","","","","","",""
"                         Covered Flat Sheet","84302","","","84302","","","","","",""
"               Z Shoes","57615.04","","","57615.04","","","","","",""
"                    India","57615.04","","","57615.04","","","","","",""
"                         Uncovered Flat Sheet","57615.04","","","57615.04","","","","","",""
"               Zee Footwears Private Limited","383876","","","383876","","","","","",""
"                    India","383876","","","383876","","","","","",""
"                         Die Cut","383876","","","383876","","","","","",""
"          Customer Service","","238298","","238298","","","","","",""
"               N.M.Hashim & Co","","238298","","238298","","","","","",""
"                    India","","238298","","238298","","","","","",""
"                         Uncovered Flat Sheet","","238298","","238298","","","","","",""
"          Sales Team North","","","3373029.2","3373029.2","","","","","",""
"               Alpine Shoes Private Limited","","","1270714.5","1270714.5","","","","","",""
"                    India","","","1270714.5","1270714.5","","","","","",""
"                         Die Cut","","","1143905","1143905","","","","","",""
"                         Uncovered Flat Sheet","","","126809.5","126809.5","","","","","",""
"               Diamond Footcare Udyog Private Limited","","","168604","168604","","","","","",""
"                    India","","","168604","168604","","","","","",""
"                         Covered Flat Sheet","","","168604","168604","","","","","",""
"               Euro Footwear Private Limited","","","327204.6","327204.6","","","","","",""
"                    India","","","327204.6","327204.6","","","","","",""
"                         DIECUT","","","327204.6","327204.6","","","","","",""
"               Gsb Footwear Private Limited","","","273839","273839","","","","","",""
"                    India","","","273839","273839","","","","","",""
"                         Die Cut","","","273839","273839","","","","","",""
"               K.F.Exports","","","19320","19320","","","","","",""
"                    India","","","19320","19320","","","","","",""
"                         Uncovered Flat Sheet","","","19320","19320","","","","","",""
"               KIWI ENTERPRISES PRIVATE LIMITED","","","240600","240600","","","","","",""
"                    India","","","240600","240600","","","","","",""
"                         Uncovered Flat Sheet","","","240600","240600","","","","","",""
"               Karam Udyog","","","116880","116880","","","","","",""
"                    India","","","116880","116880","","","","","",""
"                         Uncovered Flat Sheet","","","116880","116880","","","","","",""
"               Mochiko Shoes Private Limited1","","","566435.1","566435.1","","","","","",""
"                    India","","","566435.1","566435.1","","","","","",""
"                         DIECUT","","","473555.1","473555.1","","","","","",""
"                         Die Cut","","","92880","92880","","","","","",""
"               R S V World Wide (Rb International)","","","377840","377840","","","","","",""
"                    India","","","377840","377840","","","","","",""
"                         Uncovered Flat Sheet","","","377840","377840","","","","","",""
"               Sri Jati Shoes Pvt Ltd","","","11592","11592","","","","","",""
"                    India","","","11592","11592","","","","","",""
"                         Uncovered Flat Sheet","","","11592","11592","","","","","",""
"     May 2024","72266011.505","1012095.09","23906069.814","97184176.409","","","","","",""
"          Sales Team South","72266011.505","","","72266011.505","","","","","",""
"               Alina Private Limited","847098.43","","","847098.43","","","","","",""
"                    India","847098.43","","","847098.43","","","","","",""
"                         Covered Flat Sheet","359612.55","","","359612.55","","","","","",""
"                         Uncovered Flat Sheet","487485.88","","","487485.88","","","","","",""
"               Apache Footwear India Private Limited","4612190.903","","","4612190.903","","","","","",""
"                    India","4612190.903","","","4612190.903","","","","","",""
"                         Covered Flat Sheet","57709.714","","","57709.714","","","","","",""
"                         DIECUT","2332666.289","","","2332666.289","","","","","",""
"                         Uncovered Flat Sheet","2221814.9","","","2221814.9","","","","","",""
"               Aston Shoes Private Limited","40370.07","","","40370.07","","","","","",""
"                    India","40370.07","","","40370.07","","","","","",""
"                         Uncovered Flat Sheet","40370.07","","","40370.07","","","","","",""
"               Bbk Shoes","340690.02","","","340690.02","","","","","",""
"                    India","340690.02","","","340690.02","","","","","",""
"                         Uncovered Flat Sheet","340690.02","","","340690.02","","","","","",""
"               Bright Sports Shoes Manufacturing Co","186570","","","186570","","","","","",""
"                    India","186570","","","186570","","","","","",""
"                         Covered Flat Sheet","186570","","","186570","","","","","",""
"               Delta Shoes Private Limited","415871.6","","","415871.6","","","","","",""
"                    India","415871.6","","","415871.6","","","","","",""
"                         DIECUT","331403","","","331403","","","","","",""
"                         Uncovered Flat Sheet","84468.6","","","84468.6","","","","","",""
"               East Wind Footwear Company Limited- (India Branch) Unit-1","14059698.885","","","14059698.885","","","","","",""
"                    India","14059698.885","","","14059698.885","","","","","",""
"                         Die Cut","14059698.885","","","14059698.885","","","","","",""
"               East Wind Footwear Company Limited- (India Branch) Unit-2","10579482.249","","","10579482.249","","","","","",""
"                    India","10579482.249","","","10579482.249","","","","","",""
"                         Covered Flat Sheet","10579482.249","","","10579482.249","","","","","",""
"               Euro Footwear Private Limited","11562","","","11562","","","","","",""
"                    India","11562","","","11562","","","","","",""
"                         DIECUT","11562","","","11562","","","","","",""
"               Fairway Enterprises Company Limited (India Branch) - Unit 1","6934613.269","","","6934613.269","","","","","",""
"                    India","6934613.269","","","6934613.269","","","","","",""
"                         Die Cut","6934613.269","","","6934613.269","","","","","",""
"               Fairway Enterprises Company Limited (India Branch) - Unit 2","4837673.8505","","","4837673.8505","","","","","",""
"                    India","4837673.8505","","","4837673.8505","","","","","",""
"                         Die Cut","4837673.8505","","","4837673.8505","","","","","",""
"               Farida Classic Shoes Private Limited","278640.13","","","278640.13","","","","","",""
"                    India","278640.13","","","278640.13","","","","","",""
"                         Uncovered Flat Sheet","278640.13","","","278640.13","","","","","",""
"               Farida Shoes Private Limited","587403.71","","","587403.71","","","","","",""
"                    India","587403.71","","","587403.71","","","","","",""
"                         Uncovered Flat Sheet","587403.71","","","587403.71","","","","","",""
"               Farida Shoes Private Limited Unit C","518846.28","","","518846.28","","","","","",""
"                    India","518846.28","","","518846.28","","","","","",""
"                         DIECUT","467016.93","","","467016.93","","","","","",""
"                         Uncovered Flat Sheet","51829.35","","","51829.35","","","","","",""
"               Fuzail Shoes Private Limited","40300","","","40300","","","","","",""
"                    India","40300","","","40300","","","","","",""
"                         DIECUT","40300","","","40300","","","","","",""
"               Gadsyll Shooes","49000","","","49000","","","","","",""
"                    India","49000","","","49000","","","","","",""
"                         DIECUT","49000","","","49000","","","","","",""
"               Good Leather Shoes Private Limited","300219.57","","","300219.57","","","","","",""
"                    India","300219.57","","","300219.57","","","","","",""
"                         Uncovered Flat Sheet","300219.57","","","300219.57","","","","","",""
"               Gsb Footwear Private Limited","652767.12","","","652767.12","","","","","",""
"                    India","652767.12","","","652767.12","","","","","",""
"                         Die Cut","652767.12","","","652767.12","","","","","",""
"               Habeeb Tanning Company","153279.5","","","153279.5","","","","","",""
"                    India","153279.5","","","153279.5","","","","","",""
"                         Uncovered Flat Sheet","153279.5","","","153279.5","","","","","",""
"               India Shoes Exports Private Limited","328648.08","","","328648.08","","","","","",""
"                    India","328648.08","","","328648.08","","","","","",""
"                         Covered Flat Sheet","59681.18","","","59681.18","","","","","",""
"                         Uncovered Flat Sheet","268966.9","","","268966.9","","","","","",""
"               Itares Shoes Private Limited","815588.97","","","815588.97","","","","","",""
"                    India","815588.97","","","815588.97","","","","","",""
"                         DIECUT","269362.2","","","269362.2","","","","","",""
"                         INSOLE","546226.77","","","546226.77","","","","","",""
"               K2 Foot Prints","176550","","","176550","","","","","",""
"                    India","176550","","","176550","","","","","",""
"                         Uncovered Flat Sheet","176550","","","176550","","","","","",""
"               KNS Trading Private Limited","545120.1","","","545120.1","","","","","",""
"                    India","545120.1","","","545120.1","","","","","",""
"                         Uncovered Flat Sheet","545120.1","","","545120.1","","","","","",""
"               Kenmore Shoes Private Limited","80026","","","80026","","","","","",""
"                    India","80026","","","80026","","","","","",""
"                         DIECUT","62372","","","62372","","","","","",""
"                         Uncovered Flat Sheet","17654","","","17654","","","","","",""
"               Lotus Footwear Enterprises Limited (India Branch) - Unit 1","12534069.3485","","","12534069.3485","","","","","",""
"                    India","12534069.3485","","","12534069.3485","","","","","",""
"                         Covered Flat Sheet","418767.2145","","","418767.2145","","","","","",""
"                         DIECUT","1388.67","","","1388.67","","","","","",""
"                         Die Cut","12113913.464","","","12113913.464","","","","","",""
"               Lotus Footwear Enterprises Limited (India Branch) - Unit 2","1165244.6","","","1165244.6","","","","","",""
"                    India","1165244.6","","","1165244.6","","","","","",""
"                         Die Cut","1165244.6","","","1165244.6","","","","","",""
"               Maxking (India) Footwear Private Limited","4438181.7","","","4438181.7","","","","","",""
"                    India","4438181.7","","","4438181.7","","","","","",""
"                         DIECUT","4181878","","","4181878","","","","","",""
"                         Uncovered Flat Sheet","256303.7","","","256303.7","","","","","",""
"               Mochiko Shoes Private Limited1","2369717.5","","","2369717.5","","","","","",""
"                    India","2369717.5","","","2369717.5","","","","","",""
"                         Covered Flat Sheet","39116","","","39116","","","","","",""
"                         DIECUT","2330601.5","","","2330601.5","","","","","",""
"               Mosons Enterprises","28500","","","28500","","","","","",""
"                    India","28500","","","28500","","","","","",""
"                         INSOLE","28500","","","28500","","","","","",""
"               N M Zackriah LLP","585200.86","","","585200.86","","","","","",""
"                    India","585200.86","","","585200.86","","","","","",""
"                         DIECUT","3699.85","","","3699.85","","","","","",""
"                         Uncovered Flat Sheet","581501.01","","","581501.01","","","","","",""
"               N.M.Hashim & Co","221990","","","221990","","","","","",""
"                    India","221990","","","221990","","","","","",""
"                         Die Cut","216000","","","216000","","","","","",""
"                         Uncovered Flat Sheet","5990","","","5990","","","","","",""
"               OPL INTERNATIONAL","126140","","","126140","","","","","",""
"                    India","126140","","","126140","","","","","",""
"                         Die Cut","126140","","","126140","","","","","",""
"               P A Footwear Private Limited","1098137.03","","","1098137.03","","","","","",""
"                    India","1098137.03","","","1098137.03","","","","","",""
"                         DIECUT","518580","","","518580","","","","","",""
"                         Tag","12831.84","","","12831.84","","","","","",""
"                         Uncovered Flat Sheet","566725.19","","","566725.19","","","","","",""
"               Pakkar Leather Exports Private Limited","135973","","","135973","","","","","",""
"                    India","135973","","","135973","","","","","",""
"                         Uncovered Flat Sheet","135973","","","135973","","","","","",""
"               Sara Suole Private Limited","527695.33","","","527695.33","","","","","",""
"                    India","527695.33","","","527695.33","","","","","",""
"                         Uncovered Flat Sheet","527695.33","","","527695.33","","","","","",""
"               Shalimar Tanning Company","264275","","","264275","","","","","",""
"                    India","264275","","","264275","","","","","",""
"                         Uncovered Flat Sheet","264275","","","264275","","","","","",""
"               Tata International Limited","58031.4","","","58031.4","","","","","",""
"                    India","58031.4","","","58031.4","","","","","",""
"                         Uncovered Flat Sheet","58031.4","","","58031.4","","","","","",""
"               Volare Shoes","750000","","","750000","","","","","",""
"                    India","750000","","","750000","","","","","",""
"                         Uncovered Flat Sheet","750000","","","750000","","","","","",""
"               Zee Footwears Private Limited","570645","","","570645","","","","","",""
"                    India","570645","","","570645","","","","","",""
"                         Die Cut","570645","","","570645","","","","","",""
"          Customer Service","","1012095.09","","1012095.09","","","","","",""
"               Farida Classic Shoes Private Limited","","672524.93","","672524.93","","","","","",""
"                    India","","672524.93","","672524.93","","","","","",""
"                         Uncovered Flat Sheet","","672524.93","","672524.93","","","","","",""
"               N M Zackriah LLP","","9513.9","","9513.9","","","","","",""
"                    India","","9513.9","","9513.9","","","","","",""
"                         Uncovered Flat Sheet","","9513.9","","9513.9","","","","","",""
"               P A Footwear Private Limited","","316094.26","","316094.26","","","","","",""
"                    India","","316094.26","","316094.26","","","","","",""
"                         Uncovered Flat Sheet","","316094.26","","316094.26","","","","","",""
"               Staby Footwear","","13962","","13962","","","","","",""
"                    India","","13962","","13962","","","","","",""
"                         Covered Flat Sheet","","13962","","13962","","","","","",""
"          Sales Team North","","","23906069.814","23906069.814","","","","","",""
"               Abros Sports International Private Limited","","","414600","414600","","","","","",""
"                    India","","","414600","414600","","","","","",""
"                         Covered Flat Sheet","","","414600","414600","","","","","",""
"               Alpine Shoes Private Limited","","","2201562.4","2201562.4","","","","","",""
"                    India","","","2201562.4","2201562.4","","","","","",""
"                         Covered Flat Sheet","","","158200.4","158200.4","","","","","",""
"                         Die Cut","","","1442077","1442077","","","","","",""
"                         Uncovered Flat Sheet","","","601285","601285","","","","","",""
"               Alpine Shoes Private Limited-Hp","","","334686.8","334686.8","","","","","",""
"                    India","","","334686.8","334686.8","","","","","",""
"                         Die Cut","","","334686.8","334686.8","","","","","",""
"               Apache Footwear India Private Limited","","","3352717.544","3352717.544","","","","","",""
"                    India","","","3352717.544","3352717.544","","","","","",""
"                         Covered Flat Sheet","","","360295.782","360295.782","","","","","",""
"                         DIECUT","","","133331.421","133331.421","","","","","",""
"                         Uncovered Flat Sheet","","","2859090.341","2859090.341","","","","","",""
"               Array Fashions Private Limited","","","80934","80934","","","","","",""
"                    India","","","80934","80934","","","","","",""
"                         DIECUT","","","80934","80934","","","","","",""
"               Basant Overseas","","","58194","58194","","","","","",""
"                    India","","","58194","58194","","","","","",""
"                         Uncovered Flat Sheet","","","58194","58194","","","","","",""
"               Bata India Limited- Kolkata","","","13820","13820","","","","","",""
"                    India","","","13820","13820","","","","","",""
"                         Covered Flat Sheet","","","13820","13820","","","","","",""
"               Diamond Footcare Udyog Private Limited","","","140964","140964","","","","","",""
"                    India","","","140964","140964","","","","","",""
"                         Covered Flat Sheet","","","140964","140964","","","","","",""
"               Euro Footwear Private Limited","","","570966","570966","","","","","",""
"                    India","","","570966","570966","","","","","",""
"                         Uncovered Flat Sheet","","","570966","570966","","","","","",""
"               Expo International","","","557640","557640","","","","","",""
"                    India","","","557640","557640","","","","","",""
"                         Die Cut","","","557640","557640","","","","","",""
"               Gsb Footwear Private Limited","","","646901.8","646901.8","","","","","",""
"                    India","","","646901.8","646901.8","","","","","",""
"                         Covered Flat Sheet","","","316240","316240","","","","","",""
"                         Die Cut","","","330661.8","330661.8","","","","","",""
"               Gupta H.C.Overseas (I) Private Limited","","","377840","377840","","","","","",""
"                    India","","","377840","377840","","","","","",""
"                         Uncovered Flat Sheet","","","377840","377840","","","","","",""
"               KNS Trading Private Limited","","","891468.3","891468.3","","","","","",""
"                    India","","","891468.3","891468.3","","","","","",""
"                         Die Cut","","","168096","168096","","","","","",""
"                         Uncovered Flat Sheet","","","723372.3","723372.3","","","","","",""
"               Kaps Overseas","","","32200","32200","","","","","",""
"                    India","","","32200","32200","","","","","",""
"                         Uncovered Flat Sheet","","","32200","32200","","","","","",""
"               Lamba Footwear Industries","","","94255.2","94255.2","","","","","",""
"                    India","","","94255.2","94255.2","","","","","",""
"                         Covered Flat Sheet","","","94255.2","94255.2","","","","","",""
"               Leiner Shoes Private Limited","","","63546","63546","","","","","",""
"                    India","","","63546","63546","","","","","",""
"                         Uncovered Flat Sheet","","","63546","63546","","","","","",""
"               Leiner Shoes Private Limited,Noida","","","55173.6","55173.6","","","","","",""
"                    India","","","55173.6","55173.6","","","","","",""
"                         Uncovered Flat Sheet","","","55173.6","55173.6","","","","","",""
"               Mochiko Shoes Private Limited1","","","6273114.74","6273114.74","","","","","",""
"                    India","","","6273114.74","6273114.74","","","","","",""
"                         Covered Flat Sheet","","","682752","682752","","","","","",""
"                         DIECUT","","","2520486.74","2520486.74","","","","","",""
"                         Die Cut","","","3069876","3069876","","","","","",""
"               Mochiko Sports Private Limited","","","6267415.7","6267415.7","","","","","",""
"                    India","","","6267415.7","6267415.7","","","","","",""
"                         DIECUT","","","5935813","5935813","","","","","",""
"                         Die Cut","","","212077","212077","","","","","",""
"                         Uncovered Flat Sheet","","","119525.7","119525.7","","","","","",""
"               Mochiko Sports Private Limited- Rishikesh","","","605022","605022","","","","","",""
"                    India","","","605022","605022","","","","","",""
"                         Die Cut","","","605022","605022","","","","","",""
"               Purti International","","","12236","12236","","","","","",""
"                    India","","","12236","12236","","","","","",""
"                         Uncovered Flat Sheet","","","12236","12236","","","","","",""
"               Raj Overseas","","","23184","23184","","","","","",""
"                    India","","","23184","23184","","","","","",""
"                         Uncovered Flat Sheet","","","23184","23184","","","","","",""
"               Ram Fashion Exports Private Limited","","","30068","30068","","","","","",""
"                    India","","","30068","30068","","","","","",""
