"league","gametime","gamedate","home","positionH","versus","away","positionA"
"","17:30","01/10/2017","NEWCASTLE","9","","LIVERPOOL","6"
"FINLAND>VEIKKAUSLIIGA","17:30","01/10/2017","IFK MARIEHAMN","6","","SJK","5"
"FRANCE>LIGUE 1","15:00","01/10/2017","ESTAC TROYES","13","","ST ETIENNE","4"
"","17:00","01/10/2017","ANGERS","12","","LYON","7"
"","21:00","01/10/2017","NICE","9","","MARSEILLE","5"
"GERMANY>BUNDESLIGA","13:30","01/10/2017","SC FREIBURG","16","","1899 HOFFENHEIM","2"
"","15:30","01/10/2017","HERTHA BERLIN","11","","BAYERN MUNICH","3"
"","18:00","01/10/2017","FC KOLN","18","","RB LEIPZIG","7"
"GREECE>SUPER LEAGUE","15:00","01/10/2017","OLYMPIAKOS PIRAEUS","4","","ATROMITOS ATHINON","6"
"","17:15","01/10/2017","A.O.K. KERKYRA","11","","XANTHI FC","8"
"","17:15","01/10/2017","LEVADIAKOS","7","","APOLLON SMIRNIS","16"
"","19:30","01/10/2017","ASTERAS TRIPOLIS","14","","AEK ATHENS","1"
"ITALY>SERIE A","12:30","01/10/2017","NAPOLI","1","","CAGLIARI","13"
"","15:00","01/10/2017","BENEVENTO","20","","INTER","3"
"","15:00","01/10/2017","CHIEVO","10","","FIORENTINA","12"
"","15:00","01/10/2017","LAZIO","4","","SASSUOLO","15"
"","15:00","01/10/2017","SPAL","14","","CROTONE","16"
"","15:00","01/10/2017","TORINO","8","","VERONA","19"
"","18:00","01/10/2017","AC MILAN","6","","ROMA","5"
"","20:45","01/10/2017","ATALANTA","9","","JUVENTUS","2"
"ITALY>SERIE B","15:00","01/10/2017","FOGGIA","19","","NOVARA","18"
"JAPAN>J1 LEAGUE","07:00","01/10/2017","VEGALTA SENDAI","12","","URAWA RED DIAMONDS","7"
"NETHERLANDS>EREDIVISIE","12:30","01/10/2017","AZ ALKMAAR","5","","FEYENOORD","4"
"","14:30","01/10/2017","HEERENVEEN","2","","AJAX","7"
"","14:30","01/10/2017","VITESSE","3","","UTRECHT","9"
"","16:45","01/10/2017","SPARTA ROTTERDAM","16","","RODA","18"
"NORWAY>ELITESERIEN","18:00","01/10/2017","ODD BALLKLUBB","7","","HAUGESUND","5"
"","18:00","01/10/2017","SANDEFJORD","8","","AALESUND","14"
"","18:00","01/10/2017","SOGNDAL","13","","MOLDE","4"
"","18:00","01/10/2017","TROMSO","15","","LILLESTROM","11"
"","18:00","01/10/2017","VIKING","16","","STROMSGODSET","6"
"","20:00","01/10/2017","ROSENBORG","1","","SARPSBORG 08 FF","2"
"PERU>CLAUSURA","18:00","01/10/2017","AYACUCHO FC","15","","SPORTING CRISTAL","11"
"","18:30","01/10/2017","FBC MELGAR","5","","SPORT ROSARIO","13"
"","20:30","01/10/2017","REAL GARCILASO","2","","ACADEMIA CANTOLAO","14"
"POLAND>EKSTRAKLASA","15:30","01/10/2017","GORNIK ZABRZE","1","","PIAST GLIWICE","15"
"","15:30","01/10/2017","WISLA PLOCK","11","","TERMALICA NIECIECZA","14"
"","18:00","01/10/2017","LECH POZNAN","3","","LEGIA WARSZAWA","6"
"PORTUGAL>PRIMEIRA LIGA","18:15","01/10/2017","SC BRAGA","5","","ESTORIL","16"
"","20:15","01/10/2017","SPORTING CP","2","","FC PORTO","1"
"","22:30","01/10/2017","BELENENSES","7","","GUIMARAES","8"
"","22:30","01/10/2017","MARITIMO","4","","BENFICA","3"
"SOUTH KOREA>K LEAGUE","08:00","01/10/2017","GANGWON FC","6","","ULSAN HYUNDAI FC","3"
"","08:00","01/10/2017","JEJU UNITED FC","2","","GWANGJU FC","12"
"","08:00","01/10/2017","SUWON BLUEWINGS","4","","JEONBUK MOTORS","1"
"SPAIN>PRIMERA DIVISION","12:00","01/10/2017","REAL SOCIEDAD","8","","BETIS","5"
"","16:15","01/10/2017","BARCELONA","1","","LAS PALMAS","17"
"","18:30","01/10/2017","VALENCIA","4","","ATHLETIC CLUB","12"
"","18:30","01/10/2017","VILLARREAL","14","","EIBAR","18"
"","20:45","01/10/2017","REAL MADRID","6","","ESPANYOL","13"
"SWEDEN>ALLSVENSKAN","15:00","01/10/2017","GIF SUNDSVALL","13","","DJURGARDEN","2"
"","15:00","01/10/2017","MALMO FF","1","","HALMSTAD","16"
"","15:00","01/10/2017","OSTERSUNDS FK","6","","HACKEN","4"
"","17:30","01/10/2017","AIK","3","","IF ELFSBORG","11"
"","17:30","01/10/2017","HAMMARBY","8","","IFK NORRKOPING","5"
"","17:30","01/10/2017","OREBRO","10","","KALMAR FF","12"
"SWITZERLAND>SUPER LEAGUE","16:00","01/10/2017","BSC YOUNG BOYS","1","","FC ST. GALLEN","2"
"","16:00","01/10/2017","FC THUN","9","","FC LUZERN","7"
"","16:00","01/10/2017","FC ZURICH","3","","FC LUGANO","10"
"TURKEY>SUPER LIG","13:00","01/10/2017","YENI MALATYASPOR","12","","KONYASPOR","14"
"","15:30","01/10/2017","ALANYASPOR","13","","GENCLERBIRLIGI","17"
"","18:30","01/10/2017","BESIKTAS","3","","TRABZONSPOR","10"
"","18:30","01/10/2017","GOZTEPE","4","","ISTANBUL BASAKSEHIR","7"
"USA>MAJOR LEAGUE SOCCER","01:00","01/10/2017","TORONTO FC","1","","NEW YORK RED BULLS","6"
"","01:30","01/10/2017","COLUMBUS CREW","5","","DC UNITED","11"
"","01:30","01/10/2017","NEW ENG. REVOLUTION","8","","ATLANTA UNITED FC","3"
"","02:30","01/10/2017","CHICAGO FIRE","4","","NEW YORK CITY FC","2"
"","02:30","01/10/2017","HOUSTON DYNAMO","7","","MINNESOTA UNITED FC","9"
"","03:00","01/10/2017","COLORADO RAPIDS","11","","MONTREAL IMPACT","7"
"","03:00","01/10/2017","SPORTING KANSAS CITY","3","","VANCOUVER WHITECAPS","1"
"","04:30","01/10/2017","LOS ANGELES GALAXY","10","","REAL SALT LAKE","6"
"","04:30","01/10/2017","SAN JOSE EARTHQUAKES","8","","PORTLAND TIMBERS","2"
"","19:00","01/10/2017","PHILADELPHIA UNION","10","","SEATTLE SOUNDERS","4"
"COLOMBIA>CLAUSURA","(00:30)","01/10/2017","DEPORTES TOLIMA","9","","INDEPENDIENTE MEDELLIN","7"
"PERU>CLAUSURA","(22:30)","01/10/2017","COMERCIANTES UNIDOS","8","","UNIVERSITARIO","4"
