"DBN","School Name","Progress Score","Progress Grade","Credit accumulation per year 0-11","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Credit accumulation per year 11-22","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Credit accumulation per year 22-33","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Credit accumulation per year 33-38","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Average change in Attendance","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Average Completion Rate of Remaining Regents","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - English","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - Math","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - Science","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - Global History","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Weighted Regents Pass Rate - US History","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range"
"07X321","Crotona Academy High School","32.3","B","8.41","2.65","11.81","62.9%","1.76","11.48","68.4%","8.09","3.13","12.69","51.9%","3.01","12.25","55.0%","9.68","5.32","14.10","49.7%","5.82","13.34","51.3%","8.24","5.13","13.85","35.7%","5.76","12.98","34.3%","-6.1%","-11.0%","9.2%","24.3%","-11.7%","9.9%","25.9%","31.4%","4.0%","48.0%","62.3%","1.4%","43.0%","72.1%","0.98","0.43","2.09","33.1%","0.41","1.91","38.0%","2.27","0.19","2.23","100.0%","0.08","2.26","100.0%","3.00","0.62","2.32","100.0%","0.47","2.55","100.0%","2.66","0.20","2.38","100.0%","0.20","2.48","100.0%","1.73","0.54","1.84","91.5%","0.49","1.89","88.6%"
"07X379","Jill Chaifetz Transfer High School","21.6","D","5.65","1.61","10.35","46.2%","1.76","11.48","40.0%","6.06","3.10","11.50","35.2%","3.01","12.25","33.0%","10.46","6.35","13.03","61.5%","5.82","13.34","61.7%","8.33","6.64","11.98","31.6%","5.76","12.98","35.6%","-10.0%","-12.1%","10.3%","9.4%","-11.7%","9.9%","7.9%","17.3%","3.1%","34.7%","44.9%","1.4%","43.0%","38.2%","1.06","0.48","1.64","50.0%","0.41","1.91","43.3%","0.95","0.03","2.23","41.8%","0.08","2.26","39.9%","1.55","0.43","2.65","50.5%","0.47","2.55","51.9%","1.77","0.21","2.47","69.0%","0.20","2.48","68.9%","1.19","0.43","1.91","51.4%","0.49","1.89","50.0%"
"07X381","Bronx Haven High School","21.5","D","5.19","1.62","10.36","40.8%","1.76","11.48","35.3%","6.52","3.37","11.39","39.3%","3.01","12.25","38.0%","8.53","6.34","13.00","32.9%","5.82","13.34","36.0%",".","6.76","11.94",".","5.76","12.98",".","-10.6%","-12.3%","10.5%","7.5%","-11.7%","9.9%","5.1%","17.9%","3.1%","34.7%","46.8%","1.4%","43.0%","39.7%","1.34","0.48","1.64","74.1%","0.41","1.91","62.0%","1.72","0.03","2.23","76.8%","0.08","2.26","75.2%","0.88","0.43","2.65","20.3%","0.47","2.55","19.7%","1.46","0.21","2.47","55.3%","0.20","2.48","55.3%","1.50","0.43","1.91","72.3%","0.49","1.89","72.1%"
"08X377","Bronx Community High School","25.7","C","5.01","1.90","11.72","31.7%","1.76","11.48","33.4%","6.98","2.95","12.45","42.4%","3.01","12.25","43.0%","9.37","5.58","13.80","46.1%","5.82","13.34","47.2%","7.57","5.71","13.35","24.3%","5.76","12.98","25.1%","-6.5%","-10.9%","8.7%","22.4%","-11.7%","9.9%","24.1%","19.5%","4.2%","43.6%","38.8%","1.4%","43.0%","43.5%","1.41","0.43","1.99","62.8%","0.41","1.91","66.7%","1.54","0.24","2.12","69.1%","0.08","2.26","67.0%","1.53","0.58","2.48","50.0%","0.47","2.55","51.0%","2.29","0.25","2.37","96.2%","0.20","2.48","91.7%","1.42","0.52","1.84","68.2%","0.49","1.89","66.4%"
"08X537","Bronx Arena High School",".",".","3.56","2.03","10.91","17.2%","1.76","11.48","18.5%","5.61","3.06","11.84","29.0%","3.01","12.25","28.1%","7.49","5.89","13.39","21.3%","5.82","13.34","22.2%",".","5.73","12.73",".","5.76","12.98",".","1.3%","-10.8%","8.4%","63.0%","-11.7%","9.9%","60.2%","19.9%","4.2%","36.6%","48.5%","1.4%","43.0%","44.5%","1.03","0.38","1.80","45.8%","0.41","1.91","41.3%","0.74","0.12","2.06","32.0%","0.08","2.26","30.3%","1.29","0.49","2.47","40.4%","0.47","2.55","39.4%","0.76","0.20","2.42","25.2%","0.20","2.48","24.6%","0.81","0.48","1.84","24.3%","0.49","1.89","22.9%"
"08X560","Bronx Academy High School",".",".",".","2.02","11.78",".","1.76","11.48",".","4.33","2.94","12.52","14.5%","3.01","12.25","14.3%","6.99","5.58","13.86","17.0%","5.82","13.34","15.6%","7.87","5.70","13.38","28.3%","5.76","12.98","29.2%","-17.9%","-10.9%","8.7%","0.0%","-11.7%","9.9%","0.0%","19.6%","4.5%","43.9%","38.3%","1.4%","43.0%","43.8%","1.04","0.45","1.99","38.3%","0.41","1.91","42.0%","1.15","0.23","2.13","48.4%","0.08","2.26","49.1%","1.24","0.59","2.47","34.6%","0.47","2.55","37.0%","0.98","0.27","2.39","33.5%","0.20","2.48","34.2%","0.86","0.55","1.83","24.2%","0.49","1.89","26.4%"
"10X319","Providing Urban Learners Success In Education High School","35.0","B","5.71","1.55","9.73","50.9%","1.76","11.48","40.6%","6.06","3.12","11.12","36.8%","3.01","12.25","33.0%","9.39","6.35","12.41","50.2%","5.82","13.34","47.5%",".","6.71","11.63",".","5.76","12.98",".","4.4%","-13.5%","10.1%","75.8%","-11.7%","9.9%","74.5%","13.3%","1.5%","33.7%","36.6%","1.4%","43.0%","28.6%","1.18","0.43","1.63","62.5%","0.41","1.91","51.3%","2.12","0.00","2.30","92.2%","0.08","2.26","93.6%","1.73","0.37","2.67","59.1%","0.47","2.55","60.6%","3.07","0.17","2.53","100.0%","0.20","2.48","100.0%","1.85","0.42","1.94","94.1%","0.49","1.89","97.1%"
"12X446","Arturo A. Schomburg Satellite Academy Bronx","28.6","C","6.96","1.62","10.24","61.9%","1.76","11.48","53.5%","8.20","3.34","11.34","60.8%","3.01","12.25","56.2%","10.93","6.33","12.91","69.9%","5.82","13.34","68.0%","10.20","6.74","11.92","66.8%","5.76","12.98","61.5%","-4.0%","-12.2%","10.6%","36.0%","-11.7%","9.9%","35.6%",".","3.4%","33.6%",".","1.4%","43.0%",".","1.11","0.47","1.63","55.2%","0.41","1.91","46.7%",".","0.01","2.23",".","0.08","2.26",".",".","0.42","2.68",".","0.47","2.55",".",".","0.21","2.45",".","0.20","2.48",".",".","0.43","1.89",".","0.49","1.89","."
"12X480","Bronx Regional High School","10.4","F","6.32","2.78","11.76","39.4%","1.76","11.48","46.9%","5.25","3.29","12.55","21.2%","3.01","12.25","24.2%","5.59","5.40","14.02","2.2%","5.82","13.34","0.0%","6.23","5.27","13.69","11.4%","5.76","12.98","6.5%","-10.7%","-10.6%","9.6%","0.0%","-11.7%","9.9%","4.6%","12.5%","4.4%","46.8%","19.1%","1.4%","43.0%","26.7%","1.09","0.44","2.08","39.6%","0.41","1.91","45.3%","1.53","0.19","2.19","67.0%","0.08","2.26","66.5%","0.95","0.55","2.45","21.1%","0.47","2.55","23.1%","1.05","0.22","2.44","37.4%","0.20","2.48","37.3%","0.69","0.55","1.85","10.8%","0.49","1.89","14.3%"
"13K553","Brooklyn Academy High School","36.4","B",".","2.07","11.33",".","1.76","11.48",".","8.94","2.98","12.14","65.1%","3.01","12.25","64.2%","9.81","5.87","13.47","51.8%","5.82","13.34","53.1%","9.57","5.71","13.03","52.7%","5.76","12.98","52.8%","0.3%","-10.7%","8.3%","57.9%","-11.7%","9.9%","55.6%","31.0%","4.3%","37.9%","79.5%","1.4%","43.0%","71.2%","1.59","0.38","1.88","80.7%","0.41","1.91","78.7%","1.07","0.15","2.03","48.9%","0.08","2.26","45.4%","1.76","0.50","2.44","64.9%","0.47","2.55","62.0%","3.22","0.24","2.42","100.0%","0.20","2.48","100.0%","1.86","0.49","1.85","100.0%","0.49","1.89","97.9%"
"13K575","Bedford Stuyvesant Preparatory High School","27.4","C",".","2.50","11.98",".","1.76","11.48",".","6.49","2.98","12.82","35.7%","3.01","12.25","37.7%","9.25","5.12","14.00","46.5%","5.82","13.34","45.6%","8.55","5.07","13.81","39.8%","5.76","12.98","38.6%","-3.0%","-11.2%","9.0%","40.6%","-11.7%","9.9%","40.3%","21.6%","4.1%","48.9%","39.1%","1.4%","43.0%","48.6%","1.25","0.42","2.14","48.3%","0.41","1.91","56.0%","1.68","0.21","2.25","72.1%","0.08","2.26","73.4%","1.73","0.61","2.33","65.1%","0.47","2.55","60.6%","2.06","0.21","2.43","83.3%","0.20","2.48","81.6%","1.33","0.59","1.85","58.7%","0.49","1.89","60.0%"
"13K616","Brooklyn High School for Leadership and Community Service","29.1","C","5.40","1.57","10.81","41.5%","1.76","11.48","37.4%","7.49","3.15","11.79","50.2%","3.01","12.25","48.5%","10.44","6.41","13.17","59.6%","5.82","13.34","61.4%","9.93","6.75","11.99","60.7%","5.76","12.98","57.8%","2.1%","-11.9%","10.5%","62.5%","-11.7%","9.9%","63.9%","18.4%","2.6%","35.8%","47.6%","1.4%","43.0%","40.9%","0.75","0.47","1.67","23.3%","0.41","1.91","22.7%","1.53","0.01","2.21","69.1%","0.08","2.26","66.5%","1.78","0.45","2.57","62.7%","0.47","2.55","63.0%","2.11","0.19","2.55","81.4%","0.20","2.48","83.8%","0.64","0.44","1.90","13.7%","0.49","1.89","10.7%"
"15K423","Brooklyn Frontiers High School",".",".","8.77","1.62","9.90","86.4%","1.76","11.48","72.1%",".","3.64","10.90",".","3.01","12.25",".",".","6.29","12.55",".","5.82","13.34",".",".","6.48","11.74",".","5.76","12.98",".","-5.7%","-13.2%","10.2%","32.1%","-11.7%","9.9%","27.8%",".","0.0%","34.6%",".","1.4%","43.0%",".",".","0.42","1.66",".","0.41","1.91",".",".","0.00","2.38",".","0.08","2.26",".",".","0.31","2.69",".","0.47","2.55",".",".","0.17","2.57",".","0.20","2.48",".",".","0.44","1.98",".","0.49","1.89","."
"15K520","Pacific High School",".",".",".","1.57","9.79",".","1.76","11.48",".",".","3.25","11.03",".","3.01","12.25",".","11.39","6.36","12.32","84.4%","5.82","13.34","74.1%","9.70","6.75","11.53","61.7%","5.76","12.98","54.6%","-19.8%","-13.1%","10.3%","0.0%","-11.7%","9.9%","0.0%","33.1%","2.0%","33.4%","99.0%","1.4%","43.0%","76.2%","1.06","0.44","1.66","50.8%","0.41","1.91","43.3%","2.60","0.00","2.26","100.0%","0.08","2.26","100.0%","1.24","0.35","2.79","36.5%","0.47","2.55","37.0%","2.71","0.18","2.58","100.0%","0.20","2.48","100.0%","1.43","0.43","1.93","66.7%","0.49","1.89","67.1%"
"15K529","West Brooklyn Community High School","38.6","A","7.11","1.81","11.59","54.2%","1.76","11.48","55.0%","8.78","2.83","12.43","62.0%","3.01","12.25","62.4%","11.25","5.68","13.70","69.5%","5.82","13.34","72.2%","11.86","5.77","13.29","81.0%","5.76","12.98","84.5%","4.8%","-11.1%","8.5%","81.1%","-11.7%","9.9%","76.4%","22.1%","3.6%","43.0%","47.0%","1.4%","43.0%","49.8%","1.8","0.43","1.97","89.0%","0.41","1.91","92.7%","1.33","0.20","2.10","59.5%","0.08","2.26","57.3%","1.99","0.53","2.47","75.3%","0.47","2.55","73.1%","1.78","0.26","2.38","71.7%","0.20","2.48","69.3%","1.55","0.50","1.82","79.5%","0.49","1.89","75.7%"
"15K698","South Brooklyn Community High School","25.4","C","6.19","2.43","11.77","40.3%","1.76","11.48","45.6%","8.15","2.94","12.52","54.4%","3.01","12.25","55.6%","9.46","5.40","13.90","47.8%","5.82","13.34","48.4%","9.12","5.33","13.49","46.4%","5.76","12.98","46.5%","-1.9%","-10.4%","9.0%","43.8%","-11.7%","9.9%","45.4%","17.6%","4.9%","45.3%","31.4%","1.4%","43.0%","38.9%","1.14","0.44","2.02","44.3%","0.41","1.91","48.7%","1.06","0.18","2.18","44.0%","0.08","2.26","45.0%","2.41","0.53","2.45","97.9%","0.47","2.55","93.3%","0.69","0.22","2.40","21.6%","0.20","2.48","21.5%","0.93","0.56","1.84","28.9%","0.49","1.89","31.4%"
"17K489","W.E.B. Dubois Academic High School","25.3","C","5.78","1.77","10.31","47.0%","1.76","11.48","41.4%","6.17","3.24","11.42","35.8%","3.01","12.25","34.2%","8.53","6.43","12.95","32.2%","5.82","13.34","36.0%",".","6.74","11.94",".","5.76","12.98",".","-4.7%","-11.9%","10.5%","32.1%","-11.7%","9.9%","32.4%","19.2%","2.4%","35.6%","50.6%","1.4%","43.0%","42.8%","1.06","0.46","1.66","50.0%","0.41","1.91","43.3%","0.98","0.01","2.25","43.3%","0.08","2.26","41.3%","2.02","0.42","2.62","72.7%","0.47","2.55","74.5%","1.77","0.18","2.50","68.5%","0.20","2.48","68.9%","1.69","0.44","1.92","84.5%","0.49","1.89","85.7%"
