"BIG TOOL TRAILER INVENTORY","","","","","","","","","",""
"Tool Trailer # ________________________","","","","","","Job #: ___________________________","","","",""
"Inv. By: _____________________________","","","","","","Date: ____________________________","","","",""
"","","","","","","","","","",""
"1/2 INCH DRIVE SOCKETS","","","","","","","","","",""
"UP","Stock","Location","Total Price","Description","","UP","Stock","Location","Total Price ","Description"
"$9.40","","1"," """"$""* ""-""??"" ","15/16""","","$19.64","","1"," """"$""* ""-""??"" ","1-5/8"""
"$10.06","","2"," """"$""* ""-""??"" ","1""","","$19.64","","2"," """"$""* ""-""??"" ","1-11/16"""
"$10.06","","3"," """"$""* ""-""??"" ","1-1/16""","","$19.51","","3"," """"$""* ""-""??"" ","1-3/4"""
"$10.81","","4"," """"$""* ""-""??"" ","1-1/8""","","$19.49","","4"," """"$""* ""-""??"" ","1-13/16"""
"$15.85","","1"," """"$""* ""-""??"" ","1-3/16""","","$22.44","","1"," """"$""* ""-""??"" ","1-7/8"""
"$12.73","","2"," """"$""* ""-""??"" ","1-1/4""","","$26.57","","2"," """"$""* ""-""??"" ","2"""
"$13.05","","3"," """"$""* ""-""??"" ","1-5/16""","","$45.46","","3"," """"$""* ""-""??"" ","3/4"" swivel"
"$13.71","","4"," """"$""* ""-""??"" ","1-3/8""","","$31.65","","4"," """"$""* ""-""??"" ","3/4"" x 6"" Extension"
"$13.94","1","1"," """"$""* #,##0.00"" ","1-7/16""","","$4.16","10","1"," """"$""* #,##0.00"" ","3/4"" Socket Keepers"
"$16.17","","2"," """"$""* ""-""??"" ","1-1/2""","","","","2","",""
"","","","","","","","","","",""
"","","","","Updated 6/8/15","","","","","",""
"COMBINATION WRENCHES","","","","","","","","","",""
"UP","Stock","","Total Price ","Description","","UP","Stock","","Total Price ","Description"
"$2.13","","3"," """"$""* ""-""??"" ","3/8""","","$43.70","","3"," """"$""* ""-""??"" ","1-1/4"""
"$2.05","","4"," """"$""* ""-""??"" ","7/16""","","$41.21","","4"," """"$""* ""-""??"" ","1-5/16"""
"$2.24","","1"," """"$""* ""-""??"" ","1/2""","","$43.91","","1"," """"$""* ""-""??"" ","1-3/8"""
"$2.39","","2"," """"$""* ""-""??"" ","9/16""","","$48.85","","2"," """"$""* ""-""??"" ","1-7/16"""
"$2.68","","3"," """"$""* ""-""??"" ","5/8""","","$57.91","","3"," """"$""* ""-""??"" ","1-1/2"""
"$3.04","","4"," """"$""* ""-""??"" ","11/16""","","$100.57","","4"," """"$""* ""-""??"" ","1-9/16"""
"$15.98","","1"," """"$""* ""-""??"" ","3/4""","","$60.98","","1"," """"$""* ""-""??"" ","1-5/8"""
"$3.94","","2"," """"$""* ""-""??"" ","13/16""","","$65.84","","2"," """"$""* ""-""??"" ","1-11/16"""
"$4.40","","3"," """"$""* ""-""??"" ","7/8""","","$32.76","","3"," """"$""* ""-""??"" ","1-3/4"""
"$5.05","","4"," """"$""* ""-""??"" ","15/16""","","$58.07","","4"," """"$""* ""-""??"" ","1-13/16"""
"$6.46","","1"," """"$""* ""-""??"" ","1""","","$43.36","","1"," """"$""* ""-""??"" ","1-7/8"""
"$7.61","","2"," """"$""* ""-""??"" ","1-1/16""","","$110.41","","2"," """"$""* ""-""??"" ","1-15/16"""
"$8.05","","3"," """"$""* ""-""??"" ","1-1/8""","","$38.84","","3"," """"$""* ""-""??"" ","2"" "
"$40.55","","4"," """"$""* ""-""??"" ","1-3/16""","","","","4","",""
"HAND TOOLS","","","","","","","","","",""
"UP","Stock","","Total Price ","Description","","UP","Stock","","Total Price ","Description"
"$24.02","","1"," """"$""* ""-""??"" ","bull pins","","$14.16","","1"," """"$""* ""-""??"" ","8"" ""C"" clamps"
"$5.59","14","2"," """"$""* #,##0.00"" ","utility knives","","$7.92","24","2"," """"$""* #,##0.00"" ","H5001 light bulbs"
"$11.77","","3"," """"$""* ""-""??"" ","tin snips","","$3.50","","3"," """"$""* ""-""??"" ","Replacement Quartz bulbs"
"$11.58","","4"," """"$""* ""-""??"" ","large wedge","","$20.44","1","4"," """"$""* #,##0.00"" ","6"" calipers"
"$6.53","","1"," """"$""* ""-""??"" ","small wedge","","$3.74","8","1"," """"$""* #,##0.00"" ","25' tape measure"
"$1.52","4","2"," """"$""* #,##0.00"" ","wire brush","","$15.11","","2"," """"$""* ""-""??"" ","100' tape measure"
"$10.00","20","3"," """"$""* #,##0.00"" ","Tube bottle brush SS","","$17.96","1","3"," """"$""* #,##0.00"" ","Utility Knife Blades"
"$5.68","6","4"," """"$""* #,##0.00"" ","3"" scraper","","$6.47","","4"," """"$""* ""-""??"" ","Tap bars"
"$4.29","2","1"," """"$""* #,##0.00"" ","Flat head screwdriver","","$8.81","","1"," """"$""* ""-""??"" ","1/2""X13 tap (12 T-12 Btm)"
"$3.82","5","2"," """"$""* #,##0.00"" ","Phillips head screwdriver","","$21.70","","2"," """"$""* ""-""??"" ","1/2"" tap extractor"
"$4.33","","3"," """"$""* ""-""??"" ","chipping hammer","","$4.35","","3"," """"$""* ""-""??"" ","27/64"" drill bits"
"$4.05","","4"," """"$""* ""-""??"" ","center punch","","$1.45","","4"," """"$""* ""-""??"" ","1/4"" drill bits"
"$5.91","","1"," """"$""* ""-""??"" ","chisel","","$0.37","12","1"," """"$""* #,##0.00"" ","Teflon Tape"
"$9.84","","2"," """"$""* ""-""??"" ","lineman pliers","","$1.04","12","2"," """"$""* #,##0.00"" ","electrical tape"
"$10.50","","3"," """"$""* ""-""??"" ","vise grips","","$0.30","50","3"," """"$""* #,##0.00"" ","Chicago Gaskets"
"$14.26","","4"," """"$""* ""-""??"" ","channel locks","","$22.10","","4"," """"$""* ""-""??"" ","GFCI's"
"$22.48","","1"," """"$""* ""-""??"" ","needle nose pliers","","$5.50","2","1"," """"$""* #,##0.00"" ","standard slip joint pliers"
"$20.67","","2"," """"$""* ""-""??"" ","bolt cutters","","$9.84","","2"," """"$""* ""-""??"" ","wire cutters (side cutters)"
"$11.02","","3"," """"$""* ""-""??"" ","hack saw","","$350.00","","3"," """"$""* ""-""??"" ","Large Air Movers "
"$1.20","30","4"," """"$""* #,##0.00"" ","hack saw blades","","$4.28","","4"," """"$""* ""-""??"" ","Allen wrench set"
"$45.91","","1"," """"$""* ""-""??"" ","15"" crescent","","$0.92","48","1"," """"$""* #,##0.00"" ","""D"" cell batteries"
"$12.25","","2"," """"$""* ""-""??"" ","12"" crescent","","$3.54","","2"," """"$""* ""-""??"" ","Bamboo Knife "
"$8.51","","3"," """"$""* ""-""??"" ","10""crescent","","$12.10","","3"," """"$""* ""-""??"" ","low-volt plug(Male)"
"$51.33","","4"," """"$""* ""-""??"" ","Screening Rig Boot 10""","","$20.60","","4"," """"$""* ""-""??"" ","low-volt plug(Female)"
"$70.90","","1"," """"$""* ""-""??"" ","24"" pipe wrench","","$9.84","","1"," """"$""* ""-""??"" ","110 VAC Plug(Male)"
"$44.80","","2"," """"$""* ""-""??"" ","18"" pipe wrench","","$3.98","","2"," """"$""* ""-""??"" ","110 VAC Plug(Female)"
"$6.94","","3"," """"$""* ""-""??"" ","3/4 Water Ball Valves","","$7.59","4","3"," """"$""* #,##0.00"" ","broom"
"$27.64","","4"," """"$""* ""-""??"" ","12"" pipe wrench","","$63.95","2","4"," """"$""* #,##0.00"" ","mop/mop bucket"
"$6.25","","1"," """"$""* ""-""??"" ","Knee Pads ","","$678.65","","1"," """"$""* ""-""??"" ","vise"
"$45.77","","2"," """"$""* ""-""??"" ","3/4"" breaker bar","","$26.81","","2"," """"$""* ""-""??"" ","48"" pinch bars"
"$11.35","","3"," """"$""* ""-""??"" ","1/2"" breaker bar","","$70.27","","3"," """"$""* ""-""??"" ","4' step ladders"
"$16.46","","4"," """"$""* ""-""??"" ","1/2"" ratchet","","$199.74","","4"," """"$""* ""-""??"" ","Air movers small"
"$182.65","","1"," """"$""* ""-""??"" ","1/2"" torque wrench","","$225.00","","1"," """"$""* ""-""??"" ","acid suit repair kit"
"$6.10","10","2"," """"$""* #,##0.00"" ","band saw blades","","$546.00","","2"," """"$""* ""-""??"" ","trailer ball"
"$7.24","","3"," """"$""* ""-""??"" ","flashlights","","$6.56","","3"," """"$""* ""-""??"" ","crow bar"
"$32.00","4","4"," """"$""* #,##0.00"" ","Inspection Lights","","$11.36","","4"," """"$""* ""-""??"" ","short handle maul"
"$5.85","","1"," """"$""* ""-""??"" ","1' level (torpedo level)","","$22.98","","1"," """"$""* ""-""??"" ","long handle maul"
"$24.14","","2"," """"$""* ""-""??"" ","2' level","","$34.24","","2"," """"$""* ""-""??"" ","2-gallon sprayer"
"$9.00","1","3"," """"$""* #,##0.00"" ","4' level","","$36.89","","3"," """"$""* ""-""??"" ","pin punch"
"$5.23","","4"," """"$""* ""-""??"" ","Key hole Saws ","","$4.32","","4"," """"$""* ""-""??"" ","Silcone/Caulk Gun"
"$5.45","","1"," """"$""* ""-""??"" ","File","","$12.21","1","1"," """"$""* #,##0.00"" ","rubber mallet"
"$14.40","","2"," """"$""* ""-""??"" ","ball ping hammer","","$3.96","","2"," """"$""* ""-""??"" ","Dust Pan"
"$51.10","","3"," """"$""* ""-""??"" ","Rotor-roter Line ","","$2.26","","3"," """"$""* ""-""??"" ","magnets"
"$26.54","","4"," """"$""* ""-""??"" ","grease gun","","$26.41","","4"," """"$""* ""-""??"" ","wire crimp set"
"$5.15","","1"," """"$""* ""-""??"" ","2' framing square","","$31.46","2","1"," """"$""* #,##0.00"" ","Air Lance "
"$7.50","1","2"," """"$""* #,##0.00"" ","combo square","","$36.97","","2"," """"$""* ""-""??"" ","Heavy Duty jumper cable"
"$26.47","","3"," """"$""* ""-""??"" ","Staple Guns ","","$2.06","","3"," """"$""* ""-""??"" ","Hose Whip Checks "
"$11.57","2","4"," """"$""* #,##0.00"" ","Ice Scoops","","$2.88","16","4"," """"$""* #,##0.00"" ","Staples "
"$12.67","","1"," """"$""* ""-""??"" ","Equipment Ground Cable ","","$114.93","2","1"," """"$""* #,##0.00"" ","Number Tags 0-100"
"","","","","","","","","","",""
"","","","","","","","","","",""
"Supplies ","","","","","","","","","",""
"UP","Stock","","Total Price ","Description","","UP","Stock","","Total Price ","Description"
"$1,789.67","","2","$0.00","2-PH Meter/4PksPH Paper","","$32.90","","2","$0.00","Oil Dry Pads(2bg)"
"$1,689.00","1","3","$1,689.00","Thickness Tester ","","$6.34","","3","$0.00","Oil Dry Litter (2bg)"
"","","","","","","$12.76","","","$0.00","Fluid Hand Pump "
"AIR TOOLS","","","","","","","","","",""
"UP","Stock","","Total Price","Description","","UP","Stock","","Total Price","Description"
"$300.45","","4"," """"$""* ""-""??"" ","1/2"" impact","","$470.67","2","4"," """"$""* #,##0.00"" ","chipping gun"
"$606.21","","1"," """"$""* ""-""??"" ","3/4"" impact","","$1.75","4","1"," """"$""* #,##0.00"" ","chipping gun retention spring"
"$775.69","","2"," """"$""* ""-""??"" ","1"" impact","","$16.91","","2"," """"$""* ""-""??"" ","chipping gun pointed bits"
"$175.00","","3"," """"$""* ""-""??"" ","4"" grinder","","$16.23","2","3"," """"$""* #,##0.00"" ","chipping gun flat bits"
"$249.38","","4"," """"$""* ""-""??"" ","7"" grinder","","$55.86","3","4"," """"$""* #,##0.00"" ","1/2"" whip lines with oilers"
"$152.00","2","1"," """"$""* #,##0.00"" ","1/2"" drill w/chuck key","","$85.75","","1"," """"$""* ""-""??"" ","3/4"" whip lines with oilers"
"$183.75","","2"," """"$""* ""-""??"" ","needle guns","","$10.92","2","2"," """"$""* #,##0.00"" ","Tire Inflater adapter"
"$1,502.74","1","3"," """"$""* #,##0.00"" ","band saw","","$9.58","","3"," """"$""* ""-""??"" ","Tool Wrist Lanyard"
"RENTAL EQUIPMENT / CARNET BOX ITEMS","","","","","","","","","",""
"UP","Stock","","Total Price","Description","","UP","Stock","","Total Price","Description"
"","14","4"," """"$""* ""-""??"" ","MX6 METER","","","2&2","4","#VALUE!","VACUUM TUBE TEST KIT 2&2"
"","14","1"," """"$""* ""-""??"" ","AV2000 F/A MASK","","","1","1"," """"$""* ""-""??"" ","ACOUSTIC TUBE TEST KIT "
"","12","2"," """"$""* ""-""??"" ","WELDAVESTAS ","","","","2"," """"$""* ""-""??"" ",""
"","14","3"," """"$""* ""-""??"" ","SKA'S ","","","","3"," """"$""* ""-""??"" ",""
"","7","4"," """"$""* ""-""??"" ","COBOX ","","","","4"," """"$""* ""-""??"" ",""
"","14","1"," """"$""* ""-""??"" ","F/F RESPIRATOR ADPTORS","","","","1"," """"$""* ""-""??"" ",""
"FITTINGS","","","","","","","","","",""
"UP","Stock","","Total Price","Description","","UP","Stock","","Total Price","Description"
"$2.76","","2"," """"$""* ""-""??"" ","3/4"" barb x 1/2"" MNPT","","$1.21","10","2"," """"$""* #,##0.00"" ","1/4"" coupling"
"$10.31","","3"," """"$""* ""-""??"" ","1/4"" FM QC x 1/4"" FMNPT","","$1.41","10","3"," """"$""* #,##0.00"" ","3/8"" coupling"
"$1.10","","4"," """"$""* ""-""??"" ","1/4"" Male QC x 1/4"" MNPT","","$1.49","","4"," """"$""* ""-""??"" ","1/2"" Coupling "
"$1.32","","1"," """"$""* ""-""??"" ","1/4"" Male QC x 1/4"" FMNPT","","$1.56","","1"," """"$""* ""-""??"" ","3/4"" Coupling"
"$3.90","","2"," """"$""* ""-""??"" ","1/2"" FM QC x 1/2"" FMNPT","","$6.10","","2"," """"$""* ""-""??"" ","Crows Foot (3-way)"
"$15.86","","3"," """"$""* ""-""??"" ","1/2"" Male QC x 1/2"" FMNPT","","$2.81","","3"," """"$""* ""-""??"" ","1/2"" MNPT Chicago fitting"
"$15.68","","4"," """"$""* ""-""??"" ","1/4"" Male QC x 1/4 FMNPT*","","$2.12","","4"," """"$""* ""-""??"" ","1/2"" FMNPT Chicago fitting"
"$41.60","","1"," """"$""* ""-""??"" ","1/4"" FM QC x 1/4"" FMNPT*","","$2.48","","1"," """"$""* ""-""??"" ","3/4"" MNPT Chicago fitting"
"$0.76","12","2"," """"$""* #,##0.00"" ","1/4"" NPT pipe plug","","$2.32","","2"," """"$""* ""-""??"" ","3/4"" FMNPT Chicago fitting"
"$0.81","","3"," """"$""* ""-""??"" ","3/8"" NPT pipe plug","","$6.94","","3"," """"$""* ""-""??"" ","3/4"" ball valves"
"$0.82","10","4"," """"$""* #,##0.00"" ","1/2"" NPT pipe plug","","$0.07","500","4"," """"$""* #,##0.00"" ","5/16"" nuts"
"$1.08","","1"," """"$""* ""-""??"" ","3/4"" NPT pipe plug","","$0.12","500","1"," """"$""* #,##0.00"" ","5/16"" bolts"
"$1.51","10","2"," """"$""* #,##0.00"" ","3/8"" to 1/4"" bushing","","$0.08","500","2"," """"$""* #,##0.00"" ","5/16"" washers"
"$1.64","10","3"," """"$""* #,##0.00"" ","1/2"" to 3/8"" bushing","","$0.18","200","3"," """"$""* #,##0.00"" ","Chicago Safety pins "
"$1.35","15","4"," """"$""* #,##0.00"" ","3/4"" to 1/2"" bushing","","$1.98","6","4"," """"$""* #,##0.00"" ","4"" Chemlock gasket"
"$0.83","10","1"," """"$""* #,##0.00"" ","1/4"" close nipple","","$0.27","","1"," """"$""* ""-""??"" ","1"" Chemlock gasket"
"$0.95","10","2"," """"$""* #,##0.00"" ","3/8"" close nipple",""," """"$""* #,##0.00"" ","4","2"," """"$""* #,##0.00"" ","4"" Chemlock Female/bar"
"$0.85","10","3"," """"$""* #,##0.00"" ","1/2"" close nipple","","","","3","","for blow gun hose "
"$0.91","10","4"," """"$""* #,##0.00"" ","3/4"" close nipple","","","","4","",""
"WELDING ","","","","","","","","","",""
"UP","Stock","","Total Price","Description","","UP","Stock","","Total Price","Description"
"$78.67","","1","$0.00","torch head","","$3.08","2","1"," """"$""* #,##0.00"" ","welding lens repair kits"
"$62.00","","2"," """"$""* ""-""??"" ","Oxygen gauges","","$12.75","","2"," """"$""* ""-""??"" ","welders pipe wraps"
"$62.00","","3"," """"$""* ""-""??"" ","Acetlyene gauges","","$25.00","","3","","pad eyes"
"$2.88","","4"," """"$""* ""-""??"" ","4-1/2"" grinder disk 1/4"" thick, 5/8"" arbor with nut","","$12.38","","4"," """"$""* ""-""??"" ","soap stone"
"$3.51","","1"," """"$""* ""-""??"" ","7"" grinder disk 1/4"" thick, 5/8"" arbor with nut","","$13.10","4","1"," """"$""* #,##0.00"" ","head gear repair kits"
"$2.51","","2"," """"$""* ""-""??"" ","tip cleaners","","$3.14","12","2"," """"$""* #,##0.00"" ","Welding Gloves"
"WELDING CONT'D","","","","","","","","","",""
"UP","Stock","","Total Price","Description","","UP","Stock","","Total Price","Description"
"$19.76","","1"," """"$""* ""-""??"" ","4-1/2"" wire wheel disk 5/8"" arbor with nut","","$24.78","1","1"," """"$""* #,##0.00"" ","tie-wire/stainless (wrapped)"
"$19.65","","2"," """"$""* ""-""??"" ","7"" wire wheel disk 5/8"" arbor with nut ","","$638.89","","2"," """"$""* ""-""??"" ","slice cutter"
"$1.85","","3"," """"$""* ""-""??"" ","4-1/2"" cutting disk","","$2.09","","3"," """"$""* ""-""??"" ","slice rods"
"$268.05","","4"," """"$""* ""-""??"" ","arc gouger","","$312.19","","4"," """"$""* ""-""??"" ","""Chain vise pipe stand """
"$165.00","2","1"," """"$""* #,##0.00"" ","arc gouger spare parts kit","","$178.67","","1"," """"$""* ""-""??"" ","slice cutter parts"
"$0.29","","2"," """"$""* ""-""??"" ","3/8 gouging rods ","","$59.09","","2"," """"$""* ""-""??"" ","Torch Hose"
"$30.13","2","3"," """"$""* #,##0.00"" ","welding hoods","","$61.49","","3"," """"$""* ""-""??"" ","Torch hose repair kit"
"$48.94","2","4"," """"$""* #,##0.00"" ","Welding Ground Whip","","$10.67","","4"," """"$""* ""-""??"" ","Pipe cutter repl. wheels"
"$1.10","","1"," """"$""* ""-""??"" ","strikers","","$2.40","","1"," """"$""* ""-""??"" ","large 2AWG cable lugs"
"$10.09","2","2"," """"$""* #,##0.00"" ","electrode holders w/6' whip","","$3.23","","2"," """"$""* ""-""??"" ","small 4AWG cable lugs"
"$0.74","24","3"," """"$""* #,##0.00"" ","welding lens - dark #10","","$4.96","","3"," """"$""* ""-""??"" ","Flashback Arresters"
"$0.42","100","4"," """"$""* #,##0.00"" ","welding lens - clear (poly)","","$0.35","","4"," """"$""* ""-""??"" ","Oxygen hose for slicer rig"
"$0.08","800","1"," """"$""* #,##0.00"" ","1/4"" Gouging rods","","","","1","",""
"$10.00","288","2"," """"$""* #,##0.00"" ","Tig Gloves ","","","","2","",""
"$16.27","30","3"," """"$""* #,##0.00"" ","Green Jackets ","","","","3","",""
"LIFTING","","","","","","","","","",""
"UP","Stock","","Total Price","Description","","UP","Stock","","Total Price","Description"
"$29.28","","4"," """"$""* ""-""??"" ","1"" shackle Crosby","","$65.49","4","4"," """"$""* #,##0.00"" ","20' x 4"" poly straps"
"$39.46","","1"," """"$""* ""-""??"" ","7/8"" shackle Crosby","","$9.19","5","1"," """"$""* #,##0.00"" ","6' x 1"" Poly straps"
"$29.72","","2"," """"$""* ""-""??"" ","3/4""shackle Crosby","","$5.87","5","2"," """"$""* #,##0.00"" ","3' x 1"" Poly straps"
"$20.28","","3"," """"$""* ""-""??"" ","5/8"" shackle Crosby","","$1.00","","3"," """"$""* ""-""??"" ","Lifting Hooks for yellow rope"
"$11.30","","4"," """"$""* ""-""??"" ","1/2"" shackle Crosby","","$35.61","2","4"," """"$""* #,##0.00"" ","Yellow tool bags"
"$8.46","","1"," """"$""* ""-""??"" ","3/8"" shackle Crosby","","$225.00","","1"," """"$""* ""-""??"" ","Pinch Bar Lifting Device"
"$580.24","","2"," """"$""* ""-""??"" ","1-1/2 ton come-a-long","","$0.08","1000","2"," """"$""* #,##0.00"" ","Zip Ties"
"$381.18","","3"," """"$""* ""-""??"" ","1-1/2 ton chain fall","","","","3","",""
"SAFETY","","","","","","","","","",""
"UP","Stock","","Total Price","Description","","UP","Stock","","Total Price","Description"
"$9.83","100","1"," """"$""* #,##0.00"" ","Blue Pad Locks ","","$490.00","2","1"," """"$""* #,##0.00"" ","first aid kit"
"$1.48","4","2"," """"$""* #,##0.00"" ","9 Volt batt. for Co box","","$11.84","30","2"," """"$""* #,##0.00"" ","mono goggles"
"$3.98","","3"," """"$""* ""-""??"" ","Multi-clamps (for locks)","","$2.80","36","3"," """"$""* #,##0.00"" ","safety glasses"
"$30.81","","4"," """"$""* ""-""??"" ","Hole watch kit(Green Vest)","","$8.06","16","4"," """"$""* #,##0.00"" ","surgical gloves"
"$175.70","1","1"," """"$""* #,##0.00"" ","Burn kit","","$40.90","1","1"," """"$""* #,##0.00"" ","Infarared Thermometer"
"$71.40","","2"," """"$""* ""-""??"" ","Retrieval rope lanyard","","","110","2"," """"$""* ""-""??"" ","SO2 BW MONITORS "
"$0.09","40","3"," """"$""* #,##0.00"" ","FA Mask drawstring bag","","","12","3"," """"$""* ""-""??"" ","ENTRY SUIT LANYARDS"
"$11.82","50","4"," """"$""* #,##0.00"" ","Orange Vests","","$1.10","200","4"," """"$""* #,##0.00"" ","Red Danger Tags "
"$11.82","50","1"," """"$""* #,##0.00"" ","Green Vests ","","$1.30","","1"," """"$""* ""-""??"" ","lock out tags"
"$175.00","12","2"," """"$""* #,##0.00"" ","Personal Retractable lany. ","","","40","2"," """"$""* ""-""??"" ","SCOTT RESPIRATOR CARTRIDGES"
"$6.85","12","3"," """"$""* #,##0.00"" ","Red Danger Tape","","$18.34","40","3"," """"$""* #,##0.00"" ","Respirator Cartridges"
"$6.85","","4"," """"$""* ""-""??"" ","Yellow Caution Tape","","$10.13","12","4"," """"$""* #,##0.00"" ","Respirators "
"$257.76","4","1"," """"$""* #,##0.00"" ","PRL's Doubles ","","$11.75","3","1"," """"$""* #,##0.00"" ","Air Horn"
"CHEMICAL","","","","","","","","","",""
"UP","Stock","","Total Price","Description","","UP","Stock","","Total Price","Description"
"$4.06","","2"," """"$""* ""-""??"" ","Bentone non-melt grease","","","","2"," """"$""* ""-""??"" ","3M spray adhesive"
"$13.16","","3"," """"$""* ""-""??"" ","Wechem anti-seize","","$3.71","48","3"," """"$""* #,##0.00"" ","409-cleaner"
"","","4"," """"$""* ""-""??"" ","LPS chain lubricant","","$25.03","","4"," """"$""* ""-""??"" ","air tool oil"
"$7.21","","1"," """"$""* ""-""??"" ","Lysol disinfectant spray","","$315.00","","1"," """"$""* ""-""??"" ","Flammable cabinet "
"$9.73","48","2"," """"$""* #,##0.00"" ","rough tough scrubs(2box)","","","","","","motor oil Rotella 15W-40"
"","",""," """"$""* ""-""??"" ","WD-40","","$8.66","","2"," """"$""* ""-""??"" ","Silicone tubes"
"","",""," """"$""* ""-""??"" ","Electric Clean","","","","","",""
"OFFICE SUPPLIES","","","","","","","","","",""
"UP","Stock","","Total Price","Description","","UP","Stock","","Total Price","Description"
"","3","3","","Office Stapler ","","","4bx","3","","Highlighters "
"","3bx","4","","Officer Staples ","","","12","4","","Small memo pads"
"","2bx","1","","Paper Clips ","","","","1","","Clip Boards (hole watch) "
"","6","2","","Yellow Pads ","","","2 BX","2","","Black Markers "
"","4 bx","3","","Black Ink Pens","","","3 BX","3","","Copy Paper "
"","4 bx","4","","Blue Ink Pens ","","","3 PK","4","","Folders "
"","1 BX","1","","Red Ink Pens ","","","MANY","1","","Extra Ink Cartridge"
"","2","2","","Small Printers ","","","3 BX","2","","Sharpies "
"PAPERWORK","","","","","","","","","",""
"UP","Stock","","Total Price","Description","","UP","Stock","","Total Price","Description"
"","6","3","","Fedex env./bills/packets","","","24","3","","Vehicle Logo Signs (Sticker Type)"
"","","","","Acid logs","","","","1","","Rooming lists"
"","","","","Catalyst logs","","","10","2","","Tool trailer inventory"
"","","","","Entry Exit log 2014","","","20","3","","Credit card receipt envelopes "
"VIP RUBBER BOOTS ","","","","","","","","","",""
"","2EA","1","","SIZE 8","","","2EA","1","","SIZE 11"
"","2EA","2","","SIZE 9","","","2EA","2","","SIZE 12"
"","2EA","3","","SIZE 10","","","2EA","3","","SIZE 13"
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"ADDITIONAL SUPPLIES","","","","","","","","","",""
"UP","Stock","","Total Price","Description","","UP","Stock","","Total Price ","Description"
"$540.00","8","1"," """"$""* #,##0.00"" ","AP Gloves (cases)","","$174.24","","1"," """"$""* ""-""??"" ","Rubber Gloves (case)"
"$29.55","8","2"," """"$""* #,##0.00"" ","Box o' Rags","","$62.79","","2"," """"$""* ""-""??"" ","Tyvek XL (case)"
"$62.79","","3"," """"$""* ""-""??"" ","Tyvek 2X (case)","","$65.94","","3"," """"$""* ""-""??"" ","Tyvek 3X (case)"
"$126.00","10","4"," """"$""* #,##0.00"" ","Gorilla Tape (case)","","$6.25","30","4"," """"$""* #,##0.00"" ","Faceshield Brackets"
"$1.70","","1"," """"$""* ""-""??"" ","Faceshield Dark Lens","","$0.97","300","1"," """"$""* #,##0.00"" ","Faceshield Clear Lens"
"$57.50","6","2"," """"$""* #,##0.00"" ","1/2"" Rope (roll)","","$25.87","6","2"," """"$""* #,##0.00"" ","Can Liners (box)"
"$22.00","6","3"," """"$""* #,##0.00"" ","Ear Plugs box","","$5.23","","3"," """"$""* ""-""??"" ","Fluorescent Paint (6/case)"
"$66.90","","4"," """"$""* ""-""??"" ","Visqueen (100' roll)","","$71.96","","4"," """"$""* ""-""??"" ","Connie Cups (big box)"
"$123.84","2","1"," """"$""* #,##0.00"" ","Head Socks (box)","","","","1"," """"$""* ""-""??"" ","Squincher Pops (box)"
"$9.39","5","2"," """"$""* #,##0.00"" ","F/A Mask wipes (box)","","","","2"," """"$""* ""-""??"" ","Coffee (box)"
"","","3"," """"$""* ""-""??"" ","Powerade Mix (box)","","","","3"," """"$""* ""-""??"" ","Creamer (case)"
