"Currency","Product Name","Product Code","Local Price"
"MYR","1-Month Premium Subscription","VC","[$200Fri, 09 Feb 1900 00:00:00 +0000] #,##0"
"MYR","3-Month Premium Subscription","VD","[$400Mon, 09 Apr 1900 00:00:00 +0000] #,##0"
"MYR","10-Day Premium Subscription","VE","[$100Mon, 15 Jan 1900 00:00:00 +0000] #,##0"
"","Australia","","AUD"
"AUD","$5 Load Card","QA","$5.50"
"AUD","$10 Load Card","QB","$10.50"
"AUD","1-Month Premium Subscription","QC","$15"
"AUD","3-Month Premium Subscription","QD","$36"
"AUD","10-Day Premium Subscription","QE","$6"
"","New Zealand ","","NZD"
"NZD","$5 Load Card","RA","$6.50"
"NZD","$10 Load Card","RB","$13"
"NZD","1-Month Premium Subscription","RC","$19"
"NZD","3-Month Premium Subscription","RD","$46"
"NZD","10-Day Premium Subscription","RE","$7.50"
"","Philippines","","PHP"
"PHP","$5 Load Card","SA","Php250"
"PHP","$10 Load Card","SB","Php500"
"PHP","1-Month Premium Subscription","SC","Php650"
"PHP","3-Month Premium Subscription","SD","Php1,550"
"PHP","10-Day Premium Subscription","SE","Php250"
