"Risk
ID","Item
Description","Function","Tech. Class","Novel Aspects","Failure
Mode","Failure 
Effects
(Local, WEC, System)","Failure
Cause(s)","Initial Mode
 of
Operation
","Risk Reduction 
Design","Preventative
Detection","Post Failure
Detection","Post Failure
Repair
Strategy 
(automated, manual)"
"340-1","Umbilical Power Converter","Control power flow over umbilical to subsea battery","2","Marine application, loading","Short or Open Circuit","Loss of power transmission across umbilical","Corrosion Induced Short Circuit","Normal","Marine Rated system for corrosion protection, controlled nacelle environment","Visual Inspection, SCADA Detection of Flooding","SCADA Diagnosis","In-Situ Inspection, Repair or Replacement"
"340-2","Umbilical Power Converter","Control power flow over umbilical to subsea battery","2","Marine application, loading","Short or Open Circuit","Loss of power transmission across umbilical","Improper Installation or Manufacturing defect","Normal","V&V (QA/QC)","Visual Inspection","SCADA Diagnosis","In-Situ Inspection, Repair or Replacement of faulty component"
"340-3","Umbilical Power Converter","Control power flow over umbilical to subsea battery","2","Marine application, loading","Short or Open Circuit","Loss of power transmission across umbilical","Vibration or Buoy Motion induced failure","Normal","V&V (QA/QC), Proper selection of bus attachment system","Visual Inspection","SCADA Diagnosis and visual inspection","In-Situ Inspection, Repair or Replacement of faulty component or mounting"
"340-4","Umbilical Power Converter","Control power flow over umbilical to subsea battery","2","Marine application, loading","Short Circuit","Loss of power transmission across umbilical","Flooding Induced Failure (contact with water not corrosion)","Normal","System level isolation from water ingress, Marine rated Components, System level seperation of equipment.","Visual Inspection, SCADA Detection of Flooding","SCADA Diagnosis and visual inspection","Removal of Bouy from Water for dry repair or dry dock overhaul"
"370-1","Emergency Resistor","Electrical Resistor for dissipating power in over voltage situations","2","Marine application, loading","Open circuit occurs in resistor under load","Overvoltage from loss of emergency resistor could damage Electrical Insulation, and result in shorts or open circuits in other components, loss of PTO damping may lead to structural fatigue","Failure due to Corrosion, Inproper Mounting, Vibration, overheating, or over-current","Normal","Marine-rated resistor module, design to provide sufficient cooling and vibration damping","SCADA - temperature, vibration, and current monitoring","SCADA - PTO controller error diagnostics, physical inspection/test","In-Situ Inspection, Repair or Replacement of faulty component"
"380-1","Motor Bus","Electrical Connection between Generating Motor and Motor Drive","2","Marine application, loading","Short Or Open Bus","Loss of Power Generation, PTO Controlled Shutdown","Corrosion Induced Short Circuit","Normal","Marine Rated system for corrosion protection, controlled nacelle environment","Visual Inspection, SCADA Detection of Flooding","SCADA Diagnosis","In-Situ Inspection, Repair or Replacement"
"380-2","Motor Bus","Electrical Connection between Generating Motor and Motor Drive","2","Marine application, loading","Short Or Open Bus","Loss of Power Generation, PTO Controlled Shutdown","Improper Installation or Manufacturing defect","Normal","V&V (QA/QC)","Visual Inspection","SCADA Diagnosis","In-Situ Inspection, Repair or Replacement of faulty component"
"380-3","Motor Bus","Electrical Connection between Generating Motor and Motor Drive","2","Marine application, loading","Short Or Open Bus","Loss of Power Generation, PTO Controlled Shutdown","Vibration or Buoy Motion induced failure","Normal","V&V (QA/QC), Proper selection of bus attachment system","Visual Inspection","SCADA Diagnosis and visual inspection","In-Situ Inspection, Repair or Replacement of faulty component or mounting"
"380-4","Motor Bus","Electrical Connection between Generating Motor and Motor Drive","2","Marine application, loading","Short on Bus","Loss of Power Generation, PTO Controlled Shutdown","Flooding Induced Failure (contact with water not corrosion)","Normal","System level isolation from water ingress, Marine rated Components, System level seperation of equipment.","Visual Inspection, SCADA Detection of Flooding","SCADA Diagnosis and visual inspection","Removal of Bouy from Water for dry repair or dry dock overhaul"
"380-5","DC Bus","Common electrical connection between motor drive, local energy storage, and umbilical power converter","2","Marine application, loading","Short Or Open Bus","Loss of Power Generation, PTO Controlled Shutdown","Corrosion Induced Short Circuit","Normal","Marine Rated system for corrosion protection, controlled nacelle environment","Visual Inspection, SCADA Detection of Flooding","SCADA Diagnosis","In-Situ Inspection, Repair or Replacement"
"380-6","DC Bus","Common electrical connection between motor drive, local energy storage, and umbilical power converter","2","Marine application, loading","Short Or Open Bus","Loss of Power Generation, PTO Controlled Shutdown","Improper Installation or Manufacturing defect","Normal","V&V (QA/QC)","Visual Inspection","SCADA Diagnosis","In-Situ Inspection, Repair or Replacement of faulty component"
"380-7","DC Bus","Common electrical connection between motor drive, local energy storage, and umbilical power converter","2","Marine application, loading","Short Or Open Bus","Loss of Power Generation, PTO Controlled Shutdown","Vibration or Buoy Motion induced failure","Normal","V&V (QA/QC), Proper selection of bus attachment system","Visual Inspection","SCADA Diagnosis and visual inspection","In-Situ Inspection, Repair or Replacement of faulty component or mounting"
"380-8","DC Bus","Common electrical connection between motor drive, local energy storage, and umbilical power converter","2","Marine application, loading","Short on Bus","Loss of Power Generation, PTO Controlled Shutdown","Flooding Induced Failure (contact with water not corrosion)","Normal","System level isolation from water ingress, Marine rated Components, System level seperation of equipment.","Visual Inspection, SCADA Detection of Flooding","SCADA Diagnosis and visual inspection","Removal of Bouy from Water for dry repair or dry dock overhaul"
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
