"TABLE A-9. Fatal occupational injuries by event or exposure for all fatal injuries and major private industry sector, all United States, 2022","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Event or exposure(1)","Event code(1)","Total fatal injuries (number)","Goods producing(2)","","","","Service providing(2)","","","","","","",""
"Other in-flight crash into structure, object, or ground","2153","39","–","04","–","03","–","14","02","–","–","–","–","–"
"Rail vehicle incidents","22","43","–","–","06","01","–","–","–","–","–","–","–","–"
"Collision between rail vehicle and another vehicle","221","29","–","–","–","01","–","–","–","–","–","–","–","–"
"Collision between two rail vehicles","2211","02","–","–","–","–","–","–","–","–","–","–","–","–"
"Collision between rail and roadway vehicles","2212","26","–","–","–","01","–","–","–","–","–","–","–","–"
"Pedestrian struck by rail vehicle--transportation incident","227","09","–","–","–","–","–","–","–","–","–","–","–","–"
"Animal and other non-motorized vehicle transportation incidents","23","11","–","–","–","–","–","–","–","–","–","–","–","–"
"Animal transportation incident","231","04","–","–","–","–","–","–","–","–","–","–","–","–"
"Thrown, fell, or jumped from animal being ridden","2313","03","–","–","–","–","–","–","–","–","–","–","–","–"
"Pedal cycle incident","232","07","–","–","–","–","–","–","–","–","–","–","–","–"
"Pedal cycle collision in roadway","2321","04","–","–","–","–","–","–","–","–","–","–","–","–"
"Pedestrian vehicular incident","24","325","–","16","59","21","–","–","–","–","–","06","–","10"
"Pedestrian struck by vehicle in work zone","241","44","–","–","23","–","–","–","–","–","09","–","–","–"
"Pedestrian struck by forward-moving vehicle in work zone","2412","30","–","–","16","–","–","–","–","–","–","–","–","–"
"Pedestrian struck by vehicle backing up in work zone","2413","11","–","–","07","–","–","–","–","–","–","–","–","–"
"Pedestrian struck by vehicle in roadway","242","85","–","–","06","04","–","30","–","–","16","–","–","–"
"Pedestrian struck by forward-moving vehicle in roadway","2422","79","–","–","06","04","–","28","–","–","–","–","–","–"
"Pedestrian struck by vehicle on side of road","243","65","–","–","10","–","–","28","–","–","08","03","–","–"
"Pedestrian struck by vehicle propelled by another vehicle on side of road","2431","10","–","–","–","–","–","–","–","–","–","–","–","–"
"Pedestrian struck by forward-moving vehicle on side of road","2432","53","–","–","10","–","–","23","–","–","–","–","–","–"
"Pedestrian struck by vehicle backing up on side of road","2433","01","–","–","–","–","–","–","–","–","–","01","–","–"
"Pedestrian struck by vehicle in nonroadway area","244","116","–","–","17","15","–","–","–","–","–","–","–","05"
"Pedestrian struck by forward-moving vehicle in nonroadway area","2442","43","–","06","05","03","–","–","–","–","–","01","–","–"
"Pedestrian struck by vehicle backing up in nonroadway area","2443","48","–","–","06","08","–","–","–","–","–","–","–","–"
"Water vehicle incidents","25","31","–","–","–","–","–","–","–","–","–","–","–","–"
"Capsized or sinking water vehicle","254","06","–","–","–","–","–","–","–","–","–","–","–","–"
"Fall or jump from water vehicle","256","16","–","–","–","–","–","–","–","–","–","–","–","–"
"Machinery or equipment incident on water vehicle","257","01","–","–","–","–","–","01","–","–","–","–","–","–"
"Roadway incidents involving motorized land vehicle","26","1369","–","112","143","61","–","–","17","19","104","29","29","21"
"Roadway collision with other vehicle","261","763","–","71","76","33","–","–","12","–","50","–","–","10"
"Roadway collision--moving in same direction","2611","207","–","26","27","06","–","–","–","–","–","–","–","04"
"Roadway collision--moving in opposite directions, oncoming","2612","252","–","21","22","15","–","–","05","–","23","–","–","–"
"Roadway collision--moving perpendicularly","2613","164","–","22","18","06","–","–","–","–","–","–","–","03"
"Roadway collision--moving and standing vehicle in roadway","2614","87","–","01","03","06","–","–","03","–","–","–","–","03"
"Roadway collision--moving and standing vehicle on side of roadway","2615","43","–","–","06","–","–","26","01","–","–","–","–","–"
"Roadway collision with object other than vehicle","262","352","–","–","35","13","–","–","04","–","33","–","–","04"
"Vehicle struck object or animal in roadway","2621","17","–","–","–","–","–","09","–","–","–","–","–","–"
"Vehicle struck object or animal on side of roadway","2622","314","–","–","31","10","–","201","–","–","29","–","–","04"
"Vehicle struck by falling or flying object--roadway","2623","10","–","–","–","–","–","–","–","–","–","–","–","–"
"Roadway noncollision incident","263","249","–","–","31","15","–","–","01","–","21","–","–","06"
"Jack-knifed or overturned, roadway","2631","181","–","–","22","12","–","93","–","–","–","–","–","04"
"Ran off roadway","2632","38","–","–","03","–","–","25","01","–","–","–","–","–"
"Struck by shifting load during transport, roadway","2633","06","–","–","–","–","–","–","–","–","–","–","–","–"
"Fall or jump from and struck by same vehicle in normal operation, roadway","2634","09","–","01","–","–","–","–","–","–","03","–","–","–"
"Fall or jump from vehicle in normal operation, roadway","2636","10","–","–","03","–","–","01","–","–","–","–","–","–"
"Nonroadway incident involving motorized land vehicles","27","185","–","53","27","11","–","26","–","–","–","–","12","05"
"Nonroadway collision with other vehicle","271","12","–","–","02","–","–","–","–","–","–","–","01","–"
"Moving in opposite directions, oncoming, nonroadway","2712","04","–","–","–","–","–","–","–","–","–","–","–","–"
"Collision between a moving and standing vehicle, nonroadway","2713","06","–","–","–","–","–","–","–","–","–","–","01","–"
"Nonroadway collision with object other than vehicle","272","40","–","–","02","04","–","09","–","–","07","–","06","–"
"Part of occupants body caught between vehicle and other object in nonroadway transport incident","2721","09","–","–","–","–","–","–","–","–","03","–","–","–"
"Nonroadway noncollision incident","273","128","–","–","22","07","–","11","–","–","–","–","05","–"
"Jack-knifed or overturned, nonroadway","2731","77","–","22","13","05","–","08","–","–","–","–","03","–"
"Ran off driving surface, nonroadway","2732","07","–","–","01","–","–","–","–","–","–","–","–","–"
"Fall or jump from and struck by same vehicle in normal operation, nonroadway","2734","25","–","–","03","–","–","–","–","–","04","–","–","–"
"Fall or jump from vehicle in normal operation, nonroadway","2736","14","–","04","04","–","–","–","–","–","–","–","–","–"
"Fires and explosions","3","107","–","–","13","19","–","19","–","–","–","–","–","06"
"Fires","31","53","–","05","06","06","–","–","–","–","–","–","–","–"
"Explosions","32","54","–","–","07","13","–","–","–","–","–","–","–","–"
"Falls, slips, trips","4","865","–","39","410","45","–","106","07","–","–","26","28","17"
"Falls on same level","42","144","–","05","11","13","–","–","–","–","22","–","–","06"
"Fall on same level due to tripping","421","23","–","–","–","–","–","–","–","–","–","–","03","–"
"Fall on same level due to tripping while climbing stairs, steps, or curbs","4211","04","–","–","–","–","–","–","–","–","–","–","–","–"
"Fall on same level due to tripping on uneven surface","4212","03","–","–","–","–","–","–","–","–","–","–","–","–"
"Fall on same level due to tripping over an object","4213","09","–","–","–","–","–","–","–","–","–","–","–","–"
"Fall on same level due to slipping","422","23","–","–","–","–","–","–","–","–","–","–","–","–"
"Fall while sitting","423","06","–","–","–","–","–","–","–","–","–","–","–","–"
"Falls to lower level","43","700","–","34","395","31","–","63","–","–","–","–","–","11"
"Fall from collapsing structure or equipment","431","33","–","–","19","–","–","–","–","–","07","–","–","–"
"Fall from collapsing structure or equipment 6 to 10 feet","4312","04","–","–","–","–","–","–","–","–","–","–","–","–"
"Fall from collapsing structure or equipment 11 to 15 feet","4313","06","–","–","04","–","–","–","–","–","–","–","–","–"
"Fall from collapsing structure or equipment 16 to 20 feet","4314","03","–","–","–","–","–","–","–","–","–","–","–","–"
"Fall from collapsing structure or equipment 26 to 30 feet","4316","03","–","–","–","–","–","–","–","–","–","–","–","–"
"Fall from collapsing structure or equipment more than 30 feet","4317","11","–","–","07","–","–","–","–","–","–","–","–","–"
"Fall through surface or existing opening","432","90","–","–","66","03","–","–","–","–","–","–","–","–"
"Fall through surface or existing opening 6 to 10 feet","4322","05","–","–","05","–","–","–","–","–","–","–","–","–"
"Fall through surface or existing opening 11 to 15 feet","4323","12","–","–","08","–","–","–","–","–","–","–","–","–"
"Fall through surface or existing opening 16 to 20 feet","4324","23","–","–","15","–","–","–","–","–","–","–","–","–"
"Fall through surface or existing opening 21 to 25 feet","4325","13","–","–","11","–","–","–","–","–","–","–","–","–"
"Fall through surface or existing opening 26 to 30 feet","4326","13","–","–","07","–","–","–","–","–","–","–","–","–"
"Fall through surface or existing opening more than 30 feet","4327","17","–","–","–","–","–","–","–","–","–","–","–","–"
"Other fall to lower level","433","561","–","–","305","24","–","56","–","–","86","–","–","09"
"Other fall to lower level less than 6 feet","4331","57","–","–","18","07","–","–","–","–","10","–","–","–"
"Other fall to lower level 6 to 10 feet","4332","80","–","–","47","03","–","12","–","–","06","–","–","–"
"Other fall to lower level 11 to 15 feet","4333","72","–","03","44","–","–","08","–","–","07","–","–","–"
"Other fall to lower level 16 to 20 feet","4334","67","–","–","42","–","–","–","–","–","–","–","–","–"
"Other fall to lower level 21 to 25 feet","4335","38","–","–","28","–","–","–","–","–","–","01","–","–"
"Other fall to lower level 26 to 30 feet","4336","47","–","–","38","–","–","–","–","–","07","–","–","–"
"Other fall to lower level more than 30 feet","4337","75","–","–","37","07","–","–","–","–","–","–","–","–"
"Jumps to lower level","44","07","–","–","–","–","–","–","–","–","–","–","–","–"
"Other jump to lower level","442","06","–","–","–","–","–","–","–","–","–","–","–","–"
"Fall or jump curtailed by personal fall arrest system","45","03","–","–","–","–","–","–","–","–","03","–","–","–"
"Exposure to harmful substances or environments","5","839","–","42","194","79","–","150","08","–","–","49","78","48"
"Exposure to electricity","51","145","–","08","62","14","–","08","04","03","–","–","–","04"
"Direct exposure to electricity","511","81","–","–","37","11","–","–","04","–","–","–","–","–"
"Direct exposure to electricity, 220 volts or less","5111","22","–","–","16","03","–","–","–","–","–","–","–","–"
"Direct exposure to electricity, greater than 220 volts","5112","50","–","–","17","05","–","–","04","–","–","–","–","–"
"Indirect exposure to electricity","512","58","–","06","23","03","–","–","–","–","19","–","–","–"
"Indirect exposure to electricity, 220 volts or less","5121","05","–","–","–","–","–","–","–","–","–","–","–","–"
"Indirect exposure to electricity, greater than 220 volts","5122","52","–","–","–","03","–","–","–","–","19","–","–","–"
"Exposure to temperature extremes","53","51","–","05","17","05","–","–","–","–","–","–","–","03"
"Exposure to environmental heat","531","43","–","–","17","–","–","–","–","–","–","–","–","03"
"Exposure to environmental cold","532","03","–","–","–","–","–","–","–","–","–","–","–","–"
"Contact with hot objects or substances","533","05","–","–","–","–","–","–","–","–","–","–","–","–"
"Exposure to other harmful substances","55","586","–","25","106","56","–","133","04","–","–","43","70","38"
"Nonmedical use of drugs or alcohol--unintentional overdose","551","525","–","–","96","52","–","–","04","–","–","39","–","31"
"Inhalation of harmful substance","552","49","–","–","06","04","–","–","–","–","04","–","–","07"
"Exposure to other harmful substance--multiple routes of exposure","558","01","–","–","01","–","–","–","–","–","–","–","–","–"
"Exposure to oxygen deficiency, n.e.c.","56","56","–","04","09","04","–","08","–","–","08","–","–","03"
"Drowning, submersion, n.e.c.","561","32","–","–","04","–","–","–","–","–","07","02","–","–"
"Choking on object or substance","562","17","–","–","–","–","–","–","–","–","–","–","–","–"
"Depletion of oxygen","563","06","–","01","–","–","–","–","–","–","–","–","–","–"
"Contact with objects and equipment","6","738","–","177","149","118","–","140","–","06","–","01","09","38"
"Struck by object or equipment","62","484","–","127","88","53","–","–","–","04","58","01","–","31"
"Struck by powered vehicle--nontransport","621","181","–","50","30","09","–","–","–","–","–","01","–","24"
"Caught between rolling powered vehicle and other object","6211","20","–","07","–","04","–","–","–","–","–","–","–","–"
"Struck or run over by rolling powered vehicle","6212","69","–","28","10","–","–","15","–","–","–","–","–","07"
"Struck by swinging part of powered vehicle","6213","14","–","03","07","–","–","01","–","–","–","–","–","–"
"Struck by falling part of powered vehicle still attached","6214","31","–","04","09","–","–","09","–","–","–","01","–","–"
"Struck by powered vehicle tipping over--nontransport","6215","06","–","–","–","–","–","–","–","–","–","–","–","–"
"Struck by other falling powered vehicle","6216","34","–","05","–","–","–","–","–","–","04","–","–","13"
"Struck by rolling object or equipment--other than powered vehicle","622","13","–","–","04","–","–","–","–","–","–","–","–","–"
"Struck by object or equipment rolling freely","6223","11","–","–","03","–","–","–","–","–","–","–","–","–"
"Struck by falling object or equipment--other than powered vehicle","623","238","–","58","44","33","–","–","–","–","37","–","–","–"
"Struck by object or equipment dropped by injured worker","6231","04","–","–","–","–","–","–","–","–","–","–","–","–"
"Struck by object or equipment dropped by other person","6232","04","–","–","–","–","–","–","–","–","–","–","–","–"
"Struck by object falling from vehicle or machinery--other than vehicle part","6233","69","–","06","12","16","–","25","–","–","03","–","–","–"
"Struck by discharged or flying object","624","19","–","–","03","06","–","–","–","–","–","–","–","–"
"Struck by dislodged flying object, particle","6241","09","–","–","–","03","–","–","–","–","–","–","–","–"
"Struck by discharged object or substance","6242","04","–","–","–","–","–","–","–","–","–","–","–","–"
"Injured by handheld object or equipment","625","08","–","–","–","–","–","–","–","–","–","–","–","–"
"Injured by slipping or swinging object held by injured worker","6252","06","–","–","–","–","–","–","–","–","–","–","–","–"
"Struck by swinging or slipping object, other than handheld","626","12","–","–","–","03","–","04","–","–","–","–","–","–"
"Struck by or caught in swinging door or gate","6261","01","–","–","–","–","–","01","–","–","–","–","–","–"
"Struck against object or equipment","63","12","–","–","–","06","–","–","–","–","–","–","–","–"
"Struck against stationary object or equipment","632","09","–","–","–","04","–","–","–","–","–","–","–","–"
"Caught in or compressed by equipment or objects","64","142","–","31","06","50","–","–","–","–","13","–","–","07"
"Caught in running equipment or machinery","641","102","–","–","03","45","–","–","–","–","10","–","–","04"
"Caught in running equipment or machinery during maintenance, cleaning","6411","54","–","–","–","25","–","05","–","–","05","–","–","03"
"Caught in running equipment or machinery during regular operation","6412","35","–","–","–","14","–","07","–","–","05","–","–","–"
"Compressed or pinched by shifting objects or equipment","642","21","–","–","–","03","–","06","–","–","–","–","–","–"
"Struck, caught, or crushed in collapsing structure, equipment, or material","65","95","–","18","54","08","–","–","–","–","–","–","–","–"
"Excavation or trenching cave-in","651","40","–","–","–","–","–","–","–","–","–","–","–","–"
"Mine collapse or cave-in","652","04","–","04","–","–","–","–","–","–","–","–","–","–"
"Landslide","654","03","–","–","–","–","–","–","–","–","–","–","01","–"
"Struck, caught, or crushed in other collapsing structure or equipment","655","21","–","06","10","02","–","–","–","–","–","–","–","–"
"Engulfment in other collapsing material","656","15","–","08","–","–","–","03","–","–","–","–","–","–"
"Overexertion and bodily reaction","7","13","–","–","–","–","–","–","–","–","–","–","–","–"
"Overexertion involving outside sources","71","06","–","–","–","–","–","–","–","–","–","–","–","–"
"Other exertions or bodily reactions","73","07","–","–","–","–","–","–","–","–","–","–","–","–"
"","","","","","","","","","","","","","",""
"Footnotes:","","","","","","","","","","","","","",""
"(1) Based on the BLS Occupational Injury and Illness Classification System (OIICS) 2.01 implemented for 2011 data forward.","","","","","","","","","","","","","",""
"(2) CFOI has used several versions of the North American Industry Classification System (NAICS) since 2003 to define industry. For complete information on the version of NAICS used in this year, see our definitions page at https://www.bls.gov/iif/definitions/census-of-fatal-occupational-injuries-definitions.htm. Cases where ownership is unknown are included in private industry counts. Cases where industry is unknown are included in the service sector counts.","","","","","","","","","","","","","",""
"(3) Includes fatal injuries at all establishments categorized as Mining (Sector 21) in the North American Industry Classification System, including establishments not governed by the Mine Safety and Health Administration (MSHA) rules and reporting, such as those in oil and gas extraction.","","","","","","","","","","","","","",""
"Note: Data for all years are final. Totals for major categories may include subcategories not shown separately. For complete information on how the data are coded and presented see our definitions page at https://www.bls.gov/iif/definitions/census-of-fatal-occupational-injuries-definitions.htm. Dashes indicate no data reported or data that do not meet publication criteria. CFOI fatal injury counts exclude illness-related deaths unless precipitated by an injury event.   ","","","","","","","","","","","","","",""
"Source: U.S. Department of Labor, Bureau of Labor Statistics, in cooperation with state, New York City, District of Columbia, and federal agencies, Census of Fatal Occupational Injuries, December 2023","","","","","","","","","","","","","",""
