"","·  Innsbruck, TL3","","0.0","0.4","0.0","0.2","0.0",""
"","·  Osttirol, TL3","","0.0","0.0","0.0","0.0","0.0",""
"","·  Tyrolean Oberland, TL3","","0.0","0.2","0.0","0.1","0.0",""
"","·  Tyrolean Unterland, TL3","","0.0","1.9","0.0","0.8","0.1",""
"","Vorarlberg, TL2","","1.6","7.2","0.7","3.1","3.6",""
"","·  Bludenz-Bregenzer Wald, TL3","","0.4","2.1","0.0","0.6","0.7",""
"","·  Rheintal-Bodenseegebiet, TL3","","2.7","12.1","1.2","5.2","6.0",""
"","Measure: Heating degree days","","","","","","",""
"","New South Wales, TL2","","970.3","967.3","922.2","587.7","542.0",""
"","Victoria, TL2","","1,466.8","1,508.8","1,494.4","1,072.7","978.0",""
"","Queensland, TL2","","206.3","163.8","148.9","37.3","46.8",""
"","South Australia, TL2","","450.3","493.7","470.0","205.9","209.5",""
"","Western Australia, TL2","","254.9","250.1","345.5","127.4","112.1",""
"","Tasmania, TL2","","2,457.0","2,539.5","2,336.8","1,725.7","1,651.0",""
"","Northern Territory, TL2","","118.1","99.0","77.4","24.8","36.6",""
"","Australian Capital Territory, TL2","","2,189.5","2,257.6","2,197.8","1,713.5","1,546.0",""
"","Burgenland (AT), TL2","","2,407.6","2,516.1","2,642.3","2,221.1","2,013.4",""
"","·  Mittelburgenland, TL3","","2,532.5","2,561.1","2,705.7","2,279.2","2,068.8",""
"","·  Nordburgenland, TL3","","2,351.6","2,427.4","2,565.9","2,164.8","1,968.2",""
"","·  Südburgenland, TL3","","2,478.2","2,624.5","2,733.8","2,288.9","2,065.2",""
"","Lower Austria, TL2","","2,903.6","3,068.8","3,215.4","2,699.8","2,349.8",""
"","·  Mostviertel-Eisenwurzen, TL3","","3,110.7","3,387.7","3,487.3","2,947.2","2,501.1",""
"","·  Niederösterreich-Süd, TL3","","3,009.3","3,184.5","3,328.1","2,801.9","2,437.9",""
"","·  Sankt Pölten, TL3","","2,882.3","3,084.3","3,224.0","2,691.9","2,329.1",""
"","·  Waldviertel, TL3","","3,096.9","3,196.8","3,360.2","2,821.7","2,462.7",""
"","·  Weinviertel, TL3","","2,602.8","2,714.3","2,898.4","2,411.0","2,146.9",""
"","·  Wiener Umland/Nordteil, TL3","","2,529.6","2,656.9","2,828.1","2,326.4","2,060.1",""
"","·  Wiener Umland/Südteil, TL3","","2,479.2","2,599.0","2,756.7","2,273.2","2,014.6",""
"","Vienna, TL2","","2,495.3","2,610.3","2,785.6","2,265.6","2,005.9",""
"","·  Vienna, TL3","","2,495.3","2,610.3","2,785.6","2,265.6","2,005.9",""
"","Carinthia, TL2","","4,119.5","4,302.5","4,438.1","3,717.3","3,320.9",""
"","·  Klagenfurt-Villach, TL3","","3,632.3","3,818.1","3,904.1","3,203.4","2,839.3",""
"","·  Oberkärnten, TL3","","4,556.3","4,664.0","4,844.9","4,070.6","3,639.2",""
"","·  Unterkärnten, TL3","","3,558.4","3,811.7","3,891.4","3,235.3","2,887.2",""
"","Styria, TL2","","3,543.4","3,774.2","3,885.9","3,282.2","2,891.2",""
"","·  Graz, TL3","","2,937.7","3,274.7","3,356.4","2,774.6","2,431.1",""
"","·  Liezen, TL3","","4,208.7","4,465.6","4,600.8","3,951.1","3,446.6",""
"","·  Östliche Obersteiermark, TL3","","3,683.1","3,936.1","4,043.6","3,423.0","2,966.1",""
"","·  Oststeiermark, TL3","","2,860.5","3,069.6","3,168.4","2,654.6","2,345.1",""
"","·  West- und Südsteiermark, TL3","","2,978.6","3,194.9","3,268.1","2,723.8","2,438.8",""
"","·  Westliche Obersteiermark, TL3","","4,207.0","4,403.6","4,547.4","3,829.4","3,411.7",""
"","Upper Austria, TL2","","3,195.1","3,496.9","3,592.4","3,042.8","2,552.5",""
"","·  Innviertel, TL3","","2,885.8","3,161.6","3,238.6","2,732.1","2,264.3",""
"","·  Linz-Wels, TL3","","2,763.9","3,056.5","3,159.6","2,659.4","2,193.4",""
"","·  Mühlviertel, TL3","","3,167.4","3,446.5","3,556.8","3,001.7","2,487.5",""
"","·  Steyr-Kirchdorf, TL3","","3,097.1","3,401.9","3,477.1","2,943.1","2,481.6",""
"","·  Traunviertel, TL3","","3,469.0","3,763.5","3,863.5","3,285.6","2,798.3",""
"","Salzburg, TL2","","4,423.5","4,672.6","4,854.5","4,164.8","3,597.6",""
"","·  Lungau, TL3","","5,055.8","5,262.4","5,486.9","4,730.9","4,218.7",""
"","·  Pinzgau-Pongau, TL3","","4,958.7","5,194.8","5,420.2","4,679.5","4,035.5",""
"","·  Salzburg und Umgebung, TL3","","3,497.0","3,917.8","4,028.2","3,435.6","2,923.3",""
"","Tyrol, TL2","","5,033.0","5,126.5","5,355.5","4,571.2","4,029.8",""
"","·  Außerfern, TL3","","4,572.4","4,799.7","4,997.9","4,241.3","3,686.9",""
"","·  Innsbruck, TL3","","5,263.5","5,114.9","5,360.3","4,562.1","4,065.4",""
"","·  Osttirol, TL3","","5,535.4","5,575.9","5,840.9","4,976.5","4,472.7",""
"","·  Tyrolean Oberland, TL3","","5,653.2","5,732.6","5,965.2","5,156.7","4,627.8",""
"","·  Tyrolean Unterland, TL3","","4,586.7","4,650.2","4,863.7","4,129.0","3,532.5",""
"","Vorarlberg, TL2","","4,314.8","4,632.0","4,786.4","4,059.3","3,535.7",""
"","·  Bludenz-Bregenzer Wald, TL3","","4,691.4","4,993.2","5,170.6","4,418.6","3,876.5",""
"","·  Rheintal-Bodenseegebiet, TL3","","3,514.2","3,872.7","3,981.0","3,299.4","2,770.8",""
"","","","","","","","",""
"","© Terms & conditions ","","","","","","","Cooling and heating degree days - Regions"
