"","Flight  distance (km)","","","","","","","Flight  velocity (km/h)","","","","","","","Flight  duration (h)","","","","","","","Flight muscle mass(mg)","","","","","","","TAG(ug/mg)","","","","",""
"","2","17","0","58","46.29503307","7.982","","2 ","19","0","58 ","3.8708877779693","2.289 ","","2 ","19","0","58 ","11.959797268276","3.488 ","","2","17","0","58","0.65","0.64","","4","10","0","289","61.53815266","39.27864821"
"","2","17","0","75","25.48968645","32.998","","2 ","19","0","75 ","2.8602799305957","3.097 ","","2 ","19","0","75 ","8.9116055321708","10.656 ","","2","17","0","75","0.59","0.67","","4","10","0","335","78.2168427","73.75960984"
"","3","7","0","195","31.64966338","23.791","","3 ","7","0","195 ","2.79945","2.144 ","","3 ","7","0","195 ","11.305338320299","11.095 ","","3","7","0","195","0.58","0.57","","4","10","0","385","83.04955406","29.52081512"
"","3","7","0","224","41.59303638","8.382","","3 ","7","0","224 ","3.89529","1.446 ","","3 ","7","0","224 ","10.678000680041","5.797 ","","3","7","0","224","0.65","0.43","","4","11","0","293","44.65025716","59.32908485"
"","3","8","0","196","42.93329934","0.001","","3 ","8","0","196 ","3.66088","0.226 ","","3 ","8","0","196 ","11.727689954105","0.004 ","","3","8","0","196","0.7","0.5","","4","11","0","437","72.24133517","28.92135979"
"","3","8","0","202","60.01053544","11.923","","3 ","8","0","202 ","5.57567","2.493 ","","3 ","8","0","202 ","10.762876083631","4.415 ","","3","8","0","202","0.64","0.64","","4","12","0","260","58.41434307","39.19702401"
"","3","9","0","156","35.21880584","25.22","","3 ","9","0","156 ","3.09904","2.140 ","","3 ","9","0","156 ","11.364482788076","10.879 ","","3","9","0","156","0.55","0.49","","4","12","0","264","59.85642683","58.32170135"
"","3","9","0","158","44.56249765","22.381","","3 ","9","0","158 ","3.93295","3.444 ","","3 ","9","0","158 ","11.330656871957","5.999 ","","3","9","0","158","0.74","0.63","","4","12","0","313","62.9850326","71.1279488"
"","3","9","0","174","68.10865636","13.933","","3 ","9","0","174 ","5.6806","1.696 ","","3 ","9","0","174 ","11.989749722388","7.585 ","","3","9","0","174","0.72","0.44","","4","12","0","328","67.6306169","49.32505955"
"","3","10","0","192","40.43974361","0","","3 ","10","0","192 ","3.46631","0.000 ","","3 ","10","0","192 ","11.66669515426","0.000 ","","3","10","0","192","0.68","0.53","","4","12","0","342","78.67863025","49.79434316"
"","3","10","0","200","44.41300402","11.003","","3 ","10","0","200 ","4.0998","1.993 ","","3 ","10","0","200 ","10.832920263225","5.521 ","","3","10","0","200","0.53","0.38","","4","12","0","380","79.08687107","42.31951881"
"","3","10","0","206","45.69130502","33.441","","3 ","10","0","206 ","3.85516","2.828 ","","3 ","10","0","206 ","11.852320314503","11.826 ","","3","10","0","206","0.74","0.71","","4","12","0","415","82.26250122","30.00443242"
"","3","10","0","218","46.82972054","7.782","","3 ","10","0","218 ","3.90754","2.018 ","","3 ","10","0","218 ","11.984616699427","3.856 ","","3","10","0","218","0.58","0.35","","4","12","0","425","88.88189097","21.60045533"
"","3","10","0","248","53.93614905","18.847","","3 ","10","0","248 ","4.51554","1.680 ","","3 ","10","0","248 ","11.944620117939","11.215 ","","3","10","0","248","0.62","0.37","","4","12","0","546","89.601514","67.72331727"
"","3","11","0","155","28.11267413","0.098","","3 ","11","0","155 ","2.53634","0.860 ","","3 ","11","0","155 ","11.084180839244","0.114 ","","3","11","0","155","0.66","0.36","","4","13","0","425","80.78418359","46.39085527"
"","3","11","0","212","53.93614905","25.432","","3 ","11","0","212 ","4.51554","2.869 ","","3 ","11","0","212 ","11.944620117939","8.865 ","","3","11","0","212","0.67","0.62","","4","13","0","554","52.75107702","48.87778524"
"","3","11","0","215","61.00547304","24.615","","3 ","11","0","215 ","5.08616","2.649 ","","3 ","11","0","215 ","11.994872233142","9.293 ","","3","11","0","215","0.66","0.58","","4","14","0","298","45.76533432","42.04956823"
"","3","12","0","156","29.88003127","22.373","","3 ","12","0","156 ","4.42606","2.196 ","","3 ","12","0","156 ","6.7511076361741","10.188 ","","3","12","0","156","0.68","0.56","","4","14","0","336","68.80724699","25.52224179"
"","3","12","0","184","30.30269481","28.061","","3 ","12","0","184 ","2.6029","2.900 ","","3 ","12","0","184 ","11.642428980975","9.676 ","","3","12","0","184","0.66","0.44","","","","","","",""
"","3","12","0","186","38.09833724","16.749","","3 ","12","0","186 ","4.02857","1.924 ","","3 ","12","0","186 ","9.4573885848319","8.706 ","","3","12","0","186","0.63","0.4","","","","","","",""
"","3","12","0","229","39.01043524","21.75","","3 ","12","0","229 ","4.05755","2.836 ","","3 ","12","0","229 ","9.6148032316914","7.668 ","","3","12","0","229","0.71","0.66","","","","","","",""
"","3","12","0","231","39.39459995","0.408","","3 ","12","0","231 ","4.40477","0.841 ","","3 ","12","0","231 ","8.9434454000521","0.485 ","","3","12","0","231","0.64","0.31","","","","","","",""
"","3","13","0","159","24.84381648","19.33","","3 ","13","0","159 ","2.54154","2.603 ","","3 ","13","0","159 ","9.7751824817518","7.425 ","","3","13","0","159","0.65","0.57","","","","","","",""
"","3","13","0","197","43.49977477","19.753","","3 ","13","0","197 ","4.15584","2.774 ","","3 ","13","0","197 ","10.467153284672","7.119 ","","3","13","0","197","0.67","0.52","","","","","","",""
"","3","13","0","199","59.45314286","0","","3 ","13","0","199 ","4.97446","0.000 ","","3 ","13","0","199 ","11.951199165798","0.000 ","","3","13","0","199","0.6","0.31","","","","","","",""
"","3","14","0","166","12.11821762","20.715","","3 ","14","0","166 ","2.19594","2.903 ","","3 ","14","0","166 ","5.5183578104139","7.136 ","","3","14","0","166","0.72","0.58","","","","","","",""
"","3","14","0","186","44.77134219","52.446","","3 ","14","0","186 ","4.50899","4.380 ","","3 ","14","0","186 ","9.9296325254105","11.975 ","","3","14","0","186","0.68","0.64","","","","","","",""
"","3","16","0","203","47.76870028","17.149","","3 ","16","0","203 ","4.4737999613825","3.015 ","","3 ","16","0","203 ","10.677433210205","5.688 ","","3","16","0","203","0.56","0.57","","","","","","",""
"","3","17","0","174","25.6605996","23.022","","3 ","18","0","174 ","4.1571342685371","3.093 ","","3 ","18","0","174 ","6.1726655785585","7.443 ","","3","17","0","174","0.65","0.47","","","","","","",""
"","4","8","0","296","52.41689954","0.003","","4 ","8","0","296 ","4.43887","0.835 ","","4 ","8","0","296 ","11.80826109128","0.004 ","","4","8","0","296","0.74","0.66","","","","","","",""
"","4","9","0","251","51.29681729","21.812","","4 ","9","0","251 ","4.69887","2.614 ","","4 ","9","0","251 ","10.916545656445","8.346 ","","4","9","0","251","0.67","0.56","","","","","","",""
"","4","10","0","253","45.69130502","26.696","","4 ","10","0","253 ","3.85516","2.332 ","","4 ","10","0","253 ","11.852320314503","11.450 ","","4","10","0","253","0.74","0.61","","","","","","",""
"","4","10","0","295","46.82972054","9.543","","4 ","10","0","295 ","3.90754","1.709 ","","4 ","10","0","295 ","11.984616699427","5.583 ","","4","10","0","295","0.58","0.37","","","","","","",""
"","4","11","0","268","28.11267413","2.946","","4 ","11","0","268 ","2.53634","1.644 ","","4 ","11","0","268 ","11.084180839244","1.792 ","","4","11","0","268","0.66","0.59","","","","","","",""
"","4","11","0","308","39.88483719","0.006","","4 ","11","0","308 ","3.35919","0.814 ","","4 ","11","0","308 ","11.873856935305","0.007 ","","4","11","0","308","0.69","0.43","","","","","","",""
"","4","11","0","316","61.00547304","10.811","","4 ","11","0","316 ","5.08616","2.053 ","","4 ","11","0","316 ","11.994872233142","5.265 ","","4","11","0","316","0.66","0.35","","","","","","",""
"","4","11","0","348","62.48240321","0.813","","4 ","11","0","348 ","5.20929","0.836 ","","4 ","11","0","348 ","11.994872233142","0.972 ","","4","11","0","348","0.65","0.25","","","","","","",""
"","4","12","0","261","8.206525932","0","","4 ","12","0","261 ","3.25593","0.000 ","","4 ","12","0","261 ","2.5207193119625","0.000 ","","4","12","0","261","0.79","0.45","","","","","","",""
"","4","12","0","263","12.66644775","20.433","","4 ","12","0","263 ","2.17368","2.096 ","","4 ","12","0","263 ","5.8274693771175","9.747 ","","4","12","0","263","0.56","0.44","","","","","","",""
"","4","12","0","271","67.28860047","3.144","","4 ","12","0","271 ","5.72067","1.511 ","","4 ","12","0","271 ","11.762314308053","2.081 ","","4","12","0","271","0.63","0.46","","","","","","",""
"","4","12","0","331","51.38464425","26.595","","4 ","12","0","331 ","4.43572","2.751 ","","4 ","12","0","331 ","11.584050039093","9.668 ","","4","12","0","331","0.65","0.49","","","","","","",""
"","4","13","0","317","43.49977477","21.478","","4 ","13","0","317 ","4.15584","2.377 ","","4 ","13","0","317 ","10.467153284672","9.038 ","","4","13","0","317","0.67","0.36","","","","","","",""
"","4","14","0","283","27.57111285","17.699","","4 ","14","0","283 ","3.74759","2.236 ","","4 ","14","0","283 ","7.3567891581965","7.917 ","","4","14","0","283","0.67","0.43","","","","","","",""
"","4","15","0","301","30.76132635","0.671","","4 ","15","0","301 ","2.6064328762337","1.071 ","","4 ","15","0","301 ","11.802078859204","0.626 ","","4","15","0","301","0.64","0.38","","","","","","",""
"","4","15","0","309","57.50950262","1.731","","4 ","15","0","309 ","4.7924585516708","1.708 ","","4 ","15","0","309 ","12","1.014 ","","4","15","0","309","0.67","0.43","","","","","","",""
