"","","","","","","","","","","","","","",""
"","","Hour","SO2 (lbs/MWh)","","","","NOx (lbs/MWh)","","","","CO2 (lbs/MWh)","","",""
"","","10","0.23","0.33","0.47","0.06","0.83","0.91","1.04","0.05","691","732","764","20.5"
"","","11","0.23","0.33","0.43","0.05","0.81","0.89","1.00","0.05","665","725","756","20.0"
"","","12","0.26","0.33","0.43","0.04","0.82","0.90","1.02","0.05","676","727","761","20.2"
"","","13","0.28","0.35","0.44","0.04","0.85","0.92","1.05","0.05","689","738","773","19.3"
"","","14","0.31","0.36","0.45","0.04","0.85","0.94","1.06","0.05","706","744","788","19.0"
"","","15","0.31","0.37","0.45","0.04","0.88","0.95","1.07","0.05","725","753","799","17.6"
"","","16","0.31","0.38","0.46","0.04","0.86","0.97","1.09","0.05","728","765","803","17.6"
"","","17","0.29","0.37","0.47","0.04","0.85","0.97","1.08","0.05","731","769","801","16.6"
"","","18","0.27","0.33","0.44","0.04","0.82","0.92","1.05","0.05","714","751","788","17.2"
"","","19","0.23","0.29","0.37","0.03","0.78","0.83","0.91","0.03","649","683","722","18.8"
"","","20","0.26","0.32","0.38","0.03","0.78","0.85","0.92","0.04","636","682","720","20.9"
"","","21","0.27","0.34","0.40","0.03","0.83","0.88","0.96","0.03","648","702","749","25.5"
"","","22","0.32","0.36","0.43","0.03","0.86","0.93","0.99","0.03","673","738","785","31.1"
"","","23","0.31","0.39","0.51","0.05","0.89","0.98","1.08","0.05","732","767","801","17.5"
"","","24","0.34","0.42","0.51","0.05","0.96","1.05","1.17","0.05","764","800","830","18.1"
"","March","Monthly Average","0.20","0.34","0.56","0.07","0.68","0.93","1.29","0.13","620","794","1,021","82.5"
"","","1","0.28","0.39","0.46","0.05","0.87","1.04","1.21","0.08","798","861","958","36.9"
"","","2","0.33","0.42","0.51","0.05","0.94","1.10","1.25","0.08","821","910","1,001","38.7"
"","","3","0.35","0.44","0.56","0.05","0.94","1.14","1.28","0.08","845","934","991","35.8"
"","","4","0.33","0.44","0.55","0.06","0.97","1.15","1.28","0.08","869","940","1,014","35.1"
"","","5","0.31","0.43","0.54","0.06","0.95","1.14","1.29","0.09","858","935","1,021","35.4"
"","","6","0.28","0.40","0.49","0.06","0.88","1.07","1.26","0.09","818","898","1,000","34.0"
"","","7","0.27","0.35","0.47","0.06","0.80","0.99","1.21","0.08","761","849","918","30.8"
"","","8","0.23","0.33","0.45","0.05","0.75","0.92","1.16","0.09","723","799","882","36.9"
"","","9","0.24","0.31","0.45","0.05","0.75","0.88","1.08","0.08","708","765","818","28.3"
"","","10","0.21","0.30","0.39","0.04","0.74","0.86","1.02","0.06","703","746","787","26.0"
"","","11","0.21","0.29","0.41","0.04","0.71","0.84","1.03","0.06","694","735","780","25.1"
"","","12","0.23","0.28","0.44","0.04","0.68","0.83","1.07","0.07","690","732","791","23.9"
"","","13","0.23","0.30","0.45","0.05","0.72","0.85","1.08","0.07","692","737","790","22.2"
"","","14","0.24","0.31","0.45","0.05","0.74","0.86","1.08","0.07","698","741","787","22.6"
"","","15","0.23","0.33","0.45","0.05","0.75","0.88","1.07","0.07","697","748","787","21.5"
"","","16","0.24","0.33","0.43","0.05","0.75","0.89","1.06","0.07","707","758","801","25.0"
"","","17","0.25","0.33","0.42","0.04","0.77","0.89","1.05","0.07","708","764","799","25.2"
"","","18","0.26","0.32","0.39","0.04","0.76","0.88","1.01","0.06","695","763","802","25.2"
"","","19","0.20","0.29","0.34","0.04","0.71","0.82","0.91","0.05","664","719","757","25.0"
"","","20","0.21","0.28","0.34","0.03","0.68","0.78","0.86","0.05","620","686","732","28.3"
"","","21","0.22","0.29","0.36","0.03","0.70","0.81","0.89","0.05","636","706","769","30.9"
"","","22","0.26","0.32","0.39","0.04","0.76","0.87","0.95","0.06","670","745","781","31.0"
"","","23","0.27","0.34","0.41","0.04","0.78","0.92","1.03","0.06","729","780","838","25.9"
"","","24","0.28","0.37","0.43","0.04","0.84","0.97","1.08","0.07","763","809","873","29.0"
"","April","Monthly Average","0.27","0.48","0.80","0.11","0.77","1.08","1.55","0.16","641","826","1,071","87.1"
"","","1","0.43","0.56","0.69","0.08","0.99","1.23","1.44","0.11","781","919","1,016","54.6"
"","","2","0.48","0.61","0.74","0.08","1.10","1.31","1.50","0.11","838","960","1,053","51.2"
"","","3","0.50","0.63","0.77","0.07","1.15","1.35","1.55","0.10","876","979","1,071","48.0"
"","","4","0.50","0.65","0.79","0.08","1.18","1.36","1.54","0.10","901","984","1,067","42.9"
"","","5","0.48","0.61","0.80","0.09","1.16","1.30","1.53","0.10","890","958","1,040","38.3"
"","","6","0.37","0.54","0.75","0.10","1.01","1.20","1.47","0.12","822","897","967","41.1"
"","","7","0.33","0.49","0.75","0.10","0.94","1.12","1.43","0.12","772","859","935","41.8"
"","","8","0.31","0.45","0.68","0.09","0.88","1.05","1.32","0.11","740","810","884","38.9"
"","","9","0.31","0.44","0.64","0.08","0.89","1.01","1.23","0.08","742","789","865","30.9"
"","","10","0.31","0.42","0.57","0.06","0.89","0.99","1.16","0.07","721","775","835","27.2"
"","","11","0.32","0.41","0.55","0.06","0.86","0.97","1.14","0.06","709","764","829","27.2"
"","","12","0.30","0.42","0.54","0.06","0.85","0.97","1.14","0.07","720","762","827","27.2"
"","","13","0.33","0.42","0.55","0.06","0.87","0.97","1.14","0.07","714","762","824","26.5"
"","","14","0.30","0.42","0.55","0.07","0.86","0.97","1.13","0.07","727","762","820","25.0"
"","","15","0.34","0.43","0.56","0.06","0.85","0.98","1.13","0.07","723","768","829","27.0"
"","","16","0.34","0.44","0.55","0.06","0.86","1.00","1.13","0.07","723","779","847","29.0"
"","","17","0.31","0.44","0.56","0.06","0.89","1.01","1.14","0.07","718","790","858","32.4"
"","","18","0.32","0.43","0.56","0.06","0.88","1.00","1.11","0.07","711","788","838","31.6"
"","","19","0.29","0.40","0.53","0.06","0.83","0.97","1.11","0.08","686","778","834","39.8"
"","","20","0.27","0.38","0.47","0.06","0.77","0.91","1.02","0.08","641","732","800","43.0"
"","","21","0.31","0.40","0.50","0.05","0.81","0.94","1.08","0.08","652","748","819","46.3"
"","","22","0.35","0.45","0.57","0.06","0.88","1.02","1.16","0.08","697","786","859","46.6"
"","","23","0.39","0.48","0.60","0.06","0.92","1.08","1.23","0.08","757","823","884","34.9"
"","","24","0.40","0.50","0.65","0.08","0.96","1.13","1.33","0.10","770","853","919","42.1"
"","May","Monthly Average","0.26","0.47","0.80","0.12","0.67","1.02","1.47","0.17","611","738","969","70.3"
"","","1","0.42","0.57","0.72","0.07","0.80","1.17","1.34","0.12","636","796","913","64.4"
"","","2","0.48","0.63","0.79","0.07","0.88","1.25","1.44","0.12","679","831","955","65.5"
"","","3","0.57","0.67","0.79","0.06","1.06","1.30","1.47","0.10","723","844","966","58.8"
"","","4","0.54","0.68","0.80","0.07","1.04","1.31","1.45","0.10","742","849","969","55.3"
"","","5","0.53","0.64","0.78","0.07","0.98","1.26","1.45","0.09","736","835","927","53.6"
"","","6","0.46","0.59","0.79","0.09","0.91","1.18","1.43","0.10","701","793","886","42.4"
"","","7","0.42","0.54","0.78","0.10","0.89","1.11","1.39","0.10","686","765","847","39.1"
"","","8","0.35","0.48","0.74","0.09","0.81","1.02","1.31","0.09","644","722","781","35.4"
"","","9","0.34","0.44","0.64","0.08","0.78","0.97","1.20","0.07","625","711","767","37.9"
"","","10","0.33","0.42","0.59","0.07","0.75","0.94","1.11","0.07","619","705","761","36.4"
"","","11","0.32","0.40","0.55","0.06","0.72","0.92","1.09","0.07","637","698","748","32.6"
"","","12","0.30","0.39","0.55","0.06","0.70","0.91","1.09","0.08","632","696","751","34.4"
"","","13","0.29","0.38","0.52","0.06","0.68","0.90","1.08","0.08","619","691","752","36.5"
"","","14","0.28","0.38","0.51","0.06","0.67","0.89","1.08","0.09","613","685","755","36.5"
"","","15","0.27","0.38","0.52","0.07","0.67","0.89","1.08","0.09","612","687","770","37.6"
"","","16","0.27","0.39","0.50","0.06","0.68","0.90","1.07","0.09","616","690","777","40.4"
"","","17","0.26","0.39","0.49","0.06","0.71","0.91","1.07","0.09","632","699","787","42.8"
"","","18","0.28","0.40","0.48","0.05","0.73","0.93","1.08","0.08","633","707","801","41.2"
"","","19","0.29","0.40","0.49","0.05","0.71","0.93","1.09","0.08","643","714","802","40.1"
"","","20","0.30","0.39","0.50","0.05","0.74","0.91","1.02","0.06","619","698","755","39.2"
"","","21","0.31","0.39","0.47","0.04","0.72","0.91","1.01","0.07","611","698","759","41.5"
"","","22","0.34","0.43","0.53","0.05","0.76","0.97","1.10","0.07","655","722","805","37.1"
"","","23","0.37","0.46","0.58","0.06","0.78","1.01","1.17","0.09","644","726","809","43.0"
"","","24","0.37","0.50","0.60","0.06","0.82","1.06","1.22","0.09","639","741","839","51.4"
"","June","Monthly Average","0.21","0.42","0.89","0.14","0.68","0.99","1.47","0.18","595","754","969","76.6"
"","","1","0.43","0.52","0.63","0.05","1.05","1.15","1.30","0.06","697","817","928","50.5"
"","","2","0.51","0.60","0.72","0.05","1.11","1.24","1.39","0.06","742","857","965","56.3"
"","","3","0.53","0.63","0.77","0.05","1.14","1.28","1.38","0.06","759","870","969","54.5"
"","","4","0.56","0.66","0.86","0.06","1.20","1.32","1.45","0.06","774","880","959","51.1"
"","","5","0.54","0.65","0.86","0.07","1.18","1.30","1.47","0.07","767","872","955","49.8"
"","","6","0.43","0.61","0.89","0.10","1.07","1.24","1.47","0.10","734","836","937","49.7"
"","","7","0.39","0.53","0.82","0.10","1.00","1.13","1.35","0.10","699","797","872","40.9"
"","","8","0.35","0.45","0.67","0.08","0.90","1.02","1.25","0.09","655","746","840","36.3"
"","","9","0.31","0.40","0.55","0.05","0.87","0.96","1.07","0.06","639","730","808","33.7"
"","","10","0.30","0.37","0.47","0.04","0.84","0.92","1.01","0.05","637","724","809","34.4"
"","","11","0.25","0.34","0.45","0.04","0.79","0.88","0.97","0.05","636","714","801","35.5"
"","","12","0.23","0.32","0.44","0.04","0.77","0.86","0.95","0.04","637","709","787","36.6"
"","","13","0.23","0.30","0.45","0.04","0.76","0.83","0.94","0.05","625","700","769","32.3"
"","","14","0.21","0.29","0.42","0.05","0.69","0.81","0.91","0.05","619","689","751","28.9"
"","","15","0.21","0.29","0.45","0.05","0.68","0.80","0.93","0.06","620","683","741","25.6"
"","","16","0.21","0.29","0.43","0.05","0.68","0.80","0.92","0.05","615","680","739","26.3"
"","","17","0.22","0.29","0.41","0.04","0.70","0.81","0.90","0.05","624","687","742","28.7"
"","","18","0.25","0.31","0.40","0.04","0.72","0.84","0.93","0.04","616","704","769","36.2"
"","","19","0.26","0.32","0.41","0.04","0.76","0.86","0.95","0.04","619","716","788","36.7"
"","","20","0.26","0.32","0.41","0.04","0.77","0.87","0.97","0.04","604","720","786","40.7"
"","","21","0.25","0.33","0.41","0.03","0.79","0.87","0.96","0.04","595","715","798","48.5"
"","","22","0.31","0.37","0.45","0.04","0.84","0.93","1.02","0.04","610","731","804","38.1"
"","","23","0.34","0.42","0.55","0.05","0.87","1.00","1.13","0.06","655","751","818","37.2"
"","","24","0.41","0.47","0.61","0.04","0.94","1.07","1.20","0.06","679","774","853","42.9"
"","July","Monthly Average","0.16","0.38","0.71","0.13","0.66","0.96","1.41","0.19","668","819","987","71.9"
"","","1","0.38","0.49","0.61","0.05","1.02","1.13","1.30","0.06","809","872","927","28.4"
"","","2","0.44","0.55","0.67","0.05","1.10","1.21","1.33","0.06","845","915","970","30.5"
"","","3","0.46","0.58","0.69","0.06","1.15","1.26","1.36","0.06","868","935","973","23.5"
"","","4","0.48","0.59","0.69","0.05","1.17","1.28","1.37","0.06","905","943","974","20.0"
"","","5","0.42","0.59","0.71","0.07","1.12","1.27","1.38","0.07","894","937","974","22.6"
"","","6","0.41","0.56","0.70","0.08","1.07","1.22","1.41","0.09","859","905","987","30.9"
"","","7","0.36","0.49","0.69","0.08","0.98","1.12","1.34","0.10","817","867","947","35.1"
"","","8","0.32","0.42","0.57","0.06","0.91","1.01","1.22","0.08","742","809","850","26.1"
"","","9","0.29","0.38","0.49","0.05","0.87","0.95","1.10","0.05","723","784","833","27.9"
"","","10","0.28","0.35","0.42","0.04","0.83","0.91","1.00","0.05","711","776","826","30.3"
"","","11","0.27","0.33","0.40","0.03","0.79","0.87","0.97","0.05","704","773","830","34.9"
"","","12","0.24","0.30","0.37","0.04","0.75","0.84","0.93","0.05","697","777","843","39.6"
"","","13","0.20","0.28","0.36","0.04","0.71","0.80","0.91","0.05","690","779","846","42.0"
"","","14","0.16","0.26","0.34","0.04","0.66","0.76","0.87","0.06","691","765","826","37.1"
"","","15","0.18","0.24","0.32","0.04","0.66","0.74","0.85","0.05","687","749","808","35.8"
"","","16","0.17","0.24","0.30","0.04","0.66","0.73","0.84","0.05","675","743","804","38.6"
"","","17","0.19","0.24","0.30","0.03","0.67","0.73","0.82","0.04","668","745","811","40.2"
"","","18","0.20","0.25","0.30","0.03","0.70","0.76","0.83","0.03","675","765","836","46.4"
"","","19","0.21","0.27","0.32","0.03","0.73","0.80","0.88","0.03","695","788","858","42.9"
"","","20","0.24","0.29","0.35","0.03","0.77","0.83","0.93","0.04","710","793","848","34.7"
"","","21","0.25","0.30","0.37","0.03","0.78","0.85","0.95","0.04","688","794","850","37.5"
"","","22","0.27","0.34","0.40","0.03","0.85","0.90","0.99","0.04","747","799","850","27.0"
"","","23","0.33","0.40","0.49","0.03","0.93","0.99","1.10","0.04","762","814","860","21.8"
"","","24","0.34","0.44","0.55","0.05","0.93","1.04","1.18","0.06","791","828","870","19.9"
"","August","Monthly Average","0.15","0.35","0.67","0.11","0.65","0.95","1.37","0.18","691","846","1,035","77.2"
"","","1","0.33","0.43","0.51","0.05","1.01","1.10","1.20","0.05","858","914","970","29.6"
"","","2","0.37","0.48","0.59","0.05","1.08","1.18","1.29","0.05","884","955","1,012","34.3"
"","","3","0.41","0.52","0.64","0.05","1.09","1.23","1.34","0.05","916","970","1,023","28.1"
"","","4","0.43","0.53","0.62","0.05","1.11","1.25","1.37","0.06","935","978","1,035","25.5"
"","","5","0.44","0.53","0.64","0.05","1.12","1.25","1.37","0.06","928","977","1,027","24.1"
"","","6","0.42","0.49","0.63","0.06","1.04","1.17","1.34","0.07","855","924","989","30.1"
"","","7","0.37","0.46","0.67","0.07","0.99","1.11","1.36","0.09","843","895","960","30.5"
"","","8","0.33","0.40","0.56","0.06","0.87","1.01","1.21","0.08","766","834","897","29.7"
"","","9","0.28","0.36","0.45","0.04","0.84","0.95","1.05","0.05","753","809","852","23.4"
"","","10","0.26","0.34","0.41","0.03","0.82","0.91","0.97","0.04","740","803","859","30.8"
"","","11","0.23","0.32","0.39","0.04","0.80","0.87","0.95","0.04","712","799","856","38.5"
"","","12","0.22","0.29","0.38","0.04","0.76","0.83","0.95","0.05","717","803","873","41.3"
"","","13","0.19","0.27","0.36","0.04","0.71","0.80","0.92","0.05","725","803","881","44.8"
"","","14","0.17","0.25","0.36","0.05","0.67","0.76","0.92","0.05","708","783","848","40.1"
"","","15","0.15","0.23","0.32","0.04","0.65","0.73","0.85","0.05","694","766","819","38.0"
"","","16","0.15","0.22","0.31","0.04","0.65","0.72","0.83","0.05","691","762","823","41.3"
"","","17","0.15","0.23","0.31","0.04","0.66","0.73","0.83","0.04","695","765","822","42.1"
"","","18","0.15","0.24","0.32","0.04","0.68","0.76","0.85","0.04","701","791","850","46.3"
"","","19","0.18","0.26","0.34","0.04","0.72","0.80","0.89","0.04","720","806","864","38.8"
"","","20","0.18","0.27","0.33","0.04","0.72","0.81","0.90","0.04","707","807","854","38.3"
"","","21","0.18","0.29","0.36","0.04","0.72","0.84","0.94","0.05","719","814","859","33.4"
"","","22","0.24","0.33","0.40","0.04","0.81","0.91","1.00","0.05","784","831","859","18.2"
"","","23","0.31","0.37","0.43","0.03","0.91","0.98","1.05","0.04","805","849","885","19.3"
"","","24","0.32","0.39","0.46","0.04","0.96","1.03","1.10","0.04","826","867","903","19.1"
"","September","Monthly Average","0.17","0.33","0.64","0.09","0.64","0.96","1.40","0.16","698","846","1,066","81.6"
"","","1","0.29","0.39","0.51","0.05","0.97","1.10","1.28","0.07","857","929","1,029","39.5"
"","","2","0.35","0.43","0.55","0.05","1.05","1.16","1.35","0.07","904","966","1,066","35.1"
"","","3","0.32","0.46","0.60","0.07","1.06","1.20","1.38","0.09","931","981","1,063","30.0"
"","","4","0.35","0.47","0.62","0.08","1.05","1.21","1.40","0.09","912","986","1,064","30.9"
"","","5","0.34","0.46","0.62","0.08","1.06","1.20","1.36","0.09","922","975","1,058","30.7"
"","","6","0.29","0.43","0.60","0.09","0.94","1.12","1.34","0.11","864","917","983","34.5"
"","","7","0.30","0.42","0.64","0.10","0.91","1.09","1.32","0.12","848","903","978","36.9"
"","","8","0.28","0.38","0.55","0.08","0.86","1.01","1.23","0.10","802","850","907","28.3"
"","","9","0.26","0.33","0.45","0.05","0.83","0.95","1.09","0.06","781","818","867","22.4"
"","","10","0.27","0.32","0.39","0.03","0.80","0.91","1.02","0.05","751","809","860","27.5"
"","","11","0.23","0.30","0.35","0.03","0.78","0.88","0.96","0.04","733","801","876","32.1"
"","","12","0.21","0.28","0.35","0.03","0.73","0.86","0.93","0.05","726","796","871","36.0"
"","","13","0.18","0.27","0.34","0.03","0.72","0.83","0.90","0.05","714","786","884","39.1"
"","","14","0.18","0.26","0.32","0.03","0.69","0.80","0.90","0.05","698","769","846","33.5"
"","","15","0.18","0.25","0.33","0.04","0.65","0.79","0.90","0.06","700","758","826","28.4"
"","","16","0.18","0.25","0.33","0.04","0.64","0.78","0.91","0.06","701","755","827","28.2"
"","","17","0.17","0.25","0.34","0.04","0.65","0.80","0.94","0.06","717","766","835","28.5"
"","","18","0.18","0.26","0.35","0.04","0.68","0.83","0.93","0.06","739","790","867","32.5"
"","","19","0.20","0.27","0.36","0.04","0.70","0.83","0.93","0.05","723","795","886","40.1"
"","","20","0.19","0.27","0.36","0.04","0.72","0.82","0.91","0.04","715","783","890","46.4"
"","","21","0.22","0.30","0.37","0.04","0.76","0.88","0.95","0.04","739","810","881","34.5"
"","","22","0.23","0.32","0.41","0.04","0.82","0.94","1.04","0.05","810","841","876","17.4"
"","","23","0.26","0.33","0.41","0.04","0.86","0.98","1.07","0.05","807","853","893","17.9"
"","","24","0.23","0.35","0.47","0.05","0.90","1.02","1.14","0.06","835","878","928","24.2"
"","October","Monthly Average","0.21","0.38","0.72","0.11","0.70","1.03","1.51","0.18","677","858","1,095","93.8"
"","","1","0.34","0.47","0.63","0.08","0.95","1.22","1.39","0.10","860","969","1,058","50.3"
"","","2","0.36","0.52","0.69","0.09","0.96","1.30","1.47","0.11","890","1,007","1,078","51.0"
"","","3","0.37","0.54","0.72","0.09","1.01","1.33","1.51","0.11","884","1,020","1,090","52.8"
"","","4","0.37","0.54","0.71","0.10","1.00","1.32","1.51","0.13","877","1,019","1,095","54.6"
"","","5","0.35","0.51","0.70","0.09","0.97","1.27","1.47","0.11","885","993","1,074","45.0"
"","","6","0.30","0.45","0.69","0.10","0.89","1.16","1.44","0.13","821","923","1,037","48.0"
"","","7","0.25","0.42","0.69","0.10","0.86","1.10","1.41","0.13","809","894","980","40.8"
"","","8","0.22","0.38","0.65","0.10","0.81","1.04","1.35","0.12","778","858","936","37.4"
"","","9","0.22","0.35","0.52","0.07","0.76","0.98","1.16","0.09","752","827","885","30.2"
"","","10","0.22","0.33","0.46","0.06","0.75","0.95","1.08","0.07","747","811","855","25.6"
"","","11","0.21","0.32","0.45","0.06","0.77","0.92","1.05","0.06","746","800","843","22.4"
"","","12","0.21","0.31","0.42","0.05","0.76","0.91","1.04","0.06","746","796","841","24.0"
"","","13","0.21","0.31","0.43","0.05","0.73","0.90","1.04","0.06","735","787","833","28.0"
"","","14","0.21","0.30","0.44","0.05","0.72","0.89","1.03","0.06","720","777","832","30.2"
"","","15","0.22","0.30","0.41","0.05","0.71","0.88","1.04","0.07","713","774","838","34.1"
"","","16","0.22","0.30","0.39","0.04","0.70","0.89","1.01","0.07","713","778","847","37.0"
"","","17","0.22","0.30","0.40","0.05","0.72","0.90","1.01","0.06","732","791","847","33.1"
"","","18","0.22","0.30","0.39","0.05","0.75","0.90","1.00","0.06","747","796","858","27.3"
"","","19","0.21","0.28","0.37","0.04","0.72","0.85","0.95","0.05","677","757","820","33.8"
"","","20","0.22","0.29","0.40","0.04","0.72","0.88","0.99","0.06","705","772","842","35.3"
"","","21","0.23","0.33","0.43","0.05","0.76","0.94","1.07","0.06","733","812","874","37.1"
"","","22","0.26","0.36","0.48","0.06","0.79","1.01","1.13","0.07","771","851","905","34.2"
"","","23","0.26","0.39","0.49","0.06","0.81","1.06","1.17","0.08","779","869","921","33.8"
"","","24","0.28","0.42","0.56","0.07","0.83","1.12","1.28","0.10","790","903","954","38.8"
"","November","Monthly Average","0.17","0.37","0.74","0.12","0.62","0.96","1.42","0.15","639","828","1,088","87.8"
"","","1","0.27","0.48","0.67","0.09","0.98","1.11","1.21","0.06","823","905","1,011","41.2"
"","","2","0.30","0.53","0.72","0.11","1.05","1.20","1.32","0.07","872","958","1,060","41.6"
"","","3","0.34","0.56","0.72","0.11","1.09","1.24","1.36","0.06","890","978","1,064","39.3"
"","","4","0.35","0.56","0.74","0.11","1.09","1.24","1.42","0.06","923","985","1,086","38.1"
"","","5","0.33","0.53","0.73","0.10","1.07","1.21","1.42","0.07","921","974","1,088","40.3"
"","","6","0.25","0.44","0.68","0.10","0.96","1.09","1.24","0.07","862","921","1,014","37.4"
"","","7","0.21","0.36","0.59","0.09","0.83","0.98","1.15","0.09","800","859","962","44.2"
"","","8","0.20","0.34","0.57","0.08","0.82","0.93","1.14","0.09","759","824","925","45.0"
"","","9","0.22","0.33","0.56","0.07","0.81","0.90","1.05","0.06","752","802","862","30.6"
"","","10","0.21","0.32","0.54","0.06","0.80","0.88","0.99","0.05","727","790","847","29.6"
"","","11","0.21","0.31","0.52","0.07","0.79","0.87","0.97","0.05","726","779","832","27.6"
"","","12","0.21","0.32","0.50","0.07","0.80","0.87","0.98","0.05","719","776","828","28.7"
"","","13","0.21","0.32","0.50","0.07","0.76","0.88","0.99","0.05","717","779","829","28.9"
"","","14","0.21","0.33","0.50","0.07","0.82","0.88","1.02","0.05","726","782","834","28.0"
"","","15","0.22","0.34","0.47","0.07","0.79","0.89","1.03","0.05","729","784","837","26.1"
"","","16","0.22","0.33","0.47","0.06","0.76","0.89","1.02","0.05","736","792","839","27.2"
"","","17","0.20","0.31","0.45","0.06","0.73","0.86","1.00","0.05","723","787","858","31.4"
"","","18","0.19","0.27","0.37","0.04","0.66","0.80","0.89","0.04","679","743","827","36.2"
"","","19","0.17","0.25","0.35","0.05","0.62","0.76","0.84","0.04","639","708","778","33.3"
"","","20","0.19","0.28","0.41","0.06","0.66","0.80","0.87","0.04","656","729","795","32.8"
"","","21","0.21","0.31","0.44","0.06","0.71","0.84","0.93","0.04","686","758","822","35.2"
"","","22","0.24","0.34","0.49","0.06","0.77","0.90","0.98","0.04","721","789","843","32.3"
"","","23","0.26","0.38","0.52","0.07","0.80","0.95","1.08","0.05","750","817","882","37.2"
"","","24","0.27","0.43","0.58","0.08","0.90","1.02","1.16","0.05","782","842","921","35.5"
"","December","Monthly Average","0.19","0.40","0.73","0.08","0.69","1.02","1.38","0.14","649","853","1,091","90.1"
"","","1","0.36","0.47","0.62","0.06","0.99","1.14","1.30","0.07","839","916","1,016","45.9"
"","","2","0.42","0.51","0.67","0.06","1.05","1.21","1.36","0.07","872","972","1,083","49.9"
"","","3","0.43","0.54","0.73","0.06","1.11","1.26","1.38","0.07","908","993","1,089","45.9"
"","","4","0.42","0.54","0.69","0.06","1.10","1.27","1.37","0.07","933","1,003","1,091","41.3"
"","","5","0.39","0.52","0.60","0.05","1.07","1.24","1.36","0.07","930","996","1,079","41.4"
"","","6","0.35","0.45","0.57","0.05","1.00","1.15","1.33","0.08","885","954","1,046","46.3"
"","","7","0.28","0.39","0.54","0.06","0.88","1.05","1.28","0.10","816","893","989","52.9"
