"","Annual government non-financial accounts and key indicators (for 'Developer API')","","","","","","","","","","","","","","","","",""
"","·  ·  Other subsidies on production","","","261.00","18,087.00","","268.00","21,538.00","","259.00","22,588.00","","328.00","29,115.00","","301.00","23,889.00",""
"","·  Property income","","","   17,889.00","   60,389.00","","   18,318.00","   57,232.00","","   16,682.00","   63,054.00","","   17,684.00","   81,945.00","","   15,772.00","   78,121.00",""
"","·  ·  Interest","","","   2,700.00","   60,214.00","","   2,394.00","   57,126.00","","   2,498.00","   62,994.00","","   3,105.00","   81,845.00","","   4,757.00","   77,998.00",""
"","·  ·  ·  Interest before FISIM allocation","","","   2,600.00","   63,612.00","","   2,359.00","   60,509.00","","   2,442.00","   66,607.00","","   2,950.00","   85,205.00","","   4,581.00","   79,833.00",""
"","·  ·  Distributed income of corporations","","","   9,860.00","","","   10,908.00","","","   9,260.00","","","   9,207.00","","","   5,286.00","",""
"","·  ·  Reinvested earnings on FDI (excluding IF)","","","   0.00","","","   0.00","","","   0.00","","","   0.00","","","   0.00","",""
"","·  ·  Other investment income","","","   652.00","","","   591.00","","","   753.00","","","   926.00","","","   994.00","",""
"","·  ·  Rent","","","   4,677.00","   175.00","","   4,425.00","   106.00","","   4,171.00","   60.00","","   4,446.00","   100.00","","   4,735.00","   123.00",""
"","·  ·  Property income other than interest","","","   15,189.00","   175.00","","   15,924.00","   106.00","","   14,184.00","   60.00","","   14,579.00","   100.00","","   11,015.00","   123.00",""
"","·  Balance of primary incomes, net / National income, net","","189,503.00","","","158,303.00","","","179,121.00","","","170,058.00","","","189,895.00","","",""
"","Secondary distribution of income account","","","","","","","","","","","","","","","","",""
"","·  Current taxes on income, wealth, etc.","","","258,205.00","1,276.00","","251,102.00","1,156.00","","268,362.00","1,413.00","","290,412.00","1,378.00","","320,796.00","1,428.00",""
"","·  ·  Taxes on income","","","248,607.00","","","242,389.00","","","258,752.00","","","279,575.00","","","310,178.00","",""
"","·  ·  Other current taxes","","","9,598.00","","","8,712.00","","","9,611.00","","","10,837.00","","","10,618.00","",""
"","·  Taxes on income","","","248,607.00","","","242,389.00","","","258,752.00","","","279,575.00","","","310,178.00","",""
"","·  ·  Taxes on individual or household income including holding gains","","","212,504.00","","","207,372.00","","","223,117.00","","","225,394.00","","","250,829.00","",""
"","·  ·  Taxes on the income or profits of corporations including holding gains","","","35,101.00","","","34,094.00","","","34,412.00","","","52,955.00","","","58,041.00","",""
"","·  Other current taxes","","","9,598.00","","","8,712.00","","","9,611.00","","","10,837.00","","","10,618.00","",""
"","·  Net social contributions","","","242,020.00","","","230,337.00","","","247,577.00","","","260,268.00","","","269,464.00","",""
"","·  ·  Actual social contributions from employers and households","","","237,784.00","","","226,055.00","","","242,912.00","","","256,002.00","","","265,216.00","",""
"","·  Actual social contributions from employers and households","","","237,784.00","","","226,055.00","","","242,912.00","","","256,002.00","","","265,216.00","",""
"","·  ·  Employers' actual social contributions","","","158,442.00","","","150,246.00","","","162,110.00","","","170,790.00","","","179,106.00","",""
"","·  ·  Households' actual social contributions","","","79,342.00","","","75,809.00","","","80,802.00","","","85,212.00","","","86,110.00","",""
"","·  Other current transfers","","","   18,521.00","   28,796.00","","   16,199.00","   32,765.00","","   19,697.00","   35,952.00","","   22,499.00","   34,529.00","","   23,704.00","   36,507.00",""
"","·  ·  Net non-life insurance premiums","","","","   615.00","","","   570.00","","","   668.00","","","   642.00","","","   628.00",""
"","·  ·  Non-life insurance claims","","","   141.00","","","   121.00","","","   132.00","","","   120.00","","","   115.00","",""
"","·  ·  Current international cooperation","","","   1,756.00","   2,487.00","","   2,536.00","   2,477.00","","   2,435.00","   2,895.00","","   2,675.00","   2,879.00","","   3,643.00","   1,950.00",""
"","·  ·  Miscellaneous current transfers","","","   16,624.00","   10,704.00","","   13,542.00","   13,087.00","","   17,130.00","   14,259.00","","   19,704.00","   14,249.00","","   19,946.00","   17,198.00",""
"","·  ·  Value Added Tax and gross national income - based EU own resources","","","   0.00","   14,990.00","","   0.00","   16,631.00","","   0.00","   18,130.00","","   0.00","   16,759.00","","   0.00","   16,731.00",""
"","·  Social benefits other than social transfers in kind and social transfers in kind, purchased market production","","","","407,101.00","","","445,459.00","","","445,396.00","","","457,067.00","","","477,826.00",""
"","·  ·  Social benefits other than social transfers in kind","","","","361,203.00","","","399,175.00","","","397,876.00","","","406,898.00","","","424,486.00",""
"","·  ·  Social transfers in kind - purchased market production","","","","45,898.00","","","46,284.00","","","47,520.00","","","50,169.00","","","53,340.00",""
"","·  Disposable income, net","","316,974.00","","","222,845.00","","","279,516.00","","","300,432.00","","","341,438.00","","",""
"","Use of disposable income account","","","","","","","","","","","","","","","","",""
"","·  Final consumption expenditure","","","","337,134.00","","","346,227.00","","","361,824.00","","","375,059.00","","","382,623.00",""
"","·  ·  Individual consumption expenditure","","","","194,719.00","","","200,974.00","","","213,132.00","","","220,634.00","","","226,183.00",""
"","·  ·  Collective consumption expenditure","","","","142,415.00","","","145,253.00","","","148,692.00","","","154,425.00","","","156,440.00",""
"","·  Adjustment for the change in pension entitlements","","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00",""
"","·  Saving, gross","","30,460.00","","","-72,237.00","","","-28,822.00","","","-17,934.00","","","16,659.00","","",""
"","·  ·  Saving, net","","-20,160.00","","","-123,382.00","","","-82,308.00","","","-74,627.00","","","-41,185.00","","",""
"","Capital account","","","","","","","","","","","","","","","","",""
"","·  Consumption of fixed capital","","","","50,620.00","","","51,145.00","","","53,486.00","","","56,693.00","","","57,844.00",""
"","·  Capital transfers","","","   4,742.00","   18,842.00","","   5,706.00","   43,326.00","","   11,149.00","   91,933.00","","   17,838.00","   101,004.00","","   23,070.00","   124,092.00",""
"","·  ·  Capital taxes","","","   1,252.00","","","   944.00","","","   1,596.00","","","   1,707.00","","","   1,609.00","",""
"","·  ·  Other capital transfers and investment grants","","","   3,490.00","","","   4,762.00","","","   9,553.00","","","   16,131.00","","","   21,461.00","",""
"","·  ·  ·  Investment grants","","","   1,588.00","   14,172.00","","   2,839.00","   18,799.00","","   4,949.00","   58,837.00","","   3,475.00","   89,786.00","","   6,500.00","   115,586.00",""
"","·  ·  ·  Other capital transfers","","","   1,902.00","   4,670.00","","   1,923.00","   24,527.00","","   4,604.00","   33,096.00","","   12,656.00","   11,218.00","","   14,961.00","   8,506.00",""
"","·  Gross capital formation and acquisitions less disposals of non-produced assets","","","","42,521.00","","","46,770.00","","","53,524.00","","","60,475.00","","","68,372.00",""
"","·  ·  Gross capital formation","","","","42,048.00","","","46,139.00","","","52,714.00","","","59,528.00","","","67,185.00",""
"","·  ·  ·  Gross fixed capital formation","","","","41,865.00","","","43,885.00","","","52,402.00","","","52,395.00","","","67,599.00",""
"","·  ·  ·  Changes in inventories and acquisitions less disposals of valuables","","","","183.00","","","2,254.00","","","312.00","","","7,133.00","","","-414.00",""
"","·  ·  Acquisitions less disposals of non-financial non-produced assets","","","","473.00","","","631.00","","","810.00","","","947.00","","","1,187.00",""
"","·  ·  Consumption of fixed capital, capital account","","","50,620.00","","","51,145.00","","","53,486.00","","","56,693.00","","","57,844.00","",""
"","·  Net lending (+) / net borrowing (-)","","-26,161.00","","","-156,627.00","","","-163,130.00","","","-161,575.00","","","-152,735.00","","",""
"","·  ·  Total government expenditure","","","","   873,598.00","","","   948,296.00","","","   1,032,343.00","","","   1,096,547.00","","","   1,144,854.00",""
"","·  ·  Total government revenue","","","   847,437.00","","","   791,669.00","","","   869,213.00","","","   934,972.00","","","   992,119.00","",""
"","Institutional sector: Central government","","","","","","","","","","","","","","","","",""
"","Production account","","","","","","","","","","","","","","","","",""
"","·  Output","","","154,632.00","","","153,618.00","","","162,248.00","","","166,242.00","","","169,106.00","",""
"","·  ·  Market output and output for own final use","","","10,071.00","","","9,347.00","","","10,767.00","","","10,610.00","","","11,652.00","",""
"","·  ·  ·  Market output","","","5,372.00","","","4,442.00","","","5,611.00","","","5,612.00","","","6,096.00","",""
"","·  ·  ·  Output for own final use","","","4,699.00","","","4,905.00","","","5,156.00","","","4,998.00","","","5,556.00","",""
"","·  ·  Non-market output","","","144,561.00","","","144,271.00","","","151,481.00","","","155,632.00","","","157,454.00","",""
"","·  ·  ·  Payments for other non-market output","","","4,014.00","","","3,444.00","","","4,476.00","","","5,334.00","","","5,717.00","",""
"","·  ·  ·  Other non-market output, n.e.c.","","","140,547.00","","","140,827.00","","","147,005.00","","","150,298.00","","","151,737.00","",""
"","·  ·  Market output, output for own final use and payments for other non-market output","","","14,085.00","","","12,791.00","","","15,243.00","","","15,944.00","","","17,369.00","",""
"","·  Intermediate consumption","","","","24,606.00","","","23,000.00","","","25,925.00","","","28,339.00","","","28,880.00",""
"","·  Value added, gross","","130,026.00","","","130,618.00","","","136,323.00","","","137,903.00","","","140,226.00","","",""
"","·  ·  Consumption of fixed capital","","","","20,586.00","","","20,831.00","","","21,735.00","","","22,840.00","","","23,301.00",""
"","·  Value added, net","","109,440.00","","","109,787.00","","","114,588.00","","","115,063.00","","","116,925.00","","",""
"","Generation of income account","","","","","","","","","","","","","","","","",""
"","·  Compensation of employees","","","","103,584.00","","","103,821.00","","","108,347.00","","","108,895.00","","","110,848.00",""
"","·  ·  Wages and salaries","","","","68,684.00","","","68,801.00","","","72,085.00","","","72,702.00","","","74,157.00",""
"","·  ·  Employers' social contributions","","","","34,900.00","","","35,020.00","","","36,262.00","","","36,193.00","","","36,691.00",""
"","·  Other taxes on production","","","7,691.00","5,710.00","","7,460.00","5,836.00","","8,144.00","6,092.00","","13,593.00","6,081.00","","10,547.00","5,811.00",""
"","·  Other subsidies on production","","","0.00","15,505.00","","0.00","18,378.00","","0.00","17,916.00","","0.00","23,599.00","","0.00","16,656.00",""
"","·  Operating surplus, net","","146.00","","","130.00","","","149.00","","","87.00","","","266.00","","",""
"","Allocation of primary income account","","","","","","","","","","","","","","","","",""
"","·  Taxes on production and imports","","","209,091.00","","","185,474.00","","","211,552.00","","","223,779.00","","","232,782.00","",""
"","·  ·  Taxes on products","","","201,400.00","","","178,014.00","","","203,408.00","","","210,186.00","","","222,235.00","",""
"","·  ·  ·  Value added type taxes","","","111,464.00","","","99,683.00","","","120,980.00","","","138,533.00","","","140,005.00","",""
"","·  ·  Other taxes on production","","","7,691.00","5,710.00","","7,460.00","5,836.00","","8,144.00","6,092.00","","13,593.00","6,081.00","","10,547.00","5,811.00",""
"","·  Subsidies on production and imports","","","","18,183.00","","","21,427.00","","","22,367.00","","","30,738.00","","","21,818.00",""
"","·  ·  Subsidies on products","","","","2,678.00","","","3,049.00","","","4,451.00","","","7,139.00","","","5,162.00",""
"","·  ·  Other subsidies on production","","","0.00","15,505.00","","0.00","18,378.00","","0.00","17,916.00","","0.00","23,599.00","","0.00","16,656.00",""
"","·  Property income, Total economy","","","","","","","","","","","","","","","","",""
"","·  ·  Property income, General government","","","","","","","","","","","","","","","","",""
"","·  ·  ·  Property income, Local government","","","","   22.00","","","   25.00","","","   46.00","","","   106.00","","","   28.00",""
"","·  ·  ·  Property income, Social security funds","","","","   263.00","","","   234.00","","","   340.00","","","   582.00","","","   231.00",""
"","·  Property income","","","   13,953.00","   59,603.00","","   14,920.00","   56,582.00","","   13,405.00","   62,867.00","","   13,327.00","   81,704.00","","   11,012.00","   76,668.00",""
"","·  ·  Interest","","","   2,739.00","   59,512.00","","   2,594.00","   56,493.00","","   2,645.00","   62,819.00","","   2,894.00","   81,650.00","","   4,465.00","   76,591.00",""
"","·  ·  ·  Interest before FISIM allocation","","","   2,673.00","   60,999.00","","   2,574.00","   57,959.00","","   2,612.00","   64,385.00","","   2,801.00","   83,102.00","","   4,353.00","   77,563.00",""
"","·  ·  Distributed income of corporations","","","   8,818.00","","","   9,972.00","","","   8,317.00","","","   8,047.00","","","   4,163.00","",""
"","·  ·  Reinvested earnings on FDI (excluding IF)","","","   0.00","","","   0.00","","","   0.00","","","   0.00","","","   0.00","",""
"","·  ·  Other investment income","","","   8.00","","","   10.00","","","   14.00","","","   11.00","","","   11.00","",""
"","·  ·  Rent","","","   2,388.00","   91.00","","   2,344.00","   89.00","","   2,429.00","   48.00","","   2,375.00","   54.00","","   2,373.00","   77.00",""
"","·  ·  Property income other than interest","","","   11,214.00","   91.00","","   12,326.00","   89.00","","   10,760.00","   48.00","","   10,433.00","   54.00","","   6,547.00","   77.00",""
"","·  Balance of primary incomes, net / National income, net","","145,404.00","","","122,515.00","","","139,872.00","","","124,751.00","","","145,574.00","","",""
"","Secondary distribution of income account","","","","","","","","","","","","","","","","",""
"","·  Current taxes on income, wealth, etc.","","","234,660.00","123.00","","228,564.00","54.00","","245,287.00","104.00","","266,243.00","154.00","","295,077.00","259.00",""
"","·  ·  Taxes on income","","","231,765.00","","","225,843.00","","","241,945.00","","","261,680.00","","","290,937.00","",""
"","·  ·  Other current taxes","","","2,895.00","","","2,720.00","","","3,343.00","","","4,562.00","","","4,140.00","",""
"","·  Taxes on income","","","231,765.00","","","225,843.00","","","241,945.00","","","261,680.00","","","290,937.00","",""
"","·  ·  Taxes on individual or household income including holding gains","","","195,662.00","","","190,826.00","","","206,310.00","","","207,500.00","","","231,588.00","",""
"","·  ·  Taxes on the income or profits of corporations including holding gains","","","35,101.00","","","34,094.00","","","34,412.00","","","52,954.00","","","58,041.00","",""
"","·  Other current taxes","","","2,895.00","","","2,720.00","","","3,343.00","","","4,562.00","","","4,140.00","",""
"","·  Net social contributions","","","2,480.00","","","2,567.00","","","2,807.00","","","2,528.00","","","2,530.00","",""
"","·  Actual social contributions from employers and households","","","","","","","","","","","","","","","","",""
"","·  ·  Households' actual social contributions","","","48.00","","","48.00","","","46.00","","","52.00","","","57.00","",""
"","·  Other current transfers, Total economy","","","","","","","","","","","","","","","","",""
"","·  ·  Other current transfers, General government","","","","","","","","","","","","","","","","",""
"","·  ·  ·  Other current transfers, Local government","","","","   126,129.00","","","   139,490.00","","","   143,188.00","","","   140,417.00","","","   149,893.00",""
"","·  ·  ·  Other current transfers, Social security funds","","","","   115,115.00","","","   161,084.00","","","   145,237.00","","","   145,724.00","","","   161,913.00",""
"","·  Other current transfers","","","   22,527.00","   262,769.00","","   19,566.00","   325,117.00","","   24,502.00","   316,058.00","","   24,263.00","   311,652.00","","   25,834.00","   338,898.00",""
"","·  ·  Net non-life insurance premiums","","","","   124.00","","","   107.00","","","   171.00","","","   144.00","","","   147.00",""
"","·  ·  Non-life insurance claims","","","   28.00","","","   25.00","","","   25.00","","","   26.00","","","   31.00","",""
"","·  ·  Current transfers within general government","","","   11,515.00","   241,244.00","","   10,588.00","   300,574.00","","   11,553.00","   288,425.00","","   9,942.00","   286,141.00","","   10,399.00","   311,806.00",""
"","·  ·  Current international cooperation","","","   817.00","   2,400.00","","   795.00","   2,399.00","","   1,043.00","   2,821.00","","   1,608.00","   2,795.00","","   2,303.00","   1,855.00",""
"","·  ·  Miscellaneous current transfers","","","   10,167.00","   4,011.00","","   8,158.00","   5,406.00","","   11,881.00","   6,511.00","","   12,687.00","   5,813.00","","   13,101.00","   8,359.00",""
"","·  ·  Value Added Tax and gross national income - based EU own resources","","","   0.00","   14,990.00","","   0.00","   16,631.00","","   0.00","   18,130.00","","   0.00","   16,759.00","","   0.00","   16,731.00",""
"","·  Social benefits other than social transfers in kind and social transfers in kind, purchased market production","","","","17,349.00","","","21,629.00","","","22,855.00","","","14,849.00","","","17,229.00",""
"","·  ·  Social benefits other than social transfers in kind","","","","15,092.00","","","19,461.00","","","20,620.00","","","10,436.00","","","9,936.00",""
"","·  ·  Social transfers in kind - purchased market production","","","","2,257.00","","","2,168.00","","","2,235.00","","","4,413.00","","","7,293.00",""
"","·  Disposable income, net","","127,087.00","","","28,580.00","","","75,686.00","","","95,543.00","","","119,922.00","","",""
"","Use of disposable income account","","","","","","","","","","","","","","","","",""
"","·  Final consumption expenditure","","","","142,804.00","","","142,995.00","","","149,240.00","","","154,711.00","","","159,030.00",""
"","·  ·  Individual consumption expenditure","","","","57,309.00","","","57,013.00","","","61,143.00","","","64,092.00","","","67,657.00",""
"","·  ·  Collective consumption expenditure","","","","85,495.00","","","85,982.00","","","88,097.00","","","90,619.00","","","91,373.00",""
"","·  Adjustment for the change in pension entitlements","","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00",""
"","·  Saving, gross","","4,869.00","","","-93,584.00","","","-51,819.00","","","-36,328.00","","","-15,807.00","","",""
"","·  ·  Saving, net","","-15,717.00","","","-114,415.00","","","-73,554.00","","","-59,168.00","","","-39,108.00","","",""
"","Capital account","","","","","","","","","","","","","","","","",""
"","·  Consumption of fixed capital","","","","20,586.00","","","20,831.00","","","21,735.00","","","22,840.00","","","23,301.00",""
"","·  Capital transfers, Total economy","","","","","","","","","","","","","","","","",""
"","·  ·  Capital transfers, General government","","","","","","","","","","","","","","","","",""
"","·  ·  ·  Capital transfers, Local government","","","","   5,409.00","","","   6,850.00","","","   9,372.00","","","   12,811.00","","","   15,014.00",""
"","·  ·  ·  Capital transfers, Social security funds","","","","   0.00","","","   0.00","","","   0.00","","","   0.00","","","   0.00",""
"","·  Capital transfers","","","   3,001.00","   20,123.00","","   2,766.00","   44,697.00","","   8,724.00","   96,414.00","","   15,435.00","   109,142.00","","   19,736.00","   133,376.00",""
"","·  ·  Capital taxes","","","   1,161.00","","","   890.00","","","   1,520.00","","","   1,632.00","","","   1,536.00","",""
"","·  ·  Other capital transfers and investment grants","","","   1,840.00","","","   1,876.00","","","   7,204.00","","","   13,803.00","","","   18,200.00","",""
"","·  ·  ·  Investment grants","","","   784.00","   15,789.00","","   998.00","   20,990.00","","   3,583.00","   63,922.00","","   2,071.00","   98,394.00","","   4,370.00","   125,210.00",""
"","·  ·  ·  Other capital transfers","","","   1,056.00","   4,334.00","","   878.00","   23,707.00","","   3,621.00","   32,492.00","","   11,732.00","   10,748.00","","   13,830.00","   8,166.00",""
"","·  Gross capital formation and acquisitions less disposals of non-produced assets","","","","19,158.00","","","21,065.00","","","25,540.00","","","31,132.00","","","31,917.00",""
"","·  ·  Gross capital formation","","","","19,136.00","","","21,053.00","","","25,534.00","","","31,110.00","","","31,876.00",""
"","·  ·  ·  Gross fixed capital formation","","","","19,047.00","","","19,549.00","","","25,522.00","","","24,018.00","","","32,405.00",""
"","·  ·  ·  Changes in inventories and acquisitions less disposals of valuables","","","","89.00","","","1,504.00","","","12.00","","","7,092.00","","","-529.00",""
"","·  ·  Acquisitions less disposals of non-financial non-produced assets","","","","22.00","","","12.00","","","6.00","","","22.00","","","41.00",""
"","·  ·  Consumption of fixed capital, capital account","","","20,586.00","","","20,831.00","","","21,735.00","","","22,840.00","","","23,301.00","",""
"","·  Net lending (+) / net borrowing (-)","","-31,411.00","","","-156,580.00","","","-165,049.00","","","-161,167.00","","","-161,364.00","","",""
"","·  ·  Total government expenditure","","","","   531,208.00","","","   623,228.00","","","   686,569.00","","","   722,686.00","","","   765,704.00",""
"","·  ·  Total government revenue","","","   499,797.00","","","   466,648.00","","","   521,520.00","","","   561,519.00","","","   604,340.00","",""
"","Institutional sector: Local government","","","","","","","","","","","","","","","","",""
"","Production account","","","","","","","","","","","","","","","","",""
"","·  Output","","","175,000.00","","","178,866.00","","","189,404.00","","","198,130.00","","","201,510.00","",""
"","·  ·  Market output and output for own final use","","","19,889.00","","","17,505.00","","","18,782.00","","","19,754.00","","","20,131.00","",""
"","·  ·  ·  Market output","","","14,663.00","","","12,318.00","","","13,282.00","","","13,998.00","","","14,102.00","",""
"","·  ·  ·  Output for own final use","","","5,226.00","","","5,187.00","","","5,500.00","","","5,756.00","","","6,029.00","",""
"","·  ·  Non-market output","","","155,111.00","","","161,361.00","","","170,622.00","","","178,376.00","","","181,379.00","",""
"","·  ·  ·  Payments for other non-market output","","","9,794.00","","","7,742.00","","","8,841.00","","","9,863.00","","","10,299.00","",""
"","·  ·  ·  Other non-market output, n.e.c.","","","145,317.00","","","153,619.00","","","161,781.00","","","168,513.00","","","171,080.00","",""
"","·  ·  Market output, output for own final use and payments for other non-market output","","","29,683.00","","","25,247.00","","","27,623.00","","","29,617.00","","","30,430.00","",""
"","·  Intermediate consumption","","","","74,560.00","","","77,360.00","","","83,455.00","","","89,100.00","","","89,940.00",""
"","·  Value added, gross","","100,440.00","","","101,506.00","","","105,949.00","","","109,030.00","","","111,570.00","","",""
"","·  ·  Consumption of fixed capital","","","","29,064.00","","","29,349.00","","","30,757.00","","","32,823.00","","","33,495.00",""
"","·  Value added, net","","71,376.00","","","72,157.00","","","75,192.00","","","76,207.00","","","78,075.00","","",""
"","Generation of income account","","","","","","","","","","","","","","","","",""
"","·  Compensation of employees","","","","67,037.00","","","67,818.00","","","70,641.00","","","71,536.00","","","73,214.00",""
"","·  ·  Wages and salaries","","","","50,560.00","","","51,163.00","","","53,221.00","","","53,999.00","","","55,343.00",""
"","·  ·  Employers' social contributions","","","","16,477.00","","","16,655.00","","","17,420.00","","","17,537.00","","","17,871.00",""
"","·  Other taxes on production","","","44,373.00","4,371.00","","38,944.00","4,429.00","","43,187.00","4,591.00","","48,403.00","4,683.00","","49,833.00","4,872.00",""
"","·  Other subsidies on production","","","261.00","1,270.00","","268.00","1,683.00","","259.00","1,994.00","","328.00","1,867.00","","301.00","1,780.00",""
"","·  Operating surplus, net","","229.00","","","178.00","","","219.00","","","316.00","","","290.00","","",""
"","Allocation of primary income account","","","","","","","","","","","","","","","","",""
"","·  Taxes on production and imports","","","52,397.00","","","45,706.00","","","50,548.00","","","56,122.00","","","57,942.00","",""
"","·  ·  Taxes on products","","","8,024.00","","","6,762.00","","","7,361.00","","","7,719.00","","","8,109.00","",""
"","·  ·  ·  Value added type taxes","","","0.00","","","0.00","","","0.00","","","0.00","","","0.00","",""
"","·  ·  Other taxes on production","","","44,373.00","4,371.00","","38,944.00","4,429.00","","43,187.00","4,591.00","","48,403.00","4,683.00","","49,833.00","4,872.00",""
"","·  Subsidies on production and imports","","","","10,365.00","","","11,367.00","","","11,930.00","","","11,598.00","","","11,765.00",""
"","·  ·  Subsidies on products","","","","9,095.00","","","9,684.00","","","9,936.00","","","9,731.00","","","9,985.00",""
"","·  ·  Other subsidies on production","","","261.00","1,270.00","","268.00","1,683.00","","259.00","1,994.00","","328.00","1,867.00","","301.00","1,780.00",""
"","·  Property income, Total economy","","","","","","","","","","","","","","","","",""
"","·  ·  Property income, General government","","","","","","","","","","","","","","","","",""
"","·  ·  ·  Property income, Central government","","","","   1,057.00","","","   978.00","","","   860.00","","","   578.00","","","   825.00",""
"","·  ·  ·  Property income, Social security funds","","","","   0.00","","","   0.00","","","   0.00","","","   0.00","","","   0.00",""
"","·  Property income","","","   3,493.00","   2,111.00","","   3,141.00","   1,852.00","","   2,838.00","   1,419.00","","   3,484.00","   1,486.00","","   3,823.00","   2,514.00",""
"","·  ·  Interest","","","   256.00","   2,027.00","","   196.00","   1,835.00","","   243.00","   1,407.00","","   383.00","   1,440.00","","   482.00","   2,468.00",""
"","·  ·  ·  Interest before FISIM allocation","","","   236.00","   3,936.00","","   187.00","   3,750.00","","   229.00","   3,453.00","","   344.00","   3,347.00","","   439.00","   3,330.00",""
"","·  ·  Distributed income of corporations","","","   914.00","","","   826.00","","","   814.00","","","   991.00","","","   941.00","",""
"","·  ·  Reinvested earnings on FDI (excluding IF)","","","   0.00","","","   0.00","","","   0.00","","","   0.00","","","   0.00","",""
"","·  ·  Other investment income","","","   34.00","","","   38.00","","","   39.00","","","   39.00","","","   38.00","",""
"","·  ·  Rent","","","   2,289.00","   84.00","","   2,081.00","   17.00","","   1,742.00","   12.00","","   2,071.00","   46.00","","   2,362.00","   46.00",""
"","·  ·  Property income other than interest","","","   3,237.00","   84.00","","   2,945.00","   17.00","","   2,595.00","   12.00","","   3,101.00","   46.00","","   3,341.00","   46.00",""
