Zone Name,Market Name,Location,UPC,Name,PSA Category Name,Pack Type,CORE,Capacity,Total Unit Movement,Total PFP Facings,Total $ Movement,Delete- store only- no package,desired outcome for location 10298 considering package
,WEST FLORIDA,10298,3410000152,Miller High Life 4/16C,Sub Premium,Multi,,4,0.14,2,0.64,,delete
,WEST FLORIDA,10298,7199030005,Coors Light 6/12B,Premium,Multi,,3,0.07,2,0.57,,delete
,WEST FLORIDA,10298,3410098922,Henrys Hard Soda Ginger Ale 6/12B,Specialty,Multi,,3,0,2,0,,delete
,WEST FLORIDA,10298,1820023986,Michelob Ultra 8/16C,Specialty,Multi,,2,0,2,0,,delete
,WEST FLORIDA,10298,8066095757,Modelo 12/12B,Imports,Multi,,2,0,3,0,,delete
,WEST FLORIDA,10298,63598525875,Mikes HARDER Lemonade 1/16C,FMB,Single,,10,3.43,1,7,,
,WEST FLORIDA,10298,1820025001,Bud Light 1/25C,Premium,Single,CORE,18,2.04,2,4.56,,
,WEST FLORIDA,10298,1820000795,Bud Light 1/16AL,Premium,Single,,11,2.82,1,4.32,,
,WEST FLORIDA,10298,89521600106,Four Loko Peach 12 pct 1/24C,FMB,Single,,12,1.25,2,3.89,,
,WEST FLORIDA,10298,1820000538S,Bud Light 1/16C x4,Premium,Single,,10,2.07,1,3.4,,
,WEST FLORIDA,10298,8769283231,Twisted Tea 1/24C,FMB,Single,,9,1.07,1,3.31,,
,WEST FLORIDA,10298,63598501012,Mikes HARDER Blk Cherry Lemonade 1/16C,FMB,Single,,10,1.46,1,3.03,,
,WEST FLORIDA,10298,63598513219,Mikes HARDER Strawberry Lemonade 1/16C,FMB,Single,,10,1.46,1,2.97,,
,WEST FLORIDA,10298,1820025505,Bud Light Lime Straw-Ber-Rita 1/25C,FMB,Single,,9,0.86,1,2.61,,
,WEST FLORIDA,10298,3410000768,Icehouse Edge 1/24C,Sub Premium,Single,,9,1.25,1,2.59,,
,WEST FLORIDA,10298,63598501037,Mikes HARDER Cranberry Lemonade 1/16C,FMB,Single,,10,1.25,1,2.53,,
,WEST FLORIDA,10298,3410000323,Redd's Wicked Apple 1/24C,Specialty,Single,,7,0.79,1,2.39,,
,WEST FLORIDA,10298,1820000506S,Stella Artois 1/15C,Imports,Single,,9,1.11,1,2.27,,
,WEST FLORIDA,10298,1820000537S,Budweiser 1/16C x4,Premium,Single,,10,1.32,1,2.13,,
,WEST FLORIDA,10298,3410000880,Icehouse 1/24C,Sub Premium,Single,,9,1.04,1,2.12,,
,WEST FLORIDA,10298,1820025000,Budweiser 1/25C,Premium,Single,,27,0.89,3,2.03,,
,WEST FLORIDA,10298,7289000119,Heineken 1/24C,Imports,Single,,6,0.64,1,2.03,,
,WEST FLORIDA,10298,7289000083S,Heineken 1/16C,Imports,Single,,10,0.89,1,1.87,,
,WEST FLORIDA,10298,8066095683,Corona Extra 1/32B,Imports,Single,,7,0.46,1,1.85,,
,WEST FLORIDA,10298,8769221231,Twisted Tea Mango 1/24C,FMB,Single,,9,0.61,1,1.85,,
,WEST FLORIDA,10298,7199030065,Coors Light 1/24C,Premium,Single,,9,0.79,1,1.82,,
,WEST FLORIDA,10298,7143900601,Rolling Rock 1/25C,Sub Premium,Single,,9,0.89,1,1.7,,
,WEST FLORIDA,10298,8769200084,Angry Orchard Crisp Apple 1/16C,Cider,Single,,10,0.75,1,1.52,,
,WEST FLORIDA,10298,3410000008,Miller High Life 1/32C,Sub Premium,Single,,8,0.75,1,1.37,,
,WEST FLORIDA,10298,1820025010,Michelob Ultra 1/25C,Specialty,Single,,9,0.57,1,1.29,,
,WEST FLORIDA,10298,7825000328,Steel Res. High Gravity 1/24C,Malt Liquor,Single,,9,0.64,1,1.26,,
,WEST FLORIDA,10298,3410000355,Miller Lite 1/24C,Premium,Single,,9,0.54,1,1.21,,
,WEST FLORIDA,10298,1820025002,Natural Light 1/25C,Sub Premium,Single,,9,0.61,1,1.16,,
,WEST FLORIDA,10298,7199030202S,Coors Light 1/16C x4,Premium,Single,,9,0.61,1,0.95,,
,WEST FLORIDA,10298,1820025008,Natural Ice 1/25C,Sub Premium,Single,,9,0.46,1,0.91,,
,WEST FLORIDA,10298,8992460024,Yuengling Traditional Lager 1/24C,Premium,Single,,9,0.39,1,0.9,,
,WEST FLORIDA,10298,1820025009,Bud Light Lime 1/25C,Specialty,Single,,9,0.29,1,0.88,,
,WEST FLORIDA,10298,8066095641,Corona Extra 1/24B,Imports,Single,,8,0.25,1,0.85,,
,WEST FLORIDA,10298,1820025003,Busch 1/25C,Sub Premium,Single,,9,0.43,1,0.81,,
,WEST FLORIDA,10298,3410000376,Miller Lite 1/16AL,Premium,Single,,9,0.46,1,0.79,,
,WEST FLORIDA,10298,8066095643,Corona Extra 1/24C,Imports,Single,,6,0.25,1,0.78,,
,WEST FLORIDA,10298,89521600117,Four Loko Lemonade 12 pct 1/24C,FMB,Single,,6,0.25,1,0.78,,
,WEST FLORIDA,10298,3410000158S,Miller Lite 1/16C x4,Premium,Single,,9,0.43,1,0.75,,
,WEST FLORIDA,10298,8769200290,Angry Orchard Green Apple 1/16C,Cider,Single,,10,0.32,1,0.65,,
,WEST FLORIDA,10298,8066095721,Modelo 1/24C,Imports,Single,,6,0.18,1,0.57,,
,WEST FLORIDA,10298,8066095796,Modelo Especial Chelada 1/24C,Imports,Single,,6,0.18,1,0.55,,
,WEST FLORIDA,10298,7199030103,Coors Light 1/16AL,Premium,Single,,10,0.29,1,0.44,,
,WEST FLORIDA,10298,8992460016S,Yuengling Traditional Lager 1/16C,Premium,Single,,10,0.25,1,0.41,,
,WEST FLORIDA,10298,1820096919,Mixx Tail Long Island 1/25C,FMB,Single,,18,0.11,2,0.34,,
,WEST FLORIDA,10298,1820000473,Budweiser 1/16AL,Premium,Single,,11,0.14,1,0.21,,
,WEST FLORIDA,10298,1820095999,Bud Light Lime Lemon-Ade-Rita 1/25C,FMB,Single,CORE,9,0,1,0,Delete,
,WEST FLORIDA,10298,1820025538,Bud Light Lime-A-Rita Seasonal 1/25C,FMB,Single,CORE,9,0,1,0,Delete,
,WEST FLORIDA,10298,1820025818S,Best Damn Cherry Cola 1/16C,Specialty,Single,CORE,10,0,1,0,Delete,
,WEST FLORIDA,10298,1820025802S,Best Damn Root Beer 1/16C,Specialty,Single,,10,0,1,0,Delete,
,WEST FLORIDA,10298,1820025836,Bud Light Lime Jalapeno-Rita 1/25C,FMB,Single,,9,0,1,0,Delete,
,WEST FLORIDA,10298,8200077232,Captain Morgan Spiked Root Beer 1/16C,FMB,Single,,10,0,1,0,Delete,
,WEST FLORIDA,10298,3410098924S,Henrys Hard Soda Ginger Ale 1/16C,Specialty,Single,,10,0,1,0,Delete,delete
,WEST FLORIDA,10298,3410098920S,Henrys Hard Soda Orange Ale 1/16C,Specialty,Single,,10,0,1,0,Delete,delete
,WEST FLORIDA,10298,3354495022,Pacifico Clara 1/24C,Imports,Single,,6,0,1,0,Delete,delete
,WEST FLORIDA,10298,9200000242S,Small Town Not Your Fathers RtBr 1/16C,Micro,Single,,10,0,1,0,Delete,delete
,WEST FLORIDA,10298,8200077678,Smirnoff Ice Spiked HurricanePun 8.0 pct 1/16C,FMB,Single,,10,0,1,0,Delete,delete
GREATER LA,SOUTHERN L A,18303,8066095715,Modelo 12/12C,Imports,Multi,CORE,16,5.5,24,79.7,,
,SOUTHERN L A,18303,8066095774,Modelo 3/24C,Imports,Multi,CORE,24,8.68,9,69.35,,
,SOUTHERN L A,18303,8066095757,Modelo 12/12B,Imports,Multi,,12,4.04,18,60.5,,
,SOUTHERN L A,18303,8066095615,Corona Extra 12/12B,Imports,Multi,,10,4,14,59.96,,
,SOUTHERN L A,18303,1820021986,Bud Light 3/25C,Premium,Multi,CORE,24,9.43,9,56.48,,
,SOUTHERN L A,18303,78615000001,Stella Artois 6/11B,Imports,Multi,,10,3.96,7,37.62,,
,SOUTHERN L A,18303,1820021985,Budweiser 3/25C,Premium,Multi,,16,5.36,6,32.09,,
,SOUTHERN L A,18303,88715100048,Angel City Angeleno IPA 6/12B,Micro,Multi,,6,3.32,4,29.86,,
,SOUTHERN L A,18303,8066095605,Corona Extra 6/12B,Imports,Multi,,11,3.07,8,29.14,,
,SOUTHERN L A,18303,8982630241,Tecate 3/24C,Imports,Multi,,10,4.11,4,24.6,,
,SOUTHERN L A,18303,1820053047,Bud Light 12/12C,Premium,Multi,CORE,8,2.14,12,23.55,,
,SOUTHERN L A,18303,8066095765,Modelo 6/12B,Imports,Multi,CORE,8,2.43,6,23.05,,
,SOUTHERN L A,18303,7289000016,Heineken 12/12B,Imports,Multi,,6,1.54,8,23.02,,
,SOUTHERN L A,18303,7289000011,Heineken 6/12B,Imports,Multi,,6,2.14,4,20.34,,
,SOUTHERN L A,18303,1820053218,Bud Light 18/12C,Premium,Multi,,4,1.29,9,19.28,,
,SOUTHERN L A,18303,7199009511,Blue Moon Belgian White Ale 6/12B,Specialty,Multi,,6,2.14,4,19.27,,
,SOUTHERN L A,18303,7199030120,Coors Light 3/24C,Premium,Multi,,8,3.18,3,19.04,,
,SOUTHERN L A,18303,2210000170,Pabst 12/12C,Sub Premium,Multi,,8,2.04,12,18.3,,
,SOUTHERN L A,18303,8066095755,Modelo 6/12C,Imports,Multi,CORE,6,1.82,4,16.37,,
,SOUTHERN L A,18303,8982690033,Tecate 12/12C,Imports,Multi,,3,1.21,4,15.16,,
,SOUTHERN L A,18303,8982690183,Tecate 18/12C,Imports,Multi,,3,0.96,6,14.93,,
,SOUTHERN L A,18303,8066095301,Pacifico Clara 6/12B,Imports,Multi,,6,1.57,4,14.91,,
,SOUTHERN L A,18303,3410057663,Miller Lite 3/24C,Premium,Multi,,8,2.07,3,12.41,,
,SOUTHERN L A,18303,75452700022,New Belgium Fat Tire Amber Ale 6/12B,Micro,Multi,,3,1.25,2,11.24,,
,SOUTHERN L A,18303,8378337521,Sierra Nevada Pale Ale 6/12B,Micro,Multi,,3,1.25,2,11.24,,
,SOUTHERN L A,18303,2210000157,Pabst 18/12C,Sub Premium,Multi,,4,0.71,9,9.27,,
,SOUTHERN L A,18303,1820011218,Budweiser 18/12C,Premium,Multi,,3,0.57,6,8.56,,
,SOUTHERN L A,18303,7199030017,Coors Light 18/12C,Premium,Multi,,3,0.57,6,8.56,,
,SOUTHERN L A,18303,7231123012,Dos Equis Lager 12/12B,Imports,Multi,,4,0.54,6,8.03,,
,SOUTHERN L A,18303,8066095785,Negra Modelo 6/12B,Imports,Multi,,4,0.82,3,7.79,,
,SOUTHERN L A,18303,1820053025,Bud Light 20/12B,Premium,Multi,,2,0.5,8,7.5,,
,SOUTHERN L A,18303,7199000048,Coors Light 12/12C,Premium,Multi,,4,0.68,6,7.46,,
,SOUTHERN L A,18303,1820000833,Bud Light 6/12B,Premium,Multi,CORE,4,0.82,3,6.15,,
,SOUTHERN L A,18303,1820000106,Bud Light 6/12C,Premium,Multi,CORE,6,0.82,4,6.15,,
,SOUTHERN L A,18303,7231163012,Dos Equis Lager 6/12B,Imports,Multi,,3,0.64,2,6.1,,
,SOUTHERN L A,18303,3410057636,Miller Lite 12/12C,Premium,Multi,CORE,2,0.5,3,5.5,,
,SOUTHERN L A,18303,8834510005,Newcastle Brown Ale 6/12B,Imports,Multi,,3,0.46,2,4.4,,
,SOUTHERN L A,18303,8769282102,Angry Orchard Crisp Apple 6/12B,Cider,Multi,,3,0.43,2,3.86,,
,SOUTHERN L A,18303,1820018993,Bud Light Platinum 6/12B,Specialty,Multi,,3,0.46,2,3.71,,
,SOUTHERN L A,18303,8982690118,Tecate Light 18/12C,Imports,Multi,,3,0.04,6,0.56,,
,SOUTHERN L A,18303,8066095711,Modelo 18/12C,Imports,Multi,CORE,3,0,6,0,,
,SOUTHERN L A,18303,1820020002,Best Damn Root Beer 6/12B,Specialty,Multi,,3,0,2,0,,
,SOUTHERN L A,18303,7231141213,Dos Equis Lager 12/12C,Imports,Multi,,3,0,4,0,,
,SOUTHERN L A,18303,3410098922,Henrys Hard Soda Ginger Ale 6/12B,Specialty,Multi,,3,0,2,0,,
,SOUTHERN L A,18303,8982690202,Tecate Light 3/24C,Imports,Multi,,8,0,3,0,,
,SOUTHERN L A,18303,8066095721,Modelo 1/24C,Imports,Single,,32,26.5,4,74.73,,
,SOUTHERN L A,18303,1820025001,Bud Light 1/25C,Premium,Single,CORE,40,17.64,5,37.23,,
,SOUTHERN L A,18303,8066095796,Modelo Especial Chelada 1/24C,Imports,Single,,16,11.32,2,31.59,,
,SOUTHERN L A,18303,8066095641,Corona Extra 1/24B,Imports,Single,,7,10.39,1,31.08,,
,SOUTHERN L A,18303,1820025000,Budweiser 1/25C,Premium,Single,,32,14.36,4,30.01,,
,SOUTHERN L A,18303,3410000031,Miller High Life 1/32B,Sub Premium,Single,,18,10.96,3,23.9,,
,SOUTHERN L A,18303,8066095683,Corona Extra 1/32B,Imports,Single,,12,5.96,2,23.8,,
,SOUTHERN L A,18303,2210000004,Pabst 1/24C,Sub Premium,Single,,16,9.75,2,17.55,,
,SOUTHERN L A,18303,78615000057,Stella Artois 1/22B,Imports,Single,,8,5.86,1,17.51,,
,SOUTHERN L A,18303,7289000478,Heineken 1/22B,Imports,Single,,8,5.21,1,15.59,,
,SOUTHERN L A,18303,3410000185,Mickeys Malt 1/40B,Malt Liquor,Single,,6,4.79,1,15.27,,
,SOUTHERN L A,18303,1820025543,Bud Light Platinum 1/25C,Specialty,Single,,8,5.36,1,15,,
,SOUTHERN L A,18303,8982600142,Tecate 1/24C,Imports,Single,,8,6.89,1,14.61,,
,SOUTHERN L A,18303,1820025508,Chelada Bud Light 1/25C,Specialty,Single,,8,5,1,14.1,,
,SOUTHERN L A,18303,1820000126,Budweiser 1/40B,Premium,Single,,6,3.86,1,13.46,,
,SOUTHERN L A,18303,3354495022,Pacifico Clara 1/24C,Imports,Single,,8,4.29,1,12.04,,
,SOUTHERN L A,18303,3410000217,Mickeys Malt 1/24C,Malt Liquor,Single,,8,6.36,1,11.7,,
,SOUTHERN L A,18303,3410000612,Olde Eng 800 1/24C,Malt Liquor,Single,,16,5.96,2,11.39,,
,SOUTHERN L A,18303,63598501037,Mikes HARDER Cranberry Lemonade 1/16C,FMB,Single,,9,6.36,1,11.25,,
,SOUTHERN L A,18303,8797502650,Sapporo Draft 1/22C,Imports,Single,,16,3.89,2,11.1,,
,SOUTHERN L A,18303,89521600104,Four Loko Fruit Punch 12 pct 1/24C,FMB,Single,,8,3.79,1,10.9,,
,SOUTHERN L A,18303,7199030065,Coors Light 1/24C,Premium,Single,,16,4.68,2,9.83,,
,SOUTHERN L A,18303,63598513219,Mikes HARDER Strawberry Lemonade 1/16C,FMB,Single,,9,5.21,1,9.49,,
,SOUTHERN L A,18303,3410000355,Miller Lite 1/24C,Premium,Single,,8,4.11,1,8.67,,
,SOUTHERN L A,18303,75452700020,New Belgium Fat Tire Amber Ale 1/22B,Micro,Single,,8,2.61,1,8.58,,
,SOUTHERN L A,18303,8066095777,Modelo 1/24B,Imports,Single,,7,2.82,1,8.43,,
,SOUTHERN L A,18303,7231132124,Dos Equis Lager 1/24C,Imports,Single,,8,2.68,1,7.66,,
,SOUTHERN L A,18303,1820000245,Bud Ice 1/32B,Sub Premium,Single,,7,3.64,1,7.5,,
,SOUTHERN L A,18303,1820025510,Chelada Budweiser Picante 1/25C,Specialty,Single,,8,2.57,1,7.28,,
,SOUTHERN L A,18303,1820000160,Bud Light 1/40B,Premium,Single,,6,2,1,6.98,,
,SOUTHERN L A,18303,7089701331,Fosters Lager 1/25C,Imports,Single,,14,2.96,2,6.88,,
,SOUTHERN L A,18303,1820025509,Chelada Budweiser 1/25C,Specialty,Single,,8,2.21,1,6.29,,
,SOUTHERN L A,18303,63598501012,Mikes HARDER Blk Cherry Lemonade 1/16C,FMB,Single,,9,3.14,1,5.94,Delete,
,SOUTHERN L A,18303,63598525875,Mikes HARDER Lemonade 1/16C,FMB,Single,,9,3.07,1,5.59,Delete,
,SOUTHERN L A,18303,8200072569,Smirnoff Ice 1/24B,FMB,Single,,7,1.64,1,5.41,Delete,
,SOUTHERN L A,18303,1820095999,Bud Light Lime Lemon-Ade-Rita 1/25C,FMB,Single,CORE,8,0,1,0,Delete,
,SOUTHERN L A,18303,1820025836,Bud Light Lime Jalapeno-Rita 1/25C,FMB,Single,,8,0,1,0,Delete,
,SOUTHERN L A,18303,89521600107,Four Loko Watermelon 12 pct 1/24C,FMB,Single,,8,0,1,0,Delete,
,SOUTHERN L A,18303,1820096912,Montejo 1/24C,Imports,Single,,8,0,1,0,Delete,
,SOUTHERN L A,18303,8982690124,Tecate Light 1/24C,Imports,Single,,8,0,1,0,Delete,
APPALACHIAN,SOUTHWEST DETROIT,34347,1820000018,Budweiser 6/16C,Premium,Multi,,18,1.79,12,8.91,,
,SOUTHWEST DETROIT,34347,1820011315,Budweiser 15/12C,Premium,Multi,,9,0.75,15,8.24,,
,SOUTHWEST DETROIT,34347,3410000357,Miller Lite 6/16C,Premium,Multi,,12,1.57,8,7.84,,
,SOUTHWEST DETROIT,34347,1820000115,Bud Light 6/16C,Premium,Multi,,18,1.46,12,7.31,,
,SOUTHWEST DETROIT,34347,74052210083,Bell's Two Hearted Ale 6/12B,Micro,Multi,,3,0.64,2,6.42,,
,SOUTHWEST DETROIT,34347,7289000011,Heineken 6/12B,Imports,Multi,,3,0.71,2,6.06,,
,SOUTHWEST DETROIT,34347,85972800400,Griffin Claw Norms Raggedy Ass 4/16C,Micro,Multi,,10,0.82,4,5.71,,
,SOUTHWEST DETROIT,34347,7199032000,Coors Light 6/16C,Premium,Multi,,3,1,2,4.99,,
,SOUTHWEST DETROIT,34347,1820053182,Bud Light 18/16C,Premium,Multi,,9,0.32,18,4.49,,
,SOUTHWEST DETROIT,34347,7199010002,Coors 6/16C,Premium,Multi,,3,0.86,2,4.28,,
,SOUTHWEST DETROIT,34347,3410057023,Miller Lite 9/16AL,Premium,Multi,,3,0.39,3,4.12,,
,SOUTHWEST DETROIT,34347,7199030104,Coors Light 9/16AL,Premium,Multi,,3,0.36,3,3.74,,
,SOUTHWEST DETROIT,34347,1820053315,Bud Light 15/12C,Premium,Multi,,6,0.32,10,3.53,,
,SOUTHWEST DETROIT,34347,1820000833,Bud Light 6/12B,Premium,Multi,CORE,6,0.5,4,3.5,,
,SOUTHWEST DETROIT,34347,1820053025,Bud Light 20/12B,Premium,Multi,,8,0.25,16,3.5,,
,SOUTHWEST DETROIT,34347,6206705172,Labatt Blue 6/12B,Imports,Multi,,3,0.43,2,3,,
,SOUTHWEST DETROIT,34347,1820011182,Budweiser 18/16C,Premium,Multi,,3,0.18,6,2.5,,
,SOUTHWEST DETROIT,34347,6206704941,Labatt Blue Light 24/12C,Imports,Multi,,2,0.14,6,2.43,,
,SOUTHWEST DETROIT,34347,6206705155,Labatt Blue 12/12B,Imports,Multi,,4,0.18,6,2.15,,
,SOUTHWEST DETROIT,34347,1820000243,Bud Ice 6/16C,Sub Premium,Multi,,3,0.43,2,2.14,,
,SOUTHWEST DETROIT,34347,7199009511,Blue Moon Belgian White Ale 6/12B,Specialty,Multi,,5,0.21,3,2.03,,
,SOUTHWEST DETROIT,34347,7199030107,Coors Light 15/12C,Premium,Multi,,4,0.18,6,1.97,,
,SOUTHWEST DETROIT,34347,1820053168,Bud Light 24/12C,Premium,Multi,,6,0.11,18,1.82,,
,SOUTHWEST DETROIT,34347,1820011168,Budweiser 24/12C,Premium,Multi,,8,0.11,24,1.82,,
,SOUTHWEST DETROIT,34347,8066095605,Corona Extra 6/12B,Imports,Multi,,3,0.21,2,1.82,,
,SOUTHWEST DETROIT,34347,8066095615,Corona Extra 12/12B,Imports,Multi,,4,0.11,6,1.6,,
,SOUTHWEST DETROIT,34347,3410057344,Miller Lite 15/12C,Premium,Multi,,4,0.14,6,1.57,,
,SOUTHWEST DETROIT,34347,9200002000,Small Town Not Your Fathers RtBr 6/12B,Micro,Multi,,3,0.14,2,1.57,,
,SOUTHWEST DETROIT,34347,64286020005,Founders Centennial IPA 6/12B,Micro,Multi,,3,0.14,2,1.43,,
,SOUTHWEST DETROIT,34347,1820020012,Best Damn Cherry Cola 6/12B,Specialty,Multi,,3,0.14,2,1.29,,
,SOUTHWEST DETROIT,34347,63598510062,Mikes Hard Lemonade 6/11B,FMB,Multi,,3,0.14,2,1.29,,
,SOUTHWEST DETROIT,34347,75452700022,New Belgium Fat Tire Amber Ale 6/12B,Micro,Multi,,5,0.14,3,1.29,,
,SOUTHWEST DETROIT,34347,8769210012,Samuel Adams Boston Lgr 6/12B,Micro,Multi,,3,0.14,2,1.29,,
,SOUTHWEST DETROIT,34347,6821300101,Molson Canadian 6/16C,Imports,Multi,,6,0.25,4,1.25,,
,SOUTHWEST DETROIT,34347,3410057306,Miller Lite 24/12C,Premium,Multi,,2,0.07,6,1.21,,
,SOUTHWEST DETROIT,34347,85972800401,Griffin Claw El Rojo Red Ale 4/16C,Micro,Multi,,5,0.14,2,1.14,,
,SOUTHWEST DETROIT,34347,64286020024,Founders All Day IPA 6/12B,Micro,Multi,,3,0.11,2,1.07,,
,SOUTHWEST DETROIT,34347,1820018992,Bud Light Platinum 12/12B,Specialty,Multi,,4,0.07,6,1.06,,
,SOUTHWEST DETROIT,34347,7199030005,Coors Light 6/12B,Premium,Multi,,3,0.14,2,1,,
,SOUTHWEST DETROIT,34347,8769282102,Angry Orchard Crisp Apple 6/12B,Cider,Multi,,3,0.11,2,0.96,,
,SOUTHWEST DETROIT,34347,8769230050,Samuel Adams Seasonal 6/12B,Micro,Multi,,3,0.11,2,0.96,,
,SOUTHWEST DETROIT,34347,1820027218,Natural Ice 18/12C,Sub Premium,Multi,,2,0.07,6,0.71,,
