"Category","Date","Description","Unit of Measure","QTY ON HAND","Reorder Level","Status"
"","12/11/2012","RAPID TOP CUTTING FLUID","473ML","1","",""
"","12/11/2012","DIELECTRIC TUNE UP GREASE","","1","",""
"","12/11/2012","BEARING GREASE","","1","",""
"","12/11/2012","1200-2 LITHIUM GREASE","","1","",""
"","12/11/2012","GREEN CUTTING FLUID","20L","1","",""
"","12/11/2012","HYDRAULIC FLUID","20L","0","",""
"","12/11/2012","PRO-LINE TRANSMISSION FLUID","946ML","2","",""
"","12/11/2012","15W-40 ENGINE OIL","1 GAL","2","",""
"","12/11/2012","WD-40","3.7L","1","",""
"","12/11/2012","SILVER GRADE ANTI-SEIZE","","12","",""
"","12/11/2012","PRO-LINE TRANSMISSION FLUID","1 GAL ","1","",""
"MISC","12/11/2012","BAGS OF RAGS","","3","",""
"","12/11/2012","LARGE WET/DRY VACUUM FILTER","","1","",""
"","12/11/2012","SMALL WET/DRY VACUUM FILTER","","1","",""
"","12/11/2012","2"" PAINT BRUSH","","13","",""
"","12/11/2012","4"" PAINT BRUSH","","3","",""
"","12/11/2012","GARBAGE BAGS","125","1","",""
"","12/11/2012","BIO-SOLVE","20L","1","",""
"","12/11/2012","ARMOURALL","1 GAL","0","",""
"","12/11/2012","SPRAY NINE","1 GAL ","3","",""
"","12/11/2012","THREAD SEAL TAPE","","2","",""
"","12/11/2012","LEAK DETECTOR","","1","",""
"","12/11/2012","TEFLON TAPE","","1","",""
"","12/11/2012","PRO-STAR COOLING FLUID","1 GAL ","0","",""
"","12/11/2012","MICRO BLOCK","","12","",""
"","12/11/2012","GREASE NIPPLES - STRAIGHT","","10","",""
"","12/11/2012","GREASE NIPPLES - ANGLE","","18","",""
"","12/11/2012","SOAP STONE BOX","","1","",""
"","12/11/2012","WINTER'S PRESSURE GAUGE","","3","",""
"","12/11/2012","JET BLUE ICE FIGHTER","20KG","1","",""
"","12/11/2012","SMALL PLASTIC TRIM","25FT","1","",""
"","12/11/2012","1/4"" DRAIN COCK","","0","",""
"","12/11/2012","3/8"" DRAIN COCK","","0","",""
"","12/11/2012","INNER TUBE FOR 4"" RIM","","0","",""
"","12/11/2012","WINDEX","5L ","4","",""
"","12/11/2012","WINSHIELD WASHER FLUID SUMMER","3.78L","2","",""
"","12/11/2012","WINDSHIELD WASHER FLUID WINTER","3.78L","4","",""
"SAFTEY","12/11/2012","EAR PLUGS","BOX OF 200","1","",""
"","12/11/2012","EYEGLASS WIPES","","1","",""
"","12/11/2012","PINK RESPIRATOR FILTERS","","20","",""
"","12/11/2012","CAUTION TAPE","","0","",""
"","12/11/2012","RESPIRATOR CLEANING WIPES","100/PKG","1","",""
"TOOLS","12/11/2012","BAND SAW BLADES","","5","",""
"","12/11/2012","SANDING BELTS","","4","",""
"","12/11/2012","WIRE PULLING LUBRICANT","","6","",""
"","12/11/2012","PROPANE TANK","","10","",""
"","12/11/2012","1"" NPT TAP","","1","",""
"","12/11/2012","1 1/2"" NPT TAP","","2","",""
"","12/11/2012","TORQUE WRENCH","","1","",""
"","12/11/2012","CAULKING GUN","","0","",""
"","12/11/2012","15/32"" DRILL BIT","","1","",""
"","12/11/2012","3/4"" DRILL BIT","","4","",""
"","12/11/2012","1"" DRILL BIT","","0","",""
"","12/11/2012","1 1/16"" DRILL BIT","","0","",""
"","12/11/2012","1 1/8"" DRILL BIT","","3","",""
"","12/11/2012","1 1/4"" DRILL BIT","","2","",""
"","12/11/2012","5"" ZIP BLADES","25/PKG","0","",""
"","12/11/2012","1/2-13 TAPER TAP","","15","",""
"","12/11/2012","1/2-13 BOTTOM TAP","","4","",""
"","12/11/2012","3/8-16 TAPER TAP","","5","",""
"","12/11/2012","5/16-18 TAPER TAP","","30","",""
"","12/11/2012","1/4-28 TAPER TAP","","1","",""
"","12/11/2012","1/4 NPT TAP","","5","",""
"","12/11/2012","1/2 NPT TAP","","3","",""
"","12/11/2012","3/4 NPT TAP","","2","",""
"","12/11/2012","17/64 DRILL BITS","","12","",""
"","12/11/2012","21/64 DRILL BITS","","6","",""
"","12/11/2012","25/64 DRILL BITS","","1","",""
"","12/11/2012","27/64 DRILL BITS","","3","",""
"","12/11/2012","7/16 DRILL BITS","","2","",""
"","12/11/2012","29/64 DRILL BITS","","4","",""
"","12/11/2012","5/8 DRILL BITS","","1","",""
"","12/11/2012","15/32 DRILL BITS","","5","",""
"","12/11/2012","31/64 DRILL BITS","","0","",""
"","12/11/2012","1/2 DRILL BIT","","2","",""
"","12/11/2012","19/32 DRILL BIT","","0","",""
"","12/11/2012","9/16 DRILL BIT","","0","",""
"","12/11/2012","11/16 DRILL BIT","","0","",""
"","12/11/2012","T5400 PROPANE TORCH","","1","",""
"","12/11/2012","FLARING TOOL","","1","",""
"","12/11/2012","3"" STRAPS","","2","",""
"","12/11/2012","10-32 BOTTOM TAP","","3","",""
"","12/11/2012","10-32 TAPER TAP","","12","",""
"","12/11/2012","LARGE CUP BRUSH","","2","",""
"","12/11/2012","1"" WIRE BRUSH","","0","",""
"","12/11/2012","2 3/4 CUP BRUSH","","0","",""
"","12/11/2012","7/16 14 SPIRAL TAP","","4","",""
"","12/11/2012","8-32 SPIRAL TAP","","19","",""
"","12/11/2012","6-32 SPIRAL TAP","","13","",""
"WELDING","12/11/2012","SMALL HAND SCRATCH BRUSH","","0","",""
"","12/11/2012","WELD CLEAN ANTI-SPLATTER CAN","","3","",""
"","12/11/2012","WELD CLEAN ANTI-SPLATTER BOTTLE","","7","",""
