"D E S C R I P T I O N","QTY.","FREE","RATE","AMOUNT"
"NORMAXIN TAB       10TAB","20","  -","13.82","276.45"
"TOPISAL LOTION 6%  30ML","2","  -","61.08","122.16"
"                     TOTAL :","36","0","","886.01"
"","","","",""
"BITTU MEDICAL STORE MOGA MOGA.-MOGA.","","","",""
"AMCARD 5MG         7TAB","6","  -","9.04","54.24"
"CYRA-D  CAP        10CAP","5","  -","28.54","142.69"
"ISRYL-M 2          10TAB","5","  -","25.72","128.62"
"                     TOTAL :","16","0","","325.55"
"","","","",""
"C L AGGARWAL MED HALL MOGA MOGA.-MOGA.","","","",""
"AF-KIT             1KIT","21","  -","61.71","1295.95"
"AMACE TAB          10TAB","20","  -","41.15","823.08"
"NAC SR 150MG TABLET10TAB","78","  -","31.84","2483.83"
"NAC SR 75MG        10TAB","45","  -","23.31","1049.09"
"NORMAXIN MB TABLET 10TAB","70","  -","54.19","3793.16"
"SYSRON-N TAB       10TAB","30","  -","29.84","895.18"
"                     TOTAL :","264","0","","10340.29"
"","","","",""
"CHAUDHARY MED HALL MOGA MOGA.-MOGA.","","","",""
"ORVAS-FT TABLET    10TAB","5","  -","48.16","240.80"
"SYSTAFLAM GEL      25GM","3","  -","45.86","137.58"
"TOPISAL 6% OINT.   30GM","3","  -","69.14","207.42"
"                     TOTAL :","11","0","","585.80"
"","","","",""
"DADHWAL MEDICOS LUDHI-LUDHIANA.","","","",""
"ACNESOL GEL        20GM","20","  -","48.38","967.66"
"AFK LOTION         100ML","30","  -","115.70","3470.98"
"BESTOPIC-N 15GM CRE15GM","50","  -","32.70","1634.84"
"L-SYS 10GM         10GM","30","  -","62.98","1889.50"
"NAC-NANO GEL  25GM 25GM","50","  -","36.11","1805.50"
"SYSTAFLAM GEL      25GM","50","  -","43.50","2174.88"
"SYSTAFLAM GEL 50GM 50GM","20","  -","66.42","1328.30"
"TERBEST CREAM 15GM 15GM","60","  -","38.52","2311.22"
"TOPINATE 30GM      5GM","100","  -","43.50","4349.76"
"TOPINATE GEL 30GM  30GM","50","  -","53.37","2668.46"
"TOPISAL 3% OINT.   30GM","50","  -","58.18","2909.04"
"TOPISAL 6% OINT.   30GM","100","  -","65.58","6557.76"
"TOPISAL LOTION 3%  30ML","50","  -","53.03","2651.44"
"TOPISAL LOTION 6%  30ML","50","  -","57.93","2896.62"
"                     TOTAL :","710","0","","37615.96"
"","","","",""
"DASHMESH MEDICAL HALL JAGR JAGRAO-JAGRAON.","","","",""
"GIFTAN-HC          10TAB","10","  -","25.37","253.74"
"H-VIT FORTE TABLET 10TAB","5","  -","66.88","334.40"
"H-VIT TAB          10TAB","5","  -","32.23","161.17"
"ISRYL M-2 FORTE TAB10TAB","10","  -","39.43","394.34"
"ISRYL-M 1          10TAB","20","  -","16.79","335.73"
"ITRASYS - 100 CAP  4CAP","14","  -","32.99","461.91"
"LEVOSIZ 5MG TAB    10TAB","20","  -","10.10","201.97"
"LEVOSIZ M TABLET   10TAB","10","  -","38.07","380.66"
"ME- PXL TAB        10TAB","5","  -","58.47","292.36"
"ME-12 INJ.         1ML","12","  -","15.65","187.76"
"ME-12 OD TAB       10TAB","10","  -","50.56","505.59"
"NORMAXIN RT        10CAP","10","  -","34.63","346.27"
"NORMAXIN TAB       10TAB","20","  -","13.54","270.75"
"PIO PLUS-1         10TAB","10","  -","40.62","406.22"
"PIO PLUS-2         10TAB","25","  -","53.90","1347.57"
"PIOSYS 30TAB       30TAB","5","  -","53.30","266.52"
"S-AMCARD 5MG TAB   10TAB","10","  -","16.45","164.54"
"TERBEST TAB        7TAB","6","  -","57.51","345.08"
"TOPINATE 30GM      5GM","3","  -","44.92","134.75"
"                     TOTAL :","210","0","","6791.33"
"","","","",""
"DEEPAK MED HALL MOGA MOGA.-MOGA.","","","",""
"AMCARD AT TAB      10TAB","20","  -","20.30","406.04"
"ITRASYS - 100 CAP  4CAP","14","  -","33.69","471.63"
"                     TOTAL :","34","0","","877.67"
"","","","",""
"DHINGRA MEDICAL HALL DHAR DHAR-DHARAM KOT","","","",""
"AMCARD AT TAB      10TAB","5","  -","20.30","101.51"
"                     TOTAL :","5","0","","101.51"
"","","","",""
"DHIR MED HALL MOGA MOGA.-MOGA.","","","",""
"AF-150             1TAB","50","  -","6.79","339.62"
"GIFTAN-50          10TAB","5","  -","20.23","101.17"
"ORVAS 10MG         10TAB","20","  -","12.67","253.46"
"TERBEST TAB        7TAB","4","  -","57.51","230.05"
"TOPINATE 30GM      5GM","3","  -","44.92","134.75"
"                     TOTAL :","82","0","","1059.05"
"","","","",""
"DR. ANJU GARG MEDICAL STORE MOMOGA.-MOGA.","","","",""
"NORMAXIN TAB       10TAB","100","  -","13.54","1353.75"
"                     TOTAL :","100","0","","1353.75"
"","","","",""
"DR. LAL CHAND MED HALL MOGA MOGA.-MOGA.","","","",""
"AMCARD 5MG         7TAB","6","  -","9.13","54.80"
"ORVAS 20MG         10TAB","2","  -","36.75","73.50"
"                     TOTAL :","8","0","","128.30"
"","","","",""
"DR. PRABHA MITTAL MOGA.-MOGA.","","","",""
"CYRA TAB           10TAB","1000","  -","14.53","14530.60"
"                     TOTAL :","1000","0","","14530.60"
"","","","",""
"DR. SATYA PAL MITTAL HOSP. MOGMOGA.-MOGA.","","","",""
"NORMAXIN TAB       10TAB","100","  -","13.82","1382.25"
"                     TOTAL :","100","0","","1382.25"
"","","","",""
"EAK JOT MEDICOS MOGA MOGA.-MOGA.","","","",""
"NAC PLUS           10TAB","10","  -","17.23","172.27"
"PIOSYS-15TAB       30TAB","3","  -","29.83","89.48"
"                     TOTAL :","13","0","","261.75"
"","","","",""
"G.M.MED.STORE BAGA BA-BAGHA PURANA","","","",""
"AMCARD AT TAB      10TAB","10","  -","19.78","197.76"
"CYMET ER-50        10TAB","2","  -","21.65","43.30"
"LEVOSIZ 5MG TAB    10TAB","5","  -","10.20","51.02"
"NORMAXIN TAB       10TAB","20","  -","13.68","273.60"
"ORVAS 20MG         10TAB","10","  -","35.66","356.64"
"TOPISAL - 3% LOTION50ML","2","  -","79.68","159.36"
"TOPISAL 3% OINT.   30GM","2","  -","60.29","120.58"
"                     TOTAL :","51","0","","1202.26"
"","","","",""
"GAGAN MEDICAL HALL KOT KO-KOT ISE KHAN","","","",""
"ORVAS 20MG         10TAB","3","  -","36.00","108.00"
"                     TOTAL :","3","0","","108.00"
"","","","",""
"GALAXY MEDICOSE MOGA MOGA.-MOGA.","","","",""
"PIO-M-15           10TAB","3","  -","39.20","117.59"
"                     TOTAL :","3","0","","117.59"
"","","","",""
"GROVER MED STORE MOGA MOGA.-MOGA.","","","",""
"AMCARD 2.5 MG *    10TAB","10","  -","6.31","63.05"
"CYRA-D  CAP        10CAP","20","  -","28.54","570.74"
"H-VIT TAB          10TAB","5","  -","32.91","164.56"
"ISRYL-M 2          10TAB","10","  -","25.72","257.24"
"NORMAXIN TAB       10TAB","20","  -","13.82","276.45"
"SYSTAFLAM GEL      25GM","3","  -","45.86","137.58"
"TERBEST TAB        7TAB","4","  -","58.73","234.90"
"                     TOTAL :","72","0","","1704.52"
"","","","",""
"GROVER MEDICAL AGENCY ZIRA-ZIRA","","","",""
"CYRA TAB           10TAB","10","  -","14.38","143.81"
"NORMAXIN TAB       10TAB","80","  -","13.68","1094.40"
"PIOSYS-15TAB       30TAB","5","  -","29.52","147.60"
"                     TOTAL :","95","0","","1385.81"
"","","","",""
"GURU NANAK MEDICAL STORE KISH KIS-KISHAN PURA","","","",""
"AMCARD AT TAB      10TAB","5","  -","20.93","104.65"
"                     TOTAL :","5","0","","104.65"
"","","","",""
"GURU NANAK MEDICAL STORE MEHNA-MEHNA","","","",""
"AF-150             1TAB","50","  -","7.01","350.35"
"AF-200 TABLET      1TAB","20","  -","8.85","176.99"
"AF-400             1TAB","10","  -","16.59","165.91"
"DAILYSHINE 60K TABL4TAB","1","  -","56.50","56.50"
"NORMAXIN TAB       10TAB","20","  -","13.97","279.30"
"                     TOTAL :","101","0","","1029.05"
"","","","",""
"HARWARD MEDICAL CENTRE MOGA MOGA.-MOGA.","","","",""
"PIOSYS 30TAB       30TAB","5","  -","54.43","272.13"
"PIOSYS-15TAB       30TAB","5","  -","29.83","149.14"
"                     TOTAL :","10","0","","421.27"
"","","","",""
"INDER MEDICINE CORNER MAKH MAKHU-MAKHU","","","",""
"AMCARD AT TAB      10TAB","5","  -","20.30","101.51"
"                     TOTAL :","5","0","","101.51"
"","","","",""
"JAI KRISHAN MEDICAL STORE BA-BADHNI KALAN","","","",""
"AMCARD AT TAB      10TAB","20","  -","20.30","406.04"
"SYSRON-N TAB       10TAB","3","  -","30.98","92.95"
"                     TOTAL :","23","0","","498.99"
"","","","",""
"JAIN MED STORE NIHA-NIHAL SINGH WAL","","","",""
"AMCARD AT TAB      10TAB","10","  -","20.30","203.02"
"NORMAXIN TAB       10TAB","20","  -","13.82","276.45"
"                     TOTAL :","30","0","","479.47"
"","","","",""
"JATINDRA MEDICAL HALL NIHA-NIHAL SINGH WAL","","","",""
"ME-12 OD TAB       10TAB","10","  -","51.62","516.23"
"TOPISAL 3% OINT.   30GM","3","  -","61.34","184.03"
"                     TOTAL :","13","0","","700.26"
"","","","",""
"JINDAL MED HALL MOGA MOGA.-MOGA.","","","",""
"ACNESOL GEL        20GM","3","  -","50.49","151.46"
"AF-200 TABLET      1TAB","20","  -","8.67","173.38"
"AMACE TAB          10TAB","10","  -","41.91","419.14"
"AMCARD 2.5 MG *    10TAB","10","  -","6.31","63.05"
"AMCARD 5MG         7TAB","20","  -","8.95","178.94"
"AMCARD AT TAB      10TAB","40","  -","20.09","803.72"
"CYRA - LS TABLET   10TAB","5","  -","68.40","342.00"
"CYRA TAB           10TAB","10","  -","14.38","143.81"
"CYRA-D  CAP        10CAP","40","  -","28.24","1129.72"
"DAILYCAL-500MG     15TAB","6","  -","27.36","164.16"
"GIFTAN 25MG TAB    10TAB","5","  -","10.64","53.18"
"H-VIT FORTE TABLET 10TAB","5","  -","67.58","337.92"
"H-VIT TAB          10TAB","5","  -","32.57","162.86"
"ISRYL-M 1          10TAB","10","  -","16.96","169.63"
"ISRYL-M 2          10TAB","5","  -","25.46","127.30"
"ITRASYS - 200 CAP  1STRIP","14","  -","31.55","441.64"
"L-SYS 10GM         10GM","3","  -","66.00","198.00"
"LEVOSIZ M TABLET   10TAB","5","  -","38.47","192.34"
"ME-12 INJ.         1ML","6","  -","15.81","94.87"
"NAC SR 100         10TAB","10","  -","27.97","279.65"
"NEWTEL AM TABLET   10TAB","10","  -","31.61","316.13"
"NEWTEL-40          14TAB","10","  -","24.75","247.54"
"NEWTEL-H-40        14TAB","10","  -","28.14","281.38"
"NORMAXIN RT        10CAP","5","  -","34.99","174.96"
"NORMAXIN TAB       10TAB","20","  -","13.68","273.60"
"ORVAS 10MG         10TAB","40","  -","12.81","512.26"
"ORVAS 20MG         10TAB","30","  -","36.00","1080.00"
"ORVAS EZ TABLET    10TAB","5","  -","52.20","261.02"
"PIO PLUS-1         10TAB","5","  -","41.05","205.25"
"PIO-M-30 TAB       10TAB","6","  -","55.60","333.62"
"SYSRON-N TAB       10TAB","10","  -","30.66","306.62"
"TOPINATE 30GM      5GM","2","  -","45.39","90.78"
"                     TOTAL :","385","0","","9709.93"
"","","","",""
"KAMAL MEDICAL HALL AJIT AJITWAL-AJITWAL","","","",""
"CYRA-D  CAP        10CAP","10","  -","28.83","288.32"
"ME-12 INJ.         1ML","6","  -","16.14","96.84"
"                     TOTAL :","16","0","","385.16"
"","","","",""
"KATARIA MED STORE MOGA MOGA.-MOGA.","","","",""
"NORMAXIN RT        10CAP","5","  -","35.36","176.78"
"                     TOTAL :","5","0","","176.78"
"","","","",""
"KHURANA MED STORE MAKH MAKHU-MAKHU","","","",""
"ACNESOL GEL        20GM","3","  -","51.01","153.04"
"TOPISAL - 3% LOTION50ML","2","  -","80.51","161.02"
"TOPISAL LOTION 6%  30ML","2","  -","61.08","122.16"
"                     TOTAL :","7","0","","436.22"
"","","","",""
"MITTAL MED STORE MOGA MOGA.-MOGA.","","","",""
"AMCARD 5MG         7TAB","4","  -","9.04","36.16"
"CYRA-D  CAP        10CAP","2","  -","28.54","57.07"
"ETOSYS TAB         10TAB","3","  -","104.49","313.47"
"ME-12 OD TAB       10TAB","1","  -","51.62","51.62"
"ORVAS 20MG         10TAB","5","  -","36.37","181.87"
"TOPISAL 6% OINT.   30GM","1","  -","69.14","69.14"
"                     TOTAL :","16","0","","709.33"
"","","","",""
"MITTAL MEDICAL HALL MOGA MOGA.-MOGA.","","","",""
"AF-400             1TAB","120","  -","16.35","1962.50"
"AF-KIT             1KIT","3","  -","63.01","189.03"
"AMCARD AT TAB      10TAB","20","  -","20.30","406.04"
"CYRA - LS TABLET   10TAB","2","  -","69.11","138.22"
"CYRA-D  CAP        10CAP","10","  -","28.54","285.37"
"ISRYL-1            10TAB","5","  -","10.16","50.78"
"ITRASYS - 100 CAP  4CAP","7","  -","33.69","235.82"
"ME-12 OD TAB       10TAB","15","  -","51.62","774.35"
"NAC SR 75MG        10TAB","5","  -","24.15","120.76"
"NEWTEL AM TABLET   10TAB","3","  -","31.94","95.83"
"NEWTEL-40          14TAB","8","  -","24.75","198.03"
"NEWTEL-H-40        14TAB","6","  -","28.43","170.58"
"NORMAXIN RT        10CAP","3","  -","35.36","106.07"
"ORVAS 20MG         10TAB","10","  -","36.38","363.75"
"PIO-M-15           10TAB","4","  -","39.20","156.79"
"PIO-M-30 TAB       10TAB","3","  -","56.18","168.55"
"SYSFOL- ACTIV      10TAB","3","  -","59.53","178.59"
"TOPINATE 30GM      5GM","5","  -","45.86","229.30"
"TOPISAL 6% OINT.   30GM","6","  -","69.14","414.84"
"                     TOTAL :","238","0","","6245.20"
"","","","",""
"N. K. MEDICOSE MOGA.-MOGA.","","","",""
"AF-400             1TAB","30","  -","16.35","490.63"
"ANALIV -500MG      10TAB","100","20","94.36","9436.16"
"ANALIV TAB 250MG   10TAB","10","  -","51.10","511.00"
"ISRYL M-2 FORTE TAB10TAB","100","20","40.26","4026.47"
"ISRYL-M 1          10TAB","25","5","17.14","428.50"
"                     TOTAL :","265","45","","14892.76"
"","","","",""
"NARESH DRUG HOUSE ZIRA-ZIRA","","","",""
"CYRA-D  CAP        10CAP","2","  -","28.54","57.07"
"NORMAXIN RT        10CAP","2","  -","35.36","70.71"
"                     TOTAL :","4","0","","127.78"
"","","","",""
"NATIONAL MED STORE MOGA MOGA.-MOGA.","","","",""
"FLUTOPIC 10GM      10GM","1","  -","39.26","39.26"
"                     TOTAL :","1","0","","39.26"
"","","","",""
"NEW MEDICOSE KOT KO-KOT ISE KHAN","","","",""
"CYRA-D  CAP        10CAP","10","  -","28.54","285.37"
"                     TOTAL :","10","0","","285.37"
"","","","",""
"NEW SIDHU MEDICAL STORE DODH DODHAR-DODHAR","","","",""
"AMCARD AT TAB      10TAB","20","  -","20.30","406.04"
"KINETO-DP          10TAB","5","  -","53.65","268.25"
"                     TOTAL :","25","0","","674.29"
"","","","",""
"OM PARKASH GARG MEDICOS BAGA BA-BAGHA PURANA","","","",""
"CYRA-D  CAP        10CAP","10","  -","26.94","269.35"
"ISRYL-M 1          10TAB","2","  -","15.90","31.79"
"ISRYL-M 2          10TAB","5","  -","24.24","121.18"
"ORVAS 20MG         10TAB","5","  -","34.43","172.16"
"                     TOTAL :","22","0","","594.48"
"","","","",""
"PARAS MEDICAL HALL MOGA MOGA.-MOGA.","","","",""
"AMCARD AT TAB      10TAB","5","  -","20.30","101.51"
"                     TOTAL :","5","0","","101.51"
"","","","",""
"PASRICHA HOSPITAL T-TALWANDI BHAI","","","",""
"CYRA TAB           10TAB","2","  -","14.98","29.96"
"                     TOTAL :","2","0","","29.96"
"","","","",""
"PREET MEDICOSE MOGA MOGA.-MOGA.","","","",""
"NORMAXIN TAB       10TAB","20","  -","14.25","285.00"
"                     TOTAL :","20","0","","285.00"
"","","","",""
"PREM MED STORE NIHA-NIHAL SINGH WAL","","","",""
"CYRA IT TABLET     1","3","  -","82.98","248.95"
"NORMAXIN MB TABLET 10TAB","  -","  -","0.00","0.00"
"NORMAXIN RT        10CAP","3","  -","35.36","106.07"
"ORVAS 20MG         10TAB","10","  -","36.38","363.75"
"                     TOTAL :","16","0","","718.77"
"","","","",""
"PUBLIC MED HALL DHAR DHAR-DHARAM KOT","","","",""
"AF-400             1TAB","10","  -","16.35","163.54"
"CYRA-D  CAP        10CAP","5","  -","28.54","142.69"
"GIFTAN-50          10TAB","5","  -","20.66","103.30"
"NORMAXIN TAB       10TAB","40","  -","13.82","552.90"
"ORVAS 40MG TABLET  10TAB","10","  -","67.40","673.96"
"PIOSYS-15TAB       30TAB","5","  -","29.83","149.14"
"SYSRON-N TAB       10TAB","15","  -","30.98","464.73"
"TOPISAL - 3% LOTION50ML","2","  -","80.51","161.02"
"TOPISAL 6% OINT.   30GM","2","  -","69.14","138.28"
"TOPISAL LOTION 6%  30ML","2","  -","61.08","122.16"
"                     TOTAL :","96","0","","2671.72"
"","","","",""
"RAJ MEDICOS MOGA MOGA.-MOGA.","","","",""
"AF-400             1TAB","10","  -","16.59","165.91"
"AMACE TAB          10TAB","3","  -","42.79","128.36"
"ISRYL-1            10TAB","5","  -","10.26","51.30"
"TOPISAL 6% OINT.   30GM","2","  -","69.86","139.71"
"                     TOTAL :","20","0","","485.28"
"","","","",""
"RAJIV MEDICAL HALL MOGA MOGA.-MOGA.","","","",""
"AF-150             1TAB","5","  -","6.79","33.96"
"AF-KIT             1KIT","3","  -","61.71","185.14"
"CYRA - LS TABLET   10TAB","3","  -","67.69","203.06"
"ETOS - MR TAB      10TAB","5","  -","80.59","402.94"
"ME-12 OD TAB       10TAB","5","  -","50.56","252.79"
"NORMAXIN RT        10CAP","10","  -","34.63","346.27"
"NORMAXIN TAB       10TAB","140","  -","13.56","1898.10"
"ORVAS 10MG         10TAB","20","  -","12.67","253.46"
"ORVAS 20MG         10TAB","5","  -","35.62","178.12"
"PIOSYS 30TAB       30TAB","8","  -","53.30","426.43"
"PIOSYS-15TAB       30TAB","5","  -","29.21","146.06"
"TENEFIT - 20 TABLET10TAB","55","  -","38.05","2092.61"
"VOGS 0.3MG TABLET  10TAB","10","  -","20.24","202.35"
"                     TOTAL :","274","0","","6621.29"
"","","","",""
"RAJU MED STORE NIHA-NIHAL SINGH WAL","","","",""
"AMACE TAB          10TAB","10","  -","42.35","423.50"
"ME-12 INJ.         1ML","5","  -","15.98","79.88"
"                     TOTAL :","15","0","","503.38"
"","","","",""
"SAI MEDICAL STORE MOGA.-MOGA.","","","",""
"AF-400             1TAB","20","  -","16.59","331.83"
"                     TOTAL :","20","0","","331.83"
"","","","",""
"SANJEEV MEDICAL HALL MOGA MOGA.-MOGA.","","","",""
"AF-400             1TAB","20","  -","16.35","327.08"
"CYRA-D  CAP        10CAP","10","  -","28.54","285.37"
"                     TOTAL :","30","0","","612.45"
"","","","",""
"SARASWATI MEDICOSE MOGA MOGA.-MOGA.","","","",""
"NORMAXIN TAB       10TAB","40","  -","13.82","552.90"
"PIOSYS-15TAB       30TAB","5","  -","29.83","149.14"
"                     TOTAL :","45","0","","702.04"
"","","","",""
"SAWTANTAR MED HALL BAGA BA-BAGHA PURANA","","","",""
"ACNESOL LOTION     10ML","3","  -","53.64","160.92"
"AMCARD 5MG         7TAB","16","  -","9.04","144.64"
"CYRA-D  CAP        10CAP","5","  -","28.54","142.69"
"ISRYL-M 2          10TAB","3","  -","25.72","77.17"
"ME-12 OD TAB       10TAB","6","  -","51.62","309.74"
"NORMAXIN MB TABLET 10TAB","20","  -","55.33","1106.58"
"NORMAXIN TAB       10TAB","20","  -","13.82","276.45"
"SYSRON-N TAB       10TAB","6","  -","30.98","185.89"
"TOPISAL 6% OINT.   30GM","3","  -","69.14","207.42"
"                     TOTAL :","82","0","","2611.50"
"","","","",""
"SHARMA MED STORE DHAR DHAR-DHARAM KOT","","","",""
"AFK LOTION         100ML","1","  -","121.99","121.99"
"ISRYL-M 1          10TAB","5","  -","17.14","85.70"
"                     TOTAL :","6","0","","207.69"
"","","","",""
"SHARMA MED STORE TALW T-TALWANDI BHAI","","","",""
"CYRA TAB           10TAB","10","  -","14.53","145.31"
"                     TOTAL :","10","0","","145.31"
"","","","",""
"SHARMA MEDICAL HALL MOGA MOGA.-MOGA.","","","",""
"ACNESOL GEL        20GM","3","  -","51.01","153.04"
"ISRYL-M 1          10TAB","10","  -","17.14","171.40"
"TOPINATE 30GM      5GM","3","  -","45.86","137.58"
"                     TOTAL :","16","0","","462.02"
"","","","",""
"SHIVA MED STORE BAGA BA-BAGHA PURANA","","","",""
"AF-400             1TAB","10","  -","16.18","161.76"
"NAC 50             10TAB","5","  -","11.09","55.44"
"NORMAXIN MB TABLET 10TAB","3","  -","54.76","164.28"
"PIO PLUS-2         10TAB","5","  -","54.05","270.24"
"PIOSYS 30TAB       30TAB","3","  -","53.01","159.03"
"SYSRON-N TAB       10TAB","10","  -","30.15","301.54"
"TERBEST TAB        7TAB","2","  -","57.61","115.22"
"                     TOTAL :","38","0","","1227.51"
"","","","",""
"SHREE KRISHNA MEDICAL STORE MOGA.-MOGA.","","","",""
"CYRA-D  CAP        10CAP","50","  -","28.54","1426.87"
"                     TOTAL :","50","0","","1426.87"
"","","","",""
"SONU MEDICOSE MOGA.-MOGA.","","","",""
"CYRA TAB           10TAB","10","  -","14.98","149.80"
"                     TOTAL :","10","0","","149.80"
"","","","",""
"SWAMI MEDICAL STORE MOGA MOGA.-MOGA.","","","",""
"AF-400             1TAB","10","  -","16.02","160.17"
"AMCARD AT TAB      10TAB","10","  -","19.88","198.83"
"CYRA - LS TABLET   10TAB","1","  -","67.69","67.69"
"CYRA-D  CAP        10CAP","5","  -","27.95","139.74"
"ISRYL-M 1          10TAB","5","  -","16.79","83.93"
"ISRYL-M 2          10TAB","20","  -","25.33","506.53"
"PIOSYS 30TAB       30TAB","5","  -","53.30","266.52"
"PIOSYS-15TAB       30TAB","5","  -","29.21","146.06"
"                     TOTAL :","61","0","","1569.47"
"","","","",""
"VERMA MEDICAL HALL KISH KIS-KISHAN PURA","","","",""
"AMCARD 5MG         7TAB","20","  -","9.04","180.81"
"AMCARD AT TAB      10TAB","10","  -","20.30","203.02"
