"DBN","School Name","Environment Score","Environment Grade","Academic Expectations","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Communications","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Engagement","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range","Safety and Respect","Peer 0% of Range","Peer 100% of Range","Peer Percent of Range","City 0% of Range","City 100% of Range","City Percent of Range"
"06M423","High School for Excellence and Innovation",".",".","7.8","7.1","8.9","38.9%","6.9","9.1","40.9%","7.3","5.9","8.1","63.6%","5.9","8.3","58.3%","7.7","6.3","8.5","63.6%","6.1","8.7","61.5%","7.9","6.9","9.1","45.5%","6.9","9.1","45.5%"
"07X321","Crotona Academy High School","14.2","A","9.0","7.0","9.0","100.0%","6.9","9.1","95.5%","8.4","5.8","8.2","100.0%","5.9","8.3","100.0%","8.8","6.0","8.6","100.0%","6.1","8.7","100.0%","8.6","7.0","9.0","80.0%","6.9","9.1","77.3%"
"07X379","Jill Chaifetz Transfer High School","10.7","A","8.4","7.0","9.0","70.0%","6.9","9.1","68.2%","7.6","5.9","8.3","70.8%","5.9","8.3","70.8%","8.0","6.2","8.6","75.0%","6.1","8.7","73.1%","8.4","6.8","9.0","72.7%","6.9","9.1","68.2%"
"07X381","Bronx Haven High School","7.1","C","7.9","7.0","9.0","45.0%","6.9","9.1","45.5%","6.8","5.9","8.3","37.5%","5.9","8.3","37.5%","7.7","6.2","8.6","62.5%","6.1","8.7","61.5%","7.8","6.8","9.0","45.5%","6.9","9.1","40.9%"
"08X377","Bronx Community High School","12.0","A","8.6","7.0","9.0","80.0%","6.9","9.1","77.3%","8.1","5.8","8.2","95.8%","5.9","8.3","91.7%","8.3","6.0","8.6","88.5%","6.1","8.7","84.6%","8.1","6.8","9.0","59.1%","6.9","9.1","54.5%"
"08X537","Bronx Arena High School",".",".","8.3","7.0","9.0","65.0%","6.9","9.1","63.6%","7.4","5.9","8.3","62.5%","5.9","8.3","62.5%","8.0","6.1","8.5","79.2%","6.1","8.7","73.1%","8.2","6.8","9.0","63.6%","6.9","9.1","59.1%"
"08X560","Bronx Academy High School",".",".","8.7","7.0","9.0","85.0%","6.9","9.1","81.8%","7.9","5.8","8.2","87.5%","5.9","8.3","83.3%","8.4","6.0","8.6","92.3%","6.1","8.7","88.5%","8.6","7.0","9.0","80.0%","6.9","9.1","77.3%"
"10X319","Providing Urban Learners Success In Education High School","9.4","B","7.9","7.1","8.9","44.4%","6.9","9.1","45.5%","7.1","5.9","8.1","54.5%","5.9","8.3","50.0%","8.0","6.3","8.5","77.3%","6.1","8.7","73.1%","8.5","6.8","9.0","77.3%","6.9","9.1","72.7%"
"12X446","Arturo A. Schomburg Satellite Academy Bronx","8.3","C","7.9","7.0","9.0","45.0%","6.9","9.1","45.5%","7.4","5.9","8.3","62.5%","5.9","8.3","62.5%","7.6","6.2","8.6","58.3%","6.1","8.7","57.7%","8.1","6.9","9.1","54.5%","6.9","9.1","54.5%"
"12X480","Bronx Regional High School","4.4","F","7.4","7.0","9.0","20.0%","6.9","9.1","22.7%","6.6","5.9","8.3","29.2%","5.9","8.3","29.2%","7.0","6.0","8.6","38.5%","6.1","8.7","34.6%","7.6","7.0","9.0","30.0%","6.9","9.1","31.8%"
"13K553","Brooklyn Academy High School","7.9","C","7.7","6.9","8.9","40.0%","6.9","9.1","36.4%","6.8","5.8","8.2","41.7%","5.9","8.3","37.5%","7.4","6.1","8.5","54.2%","6.1","8.7","50.0%","8.5","6.9","8.9","80.0%","6.9","9.1","72.7%"
"13K575","Bedford Stuyvesant Preparatory High School","7.7","C","7.7","7.1","8.9","33.3%","6.9","9.1","36.4%","7.1","5.9","8.3","50.0%","5.9","8.3","50.0%","7.6","6.0","8.6","61.5%","6.1","8.7","57.7%","8.2","7.0","9.0","60.0%","6.9","9.1","59.1%"
"13K616","Brooklyn High School for Leadership and Community Service","9.6","B","8.4","7.0","9.0","70.0%","6.9","9.1","68.2%","7.4","5.9","8.3","62.5%","5.9","8.3","62.5%","8.1","6.2","8.6","79.2%","6.1","8.7","76.9%","7.8","6.8","9.0","45.5%","6.9","9.1","40.9%"
"15K423","Brooklyn Frontiers High School",".",".","8.2","7.0","9.0","60.0%","6.9","9.1","59.1%","7.3","5.9","8.1","63.6%","5.9","8.3","58.3%","7.6","6.3","8.5","59.1%","6.1","8.7","57.7%","8.0","6.9","9.1","50.0%","6.9","9.1","50.0%"
"15K520","Pacific High School",".",".","8.0","7.1","8.9","50.0%","6.9","9.1","50.0%","6.9","5.9","8.1","45.5%","5.9","8.3","41.7%","8.2","6.3","8.5","86.4%","6.1","8.7","80.8%","8.3","6.8","9.0","68.2%","6.9","9.1","63.6%"
"15K529","West Brooklyn Community High School","13.2","A","8.6","7.0","9.0","80.0%","6.9","9.1","77.3%","8.1","5.8","8.2","95.8%","5.9","8.3","91.7%","8.4","6.0","8.6","92.3%","6.1","8.7","88.5%","8.7","6.8","9.0","86.4%","6.9","9.1","81.8%"
"15K698","South Brooklyn Community High School","9.0","B","8.0","7.0","9.0","50.0%","6.9","9.1","50.0%","7.3","5.8","8.2","62.5%","5.9","8.3","58.3%","7.7","6.0","8.6","65.4%","6.1","8.7","61.5%","8.3","7.0","9.0","65.0%","6.9","9.1","63.6%"
"17K489","W.E.B. Dubois Academic High School","3.4","F","7.3","7.0","9.0","15.0%","6.9","9.1","18.2%","6.6","5.9","8.3","29.2%","5.9","8.3","29.2%","6.9","6.2","8.6","29.2%","6.1","8.7","30.8%","7.2","6.8","9.0","18.2%","6.9","9.1","13.6%"
"17K568","Brownsville Academy High School","13.3","A","8.7","7.0","9.0","85.0%","6.9","9.1","81.8%","8.3","5.8","8.2","100.0%","5.9","8.3","100.0%","8.4","6.0","8.6","92.3%","6.1","8.7","88.5%","8.6","7.0","9.0","80.0%","6.9","9.1","77.3%"
"18K578","Brooklyn Bridge Academy","7.6","C","7.9","7.0","9.0","45.0%","6.9","9.1","45.5%","7.2","5.9","8.1","59.1%","5.9","8.3","54.2%","7.5","6.3","8.5","54.5%","6.1","8.7","53.8%","7.8","6.8","9.0","45.5%","6.9","9.1","40.9%"
"18K635","Olympus Academy","7.5","C","8.1","7.0","9.0","55.0%","6.9","9.1","54.5%","6.6","5.9","8.3","29.2%","5.9","8.3","29.2%","7.6","6.2","8.6","58.3%","6.1","8.7","57.7%","8.1","6.8","9.0","59.1%","6.9","9.1","54.5%"
"18K673","EAST BROOKLYN COMMUNITY HIGH SCHOOL","9.8","B","8.3","7.0","9.0","65.0%","6.9","9.1","63.6%","7.4","5.8","8.2","66.7%","5.9","8.3","62.5%","8.0","6.1","8.5","79.2%","6.1","8.7","73.1%","8.0","6.8","9.0","54.5%","6.9","9.1","50.0%"
"21K728","Liberation Diploma Plus","6.3","D","7.5","7.0","9.0","25.0%","6.9","9.1","27.3%","7.1","5.9","8.3","50.0%","5.9","8.3","50.0%","7.5","6.0","8.6","57.7%","6.1","8.7","53.8%","7.7","7.0","9.0","35.0%","6.9","9.1","36.4%"
"23K643","Brooklyn Democracy Academy","6.3","D","7.6","7.0","8.8","33.3%","6.9","9.1","31.8%","6.9","5.9","8.1","45.5%","5.9","8.3","41.7%","7.7","6.3","8.5","63.6%","6.1","8.7","61.5%","7.4","6.8","9.0","27.3%","6.9","9.1","22.7%"
"23K646","Aspirations Diploma Plus High School","7.6","C","8.0","7.0","9.0","50.0%","6.9","9.1","50.0%","7.1","5.9","8.3","50.0%","5.9","8.3","50.0%","7.6","6.2","8.6","58.3%","6.1","8.7","57.7%","7.8","6.8","9.0","45.5%","6.9","9.1","40.9%"
"23K647","Metropolitan Diploma Plus High School","12.3","A","8.6","7.0","9.0","80.0%","6.9","9.1","77.3%","7.7","5.8","8.2","79.2%","5.9","8.3","75.0%","8.4","6.0","8.6","92.3%","6.1","8.7","88.5%","8.5","6.9","8.9","80.0%","6.9","9.1","72.7%"
"24Q744","VOYAGES Preparatory","15.0","A","9.2","6.9","8.9","100.0%","6.9","9.1","100.0%","8.5","5.8","8.2","100.0%","5.9","8.3","100.0%","9.0","6.0","8.6","100.0%","6.1","8.7","100.0%","9.2","6.9","8.9","100.0%","6.9","9.1","100.0%"
"25Q540","Queens Academy High School","4.4","F","7.4","7.0","9.0","20.0%","6.9","9.1","22.7%","6.6","5.9","8.3","29.2%","5.9","8.3","29.2%","7.1","6.0","8.6","42.3%","6.1","8.7","38.5%","7.5","7.0","9.0","25.0%","6.9","9.1","27.3%"
"25Q792","North Queens Community High School","7.9","C","8.0","7.0","9.0","50.0%","6.9","9.1","50.0%","7.4","5.9","8.1","68.2%","5.9","8.3","62.5%","7.6","6.3","8.5","59.1%","6.1","8.7","57.7%","7.6","6.8","9.0","36.4%","6.9","9.1","31.8%"
"28Q338","Queens Satellite High School for Opportunity","2.0","F","7.0","7.0","9.0","0.0%","6.9","9.1","4.5%","6.3","5.9","8.3","16.7%","5.9","8.3","16.7%","6.7","6.1","8.7","23.1%","6.1","8.7","23.1%","7.1","6.8","9.0","13.6%","6.9","9.1","9.1%"
"31R470","Concord High School","11.0","A","8.4","7.1","8.9","72.2%","6.9","9.1","68.2%","7.4","6.0","8.2","63.6%","5.9","8.3","62.5%","8.0","6.3","8.5","77.3%","6.1","8.7","73.1%","8.7","6.9","9.1","81.8%","6.9","9.1","81.8%"
"32K564","Bushwick Community High School","11.2","A","8.2","7.1","8.9","61.1%","6.9","9.1","59.1%","7.4","5.9","8.1","68.2%","5.9","8.3","62.5%","8.2","6.3","8.5","86.4%","6.1","8.7","80.8%","8.7","6.8","9.0","86.4%","6.9","9.1","81.8%"
"84M707","John V. Lindsay Wildcat Academy Charter School","5.8","D","7.6","7.1","8.9","27.8%","6.9","9.1","31.8%","6.8","5.9","8.1","40.9%","5.9","8.3","37.5%","7.4","6.3","8.5","50.0%","6.1","8.7","50.0%","7.7","6.9","9.1","36.4%","6.9","9.1","36.4%"
