"2. Business Size","","","","","","","","","","",""
"Source: UK overseas trade in goods statistics from HM Revenue & Customs, and Inter-Departmental Business Register from the Office for National Statistics","","","","","","","","","","",""
"This worksheet contains one table.","","","","","","","","","","",""
"","","","","","","","","","","",""
"Flow","Year","Country","Zone","Business size
(No. of employees)","Age (Years)","Industry group","Value (£)","Business count","Employee count","",""
"Import","2023","France","EU","Unknown","All","All","6,387,088,088","3,752","not applicable","",""
"Import","2023","Germany","EU","0","All","All","75,851,465","545","0","",""
"Import","2023","Germany","EU","1 to 9","All","All","3,189,469,159","19,886","80,805","",""
"Import","2023","Germany","EU","10 to 49","All","All","7,106,087,799","16,024","375,118","",""
"Import","2023","Germany","EU","50 to 249","All","All","12,962,075,361","7,928","851,182","",""
"Import","2023","Germany","EU","250 +","All","All","46,367,134,895","3,393","7,359,921","",""
"Import","2023","Germany","EU","Unknown","All","All","6,516,654,050","4,270","not applicable","",""
"Import","2023","Ireland","EU","0","All","All","14,853,230","253","0","",""
"Import","2023","Ireland","EU","1 to 9","All","All","1,212,125,426","5,254","22,278","",""
"Import","2023","Ireland","EU","10 to 49","All","All","1,518,536,893","5,622","136,010","",""
"Import","2023","Ireland","EU","50 to 249","All","All","3,286,315,294","3,561","397,370","",""
"Import","2023","Ireland","EU","250 +","All","All","5,930,717,218","2,145","5,573,710","",""
"Import","2023","Ireland","EU","Unknown","All","All","6,879,964,966","1,393","not applicable","",""
"Import","2023","Italy","EU","0","All","All","16,402,077","588","0","",""
"Import","2023","Italy","EU","1 to 9","All","All","2,062,485,403","17,410","67,991","",""
"Import","2023","Italy","EU","10 to 49","All","All","3,589,540,053","12,278","281,667","",""
"Import","2023","Italy","EU","50 to 249","All","All","5,330,983,866","6,063","652,059","",""
"Import","2023","Italy","EU","250 +","All","All","9,388,477,199","2,575","5,738,718","",""
"Import","2023","Italy","EU","Unknown","All","All","1,714,617,562","3,100","not applicable","",""
"Import","2023","Netherlands","EU","0","All","All","22,188,024","399","0","",""
"Import","2023","Netherlands","EU","1 to 9","All","All","3,272,389,930","15,380","62,547","",""
"Import","2023","Netherlands","EU","10 to 49","All","All","4,865,070,367","12,999","307,210","",""
"Import","2023","Netherlands","EU","50 to 249","All","All","9,357,288,298","7,331","795,096","",""
"Import","2023","Netherlands","EU","250 +","All","All","23,690,577,379","3,251","6,930,862","",""
"Import","2023","Netherlands","EU","Unknown","All","All","10,336,591,961","4,050","not applicable","",""
"Import","2023","Poland","EU","0","All","All","7,971,651","241","0","",""
"Import","2023","Poland","EU","1 to 9","All","All","1,078,921,074","7,363","26,557","",""
"Import","2023","Poland","EU","10 to 49","All","All","1,634,409,283","4,981","118,671","",""
"Import","2023","Poland","EU","50 to 249","All","All","2,320,413,018","2,980","329,130","",""
"Import","2023","Poland","EU","250 +","All","All","4,969,737,538","1,634","4,207,018","",""
"Import","2023","Poland","EU","Unknown","All","All","3,037,171,469","1,790","not applicable","",""
"Import","2023","Spain","EU","0","All","All","7,819,821","243","0","",""
"Import","2023","Spain","EU","1 to 9","All","All","1,910,493,182","8,681","34,487","",""
"Import","2023","Spain","EU","10 to 49","All","All","1,894,913,441","6,996","163,596","",""
"Import","2023","Spain","EU","50 to 249","All","All","3,157,768,997","4,098","451,083","",""
"Import","2023","Spain","EU","250 +","All","All","10,397,953,104","2,127","5,117,860","",""
"Import","2023","Spain","EU","Unknown","All","All","2,032,668,800","2,018","not applicable","",""
"Import","2023","Sweden","EU","0","All","All","2,288,834","95","0","",""
"Import","2023","Sweden","EU","1 to 9","All","All","565,530,804","3,651","15,001","",""
"Import","2023","Sweden","EU","10 to 49","All","All","902,503,728","3,596","87,079","",""
"Import","2023","Sweden","EU","50 to 249","All","All","1,320,507,786","2,541","286,231","",""
"Import","2023","Sweden","EU","250 +","All","All","3,842,037,467","1,568","4,119,171","",""
"Import","2023","Sweden","EU","Unknown","All","All","1,395,320,104","948","not applicable","",""
"Import","2023","Algeria","Non-EU","0","All","All","0","0","0","",""
"Import","2023","Algeria","Non-EU","1 to 9","All","All","Suppressed","17","53","",""
"Import","2023","Algeria","Non-EU","10 to 49","All","All","19,846,230","21","530","",""
"Import","2023","Algeria","Non-EU","50 to 249","All","All","12,649,815","19","2,019","",""
"Import","2023","Algeria","Non-EU","250 +","All","All","1,424,036,109","23","44,459","",""
"Import","2023","Algeria","Non-EU","Unknown","All","All","Suppressed","11","not applicable","",""
"Import","2023","Australia","Non-EU","0","All","All","2,249,498","52","0","",""
"Import","2023","Australia","Non-EU","1 to 9","All","All","102,201,078","1,767","6,932","",""
"Import","2023","Australia","Non-EU","10 to 49","All","All","269,525,461","1,475","35,267","",""
"Import","2023","Australia","Non-EU","50 to 249","All","All","451,716,858","1,055","117,796","",""
"Import","2023","Australia","Non-EU","250 +","All","All","2,133,926,794","769","2,711,711","",""
"Import","2023","Australia","Non-EU","Unknown","All","All","536,470,052","555","not applicable","",""
"Import","2023","Bahrain","Non-EU","0","All","All","0","0","0","",""
"Import","2023","Bahrain","Non-EU","1 to 9","All","All","1,773,754","50","217","",""
"Import","2023","Bahrain","Non-EU","10 to 49","All","All","3,220,389","59","1,642","",""
"Import","2023","Bahrain","Non-EU","50 to 249","All","All","8,869,623","58","7,710","",""
"Import","2023","Bahrain","Non-EU","250 +","All","All","85,544,790","80","192,900","",""
"Import","2023","Bahrain","Non-EU","Unknown","All","All","43,698,896","16","not applicable","",""
"Import","2023","Bangladesh","Non-EU","0","All","All","Suppressed","Suppressed","Suppressed","",""
"Import","2023","Bangladesh","Non-EU","1 to 9","All","All","108,602,288","378","1,379","",""
"Import","2023","Bangladesh","Non-EU","10 to 49","All","All","151,047,898","249","5,755","",""
"Import","2023","Bangladesh","Non-EU","50 to 249","All","All","174,027,598","166","19,399","",""
"Import","2023","Bangladesh","Non-EU","250 +","All","All","2,398,953,411","140","Suppressed","",""
"Import","2023","Bangladesh","Non-EU","Unknown","All","All","Suppressed","Suppressed","not applicable","",""
"Import","2023","Brazil","Non-EU","0","All","All","420,946","11","0","",""
"Import","2023","Brazil","Non-EU","1 to 9","All","All","348,097,617","533","2,113","",""
"Import","2023","Brazil","Non-EU","10 to 49","All","All","266,257,211","471","11,130","",""
"Import","2023","Brazil","Non-EU","50 to 249","All","All","397,704,196","372","43,668","",""
"Import","2023","Brazil","Non-EU","250 +","All","All","1,913,196,544","334","1,212,956","",""
"Import","2023","Brazil","Non-EU","Unknown","All","All","191,419,404","232","not applicable","",""
"Import","2023","Brunei","Non-EU","0","All","All","0","0","0","",""
"Import","2023","Brunei","Non-EU","1 to 9","All","All","Suppressed","Suppressed","13","",""
"Import","2023","Brunei","Non-EU","10 to 49","All","All","189,066","13","369","",""
"Import","2023","Brunei","Non-EU","50 to 249","All","All","721,746","14","1,376","",""
"Import","2023","Brunei","Non-EU","250 +","All","All","863,369","13","60,243","",""
"Import","2023","Brunei","Non-EU","Unknown","All","All","Suppressed","Suppressed","not applicable","",""
"Import","2023","Cambodia","Non-EU","0","All","All","0","0","0","",""
"Import","2023","Cambodia","Non-EU","1 to 9","All","All","9,622,589","54","246","",""
"Import","2023","Cambodia","Non-EU","10 to 49","All","All","29,131,628","65","1,501","",""
"Import","2023","Cambodia","Non-EU","50 to 249","All","All","31,537,451","69","8,516","",""
"Import","2023","Cambodia","Non-EU","250 +","All","All","416,882,417","89","1,163,416","",""
"Import","2023","Cambodia","Non-EU","Unknown","All","All","185,375,009","33","not applicable","",""
"Import","2023","Canada","Non-EU","0","All","All","900,776","53","0","",""
"Import","2023","Canada","Non-EU","1 to 9","All","All","316,648,123","2,457","9,828","",""
"Import","2023","Canada","Non-EU","10 to 49","All","All","518,950,368","2,449","58,589","",""
"Import","2023","Canada","Non-EU","50 to 249","All","All","784,904,155","1,689","193,959","",""
"Import","2023","Canada","Non-EU","250 +","All","All","8,565,921,673","1,163","3,227,406","",""
"Import","2023","Canada","Non-EU","Unknown","All","All","411,232,334","838","not applicable","",""
"Import","2023","Chile","Non-EU","0","All","All","Suppressed","Suppressed","Suppressed","",""
"Import","2023","Chile","Non-EU","1 to 9","All","All","70,743,508","131","540","",""
"Import","2023","Chile","Non-EU","10 to 49","All","All","57,530,127","160","4,070","",""
"Import","2023","Chile","Non-EU","50 to 249","All","All","163,412,631","147","16,304","",""
"Import","2023","Chile","Non-EU","250 +","All","All","137,723,603","109","Suppressed","",""
"Import","2023","Chile","Non-EU","Unknown","All","All","Suppressed","Suppressed","not applicable","",""
"Import","2023","China","Non-EU","0","All","All","25,143,695","598","0","",""
"Import","2023","China","Non-EU","1 to 9","All","All","5,063,904,261","24,206","83,339","",""
"Import","2023","China","Non-EU","10 to 49","All","All","8,570,462,873","12,826","289,780","",""
"Import","2023","China","Non-EU","50 to 249","All","All","10,787,669,004","5,415","570,607","",""
"Import","2023","China","Non-EU","250 +","All","All","22,927,390,263","1,977","4,698,184","",""
"Import","2023","China","Non-EU","Unknown","All","All","14,846,491,893","32,073","not applicable","",""
"Import","2023","Greenland","Non-EU","0","All","All","0","0","0","",""
"Import","2023","Greenland","Non-EU","1 to 9","All","All","0","0","0","",""
"Import","2023","Greenland","Non-EU","10 to 49","All","All","Suppressed","Suppressed","Suppressed","",""
"Import","2023","Greenland","Non-EU","50 to 249","All","All","558,182","5","Suppressed","",""
"Import","2023","Greenland","Non-EU","250 +","All","All","0","0","0","",""
"Import","2023","Greenland","Non-EU","Unknown","All","All","Suppressed","Suppressed","not applicable","",""
"Import","2023","Hong Kong","Non-EU","0","All","All","4,107,905","164","0","",""
"Import","2023","Hong Kong","Non-EU","1 to 9","All","All","533,030,396","8,117","29,482","",""
"Import","2023","Hong Kong","Non-EU","10 to 49","All","All","1,078,848,620","4,861","111,853","",""
"Import","2023","Hong Kong","Non-EU","50 to 249","All","All","746,154,870","2,338","253,693","",""
"Import","2023","Hong Kong","Non-EU","250 +","All","All","1,689,026,911","1,136","3,374,996","",""
"Import","2023","Hong Kong","Non-EU","Unknown","All","All","737,693,841","3,223","not applicable","",""
"Import","2023","Iceland","Non-EU","0","All","All","Suppressed","Suppressed","Suppressed","",""
"Import","2023","Iceland","Non-EU","1 to 9","All","All","68,326,968","110","451","",""
"Import","2023","Iceland","Non-EU","10 to 49","All","All","83,454,963","139","3,405","",""
"Import","2023","Iceland","Non-EU","50 to 249","All","All","99,221,867","123","13,967","",""
"Import","2023","Iceland","Non-EU","250 +","All","All","126,570,026","101","Suppressed","",""
"Import","2023","Iceland","Non-EU","Unknown","All","All","Suppressed","Suppressed","not applicable","",""
"Import","2023","India","Non-EU","0","All","All","8,284,840","222","0","",""
"Import","2023","India","Non-EU","1 to 9","All","All","1,094,978,231","6,551","24,033","",""
"Import","2023","India","Non-EU","10 to 49","All","All","1,656,922,421","4,165","97,456","",""
"Import","2023","India","Non-EU","50 to 249","All","All","1,656,938,428","2,181","234,127","",""
"Import","2023","India","Non-EU","250 +","All","All","4,312,883,912","1,033","2,873,334","",""
"Import","2023","India","Non-EU","Unknown","All","All","1,134,417,563","2,038","not applicable","",""
"Import","2023","Indonesia","Non-EU","0","All","All","735,674","24","0","",""
"Import","2023","Indonesia","Non-EU","1 to 9","All","All","96,450,568","654","2,622","",""
"Import","2023","Indonesia","Non-EU","10 to 49","All","All","198,017,119","550","13,227","",""
"Import","2023","Indonesia","Non-EU","50 to 249","All","All","300,241,166","374","42,622","",""
"Import","2023","Indonesia","Non-EU","250 +","All","All","348,219,302","305","1,607,694","",""
"Import","2023","Indonesia","Non-EU","Unknown","All","All","237,379,684","249","not applicable","",""
"Import","2023","Israel","Non-EU","0","All","All","1,339,073","29","0","",""
"Import","2023","Israel","Non-EU","1 to 9","All","All","183,440,131","966","3,836","",""
"Import","2023","Israel","Non-EU","10 to 49","All","All","348,520,700","899","21,609","",""
"Import","2023","Israel","Non-EU","50 to 249","All","All","320,337,852","655","74,828","",""
"Import","2023","Israel","Non-EU","250 +","All","All","713,936,091","483","1,884,440","",""
"Import","2023","Israel","Non-EU","Unknown","All","All","192,734,259","266","not applicable","",""
"Import","2023","Japan","Non-EU","0","All","All","2,877,761","94","0","",""
"Import","2023","Japan","Non-EU","1 to 9","All","All","1,108,020,129","2,539","8,954","",""
"Import","2023","Japan","Non-EU","10 to 49","All","All","824,039,031","1,794","42,463","",""
"Import","2023","Japan","Non-EU","50 to 249","All","All","1,913,008,399","1,229","139,361","",""
"Import","2023","Japan","Non-EU","250 +","All","All","5,292,784,053","777","2,041,437","",""
"Import","2023","Japan","Non-EU","Unknown","All","All","823,001,513","1,225","not applicable","",""
"Import","2023","Kuwait","Non-EU","0","All","All","0","0","0","",""
"Import","2023","Kuwait","Non-EU","1 to 9","All","All","Suppressed","35","139","",""
"Import","2023","Kuwait","Non-EU","10 to 49","All","All","23,887,216","57","1,434","",""
"Import","2023","Kuwait","Non-EU","50 to 249","All","All","1,602,708","48","6,055","",""
"Import","2023","Kuwait","Non-EU","250 +","All","All","1,229,024,323","63","241,535","",""
"Import","2023","Kuwait","Non-EU","Unknown","All","All","Suppressed","21","not applicable","",""
"Import","2023","Malaysia","Non-EU","0","All","All","108,564","5","0","",""
"Import","2023","Malaysia","Non-EU","1 to 9","All","All","96,030,214","626","2,819","",""
"Import","2023","Malaysia","Non-EU","10 to 49","All","All","264,741,565","818","20,643","",""
"Import","2023","Malaysia","Non-EU","50 to 249","All","All","344,490,336","676","77,828","",""
"Import","2023","Malaysia","Non-EU","250 +","All","All","985,189,125","447","1,829,616","",""
"Import","2023","Malaysia","Non-EU","Unknown","All","All","91,960,772","394","not applicable","",""
"Import","2023","Mexico","Non-EU","0","All","All","Suppressed","Suppressed","Suppressed","",""
"Import","2023","Mexico","Non-EU","1 to 9","All","All","34,865,412","301","Suppressed","",""
"Import","2023","Mexico","Non-EU","10 to 49","All","All","62,480,855","315","7,769","",""
"Import","2023","Mexico","Non-EU","50 to 249","All","All","91,031,191","321","38,178","",""
"Import","2023","Mexico","Non-EU","250 +","All","All","1,916,303,937","316","1,011,604","",""
"Import","2023","Mexico","Non-EU","Unknown","All","All","Suppressed","Suppressed","not applicable","",""
"Import","2023","NEU","Non-EU","0","All","All","163,787,441","1,853","0","",""
"Import","2023","NEU","Non-EU","1 to 9","All","All","19,197,968,702","59,222","199,177","",""
"Import","2023","NEU","Non-EU","10 to 49","All","All","28,882,552,706","27,249","609,488","",""
"Import","2023","NEU","Non-EU","50 to 249","All","All","40,680,320,252","10,748","1,131,242","",""
"Import","2023","NEU","Non-EU","250 +","All","All","161,320,667,384","4,139","8,257,777","",""
"Import","2023","NEU","Non-EU","Unknown","All","All","60,551,445,645","48,679","not applicable","",""
"Import","2023","New Zealand","Non-EU","0","All","All","646,341","13","0","",""
"Import","2023","New Zealand","Non-EU","1 to 9","All","All","184,556,384","553","2,074","",""
"Import","2023","New Zealand","Non-EU","10 to 49","All","All","173,934,026","477","11,591","",""
"Import","2023","New Zealand","Non-EU","50 to 249","All","All","90,493,810","352","37,880","",""
"Import","2023","New Zealand","Non-EU","250 +","All","All","278,809,636","281","1,547,880","",""
"Import","2023","New Zealand","Non-EU","Unknown","All","All","29,647,312","147","not applicable","",""
"Import","2023","Nigeria","Non-EU","0","All","All","Suppressed","Suppressed","Suppressed","",""
"Import","2023","Nigeria","Non-EU","1 to 9","All","All","21,599,105","164","520","",""
"Import","2023","Nigeria","Non-EU","10 to 49","All","All","8,913,603","75","1,960","",""
"Import","2023","Nigeria","Non-EU","50 to 249","All","All","Suppressed","91","10,721","",""
"Import","2023","Nigeria","Non-EU","250 +","All","All","1,123,867,715","Suppressed","Suppressed","",""
"Import","2023","Nigeria","Non-EU","Unknown","All","All","13,262,750","227","not applicable","",""
"Import","2023","Norway","Non-EU","0","All","All","417,776","18","0","",""
"Import","2023","Norway","Non-EU","1 to 9","All","All","315,743,967","1,004","4,346","",""
"Import","2023","Norway","Non-EU","10 to 49","All","All","466,777,449","1,230","30,936","",""
"Import","2023","Norway","Non-EU","50 to 249","All","All","1,378,176,642","983","110,417","",""
"Import","2023","Norway","Non-EU","250 +","All","All","8,222,421,455","691","1,813,709","",""
"Import","2023","Norway","Non-EU","Unknown","All","All","16,325,866,050","305","not applicable","",""
"Import","2023","Oman","Non-EU","0","All","All","0","0","0","",""
"Import","2023","Oman","Non-EU","1 to 9","All","All","6,566,920","65","298","",""
"Import","2023","Oman","Non-EU","10 to 49","All","All","22,952,938","81","2,223","",""
"Import","2023","Oman","Non-EU","50 to 249","All","All","18,497,473","79","9,844","",""
"Import","2023","Oman","Non-EU","250 +","All","All","174,266,459","67","202,204","",""
"Import","2023","Oman","Non-EU","Unknown","All","All","7,936,750","17","not applicable","",""
"Import","2023","Peru","Non-EU","0","All","All","Suppressed","Suppressed","Suppressed","",""
"Import","2023","Peru","Non-EU","1 to 9","All","All","65,617,471","147","540","",""
"Import","2023","Peru","Non-EU","10 to 49","All","All","99,052,352","130","3,019","",""
"Import","2023","Peru","Non-EU","50 to 249","All","All","107,860,351","77","Suppressed","",""
"Import","2023","Peru","Non-EU","250 +","All","All","Suppressed","78","527,411","",""
"Import","2023","Peru","Non-EU","Unknown","All","All","40,947,377","Suppressed","not applicable","",""
"Import","2023","Qatar","Non-EU","0","All","All","Suppressed","Suppressed","Suppressed","",""
"Import","2023","Qatar","Non-EU","1 to 9","All","All","6,718,883","85","Suppressed","",""
"Import","2023","Qatar","Non-EU","10 to 49","All","All","Suppressed","130","3,314","",""
"Import","2023","Qatar","Non-EU","50 to 249","All","All","42,599,141","151","18,255","",""
"Import","2023","Qatar","Non-EU","250 +","All","All","1,059,688,512","139","373,927","",""
"Import","2023","Qatar","Non-EU","Unknown","All","All","6,216,639","Suppressed","not applicable","",""
"Import","2023","Russia","Non-EU","0","All","All","Suppressed","Suppressed","Suppressed","",""
"Import","2023","Russia","Non-EU","1 to 9","All","All","1,103,355","30","112","",""
"Import","2023","Russia","Non-EU","10 to 49","All","All","Suppressed","27","674","",""
"Import","2023","Russia","Non-EU","50 to 249","All","All","15,568,487","21","Suppressed","",""
"Import","2023","Russia","Non-EU","250 +","All","All","30,424,711","29","67,933","",""
"Import","2023","Russia","Non-EU","Unknown","All","All","7,747,872","Suppressed","not applicable","",""
"Import","2023","Saudi Arabia","Non-EU","0","All","All","0","0","0","",""
"Import","2023","Saudi Arabia","Non-EU","1 to 9","All","All","Suppressed","174","730","",""
"Import","2023","Saudi Arabia","Non-EU","10 to 49","All","All","86,326,656","268","6,846","",""
"Import","2023","Saudi Arabia","Non-EU","50 to 249","All","All","30,944,872","209","23,562","",""
"Import","2023","Saudi Arabia","Non-EU","250 +","All","All","2,095,798,346","200","681,008","",""
"Import","2023","Saudi Arabia","Non-EU","Unknown","All","All","Suppressed","70","not applicable","",""
"Import","2023","Singapore","Non-EU","0","All","All","Suppressed","5","0","",""
"Import","2023","Singapore","Non-EU","1 to 9","All","All","90,300,920","709","2,981","",""
"Import","2023","Singapore","Non-EU","10 to 49","All","All","169,879,012","939","23,706","",""
"Import","2023","Singapore","Non-EU","50 to 249","All","All","304,825,634","831","98,093","",""
"Import","2023","Singapore","Non-EU","250 +","All","All","1,880,423,377","631","1,705,529","",""
"Import","2023","Singapore","Non-EU","Unknown","All","All","Suppressed","281","not applicable","",""
"Import","2023","South Africa","Non-EU","0","All","All","196,060","18","0","",""
"Import","2023","South Africa","Non-EU","1 to 9","All","All","614,783,287","1,022","3,792","",""
"Import","2023","South Africa","Non-EU","10 to 49","All","All","255,221,107","764","18,142","",""
"Import","2023","South Africa","Non-EU","50 to 249","All","All","345,925,614","595","67,434","",""
"Import","2023","South Africa","Non-EU","250 +","All","All","4,288,770,906","420","1,863,600","",""
"Import","2023","South Africa","Non-EU","Unknown","All","All","331,170,924","319","not applicable","",""
"Import","2023","South Korea","Non-EU","0","All","All","1,004,543","31","0","",""
"Import","2023","South Korea","Non-EU","1 to 9","All","All","297,710,718","1,715","6,793","",""
"Import","2023","South Korea","Non-EU","10 to 49","All","All","672,991,699","1,502","35,642","",""
"Import","2023","South Korea","Non-EU","50 to 249","All","All","2,585,843,499","1,049","115,844","",""
"Import","2023","South Korea","Non-EU","250 +","All","All","1,925,745,203","550","1,435,647","",""
"Import","2023","South Korea","Non-EU","Unknown","All","All","499,539,570","1,454","not applicable","",""
"Import","2023","Sri Lanka","Non-EU","0","All","All","230,367","7","0","",""
"Import","2023","Sri Lanka","Non-EU","1 to 9","All","All","73,621,449","371","1,365","",""
"Import","2023","Sri Lanka","Non-EU","10 to 49","All","All","93,240,082","281","7,002","",""
"Import","2023","Sri Lanka","Non-EU","50 to 249","All","All","41,094,156","161","17,055","",""
"Import","2023","Sri Lanka","Non-EU","250 +","All","All","353,924,531","137","1,161,104","",""
"Import","2023","Sri Lanka","Non-EU","Unknown","All","All","30,438,475","122","not applicable","",""
"Import","2023","Switzerland","Non-EU","0","All","All","5,947,957","52","0","",""
"Import","2023","Switzerland","Non-EU","1 to 9","All","All","485,367,246","2,575","10,785","",""
"Import","2023","Switzerland","Non-EU","10 to 49","All","All","1,347,291,037","2,829","69,719","",""
"Import","2023","Switzerland","Non-EU","50 to 249","All","All","1,974,103,050","2,185","247,353","",""
"Import","2023","Switzerland","Non-EU","250 +","All","All","6,835,265,259","1,336","2,899,245","",""
"Import","2023","Switzerland","Non-EU","Unknown","All","All","1,525,174,331","666","not applicable","",""
"Import","2023","Taiwan","Non-EU","0","All","All","834,407","47","0","",""
"Import","2023","Taiwan","Non-EU","1 to 9","All","All","229,254,328","2,652","11,050","",""
"Import","2023","Taiwan","Non-EU","10 to 49","All","All","899,960,526","2,665","63,467","",""
"Import","2023","Taiwan","Non-EU","50 to 249","All","All","774,479,904","1,524","163,898","",""
"Import","2023","Taiwan","Non-EU","250 +","All","All","1,057,875,910","640","1,961,192","",""
"Import","2023","Taiwan","Non-EU","Unknown","All","All","171,321,913","594","not applicable","",""
"Import","2023","Thailand","Non-EU","0","All","All","2,370,234","60","0","",""
"Import","2023","Thailand","Non-EU","1 to 9","All","All","364,051,406","1,308","4,916","",""
"Import","2023","Thailand","Non-EU","10 to 49","All","All","605,801,666","989","24,089","",""
"Import","2023","Thailand","Non-EU","50 to 249","All","All","661,270,716","705","81,307","",""
"Import","2023","Thailand","Non-EU","250 +","All","All","1,052,471,014","484","2,011,627","",""
"Import","2023","Thailand","Non-EU","Unknown","All","All","244,121,742","1,305","not applicable","",""
"Import","2023","Turkey","Non-EU","0","All","All","6,648,963","84","0","",""
"Import","2023","Turkey","Non-EU","1 to 9","All","All","1,508,836,726","5,597","19,954","",""
"Import","2023","Turkey","Non-EU","10 to 49","All","All","1,478,396,828","3,666","85,599","",""
"Import","2023","Turkey","Non-EU","50 to 249","All","All","2,157,494,316","1,945","212,754","",""
"Import","2023","Turkey","Non-EU","250 +","All","All","6,390,117,001","990","2,860,458","",""
"Import","2023","Turkey","Non-EU","Unknown","All","All","347,514,460","1,831","not applicable","",""
"Import","2023","UAE","Non-EU","0","All","All","1,193,440","14","0","",""
"Import","2023","UAE","Non-EU","1 to 9","All","All","400,075,583","1,280","4,574","",""
"Import","2023","UAE","Non-EU","10 to 49","All","All","248,522,915","976","24,065","",""
"Import","2023","UAE","Non-EU","50 to 249","All","All","312,488,854","699","80,772","",""
"Import","2023","UAE","Non-EU","250 +","All","All","1,807,695,569","502","926,356","",""
"Import","2023","UAE","Non-EU","Unknown","All","All","374,493,843","392","not applicable","",""
"Import","2023","Ukraine","Non-EU","0","All","All","86,159","5","0","",""
"Import","2023","Ukraine","Non-EU","1 to 9","All","All","59,457,907","331","1,071","",""
"Import","2023","Ukraine","Non-EU","10 to 49","All","All","67,951,653","168","3,860","",""
"Import","2023","Ukraine","Non-EU","50 to 249","All","All","47,596,937","100","12,036","",""
"Import","2023","Ukraine","Non-EU","250 +","All","All","107,130,390","79","409,972","",""
"Import","2023","Ukraine","Non-EU","Unknown","All","All","34,871,077","94","not applicable","",""
"Import","2023","United States","Non-EU","0","All","All","93,173,323","560","0","",""
"Import","2023","United States","Non-EU","1 to 9","All","All","2,531,890,434","17,150","65,465","",""
"Import","2023","United States","Non-EU","10 to 49","All","All","4,514,587,931","12,088","282,560","",""
"Import","2023","United States","Non-EU","50 to 249","All","All","6,940,547,733","6,360","691,738","",""
"Import","2023","United States","Non-EU","250 +","All","All","41,245,028,429","3,039","6,767,928","",""
"Import","2023","United States","Non-EU","Unknown","All","All","7,983,834,685","5,863","not applicable","",""
"Import","2023","Vietnam","Non-EU","0","All","All","915,763","29","0","",""
"Import","2023","Vietnam","Non-EU","1 to 9","All","All","211,918,913","1,036","3,856","",""
"Import","2023","Vietnam","Non-EU","10 to 49","All","All","562,437,752","943","22,676","",""
"Import","2023","Vietnam","Non-EU","50 to 249","All","All","920,360,879","643","72,387","",""
"Import","2023","Vietnam","Non-EU","250 +","All","All","2,467,729,212","415","1,912,199","",""
"Import","2023","Vietnam","Non-EU","Unknown","All","All","938,881,219","2,387","not applicable","",""
"Import","2023","World","World","0","All","All","436,852,498","5,204","0","",""
"Import","2023","World","World","1 to 9","All","All","40,891,288,182","109,633","368,100","",""
