"","","","","","Betfair Odds","","","My Odds","","","Difference","",""
"2015/8/15","15:00","English Premier League","Swansea","Newcastle","1.96","3.70","4.40","1.94","3.67","4.71","0.53","0.22","-1.50"
"2015/8/15","15:00","English Premier League","Tottenham","Stoke","1.81","3.80","5.30","1.58","7.50","4.29","8.04","-12.98","4.44"
"2015/8/15","15:00","English Premier League","Watford","West Brom","2.34","3.45","3.45","2.25","4.50","3.00","1.71","-6.76","4.35"
"2015/8/15","15:00","English Premier League","West Ham","Leicester","2.30","3.50","3.55","1.53","5.75","5.75","21.88","-11.18","-10.78"
"2015/8/15","17:30","Bundesliga 1","Dortmund","Mgladbach","1.76","4.00","5.30","1.83","4.40","4.40","-2.17","-2.27","3.86"
"2015/8/16","13:30","English Premier League","C Palace","Arsenal","5.40","4.00","1.76","5.20","13.00","1.37","0.71","-17.31","16.17"
"2015/8/16","14:30","Bundesliga 1","Wolfsburg","Eintracht Frankfurt","1.51","5.00","7.20","1.63","3.71","8.67","-4.88","6.95","-2.35"
"2015/8/16","16:00","English Premier League","Man City","Chelsea","2.16","3.55","3.85","2.00","4.40","3.67","3.70","-5.44","1.27"
"2015/8/16","16:30","Bundesliga 1","Stuttgart","FC Koln","2.12","3.55","3.90","2.30","4.60","2.88","-3.69","-6.43","9.08"
"2015/8/17","20:00","English Premier League","Liverpool","Bournemouth","1.49","4.60","8.40","1.20","9.00","18.00","16.22","-10.63","-6.35"
"2015/8/21","19:30","Bundesliga 1","Hertha Berlin","W Bremen","2.12","3.55","3.90","2.00","6.00","3.00","2.83","-11.50","7.69"
"2015/8/21","19:30","Primera Division","Malaga","Sevilla","3.55","3.55","2.26","2.58","6.20","2.21","10.59","-12.04","1.00"
"2015/8/22","12:45","English Premier League","Man Utd","Newcastle","1.40","5.30","9.80","1.27","11.00","8.25","7.31","-9.78","1.92"
"2015/8/22","14:30","Bundesliga 1","Eintracht Frankfurt","Augsburg","2.26","3.70","3.35","1.76","5.00","4.29","12.57","-7.03","-6.54"
"2015/8/22","14:30","Bundesliga 1","FC Koln","Wolfsburg","4.40","3.90","1.90","6.00","3.43","1.85","-6.06","3.51","1.42"
"2015/8/22","14:30","Bundesliga 1","Hannover","Leverkusen","4.60","3.90","1.88","2.42","4.83","2.64","19.58","-4.94","-15.31"
"2015/8/22","14:30","Bundesliga 1","Hoffenheim","Bayern Munich","10.50","6.20","1.33","9.00","9.00","1.29","1.59","-5.02","2.33"
"2015/8/22","14:30","Bundesliga 1","Schalke","SV Darmstadt","1.47","4.90","8.60","1.33","8.00","8.00","7.16","-7.91","0.87"
"2015/8/22","15:00","English Premier League","C Palace","Aston Villa","1.90","3.70","4.90","3.22","4.14","2.23","-21.58","-2.87","24.43"
"2015/8/22","15:00","English Premier League","Leicester","Tottenham","2.70","3.60","2.82","5.25","3.50","1.91","-17.99","0.79","16.90"
