"HIDDEN","","","Coverage Calculations - Impact of Covid on Original Coverage, Impact of Mitigation Strategies","","","","","","","","","","","","",""
"","","","","","Coverage Rate (%)","","","","","","Number of Women/Children Receiving Intervention*","","","","",""
"x","15","20","","Iron and folate supplementation in pregnancy","5.2%","4.1%","4.1%","4.8%","4.7%","5.4%","55,500","43,600","43,500","50,400","49,500","57,400"
"","16","21","","Multiple micronutrient supplementation in pregnancy","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","17","22","","Balanced energy supplementation","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"x","18","23","","Hypertensive disorder case management","7.2%","5.7%","5.7%","6.6%","6.5%","7.5%","3,800","3,000","3,000","3,500","3,400","4,000"
"x","19","24","","Diabetes case management","5.6%","4.4%","4.4%","5.1%","5.0%","5.8%","5,300","4,200","4,200","4,800","4,700","5,500"
"x","20","25","","Malaria case management","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"x","21","26","","MgSO4 management of pre-eclampsia","14.3%","11.3%","11.3%","13.1%","12.9%","14.9%","400","300","300","300","300","400"
"x","22","27","Delivery Care/ 
BEmoC/ 
CEmOC","Health Facility Delivery","72.7%","62.5%","62.5%","72.5%","65.4%","75.9%","495,600","423,400","421,400","488,800","441,000","511,600"
"x","23","28","","Clean birth environment","59.6%","51.3%","51.3%","59.5%","53.6%","62.2%","406,300","347,100","345,500","400,800","361,500","419,400"
"x","24","32","","Manual removal of placenta","27.2%","23.4%","23.4%","27.1%","24.5%","28.4%","3,700","3,200","3,200","3,700","3,300","3,800"
"x","25","33","","MgSO4 management of eclampsia","52.0%","44.7%","44.7%","51.9%","46.8%","54.3%","900","800","800","900","800","900"
"x","26","34","","Antibiotics for preterm or prolonged PROM","54.4%","46.8%","46.8%","54.3%","49.0%","56.8%","24,700","21,100","21,000","24,400","22,000","25,500"
"x","27","35","","Parenteral administration of antibiotics","54.4%","46.8%","46.8%","54.3%","49.0%","56.8%","37,100","31,700","31,500","36,600","33,000","38,300"
"x","28","36","","Assisted vaginal delivery","18.4%","15.8%","15.8%","18.4%","16.6%","19.2%","12,500","10,700","10,700","12,400","11,200","12,900"
"x","29","38","","Active management of third stage of labor (AMTSL)","65.0%","55.9%","55.9%","64.8%","58.5%","67.9%","443,100","378,600","376,800","437,100","394,300","457,400"
"x","30","39","","Removal of retained products of conception","24.1%","20.7%","20.7%","24.0%","21.7%","25.2%","1,600","1,400","1,400","1,600","1,500","1,700"
"x","31","40","","Induction of labor for pregnancies lasting 41+ weeks","1.3%","1.1%","1.1%","1.3%","1.2%","1.4%","400","400","400","400","400","500"
"","32","41","","Antenatal corticosteroids for preterm labor","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","33","65","","Maternal sepsis case management","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"x","34","10","","Safe abortion services","2.2%","1.9%","1.9%","2.2%","2.0%","2.3%","5,400","4,700","4,700","5,400","4,900","5,700"
"","35","11","","Post abortion case management","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"x","36","42","","Cesarean delivery","6.3%","5.4%","5.4%","6.3%","5.7%","6.6%","4,300","3,700","3,700","4,200","3,800","4,400"
"","37","43","","Blood transfusion","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","38","12","","Ectopic pregnancy case management","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"x","39","29","Newborn Care","Immediate drying and additional stimulation","66.6%","55.9%","55.9%","64.9%","59.9%","69.5%","454,000","378,900","377,100","437,400","404,000","468,700"
"","40","30","","Thermal protection","71.9%","60.4%","60.4%","70.1%","64.7%","75.1%","32,700","27,300","27,200","31,500","29,100","33,700"
"x","41","31","","Clean cord care","69.4%","58.3%","58.3%","67.6%","62.5%","72.5%","473,100","394,800","392,900","455,800","421,000","488,400"
"x","42","37","","Neonatal resuscitation","40.0%","33.6%","33.6%","39.0%","36.0%","41.8%","13,600","11,400","11,300","13,100","12,100","14,100"
"","","","","Case management of premature babies","","","","","","","","","","","",""
"","43","66","","Kangaroo-Mother Care (KMC)","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","44","67","","Full supportive care of prematurity","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","","","","Case management of neonatal sepsis/pneumonia","","","","","","","","","","","",""
"","45","68","","Oral antibiotics for neonatal sepsis","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"x","46","69","","Injectable antibiotics for neonatal sepsis","72.7%","61.1%","61.1%","70.8%","65.4%","75.9%","96,100","80,200","79,900","92,600","85,600","99,200"
"","47","70","","Full supportive care for neonatal sepsis/pneumonia","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","48","44","Breastfeeding","Early Initiation of Breastfeeding","48.0%","48.0%","48.0%","49.0%","43.2%","50.1%","327,200","325,100","323,500","330,000","291,200","337,800"
"","49","45","","Complementary feeding - Education only","22.3%","22.3%","22.3%","22.7%","20.1%","23.3%","152,000","151,000","150,300","153,300","135,300","156,900"
"","50","46","","Complementary feeding - Supplementary feeding + Education","22.3%","22.3%","22.3%","22.7%","20.1%","23.3%","76,000","75,500","75,200","76,700","67,600","78,500"
"x","51","55","Vaccines","BCG - Single dose","99.0%","82.2%","82.2%","95.3%","89.1%","100.0%","674,800","556,500","553,800","642,500","600,600","674,000"
"x","52","56","","Polio - Three doses","99.0%","82.2%","82.2%","95.3%","89.1%","100.0%","674,800","556,500","553,800","642,500","600,600","674,000"
"","","","","Pentavalent","","","","","","","","","","","",""
"x","53","57","","DPT - Three doses","99.0%","82.2%","82.2%","95.3%","89.1%","100.0%","674,800","556,500","553,800","642,500","600,600","674,000"
"x","54","58","","Hib - Three doses","99.0%","82.2%","82.2%","95.3%","89.1%","100.0%","674,800","556,500","553,800","642,500","600,600","674,000"
"x","55","59","","HepB - Three doses","99.0%","82.2%","82.2%","95.3%","89.1%","100.0%","674,800","556,500","553,800","642,500","600,600","674,000"
"x","56","60","","Pneumococcal - Three doses","99.0%","82.2%","82.2%","95.3%","89.1%","100.0%","674,800","556,500","553,800","642,500","600,600","674,000"
"x","57","61","","Rotavirus - Two doses","99.0%","82.2%","82.2%","95.3%","89.1%","100.0%","674,800","556,500","553,800","642,500","600,600","674,000"
"","58","62","","Meningococcal A - Single dose","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","59","63","","Malaria vaccine - Three doses","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"x","60","64","","Measles - Single dose","99.0%","82.2%","82.2%","95.3%","89.1%","100.0%","674,800","556,500","553,800","642,500","600,600","674,000"
"x","61","47","Child Health","Vitamin A supplementation","99.0%","82.2%","82.2%","95.3%","89.1%","100.0%","238,400","196,500","195,600","226,900","212,100","238,100"
"","62","48","","Zinc supplementation","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"x","63","71","","ORS - Oral Rehydration Solution","22.9%","19.0%","19.0%","22.0%","20.6%","23.9%","358,900","297,900","297,900","345,500","323,000","374,700"
"","64","72","","Antibiotics for treatment of dysentery","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","65","73","","Zinc for treatment of diarrhea","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","66","74","","Oral antibiotics for pneumonia","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"x","67","75","","Vitamin A for treatment of measles","99.0%","82.2%","82.2%","95.3%","89.1%","100.0%","100","100","100","100","100","100"
"","68","76","","ACTs - Artemisinin compounds for treatment of malaria","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","69","77","Malnutrition","SAM - treatment for severe acute malnutrition","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","70","78","","MAM - treatment for moderate acute malnutrition","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
"","71","54","Other","ITN/IRS - Households protected from malaria","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","0","0","0","0","0","0"
