"Per capita sales of food for all purchasers with taxes and tips, by State","","","","","","",""
"(U.S. Dollars)","","","","","","",""
"Year","State","Nominal sales per capita","","Total nominal food sales per capita","Constant-dollar sales per capita (1988=100)","","Total constant-dollar food sales per capita"
"2005","Alaska","2,441.98","1,635.26","4,077.24","1,426.22","1,026.22","2,452.44"
"2006","Alaska","2,550.56","1,726.72","4,277.27","1,471.91","1,052.73","2,524.64"
"2007","Alaska","2,703.98","1,816.53","4,520.51","1,490.28","1,069.16","2,559.45"
"2008","Alaska","2,864.72","1,849.92","4,714.65","1,487.13","1,048.91","2,536.05"
"2009","Alaska","2,859.22","1,790.53","4,649.76","1,495.16","984.56","2,479.72"
"2010","Alaska","2,954.84","1,814.63","4,769.47","1,554.49","986.24","2,540.73"
"2011","Alaska","3,031.87","1,927.41","4,959.27","1,520.70","1,024.54","2,545.24"
"2012","Alaska","3,311.43","2,025.48","5,336.92","1,631.49","1,044.71","2,676.20"
"2013","Alaska","3,220.80","2,087.53","5,308.33","1,572.76","1,054.50","2,627.26"
"2014","Alaska","3,206.18","2,214.43","5,420.61","1,523.09","1,091.63","2,614.73"
"2015","Alaska","3,131.99","2,391.78","5,523.77","1,463.32","1,146.11","2,609.44"
"2016","Alaska","3,007.28","2,484.97","5,492.25","1,421.37","1,152.93","2,574.31"
"2017","Alaska","3,265.33","2,579.42","5,844.75","1,548.13","1,158.77","2,706.90"
"2018","Alaska","3,327.13","2,718.48","6,045.62","1,570.57","1,181.01","2,751.57"
"2019","Alaska","3,454.08","2,870.59","6,324.68","1,606.02","1,204.27","2,810.29"
"2020","Alaska","3,575.26","2,473.92","6,049.18","1,598.61","992.40","2,591.01"
"2021","Alaska","3,777.78","3,174.70","6,952.47","1,618.57","1,214.30","2,832.87"
"2022","Alaska","4,149.49","3,515.65","7,665.14","1,595.84","1,253.41","2,849.24"
"2023","Alaska","4,156.88","3,841.64","7,998.52","1,527.97","1,274.66","2,802.62"
"1997","Arizona","1,561.75","1,104.89","2,666.64","1,116.63","862.32","1,978.95"
"1998","Arizona","1,531.51","1,153.01","2,684.52","1,062.38","876.46","1,938.84"
"1999","Arizona","1,559.11","1,189.32","2,748.43","1,060.05","884.97","1,945.02"
"2000","Arizona","1,459.29","1,199.66","2,658.95","972.30","873.14","1,845.45"
"2001","Arizona","1,423.85","1,214.45","2,638.30","910.64","856.84","1,767.47"
"2002","Arizona","1,386.81","1,245.07","2,631.88","870.68","850.40","1,721.08"
"2003","Arizona","1,476.01","1,298.02","2,774.03","902.35","869.70","1,772.05"
"2004","Arizona","1,589.22","1,388.77","2,977.99","936.63","902.74","1,839.37"
"2005","Arizona","1,719.58","1,473.58","3,193.16","1,004.31","924.75","1,929.06"
"2006","Arizona","1,798.19","1,564.80","3,362.99","1,037.72","954.01","1,991.74"
"2007","Arizona","1,900.67","1,618.42","3,519.09","1,047.54","952.56","2,000.10"
"2008","Arizona","2,020.18","1,591.35","3,611.53","1,048.72","902.30","1,951.02"
"2009","Arizona","2,033.51","1,506.87","3,540.38","1,063.37","828.58","1,891.96"
"2010","Arizona","2,110.07","1,508.17","3,618.24","1,110.07","819.68","1,929.75"
"2011","Arizona","2,241.32","1,593.76","3,835.08","1,124.19","847.18","1,971.37"
"2012","Arizona","2,420.02","1,654.60","4,074.62","1,192.30","853.42","2,045.72"
"2013","Arizona","2,385.16","1,771.81","4,156.97","1,164.70","895.02","2,059.72"
"2014","Arizona","2,435.99","1,900.03","4,336.02","1,157.21","936.65","2,093.86"
"2015","Arizona","2,452.95","2,084.52","4,537.47","1,146.06","998.88","2,144.94"
"2016","Arizona","2,442.60","2,221.58","4,664.18","1,154.48","1,030.73","2,185.21"
"2017","Arizona","2,551.22","2,389.69","4,940.91","1,209.56","1,073.53","2,283.10"
"2018","Arizona","2,605.96","2,518.66","5,124.62","1,230.14","1,094.19","2,324.33"
"2019","Arizona","2,663.36","2,630.20","5,293.56","1,238.36","1,103.42","2,341.78"
"2020","Arizona","3,042.76","2,519.84","5,562.61","1,360.52","1,010.82","2,371.34"
"2021","Arizona","3,257.18","3,168.31","6,425.49","1,395.52","1,211.86","2,607.38"
"2022","Arizona","3,505.60","3,577.19","7,082.79","1,348.21","1,275.35","2,623.55"
"2023","Arizona","3,522.86","3,857.88","7,380.74","1,294.92","1,280.04","2,574.96"
"1997","Arkansas","1,215.36","797.03","2,012.39","903.89","612.02","1,515.91"
"1998","Arkansas","1,231.06","825.99","2,057.04","902.20","617.98","1,520.18"
"1999","Arkansas","1,320.85","857.45","2,178.30","952.89","626.21","1,579.10"
"2000","Arkansas","1,314.05","884.31","2,198.36","923.19","631.50","1,554.69"
"2001","Arkansas","1,376.98","936.32","2,313.30","940.52","651.17","1,591.68"
"2002","Arkansas","1,387.34","962.92","2,350.26","935.42","654.79","1,590.21"
"2003","Arkansas","1,425.41","992.50","2,417.90","940.77","659.15","1,599.92"
"2004","Arkansas","1,522.46","1,052.19","2,574.64","966.71","677.83","1,644.54"
"2005","Arkansas","1,611.29","1,113.71","2,725.00","1,002.72","697.28","1,700.00"
"2006","Arkansas","1,656.21","1,170.76","2,826.97","1,011.06","711.17","1,722.23"
"2007","Arkansas","1,705.38","1,202.43","2,907.81","999.17","706.29","1,705.46"
"2008","Arkansas","1,724.55","1,239.24","2,963.79","946.75","695.87","1,642.62"
"2009","Arkansas","1,677.38","1,239.51","2,916.89","913.89","671.65","1,585.53"
"2010","Arkansas","1,685.41","1,261.28","2,946.69","912.89","674.84","1,587.73"
"2011","Arkansas","1,752.55","1,329.37","3,081.91","903.03","695.79","1,598.82"
"2012","Arkansas","1,866.85","1,407.61","3,274.46","936.63","717.01","1,653.64"
"2013","Arkansas","1,912.14","1,475.87","3,388.01","948.08","734.91","1,682.99"
"2014","Arkansas","2,062.20","1,600.65","3,662.84","998.16","778.71","1,776.86"
"2015","Arkansas","2,179.74","1,767.75","3,947.48","1,044.27","834.53","1,878.80"
"2016","Arkansas","2,228.44","1,888.98","4,117.42","1,082.99","874.29","1,957.28"
"2017","Arkansas","2,430.06","2,005.27","4,435.32","1,183.60","909.80","2,093.39"
"2018","Arkansas","2,474.29","2,096.61","4,570.90","1,201.55","931.58","2,133.13"
"2019","Arkansas","2,457.50","2,197.40","4,654.91","1,185.24","947.24","2,132.48"
"2020","Arkansas","2,663.23","2,107.17","4,770.41","1,240.80","884.20","2,125.01"
"2021","Arkansas","2,908.03","2,587.90","5,495.93","1,309.86","1,045.50","2,355.36"
"2022","Arkansas","3,006.61","2,745.73","5,752.34","1,215.91","1,029.27","2,245.18"
"2023","Arkansas","3,032.05","2,896.36","5,928.41","1,163.99","1,013.64","2,177.63"
"1997","California","1,335.00","1,107.32","2,442.32","954.51","864.22","1,818.72"
"1998","California","1,334.82","1,155.00","2,489.82","925.94","877.97","1,803.92"
"1999","California","1,397.90","1,201.58","2,599.48","950.44","894.10","1,844.54"
"2000","California","1,411.29","1,272.65","2,683.95","940.32","926.27","1,866.59"
"2001","California","1,496.13","1,316.77","2,812.90","956.87","929.03","1,885.90"
"2002","California","1,551.96","1,370.35","2,922.31","974.37","935.96","1,910.33"
"2003","California","1,638.14","1,431.82","3,069.96","1,001.47","959.35","1,960.82"
"2004","California","1,689.97","1,523.58","3,213.55","996.01","990.37","1,986.38"
"2005","California","1,764.53","1,615.45","3,379.98","1,030.56","1,013.78","2,044.34"
"2006","California","1,829.14","1,731.93","3,561.06","1,055.59","1,055.90","2,111.49"
"2007","California","1,903.03","1,813.38","3,716.41","1,048.84","1,067.31","2,116.15"
"2008","California","1,932.51","1,833.70","3,766.21","1,003.20","1,039.72","2,042.92"
"2009","California","1,868.49","1,753.00","3,621.49","977.08","963.92","1,941.01"
"2010","California","1,883.20","1,796.40","3,679.59","990.72","976.33","1,967.05"
"2011","California","1,983.30","1,886.83","3,870.13","994.77","1,002.97","1,997.74"
"2012","California","2,036.75","1,981.05","4,017.80","1,003.47","1,021.79","2,025.27"
"2013","California","2,119.29","2,143.69","4,262.99","1,034.88","1,082.87","2,117.75"
"2014","California","2,218.34","2,360.98","4,579.32","1,053.82","1,163.88","2,217.70"
"2015","California","2,259.54","2,594.71","4,854.25","1,055.70","1,243.36","2,299.05"
"2016","California","2,305.12","2,786.28","5,091.40","1,089.50","1,292.73","2,382.23"
"2017","California","2,331.18","3,002.55","5,333.73","1,105.24","1,348.85","2,454.09"
"2018","California","2,436.13","3,215.67","5,651.80","1,149.97","1,397.00","2,546.97"
"2019","California","2,545.89","3,410.10","5,955.98","1,183.74","1,430.60","2,614.34"
"2020","California","2,812.25","2,849.40","5,661.64","1,257.44","1,143.02","2,400.46"
"2021","California","3,056.09","3,685.14","6,741.23","1,309.37","1,409.55","2,718.91"
"2022","California","3,426.16","4,497.57","7,923.74","1,317.65","1,603.48","2,921.14"
"2023","California","3,545.25","5,132.72","8,677.97","1,303.15","1,703.04","3,006.18"
"1997","Colorado","1,655.74","1,319.08","2,974.82","1,183.83","1,029.48","2,213.32"
"1998","Colorado","1,711.10","1,379.88","3,090.98","1,186.96","1,048.92","2,235.88"
"1999","Colorado","1,787.64","1,439.74","3,227.38","1,215.43","1,071.31","2,286.74"
"2000","Colorado","1,748.51","1,477.43","3,225.95","1,165.01","1,075.31","2,240.32"
"2001","Colorado","1,804.22","1,512.71","3,316.93","1,153.91","1,067.27","2,221.18"
"2002","Colorado","1,796.61","1,554.59","3,351.20","1,127.97","1,061.80","2,189.77"
"2003","Colorado","1,843.18","1,594.08","3,437.26","1,126.82","1,068.07","2,194.89"
"2004","Colorado","1,931.78","1,674.14","3,605.92","1,138.53","1,088.24","2,226.77"
"2005","Colorado","2,071.53","1,748.27","3,819.79","1,209.86","1,097.13","2,306.99"
"2006","Colorado","2,100.68","1,834.28","3,934.96","1,212.29","1,118.30","2,330.59"
"2007","Colorado","2,186.03","1,897.61","4,083.64","1,204.82","1,116.88","2,321.70"
"2008","Colorado","2,327.62","1,919.35","4,246.97","1,208.31","1,088.28","2,296.59"
"2009","Colorado","2,275.65","1,839.01","4,114.66","1,189.99","1,011.22","2,201.22"
"2010","Colorado","2,369.41","1,867.75","4,237.16","1,246.50","1,015.11","2,261.62"
"2011","Colorado","2,474.65","1,980.33","4,454.99","1,241.22","1,052.67","2,293.89"
"2012","Colorado","2,695.96","2,084.14","4,780.10","1,328.26","1,074.96","2,403.22"
"2013","Colorado","2,696.27","2,218.02","4,914.28","1,316.62","1,120.42","2,437.04"
"2014","Colorado","2,747.96","2,401.33","5,149.29","1,305.42","1,183.77","2,489.19"
"2015","Colorado","2,770.44","2,624.98","5,395.42","1,294.40","1,257.86","2,552.26"
"2016","Colorado","2,825.40","2,791.57","5,616.97","1,335.41","1,295.18","2,630.59"
"2017","Colorado","2,949.57","2,976.04","5,925.61","1,398.43","1,336.94","2,735.37"
"2018","Colorado","2,990.58","3,111.69","6,102.27","1,411.70","1,351.83","2,763.53"
"2019","Colorado","3,099.33","3,249.06","6,348.40","1,441.07","1,363.04","2,804.12"
"2020","Colorado","3,387.52","2,878.36","6,265.89","1,514.67","1,154.64","2,669.31"
"2021","Colorado","3,567.35","3,709.87","7,277.22","1,528.41","1,419.01","2,947.42"
"2022","Colorado","4,039.95","4,267.25","8,307.20","1,553.71","1,521.37","3,075.08"
"2023","Colorado","4,034.12","4,640.86","8,674.99","1,482.84","1,539.84","3,022.68"
"1997","Connecticut","1,615.39","1,043.39","2,658.78","1,192.50","826.35","2,018.85"
"1998","Connecticut","1,652.42","1,085.11","2,737.53","1,201.94","838.37","2,040.32"
"1999","Connecticut","1,744.81","1,153.34","2,898.14","1,242.56","866.20","2,108.76"
"2000","Connecticut","1,701.86","1,192.50","2,894.36","1,192.71","876.86","2,069.56"
"2001","Connecticut","1,775.45","1,222.20","2,997.65","1,205.93","872.80","2,078.73"
"2002","Connecticut","1,813.18","1,295.29","3,108.48","1,218.34","902.56","2,120.91"
"2003","Connecticut","1,793.84","1,360.77","3,154.61","1,178.72","928.73","2,107.46"
"2004","Connecticut","1,870.95","1,440.19","3,311.14","1,177.38","957.10","2,134.48"
"2005","Connecticut","1,900.37","1,512.10","3,412.47","1,165.09","977.14","2,142.23"
"2006","Connecticut","1,969.77","1,612.65","3,582.42","1,180.87","1,005.62","2,186.49"
"2007","Connecticut","2,041.17","1,704.55","3,745.71","1,177.70","1,019.89","2,197.59"
"2008","Connecticut","2,061.12","1,744.90","3,806.02","1,119.82","999.16","2,118.98"
"2009","Connecticut","1,983.57","1,702.92","3,686.49","1,067.15","943.00","2,010.15"
"2010","Connecticut","2,034.47","1,720.27","3,754.74","1,084.28","937.98","2,022.26"
"2011","Connecticut","2,140.08","1,818.09","3,958.17","1,093.52","967.58","2,061.09"
"2012","Connecticut","2,204.67","1,933.42","4,138.09","1,096.47","1,002.07","2,098.54"
"2013","Connecticut","2,219.06","2,031.80","4,250.86","1,094.49","1,035.61","2,130.10"
"2014","Connecticut","2,279.11","2,167.12","4,446.23","1,105.24","1,080.78","2,186.01"
"2015","Connecticut","2,256.44","2,295.83","4,552.27","1,079.35","1,118.95","2,198.29"
"2016","Connecticut","2,253.04","2,414.66","4,667.70","1,092.33","1,146.34","2,238.67"
"2017","Connecticut","2,271.30","2,560.65","4,831.96","1,099.48","1,187.70","2,287.19"
"2018","Connecticut","2,329.89","2,723.13","5,053.01","1,114.11","1,229.11","2,343.22"
"2019","Connecticut","2,378.88","2,817.90","5,196.78","1,128.50","1,236.44","2,364.93"
"2020","Connecticut","2,476.55","2,327.09","4,803.65","1,135.91","985.44","2,121.35"
"2021","Connecticut","2,624.93","3,034.38","5,659.31","1,176.34","1,226.53","2,402.87"
"2022","Connecticut","2,912.19","3,543.77","6,455.97","1,185.12","1,340.15","2,525.26"
"2023","Connecticut","2,911.45","3,836.77","6,748.22","1,130.75","1,357.71","2,488.46"
"1997","Delaware","1,397.62","1,206.32","2,603.95","1,039.44","926.31","1,965.75"
"1998","Delaware","1,432.00","1,256.21","2,688.20","1,049.46","939.85","1,989.32"
"1999","Delaware","1,561.36","1,292.64","2,854.00","1,126.40","944.03","2,070.43"
"2000","Delaware","1,588.06","1,340.17","2,928.23","1,115.70","957.04","2,072.74"
"2001","Delaware","1,639.13","1,387.91","3,027.04","1,119.57","965.23","2,084.80"
"2002","Delaware","1,637.22","1,442.23","3,079.44","1,103.90","980.71","2,084.62"
"2003","Delaware","1,721.08","1,513.51","3,234.59","1,135.91","1,005.17","2,141.09"
"2004","Delaware","1,852.67","1,636.86","3,489.52","1,176.38","1,054.48","2,230.86"
"2005","Delaware","1,948.52","1,703.76","3,652.28","1,212.58","1,066.70","2,279.28"
"2006","Delaware","2,062.67","1,764.62","3,827.29","1,259.19","1,071.91","2,331.09"
"2007","Delaware","2,154.60","1,820.71","3,975.31","1,262.36","1,069.45","2,331.81"
"2008","Delaware","2,199.74","1,840.06","4,039.80","1,207.61","1,033.25","2,240.87"
"2009","Delaware","2,099.04","1,804.72","3,903.76","1,143.62","977.91","2,121.53"
"2010","Delaware","2,092.34","1,842.24","3,934.58","1,133.30","985.67","2,118.98"
"2011","Delaware","2,154.94","1,904.98","4,059.92","1,110.37","997.07","2,107.44"
"2012","Delaware","2,296.90","1,960.91","4,257.81","1,152.38","998.86","2,151.24"
"2013","Delaware","2,309.93","2,062.92","4,372.85","1,145.31","1,027.24","2,172.55"
"2014","Delaware","2,289.77","2,178.52","4,468.29","1,108.31","1,059.84","2,168.15"
"2015","Delaware","2,160.08","2,345.73","4,505.82","1,034.85","1,107.40","2,142.25"
"2016","Delaware","2,090.26","2,450.85","4,541.11","1,015.83","1,134.35","2,150.18"
"2017","Delaware","2,257.94","2,571.15","4,829.09","1,099.77","1,166.54","2,266.31"
"2018","Delaware","2,300.25","2,705.99","5,006.24","1,117.04","1,202.34","2,319.38"
"2019","Delaware","2,292.20","2,821.56","5,113.76","1,105.52","1,216.30","2,321.82"
"2020","Delaware","2,408.42","2,374.36","4,782.78","1,122.08","996.32","2,118.40"
"2021","Delaware","2,617.78","3,059.78","5,677.55","1,179.12","1,236.13","2,415.25"
"2022","Delaware","2,934.13","3,434.90","6,369.04","1,186.60","1,287.62","2,474.22"
"2023","Delaware","2,976.79","3,717.45","6,694.23","1,142.78","1,300.99","2,443.77"
"1997","District of Columbia","1,169.88","3,238.66","4,408.54","870.07","2,486.90","3,356.97"
"1998","District of Columbia","1,148.94","3,284.64","4,433.58","842.02","2,457.46","3,299.48"
"1999","District of Columbia","1,151.88","3,352.08","4,503.96","830.99","2,448.06","3,279.05"
"2000","District of Columbia","1,047.98","3,489.20","4,537.19","736.27","2,491.70","3,227.97"
"2001","District of Columbia","1,073.09","3,351.79","4,424.89","732.95","2,331.02","3,063.97"
"2002","District of Columbia","1,074.22","3,342.82","4,417.04","724.30","2,273.12","2,997.42"
"2003","District of Columbia","1,185.53","3,620.15","4,805.69","782.45","2,404.27","3,186.72"
"2004","District of Columbia","1,249.92","3,947.90","5,197.82","793.66","2,543.28","3,336.93"
"2005","District of Columbia","1,193.92","4,356.90","5,550.82","742.98","2,727.80","3,470.78"
"2006","District of Columbia","1,277.34","4,618.38","5,895.72","779.77","2,805.41","3,585.18"
"2007","District of Columbia","1,346.12","4,920.32","6,266.44","788.68","2,890.10","3,678.78"
"2008","District of Columbia","1,433.19","5,085.80","6,518.99","786.79","2,855.84","3,642.64"
"2009","District of Columbia","1,400.78","4,975.49","6,376.27","763.19","2,696.03","3,459.22"
"2010","District of Columbia","1,448.55","5,026.20","6,474.76","784.60","2,689.23","3,473.83"
"2011","District of Columbia","1,492.28","5,226.14","6,718.42","768.92","2,735.37","3,504.29"
"2012","District of Columbia","1,481.46","5,504.05","6,985.51","743.27","2,803.68","3,546.95"
"2013","District of Columbia","1,529.85","5,530.49","7,060.34","758.53","2,753.93","3,512.46"
"2014","District of Columbia","1,744.77","5,790.19","7,534.96","844.51","2,816.90","3,661.42"
"2015","District of Columbia","1,828.80","6,241.88","8,070.68","876.14","2,946.73","3,822.87"
"2016","District of Columbia","1,858.98","6,412.81","8,271.79","903.43","2,968.10","3,871.53"
"2017","District of Columbia","1,959.09","6,674.23","8,633.33","954.21","3,028.12","3,982.33"
"2018","District of Columbia","2,001.12","6,950.70","8,951.82","971.77","3,088.38","4,060.16"
"2019","District of Columbia","2,047.03","7,277.11","9,324.14","987.27","3,136.97","4,124.25"
"2020","District of Columbia","2,211.80","4,904.17","7,115.96","1,030.48","2,057.87","3,088.35"
"2021","District of Columbia","2,418.32","6,247.22","8,665.54","1,089.28","2,523.84","3,613.12"
"2022","District of Columbia","3,133.43","8,665.89","11,799.32","1,267.19","3,248.53","4,515.72"
"2023","District of Columbia","3,317.69","10,643.99","13,961.68","1,273.65","3,725.06","4,998.71"
"1997","Florida","1,511.12","1,198.67","2,709.79","1,123.85","920.44","2,044.29"
"1998","Florida","1,558.88","1,248.71","2,807.59","1,142.46","934.24","2,076.70"
"1999","Florida","1,641.73","1,295.37","2,937.10","1,184.38","946.03","2,130.41"
"2000","Florida","1,614.59","1,308.67","2,923.26","1,134.34","934.55","2,068.89"
"2001","Florida","1,656.91","1,360.12","3,017.03","1,131.71","945.90","2,077.62"
"2002","Florida","1,621.08","1,399.96","3,021.04","1,093.02","951.97","2,044.99"
"2003","Florida","1,663.34","1,454.97","3,118.31","1,097.80","966.30","2,064.10"
"2004","Florida","1,777.84","1,571.71","3,349.54","1,128.86","1,012.51","2,141.37"
"2005","Florida","1,834.87","1,656.99","3,491.87","1,141.85","1,037.42","2,179.27"
"2006","Florida","1,930.46","1,733.21","3,663.67","1,178.48","1,052.83","2,231.31"
"2007","Florida","2,009.45","1,809.87","3,819.32","1,177.32","1,063.08","2,240.41"
"2008","Florida","2,067.51","1,849.58","3,917.09","1,135.02","1,038.60","2,173.62"
"2009","Florida","1,977.61","1,782.33","3,759.94","1,077.47","965.77","2,043.24"
"2010","Florida","2,020.27","1,828.85","3,849.12","1,094.27","978.51","2,072.78"
"2011","Florida","2,127.75","1,953.48","4,081.23","1,096.36","1,022.46","2,118.82"
"2012","Florida","2,230.67","2,083.24","4,313.91","1,119.16","1,061.17","2,180.33"
"2013","Florida","2,250.26","2,209.31","4,459.56","1,115.72","1,100.13","2,215.86"
"2014","Florida","2,327.80","2,384.50","4,712.29","1,126.71","1,160.05","2,286.76"
"2015","Florida","2,351.92","2,589.12","4,941.04","1,126.76","1,222.30","2,349.06"
"2016","Florida","2,352.72","2,720.46","5,073.18","1,143.38","1,259.13","2,402.52"
"2017","Florida","2,401.68","2,854.48","5,256.16","1,169.78","1,295.09","2,464.86"
"2018","Florida","2,478.40","2,981.81","5,460.21","1,203.55","1,324.90","2,528.44"
"2019","Florida","2,568.88","3,131.92","5,700.81","1,238.96","1,350.09","2,589.05"
"2020","Florida","2,755.43","2,740.69","5,496.12","1,283.76","1,150.04","2,433.80"
"2021","Florida","2,947.18","3,519.08","6,466.26","1,327.50","1,421.69","2,749.18"
"2022","Florida","3,284.31","3,943.24","7,227.55","1,328.21","1,478.18","2,806.39"
"2023","Florida","3,360.49","4,229.24","7,589.73","1,290.08","1,480.10","2,770.18"
"1997","Georgia","1,385.40","1,125.78","2,511.18","1,030.35","864.46","1,894.81"
"1998","Georgia","1,378.08","1,178.26","2,556.34","1,009.95","881.53","1,891.48"
"1999","Georgia","1,420.66","1,243.22","2,663.88","1,024.90","907.94","1,932.84"
"2000","Georgia","1,420.35","1,279.20","2,699.55","997.87","913.50","1,911.37"
"2001","Georgia","1,407.67","1,298.82","2,706.50","961.48","903.27","1,864.75"
"2002","Georgia","1,361.96","1,355.32","2,717.28","918.31","921.62","1,839.93"
"2003","Georgia","1,411.80","1,413.78","2,825.58","931.79","938.94","1,870.73"
"2004","Georgia","1,471.28","1,483.34","2,954.62","934.21","955.58","1,889.79"
"2005","Georgia","1,662.42","1,537.90","3,200.33","1,034.54","962.86","1,997.40"
"2006","Georgia","1,737.25","1,584.85","3,322.10","1,060.53","962.71","2,023.24"
"2007","Georgia","1,812.59","1,628.22","3,440.81","1,061.98","956.39","2,018.37"
"2008","Georgia","1,869.62","1,636.32","3,505.94","1,026.38","918.85","1,945.23"
"2009","Georgia","1,811.41","1,580.34","3,391.75","986.91","856.33","1,843.24"
"2010","Georgia","1,860.20","1,590.55","3,450.76","1,007.57","851.01","1,858.58"
"2011","Georgia","1,996.35","1,677.73","3,674.08","1,028.66","878.13","1,906.78"
"2012","Georgia","2,113.00","1,760.64","3,873.64","1,060.12","896.84","1,956.96"
"2013","Georgia","2,189.15","1,887.46","4,076.61","1,085.42","939.87","2,025.29"
"2014","Georgia","2,288.48","2,044.99","4,333.47","1,107.68","994.88","2,102.56"
"2015","Georgia","2,300.66","2,226.90","4,527.56","1,102.20","1,051.29","2,153.50"
"2016","Georgia","2,323.94","2,369.44","4,693.38","1,129.40","1,096.67","2,226.06"
"2017","Georgia","2,436.94","2,521.41","4,958.36","1,186.95","1,143.97","2,330.93"
"2018","Georgia","2,496.03","2,632.73","5,128.76","1,212.11","1,169.79","2,381.90"
"2019","Georgia","2,562.04","2,757.03","5,319.07","1,235.66","1,188.48","2,424.14"
"2020","Georgia","2,746.61","2,489.47","5,236.07","1,279.64","1,044.62","2,324.27"
"2021","Georgia","2,933.46","3,041.07","5,974.53","1,321.32","1,228.57","2,549.89"
"2022","Georgia","3,124.40","3,361.55","6,485.96","1,263.54","1,260.12","2,523.67"
"2023","Georgia","3,183.31","3,592.95","6,776.26","1,222.06","1,257.42","2,479.48"
"1997","Hawaii","1,616.15","2,070.06","3,686.22","1,155.53","1,615.59","2,771.12"
"1998","Hawaii","1,596.20","2,124.67","3,720.86","1,107.25","1,615.07","2,722.32"
"1999","Hawaii","1,632.36","2,208.21","3,840.56","1,109.85","1,643.13","2,752.98"
"2000","Hawaii","1,639.89","2,340.24","3,980.13","1,092.63","1,703.29","2,795.92"
"2001","Hawaii","1,719.76","2,329.65","4,049.41","1,099.89","1,643.65","2,743.54"
"2002","Hawaii","1,767.07","2,331.44","4,098.51","1,109.42","1,592.39","2,701.82"
"2003","Hawaii","1,783.49","2,453.66","4,237.16","1,090.33","1,644.01","2,734.34"
"2004","Hawaii","1,859.17","2,632.32","4,491.50","1,095.74","1,711.08","2,806.82"
"2005","Hawaii","1,924.49","2,745.68","4,670.17","1,123.99","1,723.06","2,847.05"
"2006","Hawaii","1,947.28","2,866.30","4,813.58","1,123.77","1,747.49","2,871.26"
