"Table 20. Inflation-adjusted median hourly earnings, by age, for wage and salary workers paid hourly rates, 1979–2016 annual averages (in constant 2016 dollars)","","","","","","","","","",""
"","","","","","","","","","",""
"Year","Total, 16 years and older","16 to 24 years","","","25 years and older","","","","",""
"1997","13.06","9.18","8.22","10.31","14.73","13.49","15.46","15.82","14.52","10.28"
"1998","13.4","9.69","8.66","10.66","14.92","14.21","15.99","16.14","14.85","10.9"
"1999","13.73","9.9","8.76","11.15","15.09","14.38","15.88","16.33","14.96","11.1"
"2000","13.82","10.1","8.94","11.26","15.17","14.2","15.83","16.49","15.09","11.23"
"2001","13.81","10.42","9.16","11.36","15.45","14.46","16.22","16.49","15.41","11.56"
"2002","13.98","10.43","9.23","11.31","15.79","14.66","16.26","16.64","15.82","12.11"
"2003","14.16","10.31","9.05","11.31","15.73","14.69","16.27","16.93","15.91","12"
"2004","13.98","10.14","8.89","11.16","15.54","14.45","16.38","16.81","15.98","12.22"
"2005","13.75","9.91","8.66","10.95","15.33","14.45","16.11","16.56","15.91","12.2"
"2006","14","9.81","8.61","10.9","15.4","14.23","16.06","16.7","15.87","12.08"
"2007","13.83","10.01","8.76","11.18","15.23","13.95","16.12","16.66","15.87","12"
"2008","13.63","9.89","8.74","10.88","15.4","13.94","16.03","16.58","15.83","12.14"
"2009","13.91","9.96","8.86","10.93","15.56","14.09","16.32","16.61","16.44","12.85"
"2010","13.77","9.8","8.81","10.5","15.4","13.8","16.09","16.5","16.4","12.72"
"Women","","","","","","","","","",""
"1979","11.17","9.85","9.35","10.86","12.04","12.47","12.25","11.85","11.57","9.63"
"1980","10.97","9.58","8.72","10.53","11.78","12.33","11.92","11.75","11.33","9.39"
"1981","10.86","9.42","8.93","10.38","11.9","12.41","12.11","11.65","11.24","9.42"
"1982","11.03","9.04","8.49","10.02","12.01","12.42","12.15","11.84","11.48","9.4"
"1983","11.01","8.76","8.14","9.77","12","12.48","12.18","11.9","11.63","9.54"
"1984","10.95","8.66","7.91","9.6","12.07","12.33","12.36","12.14","11.61","9.63"
"1985","10.91","8.53","7.68","9.7","12.19","12.32","12.57","12.26","11.62","9.43"
"1986","11.15","8.6","7.64","9.85","12.45","12.45","12.82","12.53","12.03","9.9"
"1987","11.31","8.53","7.49","9.88","12.44","12.4","12.83","12.69","12.18","9.8"
"1988","11.41","8.75","7.64","9.86","12.58","12.42","13.2","12.87","11.88","10"
"1989","11.42","8.77","7.66","9.78","12.67","12.49","13.27","12.9","11.93","9.61"
"1990","11.48","8.82","7.75","9.93","12.6","12.5","13.14","12.76","12","9.71"
"1991","11.6","8.73","7.97","9.81","12.61","12.35","13.28","13.08","11.94","9.9"
"1992","11.68","8.66","7.87","9.68","12.84","12.5","13.41","13.32","12.08","10.02"
"1993","11.65","8.63","7.74","9.75","12.88","12.45","13.36","13.39","12.37","10.11"
"1994","11.62","8.53","7.74","9.58","12.9","12.47","13.53","13.56","12.53","10"
"1995","11.67","8.59","7.73","9.53","12.79","12.39","13.51","13.65","12.41","10.09"
"1996","11.78","8.66","7.76","9.54","12.85","12.29","13.55","13.63","12.3","9.83"
"1997","11.85","8.88","8.09","9.78","13.06","12.24","13.64","13.82","12.4","10.19"
"1998","12.12","9.19","8.51","10.21","13.45","12.96","14.23","14.4","13.03","10.62"
"1999","12.45","9.51","8.62","10.4","13.73","13.11","14.16","14.34","13.44","10.81"
"2000","12.64","9.76","8.69","10.88","13.79","13.51","13.99","14.2","13.72","10.98"
"2001","13.06","9.82","8.96","10.84","13.82","13.47","14.15","14.7","14.08","11.03"
"2002","13.2","9.95","9.08","10.83","14.3","13.51","14.66","14.93","14.43","11.66"
"2003","13.16","9.91","8.94","10.69","14.37","13.72","14.58","15.39","14.43","11.54"
"2004","12.92","9.8","8.72","10.57","14.27","13.49","14.55","15.18","14.7","11.64"
"2005","12.67","9.58","8.5","10.44","14.23","13.34","14.55","14.9","14.57","12.06"
"2006","12.68","9.51","8.46","10.5","14.13","13.18","14.35","14.6","14.43","11.87"
"2007","12.71","9.43","8.58","10.42","13.95","12.97","14.31","14.87","14.16","11.75"
"2008","12.81","9.4","8.6","10.21","13.91","13.07","14.37","14.67","14.49","11.74"
"2009","13.15","9.6","8.75","10.28","14.27","13.38","14.54","14.64","15.2","12.43"
"2010","13.03","9.49","8.71","10","14.19","13.26","14.45","14.87","15.07","12.31"
"Men","","","","","","","","","",""
"1979","17.44","12.04","9.85","14.32","20.65","19.69","21.98","21.91","20.34","10.99"
"1980","16.94","11.39","9.36","13.67","20.06","19.25","21.69","21.61","20.11","10.53"
"1981","16.68","10.94","9.24","12.97","19.75","18.6","21.07","21.55","20","10.69"
"1982","16.39","10.48","8.76","12.25","19.33","18.35","21.27","21.24","19.47","10.67"
"1983","15.87","10.05","8.42","11.58","19.06","17.75","21.15","21.01","20.05","10.89"
"1984","15.68","10.07","8.19","11.37","18.94","17.36","20.95","21.34","19.52","10.81"
"1985","15.6","9.96","7.98","11.13","18.83","17.02","20.85","21.21","19.23","10.62"
"1986","15.88","10.02","7.99","11.36","18.87","16.8","20.9","21.23","19.96","10.84"
"1987","15.7","9.92","7.98","11.47","18.51","16.69","20.4","20.69","19.64","10.75"
"1988","15.45","9.82","8.09","11.31","18.32","16.43","19.96","20.88","19.02","10.78"
"1989","15.14","9.66","8.21","11.25","18.15","16","19.79","20.34","18.69","11.03"
"1990","14.74","9.7","8.27","11.02","17.54","15.74","19.13","19.84","18.13","10.84"
"1991","14.76","9.59","8.14","10.7","17.15","15.36","18.87","20.12","17.32","10.69"
"1992","14.55","9.48","8.05","10.47","16.88","15.13","18.34","20.17","17.43","10.82"
"1993","14.5","9.41","7.97","10.36","16.66","14.89","18.27","19.89","17.94","10.98"
"1994","14.42","9.42","7.98","10.51","16.49","14.58","18.43","19.39","17.72","10.64"
"1995","14.44","9.45","8.04","10.67","16.79","14.8","18.61","19.28","17.39","10.72"
"1996","14.51","9.41","8","10.66","16.43","14.79","18.16","18.9","17","10.73"
"1997","14.67","9.63","8.37","10.72","16.57","14.81","18.01","19.1","17.6","10.39"
"1998","14.82","10.18","8.81","11.46","17.26","15.05","18.38","19.2","18","11.4"
"1999","14.86","10.26","8.9","11.57","17.29","15.62","18.41","19.71","17.59","11.33"
"2000","15.08","10.64","9.26","11.7","17.07","15.3","18.33","19.39","17.87","11.59"
"2001","15.34","10.85","9.35","12.09","17.45","15.69","18.86","19.31","17.55","12.2"
"2002","15.54","10.75","9.37","11.86","17.42","15.87","18.64","19.23","17.86","13.06"
"2003","15.52","10.63","9.16","11.75","17.3","15.68","18.45","19.49","18.39","12.78"
"2004","15.27","10.43","9.09","11.52","17.46","15.29","18.55","19.2","18.48","12.58"
"2005","14.94","10.34","8.86","11.3","17.09","14.95","18.28","18.59","18.17","12.33"
"2006","15.1","10.46","8.85","11.61","16.99","15.04","17.93","19.1","17.9","12.76"
"2007","14.99","10.57","8.99","11.53","17.07","14.85","17.56","18.69","17.88","12.74"
"2008","15.01","10.3","8.9","11.15","16.76","15.02","17.86","18.75","17.73","12.82"
"2009","15.39","10.31","9","11.17","16.86","14.77","18.01","19","18","13.42"
"2010","15.15","10.14","8.91","10.9","16.56","14.43","17.43","18.6","18.12","13.13"
"","","","","","","","","","",""
"Note: The comparability of historical labor force data has been affected at various times by methodological and other changes in the Current Population Survey (CPS). Information about historical comparability is online at www.bls.gov/cps/documentation.htm#comp. The Consumer Price Index research series using current methods (CPI-U-RS) is used to convert current dollars to constant (inflation-adjusted) dollars. See the technical notes section.
Source: U.S. Bureau of Labor Statistics.","","","","","","","","","",""
