"WP ID","Teaching Group","Condition","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","TOTAL"
"137","1","Trad","2","0","1","1","4","0","1","0","1","2","2","1","3","1","0","1","1","3","0","-1","1","1","1","1","27"
"138","1","Trad","1","2","1","3","4","3","3","3","0","2","4","1","2","2","1","3","2","4","2","-1","2","2","3","2","51"
"140","3","Trad","2","2","2","3","3","3","1","0","1","1","1","1","1","-1","1","3","1","1","1","1","1","1","3","1","34"
"141","3","Trad","0","2","1","1","4","0","1","1","1","2","0","0","2","2","2","2","1","0","-1","2","0","2","1","1","27"
"142","3","Trad","2","3","0","3","2","0","2","0","0","2","3","2","3","2","2","2","2","0","2","2","0","2","2","2","40"
"143","3","Trad","1","3","2","3","0","0","0","0","0","0","0","0","1","0","-1","0","0","0","-1","0","0","0","0","0","8"
"144","3","Trad","1","-1","0","0","4","0","-1","2","-2","3","0","-1","3","-3","2","-1","2","1","-2","0","0","0","2","2","11"
"145","3","Trad","-1","0","1","3","4","2","1","3","2","-1","0","4","3","1","4","2","3","3","3","4","0","1","3","-1","44"
"146","3","Trad","0","0","0","0","0","0","0","0","-1","0","-1","0","0","0","0","0","0","0","0","0","0","0","0","0","-2"
"147","3","Trad","0","1","3","3","4","2","1","0","1","2","1","4","2","1","1","4","2","3","1","1","0","3","2","1","43"
"148","5","Trad","1","3","3","3","4","2","2","1","-2","4","1","1","-1","2","2","1","3","2","3","3","2","2","3","1","46"
"149","5","Trad","0","2","2","2","4","3","1","3","2","3","0","0","4","3","1","-1","3","4","4","-1","1","1","4","4","49"
"150","5","Trad","0","0","2","3","3","1","2","1","-1","3","1","1","2","0","-1","0","1","1","1","1","2","-1","2","3","27"
"151","5","Trad","0","1","1","0","4","1","1","0","0","0","2","0","1","0","0","0","1","0","2","0","0","2","0","0","16"
"152","5","Trad","2","3","1","2","4","-1","1","2","-1","2","1","1","1","1","2","4","2","3","2","-1","1","1","2","3","38"
"154","5","Trad","-1","3","2","2","4","2","3","3","-2","3","2","2","3","1","2","3","2","4","3","3","0","4","3","1","52"
"","","AVG","0.80555555555556","1.7222222222222","1.25","1.8611111111111","3.0833333333333","0.91666666666667","1.5555555555556","1.3055555555556","0.47222222222222","1.7777777777778","1.6388888888889","1.3611111111111","1.7222222222222","0.91666666666667","1.3888888888889","1.3611111111111","1.75","1.6944444444444","1.4722222222222","0.83333333333333","0.63888888888889","1.3888888888889","1.6666666666667","1.2222222222222",""
"","","CAI","0.8","2.1333333333333","1.2","1.8","2.9333333333333","0.8","1.7333333333333","1.2","1","1.8666666666667","2.2666666666667","1.7333333333333","1.5333333333333","1","1.3333333333333","1.2","1.7333333333333","1.5333333333333","1.4666666666667","1.1333333333333","0.6","1.3333333333333","1.6","1.2666666666667",""
"","","Trad","0.80952380952381","1.4285714285714","1.2857142857143","1.9047619047619","3.1904761904762","1","1.4285714285714","1.3809523809524","0.095238095238095","1.7142857142857","1.1904761904762","1.0952380952381","1.8571428571429","0.85714285714286","1.4285714285714","1.4761904761905","1.7619047619048","1.8095238095238","1.4761904761905","0.61904761904762","0.66666666666667","1.4285714285714","1.7142857142857","1.1904761904762",""
