"Activity","Average hours per day","","","","","","Differences in married mothers' and fathers' time use on an average day (hours) 2","","","","",""
"","Both spouses work full time","","Mother employed part time and father employed full time","","Mother not employed and father employed full time","","Both spouses work full time","Mother employed part time and father employed full time","Mother not employed and father employed full time","","",""
"  Household activities","1.22","1.81","2.30","1.15","3.33","1.04","0.59","1.15","2.29","","",""
"      Housework","0.27","0.75","1.00","0.25","1.47","0.21","0.48","0.75","1.26","","",""
"      Food preparation and cleanup","0.39","0.78","0.97","0.30","1.45","0.29","0.40","0.66","1.16","","",""
"      Lawn and garden care","0.16","0.05","0.08","0.21","0.11","0.15","-0.11","-0.13","-0.04","","",""
"  Purchasing goods and services","0.37","0.52","0.60","0.30","0.64","0.40","0.15","0.30","0.25","","",""
"      Grocery shopping","0.07","0.13","0.14","0.07","0.16","0.08","0.06","0.06","0.08","","",""
"      Consumer goods purchases, except grocery shopping","0.24","0.32","0.35","0.19","0.39","0.24","0.07","0.16","0.15","","",""
"  Caring for and helping household members","1.35","2.05","2.84","1.47","3.35","1.11","0.70","1.37","2.24","","",""
"      Caring for and helping household children","1.33","2.04","2.81","1.46","3.33","1.09","0.71","1.35","2.24","","",""
"           Physical care","0.51","1.06","1.32","0.59","1.48","0.37","0.54","0.73","1.12","","",""
"           Education-related activities","0.08","0.09","0.11","0.04","0.20","0.03","0.01","0.08","0.17","","",""
"           Reading to/with children","0.05","0.08","0.11","0.06","0.12","0.05","0.03","0.05","0.07","","",""
"           Playing/doing hobbies with children","0.46","0.47","0.75","0.57","0.97","0.50","0.02","0.18","0.48","","",""
"  Working and work-related activities 3","5.93","5.05","2.53","6.20","0.05","6.11","-0.88","-3.67","-6.06","","",""
"      Working 3","5.88","5.02","2.48","6.16","~0","6.07","-0.86","-3.68","-6.06","","",""
"  Leisure and sports","3.51","2.62","3.35","3.36","3.89","3.50","-0.89","-0.01","0.38","","",""
"      Socializing and communicating","0.58","0.60","0.82","0.63","0.89","0.60","0.02","0.19","0.29","","",""
"      Watching television","1.98","1.34","1.58","1.72","2.07","2.01","-0.65","-0.14","0.05","","",""
"      Participating in sports, exercise, and recreation","0.31","0.19","0.23","0.30","0.22","0.24","-0.13","-0.08","-0.02","","",""
"  Travel  ","1.37","1.33","1.21","1.35","1.05","1.35","-0.04","-0.14","-0.29","","",""
"Travel related to caring for and helping household children","0.17","0.29","0.28","0.13","0.29","0.08","0.12","0.15","0.21","","",""
"  Other activities, not elsewhere classified","1.63","1.62","2.01","1.74","2.24","1.78","-0.01","0.26","0.46","","",""
"","","","","","","","","","","","",""
"Own household children 6-17, none younger","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Total, all activities ","24.00","24.00","24.00","24.00","24.00","24.00","0.00","0.00","0.00","","",""
"  Personal care activities","8.56","8.92","9.15","8.60","9.41","8.78","0.36","0.55","0.63","","",""
"      Sleeping","7.91","8.05","8.38","7.99","8.67","8.14","0.14","0.38","0.53","","",""
"  Household activities","1.42","2.06","2.87","1.27","3.78","1.11","0.64","1.61","2.67","","",""
"      Housework","0.25","0.87","1.24","0.19","1.72","0.19","0.62","1.05","1.52","","",""
"      Food preparation and cleanup","0.35","0.80","1.03","0.29","1.46","0.26","0.45","0.74","1.20","","",""
"      Lawn and garden care","0.29","0.08","0.13","0.26","0.18","0.23","-0.21","-0.13","-0.05","","",""
"  Purchasing goods and services","0.32","0.57","0.66","0.36","0.83","0.34","0.25","0.30","0.49","","",""
"      Grocery shopping","0.06","0.12","0.16","0.06","0.23","0.08","0.07","0.11","0.14","","",""
"      Consumer goods purchases, except grocery shopping","0.21","0.35","0.40","0.25","0.45","0.22","0.15","0.15","0.23","","",""
"  Caring for and helping household members","0.54","0.73","1.16","0.51","1.55","0.48","0.18","0.65","1.07","","",""
"      Caring for and helping household children","0.52","0.72","1.14","0.49","1.53","0.44","0.20","0.64","1.08","","",""
"           Physical care","0.10","0.20","0.30","0.13","0.37","0.08","0.10","0.18","0.29","","",""
"           Education-related activities","0.09","0.12","0.22","0.07","0.35","0.07","0.03","0.16","0.28","","",""
"           Reading to/with children","0.01","0.02","0.03","0.01","0.04","0.01","0.01","0.02","0.03","","",""
"           Playing/doing hobbies with children","0.09","0.04","0.07","0.09","0.13","0.10","-0.05","-0.02","0.03","","",""
"  Working and work-related activities 3","6.17","5.43","2.98","5.96","0.12","6.32","-0.74","-2.98","-6.20","","",""
"      Working 3","6.14","5.40","2.92","5.91","0.04","6.27","-0.74","-3.00","-6.23","","",""
"  Leisure and sports","3.81","3.12","3.54","3.82","4.39","3.62","-0.69","-0.29","0.78","","",""
"      Socializing and communicating","0.51","0.59","0.74","0.54","0.83","0.47","0.08","0.20","0.36","","",""
"      Watching television","2.27","1.66","1.72","2.03","2.23","2.11","-0.60","-0.31","0.12","","",""
"      Participating in sports, exercise, and recreation","0.32","0.18","0.25","0.38","0.27","0.30","-0.14","-0.13","-0.03","","",""
"  Travel  ","1.43","1.36","1.50","1.58","1.30","1.48","-0.07","-0.08","-0.18","","",""
"Travel related to caring for and helping household children","0.15","0.19","0.29","0.12","0.33","0.10","0.05","0.17","0.23","","",""
"  Other activities, not elsewhere classified","1.75","1.81","2.14","1.90","2.62","1.87","0.06","0.24","0.75","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
