"Table 3 Scientific procedures by species of animal, primary purpose and genetic status ","","","","",""
"","","","","",""
"","","","","",""
"","Other  uses","  1,377 ","0","0","  1,377 "
"","Breeding of GM or HM","  61 ","  196 ","  345 ","  602 "
"","Total","  148,215 ","  478 ","  351 ","  149,044 "
"Turkey","Fundamental biological research","  448 ","-","-","  448 "
"","Applied studies ","  1,887 ","-","-","  1,887 "
"","Safety","  25 ","-","-","  25 "
"","Other  uses","  186 ","-","-","  186 "
"","Breeding of GM or HM","-","-","-","0"
"","Total","  2,546 ","0","0","  2,546 "
"Quail (Coturnix coturnix)","Fundamental biological research","-","-","-","0"
"","Applied studies ","-","-","-","0"
"","Safety","-","-","-","0"
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","0","0","0","0"
"Quail (spp. other than","Fundamental biological research","  426 ","-","-","  426 "
"","Applied studies ","-","-","-","0"
"  Coturnix coturnix)","Safety","  359 ","-","-","  359 "
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  785 ","0","0","  785 "
"Other bird","Fundamental biological research","  7,756 ","-","-","  7,756 "
"","Applied studies ","-","-","-","0"
"","Safety","  562 ","-","-","  562 "
"","Other  uses","  465 ","-","-","  465 "
"","Breeding of GM or HM","-","-","-","0"
"","Total","  8,783 ","0","0","  8,783 "
"Reptile","Fundamental biological research","  860 ","-","-","  860 "
"","Applied studies ","  29 ","-","-","  29 "
"","Safety","-","-","-","0"
"","Other  uses","-","-","-","0"
"","Breeding of GM or HM","-","-","-","0"
"","Total","  889 ","0","0","  889 "
"Amphibian","Fundamental biological research","  11,563 ","  78 ","  226 ","  11,867 "
"","Applied studies ","0","0","0","0"
"","Safety","  419 ","0","0","  419 "
"","Other  uses","0","0","0","0"
"","Breeding of GM or HM","  20 ","  2,792 ","  817 ","  3,629 "
"","Total","  12,002 ","  2,870 ","  1,043 ","  15,915 "
"Fish","Fundamental biological research","  319,562 ","  2,461 ","  20,419 ","  342,442 "
"","Applied studies ","  21,666 ","0","  40 ","  21,706 "
"","Safety","  58,908 ","0","0","  58,908 "
"","Other  uses","0","0","  23 ","  23 "
"","Breeding of GM or HM","  5,993 ","  35,972 ","  98,859 ","  140,824 "
"","Total","  406,129 ","  38,433 ","  119,341 ","  563,903 "
"Cephalopod","Fundamental biological research","","","",""
"","Applied studies ","","","",""
"","Safety","","","",""
"","Other  uses","","","",""
"","Breeding","","","",""
"","Total","","","",""
"All species","Fundamental biological research","  785,248 ","  56,462 ","  497,163 ","  1,338,873 "
"","Applied studies ","  597,900 ","  40,374 ","  31,534 ","  669,808 "
"","Safety","  116,631 ","0","  185 ","  116,816 "
"","Other  uses","  47,743 ","0","  1,804 ","  49,547 "
"","Breeding of GM or HM","  215,952 ","  278,857 ","  1,123,004 ","  1,617,813 "
"","TOTAL","  1,763,474 ","  375,693 ","  1,653,690 ","  3,792,857 "
"","Increase on 2010","40,995 ","-""#,##0"" ","51,524 ","68,131 "
"","Percentage change from 2010","2.4%","-""0f%","3%","2%"
"","Percentage of total for 2011","46%","10%","44%","100%"
"","2010 Totals","  1,722,479 ","  400,081 ","  1,602,166 ","  3,724,726 "
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
"","","","","",""
