"Supplementary Table 2. Compilation of olivine data from global kimberlites and lamproites","","","","","","","","","","","","","","","","","","",""
"locality","lithology","country","position","age (Ma)","age ref","core Mg#","","","","cores below Mg# 90 (fraction)","n.","core Cr2O3","core MnO","core NiO","core CaO","rim Mg#","","","references"
"Antelope","kimberlite","Canada","on craton","62","Sarkar et al., 2015","92.4","91.6","1.6","93.2","0.14","14","0.03","0.08","0.34","0.03","90.4","0.2","7","Tovey et al., 2021"
"Rattler","kimberlite","Canada","on craton","60","Sarkar et al., 2015","90.0","89.8","1.9","93.3","0.50","32","0.03","0.13","0.30","0.04","90.6","0.2","10","Tovey et al., 2021"
"Springbok","kimberlite","Canada","on craton","62","Sarkar et al., 2015","91.2","90.9","1.5","92.6","0.20","15","0.03","0.10","0.35","0.03","90.7","0.0","6","Tovey et al., 2021"
"Boa","kimberlite","Canada","on craton","64","Tovey et al. 2021","89.8","90.1","2.1","93.1","0.50","12","0.04","0.12","0.32","0.06","90.7","0.1","6","Tovey et al., 2021"
"Darkwing","kimberlite","Canada","on craton","75","Tovey et al. 2021","91.4","91.0","2.0","93.2","0.36","14","0.02","0.11","0.30","0.02","90.9","0.1","12","Tovey et al., 2021"
"Flying V","kimberlite","Canada","on craton","64","Sarkar et al., 2015","91.9","91.9","0.9","93.4","0.00","15","0.04","0.08","0.35","0.04","91.1","0.1","6","Tovey et al., 2021"
"Panda","kimberlite","Canada","on craton","53","Creaser et al., 2004","91.4","91.5","1.0","92.8","0.15","34","0.04","0.11","0.36","0.03","91.1","0.1","13","Tovey et al., 2021"
"Crab","kimberlite","Canada","on craton","59","Creaser et al., 2004","90.9","90.4","1.8","93.2","0.33","15","0.03","0.10","0.32","0.04","91.1","0.2","14","Tovey et al., 2021"
"Misery Southwest Extension","kimberlite","Canada","on craton","48","Tovey et al. 2021","90.8","90.8","0.2","91.1","0.00","12","0.04","0.11","0.39","0.04","90.8","0.6","2","Tovey et al., 2021"
"Misery East","kimberlite","Canada","on craton","","","91.6","91.6","0.6","92.7","0.00","31","0.03","0.11","0.36","0.03","91.2","0.1","5","Tovey et al., 2021"
"Misery East Dyke","kimberlite","Canada","on craton","69","Sarkar et al., 2015","92.0","92.1","0.6","93.0","0.00","13","0.03","0.07","0.37","0.03","91.3","0.2","6","Tovey et al., 2021"
"Brent","kimberlite","Canada","on craton","47","Creaser et al., 2004","91.0","91.3","0.9","93.1","0.00","15","0.03","0.09","0.34","0.03","91.5","0.3","8","Tovey et al., 2021"
"Mark","kimberlite","Canada","on craton","48","Davis and Kjarsgaard, 1997","91.5","91.4","0.7","92.4","0.00","13","0.03","0.10","0.35","0.02","91.6","0.2","8","Tovey et al., 2021"
"Arnie","kimberlite","Canada","on craton","49","Sarkar et al., 2015","91.8","91.8","0.9","93.0","0.07","15","0.03","0.09","0.35","0.03","91.8","0.2","9","Tovey et al., 2021"
"Grizzly","kimberlite","Canada","on craton","52","Sarkar et al., 2015","91.9","91.8","1.2","94.1","0.03","33","0.04","0.11","0.35","0.04","91.6","0.2","43","Lim et al., 2018"
"Koala","kimberlite","Canada","on craton","53","Sarkar et al., 2015","91.6","91.1","1.6","93.1","0.16","32","0.04","0.13","0.37","0.04","91.5","0.3","21","Lim et al., 2018"
"Leslie","kimberlite","Canada","on craton","53","Sarkar et al., 2015","91.2","91.1","1.6","93.4","0.18","57","","0.11","0.34","0.03","91.6","0.1","33","Fedortchouk and Canil, 2004"
"Aaron","kimberlite","Canada","on craton","49","Sarkar et al., 2015","91.5","91.5","0.9","94.2","0.02","45","","0.11","0.37","0.03","91.7","0.2","27","Fedortchouk and Canil, 2004"
"Diavik A154N","kimberlite","Canada","on craton","56","Sarkar et al., 2015","91.3","91.3","0.9","93.0","0.06","100","0.03","0.11","0.36","0.04","91.1","0.2","57","Brett et al., 2009"
"Diavik A154S","kimberlite","Canada","on craton","56","Sarkar et al., 2015","91.2","91.3","0.9","93.5","0.03","39","","0.11","0.34","0.05","91.2","0.2","24","Brett et al., 2009"
"Diavik A21","kimberlite","Canada","on craton","56","Sarkar et al., 2015","91.2","91.2","0.8","93.0","0.00","15","","0.12","0.37","0.06","91.1","0.3","16","Brett et al., 2009"
"","","","","","","","","","","","","","","","","","","",""
"North America elsewhere","","","","","","","","","","","","","","","","","","",""
"Jericho","kimberlite","Canada","on craton","173","Heaman et al., 2006","92.3","92.2","0.4","92.9","0.00","19","","0.102","0.384","0.028","90.5","0.1","19","Giuliani et al., 2020"
"Muscox","kimberlite","Canada","on craton","173","Heaman et al., 2006","91.5","91.1","1.5","92.8","0.22","27","0.03","0.12","0.33","0.03","89.6","0.3","6","Giuliani et al., 2020"
"Renard","kimberlite","Canada","on craton","640","Ranger et al., 2018","92.4","92.3","1.2","95.1","0.03","931","","0.11","0.34","0.05","92.5","0.5","10","Patterson et al., 2009"
"Peuyuk C","kimberlite","Canada, Somerset","craton margin","100","Wu et al., 2010","92.2","91.4","2.1","93.1","0.20","15","","0.115","0.360","0.029","89.6","0.1","14","Giuliani et al., 2020"
"Nikos","kimberlite","Canada, Somerset","craton margin","100","Wu et al., 2010","91.7","91.0","2.0","92.8","0.20","20","","0.124","0.334","0.046","88.3","0.2","18","Giuliani et al., 2020"
"Lake Ellen - Krol","kimberlite","US, Michigan","craton margin","186","Heaman et al., 2004","90.6","90.4","1.3","92.5","0.17","12","","0.122","0.335","0.077","89.7","0.1","2","Giuliani et al., 2020"
"","","","","","","","","","","","","","","","","","","",""
"Russia","","","","","","","","","","","","","","","","","","",""
"Udachnaya-East","kimberlite","Russia","on craton","347","Maas et al., 2005","92.4","91.5","2.2","94.4","0.18","184","0.04","0.10","0.36","0.03","89.0","0.2","75","Kamenetsky et al., 2008"
"Internationalnaya","kimberlite","Russia","on craton","360","Smelov and Zaitsev, 2013","92.3","91.8","1.7","93.8","0.04","30","0.02","0.09","0.36","0.02","89.0","0.2","19","Giuliani et al., 2023"
"Obnazhennaya","kimberlite","Russia","craton margin","152","Sun et al., 2021","92.1","91.5","1.5","93.2","0.04","23","0.01","0.10","0.37","0.01","87.2","0.5","5","Giuliani et al., 2023"
"Grib","kimberlite","Russia","on craton","376","Larionova et al., 2016","","92.7","0.4","93.5","","121","","0.10","0.36","0.02","90.5","0.2","10","Sazonova et al., 2015"
"Pionerskaya","orangeite?","Russia","on craton","380","Larionova et al., 2016","92.1","91.9","0.8","93.0","","100","","0.10","0.36","0.02","90.8","0.4","20","Sazonova et al., 2015"
"","","","","","","","","","","","","","","","","","","",""
"Greenland","","","","","","","","","","","","","","","","","","",""
"Majuagaa","kimberlite","Greenland","craton margin","559","Tappe et al., 2011","90.4","90.0","2.3","93.6","0.44","322","0.05","0.12","0.32","0.05","88.6","0.3","184","Nielsen and Sand, 2008"
"Kangamiut","kimberlite/aillikite","Greenland","craton margin","560","assumed","90.9","89.1","3.3","93.5","0.41","54","0.04","0.13","0.29","0.05","88.1","0.5","39","Arndt et al., 2010; Cordier et al., 2015"
"","","","","","","","","","","","","","","","","","","",""
"Finland ","","","","","","","","","","","","","","","","","","",""
"Pipe 1","kimberlite","Finland","craton margin","621","Dalton et al., 2022","90.8","90.6","1.1","92.5","0.15","73","0.05","0.13","0.25","0.07","89.9","0.2","21","Dalton et al., 2020"
"Pipe 5","kimberlite","Finland","craton margin","605","Dalton et al., 2022","90.8","89.9","2.3","93.1","0.26","51","0.03","0.12","0.34","0.04","89.3","0.5","19","Dalton et al., 2020"
"Pipe 9","kimberlite","Finland","craton margin","603","Dalton et al., 2022","89.0","88.8","2.8","93.2","0.40","101","0.02","0.13","0.27","0.04","88.8","0.2","36","Dalton et al., 2020"
"Pipe 14","kimberlite","Finland","craton margin","585","Dalton et al., 2022","89.2","88.9","2.8","92.7","0.57","37","0.03","0.13","0.17","0.03","88.3","0.3","15","Dalton et al., 2020"
"Lentira","lamproite","Finland","on craton","1203","Dalton et al., 2022","91.6","87.8","4.9","92.6","0.4","43","0.0","0.1","0.3","0.0","88.5","0.3","7","Kargin et al., 2014"
"","","","","","","","","","","","","","","","","","","",""
"India","","","","","","","","","","","","","","","","","","",""
"Wajrakarur P2","olivine lamproite","India","on craton","1102","Paton, 2007","91.1","89.0","3.6","93.1","0.46","23","0.05","0.11","0.32","0.11","89.3","0.4","7","Giuliani et al., 2020; Sarkar et al. 2021"
"Wajrakarur P3","kimberlite","India","on craton","1102","Paton, 2007","88.1","88.4","2.8","93.4","0.59","17","0.03","0.12","0.28","0.05","88.1","0.1","4","Shaikh et al., 2018"
"Wajrakarur P4","olivine lamproite","India","on craton","1102","Paton, 2007","92.4","90.5","3.4","93.5","0.30","20","0.04","0.10","0.33","0.04","87.9","1.0","16","Shaikh et al., 2018"
"Wajrakarur P13","olivine lamproite","India","on craton","1102","Paton, 2007","89.2","88.4","4.6","94.5","0.55","11","0.04","0.12","0.32","0.07","84.9","1.5","9","Shaikh et al., 2019"
"Chigicherla-01 (CC1)","kimberlite","India","on craton","1102","Paton, 2007","91.3","90.2","2.8","94.0","0.35","54","0.05","0.10","0.34","0.07","89.4","0.2","6","Giuliani et al., 2020"
"Chigicherla-02 (CC2)","olivine lamproite","India","on craton","1102","Paton, 2007","89.6","88.5","3.5","94.0","0.59","17","0.07","0.12","0.34","0.08","87.5","1.3","9","Shaikh et al., 2019"
"TK1","kimberlite","India","on craton","1102","Paton, 2007","85.0","87.8","4.4","93.0","0.56","9","0.04","0.12","0.35","0.09","86.8","0.4","2","Shaikh et al., 2017"
"Kodomali","olivine lamproite","India","on craton","62","Lehmann et al., 2010","88.9","89.8","2.3","92.9","0.53","15","0.02","0.10","0.36","0.05","90.4","0.9","17","Shaikh et al., 2019"
"Beradih","olivine lamproite","India","on craton","65","Lehmann et al., 2010","92.2","91.9","1.0","92.8","0.00","6","0.03","0.09","0.35","0.02","88.9","0.6","5","Shaikh et al., 2019"
"","","","","","","","","","","","","","","","","","","",""
"Western Australia","","","","","","","","","","","","","","","","","","",""
"Ellendale 4","olivine lamproite","Australia","craton margin","22","Evans et al., 2013","91.0","90.9","0.4","91.5","0.00","9","0.03","0.11","0.41","0.06","91.2","0.7","48","Jaques and Foley, 2018"
"Ellendale 7","olivine lamproite","Australia","craton margin","22","Evans et al., 2013","91.2","91.2","0.5","92.6","0.00","26","0.04","0.10","0.42","0.05","91.2","0.7","50","Jaques and Foley, 2018"
"Ellendale 9","olivine lamproite","Australia","craton margin","22","Evans et al., 2013","91.4","91.1","0.8","92.5","0.15","33","0.04","0.10","0.41","0.05","91.9","0.7","63","Jaques and Foley, 2018"
"Ellendale 11","olivine lamproite","Australia","craton margin","22","Evans et al., 2013","91.2","91.2","0.3","91.9","0.00","16","0.03","0.11","0.41","0.04","91.1","0.6","50","Jaques and Foley, 2018"
"Mt Cedric","olivine lamproite","Australia","craton margin","","","92.4","92.1","0.5","92.9","0.00","9","0.01","0.10","0.40","0.03","91.8","0.4","41","Jaques and Foley, 2018"
"","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","",""
