"TABLE 3. Number of hours worked and percent relative standard errors by detailed industry, 2020 [thousands]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ","","",""
"Industry1                                                                                                              ","NAICS Code2                                                                                                            ","Total hours worked","Percent relative standard errors"
"      Other animal food manufacturing","311119","71587.0","004.9"
"    Grain and oilseed milling","3112","128036.7","002.8"
"     Flour milling and malt manufacturing","31121","41564.3","005.2"
"      Flour milling","311211","28958.1","006.4"
"      Malt manufacturing","311213","2532.5","018.3"
"     Starch and vegetable fats and oils manufacturing","31122","59567.5","003.7"
"      Wet corn milling","311221","27959.7","004.3"
"      Soybean and other oilseed processing","311224","17614.8","007.4"
"      Fats and oils refining and blending","311225","13993.0","009.7"
"     Breakfast cereal manufacturing","31123","26904.9","006.5"
"    Sugar and confectionery product manufacturing","3113","140496.0","002.8"
"     Sugar manufacturing","31131","26887.7","005.0"
"      Beet sugar manufacturing","311313","12784.6","008.2"
"      Cane sugar manufacturing","311314","14103.1","006.1"
"     Nonchocolate confectionery manufacturing","31134","42990.2","004.3"
"     Chocolate and confectionery manufacturing","31135","70618.2","004.6"
"      Confectionery manufacturing from purchased chocolate","311352","52295.5","005.4"
"    Fruit and vegetable preserving and specialty food manufacturing","3114","347363.9","001.8"
"     Frozen food manufacturing","31141","184915.6","002.1"
"      Frozen fruit, juice, and vegetable manufacturing","311411","59074.9","003.4"
"      Frozen specialty food manufacturing","311412","125840.7","002.6"
"     Fruit and vegetable canning, pickling, and drying","31142","162448.3","002.9"
"      Fruit and vegetable canning","311421","116684.8","003.4"
"      Specialty canning","311422","22316.4","005.3"
"    Dairy product manufacturing","3115","303849.5","002.4"
"     Dairy product (except frozen) manufacturing","31151","265772.2","002.6"
"      Fluid milk manufacturing","311511","109289.1","004.8"
"      Creamery butter manufacturing","311512","6715.1","007.8"
"      Cheese manufacturing","311513","112337.2","003.9"
"      Dry, condensed, and evaporated dairy product manufacturing","311514","37430.8","004.1"
"     Ice cream and frozen dessert manufacturing","31152","38077.2","005.1"
"    Animal slaughtering and processing","3116","1107502.0","000.8"
"     Animal slaughtering and processing","31161","1107502.0","000.8"
"      Animal (except poultry) slaughtering","311611","299485.9","001.2"
"      Meat processed from carcasses","311612","289000.8","002.0"
"      Rendering and meat byproduct processing","311613","17953.2","006.8"
"      Poultry processing","311615","501062.2","001.0"
"    Seafood product preparation and packaging","3117","69186.9","004.5"
"    Bakeries and tortilla manufacturing","3118","532243.6","002.1"
"     Bread and bakery product manufacturing","31181","388641.4","002.5"
"      Retail bakeries","311811","114657.9","005.8"
"      Commercial bakeries","311812","251394.6","002.8"
"      Frozen cakes, pies, and other pastries manufacturing","311813","22588.9","006.0"
"     Cookie, cracker, and pasta manufacturing","31182","106290.4","003.5"
"      Cookie and cracker manufacturing","311821","66902.9","003.3"
"      Dry pasta, dough, and flour mixes manufacturing from purchased flour","311824","39387.5","007.6"
"     Tortilla manufacturing","31183","37311.8","010.9"
"    Other food manufacturing","3119","449862.5","002.2"
"     Snack food manufacturing","31191","115316.6","004.0"
"      Roasted nuts and peanut butter manufacturing","311911","31617.1","008.2"
"      Other snack food manufacturing","311919","83699.5","004.6"
"     Seasoning and dressing manufacturing","31194","87427.8","004.9"
"      Mayonnaise, dressing, and other prepared sauce manufacturing","311941","36740.4","007.2"
"      Spice and extract manufacturing","311942","50687.3","006.6"
"     All other food manufacturing","31199","188882.2","003.5"
"      Perishable prepared food manufacturing","311991","116166.8","004.8"
"      All other miscellaneous food manufacturing","311999","72715.4","004.9"
"   Beverage and tobacco product manufacturing","312","494929.4","002.3"
"    Beverage manufacturing","3121","473807.7","002.4"
"     Soft drink and ice manufacturing","31211","205913.1","003.0"
"      Soft drink manufacturing","312111","158390.5","003.3"
"      Bottled water manufacturing","312112","32609.6","009.1"
"      Ice manufacturing","312113","14913.0","010.1"
"     Breweries","31212","132221.1","004.4"
"     Wineries","31213","100111.4","007.3"
"     Distilleries","31214","35562.1","007.1"
"    Tobacco manufacturing","3122","21121.6","004.8"
"   Textile mills","313","185848.8","003.4"
"    Fiber, yarn, and thread mills","3131","44477.0","007.5"
"    Fabric mills","3132","87996.1","004.4"
"     Broadwoven fabric mills","31321","38101.1","007.0"
"     Narrow fabric mills and schiffli machine embroidery","31322","11871.2","009.1"
"     Nonwoven fabric mills","31323","29874.0","008.2"
"     Knit fabric mills","31324","8149.9","010.3"
"    Textile and fabric finishing and fabric coating mills","3133","53375.7","006.9"
"     Textile and fabric finishing mills","31331","39330.5","008.6"
"     Fabric coating mills","31332","14045.2","010.2"
"   Textile product mills","314","189426.2","003.3"
"    Textile furnishings mills","3141","84731.8","004.7"
"     Carpet and rug mills","31411","55753.3","005.5"
"     Curtain and linen mills","31412","28978.5","008.7"
"    Other textile product mills","3149","104694.4","004.6"
"     Textile bag and canvas mills","31491","43509.0","006.6"
"     All other textile product mills","31499","61185.4","006.2"
"      Rope, cordage, twine, tire cord, and tire fabric mills","314994","11157.4","013.3"
"      All other miscellaneous textile product mills","314999","50028.0","007.0"
"   Apparel manufacturing","315","169381.9","005.1"
"    Apparel knitting mills","3151","16081.0","007.6"
"     Other apparel knitting mills","31519","5158.5","011.9"
"    Cut and sew apparel manufacturing","3152","134651.0","006.2"
"     Cut and sew apparel contractors","31521","44742.9","007.9"
"     Men's and boys' cut and sew apparel manufacturing","31522","38141.7","009.4"
"    Apparel accessories and other apparel manufacturing","3159","18649.8","011.2"
"   Leather and allied product manufacturing","316","45266.8","006.8"
"    Leather and hide tanning and finishing","3161","6784.0","014.0"
"    Footwear manufacturing","3162","17827.8","012.6"
"    Other leather and allied product manufacturing","3169","20655.0","009.0"
"     Other leather and allied product manufacturing","31699","20655.0","009.0"
"      All other leather good and allied product manufacturing","316998","19126.1","009.5"
"   Wood product manufacturing","321","784520.1","001.4"
"    Sawmills and wood preservation","3211","186000.6","002.7"
"     Sawmills and wood preservation","32111","186000.6","002.7"
"      Sawmills","321113","165024.1","002.9"
"      Wood preservation","321114","20976.5","006.6"
"    Veneer, plywood, and engineered wood product manufacturing","3212","167844.9","003.6"
"     Veneer, plywood, and engineered wood product manufacturing","32121","167844.9","003.6"
"      Hardwood veneer and plywood manufacturing","321211","26614.7","007.3"
"      Softwood veneer and plywood manufacturing","321212","30941.6","005.5"
"      Engineered wood member (except truss) manufacturing","321213","12425.9","008.8"
"      Truss manufacturing","321214","67671.4","007.3"
"      Reconstituted wood product manufacturing","321219","30191.3","006.8"
"    Other wood product manufacturing","3219","430674.6","001.9"
"     Millwork","32191","186442.3","002.8"
"      Wood window and door manufacturing","321911","96879.8","003.7"
"      Cut stock, resawing lumber, and planing","321912","25270.8","008.9"
"      Other millwork (including flooring)","321918","64291.7","004.6"
"     Wood container and pallet manufacturing","32192","120564.6","003.5"
"     All other wood product manufacturing","32199","123667.7","003.6"
"      Manufactured home (mobile home) manufacturing","321991","51401.9","004.3"
"      Prefabricated wood building manufacturing","321992","26672.5","009.9"
"      All other miscellaneous wood product manufacturing","321999","45593.2","006.0"
"   Paper manufacturing","322","743884.7","001.4"
"    Pulp, paper, and paperboard mills","3221","199887.6","002.3"
"     Pulp mills","32211","12156.7","008.7"
"     Paper mills","32212","118827.5","002.8"
"      Paper (except newsprint) mills","322121","110229.2","003.0"
"     Paperboard mills","32213","68903.4","004.3"
"    Converted paper product manufacturing","3222","543997.1","001.8"
"     Paperboard container manufacturing","32221","315133.5","002.3"
"      Corrugated and solid fiber box manufacturing","322211","208143.8","002.7"
"      Folding paperboard box manufacturing","322212","55321.5","005.4"
"      Other paperboard container manufacturing","322219","51668.1","006.4"
"     Paper bag and coated and treated paper manufacturing","32222","114870.9","004.3"
"     Stationery product manufacturing","32223","27528.2","006.2"
"     Other converted paper product manufacturing","32229","86464.5","003.9"
"      Sanitary paper product manufacturing","322291","52352.1","004.8"
"      All other converted paper product manufacturing","322299","34112.5","006.7"
"   Printing and related support activities","323","733343.5","002.0"
"    Printing and related support activities","3231","733343.5","002.0"
"     Printing","32311","699282.7","002.1"
"      Commercial printing (except screen and books)","323111","540916.6","002.4"
"      Commercial screen printing","323113","127681.6","005.2"
"      Books printing","323117","30684.5","008.9"
"     Support activities for printing","32312","34060.8","005.5"
"   Petroleum and coal products manufacturing","324","231891.0","002.6"
"    Petroleum and coal products manufacturing","3241","231891.0","002.6"
"     Petroleum refineries","32411","148832.4","003.0"
"     Asphalt paving, roofing, and saturated materials manufacturing","32412","-","-"
"      Asphalt shingle and coating materials manufacturing","324122","23136.0","005.9"
"     Other petroleum and coal products manufacturing","32419","29558.2","005.2"
"      Petroleum lubricating oil and grease manufacturing","324191","19590.3","005.7"
"      All other petroleum and coal products manufacturing","324199","9967.9","010.4"
"   Chemical manufacturing","325","1661780.0","001.8"
"    Basic chemical manufacturing","3251","303910.8","005.9"
"     Synthetic dye and pigment manufacturing","32513","21461.8","009.0"
"     Other basic inorganic chemical manufacturing","32518","84986.3","003.8"
"     Other basic organic chemical manufacturing","32519","109370.3","004.6"
"      Ethyl alcohol manufacturing","325193","20880.5","006.2"
"      Cyclic crude, intermediate, and gum and wood chemical manufacturing","325194","9506.2","019.3"
"      All other basic organic chemical manufacturing","325199","78983.6","005.7"
"    Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing","3252","187328.5","003.8"
"     Resin and synthetic rubber manufacturing","32521","139749.8","004.3"
"      Plastics material and resin manufacturing","325211","120395.2","003.8"
"     Artificial and synthetic fibers and filaments manufacturing","32522","47578.7","007.6"
"    Pesticide, fertilizer, and other agricultural chemical manufacturing","3253","72740.2","004.3"
"     Fertilizer manufacturing","32531","47841.5","006.1"
"      Nitrogenous fertilizer manufacturing","325311","17798.6","009.1"
"      Phosphatic fertilizer manufacturing","325312","11846.6","015.0"
"      Fertilizer (mixing only) manufacturing","325314","18196.4","008.9"
"     Pesticide and other agricultural chemical manufacturing","32532","24898.7","004.3"
"    Pharmaceutical and medicine manufacturing","3254","600938.9","003.5"
"     Pharmaceutical and medicine manufacturing","32541","600938.9","003.5"
"      Medicinal and botanical manufacturing","325411","68557.3","005.5"
"      Pharmaceutical preparation manufacturing","325412","407877.8","005.0"
"      In-vitro diagnostic substance manufacturing","325413","51774.0","004.4"
"      Biological product (except diagnostic) manufacturing","325414","72729.8","002.8"
"    Paint, coating, and adhesive manufacturing","3255","122090.3","003.8"
"     Paint and coating manufacturing","32551","77342.9","004.6"
"     Adhesive manufacturing","32552","44747.4","006.6"
"    Soap, cleaning compound, and toilet preparation manufacturing","3256","219753.3","003.1"
"     Soap and cleaning compound manufacturing","32561","112997.8","003.8"
"      Soap and other detergent manufacturing","325611","54411.7","005.9"
"      Polish and other sanitation good manufacturing","325612","49520.8","005.4"
"      Surface active agent manufacturing","325613","9065.3","013.5"
"     Toilet preparation manufacturing","32562","106755.5","005.0"
"    Other chemical product and preparation manufacturing","3259","155018.0","004.3"
"     All other chemical product and preparation manufacturing","32599","125476.8","004.8"
"      Custom compounding of purchased resins","325991","34531.8","007.0"
"      All other miscellaneous chemical product and preparation manufacturing","325998","75029.0","006.6"
"   Plastics and rubber products manufacturing","326","1377576.3","001.1"
"    Plastics product manufacturing","3261","1132791.0","001.2"
"     Plastics packaging materials and unlaminated film and sheet manufacturing","32611","200749.2","003.1"
"      Plastics bag and pouch manufacturing","326111","82059.5","004.5"
"      Plastics packaging film and sheet (including laminated) manufacturing","326112","44432.1","005.8"
"      Unlaminated plastics film and sheet (except packaging) manufacturing","326113","74257.6","005.8"
"     Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","32612","103554.0","003.8"
"      Unlaminated plastics profile shape manufacturing","326121","43634.9","005.6"
"      Plastics pipe and pipe fitting manufacturing","326122","59919.1","005.0"
"     Laminated plastics plate, sheet (except packaging), and shape manufacturing","32613","36777.6","006.1"
"     Polystyrene foam product manufacturing","32614","55904.6","004.7"
"     Urethane and other foam product (except polystyrene) manufacturing","32615","69676.6","004.2"
"     Plastics bottle manufacturing","32616","72997.4","005.7"
"     Other plastics product manufacturing","32619","593131.6","001.7"
"      Plastics plumbing fixture manufacturing","326191","26097.5","008.5"
"      All other plastics product manufacturing","326199","567034.1","001.7"
"    Rubber product manufacturing","3262","244785.3","001.9"
"     Tire manufacturing","32621","99786.5","002.9"
"      Tire manufacturing (except retreading)","326211","88622.0","003.1"
"      Tire retreading","326212","11164.5","008.5"
"     Rubber and plastics hoses and belting manufacturing","32622","41923.0","004.4"
"     Other rubber product manufacturing","32629","103075.8","003.1"
"      Rubber product manufacturing for mechanical use","326291","54497.1","004.1"
"      All other rubber product manufacturing","326299","48578.7","004.7"
"   Nonmetallic mineral product manufacturing","327","821457.2","001.5"
"    Clay product and refractory manufacturing","3271","66524.0","005.0"
"     Pottery, ceramics, and plumbing fixture manufacturing","32711","23065.0","009.3"
"     Clay building material and refractories manufacturing","32712","43459.1","005.8"
"    Glass and glass product manufacturing","3272","162549.4","002.8"
"     Glass and glass product manufacturing","32721","162549.4","002.8"
"      Flat glass manufacturing","327211","22392.1","005.5"
"      Other pressed and blown glass and glassware manufacturing","327212","28094.9","007.0"
"      Glass container manufacturing","327213","25672.5","005.3"
"      Glass product manufacturing made of purchased glass","327215","86389.8","004.2"
"    Cement and concrete product manufacturing","3273","405047.1","002.3"
"     Ready-mix concrete manufacturing","32732","202111.7","003.1"
"     Concrete pipe, brick, and block manufacturing","32733","59191.8","008.3"
"      Concrete block and brick manufacturing","327331","40971.8","007.5"
"     Other concrete product manufacturing","32739","115569.0","004.2"
"    Lime and gypsum product manufacturing","3274","31626.4","005.9"
"     Lime manufacturing","32741","9049.2","012.5"
"     Gypsum product manufacturing","32742","22577.2","006.6"
"    Other nonmetallic mineral product manufacturing","3279","155710.3","003.8"
"     All other nonmetallic mineral product manufacturing","32799","136872.1","004.1"
"      Cut stone and stone product manufacturing","327991","66128.1","005.3"
"      Ground or treated mineral and earth manufacturing","327992","10576.6","006.2"
"      Mineral wool manufacturing","327993","33012.9","007.5"
"      All other miscellaneous nonmetallic mineral product manufacturing","327999","27154.5","013.4"
"   Primary metal manufacturing","331","744432.0","001.3"
"    Iron and steel mills and ferroalloy manufacturing","3311","178057.9","002.9"
"    Steel product manufacturing from purchased steel","3312","112618.9","003.6"
"     Iron and steel pipe and tube manufacturing from purchased steel","33121","53334.8","005.2"
"     Rolling and drawing of purchased steel","33122","59284.2","004.9"
"      Rolled steel shape manufacturing","331221","39541.1","006.7"
"      Steel wire drawing","331222","19743.0","006.0"
"    Alumina and aluminum production and processing","3313","117086.1","003.3"
"     Alumina and aluminum production and processing","33131","117086.1","003.3"
"      Alumina refining and primary aluminum production","331313","16448.2","004.4"
"      Secondary smelting and alloying of aluminum","331314","11648.9","009.5"
"      Aluminum sheet, plate, and foil manufacturing","331315","34772.6","003.1"
"      Other aluminum rolling, drawing, and extruding","331318","54216.4","006.3"
"    Nonferrous metal (except aluminum) production and processing","3314","121335.5","003.1"
"     Nonferrous metal (except aluminum) smelting and refining","33141","17322.5","011.0"
"     Copper rolling, drawing, extruding, and alloying","33142","54482.9","003.6"
"     Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying","33149","49530.1","005.3"
"      Nonferrous metal (except copper and aluminum) rolling, drawing, and extruding","331491","29179.4","007.0"
"      Secondary smelting, refining, and alloying of nonferrous metal (except copper and aluminum)","331492","20350.7","008.1"
"    Foundries","3315","215333.6","002.1"
"     Ferrous metal foundries","33151","115751.1","002.9"
"      Iron foundries","331511","67980.7","003.3"
"      Steel investment foundries","331512","24502.4","007.6"
"      Steel foundries (except investment)","331513","23268.0","006.9"
"     Nonferrous metal foundries","33152","99582.5","003.0"
"      Nonferrous metal die-casting foundries","331523","42388.4","004.2"
"      Aluminum foundries (except die-casting)","331524","30578.4","006.5"
"      Other nonferrous metal foundries (except die-casting)","331529","26615.7","005.1"
"   Fabricated metal product manufacturing","332","2800266.7","000.9"
"    Forging and stamping","3321","181906.8","003.0"
"     Forging and stamping","33211","181906.8","003.0"
"      Iron and steel forging","332111","41332.2","006.8"
"      Nonferrous forging","332112","17113.5","010.4"
"      Powder metallurgy part manufacturing","332117","15770.9","012.4"
"      Metal crown, closure, and other metal stamping (except automotive)","332119","95277.9","003.9"
"    Cutlery and handtool manufacturing","3322","67352.4","004.6"
"     Cutlery and handtool manufacturing","33221","67352.4","004.6"
"      Saw blade and handtool manufacturing","332216","51216.7","004.6"
"    Architectural and structural metals manufacturing","3323","776571.7","001.6"
"     Plate work and fabricated structural product manufacturing","33231","347464.7","002.2"
"      Prefabricated metal building and component manufacturing","332311","64325.0","004.7"
"      Fabricated structural metal manufacturing","332312","187728.9","002.9"
"      Plate work manufacturing","332313","95410.8","004.5"
"     Ornamental and architectural metal products manufacturing","33232","429107.0","002.2"
"      Metal window and door manufacturing","332321","128563.7","004.0"
"      Sheet metal work manufacturing","332322","218754.3","003.1"
"      Ornamental and architectural metal work manufacturing","332323","81789.0","004.7"
"    Boiler, tank, and shipping container manufacturing","3324","184398.1","003.3"
"     Power boiler and heat exchanger manufacturing","33241","44420.7","006.3"
"     Metal tank (heavy gauge) manufacturing","33242","75193.8","005.6"
"     Metal can, box, and other metal container (light gauge) manufacturing","33243","64783.6","005.3"
"      Metal can manufacturing","332431","36028.0","005.6"
"    Hardware manufacturing","3325","44601.9","004.9"
"    Spring and wire product manufacturing","3326","79565.9","005.0"
"     Spring and wire product manufacturing","33261","79565.9","005.0"
"      Spring manufacturing","332613","33695.6","006.9"
"      Other fabricated wire product manufacturing","332618","45870.3","007.1"
"    Machine shops; turned product; and screw, nut, and bolt manufacturing","3327","686260.3","002.1"
"     Machine shops","33271","536081.8","002.3"
"     Turned product and screw, nut, and bolt manufacturing","33272","150178.5","004.5"
"      Precision turned product manufacturing","332721","76408.7","006.8"
"      Bolt, nut, screw, rivet, and washer manufacturing","332722","73769.9","005.9"
"    Coating, engraving, heat treating, and allied activities","3328","268280.5","002.9"
"     Coating, engraving, heat treating, and allied activities","33281","268280.5","002.9"
"      Metal heat treating","332811","38997.3","005.9"
"      Metal coating, engraving (except jewelry and silverware), and allied services to manufacturers","332812","118867.4","004.7"
"      Electroplating, plating, polishing, anodizing, and coloring","332813","110415.9","004.4"
"    Other fabricated metal product manufacturing","3329","511329.0","002.0"
"     Metal valve manufacturing","33291","173660.5","003.6"
"      Industrial valve manufacturing","332911","53177.3","006.6"
"      Fluid power valve and hose fitting manufacturing","332912","66586.3","003.7"
"      Plumbing fixture fitting and trim manufacturing","332913","22427.4","010.7"
"      Other metal valve and pipe fitting manufacturing","332919","31469.6","012.4"
"     All other fabricated metal product manufacturing","33299","337668.5","002.4"
"      Ball and roller bearing manufacturing","332991","42141.2","006.5"
"      Small arms ammunition manufacturing","332992","20297.6","002.4"
"      Ammunition (except small arms) manufacturing","332993","24443.1","005.1"
"      Fabricated pipe and pipe fitting manufacturing","332996","59996.7","004.9"
"      All other miscellaneous fabricated metal product manufacturing","332999","150964.1","003.9"
"   Machinery manufacturing","333","2090714.0","001.0"
"    Agriculture, construction, and mining machinery manufacturing","3331","406148.1","002.5"
"     Agricultural implement manufacturing","33311","146087.0","002.3"
"      Farm machinery and equipment manufacturing","333111","114506.5","002.8"
"      Lawn and garden tractor and home lawn and garden equipment manufacturing","333112","31580.5","003.1"
"     Construction machinery manufacturing","33312","132023.9","003.7"
"     Mining and oil and gas field machinery manufacturing","33313","128037.2","006.5"
"      Mining machinery and equipment manufacturing","333131","17913.7","007.2"
"      Oil and gas field machinery and equipment manufacturing","333132","110123.6","007.4"
"    Industrial machinery manufacturing","3332","226334.3","002.8"
"     Industrial machinery manufacturing","33324","226334.3","002.8"
"      Food product machinery manufacturing","333241","37480.5","006.1"
"      Sawmill, woodworking, and paper machinery manufacturing","333243","24120.8","007.6"
"      Other industrial machinery manufacturing","333249","106168.1","004.1"
"    Commercial and service industry machinery manufacturing","3333","176640.2","003.3"
"     Commercial and service industry machinery manufacturing","33331","176640.2","003.3"
"      Optical instrument and lens manufacturing","333314","39971.6","009.2"
"      Other commercial and service industry machinery manufacturing","333318","124368.3","003.5"
"    Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing","3334","252277.7","002.5"
"     Ventilation, heating, air-conditioning, and commercial refrigeration equipment manufacturing","33341","252277.7","002.5"
"      Industrial and commercial fan and blower and air purification equipment manufacturing","333413","62456.5","006.4"
"      Heating equipment (except warm air furnaces) manufacturing","333414","28113.3","006.7"
"      Air-conditioning and warm air heating equipment and commercial and industrial refrigeration equipment manufacturing","333415","161707.9","002.7"
"    Metalworking machinery manufacturing","3335","330637.7","002.6"
"     Metalworking machinery manufacturing","33351","330637.7","002.6"
"      Industrial mold manufacturing","333511","67029.3","007.6"
"      Special die and tool, die set, jig, and fixture manufacturing","333514","117788.7","004.0"
"      Cutting tool and machine tool accessory manufacturing","333515","43708.1","005.4"
"      Machine tool manufacturing","333517","76606.4","005.1"
"    Engine, turbine, and power transmission equipment manufacturing","3336","187985.1","003.1"
"     Engine, turbine, and power transmission equipment manufacturing","33361","187985.1","003.1"
"      Turbine and turbine generator set units manufacturing","333611","49652.1","006.4"
"      Speed changer, industrial high-speed drive, and gear manufacturing","333612","24021.5","006.2"
"      Mechanical power transmission equipment manufacturing","333613","26490.8","007.5"
"      Other engine equipment manufacturing","333618","87820.7","004.8"
