"HOUSEHOLD DATA
ANNUAL AVERAGES
10. Employed persons by occupation, race, Hispanic or Latino ethnicity, and sex","","","","","",""
"Office and administrative support occupations","7.7","7.2","6","5.3","9.7","9.2"
"Natural resources, construction, and maintenance occupations","2.6","2.3","4.4","4.2","0.5","0.3"
"Farming, fishing, and forestry occupations","0.2","0.1","0.2","0.1","0.1","0"
"Construction and extraction occupations","1.3","1","2.2","1.8","0.2","0"
"Installation, maintenance, and repair occupations","1.1","1.3","1.9","2.2","0.2","0.2"
"Production, transportation, and material moving occupations","9.4","8.7","12.1","11.4","6.5","5.6"
"Production occupations","4.6","4","4.9","4.5","4.2","3.5"
"Transportation and material moving occupations","4.9","4.6","7.2","7","2.3","2"
"","","","","","",""
"Hispanic or Latino ethnicity","","","","","",""
"Total, 16 years and over (in thousands)","29299","30343","16654","17071","12646","13271"
"Percent of total employed","100","100","100","100","100","100"
"Management, professional, and related occupations","25.3","26","21.5","21.9","30.3","31.3"
"Management, business, and financial operations occupations","11.3","11.9","11.1","11.6","11.6","12.2"
"Professional and related occupations","14","14.1","10.4","10.2","18.7","19.1"
"Service occupations","22.9","23.6","17.9","18.4","29.4","30.2"
"Sales and office occupations","18.5","17.6","12","11.7","27.1","25.2"
"Sales and related occupations","8.5","7.8","6.7","6.3","10.8","9.8"
"Office and administrative support occupations","10","9.8","5.3","5.3","16.2","15.4"
"Natural resources, construction, and maintenance occupations","16.7","16.3","27.4","27.1","2.5","2.4"
"Farming, fishing, and forestry occupations","1.5","1.5","1.9","1.8","1","1"
"Construction and extraction occupations","11.6","11.4","19.5","19.4","1.1","1.1"
"Installation, maintenance, and repair occupations","3.6","3.5","6","5.9","0.3","0.3"
"Production, transportation, and material moving occupations","16.6","16.6","21.1","21","10.7","10.9"
"Production occupations","6.9","7","7.9","7.9","5.5","5.8"
"Transportation and material moving occupations","9.8","9.6","13.3","13","5.2","5.1"
"","","","","","",""
"NOTE: Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race.  Updated population controls are introduced annually with the release of January data.","","","","","",""
