"","","","Total bankruptcies","","Petition type","","","","","","","","","","","",""
"2019","Q1","","4,468"," ","846"," ","19","","3,622"," ","81","","","","","",""
"","Q2","","4,234"," ","871"," ","21","","3,363"," ","79","r","","","","",""
"","Q3","","4,178"," ","787"," ","19","","3,391"," ","81","","","","","",""
"","Q4","","3,860"," ","621"," ","16","","3,239"," ","84","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2020","Q1","","4,582","r","624","r","14","","3,958","r","86","","","","","",""
"","Q2","p","2,419","","133","","6","","2,286","","95","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Percentage change, latest quarter (2020 Q2) compared with:","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"2019","Q2","","-43%","","-85%","","","","-32%","","","","","","","",""
"Source: Insolvency Service","","","","","","","","","","","","","","","","",""
"1 Figures from 2011 Q2 onwards based on the date the bankruptcy order was granted by the court or the Adjudicator.","","","","","","","","","","","","","","","","",""
"2 From October 2015, the minimum debt required to initiate a creditor petition bankruptcy increased from £750 to £5,000.","","","","","","","","","","","","","","","","",""
"3 From 6 April 2016, the process for people making themselves bankrupt moved online and out of the courts.","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
