"Description in SR ","NDB_No2","Year of SR Release","Sodium (mg/100g)","","","","Total Sugar (g/100g)","","","","Saturated Fat (g/100g)","","","","Total Fat (g/100g)","","","","Potassium (mg/100g)","","","","Total Dietary Fiber (g/100g)","","","","","","","","","",""
"Cake, cherry fudge with chocolate frosting","18095","2015","0","164","","-37","","","","","","","","","","","","","","","","","0","0.5","","-58","","","","","","",""
"Cake, marble, dry mix, pudding-type","18117","2013","0","656","","","0","57.59","","","0","2.45","","","13","11.7","0.205","","8","123","6.4","","0","2.9","","","","","","","","",""
"Cake, marble, dry mix, pudding-type","18117","2014","13","519","63.557","-21","0","35.71","","-38","","","","","","","","","","","","","","","","","","","","","","",""
"Capers, canned","02054","2013","0","2769","","","0","0.41","","","1","0.233","","","2","0.86","","","2","40","","","4","3.2","0.36","","","","","","","",""
"Capers, canned","02054","2014","0","2348","","-15","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE Bran Cereal","08244","2013","0","320","","","0","0.19","","","0","0.329","","","0","2.2","","","0","367","","","0","47.5","","","","","","","","",""
"Cereals ready-to-eat, GENERAL MILLS, FIBER ONE Bran Cereal","08244","2015","0","356","","11","0","1","","426","0","0.4","","22","0","2.29","","","0","374","","","0","46.2","","","","","","","","",""
"Cereals ready-to-eat, GENERAL MILLS, TRIX","08078","2013","0","557","","","0","32","","","0","0.6","","","0","4.1","","","0","169","","","0","4.5","","","","","","","","",""
"Cereals ready-to-eat, GENERAL MILLS, TRIX","08078","2015","0","500","","-10","","","","","0","0.5","","-17","0","3.79","","","0","162","","","0","3.9","","-13","","","","","","",""
"Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS","08206","2013","0","454","","","0","48.97","","","0","0.8","","","0","4.67","","","0","253","","","0","3.1","","","","","","","","",""
"Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS","08206","2014","0","367","","-19","","","","","0","2.763","","245","","","","","","","","","","","","","","","","","","",""
"Cereals ready-to-eat, MALT-O-MEAL, Frosted Flakes","08409","2013","0","580","","","0","38.04","","","0","0.1","","","0","1.1","","","0","95","","","0","2.3","","","","","","","","",""
"Cereals ready-to-eat, MALT-O-MEAL, Frosted Flakes","08409","2014","0","452","","-22","","","","","","","","","","","","","0","81","","-15","","","","","","","","","","",""
"Cereals ready-to-eat, POST Bran Flakes","08029","2013","0","600","","","0","17.8","","","0","0.4","","","0","2.2","","","0","553","","","0","18.2","","","","","","","","",""
"Cereals ready-to-eat, POST Bran Flakes","08029","2014","0","540","","-10","0","18.6","","","","","","","0","2.1","","","","","","","0","18.3","","","","","","","","",""
"Cereals ready-to-eat, POST, Honeycomb Cereal","08046","2013","0","559","","","0","31.2","","","0","1.3","","","0","3","","","0","157","","","0","3.3","","","","","","","","",""
"Cereals ready-to-eat, POST, Honeycomb Cereal","08046","2014","0","411","","-26","0","32.3","","","","","","","0","2.9","","","0","141","","-10","0","3.1","","","","","","","","",""
"Cereals ready-to-eat, POST, Honeycomb Cereal","08046","2015","0","553","","35","0","31.51","","","0","1.290","","","0","2.93","","","0","142","","","0","3.2","","","","","","","","",""
"Cereals ready-to-eat, Post, Waffle Crisp","08305","2013","0","383","","","0","40","","","0","1.4","","","0","9.8","","","0","133","","","0","1.8","","","","","","","","",""
"Cereals ready-to-eat, Post, Waffle Crisp","08305","2014","0","596","","56","0","34.7","","-13","0","0.9","","-36","0","5","","-49","0","212","","59","0","4.4","","144","","","","","","",""
"Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S","08211","2013","0","606","","","0","43.23","","","0","5.572","","","0","7.45","","","0","163","","","0","2","","","","","","","","",""
"Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S","08211","2014","0","679","","12","","","","","0","5.709","","","0","7.63","","","0","167","","","0","2.1","","","","","","","","",""
"Cereals ready-to-eat, RALSTON CRISP RICE","08025","2013","3","763","3.333","","3","7.65","0.048","","0","0.36","","","3","1.26","0.014","","3","110","0","","3","0.7","0","","","","","","","",""
"Cereals ready-to-eat, RALSTON CRISP RICE","08025","2014","0","545","","-29","0","12.12","","58","","","","","","","","","0","106","","","","","","","","","","","","",""
"Cereals ready-to-eat, RALSTON TASTEEOS","08074","2013","0","679","","","3","4.64","0.055","","0","1.023","","","3","5.97","0.034","","3","307","8.819","","3","10.7","0.193","","","","","","","",""
"Cereals ready-to-eat, RALSTON TASTEEOS","08074","2014","0","571","","-16","0","3.57","","-23","0","0.926","","","0","5.36","","-10","0","607","","98","","","","","","","","","","",""
"Cheese, cream","01017","2013","0","365","","","2","3.21","","","0","19.292","","","2","34.24","","","2","138","","","0","0","","","","","","","","",""
"Cheese, cream","01017","2015","12","314","7.216","-14","4","3.76","0.108","13","0","20.213","","","11","34.44","0.261","","11","132","5.695","","","","","","","","","","","",""
"Cheese, swiss","01040","2013","0","70","","","2","1.32","","","0","17.779","","","6","27.8","0.956","","18","77","1.061","","0","0","","","","","","","","",""
"Cheese, swiss","01040","2015","12","187","10.837","167","4","0","0","-100","0","18.227","","","12","30.99","0.239","11","12","72","2.679","","","","","","","","","","","",""
"Cookies, shortbread, commercially prepared, plain","18192","2013","0","524","","","0","15.06","","","0","6.106","","","18","24.1","0.485","","16","100","4.379","","0","1.8","","","","","","","","",""
"Cookies, shortbread, commercially prepared, plain","18192","2014","12","353","2.403","-33","6","21.65","0.194","44","0","8.105","","33","11","26.22","0.193","","12","88","1.246","-12","6","1.3","0.053","-28","","","","","","",""
"Cookies, sugar, commercially prepared, regular (includes vanilla)","18204","2013","0","298","","","0","37.7","","","0","5.435","","","8","21.1","0.771","","2","63","","","0","0.8","","","","","","","","",""
"Cookies, sugar, commercially prepared, regular (includes vanilla)","18204","2014","9","385","28.275","29","6","27.31","1.271","-28","0","7.666","","41","9","19.55","1.114","","9","87","5.079","38","6","1.3","0.097","62","","","","","","",""
"Cookies, sugar, refrigerated dough, baked","18206","2013","0","321","","","0","23.96","","","0","5.906","","","0","23.1","","","0","163","","","0","0.8","","","","","","","","",""
"Cookies, sugar, refrigerated dough, baked","18206","2015","0","362","","13","0","40.36","","68","","","","","","","","","","","","","0","0.9","","13","","","","","","",""
"Corn, sweet, white, canned, whole kernel, drained solids","11905","2013","0","323","","","0","2.4","","","0","0.154","","","5","1","0.097","","0","195","","","0","2","","","","","","","","",""
"Corn, sweet, white, canned, whole kernel, drained solids","11905","2014","3","185","","-43","2","2.42","","","0","0.161","","","4","1.37","0.108","37","4","142","0.638","-27","2","2.3","","15","","","","","","",""
"Crackers, milk","18223","2013","10","592","11.45","","0","16.44","","","0","2.633","","","10","15.8","0.456","","9","114","5.834","","0","1.9","","","","","","","","",""
"Crackers, milk","18223","2015","0","687","","16","0","10.32","","-37","0","2.912","","11","0","13.77","","-13","","","","","0","3.4","","79","","","","","","",""
"Crackers, wheat, regular","18232","2013","0","787","","","4","13.8","0.283","","0","2.73","","","4","17.36","1.004","","4","207","4.708","","4","3.7","0.132","","","","","","","",""
"Crackers, wheat, regular","18232","2014","12","699","35.695","-11","6","15.48","0.278","12","0","3.21","","18","12","16.4","0.22","","12","283","4.253","37","6","6.9","0.071","86","","","","","","",""
"Fast Foods, hush puppies","21129","2013","6","1085","19.451","","3","3.8","0.115","","0","2.621","","","6","13.25","0.606","","6","256","7.769","","3","2.9","0.285","","","","","","","",""
"Fast Foods, hush puppies","21129","2014","0","813","","-25","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Frankfurter, chicken","07024","2013","0","756","","","3","0.53","0.532","","0","3.856","","","3","16.19","1.247","","3","202","17.01","","3","0.4","0.383","","","","","","","",""
"Frankfurter, chicken","07024","2015","0","1027","","36","0","2.98","","462","","","","","","","","","","","","","0","0","","-100","","","","","","",""
"Noodles, chinese, chow mein","20113","2013","0","847","","","0","0.91","","","0","1.761","","","0","17.64","","","3","120","48.72","","0","2.7","","","","","","","","",""
"Noodles, chinese, chow mein","20113","2014","0","1174","","39","0","5.71","","507","0","2.229","","26","0","15.43","","-13","","","","","0","3.7","","37","","","","","","",""
"Nuts, almonds, dry roasted, with salt added","12563","2013","0","656","","","0","4.86","","","0","4.092","","","23","52.54","0.761","","21","713","11.42","","20","10.9","0.414","","","","","","","",""
"Nuts, almonds, dry roasted, with salt added","12563","2014","0","498","","-24","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nuts, cashew butter, plain, with salt added","12588","2013","0","406","","","0","5.01","","","0","9.763","","","3","49.41","0.376","","0","546","","","0","2","","","","","","","","",""
"Nuts, cashew butter, plain, with salt added","12588","2014","0","295","","-27","0","9.09","","81","0","10.606","","","0","53.03","","","0","447","","-18","0","3","","50","","","","","","",""
"Pepperoni, pork, beef","07057","2013","0","1761","","","3","0","0","","0","14.86","","","3","43.98","1.401","","3","279","17.521","","3","0","0","","","","","","","",""
"Pepperoni, pork, beef","07057","2015","6","1582","32.189","-10","1","0","","","0","17.708","","19","6","46.28","0.587","","6","274","2.813","","","","","","","","","","","",""
"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, cooked, broiled","10950","2013","0","234","","","0","0","","","0","1.678","","","0","4.86","","","0","517","","","0","0","","","","","","","","",""
"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, cooked, broiled","10950","2014","0","302","","29","","","","","0","3.268","","95","0","9.42","","94","0","581","","12","","","","","","","","","","",""
"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw","10949","2013","0","226","","","0","0","","","0","1.486","","","0","4.21","","","0","479","","","0","0","","","","","","","","",""
"Pork, fresh, enhanced, loin, top loin (chops), boneless, separable lean and fat, raw","10949","2014","0","251","","11","","","","","0","2.53","","70","0","10.26","","144","0","489","","","","","","","","","","","","",""
"Pork sausage rice links, brown and serve, cooked","42190","2013","0","880","","","0","0","","","4","12.825","","","4","37.63","","","1","212","","","0","0","","","","","","","","",""
"Pork sausage rice links, brown and serve, cooked","42190","2015","4","689","","-22","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Sausage, Italian, pork, cooked","07089","2013","2","1207","","","2","0.86","","","0","9.655","","","2","27.31","","","4","304","9.647","","2","0.1","","","","","","","","",""
"Sausage, Italian, pork, cooked","07089","2015","0","743","","-38","0","1.86","","116","2","10.195","","","","","","","","","","","","","","","","","","","","",""
"Sausage, turkey, hot, smoked","07929","2013","0","1196","","","1","3.2","","","0","3.77","","","1","8.75","","","1","197","","","1","0.9","","","","","","","","",""
"Sausage, turkey, hot, smoked","07929","2015","0","916","","-23","","","","","0","3.401","","","","","","","","","","","0","0.3","","-67","","","","","","",""
"Seeds, sunflower seed kernels, dry roasted, with salt added","12537","2013","0","368","","","0","2.73","","","0","5.219","","","1","49.8","","","1","850","","","0","9","","","","","","","","",""
"Seeds, sunflower seed kernels, dry roasted, with salt added","12537","2014","0","655","","78","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Snacks, KELLOGG'S, NUTRI-GRAIN Cereal Bars, fruit","19441","2013","0","315","","","0","30.84","","","0","1.6","","","0","8.76","","","0","222","","","0","6.9","","","","","","","","",""
"Snacks, KELLOGG'S, NUTRI-GRAIN Cereal Bars, fruit","19441","2015","6","354","4.318","12","3","28.98","0.272","","0","1.442","","","6","8.67","0.095","","6","247","3.077","11","3","3","0.339","-57","","","","","","",""
"Snack, potato chips, made from dried potatoes, plain","19410","2013","0","529","","","7","1.14","0.177","","0","9.492","","","8","38.41","0.315","","4","751","21.89","","8","3.1","0.241","","","","","","","",""
"Snack, potato chips, made from dried potatoes, plain","19410","2014","6","400","24.171","-24","2","0.76","","-33","0","8.643","","","6","35.28","0.439","","6","637","25.75","-15","3","2.9","0.127","","","","","","","",""
"SEM: standard error of the mean, SR: National Nutrient Database for Standard Reference","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1The changes in nutrient values may reflect reformulations in products, changes in the market shares of brands, or more accurate data. Examples of more accurate data include analytical data, market share data, and data from a nationally representative sample.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2 This five-digit number uniquely identifies a food item in USDA’s National Nutrient Database for Standard Reference (SR).","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3For many food items N=0 and range and SEM are not available as they have not been analyzed. For foods that have been analyzed, most saturated fat and some total sugar values are determined by summing individual saturated fatty acids and individual sugars, respectively; hence n = 0 and SEM are not available.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4Percent change is calculated using the formula: ((Re-sampled Nutrient Value - Baseline Nutrient Value)/Baseline Nutrient Value) * 100.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
