"Date Rec'd","IDB","Name of local Authority","Forecast","Total","Notes","Update by",""
"11/9/2022","Black Drain Drainage Board","","","","","",""
"","","Doncaster Metropolitan Borough Council"," £ 84,629.00 ","","","JB",""
"","","East Riding of Yorkshire Council"," £ 595.00 ","","","",""
"","","",""," £ 85,224.00 ","","",""
"11/2/2022","Black Sluice","","","","","",""
"","","Boston Borough Council"," £ 885,734.00 ","","","",""
"","","South Holland District Council"," £ 166,133.00 ","","","",""
"","","North Kesteven District Council"," £ 75,250.00 ","","","JB",""
"","","South Kesteven District Council"," £ 63,233.00 ","","","",""
"","","",""," £ 1,190,350.00 ","","",""
"11/21/2022","Bluntisham","","","","","",""
"","","Huntingdonshire District Council"," £ 12,176.00 ","","","JB",""
"","","",""," £ 12,176.00 ","","",""
"11/9/2022","Braunton Marsh","","","","","",""
"","","North Devon Council"," £ 28,687.00 ","","","JB",""
"","","",""," £ 28,687.00 ","","",""
"11/14/2022","Broads","","","","","",""
"","","Broadland District Council"," £ 186,118.00 ","","","",""
"","","Great Yarmouth Borough Council"," £ 210,486.00 ","","","JB",""
"","","North Norfolk District Council"," £ 328,021.00 ","","","",""
"","","South Norfolk"," £ 2,902.00 ","","","",""
"","","",""," £ 727,527.00 ","","",""
"11/11/2022","Buckingham and River Ouzel","","","","","",""
"","","Buckinghamshire CC"," £ 27,109.00 ","","","",""
"","","Central Bedfordshire Council"," £ 280,369.00 ","","","",""
"","","Cherwell District Council"," £ 90.00 ","","","JB",""
"","","Milton Keynes Council"," £ 351,164.00 ","","","",""
"","","South Northamptonshire Council"," £ 14,275.00 ","","","",""
"","","",""," £ 673,007.00 ","","",""
"11/17/2022","Burnt Fen","","","","","",""
"","","West Suffolk Council"," £ 16,180.00 ","","","",""
"","","East Cambridgeshire District Council"," £ 26,095.00 ","","","JB",""
"","","",""," £ 42,275.00 ","","",""
"11/17/2022","Cawdle Fen","","","","","",""
"","","East Cambridgeshire District Council"," £ 20,982.00 ","","","JB",""
"","","",""," £ 20,982.00 ","","",""
"11/22/2022","Churchfield and Plawfield","","","","","",""
"","","Kings Lynn & West Norfolk DC"," £ 31,858.00 ","","","JB",""
"","","",""," £ 31,858.00 ","","",""
"11/22/2022","Connington & Holme","","","","","",""
"","","Huntingdonshire District Council"," £ 6,542.00 ","","","JB",""
"","","",""," £ 6,542.00 ","","",""
"11/8/2022","Cowick and Snaith","","","","","",""
"","","East Riding of Yorkshire Council"," £ 73,535.00 ","","","JB",""
"","","",""," £ 73,535.00 ","","",""
"11/22/2022","Curf and Wimblington Combined","","","","","",""
"","","Fenland District Council"," £ 9,753.00 ","","","JB",""
"","","",""," £ 9,753.00 ","","",""
"11/9/2022","Danvm Drainage Commissioners","","","","","",""
"","","Doncaster Metropolitan Borough Council"," £ 490,157.00 ","","","",""
"","","East Riding of Yorkshire Council"," £ 31,954.00 ","","","",""
"","","Selby District Council"," £ 478,112.00 ","","","JB",""
"","","Wakefield Metropolitan District Council"," £ 117,694.00 ","","","",""
"","","Barnsley Metropolitan Borough Council"," £ 45,495.00 ","","","",""
"","","Rotherham Metropolitan Borough Council"," £ 3,029.00 ","","","",""
"","","",""," £ 1,166,441.00 ","","",""
"11/8/2022","Dempster ","","","","","",""
"","","East Riding of Yorkshire Council"," £ 29,763.00 ","","","JB",""
"","","",""," £ 29,763.00 ","","",""
"11/11/2022","Doncaster East","","","","","",""
"","","Doncaster Metropolitan Borough Council"," £ 866,868.00 ","","","",""
"","","North Lincolnshire Council"," £ 16,543.00 ","","","JB",""
"","","Bassetlaw District Council"," £ 13,368.00 ","","","",""
"","","",""," £ 896,779.00 ","","",""
"11/17/2022","Downham & Stow Bardolph","","","","","",""
"","","Borough council of king's Lynn and West Norfolk"," £ 61,512.00 ","","","JB",""
"","","",""," £ 61,512.00 ","","",""
"11/21/2022","Earby & Salterforth","","","","","",""
"","","Pendle"," £ 8,750.00 ","","","JB",""
"","","",""," £ 8,750.00 ","","",""
"11/3/2022","East Harling","","","","","",""
"","","Breckland Council"," £ 23,280.00 ","","","JB",""
"","","",""," £ 23,280.00 ","","",""
"11/14/2022","East Suffolk","","","","","",""
"","","Babergh District Council"," £ 1,907.00 ","","","",""
"","","Ipswich Borough Council"," £ 40,389.00 ","","","JB",""
"","","Mid-Suffolk District Council"," £ 42,954.00 ","","","",""
"","","East Suffolk Council"," £ 125,533.00 ","","","",""
"","","",""," £ 210,783.00 ","","",""
"11/17/2022","East of the Ouse, Polver and Nar","","","","","",""
"","","Borough of Kings Lynn & West Norfolk"," £ 271,226.00 ","","","JB",""
"","","",""," £ 271,226.00 ","","",""
"11/22/2022","Euixmoor","","","","","",""
"","","Fenland District Council"," £ 2,731.00 ","","","JB",""
"","","",""," £ 2,731.00 ","","",""
"11/7/2022","Feldale","","","","","",""
"","","Fenland District Council"," £ 10,562.11 ","","","JB",""
"","","",""," £ 10,562.11 ","","",""
"11/7/2022","Foss","","","","","",""
"","","City of York Council"," £ 306,750.00 ","","","",""
"","","East Riding of Yorkshire"," £ 16,964.00 ","","","JB",""
"","","Hambleton District Council"," £ 981.00 ","","","",""
"","","Ryedale District Council"," £ 4,329.00 ","","","",""
"","","",""," £ 329,024.00 ","","",""
"11/21/2022","Goole Fields","","","","","",""
"","","East Riding of Yorkshire Council"," £ 6,791.00 ","","","JB",""
"","","",""," £ 6,791.00 ","","",""
"11/21/2022","Goole & Airmyn","","","","","",""
"","","East Riding of Yorkshire Council"," £ 257,414.00 ","","","JB",""
"","","",""," £ 257,414.00 ","","",""
"11/22/2022","Haddenham Level","","","","","",""
"","","East Cambridgeshire District Council"," £ 68,735.00 ","","","JB",""
"","","",""," £ 68,735.00 ","","",""
"11/7/2022","Holmewood and District","","","","","",""
"","","Huntingdonshire"," £ 2,277.00 ","","","JB",""
"","","",""," £ 2,277.00 ","","",""
"11/22/2022","Hundred Foot Washes","","","","","",""
"","","Borough Council Kings Lynn & West Norfolk"," £ 151.00 ","","","JB",""
"","","East Cambridgeshire District Council"," £ 9.00 ","","","",""
"","","",""," £ 160.00 ","","",""
"11/22/2022","Hundred of Wisbech","","","","","",""
"","","Fenland District Council"," £ 203,629.00 ","","","",""
"","","Borough of Kings Lynn & West Norfolk"," £ 1,194.00 ","","","JB",""
"","","",""," £ 204,823.00 ","","",""
"11/14/2022","Kings Lynn","","","","","",""
"","","Kings Lynn & West Norfolk Borough Council"," £ 2,037,215.00 ","","","",""
"","","Fenland District Council"," £ 94,039.00 ","","","JB",""
"","","South Holland District Council"," £ 26,065.00 ","","","",""
"","","",""," £ 2,157,319.00 ","","",""
"11/9/2022","Kyle and Upper Ouse","","","","","",""
"","","Hambleton District Council"," £ 16,718.00 ","","","JB",""
"","","City of York Council"," £ 128,078.00 ","","","",""
"","","",""," £ 144,796.00 ","","",""
"11/15/2022","Lakenheath","","","","","",""
"","","West Suffolk Council"," £ 15,283.00 ","","","JB",""
"","","",""," £ 15,283.00 ","","",""
"11/11/2022","Lindsey Marsh","","","","","",""
"","","East Lindsey District Council"," £ 3,148,331.00 ","","","",""
"","","North East Lincolnshire Council"," £ 9,965.00 ","","","JB",""
"","","",""," £ 3,158,296.00 ","","",""
"11/17/2022","Littleport and Downham","","","","","",""
"","","East Cambridgeshire District Council"," £ 204,120.00 ","","","",""
"","","King's Lynn and West Norfolk Borough Council"," £ 28,421.00 ","","","JB",""
"","","",""," £ 232,541.00 ","","",""
"11/10/2022","Lower Medway","","","","","",""
"","","Canterbury City Council"," £ 11,083.00 ","","","",""
"","","Medway Council"," £ 404,117.00 ","","","",""
"","","Swale Borough Council"," £ 906,019.00 ","","","JB",""
"","","Tonbridge and Malling Borough Council"," £ 216,247.00 ","","","",""
"","","",""," £ 1,537,466.00 ","","",""
"11/4/2022","Lower Severn IDB (2005)","","","","","",""
"","","Bristol City Council"," £ 804,477.00 ","","","",""
"","","South Gloucestershire Council"," £ 361,488.00 ","","","",""
"","","Stroud District Council"," £ 171,228.00 ","","","",""
"","","Gloucester City Council"," £ 77,282.00 ","","","",""
"","","Forest of Dean Council"," £ 47,753.00 ","","","JB",""
"","","Herefordshire Council"," £ 13,047.00 ","","","",""
"","","Tewkesbury Borough Council"," £ 7,837.00 ","","","",""
"","","Malvern Hills Council"," £ 1,789.00 ","","","",""
"","","",""," £ 1,484,901.00 ","","",""
"11/22/2022","Manea & Welney","","","","","",""
"","","Fenland District Council"," £ 36,146.00 ","","","",""
"","","Borough Council of Kings Lynn & West Norfolk"," £ 21,372.00 ","","","JB",""
"","","",""," £ 57,518.00 ","","",""
"11/22/2022","March West and White Fen","","","","","",""
"","","Fenland District Council"," £ 42,134.00 ","","","JB",""
"","","",""," £ 42,134.00 ","","",""
"11/22/2022","March 3rd","","","","","",""
"","","Fenland District Council"," £ 719.00 ","","","JB",""
"","","",""," £ 719.00 ","","",""
"11/22/2022","March 5th","","","","","",""
"","","Fenland District Council"," £ 25,829.00 ","","","JB",""
"","","",""," £ 25,829.00 ","","",""
"11/22/2022","March 6th","","","","","",""
"","","Fenland District Council"," £ 4,079.00 ","","","JB",""
"","","",""," £ 4,079.00 ","","",""
"11/22/2022","March East","","","","","",""
"","","Fenland District Council"," £ 52,542.00 ","","","JB",""
"","","",""," £ 52,542.00 ","","",""
"11/8/2022","Melverley","","","","","",""
"","","Shropshire Council"," £ 8,443.00 ","","","JB",""
"","","",""," £ 8,443.00 ","","",""
"11/16/2022","Middle Fen and Mere","","","","","",""
"","","East Cambridgeshire District Council"," £ 88,321.00 ","","","JB",""
"","","",""," £ 88,321.00 ","","",""
"11/8/2022","Middle Level Commissioners","","","","","",""
"","","Borough Council of Kings Lynn & West Norfolk"," £ 223,002.00 ","","","",""
"","","Fenland District Council"," £ 545,014.00 ","","","JB",""
"","","Huntingdonshire District Council"," £ 226,919.00 ","","","",""
"","","",""," £ 994,935.00 ","","",""
"11/16/2022","Mildenhall","","","","","",""
"","","West Suffolk Council"," £ 72,790.00 ","","","JB",""
"","","",""," £ 72,790.00 ","","",""
"11/21/2022","Needham and Laddus","","","","","",""
"","","Fenland District Council"," £ 4,293.00 ","","","",""
"","","Borough Council of Kings Lynn & West Norfolk"," £ 25,941.00 ","","","JB",""
"","","",""," £ 30,234.00 ","","",""
"11/23/2022","Nightlayers","","","","","",""
"","","Fenland District Council"," £ 27,214.00 ","","","JB",""
"","","",""," £ 27,214.00 ","","",""
"11/23/2022","Nordelph","","","","","",""
"","","Borough Council Kings Lynn & West Norfolk"," £ 1,514.00 ","","","JB",""
"","","",""," £ 1,514.00 ","","",""
"11/14/2022","Norfolk Rivers","","","","","",""
"","","Breckland District Council"," £ 55,607.00 ","","","",""
"","","Broadland District Council"," £ 83,170.00 ","","","",""
"","","Kings Lynn & West Norfolk Borough Council"," £ 21,120.00 ","","","JB",""
"","","North Norfolk District Council"," £ 110,805.00 ","","","",""
"","","Norwich City Council"," £ 6,200.00 ","","","",""
"","","South Norfolk District Council"," £ 70,531.00 ","","","",""
"","","",""," £ 347,433.00 ","","",""
"11/3/2022","North East Lindsey","","","","","",""
"","","North Lincolnshire Council"," £ 167,388.00 ","","","",""
"","","North East Lincolnshire Council"," £ 452,212.00 ","","","JB",""
"","","West Lindsey District Council"," £ 3,554.00 ","","","",""
"","","",""," £ 623,154.00 ","","",""
"11/9/2022","North Kent Marshes","","","","","",""
"","","Medway Council"," £ 49,926.00 ","","","JB",""
"","","Gravesham BC"," £ 44,690.00 ","","","",""
"","","",""," £ 94,616.00 ","","",""
"11/2/2022","North Level District ","","","","","",""
"","","Fenland District Council"," £ 430,947.00 ","","","",""
"","","Peterborough City Council"," £ 385,379.00 ","","","JB",""
"","","South Holland District Council"," £ 166,562.00 ","","","",""
"","","",""," £ 982,888.00 ","","",""
"11/10/2022","North Somerset Levels","","","","","",""
"","","North Somerset District Council"," £ 568,039.00 ","","","JB",""
"","","",""," £ 568,039.00 ","","",""
"11/17/2022","Northwold","","","","","",""
"","","Kings Lynn & West Norfolk Borough Council"," £ 250.00 ","","","JB",""
"","","",""," £ 250.00 ","","",""
"11/16/2022","Old West","","","","","",""
"","","South Cambridgeshire District Council"," £ 40,786.00 ","","","JB",""
"","","",""," £ 40,786.00 ","","",""
"11/8/2022","Ouse and Derwent","","","","","",""
"","","Selby District Council"," £ 263,429.00 ","","","JB",""
"","","City of York Council"," £ 139,952.00 ","","","",""
"","","",""," £ 403,381.00 ","","",""
"11/9/2022","Ouse and Humber","","","","","",""
"","","East Riding of Yorkshire Council"," £ 776,528.00 ","","","JB",""
"","","",""," £ 776,528.00 ","","",""
"11/23/2022","Over and Willingham","","","","","",""
"","","South Cambridgeshire District Council"," £ 21,155.00 ","","","JB",""
"","","",""," £ 21,155.00 ","","",""
"11/16/2022","Padnal and Waterden","","","","","",""
"","","East Cambridgeshire District Council"," £ 74,941.00 ","","","JB",""
"","","",""," £ 74,941.00 ","","",""
"11/10/2022","Parrett","","","","","",""
"","","Mendip District Council"," £ 5,843.00 ","","","",""
"","","Taunton Deane District Council"," £ 34,130.00 ","","","JB",""
"","","Sedgemoor District Council"," £ 832,846.00 ","","","",""
"","","South Somerset District Council"," £ 75,175.00 ","","","",""
"","","",""," £ 947,994.00 ","","",""
"11/14/2022","Pevensey and Cuckmere","","","","","",""
"","","Wealden District Council"," £ 66,411.00 ","","","",""
"","","Hastings Borough Council"," £ 12,621.00 ","","","",""
"","","Rother District Council"," £ 4,626.00 ","","","JB",""
"","","Eastbourne District Council"," £ 249,351.00 ","","","",""
"","","",""," £ 333,009.00 ","","",""
"11/9/2022","Ramsey","","","","","",""
"","","Huntingdon District Council"," £ 31,000.00 ","","","JB",""
"","","",""," £ 31,000.00 ","","",""
"11/23/2022","Ramsey 1st (Hollow)","","","","","",""
"","","Huntingdonshire District Council"," £ 4,882.00 ","","","JB",""
"","","",""," £ 4,882.00 ","","",""
"11/23/2022","Ramsey 4th (Middlemoor) ","","","","","",""
"","","Huntingdonshire District Council"," £ 21,689.00 ","","","JB",""
"","","",""," £ 21,689.00 ","","",""
"11/23/2022","Ramsey Upwood and Gt Raveley","","","","","",""
"","","Huntingdonshire District Council"," £ 35,644.00 ","","","JB",""
"","","",""," £ 35,644.00 ","","",""
"11/23/2022","Ransonmoor","","","","","",""
"","","Fenland District Council"," £ 9,249.00 ","","","JB",""
"","","",""," £ 9,249.00 ","","",""
"11/8/2022","Rawcliffe","","","","","",""
"","","East Riding of Yorkshire Council"," £ 81,148.00 ","","","JB",""
"","","",""," £ 81,148.00 ","","",""
"11/8/2022","Rea Internal Drainage Board","","","","","",""
"","","Shropshire Council"," £ 638.00 ","","","JB",""
"","","",""," £ 638.00 ","","",""
"11/9/2022","Reedness and Swinefleet","","","","","",""
"","","East Riding of Yorkshire Council"," £ 33,354.00 ","","","JB",""
"","","",""," £ 33,354.00 ","","",""
"11/3/2022","River Arun","","","","","",""
"","","Arun District Council"," £ 65,447.00 ","","","",""
"","","Horsham District Council"," £ 717.00 ","","","JB",""
"","","Chichester District Council"," £ 298.00 ","","","",""
"","","",""," £ 66,462.00 ","","",""
"11/21/2022","River Lugg","","","","","",""
"","","Herefordshire"," £ 134,417.00 ","","","JB",""
"","","",""," £ 134,417.00 ","","",""
"11/3/2022","River Stour","","","","","",""
"","","Ashford Borough Council"," £ 284,908.00 ","","","",""
"","","Canterbury City Council"," £ 137,438.00 ","","","",""
"","","Dover District Council"," £ 83,284.00 ","","","",""
"","","Folkestone & Hythe District Council"," £ 604.00 ","","","JB",""
"","","Thanet District Council"," £ 98,152.00 ","","","",""
"","","",""," £ 604,386.00 ","","",""
"11/7/2022","Romney Marshes","","","","","",""
"","","Ashford Borough Council"," £ 12,073.00 ","","","",""
"","","Rother District Council"," £ 504,916.00 ","","","JB",""
"","","Folkestone & Hythe District Council"," £ 137,819.00 ","","","",""
"","","",""," £ 654,808.00 ","","",""
"11/23/2022","Sawtry","","","","","",""
"","","Huntingdonshire District Council",""," £ 20,569.00 ","","JB",""
"","","","","0","","",""
"11/21/2022","Scunthorpe and Gainsborough WLM Board","","","","","",""
"","","North Lincolnshire Council"," £ 255,191.00 ","","","",""
"","","West Lindsey District Council"," £ 57,496.00 ","","","JB",""
"","","",""," £ 312,687.00 ","","",""
"11/9/2022","Selby Area","","","","","",""
"","","Selby District Council"," £ 1,048,230.00 ","","","JB",""
"","","",""," £ 1,048,230.00 ","","",""
"11/14/2022","South Holland","","","","","",""
"","","Boston Borough Council"," £ 1,027.00 ","","","JB",""
"","","South Holland District Council"," £ 1,461,582.00 ","","","",""
"","","",""," £ 1,462,609.00 ","","",""
"11/17/2022","Southery & District","","","","","",""
"","","Kings Lynn & West Norfolk Borough Council"," £ 211,062.00 ","","","JB",""
"","","",""," £ 211,062.00 ","","",""
"11/4/2022","South Holderness","","","","","",""
"","","East Riding of Yorkshire Council"," £ 6,127,640.00 ","","","JB",""
"","","",""," £ 6,127,640.00 ","","",""
"11/21/2022","Sow and Penk","","","","","",""
"","","Stafford Borough Council"," £ 108,979.00 ","","","",""
"","","South Staffordshire District Council"," £ 3,873.00 ","","","JB",""
"","","",""," £ 112,852.00 ","","",""
"11/17/2022","Stoke Ferry","","","","","",""
"","","Kings Lynn & West Norfolk Borough Council"," £ 45,982.45 ","","","JB",""
"","","",""," £ 45,982.45 ","","",""
"11/17/2022","Stringside","","","","","",""
"","","Kings Lynn & West Norfolk Borough Council"," £ 2,027.00 ","","","JB",""
"","","",""," £ 2,027.00 ","","",""
"11/23/2022","Sutton & Mepal","","","","","",""
"","","Fenland District Council"," £ 21,891.00 ","","","",""
"","","Huntingdonshire District Council"," £ 18,526.00 ","","","JB",""
"","","East Cambridgeshire District Council"," £ 9,861.00 ","","","",""
"","","",""," £ 50,278.00 ","","",""
"11/17/2022","Swaffham","","","","","",""
"","","East Cambridgeshire District Council"," £ 39,124.00 ","","","JB",""
"","","South Cambridgeshire District Council"," £ 1,693.00 ","","","",""
"","","",""," £ 40,817.00 ","","",""
"11/9/2022","Swale and Ure","","","","","",""
"","","Hambleton District Council"," £ 117,054.00 ","","","",""
"","","Harrogate Borough Council"," £ 94,332.00 ","","","JB",""
"","","Richmondshire District Council"," £ 18,426.00 ","","","",""
"","","",""," £ 229,812.00 ","","",""
"11/24/2022","Swavesey","","","","","",""
"","","South Cambridgeshire District Council"," £ 6,927.00 ","","","JB",""
"","","",""," £ 6,927.00 ","","",""
"11/2/2022","Thorntree","","","","","",""
"","","East Riding of Yorkshire"," £ 2,424.00 ","","","JB",""
"","","",""," £ 2,424.00 ","","",""
"11/11/2022","Trent Valley","","","","","",""
"","","Newark & Sherwood "," £ 666,146.00 ","","","",""
"","","Bassetlaw District Council"," £ 487,346.00 ","","","",""
"","","Rushcliffe District Council"," £ 327,575.00 ","","","",""
"","","West Lindsey District Council"," £ 46,689.00 ","","","JB",""
"","","North Kesteven District Council"," £ 38,956.00 ","","","",""
"","","Gedling Borough Council"," £ 27,497.00 ","","","",""
"","","Melton Borough Council"," £ 21,130.00 ","","","",""
"","","",""," £ 1,615,339.00 ","","",""
"11/4/2022","Upper Medway","","","","","",""
"","","Ashford Borough Council"," £ 1,140.00 ","","","",""
"","","Maidstone Borough Council"," £ 127,990.00 ","","","",""
"","","Mid Sussex District Council"," £ 1,032.00 ","","","",""
"","","Sevenoaks District Council"," £ 18,232.00 ","","","",""
"","","Tandridge District Council"," £ 8,223.00 ","","","JB",""
"","","Tonbridge and Malling Borough Council"," £ 244,769.00 ","","","",""
"","","Tonbridge Wells Borough Council"," £ 98,343.00 ","","","",""
"","","Wealdon District Council"," £ 19,100.00 ","","","",""
"","","",""," £ 518,829.00 ","","",""
"11/3/2022","Upper Witham","","","","","",""
"","","North Kesteven District Council"," £ 250,692.00 ","","","",""
"","","Newark and Sherwood District Council"," £ 11,827.00 ","","","",""
"","","South Kesteven District Council"," £ 148,760.00 ","","","",""
"","","West Lindsey District Council"," £ 51,001.00 ","","","JB",""
"","","City of Lincoln Council"," £ 493,068.00 ","","","",""
"","","",""," £ 955,348.00 ","","",""
"11/24/2022","Upwell","","","","","",""
"","","Fenland District Council"," £ 21,042.00 ","","","",""
"","","Borough Council of Kings Lynn & West Norfolk"," £ 31,675.00 ","","","JB",""
"","","",""," £ 52,717.00 ","","",""
"11/9/2022","Vale of Pickering","","","","","",""
"","","Ryedale District Council"," £ 103,679.00 ","","","JB",""
"","","Scarborough Borough Council"," £ 30,857.00 ","","","",""
"","","",""," £ 134,536.00 ","","",""
"11/24/2022","Waldersey","","","","","",""
"","","Fenland District Council"," £ 10,986.00 ","","","JB",""
"","","",""," £ 10,986.00 ","","",""
"11/24/2022","Warboys, Somersham and Pidley","","","","","",""
"","","Fenland District Council"," £ 5,043.00 ","","","",""
"","","Huntingdonshire District Council"," £ 14,778.00 ","","","JB",""
"","","",""," £ 19,821.00 ","","",""
"11/17/2022","Waterbeach Level","","","","","",""
"","","East Cambridgeshire District Council"," £ 23,084.00 ","","","",""
"","","South Cambridgeshire"," £ 136,864.00 ","","","JB",""
"","","",""," £ 159,948.00 ","","",""
"11/14/2022","Waveney, Lower Yare and Lothingland","","","","","",""
"","","Breckland District Council"," £ 903.00 ","","","",""
"","","Broadland District Council"," £ 936.00 ","","","",""
"","","Great Yarmouth District Council"," £ 64,191.00 ","","","",""
"","","Mid-Suffolk District Council"," £ 17,706.00 ","","","JB",""
"","","South Norfolk District Council"," £ 123,763.00 ","","","",""
"","","East Suffolk Council"," £ 26,974.00 ","","","",""
"","","",""," £ 234,473.00 ","","",""
"11/2/2022","Wellend and Deepings","","","","","",""
"","","South Holland District Council"," £ 1,012,257.00 ","","","JB",""
"","","South Kesteven District Council"," £ 591,532.00 ","","","",""
"","","Boston Borough Council"," £ 67,120.00 ","","","",""
"","","Peterborough City Council"," £ 194,992.00 ","","","",""
"","","",""," £ 1,865,901.00 ","","",""
"11/7/2022","Whittlesey and District","","","","","",""
"","","Fenland District Council"," £ 206,634.00 ","","","",""
"","","Huntingdonshire District Council"," £ 122,987.00 ","","","JB",""
"","","",""," £ 329,621.00 ","","",""
"11/4/2022","Witham 1st","","","","","",""
"","","City of Lincoln Council"," £ 147,704.00 ","","","",""
"","","North Kesteven District Council"," £ 279,054.00 ","","","JB",""
"","","",""," £ 426,758.00 ","","",""
"11/4/2022","Witham 3rd","","","","","",""
"","","City of Lincoln Council"," £ 281,925.00 ","","","",""
"","","East Lindsey District Council"," £ 382,480.00 ","","","JB",""
"","","West Lindsey District Council"," £ 224,710.00 ","","","",""
"","","",""," £ 889,115.00 ","","",""
"11/2/2022","Witham 4th","","","","","",""
"","","Boston Borough Council"," £ 1,163,420.00 ","","","",""
"","","East Lindsey District Council"," £ 410,190.00 ","","","JB",""
"","","",""," £ 1,573,610.00 ","","",""
"11/7/2022","Woodwalton","","","","","",""
"","","Huntingdonshire"," £ 579.00 ","","","JB",""
"","","",""," £ 579.00 ","","",""
"112","112",""," £ 45,976,943.56 "," £ 45,997,512.56 ","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","",""," "
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
