"Occupational group and industry","Indexes (Dec. 2005=100)","","","Percent changes for","","","","",""
"Information","156.4","159.4","161.3","0.1","-0.1","1.2","3.9","2","3.1"
"Financial activities","159.1","162.8","163.1","0.8","1.5","0.2","4.1","3.1","2.5"
"Excluding incentive paid occupations(2)","159.2","163.4","164","0.4","0.9","0.4","3.9","3","3"
"Finance and insurance","159.5","163.4","163.3","0.7","1.6","-0.1","4","3.2","2.4"
"Credit intermediation and related activities","160.4","165.3","165.4","1.3","1.3","0.1","4.4","4.4","3.1"
"Excluding incentive paid occupations(2)","163.4","168.4","169.2","0.6","1","0.5","4.1","3.7","3.5"
"Insurance carriers and related activities","160.6","165","164","0.4","1.8","-0.6","4","3.1","2.1"
"Excluding incentive paid occupations(2)","157.9","162.5","162.5","0.1","1","0","3.8","3","2.9"
"Real estate and rental and leasing","157.4","160","162.3","1.2","1","1.4","4.2","2.8","3.1"
"Excluding incentive paid occupations(2)","161.2","164.3","165.4","0.7","1","0.7","3.9","2.7","2.6"
"Professional and business services","160.7","165.5","165.8","0.9","0.8","0.2","4.3","4","3.2"
"Professional, scientific, and technical services","161.7","166.1","166.4","0.9","0.7","0.2","4","3.7","2.9"
"Administrative and support and waste management and remediation services","161","165.5","166.6","0.9","0.9","0.7","4.5","3.8","3.5"
"Education and health services","159.7","164.6","166.7","1.4","0.9","1.3","4.9","4.5","4.4"
"Educational services","156.5","160.6","163.9","2","0.6","2.1","4.4","4.6","4.7"
"Junior colleges, colleges, universities, and professional schools","155.6","158.8","162.4","2","0.5","2.3","3.9","4.1","4.4"
"Health care and social assistance","160.4","165.4","167.3","1.3","1","1.1","5","4.4","4.3"
"Hospitals","160.9","166.5","168","0.9","0.8","0.9","4.9","4.5","4.4"
"Nursing and residential care facilities","160.4","165","166.2","1.5","1","0.7","5","4.4","3.6"
"Nursing care facilities(2)","160.2","164.7","165","1.5","1","0.2","5.3","4.3","3"
"Leisure and hospitality","172.5","177.2","178.4","0.8","1.4","0.7","4.4","3.6","3.4"
"Accommodation and food service","176.1","181.2","182.1","0.5","1.6","0.5","4.3","3.4","3.4"
"Other services, except public administration","163.4","169.7","170.7","1.1","0.9","0.6","4.9","5","4.5"
