"Outside Layout=>","Bed length (ft)","50","Bed width(ft)","2.5","","","<=includes paths","","Total Beds","19.8","Total Outside Area","","","2,476","sq.ft","0.06","acres","","","","","",""
"Parsnip","Jul 28","14","0","70","","O","May 05","2","Aug 11","2","60","1","each","25%","150","150","4","2","1200","0.1","0.12","16","0.0"
"Pattypan Squash","Jul 28","5","0","55","M","PT","May 29","11","Oct 13","11","20","0.5","each","25%","550","550","2","6","200","2.75","2.75","344","5.0"
"Peas","Jul 28","5","0","55","","O","May 29","4","Aug 25","4","20","0.5","grams","25%","200","200","2","6","200","1","1.00","125","0.0"
"Peppers","Jul 28","5","35","45","M","PT","May 04","6","Sep 08","6","56","4","each","25%","105","105","2","18","67","1.6","1.57","197","0.0"
"Pumpkin","Jul 28","5","21","70","M","PT","Apr 23","3","Aug 18","3","28","2","each","25%","52","52.5","1","36","17","3.1","3.15","394","0.0"
"Radish","Jul 28","7","0","30","","PT/O","Jun 21","2","Aug 11","2","168","1","each","25%","420","420","4","1.5","1600","0.3","0.26","33","0.0"
"Spinach Baby","Jul 28","5","0","55","","O","May 29","6","Sep 08","6","20","0.5","grams","25%","300","300","2","6","200","1.5","1.50","188","0.0"
"Spinach Perpetual","Jul 28","5","0","55","M","O","May 29","7","Sep 15","7","20","0.5","grams","25%","350","350","2","6","200","1.75","1.75","219","1.0"
"Spring Onion","Jul 28","5","28","35","M","O","May 21","2","Aug 11","2","84","1","each","25%","210","210","2","12","100","2.1","2.10","262","0.0"
"Squash, summer","Jul 28","5","21","45","M","PT","May 18","4","Aug 25","4","20","3","each","25%","33","33","1","18","33","1.0","1.00","125","0.0"
"Squash, winter","Jul 28","5","21","70","M","PT","Apr 23","3","Aug 18","3","28","2","each","25%","52","52.5","1","36","17","3.1","3.15","394","0.0"
"Sugar Snap Peas","Jul 28","5","0","70","","O","May 14","2","Aug 11","2","20","1","grams","25%","50","50","2","6","200","0.2","0.25","31","0.0"
"Sweetcorn","Jul 28","5","0","55","M","PT","May 29","8","Sep 22","8","84","0.5","each","25%","1680","1680","2","6","200","8.4","8.40","1050","2.0"
"Swiss chard","Jul 28","5","0","60","M","O","May 24","8","Sep 22","8","","1","grams","25%","0","0","4","6","400","0.0","0.00","0","0.0"
"Tomato","Jul 28","5","42","55","M","PT","Apr 17","6","Sep 08","6","168","6","each","25%","210","210","1","24","25","8.4","8.40","1050","0.0"
"Turnip","Jul 28","5","0","40","","O","Jun 13","2","Aug 11","2","56","1","each","25%","140","140","4","6","400","0.3","0.35","44","0.0"
