"Weekly Café Target - w/e 21st September  to w/e 26th October 2014 - 6 weeks","","","","","",""
"Druckers","","","","","",""
"Café","Target ","Target ","Target","Target ","Target ","Target"
"Glasgow Station","  8,000 ","  8,000 ","  6,000 ","  5,400 ","  5,100 ","  5,900 "
"Glasgow West Nile St","  19,000 ","  19,000 ","  14,500 ","  13,700 ","  10,800 ","  13,700 "
"Woking","  13,000 ","  13,000 ","  11,200 ","  11,900 ","  10,400 ","  10,400 "
"Aberdeen","  36,000 ","  36,000 ","  26,500 ","  29,000 ","  31,000 ","  31,500 "
"Selfridges Bull Ring","  12,500 ","  12,500 ","  9,000 ","  12,000 ","  10,000 ","  10,000 "
"Cheltenham","  11,000 ","  11,000 ","  9,000 ","  10,000 ","  10,000 ","  10,000 "
"Edinburgh Fort","  11,000 ","  11,000 ","  8,000 ","  9,500 ","  11,000 ","  11,000 "
"Exeter","  19,000 ","  19,000 ","  13,500 ","  18,000 ","  15,000 ","  15,000 "
"Shrewsbury","  9,300 ","  9,800 ","  8,600 ","  7,700 ","  6,200 ","  6,500 "
"Manchester Fort","  4,500 ","  4,500 ","  4,000 ","  4,000 ","  4,000 ","  4,000 "
"Cheltenham Next ","  4,500 ","  4,500 ","  4,000 ","  4,000 ","  4,000 ","  4,000 "
"Barton Square","  6,000 ","  6,000 ","  4,000 ","  5,000 ","  5,500 ","  5,500 "
