"Digital Economy ","--","19.4","17.9","16.6","4.1","5.8","11.7","15.6","13.4","10.0","13.4","9.7","2.1","9.5","5.3","3.5","7.8","4.3","11.7","9.3","8.3"
"Digital-Enabling Infrastructure","--","19.9","18.6","17.8","4.0","4.9","11.6","15.5","13.0","9.4","12.7","9.7","1.6","9.2","4.5","2.7","6.9","3.9","11.7","8.2","7.6"
"Hardware","--","60.9","54.2","86.1","10.2","12.6","33.6","17.6","24.4","31.6","23.1","18.4","-1.6","22.1","6.9","-20.2","-2.7","8.9","14.1","0.0","11.2"
"Software","--","12.3","37.4","-11.3","1.7","7.2","8.9","20.5","9.4","-1.3","21.7","0.5","2.5","7.3","5.9","2.5","6.9","5.4","8.5","11.9","6.8"
"Telecommunications","--","8.2","9.4","16.1","0.3","1.1","9.2","15.0","16.8","6.9","12.4","12.0","-1.3","2.3","-2.1","3.9","12.6","-0.8","13.7","8.3","4.6"
"Support Services","--","15.8","3.7","2.6","7.4","5.5","6.3","12.4","4.5","9.4","3.7","8.8","6.4","14.3","10.0","8.9","4.2","6.5","11.1","8.1","9.6"
"E-Commerce & Digital Media","--","10.7","4.9","-4.1","5.7","21.7","13.4","17.2","18.5","16.2","20.6","10.2","6.6","12.1","11.7","10.1","13.8","6.7","12.0","15.9","12.2"
"","","","","","","","","","","","","","","","","","","","","",""
"Addendum:","","","","","","","","","","","","","","","","","","","","",""
"Digital Goods","--","46.6","43.1","74.6","0.1","13.2","43.8","25.1","25.2","31.4","20.4","25.2","4.5","19.2","3.1","-8.7","4.4","7.8","15.2","5.2","7.8"
"Digital Services","--","11.6","11.5","3.8","5.2","4.3","5.9","13.7","11.1","6.0","12.1","7.2","1.7","8.1","5.6","5.2","8.2","3.9","11.4","9.7","8.3"
"Contribution to percent change","","","","","","","","","","","","","","","","","","","","",""
"Total Economy","--","4.5","4.8","4.1","1.0","1.7","2.9","3.8","3.5","2.9","1.9","-0.1","-2.5","2.6","1.6","2.2","1.8","2.5","2.9","1.6","2.2"
"","","","","","","","","","","","","","","","","","","","","",""
"Digital Economy ","--","1.09","1.02","0.98","0.24","0.32","0.63","0.84","0.74","0.56","0.74","0.56","0.13","0.58","0.33","0.22","0.47","0.27","0.72","0.60","0.55"
"Digital-Enabling Infrastructure","--","1.05","1.01","1.00","0.22","0.26","0.59","0.78","0.67","0.49","0.64","0.50","0.09","0.50","0.25","0.15","0.37","0.21","0.62","0.46","0.43"
"Hardware","--","0.57","0.47","0.70","0.10","0.09","0.23","0.13","0.17","0.22","0.16","0.12","-0.01","0.13","0.04","-0.13","-0.01","0.04","0.06","0.00","0.05"
"Software","--","0.08","0.27","-0.11","0.01","0.06","0.07","0.16","0.08","-0.01","0.18","0.00","0.02","0.07","0.06","0.03","0.07","0.06","0.09","0.13","0.08"
"Telecommunications","--","0.19","0.22","0.36","0.01","0.02","0.19","0.31","0.35","0.14","0.25","0.24","-0.03","0.05","-0.04","0.07","0.23","-0.01","0.24","0.15","0.08"
"Support Services","--","0.21","0.06","0.04","0.11","0.08","0.09","0.18","0.07","0.14","0.06","0.13","0.10","0.25","0.19","0.18","0.09","0.13","0.23","0.18","0.22"
"E-Commerce & Digital Media","--","0.03","0.01","-0.01","0.02","0.06","0.05","0.06","0.08","0.07","0.10","0.05","0.04","0.08","0.08","0.07","0.10","0.05","0.10","0.14","0.12"
"","","","","","","","","","","","","","","","","","","","","",""
"Addendum:","","","","","","","","","","","","","","","","","","","","",""
"Digital Goods","--","0.57","0.49","0.80","0.00","0.12","0.37","0.23","0.23","0.28","0.18","0.21","0.04","0.15","0.03","-0.07","0.03","0.05","0.09","0.03","0.05"
"Digital Services","--","0.51","0.53","0.18","0.24","0.20","0.27","0.62","0.52","0.28","0.56","0.35","0.09","0.42","0.30","0.28","0.45","0.22","0.63","0.57","0.50"
"Notes: Value added by commodity is prepared by (1) calculating ratios of commodity output to total industry output for each industry and digital commodity, (2) applying these ratios to each industry’s value added, and (3) aggregating the result by digital commodity. These estimates are based on data valued in producers’ prices and exclude transportation costs and wholesale and retail trade markups, with the exception of retail trade markups associated with e-commerce transactions.
U.S. Bureau of Economic Analysis","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","",""
