"Average hourly wages for selected occupations and areas for part-time workers by grouped work levels, civilian workers(1), 2023","","",""
"Selected occupations and areas","All levels","Entry","Experienced"
"Omaha-Council Bluffs, NE-IA"," $ 13.28 "," $ 13.03 "," $ 13.38 "
"Portland-Vancouver-Hillsboro, OR-WA"," $ 16.43 "," $ 16.72 "," $ 16.08 "
"Sacramento--Roseville--Arden-Arcade, CA"," $ 16.89 "," $ 16.74 "," $ 17.37 "
"San Diego-Carlsbad, CA"," $ 16.85 "," $ 16.74 "," $ 17.20 "
"St. Louis, MO-IL"," $ 14.13 "," $ 13.93 "," $ 14.46 "
"Tampa-St. Petersburg-Clearwater, FL"," $ 13.27 "," $ 13.17 "," $ 13.57 "
"Virginia Beach-Norfolk-Newport News, VA-NC"," $ 13.61 "," $ 13.46 "," $ 15.02 "
"","","",""
"37-2011 Janitors and Cleaners, Except Maids and Housekeeping Cleaners","","",""
"Charleston-North Charleston, SC"," $ 15.30 "," $ 15.04 ","–"
"Charlotte-Concord-Gastonia, NC-SC"," $ 15.47 "," $ 15.25 ","–"
"Columbus, OH"," $ 14.53 "," $ 14.00 "," $ 16.28 "
"Indianapolis-Carmel-Anderson, IN"," $ 14.77 "," $ 13.93 "," $ 16.57 "
"Jacksonville, FL"," $ 16.02 "," $ 15.71 ","–"
"Los Angeles-Long Beach-Anaheim, CA"," $ 20.22 ","–","–"
"Milwaukee-Waukesha-West Allis, WI"," $ 15.00 "," $ 14.49 "," $ 16.53 "
"New York-Newark-Jersey City, NY-NJ-PA"," $ 17.80 "," $ 18.68 "," $ 17.19 "
"Omaha-Council Bluffs, NE-IA"," $ 14.46 "," $ 13.26 "," $ 16.80 "
"Portland-Vancouver-Hillsboro, OR-WA"," $ 18.11 "," $ 17.74 "," $ 18.55 "
"Sacramento--Roseville--Arden-Arcade, CA"," $ 18.27 "," $ 17.62 "," $ 18.59 "
"San Diego-Carlsbad, CA"," $ 17.73 "," $ 17.36 "," $ 18.05 "
"St. Louis, MO-IL"," $ 15.33 "," $ 14.20 ","–"
"Tampa-St. Petersburg-Clearwater, FL"," $ 15.49 "," $ 15.37 ","–"
"Virginia Beach-Norfolk-Newport News, VA-NC"," $ 16.47 ","–","–"
"","","",""
"53-7065 Stockers and Order Fillers","","",""
"Charleston-North Charleston, SC"," $ 15.02 "," $ 14.22 "," $ 16.33 "
"Charlotte-Concord-Gastonia, NC-SC"," $ 15.42 "," $ 14.34 "," $ 17.10 "
"Columbus, OH"," $ 16.68 "," $ 16.16 "," $ 17.55 "
"Indianapolis-Carmel-Anderson, IN"," $ 16.19 "," $ 15.74 "," $ 17.47 "
"Jacksonville, FL"," $ 16.59 "," $ 15.72 "," $ 17.87 "
"Los Angeles-Long Beach-Anaheim, CA"," $ 19.37 "," $ 17.83 "," $ 20.54 "
"Milwaukee-Waukesha-West Allis, WI"," $ 15.05 "," $ 14.29 "," $ 17.00 "
"New York-Newark-Jersey City, NY-NJ-PA"," $ 17.46 "," $ 16.91 "," $ 19.48 "
"Omaha-Council Bluffs, NE-IA"," $ 15.43 "," $ 14.91 "," $ 16.31 "
"Portland-Vancouver-Hillsboro, OR-WA"," $ 19.03 "," $ 17.46 "," $ 20.70 "
"Sacramento--Roseville--Arden-Arcade, CA"," $ 19.17 "," $ 18.09 "," $ 20.72 "
"San Diego-Carlsbad, CA"," $ 18.66 "," $ 17.85 "," $ 19.95 "
"St. Louis, MO-IL"," $ 16.10 "," $ 15.67 "," $ 17.00 "
"Tampa-St. Petersburg-Clearwater, FL"," $ 15.41 "," $ 14.81 "," $ 16.46 "
"Virginia Beach-Norfolk-Newport News, VA-NC"," $ 14.97 "," $ 14.47 "," $ 16.09 "
"","","",""
"Footnotes:","","",""
"(1) For definitions of terms, see the MWE Handbook of Methods, available at https://www.bls.gov/opub/hom/mwe/.","","",""
"Note: Dashes indicate that no data were reported or that data do not meet publication criteria.","","",""
"Source: Bureau of Labor Statistics, Modeled Wage Estimates.","","",""
