"","","","Total bankruptcies","","Self employment status","","","","","","","","","","","",""
"","Q4","","3,625"," ","907"," ","25","","2,718"," ","75","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2017","Q1","","4,082"," ","958"," ","24","","3,124"," ","77","","","","","",""
"","Q2","","3,722"," ","872"," ","23","","2,850"," ","77","","","","","",""
"","Q3","","3,738"," ","818"," ","22","","2,920"," ","78","","","","","",""
"","Q4","","3,564"," ","841"," ","24","","2,723"," ","76","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2018","Q1","","4,384"," ","1,015"," ","23","","3,369"," ","77","","","","","",""
"","Q2","","4,108"," ","927"," ","23","","3,181"," ","77","","","","","",""
"","Q3","","4,208"," ","965"," ","23","","3,243"," ","77","","","","","",""
"","Q4","","3,940"," ","855"," ","22","","3,085"," ","78","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2019","Q1","","4,468"," ","933"," ","21","","3,535"," ","79","","","","","",""
"","Q2","","4,234"," ","933","r","22","","3,301","r","78","r","","","","",""
"","Q3","","4,178"," ","876","r","21","","3,302","r","79","","","","","",""
"","Q4","","3,860"," ","734","r","19","","3,126","r","81","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2020","Q1","","4,582","","855","","19","","3,727","","81","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Percentage change, latest quarter (2020 Q1) compared with:","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"2019","Q4","","-100%","","-100%","","","","-100%","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"2019","Q1","","-100%","","-100%","","","","-100%","","","","","","","",""
"Source: Insolvency Service","","","","","","","","","","","","","","","","",""
"1 Statistics available one quarter in arrears because of the time required for this information to be recorded.","","","","","","","","","","","","","","","","",""
"2 Changes have been made to the part of the database used to capture information on trading status and industry codes.  From 2006 Q4, ""self-employed"" includes the categories ""self-employed""; ""trader but failure not as a result of trading"" and ""trading partnership""; and ""other individuals"" includes ""non-trading""; ""non-surrender"" and ""unknown"".  The breakdown by self-employment status from Q4 2006 should not therefore be considered to be entirely consistent with that for the earlier period.","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
