"Table A-7. Time spent in primary activities 1 by married mothers and fathers with own household children under 18 by employment status of self and spouse and age of youngest child, average for the combined years 2009-13","","","","","","","","","","","",""
"Activity","Average hours per day","","","","","","Differences in married mothers' and fathers' time use on an average day (hours) 2","","","","",""
"","Both spouses work full time","","Mother employed part time and father employed full time","","Mother not employed and father employed full time","","Both spouses work full time","Mother employed part time and father employed full time","Mother not employed and father employed full time","","",""
"           Physical care","1.09","0.53","1.22","0.50","1.46","0.41","0.56","0.72","1.05","","",""
"           Education-related activities","0.08","0.07","0.14","0.05","0.24","0.04","0.01","0.09","0.20","","",""
"           Reading to/with children","0.08","0.05","0.12","0.06","0.11","0.05","0.03","0.06","0.06","","",""
"           Playing/doing hobbies with children","0.57","0.52","0.67","0.63","1.02","0.51","0.04","0.04","0.52","","",""
"  Working and work-related activities 3","5.08","5.89","2.65","6.23","0.10","6.04","-0.82","-3.58","-5.95","","",""
"      Working 3","5.04","5.85","2.60","6.20","0.05","6.01","-0.81","-3.61","-5.96","","",""
"  Leisure and sports","2.66","3.45","3.25","3.40","3.83","3.49","-0.79","-0.15","0.34","","",""
"      Socializing and communicating","0.63","0.63","0.80","0.60","0.84","0.62","0.00","0.20","0.22","","",""
"      Watching television","1.33","1.88","1.52","1.82","2.02","1.98","-0.55","-0.31","0.03","","",""
"      Participating in sports, exercise, and recreation","0.20","0.28","0.24","0.25","0.22","0.31","-0.09","-0.01","-0.09","","",""
"  Travel  ","1.31","1.43","1.25","1.30","1.03","1.32","-0.11","-0.05","-0.29","","",""
"Travel related to caring for and helping household children","0.30","0.18","0.31","0.12","0.28","0.09","0.12","0.19","0.19","","",""
"  Other activities, not elsewhere classified","1.65","1.66","2.04","1.70","2.25","1.89","-0.01","0.33","0.37","","",""
"","","","","","","","","","","","",""
"Own household children 6-17, none younger","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"Total, all activities ","24.00","24.00","24.00","24.00","24.00","24.00","0.00","0.00","0.00","","",""
"  Personal care activities","8.97","8.63","9.27","8.76","9.56","8.86","0.34","0.51","0.70","","",""
"      Sleeping","8.10","7.98","8.47","8.12","8.83","82.10","0.13","0.35","0.61","","",""
"  Household activities","2.07","1.39","2.87","1.18","3.83","1.05","0.69","1.69","2.77","","",""
"      Housework","0.86","0.27","1.19","0.17","1.76","0.17","0.59","1.02","1.59","","",""
"      Food preparation and cleanup","0.84","0.37","1.05","0.31","1.49","0.27","0.47","0.75","1.22","","",""
"      Lawn and garden care","0.07","0.26","0.15","0.20","0.18","0.23","-0.19","-0.04","-0.04","","",""
"  Purchasing goods and services","0.52","0.30","0.69","0.35","0.77","0.33","0.22","0.34","0.44","","",""
"      Grocery shopping","0.13","0.06","0.18","0.07","0.24","0.08","0.07","0.11","0.16","","",""
"      Consumer goods purchases, except grocery shopping","0.33","0.20","0.42","0.22","0.40","0.21","0.13","0.19","0.19","","",""
"  Caring for and helping household members","0.79","0.53","1.09","0.53","1.55","0.43","0.26","0.56","1.12","","",""
"      Caring for and helping household children","0.77","0.50","1.07","0.52","1.53","0.40","0.27","0.55","1.13","","",""
"           Physical care","0.19","0.08","0.27","0.12","0.35","0.07","0.11","0.15","0.28","","",""
"           Education-related activities","0.14","0.10","0.19","0.08","0.38","0.07","0.04","0.12","0.31","","",""
"           Reading to/with children","0.02","0.01","0.03","0.01","0.03","0.01","0.01","0.02","0.02","","",""
"           Playing/doing hobbies with children","0.04","0.09","0.07","0.09","0.12","0.08","-0.05","-0.02","0.04","","",""
"  Working and work-related activities 3","5.31","6.17","2.73","5.75","0.14","6.38","-0.87","-3.01","-6.25","","",""
"      Working 3","5.29","6.15","2.67","5.70","(4)","6.35","-0.86","-3.03","(4)","","",""
"  Leisure and sports","3.14","3.80","3.54","3.90","4.31","3.65","-0.66","-0.35","0.66","","",""
"      Socializing and communicating","0.58","0.56","0.77","0.63","0.79","0.51","0.03","0.14","0.28","","",""
"      Watching television","1.63","2.23","1.66","2.11","2.22","2.10","-0.60","-0.46","0.12","","",""
"      Participating in sports, exercise, and recreation","0.20","0.28","0.24","0.40","0.27","0.28","-0.08","-0.16","-0.01","","",""
"  Travel  ","1.40","1.47","1.58","1.60","1.28","1.48","-0.06","-0.02","-0.20","","",""
"Travel related to caring for and helping household children","0.21","0.14","0.30","0.11","0.32","0.11","0.07","0.18","0.21","","",""
"  Other activities, not elsewhere classified","1.80","1.72","2.22","1.93","2.57","1.82","0.08","0.29","0.75","","",""
"","","","","","","","","","","","",""
"1 A primary activity refers to an individual's main activity.  Other activities done simultaneously are not included.","","","","","","","","","","","",""
"2 In each employment category, differences are calculated by subtracting fathers' average hours from mothers' average hours.","","","","","","","","","","","",""
"3 Estimates include a small amount of work time done by persons who do not meet the ATUS definition of employed.","","","","","","","","","","","",""
"4 Estimate is suppressed because it does not meet the American Time Use Survey standard for quality and reliability.","","","","","","","","","","","",""
"~0 Estimate is approximately zero.","","","","","","","","","","","",""
"Note: Data refer to persons 15 years and over.  For technical information about the American Time Use Survey, see the ATUS User's Guide:  www.bls.gov/tus/atususersguide.pdf ","","","","","","","","","","","",""
"Source: American Time Use Survey, Bureau of Labor Statistics","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
