"22","17","Balanced energy supplementation","Percent of women with low BMI (<18.5, WRA)","Pregnancies","5.2%","Women with low BMI (<18.5, WRA)","55,517","55,213","55,013","LiST/Health status, mortality and economic status/Baseline maternal health status: Percent of women with low BMI (<18.5, WRA)",""
"23","18","Hypertensive disorder case management","Hypertensive disorder case management","Pregnancies","5.0%","","53,382","53,089","52,897","",""
"24","19","Diabetes case management","Diabetes case management","Pregnancies","8.9%","LiST  global estimate","95,019","94,499","94,157","LiST  global estimate",""
"25","20","Malaria case management","Percent of women exposed to falciparum","Pregnancies","2.2%","Women exposed to falciparum","23,488","23,359","23,275","LiST/Health status, mortality and economic status/Baseline maternal health status: Percent of women exposed to falciparum",""
"26","21","MgSO4 management of pre-eclampsia","MgSO4 management of pre-eclampsia","Pregnancies","0.25%","","2,669","2,654","2,645","",""
"27","22","Health Facility Delivery","Health Facility Delivery","Births","100.0%","All births","681,650","677,212","674,024","",""
"28","23","Clean birth environment","Clean birth environment","Births","100.0%","All births","681,650","677,212","674,024","",""
"29","39","Immediate drying and additional stimulation","Immediate drying and additional stimulation","Births","100.0%","CPR x % Method Mix","681,650","677,212","674,024","",""
"30","40","Thermal protection","Thermal protection","Births","6.7%","% Pre-term","45,466","45,170","44,957","LiST/Health status, mortality and economic status/Baseline child health status: Pre-term",""
"31","41","Clean cord care","Clean cord care","Births","100.0%","All newborns","681,650","677,212","674,024","",""
"32","24","Manual removal of placenta","Manual removal of placenta","Births","2.0%","","13,633","13,544","13,480","Estimate, no data in LiST",""
"33","25","MgSO4 management of eclampsia","Parenteral administration of anti-convulsants","Births","0.25%","","1,704","1,693","1,685","Estimate, no data in LiST",""
"34","26","Antibiotics for preterm or prolonged PROM","Antibiotics for preterm or prolonged PROM","Births","6.7%","Pre-term","45,466","45,170","44,957","",""
"35","27","Parenteral administration of antibiotics","Parenteral administration of antibiotics","Births","10.0%","???","68,165","67,721","67,402","",""
"36","28","Assisted vaginal delivery","Assisted vaginal delivery","Births","10.0%","","68,165","67,721","67,402","Estimate, no data in LiST",""
"37","42","Neonatal resuscitation","Neonatal resuscitation","Births","5.0%","","34,083","33,861","33,701","",""
"38","29","Parenteral administration of uterotonics","Parenteral administration of uterotonics","Births","100.0%","All deliveries","681,650","677,212","674,024","",""
"39","30","Removal of retained products of conception","Removal of retained products of conception","Births","1.0%","","6,817","6,772","6,740","Estimate, no data in LiST",""
"40","31","Induction of labor for pregnancies lasting 41+ weeks","Induction of labor for pregnancies lasting 41+ weeks","Births","5.0%","All pregnancies over 41 weeks","34,083","33,861","33,701","",""
"41","32","Antenatal corticosteroids for preterm labor","Pre-term: Small for gestational age (SGA)","Births","6.7%","","45,466","45,170","44,957","LiST/Health status, mortality and economic status/Baseline child health status: Pre-term",""
"42","36","Cesarean delivery","Cesarean delivery","Births","10.0%","","68,165","67,721","67,402","Estimate, no data in LiST",""
"43","37","Blood transfusion","Blood transfusion","Births","2.0%","","13,633","13,544","13,480","Estimate, no data in LiST",""
"44","48","Early Initiation of Breastfeeding","Early Initiation of Breastfeeding","Births","100.0%","All newborns","681,650","677,212","674,024","",""
"45","49","Complementary feeding - Education only","Complementary feeding - Education only","Children < 1","100.0%","All newborns","681,650","677,212","674,024","",""
"46","50","Complementary feeding - Supplementary feeding + Education","Complementary feeding - Supplementary feeding + Education","Children < 1","50.0%","","340,825","338,606","337,012","Function of poverty, etc. for food insecure pop, preliminary estimate",""
"47","61","Vitamin A supplementation","Percent vitamin A deficient","Children Under 5","35.3%","Percent vitamin A deficient","240,759","239,191","238,065","LiST/Health status, mortality and economic status/Baseline child health status: Percent vitamin A deficient",""
"48","62","Zinc supplementation","Percent zinc deficient","Children Under 5","57.5%","Percent zinc deficient","391,744","389,194","387,362","LiST/Health status, mortality and economic status/Baseline child health status:Percent zinc deficient",""
"49","73","Improved sanitation - Utilization of latrines","Improved sanitation - Utilization of latrines","Children Under 5","100.0%","","681,650","677,212","674,024","",""
"50","74","Improved water source","Improved water source","Children Under 5","100.0%","","681,650","677,212","674,024","",""
"51","75","Improved water source - Water connection in the home","Improved water source - Water connection in the home","Children Under 5","0.0%","","0","0","0","",""
"52","76","Hand washing with soap","Hand washing with soap","Children Under 5","100.0%","","681,650","677,212","674,024","",""
"53","77","Hygienic Disposal of Children's stool","Hygienic Disposal of Children's stool","Children Under 5","100.0%","","681,650","677,212","674,024","",""
"54","71","ITN","Percent of women exposed to falciparum","Children Under 5","2.2%","Percent of children exposed to falciparum","14,996","14,899","14,829","LiST/Health status, mortality and economic status/Baseline maternal health status: Percent of women exposed to falciparum",""
"55","51","BCG - Single dose","BCG - Single dose","Children < 1","100.0%","All children","681,650","677,212","674,024","",""
"56","52","Polio - Three doses","Polio - Three doses","Children < 1","100.0%","All children","681,650","677,212","674,024","",""
"","","Pentavalent","Pentavalent","Children < 1","100.0%","All children","681,650","677,212","674,024","",""
"57","53","DPT - Three doses","DPT - Three doses","Children < 1","100.0%","All children","681,650","677,212","674,024","",""
"58","54","Hib - Three doses","Hib - Three doses","Children < 1","100.0%","All children","681,650","677,212","674,024","",""
"59","55","HepB - Three doses","HepB - Three doses","Children < 1","100.0%","All children","681,650","677,212","674,024","",""
"60","56","Pneumococcal - Three doses","Pneumococcal - Three doses","Children < 1","100.0%","All children","681,650","677,212","674,024","",""
"61","57","Rotavirus - Two doses","Rotavirus - Two doses","Children < 1","100.0%","All children","681,650","677,212","674,024","",""
"62","58","Meningococcal A - Single dose","Meningococcal A - Single dose","Children < 1","100.0%","All children","681,650","677,212","674,024","",""
"63","59","Malaria vaccine - Three doses","Malaria vaccine - Three doses","Children < 1","100.0%","All children","681,650","677,212","674,024","",""
"64","60","Measles - Single dose","Measles - Single dose","Children < 1","100.0%","All children","681,650","677,212","674,024","",""
"65","33","Maternal sepsis case management","Maternal sepsis case management","Births","2.5%","Adding It Up","17,041","16,930","16,851","No data in LiST",""
"","","Case management of premature babies","Pre-term: Small for gestational age (SGA)+Pre-term: Appropriate for gestational age (AGA)","Newborns","6.7%","","45,466","45,170","44,957","LiST/Health status, mortality and economic status/Baseline child health status: Pre-term",""
"66","43","Kangaroo-Mother Care (KMC)","Pre-term: Small for gestational age (SGA)+Pre-term: Appropriate for gestational age (AGA)","Newborns","6.7%","","45,466","45,170","44,957","LiST/Health status, mortality and economic status/Baseline child health status: Pre-term",""
"67","44","Full supportive care of prematurity","Pre-term: Small for gestational age (SGA)","Newborns","0.1%","Assumed 10% of all premature","729","725","721","LiST/Health status, mortality and economic status/Baseline child health status: Pre-term",""
"","","Case management of neonatal sepsis/pneumonia","Incidence of severe pneumonia","Newborns","9.7%","","66,120","65,690","65,380","LiST/Health status, mortality and economic status/Baseline child health status",""
"68","45","Oral antibiotics","Oral antibiotics","Newborns","19.4%","Assumed 2x incidence of severe","132,240","131,379","130,761","No data for pneumonia, just severe pneumonia",""
"69","46","Injectable antibiotics","Injectable antibiotics","Newborns","19.4%","Assumed 2x incidence of severe","132,240","131,379","130,761","No data for pneumonia, just severe pneumonia",""
"70","47","Full supportive care","Full supportive care","Newborns","9.7%","","66,120","65,690","65,380","Incidence of severe pneumonia, seems low",""
"71","63","ORS - Oral Rehydration Solution","Incidence of diarrhea","Children Under 5","12.0%","2-weekly prevalence rate","1,567,077","1,567,077","1,567,077","LiST/Health status, mortality and economic status/Baseline child health status: Incidence of diarrhea",""
"72","64","Antibiotics for treatment of dysentery","Antibiotics for treatment of dysentery","Children Under 5","1.2%","Assmption 10% of diarrhea cases","8,180","8,127","8,088","",""
"73","65","Zinc for treatment of diarrhea","Incidence of diarrhea","Children Under 5","12.0%","","1,567,077","1,567,077","1,567,077","LiST/Health status, mortality and economic status/Baseline child health status: Incidence of diarrhea",""
"74","66","Oral antibiotics for pneumonia","Not In LiST, needs to be entered manually","Children Under 5","11.6%","2-weekly prevalence rate of ARI","1,514,842","1,514,842","1,514,842","LiST/Health status, mortality and economic status/Baseline child health status",""
"75","67","Vitamin A for treatment of measles","Vitamin A for treatment of measles","Children Under 5","0.015%","https://www.cdc.gov/mmwr/volumes/68/wr/mm6822a4.htm","102","102","101","No data for measles, CDC 150 per 1 million",""
"76","68","ACTs - Artemisinin compounds for treatment of malaria","Not in LiST.  See calculations below, cell F97 and F98","Children Under 5","Enter below","","0","0","0","LiST/Health status, mortality and economic status/Baseline maternal health status: Percent of women exposed to falciparum",""
"77","69","SAM - treatment for severe acute malnutrition","more than 3 standard deviations less than the median norm","Children Under 5","11.5%","Less than -3z","78,390","77,879","77,513","",""
"78","70","MAM - treatment for moderate acute malnutrition","between 2 and 3 standard deviations less than the median norm","Children Under 5","7.1%","Between -2z and -3z","48,397","48,082","47,856","",""
