"","London","149,000","149,100","131,900","131,900","97,500","97,600","..","..","1,260,600","1,260,800","1,178,300","1,260,800","1,260,100","1,260,800","1,165,200","1,259,000"
"","South East","97,600","98,800","62,500","62,800","40,600","43,400","..","..","679,600","694,500","502,600","664,300","685,000","694,900","513,300","668,500"
"","South West","59,400","61,400","40,400","41,000","27,000","29,400","..","..","450,000","466,300","374,000","456,900","456,300","466,300","326,500","435,200"
"2012","All regions5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2013","North East","86,900","87,000","40,300","40,300","28,100","28,100","..","..","407,200","407,200","404,800","407,200","407,100","407,200","398,200","403,900"
"New method6","North West","197,700","197,700","99,900","99,900","71,800","71,800","..","..","916,000","916,100","915,100","916,100","915,600","916,100","903,700","909,400"
"","Yorkshire and the Humber","159,300","159,300","72,500","72,500","49,300","49,300","..","..","677,600","677,700","676,900","677,700","677,500","677,700","661,900","670,100"
"","East Midlands","112,100","112,100","51,500","51,500","35,100","35,100","..","..","462,200","462,300","461,700","462,300","462,200","462,300","452,700","459,800"
"","West Midlands","178,000","178,000","84,600","84,600","58,700","58,700","..","..","614,800","614,800","613,200","614,800","614,700","614,800","606,100","611,400"
"","East","119,500","119,500","56,800","56,800","37,800","37,800","..","..","483,000","483,000","480,500","483,000","483,000","483,000","466,200","481,200"
"","London","226,400","226,400","139,100","139,100","98,400","98,400","..","..","1,269,400","1,269,400","1,269,400","1,269,400","1,269,400","1,269,400","1,258,700","1,258,700"
"","South East","156,100","156,100","72,800","72,800","49,800","49,800","..","..","695,800","695,800","695,800","695,800","695,800","695,800","685,000","692,000"
"","South West","91,800","91,900","46,300","46,300","31,800","31,800","..","..","460,500","460,700","457,600","460,300","460,300","460,400","443,000","458,200"
"Percentage of people with access within threshold","","","","","","","","","","","","","","","","",""
"2007","North East","99.0","99.8","..","..","95.4","99.7","..","..","..","..","..","..","98.9","99.9","..",".."
"","North West","98.9","99.8","..","..","97.2","99.9","..","..","..","..","..","..","99.1","99.9","..",".."
"","Yorkshire and the Humber","97.9","99.7","..","..","93.4","99.5","..","..","..","..","..","..","98.4","99.8","..",".."
"","East Midlands","96.4","99.7","..","..","92.2","99.6","..","..","..","..","..","..","97.5","99.9","..",".."
"","West Midlands","98.3","99.7","..","..","97.0","99.7","..","..","..","..","..","..","98.6","99.8","..",".."
"","East","94.9","99.2","..","..","87.9","98.7","..","..","..","..","..","..","96.6","99.7","..",".."
"","London","100.0","100.0","..","..","97.8","100.0","..","..","..","..","..","..","99.7","100.0","..",".."
"","South East","97.2","99.8","..","..","89.4","99.3","..","..","..","..","..","..","97.7","99.8","..",".."
"","South West","94.0","98.4","..","..","86.8","98.0","..","..","..","..","..","..","96.7","99.4","..",".."
"2008","North East","97.9","99.8","..","..","95.2","99.8","..","..","..","..","..","..","99.0","99.9","..",".."
"","North West","99.3","99.9","..","..","96.6","99.8","..","..","..","..","..","..","99.1","99.9","..",".."
"","Yorkshire and the Humber","98.6","99.8","..","..","92.7","99.6","..","..","..","..","..","..","98.4","99.8","..",".."
"","East Midlands","98.4","99.9","..","..","91.5","99.7","..","..","..","..","..","..","97.8","99.9","..",".."
"","West Midlands","98.7","99.8","..","..","96.4","99.7","..","..","..","..","..","..","98.5","99.8","..",".."
"","East","96.6","99.6","..","..","87.3","98.2","..","..","..","..","..","..","96.3","99.6","..",".."
"","London","99.9","100.0","..","..","98.1","100.0","..","..","..","..","..","..","99.8","100.0","..",".."
"","South East","98.5","99.9","..","..","87.4","99.2","..","..","..","..","..","..","97.5","99.8","..",".."
"","South West","96.6","99.2","..","..","86.6","98.2","..","..","..","..","..","..","96.8","99.3","..",".."
"2009","North East","98.1","99.8","..","..","96.0","99.8","..","..","..","..","..","..","99.2","99.9","66.4","94.1"
"","North West","99.4","99.9","..","..","97.1","99.9","..","..","..","..","..","..","99.1","99.9","78.6","98.2"
"","Yorkshire and the Humber","98.6","99.7","..","..","94.4","99.5","..","..","..","..","..","..","98.5","99.8","60.6","94.4"
"","East Midlands","98.4","99.9","..","..","91.7","99.8","..","..","..","..","..","..","98.2","99.9","56.6","91.9"
"","West Midlands","98.7","99.8","..","..","97.2","99.7","..","..","..","..","..","..","98.7","99.8","73.0","96.3"
"","East","96.8","99.6","..","..","88.7","98.4","..","..","..","..","..","..","96.7","99.6","60.9","90.5"
"","London","99.9","100.0","..","..","98.7","100.0","..","..","..","..","..","..","99.8","100.0","87.2","99.6"
"","South East","98.6","99.9","..","..","89.3","99.3","..","..","..","..","..","..","97.8","99.8","69.2","95.5"
"","South West","96.8","99.3","..","..","87.4","98.1","..","..","..","..","..","..","97.0","99.3","64.0","92.3"
"2010","North East","97.2","99.7","..","..","94.8","99.7","..","..","..","..","..","..","99.2","99.9","64.5","93.9"
"","North West","99.2","99.8","..","..","95.7","99.8","..","..","..","..","..","..","99.0","99.9","75.9","97.9"
"","Yorkshire and the Humber","98.6","99.7","..","..","93.2","99.4","..","..","..","..","..","..","98.5","99.8","59.0","93.8"
"","East Midlands","97.6","99.7","..","..","89.7","98.8","..","..","..","..","..","..","97.8","99.7","57.0","90.5"
"","West Midlands","98.6","99.7","..","..","95.8","99.5","..","..","..","..","..","..","98.7","99.8","71.1","95.8"
"","East","96.0","99.5","..","..","86.7","97.7","..","..","..","..","..","..","97.0","99.6","61.1","91.4"
"","London","99.9","100.0","..","..","98.6","100.0","..","..","..","..","..","..","99.6","100.0","84.5","99.5"
"","South East","97.8","99.8","..","..","87.7","99.0","..","..","..","..","..","..","97.8","99.8","67.7","95.0"
"","South West","96.3","99.1","..","..","86.2","97.8","..","..","..","..","..","..","96.7","99.2","64.6","92.5"
"2011","North East","96.1","99.8","..","..","93.9","99.8","..","..","..","..","..","..","99.1","99.8","63.9","93.3"
"","North West","98.6","99.8","..","..","95.3","99.8","..","..","..","..","..","..","98.9","99.8","74.2","97.8"
"","Yorkshire and the Humber","98.0","99.7","..","..","92.3","99.5","..","..","..","..","..","..","98.6","99.8","57.1","93.1"
"","East Midlands","96.0","99.4","..","..","88.9","98.6","..","..","..","..","..","..","97.5","99.5","55.4","89.9"
"","West Midlands","97.8","99.6","..","..","94.8","99.4","..","..","..","..","..","..","98.5","99.7","67.4","95.4"
"","East","94.8","99.1","..","..","86.0","97.4","..","..","..","..","..","..","96.8","99.4","59.7","90.9"
"","London","99.6","100.0","..","..","98.6","100.0","..","..","..","..","..","..","99.7","100.0","83.6","99.5"
"","South East","97.6","99.8","..","..","85.8","98.9","..","..","..","..","..","..","97.6","99.7","66.2","94.6"
"","South West","95.0","98.9","..","..","85.1","97.2","..","..","..","..","..","..","96.3","99.1","62.4","91.3"
"2011","North East","97.0","99.8","99.5","99.9","96.1","99.8","..","..","99.3","99.9","84.3","99.4","99.5","99.9","67.7","93.7"
"Revised6","North West","99.3","99.9","99.9","100.0","98.8","99.9","..","..","98.8","99.8","78.5","98.9","99.5","99.9","80.1","98.7"
"","Yorkshire and the Humber","98.6","99.8","99.8","100.0","97.4","99.5","..","..","98.8","99.8","74.9","97.6","99.2","99.8","63.2","93.8"
"","East Midlands","97.4","99.8","99.4","99.9","93.9","99.0","..","..","97.4","99.8","71.1","94.3","98.2","99.7","62.5","91.8"
"","West Midlands","98.8","99.8","99.7","100.0","97.7","99.7","..","..","98.6","99.8","79.9","96.6","99.0","99.8","74.2","97.0"
"","East","95.9","99.4","99.0","99.8","91.3","98.5","..","..","95.9","99.6","60.4","85.2","97.6","99.6","67.2","92.5"
"","London","99.9","100.0","100.0","100.0","99.9","100.0","..","..","100.0","100.0","93.5","100.0","99.9","100.0","92.4","99.8"
"","South East","98.7","99.9","99.4","100.0","92.9","99.2","..","..","97.7","99.8","72.2","95.5","98.5","99.9","73.8","96.1"
"","South West","96.0","99.3","98.3","99.8","90.0","97.8","..","..","95.9","99.4","79.7","97.4","97.2","99.4","69.6","92.7"
"2012","All regions5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2013","North East","100.0","100.0","100.0","100.0","100.0","100.0","..","..","100.0","100.0","99.4","100.0","100.0","100.0","97.8","99.2"
"New method6","North West","100.0","100.0","100.0","100.0","100.0","100.0","..","..","100.0","100.0","99.9","100.0","100.0","100.0","98.7","99.3"
"","Yorkshire and the Humber","100.0","100.0","100.0","100.0","100.0","100.0","..","..","100.0","100.0","99.9","100.0","100.0","100.0","97.7","98.9"
"","East Midlands","100.0","100.0","100.0","100.0","100.0","100.0","..","..","100.0","100.0","99.9","100.0","100.0","100.0","97.9","99.5"
"","West Midlands","100.0","100.0","100.0","100.0","100.0","100.0","..","..","100.0","100.0","99.7","100.0","100.0","100.0","98.6","99.5"
"","East","100.0","100.0","100.0","100.0","100.0","100.0","..","..","100.0","100.0","99.5","100.0","100.0","100.0","96.5","99.6"
"","London","100.0","100.0","100.0","100.0","100.0","100.0","..","..","100.0","100.0","100.0","100.0","100.0","100.0","99.2","99.2"
"","South East","100.0","100.0","100.0","100.0","100.0","100.0","..","..","100.0","100.0","100.0","100.0","100.0","100.0","98.5","99.5"
"","South West","100.0","100.0","100.0","100.0","99.9","100.0","..","..","99.9","100.0","99.3","99.9","99.9","99.9","96.1","99.4"
"1 The at risk users looks at particular social groups at risk of exclusion, e.g. for primary schools, the at risk users are children aged 5-10 known to be eligible for free school meals. Please see the guidance note for a full list of user groups.","","","","","","","","","","","","","","","","",""
"2 The number and proportion of users in a local area who can access a service within set time limits. For further information on details on the lower and upper thresholds and how they are derived please see the guidance note.","","","","","","","","","","","","","","","","",""
"3 The composite mode is produced by using the national mode split to weight the indicators by public transport, cycling and walking. Please see the guidance note for further information.","","","","","","","","","","","","","","","","",""
"4 An at risk group is not measured for the Further Education service.","","","","","","","","","","","","","","","","",""
"5 Public transport/walking data were not updated for 2012 due to a data quality issue. Please see 2013 statistical release or the guidance notes document for details.","","","","","","","","","","","","","","","","",""
"6 A new method has been adopted in 2013 for the public transport/walking mode. Please see guidance notes document for details. The 2011 results have been recalculated on the new basis.","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Telephone: 020 7944 4139","","","","","","","","","","","","","","","","","Source: DfT Accessibility Statistics"
"Email: subnational.stats@dft.gsi.gov.uk","","","","","","","","","","","","","","","","","Last updated: September 2014"
"Technical Notes & Guidance: (http://assets.dft.gov.uk/statistics/series/accessibility/accessibility-statistics-guidance.pdf)","","","","","","","","","","","","","","","","","Next update: to be advised"
"The figures in this table are outside the scope of National Statistics","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
