"Table 11 Scientific procedures (toxicology) by species of animal and type of toxicological test: all purposes, page 1 of 2","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","","","Number of procedures","","","","","","","",""
"Species of animal","Type of toxicological test or procedure","","","","","","","","","","","","","","","","",""
"","Acute lethal
toxicity","Acute lethal
concentration","Acute limit setting","Acute non - lethal clinical sign","Subacute limit-setting or dose ranging","Subacute toxicity","Subchronic and chronic","Carcinogenicity","Genetic toxicology (includes mutagenicity)","Teratogenicity","","","","","","","",""
"2010 Totals","  67,055 ","  7,036 ","  15,472 ","  6,076 ","  13,523 ","  23,788 ","  16,688 ","  12,423 ","  6,618 ","  3,454 ","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Table 11 Scientific procedures (toxicology) by species of animal and type of toxicological test: all purposes, page 2 of 2 ","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","","","","Number of procedures","","","","","","",""
"Species of animal","Type of toxicological test or procedure","","","","","","","","","","Total","","","","","","",""
"","Other reproductive toxicity","In eyes","For skin Irritation","For skin sensitisation","Toxicokinetics","Pyrogenicity","Biocompatibility","Enzyme induction for in vitro tests","Immunotoxicology ","Other toxicology","","","","","","","",""
"Mammal","","","","","","","","","","","","","","","","","",""
"  Mouse","  156 ","-","  104 ","  1,306 ","  7,639 ","-","  250 ","  18 ","  7,885 ","  41,296 ","  167,616 ","","","","","","",""
"  Rat","  34,230 ","-","-","-","  9,985 ","-","  94 ","  164 ","  624 ","  14,085 ","  112,197 ","","","","","","",""
"  All other rodents","-","-","-","  48 ","  72 ","-","-","  80 ","  43 ","  6,926 ","  7,867 ","","","","","","",""
"  Rabbit","  162 ","  692 ","  989 ","-","  96 ","  4,281 ","  188 ","-","-","  1,754 ","  10,217 ","","","","","","",""
"  Cat","-","-","-","-","-","-","-","-","-","  15 ","  17 ","","","","","","",""
"  Dog","  95 ","-","-","-","  342 ","-","-","-","-","  1,051 ","  3,641 ","","","","","","",""
"  Ferret","-","-","-","-","-","-","-","-","-","  26 ","  26 ","","","","","","",""
"  Other carnivore","-","-","-","-","-","-","-","-","-","  38 ","  38 ","","","","","","",""
"  Horse and other equids","-","-","-","-","-","-","  40 ","-","-","0","  72 ","","","","","","",""
"    Pigs, sheep & all other ungulates","-","-","  8 ","-","  202 ","-","  69 ","-","-","  2,805 ","  3,347 ","","","","","","",""
"  Primate","","","","","","","","","","","","","","","","","",""
"    New World monkey","-","-","-","-","-","-","-","0","-","  96 ","  109 ","","","","","","",""
"    Old World monkey","-","-","-","-","  282 ","-","-","-","-","  444 ","  1,558 ","","","","","","",""
"  All other mammals","-","-","-","-","-","-","-","-","-","-","0","","","","","","",""
"Bird","  556 ","-","-","-","  108 ","-","-","-","-","  13,844 ","  15,652 ","","","","","","",""
"Reptile, amphibian","-","-","-","-","-","-","-","-","-","  19 ","  419 ","","","","","","",""
"Fish","  1,280 ","-","-","-","  1,110 ","0","0","0","  4,575 ","  48,490 ","  76,350 ","","","","","","",""
"  Total","  36,479 ","  692 ","  1,101 ","  1,354 ","  19,836 ","  4,281 ","  641 ","  262 ","  13,127 ","  130,889 ","  399,126 ","","","","","","",""
"Increase on 2010","3,363 ","179 ","405 ","202 ","-""#,##0"" ","-""#,##0"" ","393 ","146 ","5,871 ","-""#,##0"" ","7,932 ","","","","","","",""
"Percentage change from 2010","10%","35%","58%","18%","-""0f%","-""0f%","158%","126%","81%","-""0.1f%","2%","","","","","","",""
"Percentage of total for 2011","9%","0.2%","0.3%","0.3%","5%","1%","0.2%","0.1%","3%","33%","100%","","","","","","",""
"2010 Totals","  33,116 ","  513 ","  696 ","  1,152 ","  23,497 ","  5,618 ","  248 ","  116 ","  7,256 ","  146,849 ","  391,194 ","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
