"TABLE Q6. Incidence rates1 of total cases of nonfatal occupational injury, by quartile distribution and employment size, 2022                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ","","","",""
"Industry, NAICS code2, and establishment employment size                                                               ","Average incidence rates for all establishments: 
    (mean)","One-quarter of the establishments had a rate lower than or equal to: 
    (1st quartile)","One-half of the establishments had a rate lower than or equal to: 
    (median)","Three-fourths of the establishments had a rate lower than or equal to: 
    (3rd quartile)"
"Total all sizes","004.8","(-3-)   ","(-3-)   ","006.0"
"   11 - 49","003.3","(-3-)   ","(-3-)   ","005.1"
"   50 - 249","005.0","002.0","005.0","008.8"
"   250 - 999","008.5","-","-","-"
"Animal production and aquaculture (NAICS 112000)4","","","",""
"Total all sizes","004.8","(-3-)   ","(-3-)   ","005.8"
"   11 - 49","003.3","(-3-)   ","(-3-)   ","004.7"
"   50 - 249","006.5","001.7","004.4","008.9"
"   250 - 999","005.0","002.1","004.4","009.3"
"Cattle ranching and farming (NAICS 112100)4","","","",""
"Total all sizes","004.0","(-3-)   ","(-3-)   ","005.0"
"   11 - 49","002.7","(-3-)   ","(-3-)   ","003.6"
"   50 - 249","005.6","001.4","003.7","009.1"
"   250 - 999","005.2","-","-","-"
"Beef cattle ranching and farming, including feedlots (NAICS 112110)4","","","",""
"Total all sizes","003.9","(-3-)   ","001.8","006.1"
"   11 - 49","004.1","(-3-)   ","(-3-)   ","006.1"
"   50 - 249","004.0","001.4","003.5","006.9"
"Dairy cattle and milk production (NAICS 112120)4","","","",""
"Total all sizes","004.1","(-3-)   ","(-3-)   ","004.3"
"   11 - 49","002.3","(-3-)   ","(-3-)   ","003.3"
"   50 - 249","006.0","000.7","005.7","010.7"
"   250 - 999","007.3","-","-","-"
"Hog and pig farming (NAICS 112200)4","","","",""
"Total all sizes","006.8","(-3-)   ","004.1","011.9"
"   11 - 49","006.6","(-3-)   ","004.1","011.9"
"   50 - 249","007.8","003.2","006.0","012.0"
"   250 - 999","004.2","-","-","-"
"Poultry and egg production (NAICS 112300)4","","","",""
"Total all sizes","005.1","(-3-)   ","001.9","002.7"
"   11 - 49","003.3","(-3-)   ","(-3-)   ","002.7"
"   50 - 249","006.2","002.4","004.3","007.1"
"   250 - 999","005.3","-","-","-"
"Other animal production (NAICS 112900)4","","","",""
"Total all sizes","009.1","(-3-)   ","(-3-)   ","008.3"
"   50 - 249","013.8","-","-","-"
"Forestry and logging (NAICS 113000)","","","",""
"Total all sizes","002.0","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","003.4","(-3-)   ","(-3-)   ","006.7"
"   50 - 249","002.9","(-3-)   ","001.3","001.6"
"Logging (NAICS 113300)","","","",""
"Total all sizes","001.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","003.2","(-3-)   ","(-3-)   ","006.7"
"   50 - 249","002.9","(-3-)   ","001.3","001.6"
"Fishing, hunting and trapping (NAICS 114000)","","","",""
"Total all sizes","002.4","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","007.7","-","-","-"
"Fishing (NAICS 114100)","","","",""
"Total all sizes","002.8","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","007.7","-","-","-"
"Support activities for agriculture and forestry (NAICS 115000)","","","",""
"Total all sizes","003.8","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.8","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","003.8","(-3-)   ","(-3-)   ","005.4"
"   50 - 249","004.2","001.2","004.5","005.0"
"   250 - 999","004.3","001.3","003.4","005.9"
"   1,000+","003.6","001.6","003.1","004.6"
"Support activities for crop production (NAICS 115100)","","","",""
"Total all sizes","004.1","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","002.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","004.5","(-3-)   ","(-3-)   ","005.8"
"   50 - 249","004.1","001.3","004.7","004.8"
"   250 - 999","004.4","001.4","003.4","005.9"
"   1,000+","003.6","001.6","003.1","004.6"
"Support activities for crop production (NAICS 115110)","","","",""
"Total all sizes","004.1","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","002.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","004.5","(-3-)   ","(-3-)   ","005.8"
"   50 - 249","004.1","001.3","004.7","004.8"
"   250 - 999","004.4","001.4","003.4","005.9"
"   1,000+","003.6","001.6","003.1","004.6"
"Cotton ginning (NAICS 115111)","","","",""
"Total all sizes","007.4","(-3-)   ","(-3-)   ","014.0"
"   11 - 49","005.4","-","-","-"
"Soil preparation, planting, and cultivating (NAICS 115112)","","","",""
"Total all sizes","003.0","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","003.5","-","-","-"
"   250 - 999","002.9","-","-","-"
"Crop harvesting, primarily by machine (NAICS 115113)","","","",""
"Total all sizes","003.6","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","006.3","-","-","-"
"   250 - 999","004.2","-","-","-"
"Postharvest crop activities (except cotton ginning) (NAICS 115114)","","","",""
"Total all sizes","005.0","(-3-)   ","(-3-)   ","004.9"
"   11 - 49","005.4","(-3-)   ","004.9","006.6"
"   50 - 249","004.6","002.1","004.5","006.5"
"   250 - 999","005.4","003.4","005.5","007.4"
"   1,000+","005.4","-","-","-"
"Farm labor contractors and crew leaders (NAICS 115115)","","","",""
"Total all sizes","003.6","(-3-)   ","(-3-)   ","004.7"
"   11 - 49","006.6","(-3-)   ","(-3-)   ","012.0"
"   50 - 249","003.6","(-3-)   ","004.7","004.7"
"   250 - 999","004.0","000.9","002.4","005.3"
"   1,000+","002.9","000.8","003.1","003.4"
"Farm management services (NAICS 115116)","","","",""
"Total all sizes","003.2","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.0","-","-","-"
"   50 - 249","004.4","-","-","-"
"   250 - 999","003.8","-","-","-"
"Support activities for animal production (NAICS 115200)","","","",""
"Total all sizes","002.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","003.1","(-3-)   ","(-3-)   ","007.4"
"   50 - 249","007.9","003.1","010.6","011.2"
"   250 - 999","-","-","-","-"
"Mining, quarrying, and oil and gas extraction6","","","",""
"Total all sizes","001.3","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.8","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.6","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.3","(-3-)   ","000.7","001.9"
"   250 - 999","001.2","000.1","000.7","001.8"
"   1,000+","001.2","000.2","000.7","001.8"
"Oil and gas extraction (NAICS 211000)","","","",""
"Total all sizes","000.6","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   250 - 999","000.6","(-3-)   ","000.3","001.2"
"   1,000+","000.7","-","-","-"
"Oil and gas extraction (NAICS 211100)","","","",""
"Total all sizes","000.6","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   250 - 999","000.6","(-3-)   ","000.3","001.2"
"   1,000+","000.7","-","-","-"
"Crude petroleum extraction (NAICS 211120)7","","","",""
"Total all sizes","000.6","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   250 - 999","000.6","(-3-)   ","000.1","001.6"
"Natural gas extraction (NAICS 211130)7","","","",""
"Total all sizes","000.7","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.6","(-3-)   ","(-3-)   ","004.2"
"   50 - 249","000.4","(-3-)   ","(-3-)   ","000.9"
"   250 - 999","000.6","-","-","-"
"Mining (except oil and gas) (NAICS 212000)5,8","","","",""
"Total all sizes","002.0","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.8","(-3-)   ","(-3-)   ","002.1"
"   50 - 249","002.2","(-3-)   ","001.6","003.3"
"   250 - 999","002.3","000.7","001.3","002.6"
"   1,000+","002.0","-","-","-"
"Coal mining (NAICS 212100)5,8","","","",""
"Total all sizes","003.0","(-3-)   ","(-3-)   ","001.3"
"   1 - 10","001.6","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.1","(-3-)   ","(-3-)   ","003.1"
"   50 - 249","003.2","000.6","002.3","004.4"
"   250 - 999","003.7","000.7","002.4","005.9"
"   1,000+","-","-","-","-"
"Coal mining (NAICS 212110)5,8","","","",""
"Total all sizes","003.0","(-3-)   ","(-3-)   ","001.3"
"   1 - 10","001.6","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.1","(-3-)   ","(-3-)   ","003.1"
"   50 - 249","003.2","000.6","002.3","004.4"
"   250 - 999","003.7","000.7","002.4","005.9"
"   1,000+","-","-","-","-"
"Bituminous coal and lignite surface mining (NAICS 212111)5,8","","","",""
"Total all sizes","001.1","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.4","(-3-)   ","(-3-)   ","002.2"
"   50 - 249","001.2","(-3-)   ","000.8","001.8"
"   250 - 999","000.6","-","-","-"
"   1,000+","-","-","-","-"
"Bituminous coal underground mining (NAICS 212112)5,8","","","",""
"Total all sizes","004.4","(-3-)   ","002.4","005.2"
"   1 - 10","-","-","-","-"
"   11 - 49","003.5","(-3-)   ","(-3-)   ","005.2"
"   50 - 249","004.4","002.3","003.6","005.6"
"   250 - 999","004.5","001.5","004.6","006.6"
"Anthracite mining (NAICS 212113)5,8","","","",""
"Total all sizes","003.6","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","004.3","(-3-)   ","002.4","007.7"
"   50 - 249","-","-","-","-"
"Metal ore mining (NAICS 212200)5,8","","","",""
"Total all sizes","001.8","(-3-)   ","(-3-)   ","001.5"
"   1 - 10","-","-","-","-"
"   11 - 49","002.8","(-3-)   ","(-3-)   ","004.0"
"   50 - 249","001.9","000.7","001.5","002.8"
"   250 - 999","001.4","000.8","001.2","001.8"
"   1,000+","002.3","-","-","-"
"Iron ore mining (NAICS 212210)5,8","","","",""
"Total all sizes","001.3","(-3-)   ","(-3-)   ","001.5"
"   1 - 10","-","-","-","-"
"   11 - 49","-","-","-","-"
"   50 - 249","-","-","-","-"
"   250 - 999","001.3","-","-","-"
"Gold ore and silver ore mining (NAICS 212220)5,8","","","",""
"Total all sizes","001.3","(-3-)   ","(-3-)   ","000.5"
"   1 - 10","-","-","-","-"
"   11 - 49","-","-","-","-"
"   50 - 249","001.5","(-3-)   ","001.2","002.3"
"   250 - 999","001.2","000.5","001.0","001.4"
"   1,000+","-","-","-","-"
"Gold ore mining (NAICS 212221)5,8","","","",""
"Total all sizes","001.2","(-3-)   ","(-3-)   ","000.5"
"   1 - 10","-","-","-","-"
"   11 - 49","-","-","-","-"
"   50 - 249","001.3","(-3-)   ","001.2","002.2"
"   250 - 999","001.2","000.5","001.0","001.4"
"   1,000+","-","-","-","-"
"Silver ore mining (NAICS 212222)5,8","","","",""
"Total all sizes","001.7","-","-","-"
"   50 - 249","-","-","-","-"
"   250 - 999","001.2","-","-","-"
"Copper, nickel, lead, and zinc mining (NAICS 212230)5,8","","","",""
"Total all sizes","002.4","000.1","001.9","003.3"
"   11 - 49","-","-","-","-"
"   50 - 249","002.7","001.6","002.8","003.8"
"   250 - 999","001.8","-","-","-"
"   1,000+","002.6","-","-","-"
"Other metal ore mining (NAICS 212290)5,8","","","",""
"Total all sizes","002.0","(-3-)   ","000.7","001.8"
"   11 - 49","-","-","-","-"
"   50 - 249","-","-","-","-"
"   250 - 999","002.2","-","-","-"
"   1,000+","001.8","-","-","-"
"Uranium-radium-vanadium ore mining (NAICS 212291)5,8","","","",""
"Total all sizes","-","-","-","-"
"   50 - 249","-","-","-","-"
"All other metal ore mining (NAICS 212299)5,8","","","",""
"Total all sizes","002.0","(-3-)   ","001.0","002.2"
"   11 - 49","-","-","-","-"
"   50 - 249","-","-","-","-"
"   250 - 999","002.2","-","-","-"
"   1,000+","001.8","-","-","-"
"Nonmetallic mineral mining and quarrying (NAICS 212300)5,8","","","",""
"Total all sizes","001.7","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.7","(-3-)   ","(-3-)   ","001.7"
"   50 - 249","001.9","(-3-)   ","001.5","002.9"
"   250 - 999","001.2","000.7","001.0","001.6"
"Stone mining and quarrying (NAICS 212310)5,8","","","",""
"Total all sizes","001.7","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.7","(-3-)   ","(-3-)   ","002.1"
"   50 - 249","001.9","(-3-)   ","001.6","002.9"
"   250 - 999","-","-","-","-"
"Dimension stone mining and quarrying (NAICS 212311)5,8","","","",""
"Total all sizes","002.0","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","002.1","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.1","(-3-)   ","(-3-)   ","001.7"
"   50 - 249","001.6","(-3-)   ","001.1","002.3"
"Crushed and broken limestone mining and quarrying (NAICS 212312)5,8","","","",""
"Total all sizes","001.7","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.7","(-3-)   ","(-3-)   ","002.4"
"   50 - 249","001.9","(-3-)   ","001.6","002.9"
"   250 - 999","-","-","-","-"
"Crushed and broken granite mining and quarrying (NAICS 212313)5,8","","","",""
"Total all sizes","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","001.2","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","002.3","001.0","002.4","002.9"
"Other crushed and broken stone mining and quarrying (NAICS 212319)5,8","","","",""
"Total all sizes","001.7","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.2","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.9","(-3-)   ","(-3-)   ","002.7"
"   50 - 249","002.0","(-3-)   ","001.3","003.6"
"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying (NAICS 212320)5,8","","","",""
"Total all sizes","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.6","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.8","(-3-)   ","001.3","002.7"
"   250 - 999","-","-","-","-"
"Construction sand and gravel mining (NAICS 212321)5,8","","","",""
"Total all sizes","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.9","(-3-)   ","001.4","003.0"
"Kaolin and ball clay mining (NAICS 212324)5,8","","","",""
"Total all sizes","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","-","-","-","-"
"   50 - 249","001.1","(-3-)   ","000.7","002.3"
"   250 - 999","-","-","-","-"
"Clay and ceramic and refractory minerals mining (NAICS 212325)5,8","","","",""
"Total all sizes","002.3","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","002.8","(-3-)   ","(-3-)   ","003.6"
"   50 - 249","002.5","-","-","-"
"Other nonmetallic mineral mining and quarrying (NAICS 212390)5,8","","","",""
"Total all sizes","001.9","(-3-)   ","(-3-)   ","001.5"
"   1 - 10","003.2","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.1","(-3-)   ","(-3-)   ","003.0"
"   50 - 249","001.9","(-3-)   ","001.5","002.9"
"   250 - 999","001.5","-","-","-"
"Potash, soda, and borate mineral mining (NAICS 212391)5,8","","","",""
"Total all sizes","001.3","(-3-)   ","(-3-)   ","001.0"
"   11 - 49","-","-","-","-"
"   50 - 249","-","-","-","-"
"   250 - 999","001.3","-","-","-"
"Phosphate rock mining (NAICS 212392)5,8","","","",""
"Total all sizes","001.8","-","-","-"
"   50 - 249","001.8","-","-","-"
"   250 - 999","001.8","-","-","-"
"Other chemical and fertilizer mineral mining (NAICS 212393)5,8","","","",""
"Total all sizes","002.2","(-3-)   ","(-3-)   ","002.2"
"   1 - 10","-","-","-","-"
"   11 - 49","001.9","(-3-)   ","(-3-)   ","003.0"
"   50 - 249","002.3","(-3-)   ","001.8","004.0"
"All other nonmetallic mineral mining (NAICS 212399)5,8","","","",""
"Total all sizes","002.2","(-3-)   ","(-3-)   ","000.9"
"   1 - 10","-","-","-","-"
"   11 - 49","003.3","(-3-)   ","(-3-)   ","006.0"
"   50 - 249","001.6","(-3-)   ","001.3","002.1"
"   250 - 999","-","-","-","-"
"Support activities for mining (NAICS 213000)","","","",""
"Total all sizes","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.6","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.1","(-3-)   ","000.5","001.5"
"   250 - 999","000.7","(-3-)   ","000.2","001.1"
"   1,000+","000.5","-","-","-"
"Support activities for mining (NAICS 213100)","","","",""
"Total all sizes","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.6","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.1","(-3-)   ","000.5","001.5"
"   250 - 999","000.7","(-3-)   ","000.2","001.1"
"   1,000+","000.5","-","-","-"
"Support activities for mining (NAICS 213110)","","","",""
"Total all sizes","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.6","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.1","(-3-)   ","000.5","001.5"
"   250 - 999","000.7","(-3-)   ","000.2","001.1"
"   1,000+","000.5","-","-","-"
"Drilling oil and gas wells (NAICS 213111)","","","",""
"Total all sizes","001.2","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.2","(-3-)   ","001.0","001.7"
"   250 - 999","001.1","(-3-)   ","000.2","001.1"
"Support activities for oil and gas operations (NAICS 213112)","","","",""
"Total all sizes","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.6","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.0","(-3-)   ","000.5","001.5"
"   250 - 999","000.5","(-3-)   ","000.2","001.3"
"Construction","","","",""
"Total all sizes","002.3","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.7","(-3-)   ","(-3-)   ","003.8"
"   50 - 249","002.7","(-3-)   ","001.7","004.0"
"   250 - 999","001.9","000.5","001.2","002.5"
"   1,000+","001.2","000.3","000.8","001.4"
"Construction","","","",""
"Total all sizes","002.3","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.7","(-3-)   ","(-3-)   ","003.8"
"   50 - 249","002.7","(-3-)   ","001.7","004.0"
"   250 - 999","001.9","000.5","001.2","002.5"
"   1,000+","001.2","000.3","000.8","001.4"
"Construction of buildings (NAICS 236000)","","","",""
"Total all sizes","002.0","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.6","(-3-)   ","(-3-)   ","003.7"
"   50 - 249","002.2","(-3-)   ","001.4","003.6"
"   250 - 999","001.4","000.3","001.0","001.8"
"   1,000+","000.8","000.3","000.6","001.0"
"Residential building construction (NAICS 236100)","","","",""
"Total all sizes","002.3","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","003.1","(-3-)   ","(-3-)   ","005.0"
"   50 - 249","003.3","(-3-)   ","001.7","005.5"
"   250 - 999","002.5","001.1","001.5","002.6"
"Nonresidential building construction (NAICS 236200)","","","",""
"Total all sizes","001.7","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.2","(-3-)   ","(-3-)   ","001.8"
"   50 - 249","001.7","(-3-)   ","001.1","003.2"
"   250 - 999","001.2","000.2","000.8","001.8"
"   1,000+","000.7","000.2","000.4","001.0"
"Heavy and civil engineering construction (NAICS 237000)","","","",""
"Total all sizes","001.9","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.3","(-3-)   ","(-3-)   ","003.2"
"   50 - 249","002.2","(-3-)   ","001.5","003.2"
"   250 - 999","001.6","000.6","001.1","002.1"
"   1,000+","000.9","000.2","000.7","001.4"
"Utility system construction (NAICS 237100)","","","",""
"Total all sizes","001.6","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.4","(-3-)   ","(-3-)   ","003.5"
"   50 - 249","001.7","(-3-)   ","001.0","002.1"
"   250 - 999","001.1","000.2","000.9","001.5"
"   1,000+","000.5","-","-","-"
"Water and sewer line and related structures construction (NAICS 237110)","","","",""
"Total all sizes","002.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","003.0","(-3-)   ","(-3-)   ","004.9"
"   50 - 249","002.8","001.1","001.7","003.2"
"   250 - 999","001.7","000.9","001.1","002.0"
"Oil and gas pipeline and related structures construction (NAICS 237120)","","","",""
"Total all sizes","000.6","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.5","(-3-)   ","(-3-)   ","000.6"
"   250 - 999","000.4","(-3-)   ","000.2","000.5"
"   1,000+","000.2","-","-","-"
"Power and communication line and related structures construction (NAICS 237130)","","","",""
"Total all sizes","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.3","(-3-)   ","(-3-)   ","002.3"
"   50 - 249","001.6","(-3-)   ","001.0","002.1"
"   250 - 999","001.3","000.6","001.0","002.0"
"   1,000+","000.8","-","-","-"
"Land subdivision (NAICS 237200)","","","",""
"Total all sizes","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.2","(-3-)   ","001.5","002.3"
"   250 - 999","002.7","-","-","-"
"Highway, street, and bridge construction (NAICS 237300)","","","",""
"Total all sizes","002.6","(-3-)   ","(-3-)   ","002.1"
"   11 - 49","002.9","(-3-)   ","(-3-)   ","003.8"
"   50 - 249","003.0","000.9","002.6","004.3"
"   250 - 999","002.1","001.0","001.6","002.8"
"   1,000+","001.8","-","-","-"
"Other heavy and civil engineering construction (NAICS 237900)","","","",""
"Total all sizes","001.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.3","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.6","(-3-)   ","000.8","002.5"
"   250 - 999","001.3","-","-","-"
"   1,000+","-","-","-","-"
"Specialty trade contractors (NAICS 238000)","","","",""
"Total all sizes","002.5","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.7","(-3-)   ","(-3-)   ","003.8"
"   50 - 249","003.0","(-3-)   ","001.9","004.4"
"   250 - 999","002.3","000.6","001.4","003.2"
"   1,000+","001.5","000.5","000.9","001.5"
"Foundation, structure, and building exterior contractors (NAICS 238100)","","","",""
"Total all sizes","003.1","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","003.5","(-3-)   ","(-3-)   ","006.1"
"   50 - 249","003.7","(-3-)   ","002.5","006.1"
