"","Climate hasard statistics - Regions","","","","","","",""
"","Victoria","","0.0","0.0","0.0","0.0","",""
"","Queensland","","0.3","0.3","0.3","0.3","",""
"","South Australia","","0.0","0.0","0.0","0.0","",""
"","Western Australia","","0.2","0.2","0.2","0.2","",""
"","Tasmania","","0.1","0.1","0.1","0.1","",""
"","Northern Territory","","0.4","0.4","0.4","0.4","",""
"","Australian Capital Territory","","0.0","0.0","0.0","0.0","",""
"","Measure: Land exposure to coastal flooding","","","","","","",""
"","Combined unit of measure: Percentage of area","","","","","","",""
"","Return period: 20 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","0.0","0.0","0.0","0.0","",""
"","Victoria","","0.0","0.0","0.0","0.0","",""
"","Queensland","","0.4","0.4","0.4","0.4","",""
"","South Australia","","0.0","0.0","0.0","0.0","",""
"","Western Australia","","0.2","0.2","0.2","0.2","",""
"","Tasmania","","0.1","0.1","0.1","0.1","",""
"","Northern Territory","","0.4","0.4","0.4","0.4","",""
"","Australian Capital Territory","","0.0","0.0","0.0","0.0","",""
"","Measure: Land exposure to coastal flooding","","","","","","",""
"","Combined unit of measure: Percentage of area","","","","","","",""
"","Return period: 50 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","0.0","0.0","0.0","0.0","",""
"","Victoria","","0.0","0.0","0.0","0.0","",""
"","Queensland","","0.4","0.4","0.4","0.4","",""
"","South Australia","","0.0","0.0","0.0","0.0","",""
"","Western Australia","","0.2","0.2","0.2","0.2","",""
"","Tasmania","","0.1","0.1","0.1","0.1","",""
"","Northern Territory","","0.5","0.5","0.5","0.5","",""
"","Australian Capital Territory","","0.0","0.0","0.0","0.0","",""
"","Measure: Land exposure to coastal flooding","","","","","","",""
"","Combined unit of measure: Percentage of area","","","","","","",""
"","Return period: 100 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","0.0","0.0","0.0","0.0","",""
"","Victoria","","0.0","0.0","0.0","0.0","",""
"","Queensland","","0.4","0.4","0.4","0.4","",""
"","South Australia","","0.0","0.0","0.0","0.0","",""
"","Western Australia","","0.2","0.2","0.2","0.2","",""
"","Tasmania","","0.1","0.1","0.1","0.1","",""
"","Northern Territory","","0.5","0.5","0.5","0.5","",""
"","Australian Capital Territory","","0.0","0.0","0.0","0.0","",""
"","Measure: Built-up area exposure to coastal flooding","","","","","","",""
"","Combined unit of measure: Percentage of built-up area","","","","","","",""
"","Return period: 10 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","0.1","0.1","0.1","0.1","",""
"","Victoria","","0.0","0.0","0.0","0.0","",""
"","Queensland","","0.4","0.4","0.4","0.4","",""
"","South Australia","","0.1","0.1","0.1","0.1","",""
"","Western Australia","","0.1","0.1","0.1","0.1","",""
"","Tasmania","","0.0","0.0","0.0","0.0","",""
"","Northern Territory","","0.1","0.1","0.1","0.1","",""
"","Australian Capital Territory","","0.0","0.0","0.0","0.0","",""
"","Measure: Built-up area exposure to coastal flooding","","","","","","",""
"","Combined unit of measure: Percentage of built-up area","","","","","","",""
"","Return period: 20 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","0.1","0.1","0.1","0.1","",""
"","Victoria","","0.0","0.0","0.0","0.0","",""
"","Queensland","","0.4","0.4","0.4","0.4","",""
"","South Australia","","0.1","0.1","0.1","0.1","",""
"","Western Australia","","0.1","0.1","0.1","0.1","",""
"","Tasmania","","0.0","0.0","0.0","0.0","",""
"","Northern Territory","","0.1","0.1","0.1","0.1","",""
"","Australian Capital Territory","","0.0","0.0","0.0","0.0","",""
"","Measure: Built-up area exposure to coastal flooding","","","","","","",""
"","Combined unit of measure: Percentage of built-up area","","","","","","",""
"","Return period: 50 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","0.1","0.1","0.1","0.1","",""
"","Victoria","","0.0","0.0","0.0","0.0","",""
"","Queensland","","0.5","0.5","0.5","0.5","",""
"","South Australia","","0.2","0.2","0.2","0.2","",""
"","Western Australia","","0.1","0.1","0.1","0.1","",""
"","Tasmania","","0.0","0.0","0.0","0.0","",""
"","Northern Territory","","0.1","0.1","0.1","0.1","",""
"","Australian Capital Territory","","0.0","0.0","0.0","0.0","",""
"","Measure: Built-up area exposure to coastal flooding","","","","","","",""
"","Combined unit of measure: Percentage of built-up area","","","","","","",""
"","Return period: 100 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","0.1","0.1","0.1","0.1","",""
"","Victoria","","0.0","0.0","0.0","0.0","",""
"","Queensland","","0.5","0.5","0.5","0.5","",""
"","South Australia","","0.2","0.2","0.2","0.2","",""
"","Western Australia","","0.1","0.1","0.1","0.1","",""
"","Tasmania","","0.0","0.0","0.0","0.0","",""
"","Northern Territory","","0.1","0.1","0.1","0.1","",""
"","Australian Capital Territory","","0.0","0.0","0.0","0.0","",""
"","Measure: Cropland exposure to coastal flooding","","","","","","",""
"","Combined unit of measure: Percentage of agricultural land area","","","","","","",""
"","Return period: 10 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","0.0","0.0","0.0","0.0","",""
"","Victoria","","0.0","0.0","0.0","0.0","",""
"","Queensland","","0.6","0.6","0.6","0.6","",""
"","South Australia","","0.0","0.0","0.0","0.0","",""
"","Western Australia","","0.0","0.0","0.0","0.0","",""
"","Tasmania","","0.0","0.0","0.0","0.0","",""
"","Northern Territory","","2.3","2.3","2.3","2.3","",""
"","Australian Capital Territory","","0.0","0.0","0.0","0.0","",""
"","Measure: Cropland exposure to coastal flooding","","","","","","",""
"","Combined unit of measure: Percentage of agricultural land area","","","","","","",""
"","Return period: 20 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","0.0","0.0","0.0","0.0","",""
"","Victoria","","0.0","0.0","0.0","0.0","",""
"","Queensland","","0.6","0.6","0.6","0.6","",""
"","South Australia","","0.0","0.0","0.0","0.0","",""
"","Western Australia","","0.0","0.0","0.0","0.0","",""
"","Tasmania","","0.0","0.0","0.0","0.0","",""
"","Northern Territory","","2.6","2.6","2.5","2.5","",""
"","Australian Capital Territory","","0.0","0.0","0.0","0.0","",""
"","Measure: Cropland exposure to coastal flooding","","","","","","",""
"","Combined unit of measure: Percentage of agricultural land area","","","","","","",""
"","Return period: 50 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","0.0","0.0","0.0","0.0","",""
"","Victoria","","0.0","0.0","0.0","0.0","",""
"","Queensland","","0.6","0.6","0.6","0.6","",""
"","South Australia","","0.0","0.0","0.0","0.0","",""
"","Western Australia","","0.0","0.0","0.0","0.0","",""
"","Tasmania","","0.0","0.0","0.0","0.0","",""
"","Northern Territory","","2.7","2.8","2.7","2.7","",""
"","Australian Capital Territory","","0.0","0.0","0.0","0.0","",""
"","Measure: Cropland exposure to coastal flooding","","","","","","",""
"","Combined unit of measure: Percentage of agricultural land area","","","","","","",""
"","Return period: 100 years","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","0.0","0.0","0.0","0.0","",""
"","Victoria","","0.0","0.0","0.0","0.0","",""
"","Queensland","","0.6","0.6","0.6","0.6","",""
"","South Australia","","0.0","0.0","0.0","0.0","",""
"","Western Australia","","0.0","0.0","0.0","0.0","",""
"","Tasmania","","0.0","0.0","0.0","0.0","",""
"","Northern Territory","","2.9","2.9","2.9","2.9","",""
"","Australian Capital Territory","","0.0","0.0","0.0","0.0","",""
"","Measure: Mean population exposure to heat stress","","","","","","",""
"","Combined unit of measure: Days per year","","","","","","",""
"","Return period: Not applicable","","","","","","",""
"","Heat stress threshold: Strong heat stress (> 32°C)","","","","","","",""
"","New South Wales","","53","58","65","42","28",""
"","Victoria","","39","34","38","24","21",""
"","Queensland","","109","90","104","105","92",""
"","South Australia","","37","39","42","26","23",""
"","Western Australia","","63","54","79","71","67",""
"","Tasmania","","2","3","6","3","1",""
"","Northern Territory","","284","288","279","293","288",""
"","Australian Capital Territory","","14","19","34","14","3",""
"","Measure: Mean population exposure to heat stress","","","","","","",""
"","Combined unit of measure: Days per year","","","","","","",""
"","Return period: Not applicable","","","","","","",""
"","Heat stress threshold: Very strong heat stress (> 38°C)","","","","","","",""
"","New South Wales","","15","11","15","10","3",""
"","Victoria","","4","8","15","4","2",""
"","Queensland","","15","15","16","13","6",""
"","South Australia","","9","12","16","5","5",""
"","Western Australia","","14","11","19","16","16",""
"","Tasmania","","0","0","0","0","0",""
"","Northern Territory","","108","111","109","116","113",""
"","Australian Capital Territory","","0","0","3","2","0",""
"","Measure: Mean population exposure to heat stress","","","","","","",""
"","Combined unit of measure: Days per year","","","","","","",""
"","Return period: Not applicable","","","","","","",""
"","Heat stress threshold: Extreme heat stress (> 46°C)","","","","","","",""
"","New South Wales","","1","0","1","1","0",""
"","Victoria","","0","0","2","0","0",""
"","Queensland","","0","0","0","0","0",""
"","South Australia","","0","1","2","0","0",""
"","Western Australia","","0","1","2","1","1",""
"","Tasmania","","0","0","0","0","0",""
"","Northern Territory","","1","4","8","3","2",""
"","Australian Capital Territory","","0","0","0","0","0",""
"","Measure: Cooling degree days","","","","","","",""
"","Combined unit of measure: Degree days","","","","","","",""
"","Return period: Not applicable","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","689.5","750.4","","","",""
"","Victoria","","216.7","264.5","","","",""
"","Queensland","","1,521.7","1,566.4","","","",""
"","South Australia","","1,050.4","1,141.9","","","",""
"","Western Australia","","1,441.6","1,558.5","","","",""
"","Tasmania","","1.0","5.1","","","",""
"","Northern Territory","","2,006.5","2,129.0","","","",""
"","Australian Capital Territory","","52.0","71.0","","","",""
"","Measure: Heating degree days","","","","","","",""
"","Combined unit of measure: Degree days","","","","","","",""
"","Return period: Not applicable","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","587.7","542.0","","","",""
"","Victoria","","1,072.7","978.0","","","",""
"","Queensland","","37.3","46.8","","","",""
"","South Australia","","205.9","209.5","","","",""
"","Western Australia","","127.4","112.1","","","",""
"","Tasmania","","1,725.7","1,651.0","","","",""
"","Northern Territory","","24.8","36.6","","","",""
"","Australian Capital Territory","","1,713.5","1,546.0","","","",""
"","Measure: Population exposure to wildfires","","","","","","",""
"","Combined unit of measure: Percentage of population","","","","","","",""
"","Return period: Not applicable","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","6.8","10.5","6.3","6.8","4.8",""
"","Victoria","","1.2","3.6","0.7","0.5","2.5",""
"","Queensland","","6.7","6.7","8.7","4.4","4.0",""
"","South Australia","","5.7","2.5","0.5","1.6","0.8",""
"","Western Australia","","9.1","4.3","7.9","5.2","4.8",""
"","Tasmania","","0.4","0.6","1.4","0.5","0.0",""
"","Northern Territory","","61.6","66.5","53.5","55.7","56.7",""
"","Australian Capital Territory","","0.1","0.0","0.0","11.0","9.9",""
"","Measure: Land exposure to wildfires","","","","","","",""
"","Combined unit of measure: Square kilometres","","","","","","",""
"","Return period: Not applicable","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","8,529.4","3,386.1","14,836.0","29,181.7","4,877.8",""
"","Victoria","","1,111.9","1,171.1","1,829.8","12,784.7","2,022.0",""
"","Queensland","","49,644.9","86,584.3","41,948.0","63,038.6","55,715.3",""
"","South Australia","","2,280.4","4,659.3","4,703.8","4,232.9","329.9",""
"","Western Australia","","177,664.6","252,438.7","122,422.7","48,763.4","66,704.0",""
"","Tasmania","","123.4","58.6","1,784.0","306.7","15.3",""
"","Northern Territory","","197,934.4","197,468.5","115,803.5","60,576.7","112,310.8",""
"","Australian Capital Territory","","0.2","1.9","0.4","766.4","0.4",""
"","Measure: Land exposure to wildfires","","","","","","",""
"","Combined unit of measure: Percentage of land area","","","","","","",""
"","Return period: Not applicable","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","1.1","0.4","1.8","3.6","0.6",""
"","Victoria","","0.5","0.5","0.8","5.5","0.9",""
"","Queensland","","2.8","4.9","2.4","3.6","3.2",""
"","South Australia","","0.2","0.5","0.5","0.4","0.0",""
"","Western Australia","","7.4","10.5","5.1","2.0","2.8",""
"","Tasmania","","0.2","0.1","2.6","0.5","0.0",""
"","Northern Territory","","14.5","14.4","8.5","4.4","8.2",""
"","Australian Capital Territory","","0.0","0.1","0.0","32.3","0.0",""
"","Measure: Built-up area exposure to wildfires","","","","","","",""
"","Combined unit of measure: Percentage of built-up area","","","","","","",""
"","Return period: Not applicable","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","0.1","0.1","0.1","0.5","0.0",""
"","Victoria","","0.0","0.0","0.0","0.0","0.0",""
"","Queensland","","0.1","0.1","0.2","0.0","0.1",""
"","South Australia","","0.0","0.0","0.0","0.2","0.0",""
"","Western Australia","","0.0","0.1","0.0","0.0","0.1",""
"","Tasmania","","0.0","0.0","0.1","0.0","0.0",""
"","Northern Territory","","1.5","1.4","1.4","0.8","0.6",""
"","Australian Capital Territory","","0.0","0.0","0.0","0.3","0.1",""
"","Measure: Cropland area exposure to wildfires","","","","","","",""
"","Combined unit of measure: Percentage of agricultural land area","","","","","","",""
"","Return period: Not applicable","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","3.0","0.8","0.2","0.6","2.0",""
"","Victoria","","0.9","0.9","0.3","0.9","1.7",""
"","Queensland","","1.7","0.8","0.8","1.1","1.0",""
"","South Australia","","1.1","0.3","0.1","0.7","0.1",""
"","Western Australia","","4.1","1.2","3.5","0.7","0.3",""
"","Tasmania","","0.0","0.0","0.1","0.1","0.0",""
"","Northern Territory","","12.4","18.9","20.9","6.2","15.1",""
"","Australian Capital Territory","","0.0","0.0","0.0","1.0","0.0",""
"","Measure: Forest exposure to wildfires","","","","","","",""
"","Combined unit of measure: Percentage of forested area","","","","","","",""
"","Return period: Not applicable","","","","","","",""
"","Heat stress threshold: Not applicable","","","","","","",""
"","New South Wales","","0.5","0.7","7.4","15.0","0.1",""
"","Victoria","","0.2","0.2","2.0","15.7","0.1",""
"","Queensland","","4.2","7.0","4.5","4.6","4.4",""
"","South Australia","","0.6","0.5","0.8","5.2","0.0",""
"","Western Australia","","3.7","5.4","5.6","6.0","2.6",""
"","Tasmania","","0.2","0.1","3.3","0.5","0.0",""
"","Northern Territory","","19.2","27.4","20.7","11.6","18.6",""
"","Australian Capital Territory","","0.0","0.1","0.0","52.0","0.0",""
"","","","","","","","",""
"","© Terms & conditions ","","","","","","","Climate hasard statistics - Regions"
