"Return to contents","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DA1 Channel through which the consumer purchased products that they experienced detriment with 
"Over a phone call","15%","4%","25%","4%","5%","8%","40%","24%","14%","18%","3%","17%","17%","19%","8%","3%","2%","4%","1%","","4%","10%","2%","20%","2%","4%","38%","43%","42%","36%","38%","21%","19%","9%","13%","","11%","14%","28%","46%","","","1%","4%","11%","32%","15%","","0%","5%","9%","3%","9%","21%","25%","4%","",""
"","A1 B1 C1 D1 E1 F1 J1 O1 P1 T1 V1 X1 Z1 A2 B2 C2 D2 L2 M2 P2 S2 C3","B1","A1","F1 G1 H1 I1 K1 L1 M1","F1 G1 H1 I1 K1 L1 M1","F1 G1 I1 K1 L1","C1 D1 E1 G1 H1 I1 J1 K1 L1 M1","C1 D1 E1 F1 J1","C1 D1 F1 J1","C1 D1 E1 F1 J1","F1 G1 H1 I1 K1 L1 M1","C1 D1 E1 F1 J1","C1 D1 E1 F1 J1","C1 D1 F1 J1","Z1 A2 B2 C2 D2 I2 L2 M2 S2 B3","U1 W1 Z1 A2 B2 C2 D2 E2 F2 H2 I2 J2 K2 L2 M2 S2 T2 U2 A3 B3","W1 Z1 A2 B2 C2 D2 E2 F2 H2 I2 J2 K2 L2 M2 S2 T2 U2 A3 B3","Z1 A2 B2 C2 D2 I2 M2","W1 Z1 A2 B2 C2 D2 I2 L2 M2 S2 U2 B3","W1 Z1 A2 B2 C2 D2 E2 F2 H2 I2 J2 K2 L2 M2 S2 T2 U2 A3 B3","W1 Z1 A2 B2 C2 D2 E2 F2 H2 I2 J2 K2 L2 M2 S2 T2 A3 B3","O1 Z1 A2 B2 C2 D2 I2 L2 M2 S2 B3","W1 Z1 A2 B2 C2 D2 E2 F2 I2 L2 M2 S2 T2 U2 A3 B3","O1 P1 R1 S1 T1 V1 X1 Y1 P2 C3","W1 Z1 A2 B2 C2 D2 E2 F2 H2 I2 K2 L2 M2 S2 T2 U2 A3 B3","W1 Z1 A2 B2 C2 D2 I2 L2 M2 S2 A3 B3","N1 O1 P1 Q1 R1 S1 T1 U1 V1 X1 Y1 G2 H2 J2 K2 P2 Q2 R2 T2 V2 W2 X2 Z2 C3 D3","N1 O1 P1 Q1 R1 S1 T1 U1 V1 X1 Y1 E2 G2 H2 J2 K2 L2 P2 Q2 R2 T2 V2 W2 X2 Y2 Z2 A3 B3 C3 D3","N1 O1 P1 Q1 R1 S1 T1 U1 V1 X1 Y1 E2 F2 G2 H2 J2 K2 L2 P2 Q2 R2 T2 V2 W2 X2 Y2 Z2 A3 B3 C3 D3","N1 O1 P1 Q1 R1 S1 T1 U1 V1 X1 Y1 G2 H2 J2 K2 P2 Q2 R2 T2 V2 W2 X2 Z2 C3 D3","N1 O1 P1 Q1 R1 S1 T1 U1 V1 X1 Y1 G2 H2 J2 P2 Q2 R2 T2 V2 X2 Z2 C3 D3","O1 P1 S1 T1 V1 X1 A2 B2 M2 P2 C3","O1 P1 S1 T1 V1 X1 B2 P2","Z1 A2 B2 C2 D2 L2 M2","O1 P1 S1 T1 X1 Z1 A2 B2 C2 D2 L2 M2","","O1 P1 S1 T1 Z1 A2 B2 C2 D2 L2 M2 S2 B3","O1 P1 S1 T1 X1 Z1 A2 B2 C2 M2","N1 O1 P1 R1 S1 T1 U1 V1 X1 Y1 A2 B2 G2 H2 J2 P2 Q2 R2 V2 Z2 C3 D3","N1 O1 P1 Q1 R1 S1 T1 U1 V1 X1 Y1 E2 G2 H2 J2 K2 P2 Q2 R2 T2 V2 W2 X2 Y2 Z2 C3 D3","","","W1 Z1 A2 B2 C2 D2 E2 F2 I2 L2 M2 S2 T2 U2 A3 B3","Z1 A2 B2 C2 D2 I2 L2 M2 S2 A3 B3","Z1 A2 B2 C2 D2 I2 L2 M2 S2","N1 O1 P1 R1 S1 T1 U1 V1 X1 Y1 J2 P2 Q2 R2 V2 Z2 C3 D3","O1 P1 S1 T1 V1 X1 Z1 A2 B2 C2 D2 M2 P2","","Z1 A2 B2 C2 D2 I2 L2 M2 S2 B3","Z1 A2 B2 C2 M2","Z1 A2 B2 C2 D2 M2","A2 B2 M2","Z1 A2 B2 C2 D2 I2 L2 M2 S2","O1 P1 S1 T1 V1 X1 Y1 A2 B2 P2 Q2 C3","N1 O1 P1 R1 S1 T1 U1 V1 X1 Y1 A2 B2 J2 P2 Q2 V2 C3 D3","W1 Z1 A2 B2 C2 D2 E2 I2 L2 M2 S2 A3 B3","Z1 A2 B2 C2 D2 I2 L2 M2 S2 B3",""
"Online, from a third-party marketplace website or app","9%","12%","6%","10%","15%","3%","2%","6%","6%","8%","8%","3%","19%","1%","11%","13%","12%","11%","3%","0%","12%","19%","21%","1%","5%","5%","5%","2%","2%","1%","","8%","10%","5%","7%","","5%","","15%","1%","","","3%","14%","1%","1%","1%","","11%","","0%","","14%","3%","31%","2%","16%",""
"","B1 D1 F1 L1 U1 V1 A2 B2 C2 L2 B3","B1","A1","E1 F1 L1","E1 F1 I1 K1 M1","C1 D1 L1","C1 D1 H1 I1 J1 L1","L1","F1 L1","D1 F1 L1","F1 L1","D1 L1","C1 E1 F1 G1 H1 I1 J1 K1 M1","D1 L1","A2 B2 C2 R2 B3","A2 B2 C2 R2 B3","A2 B2 C2 R2 B3","","B3","U1 V1 F2 L2 Q2 V2 Z2 B3 D3","A2 B2 C2 R2 T2 B3","S1 X1 Z1 A2 B2 C2 D2 J2 K2 M2 P2 R2 S2 T2 X2 A3 C3","S1 X1 Z1 A2 B2 C2 D2 J2 K2 M2 P2 R2 S2 T2 X2 A3 C3","B3","U1 V1 B3","B3","U1 V1 L2 B3","N1 O1 P1 T1 U1 V1 L2 Q2 V2 Z2 B3 D3","N1 O1 P1 T1 U1 V1 F2 H2 L2 Q2 V2 Z2 B3 D3","N1 O1 P1 T1 U1 V1 F2 H2 L2 Q2 V2 Z2 B3 D3","U1 V1 L2 Q2 V2 B3 D3","B3","S1 B2 C2 R2","B3","B2 C2 B3","","U1 V1 L2 B3","U1 V1 L2 B3 D3","S1 Z1 A2 B2 C2 D2 J2 K2 R2 T2 B3 C3","U1 V1 B3","","","U1 V1 B3","S1 A2 B2 C2 D2 R2 T2 X2","N1 O1 P1 T1 U1 V1 F2 L2 Q2 V2 Z2 B3 D3","U1 V1 B3 D3","T1 U1 V1 L2 Q2 Z2 B3 D3","","S1 A2 B2 C2 D2 R2 X2","B3","U1 V1 Q2 V2 B3 D3","","S1 A2 B2 C2 R2 T2","U1 V1 B3","N1 O1 P1 R1 S1 T1 W1 X1 Y1 Z1 A2 B2 C2 D2 E2 G2 H2 J2 K2 L2 M2 P2 R2 S2 T2 W2 X2 A3 C3","U1 V1 L2 B3","S1 A2 B2 C2 D2 K2 R2 S2 T2 X2",""
"Auto-renewal where the money is automatically taken from your account","5%","3%","6%","4%","1%","2%","9%","12%","2%","11%","0%","7%","2%","1%","1%","1%","0%","3%","24%","0%","","3%","0%","","","2%","2%","17%","7%","17%","17%","11%","1%","3%","0%","","3%","10%","20%","1%","","","0%","","2%","12%","3%","","8%","3%","1%","0%","","","0%","16%","0%",""
"","D1 F1 G1 I1 R1 T1 A2 C2 D2 L2 C3","B1","A1","F1 G1 I1","F1 G1 I1 K1","F1 G1 I1 K1","C1 D1 E1 H1 J1 L1","C1 D1 E1 H1 J1 L1","F1 G1 I1","C1 D1 E1 H1 J1 L1 M1","F1 G1 I1 K1","D1 E1 J1","F1 G1 I1","I1","R1 A2 B2 C2 D2 E2 K2 L2 S2 V2 C3","R1 A2 B2 C2 D2 E2 K2 L2 S2 V2 C3","R1 A2 C2 D2 K2 L2 S2 V2 C3","","N1 O1 P1 S1 T1 U1 V1 X1 Z1 H2 J2 Q2 R2 Z2 B3","R1 A2 C2 D2 L2 V2 C3","R1 U1 A2 B2 C2 D2 E2 G2 J2 K2 L2 S2 T2 V2 W2 C3","R1 T1 A2 C2 D2 L2 C3","R1 A2 C2 D2 K2 L2 S2 V2 C3","","R1 A2 C2 D2 K2 L2 S2 V2 C3","A2 C2 D2 L2 C3","R1 A2 C2 D2 L2 S2 C3","N1 O1 P1 S1 T1 U1 V1 X1 Y1 Z1 B2 H2 J2 M2 P2 Q2 R2 T2 Z2 A3 B3","N1 O1 T1 A2 C2 L2 C3","N1 O1 P1 S1 T1 U1 V1 X1 Y1 Z1 B2 H2 J2 P2 Q2 R2 T2 Z2 A3 B3","N1 O1 P1 S1 T1 U1 V1 X1 Y1 Z1 H2 J2 P2 Q2 R2 Z2 A3 B3","N1 O1 T1","L2","T1 L2","R1 A2 C2 D2 K2 L2 S2 V2 C3","","R1 T1 A2 C2 D2 L2 C3","N1 O1 P1 T1 V1 X1 H2 Q2 Z2 B3","N1 O1 P1 S1 T1 U1 V1 X1 Y1 Z1 B2 F2 G2 H2 J2 M2 P2 Q2 R2 T2 X2 Z2 A3 B3","A2 L2","","","A2 C2 D2 L2 C3","R1 A2 C2 D2 K2 L2 S2 V2 C3","R1 A2 C2 D2 L2 C3","N1 O1 P1 T1 V1 X1 Z1 H2 Q2 Z2 B3","T1 A2 C2 L2 C3","","N1 O1 P1 S1 T1 V1 X1 H2 Q2 Z2 B3","T1","L2 C3","","R1 A2 C2 D2 K2 L2 S2 V2 C3","A2 C2 D2 L2 C3","R1 A2 C2 D2 K2 L2 S2 V2 C3","N1 O1 P1 S1 T1 U1 V1 X1 Y1 Z1 B2 H2 J2 P2 Q2 R2 T2 X2 Z2 A3 B3","",""
"Online, from a website where private individuals sell to each other, such as eBay or Airbnb","3%","5%","1%","4%","8%","4%","1%","2%","2%","1%","4%","1%","1%","0%","0%","5%","6%","37%","0%","","8%","8%","13%","","14%","2%","0%","1%","1%","1%","","2%","","3%","1%","","2%","0%","","1%","","","6%","","2%","","1%","","6%","","","","4%","","1%","0%","",""
"","B1 D1 F1 Q1 T1 U1 V1 X1","B1","A1","F1","F1 I1 L1","F1","C1 D1 E1 J1","","","D1","F1","","D1","","P1 Q1 T1 U1 V1 X1 P2","Q1 B2","N1 Q1 Z1 B2 C2 L2","N1 O1 P1 R1 S1 T1 U1 Y1 Z1 A2 B2 C2 D2 E2 F2 G2 H2 J2 K2 L2 M2 P2 Q2 R2 S2 T2 X2 Z2 A3 B3 C3","Q1","Q1 X1","N1 Q1 Z1 A2 B2 C2 L2","N1 Q1 Z1 A2 B2 C2 L2","N1 Z1 A2 B2 C2 E2 H2 J2 L2 Q2 T2 B3 C3","","N1 S1 Y1 Z1 A2 B2 C2 E2 H2 J2 L2 Q2 R2 T2 A3 B3 C3","Q1 X1","P1 Q1 T1 U1 V1 X1 P2","Q1 T1 U1 V1 X1","O1 P1 Q1 T1 U1 V1 X1 P2","P1 Q1 T1 U1 V1 X1 P2","Q1","Q1 V1 X1","Q1","Q1","Q1 V1 X1","","Q1 V1 X1","Q1","P1 Q1 T1 U1 V1 X1 P2","Q1","","","N1 Q1 Z1 B2 C2 L2","Q1 V1 X1","Q1 X1","Q1","Q1 V1 X1","","","","Q1","","Q1","Q1 X1","Q1 V1 X1","Q1 V1 X1","",""
"In-person from salesperson who visited my home or work","2%","0%","3%","0%","1%","1%","2%","3%","16%","3%","6%","4%","0%","0%","0%","","2%","2%","","1%","2%","0%","","4%","1%","0%","0%","1%","2%","3%","3%","4%","15%","7%","30%","","0%","17%","0%","1%","","","9%","","1%","","","","13%","","","0%","","","","1%","",""
"","H1 J1 H2 P2","B1","A1","G1 H1 I1 J1 K1","H1 I1 J1 K1","H1 J1","H1 J1","C1 H1","C1 D1 E1 F1 G1 I1 K1 L1 M1","C1 D1 H1 L1","C1 D1 E1 F1 L1","C1 D1 H1 L1","H1 I1 J1 K1","H1","G2 H2 P2","G2 H2 P2","H2","","H2","H2","H2 P2","G2 H2 P2","H2 P2","","H2","H2","G2 H2 P2","H2 P2","H2 P2","H2","H2","H2","","N1 O1 U1 Z1 H2 J2 L2","N1 O1 P1 R1 S1 T1 U1 V1 X1 Y1 Z1 A2 B2 C2 D2 E2 G2 J2 L2 P2 R2 T2 X2 Z2 B3","","G2 H2 P2","","G2 H2 P2","","","","N1 O1 T1 U1 V1 Z1 A2 B2 H2 J2 L2 T2 Z2 B3","","H2","","H2 P2","","","","H2","","H2 P2","","H2 P2","","",""
"Online through a social media platform","1%","1%","1%","1%","2%","3%","0%","","1%","0%","0%","0%","1%","0%","0%","1%","0%","3%","0%","0%","3%","3%","0%","8%","7%","","1%","","0%","0%","","","","","3%","","","","0%","","","","0%","","2%","1%","","","","","","1%","0%","7%","","1%","0%",""
"","D1 U1","","","","F1","F1","D1 E1","","","","","","","","","","","","","","B2","B2","","","","","","","T1 U1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Other","3%","2%","5%","2%","1%","3%","1%","8%","12%","10%","8%","19%","3%","9%","4%","0%","1%","1%","0%","0%","2%","1%","2%","1%","8%","1%","1%","2%","1%","0%","21%","5%","2%","13%","12%","","9%","21%","5%","19%","","","11%","0%","2%","14%","7%","","12%","16%","4%","3%","1%","10%","1%","6%","",""
