"Number of M1 phagocytosising","1","0","0","0","","Number of M1 phagocytosising","0","0","0","0"
"Number of Engulfed Cells","12","0","0","0","","Number of Engulfed Cells","0","0","0","0"
"% Phagocytosis","16.67","0.00","#DIV/0!","0.00","","% Phagocytosis","0.00","0.00","0.00","0.00"
"","","","","","","","","","",""
"ROI 3","","","","","","ROI 4","","","",""
"","M0","IFN-y","LPS","M2","","","M0","IFN-y","LPS","M2"
"Number of M1 per FOV","1","18","20","12","","Number of M1 per FOV","12","230","40","9"
"Number of M1 phagocytosising","0","0","1","0","","Number of M1 phagocytosising","9","90","0","3"
"Number of Engulfed Cells","0","0","2","0","","Number of Engulfed Cells","37","230","0","18"
"% Phagocytosis","0.00","0.00","5.00","0.00","","% Phagocytosis","75.00","39.13","0.00","33.33"
"","","","","","","","","","",""
"ROI 5","","","","","","ROI 6","","","",""
"","M0","IFN-y","LPS","M2","","","M0","IFN-y","LPS","M2"
"Number of M1 per FOV","7","38","16","4","","Number of M1 per FOV","0","28","47","8"
"Number of M1 phagocytosising","5","26","0","0","","Number of M1 phagocytosising","0","22","8","0"
"Number of Engulfed Cells","21","116","0","0","","Number of Engulfed Cells","0","82","38","0"
"% Phagocytosis","71.43","68.42","0.00","0.00","","% Phagocytosis","#DIV/0!","78.57","17.02","0.00"
"","","","","","","","","","",""
"Time = 90 min","","","","","","","","","",""
"ROI 1","","","","","","ROI 2","","","",""
"","M0","IFN-y","LPS","M2","","","M0","IFN-y","LPS","M2"
"Number of M1 per FOV","5","4","0","26","","Number of M1 per FOV","1","26","17","11"
"Number of M1 phagocytosising","3","0","0","0","","Number of M1 phagocytosising","0","0","0","0"
"Number of Engulfed Cells","9","0","0","0","","Number of Engulfed Cells","0","0","0","0"
"% Phagocytosis","60.00","0.00","#DIV/0!","0.00","","% Phagocytosis","0.00","0.00","0.00","0.00"
"","","","","","","","","","",""
"ROI 3","","","","","","ROI 4","","","",""
"","M0","IFN-y","LPS","M2","","","M0","IFN-y","LPS","M2"
"Number of M1 per FOV","1","18","21","12","","Number of M1 per FOV","10","290","43","9"
"Number of M1 phagocytosising","0","3","1","0","","Number of M1 phagocytosising","5","70","0","5"
"Number of Engulfed Cells","0","3","5","0","","Number of Engulfed Cells","14","190","0","16"
"% Phagocytosis","0.00","16.67","4.76","0.00","","% Phagocytosis","50.00","24.14","0.00","55.56"
"","","","","","","","","","",""
"ROI 5","","","","","","ROI 6","","","",""
"","M0","IFN-y","LPS","M2","","","M0","IFN-y","LPS","M2"
"Number of M1 per FOV","7","33","26","4","","Number of M1 per FOV","0","26","47","8"
"Number of M1 phagocytosising","0","14","0","0","","Number of M1 phagocytosising","0","24","3","0"
"Number of Engulfed Cells","0","49","0","0","","Number of Engulfed Cells","0","90","6","0"
"% Phagocytosis","0.00","42.42","0.00","0.00","","% Phagocytosis","#DIV/0!","92.31","6.38","0.00"
