"code","description","","price €"," DISCOUNTED PRICE","","QUANTITY"
"A-ANA-425","ANALOGUE FOR IMPLANT ","PREMIUM D.4.25 MM","31.00","","","25"
"A-ANA-500","ANALOGUE FOR IMPLANT ","PREMIUM D.5.00 MM","31.00","","","25"
"","","","","12.4","","100"
"I-SIMPLE for IMPLANT","","","","","",""
"A-MPS-330","SIMPLE TEMP. POST TIT. NON REP","WIDE PROF., PREMIUM D.3.30MM","38.00","","",""
"A-MPS-380","SIMPLE TEMP. POST TIT. NON REP","WIDE PROF., PREMIUM D.3.80MM","38.00","","",""
"A-MPS-425","SIMPLE TEMP. POST TIT. NON REP","WIDE PROF., PREMIUM D.4.25MM","38.00","","",""
"A-MPS-500","SIMPLE TEMP. POST TIT. NON REP","WIDE PROF., PREMIUM D.5.00MM","38.00","","",""
"A-MPSA-330","SIMPLE TEMP. POST TIT. NON REP","ANAT.PROF., PREMIUM D.3.30MM","38.00","","",""
"A-MPSA-330-EX","SIMPLE TEMP. POST TIT. REP.","ANAT.PROF., PREMIUM D.3.30MM","38.00","","",""
"A-MPSA-380","SIMPLE TEMP. POST TIT. NON REP","ANAT.PROF., PREMIUM D.3.80MM","38.00","","",""
"A-MPSA-380-EX","SIMPLE TEMP. POST TIT. REP.","ANAT.PROF., PREMIUM D.3.80MM","38.00","","",""
"A-MPSA-425","SIMPLE TEMP. POST TIT. NON REP","ANAT.PROF., PREMIUM D.4.25MM","38.00","","",""
"A-MPSA-425-EX","SIMPLE TEMP. POST TIT. REP.","ANAT.PROF., PREMIUM D.4.25MM","38.00","","",""
"A-MPSA-500","SIMPLE TEMP. POST TIT. NON REP","ANAT.PROF., PREMIUMD. 5.00MM","38.00","","",""
"A-MPSA-500-EX","SIMPLE TEMP. POST TIT. REP.","ANAT.PROF., PREMIUMD. 5.00MM","38.00","","",""
"A-MPSC-330","SIMPLE TEMP. POST PEEK+TIT REP","STRAIGHT PROF., PREMIUM D.3.30MM","45.00","","",""
"A-MPSCI-330","SIMPLE TEMP. POST TIT. NON REP","STRAIGHT PROF., PREMIUM D.3.30","38.00","","",""
"A-MPSCI-330-EX","SIMPLE TEMP. POST TIT. REP.","STRAIGHT PROF., PREMIUM D.3.30","38.00","","",""
"A-MPSCR-330","SIMPLE TEMP. POST PEEK+TIT REP","ANAT. PROF., PREMIUM D.3.30MM","45.00","","",""
"A-MPSCR-380","SIMPLE TEMP. POST PEEK+TIT REP","ANAT. PROF., PREMIUM D.3.80MM","45.00","","",""
"A-MPSCR-425","SIMPLE TEMP. POST PEEK+TIT REP","ANAT. PROF., PREMIUM D.4.25MM","45.00","","",""
"A-MPSCR-500","SIMPLE TEMP. POST PEEK+TIT REP","ANAT. PROF., PREMIUM D.5.00MM","45.00","","",""
"I-TRANSFER, PULL UP TRANSFER, SCREW","","","","","",""
"A-TRA-330","OPEN TRAY TRANSFER FOR PREMIUM","STRAIGHT PROF., D.3.30 MM","36.00","","","25"
"A-TRA-380","OPEN TRAY TRANSFER FOR PRE-KOH","STRAIGHT PROF., D.3.80 MM","36.00","","","25"
"A-TRAP-330","PULL-UP TRANSFER FOR PREMIUM","STRAIGHT PROF., D.3.30 MM","31.00","","","10"
"A-TRAR-330","OPEN TRAY TRANSFER FOR PREMIUM","ANATOMICAL PROF., D.3.30 MM","36.00","","","25"
"A-TRAR-380","OPEN TRAY TRANSFER FOR PREMIUM","ANATOMICAL PROF., D.3.80 MM","36.00","","","25"
"A-TRAR-425","OPEN TRAY TRANSFER FOR PREMIUM","ANATOMICAL PROF., D.4.25 MM","36.00","","","25"
"A-TRAR-500","OPEN TRAY TRANSFER FOR PREMIUM","ANATOMICAL PROF., D.5.00 MM","36.00","","","25"
"A-TRARP-330","PULL-UP TRANSFER FOR PREMIUM","ANATOMICAL PROF., D.3.30 MM","31.00","","","10"
"A-TRARP-380","PULL-UP TRANSFER FOR PREMIUM","ANATOMICAL PROF., D.3.80 MM","31.00","","","10"
"A-TRARP-425","PULL-UP TRANSFER FOR PREMIUM","ANATOMICAL PROF., D.4.25 MM","31.00","","","10"
"A-TRARP-500","PULL-UP TRANSFER FOR PREMIUM","ANATOMICAL PROF., D.5.00 MM","31.00","","","10"
"A-TRARS-330","CLOSED TRAY TRANSF.FOR PREMIUM","ANATOMICAL PROF., D.3.30 MM","36.00","","","25"
"A-TRARS-380","CLOSED TRAY TRANSF.FOR PREMIUM","ANATOMICAL PROF., D.3.80 MM","36.00","","","25"
"A-TRARS-425","CLOSED TRAY TRANSF.FOR PREMIUM","ANATOMICAL PROF., D.4.25 MM","36.00","","","25"
"A-TRARS-500","CLOSED TRAY TRANSF.FOR PREMIUM","ANATOMICAL PROF., D.5.00 MM","36.00","","","25"
"A-TRAS-330","CLOSED TRAY TRANSF.FOR PREMIUM","STRAIGHT PROF., D.3.30 MM","36.00","","","25"
"CAP-MEFL-5","IMPRESSION TAKING CAP FOR ","BOPT POST, 5 PIECES","74.00","","",""
"VTRA2-180-10","TRANSFER SCREW M1.8 H10 MM","PREMIUM 3.30/3.80 MM","14.50","","",""
"VTRA2-180-15","TRANSFER SCREW M1.8 H15 MM","PREMIUM 3.30/3.80 MM","14.50","","",""
"VTRA2-200-10","TRANSFER SCREW M2 H10 MM","PREMIUM 4.25/5.00 MM","14.50","","",""
"VTRA2-200-15","TRANSFER SCREW M2 H15 MM","PREMIUM 4.25/5.00 MM","14.50","","",""
"VTRA2-200-20","TRANSFER SCREW M2 H20 MM","PREMIUM 4.25/5.00 MM","14.50","","",""
"","","","","","","325"
"I-TRY IN PROSTHETIC","","","","","",""
"A-TA15-330","TEST- 15GR ANGLE PRE-MADE POST","STRAIGHT PROF,REP,PREMIUM 3.30","26.00","","",""
"A-TAR15-330","TEST- 15GR ANGLE PRE-MADE POST","ANAT.PROF., REP., PREMIUM 3.30","26.00","","",""
"A-TAR15-380","TEST- 15GR ANGLE PRE-MADE POST","ANAT.PROF., REP., PREMIUM 3.80","26.00","","",""
"A-TAR15-425","TEST- 15GR ANGLE PRE-MADE POST","ANAT.PROF., REP., PREMIUM 4.25","26.00","","",""
"A-TAR15-500","TEST- 15GR ANGLE PRE-MADE POST","ANAT.PROF., REP., PREMIUM 5.00","26.00","","",""
"A-TAR25-380","TEST- 25GR ANGLE PRE-MADE POST","ANAT.PROF., REP., PREMIUM3.80","26.00","","",""
"A-TAR25-425","TEST- 25GR ANGLE PRE-MADE POST","ANAT.PROF., REP., PREMIUM 4.25","26.00","","",""
"A-TD-330-1","TEST- PRE-MADE REP. POST H1 MM","STRAIGHT PROF,REP,PREMIUM 3.30","23.00","","",""
"A-TD-330-2","TEST- PRE-MADE REP. POST H2 MM","STRAIGHT PROF,REP,PREMIUM 3.30","23.00","","",""
"A-TD-330-4","TEST- PRE-MADE REP. POST H4 MM","STRAIGHT PROF,REP,PREMIUM 3.30","23.00","","",""
"A-TD-380-2","TEST- PRE-MADE REP. POST H2 MM","STRAIGHT PROF,REP,PREMIUM 3.80","23.00","","",""
"A-TDR-330-1","TEST- PRE-MADE REP. POST H1 MM","ANATOMICAL PROF.,PREMIUM D3.30","23.00","","",""
"A-TDR-330-2","TEST- PRE-MADE REP. POST H2 MM","ANATOMICAL PROF.,PREMIUM D3.30","23.00","","",""
"A-TDR-330-4","TEST- PRE-MADE REP. POST H4 MM","ANATOMICAL PROF.,PREMIUM D3.30","23.00","","",""
"A-TDR-380-1","TEST- PRE-MADE REP. POST H1 MM","ANATOMICAL PROF.,PREMIUM D3.31","23.00","","",""
"A-TDR-380-2","TEST- PRE-MADE REP. POST H2 MM","ANATOMICAL PROF.,PREMIUM D3.32","23.00","","",""
"A-TDR-380-4","TEST- PRE-MADE REP. POST H4 MM","ANATOMICAL PROF.,PREMIUM D3.33","23.00","","",""
"A-TDR-425-1","TEST- PRE-MADE REP. POST H1 MM","ANATOMICAL PROF.,PREMIUM D4.25","23.00","","",""
"A-TDR-425-2","TEST- PRE-MADE REP. POST H2 MM","ANATOMICAL PROF.,PREMIUM D4.26","23.00","","",""
"A-TDR-425-4","TEST- PRE-MADE REP. POST H4 MM","ANATOMICAL PROF.,PREMIUM D4.27","23.00","","",""
"A-TDR-500-1","TEST- PRE-MADE REP. POST H1 MM","ANATOMICAL PROF.,PREMIUM D5.00","23.00","","",""
"A-TDR-500-2","TEST- PRE-MADE REP. POST H2 MM","ANATOMICAL PROF.,PREMIUM D5.01","23.00","","",""
"A-TDR-500-4","TEST- PRE-MADE REP. POST H4 MM","ANATOMICAL PROF.,PREMIUM D5.02","23.00","","",""
"A-TRY-IN-KIT","TRY-IN KIT FOR PREMIUM","IMPLANT SYSTEM","235.00","","",""
"I-POST SCREW","","","","","",""
"VM2-180","POST SCREW M1.8","PREMIUM D.3.30/3.80 MM","15.00","","",""
"VM2-180-10","POST SCREWS M1.8","PREMIUM D.3.30/3.80 (10PCS)","95.00","","",""
"VM2-200","POST SCREW M2","PREMIUM D.4.25/5.00 MM","15.00","","",""
"VM2-200-10","POST SCREWS M2","PREMIUM D.4.25/5.00 (10PCS)","95.00","","",""
"I-TRANSGINGIVAL HEALING CAP","","","","","",""
"A-PEFL-380","AESTHETIC TRANSGINGIVAL","HEALING CAP PREMIUM D.3,80 MM","49.00","","",""
"A-PEFL-425","AESTHETIC TRANSGINGIVAL","HEALING CAP PREMIUM D.4,25 MM","49.00","","",""
"A-PEFL-500","AESTHETIC TRANSGINGIVAL","HEALING CAP PREMIUM D.5,00 MM","49.00","","",""
"A-TMG-330-2","TRANSGINGIVAL HEALING CAP H2MM","STRAIGHT PROF., PREMIUM 3.30MM","24.50","","",""
"A-TMG-330-3","TRANSGINGIVAL HEALING CAP H3MM","STRAIGHT PROF., PREMIUM 3.30MM","24.50","","",""
"A-TMG-330-5","TRANSGINGIVAL HEALING CAP H5MM","STRAIGHT PROF., PREMIUM 3.30MM","24.50","","",""
"A-TMG-380-2","TRANSGINGIVAL HEALING CAP H2MM","STRAIGHT PROF., PREMIUM 3.80MM","24.50","","",""
"A-TMG-380-3","TRANSGINGIVAL HEALING CAP H3MM","STRAIGHT PROF., PREMIUM 3.80MM","24.50","","",""
"A-TMG-380-5","TRANSGINGIVAL HEALING CAP H5MM","STRAIGHT PROF., PREMIUM 3.80MM","24.50","","",""
"A-TMG-MEFL-330","TRANSGINGIVAL HEALING CAP BOPT","TECHN., PREMIUM D. 3,30-3,80 MM","30.00","","",""
"A-TMG-MEFL-425","TRANSGINGIVAL HEALING CAP BOPT","TECHN., PREMIUM D. 4,25-5,00 MM","30.00","","",""
"A-TMGR-330-2","TRANSGINGIVAL HEALING CAP H2MM","ANAT.PROF., PREMIUM D.3.30 MM","24.50","","","10"
"A-TMGR-330-3","TRANSGINGIVAL HEALING CAP H3MM","ANAT.PROF., PREMIUM D.3.30 MM","24.50","","","20"
"A-TMGR-330-5","TRANSGINGIVAL HEALING CAP H5MM","ANAT.PROF., PREMIUM D.3.30 MM","24.50","","","10"
"A-TMGR-380-2","TRANSGINGIVAL HEALING CAP H2MM","ANAT.PROF., PREMIUM D.3.80 MM","24.50","","","10"
"A-TMGR-380-3","TRANSGINGIVAL HEALING CAP H3MM","ANAT.PROF., PREMIUM D.3.80 MM","24.50","","","40"
"A-TMGR-380-5","TRANSGINGIVAL HEALING CAP H5MM","ANAT.PROF., PREMIUM D.3.80 MM","24.50","","","10"
"A-TMGR-380-7","TRANSGINGIVAL HEALING CAP H7MM","ANAT.PROF., PREMIUM D.3.80 MM","24.50","","","0"
"A-TMGR-425-2","TRANSGINGIVAL HEALING CAP H2MM","ANAT.PROF., PREMIUM D.4.25 MM","24.50","","","10"
"A-TMGR-425-3","TRANSGINGIVAL HEALING CAP H3MM","ANAT.PROF., PREMIUM D.4.25 MM","24.50","","","40"
"A-TMGR-425-5","TRANSGINGIVAL HEALING CAP H5MM","ANAT.PROF., PREMIUM D.4.25 MM","24.50","","","10"
"A-TMGR-425-7","TRANSGINGIVAL HEALING CAP H7MM","ANAT.PROF., PREMIUM D.4.25 MM","24.50","","","0"
"A-TMGR-500-2","TRANSGINGIVAL HEALING CAP H2MM","ANAT.PROF., PREMIUM D.5.00 MM","24.50","","","10"
"A-TMGR-500-3","TRANSGINGIVAL HEALING CAP H3MM","ANAT.PROF., PREMIUM D.5.00 MM","24.50","","","20"
"A-TMGR-500-5","TRANSGINGIVAL HEALING CAP H5MM","ANAT.PROF., PREMIUM D.5.00 MM","24.50","","","0"
"A-TMGR-500-7","TRANSGINGIVAL HEALING CAP H7MM","ANAT.PROF., PREMIUM D.5.00 MM","24.50","","",""
"","","","","9.8","","230"
"P-STRAIGHT ABUTMENT ","","","","","",""
"A-ABU-330-1","REP. STRAIGHT ABUTMENT, H1 MM","PREMIUM D.3.30 MM","71.00","","",""
"A-ABU-330-2","REP. STRAIGHT ABUTMENT, H2 MM","PREMIUM D.3.30 MM","71.00","","",""
"A-ABU-380-1","REP. STRAIGHT ABUTMENT, H1 MM","PREMIUM D.3.80 MM","71.00","","",""
"A-ABU-380-2","REP. STRAIGHT ABUTMENT, H2 MM","PREMIUM D.3.80 MM","71.00","","",""
"A-ABU-425-1","REP. STRAIGHT ABUTMENT, H1 MM","PREMIUM D.4.25 MM","71.00","","",""
"A-ABU-425-2","REP. STRAIGHT ABUTMENT, H2 MM","PREMIUM D.4.25 MM","71.00","","",""
"A-ABU-500-1","REP. STRAIGHT ABUTMENT, H1 MM","PREMIUM D.5.00 MM","71.00","","",""
"A-ABU-500-2","REP. STRAIGHT ABUTMENT, H2 MM","PREMIUM D.5.00 MM","71.00","","",""
"P-LOCATOR ABUTMENT ","","","","","",""
"1670","LOCATOR ABUTMENT PREMIUM 3,30","H.1 MM","105.00","","",""
"1671","LOCATOR ABUTMENT PREMIUM 3,31","H.2 MM","105.00","","","5"
"1672","LOCATOR ABUTMENT PREMIUM 3,30","H.3 MM","105.00","","",""
"1675","LOCATOR ABUTMENT PREMIUM 3,80","H.1 MM","105.00","","",""
"1676","LOCATOR ABUTMENT PREMIUM 3,80","H.2 MM","105.00","","",""
"1677","LOCATOR ABUTMENT PREMIUM 3,80","H.3 MM","105.00","","",""
"1678","LOCATOR ABUTMENT PREMIUM 3,80","H.4 MM","105.00","","","5"
"1681","LOCATOR ABUTMENT PREMIUM 4,25","H.1 MM","105.00","","",""
"1682","LOCATOR ABUTMENT PREMIUM 4,25","H.2 MM","105.00","","","5"
"1683","LOCATOR ABUTMENT PREMIUM 4,25","H.3 MM","105.00","","",""
"1684","LOCATOR ABUTMENT PREMIUM 4,25","H.4 MM","105.00","","","5"
"","","","","","","20"
"P-PAD ABUTMENT ","","","","","",""
"A-PAD-AA330-173","17GR ANGLED PAD ABUT., H3 MM ","PREMIUM D.3.30 MM","98.60","","",""
"A-PAD-AA330-175","17GR ANGLED PAD ABUT., H5 MM ","PREMIUM D.3.30 MM","98.60","","",""
"A-PAD-AA330-303","30GR ANGLED PAD ABUT., H3 MM ","PREMIUM D.3.30 MM","98.60","","",""
"A-PAD-AA330-305","30GR ANGLED PAD ABUT., H5 MM ","PREMIUM D.3.30 MM","98.60","","",""
"A-PAD-AA380-173","17GR ANGLED PAD ABUT., H3 MM ","PREMIUM D.3.80 MM","98.60","","",""
"A-PAD-AA380-175","17GR ANGLED PAD ABUT., H5 MM ","PREMIUM D.3.80 MM","98.60","","",""
"A-PAD-AA380-303","30GR ANGLED PAD ABUT., H3 MM ","PREMIUM D.3.80 MM","98.60","","",""
"A-PAD-AA380-305","30GR ANGLED PAD ABUT., H5 MM ","PREMIUM D.3.80 MM","98.60","","",""
"A-PAD-AA425-173","17GR ANGLED PAD ABUT., H3 MM ","PREMIUM D.4.25 MM","98.60","","",""
"A-PAD-AA425-175","17GR ANGLED PAD ABUT., H5 MM ","PREMIUM D.4.25 MM","98.60","","",""
"A-PAD-AA425-303","30GR ANGLED PAD ABUT., H3 MM ","PREMIUM D.4.25 MM","98.60","","",""
"A-PAD-AA425-305","30GR ANGLED PAD ABUT., H5 MM ","PREMIUM D.4.25 MM","98.60","","",""
"A-PAD-AA500-173","17GR ANGLED PAD ABUT., H3 MM ","PREMIUM D.5.00 MM","98.60","","",""
"A-PAD-AA500-175","17GR ANGLED PAD ABUT., H5 MM ","PREMIUM D.5.00 MM","98.60","","",""
"A-PAD-AA500-303","30GR ANGLED PAD ABUT., H3 MM ","PREMIUM D.5.00 MM","98.60","","",""
"A-PAD-AA500-305","30GR ANGLED PAD ABUT., H5 MM ","PREMIUM D.5.00 MM","98.60","","",""
"A-PAD-AD330-15","STRAIGHT PAD ABUTMENT, H1.5 MM","PREMIUM D.3.30 MM","78.80","","",""
"A-PAD-AD330-30","STRAIGHT PAD ABUTMENT, H3 MM","PREMIUM D.3.30 MM","78.80","","",""
"A-PAD-AD330-40","STRAIGHT PAD ABUTMENT, H4 MM","PREMIUM D.3.30 MM","78.80","","",""
"A-PAD-AD380-15","STRAIGHT PAD ABUTMENT, H1.5 MM","PREMIUM D.3.80 MM","78.80","","",""
"A-PAD-AD380-30","STRAIGHT PAD ABUTMENT, H3 MM","PREMIUM D.3.80 MM","78.80","","",""
"A-PAD-AD380-40","STRAIGHT PAD ABUTMENT, H4 MM","PREMIUM D.3.80 MM","78.80","","",""
"A-PAD-AD425-15","STRAIGHT PAD ABUTMENT, H1.5 MM","PREMIUM D.4.25 MM","78.80","","",""
"A-PAD-AD425-30","STRAIGHT PAD ABUTMENT, H3 MM","PREMIUM D.4.25 MM","78.80","","",""
"A-PAD-AD425-40","STRAIGHT PAD ABUTMENT, H4 MM","PREMIUM D.4.25 MM","78.80","","",""
"A-PAD-AD500-15","STRAIGHT PAD ABUTMENT, H1.5 MM","PREMIUM D.5.00 MM","78.80","","",""
"A-PAD-AD500-30","STRAIGHT PAD ABUTMENT, H3 MM","PREMIUM D.5.00 MM","78.80","","",""
"A-PAD-AD500-40","STRAIGHT PAD ABUTMENT, H4 MM","PREMIUM D.5.00 MM","78.80","","",""
"","","","","","",""
"P-PLAIN ABUTMENT ","","","","","",""
"A-PLAIN-ABU330-2","PLAIN ABUTMENT H2 MM","PREMIUM D.3.30 MM","71.00","","",""
"A-PLAIN-ABU330-3","PLAIN ABUTMENT H3 MM","PREMIUM D.3.30 MM","71.00","","",""
"A-PLAIN-ABU330-4","PLAIN ABUTMENT H4 MM","PREMIUM D.3.30 MM","71.00","","",""
"A-PLAIN-ABU380-2","PLAIN ABUTMENT H2 MM","PREMIUM D.3.80 MM","71.00","","",""
"A-PLAIN-ABU380-3","PLAIN ABUTMENT H3 MM","PREMIUM D.3.80 MM","71.00","","",""
"A-PLAIN-ABU380-4","PLAIN ABUTMENT H4 MM","PREMIUM D.3.80 MM","71.00","","",""
"A-PLAIN-ABU425-2","PLAIN ABUTMENT H2 MM","PREMIUM D.4.25 MM","71.00","","",""
"A-PLAIN-ABU425-3","PLAIN ABUTMENT H3 MM","PREMIUM D.4.25 MM","71.00","","",""
"A-PLAIN-ABU425-4","PLAIN ABUTMENT H4 MM","PREMIUM D.4.25 MM","71.00","","",""
"A-PLAIN-ABU500-2","PLAIN ABUTMENT H2 MM","PREMIUM D.5.00 MM","71.00","","",""
"A-PLAIN-ABU500-3","PLAIN ABUTMENT H3 MM","PREMIUM D.5.00 MM","71.00","","",""
"A-PLAIN-ABU500-4","PLAIN ABUTMENT H4 MM","PREMIUM D.5.00 MM","71.00","","",""
"S-SFI-BAR Abutement ","","","","","",""
"5001001","SFI-BAR IMPLANT ADAPTER","FOR PREMIUM D.3.8 H 3","36.00","","",""
"5001002","SFI-BAR IMPLANT ADAPTER","FOR PREMIUM D.3.8 H 4","36.00","","",""
"5001003","SFI-BAR IMPLANT ADAPTER","FOR PREMIUM D.3.8 H 5","36.00","","",""
"5001007","SFI-BAR IMPLANT ADAPTER","FOR PREMIUM D.4.25 H 3","36.00","","",""
"5001008","SFI-BAR IMPLANT ADAPTER","FOR PREMIUM D.4.25 H 4","36.00","","",""
"5001009","SFI-BAR IMPLANT ADAPTER","FOR PREMIUM D.4.25 H 5","36.00","","",""
"P-BALL ATTACHEMNT ","","","","","",""
"A-AS-330-1","BALL ATTACHMENT IMPL. PREMIUM","D.3,30 H.1 MM","74.50","29.8","",""
"A-AS-330-2","BALL ATTACHMENT IMPL. PREMIUM","D.3,30 H.2 MM","74.50","","","10"
"A-AS-330-4","BALL ATTACHMENT IMPL. PREMIUM","D.3,30 H.4 MM","74.50","","","10"
"A-AS-380-1","BALL ATTACHMENT IMPL. PREMIUM","D.3,80 H.1 MM","74.50","","",""
"A-AS-380-2","BALL ATTACHMENT IMPL. PREMIUM","D.3,80 H.2 MM","74.50","","",""
"A-AS-380-4","BALL ATTACHMENT IMPL. PREMIUM","D.3,80 H.4 MM","74.50","","",""
"A-AS-425-1","BALL ATTACHMENT IMPL. PREMIUM","D.4,25 H.1 MM","74.50","","",""
"A-AS-425-2","BALL ATTACHMENT IMPL. PREMIUM","D.4,25 H.2 MM","74.50","","","10"
"A-AS-425-4","BALL ATTACHMENT IMPL. PREMIUM","D.4,25 H.4 MM","74.50","","","10"
"A-AS-500-2","BALL ATTACHMENT IMPL. PREMIUM","D.5,00 H.2 MM","74.50","","",""
"","","","","29.8","","40"
"P-POST BOPT","","","","","",""
"A-MEFL-330","POST BOPT TECHNIQUE,","PREMIUM, D.3,30-3,80 MM","82.00","","",""
"A-MEFL-425","POST BOPT TECHNIQUE,","PREMIUM, D.4,25-5,00 MM","82.00","","",""
"A-PPF-330","AESTHETIC TEMPORARY POST","PREMIUM, D.3,3-3,8 MM NO REP.","47.00","","",""
"A-PPF-330-EX","AESTHETIC TEMPORARY POST","PREMIUM, D.3,3-3,8 MM REP.","47.00","","",""
"A-PPF-425","AESTHETIC TEMPORARY POST","PREMIUM, D.4,25-5 MM NO REP.","47.00","","",""
"A-PPF-425-EX","AESTHETIC TEMPORARY POST","PREMIUM, D.4,25-5 MM REP.","47.00","","",""
"P-SPARE CAST SLEEVE for GOLD","","","","","",""
"A-CCUCR-330","SPARE CAST. SLEEVE FOR GOLD","ALLOY BASE, PREMIUM D.3.30 MM","25.00","","",""
"A-CCUCR-380","SPARE CAST. SLEEVE FOR GOLD","ALLOY BASE, PREMIUM D.3.80 MM","25.00","","",""
