"Table A-7. Time spent in primary activities 1 by married mothers and fathers with own household children under 18 by employment status of self and spouse and age of youngest child, average for the combined years 2005-09","","","","","","","","","","","","","",""
"Activity","Average hours per day","","","","","","Differences in married mothers' and fathers' time use on an average day (hours) 2","","","","","","",""
"","Both spouses work full time","","Mother not employed and father employed full time","","Mother employed part time and father employed full time","","Both spouses work full time","Mother employed part time and father employed full time","Mother not employed and father employed full time","","","","",""
"  Caring for and helping household members","2.01","1.37","3.26","1.10","2.86","1.47","0.64","1.39","2.16","","","","",""
"      Caring for and helping household children","2.00","1.35","3.25","1.08","2.84","1.45","0.65","1.39","2.17","","","","",""
"           Physical care","1.03","0.55","1.50","0.37","1.37","0.62","0.48","0.75","1.13","","","","",""
"           Education-related activities","0.08","0.06","0.17","0.03","0.09","0.04","0.02","0.05","0.13","","","","",""
"           Reading to/with children","0.09","0.04","0.12","0.04","0.13","0.06","0.05","0.07","0.08","","","","",""
"           Playing/doing hobbies with children","0.43","0.46","0.90","0.49","0.77","0.51","-0.03","0.26","0.41","","","","",""
"  Working and work-related activities 3","4.99","5.85","0.05","6.13","2.56","6.13","-0.86","-3.58","-6.08","","","","",""
"      Working 3","4.97","5.80","0.01","6.10","2.52","6.07","-0.83","-3.55","-6.08","","","","",""
"  Leisure and sports","2.62","3.57","3.95","3.50","3.18","3.46","-0.95","-0.27","0.45","","","","",""
"      Socializing and communicating","0.61","0.56","0.92","0.68","0.80","0.66","0.04","0.14","0.24","","","","",""
"      Watching television","1.36","2.04","2.13","1.91","1.50","1.81","-0.68","-0.31","0.22","","","","",""
"      Participating in sports, exercise, and recreation","0.16","0.31","0.22","0.24","0.22","0.29","-0.15","-0.07","-0.03","","","","",""
"  Travel  ","1.36","1.33","1.09","1.38","1.26","1.42","0.03","-0.16","-0.28","","","","",""
"Travel related to caring for and helping household children","0.29","0.17","0.28","0.07","0.25","0.13","0.12","0.13","0.21","","","","",""
"  Other activities, not elsewhere classified","1.55","1.58","2.16","1.65","1.99","1.75","-0.03","0.24","0.51","","","","",""
"","","","","","","","","","","","","","",""
"Own household children 6-17, none younger","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Total, all activities ","24.00","24.00","24.00","24.00","24.00","24.00","0.00","0.00","0.00","","","","",""
"  Personal care activities","8.99","8.59","9.29","8.73","9.10","8.54","0.40","0.57","0.56","","","","",""
"      Sleeping","8.14","7.98","8.56","8.10","8.32","7.97","0.16","0.35","0.46","","","","",""
"  Household activities","2.11","1.44","3.99","1.06","2.81","1.29","0.67","1.52","2.93","","","","",""
"      Housework","0.92","0.26","1.86","0.20","1.20","0.20","0.67","1.00","1.66","","","","",""
"      Food preparation and cleanup","0.78","0.34","1.50","0.26","1.03","0.29","0.44","0.74","1.24","","","","",""
"      Lawn and garden care","0.10","0.27","0.16","0.23","0.15","0.28","-0.17","-0.13","-0.07","","","","",""
"  Purchasing goods and services","0.58","0.35","0.81","0.33","0.71","0.33","0.23","0.37","0.47","","","","",""
"      Grocery shopping","0.13","0.06","0.25","0.06","0.18","0.05","0.07","0.13","0.19","","","","",""
"      Consumer goods purchases, except grocery shopping","0.36","0.23","0.43","0.23","0.41","0.23","0.13","0.18","0.20","","","","",""
"  Caring for and helping household members","0.73","0.49","1.59","0.47","1.20","0.51","0.24","0.69","1.12","","","","",""
"      Caring for and helping household children","0.71","0.47","1.56","0.43","1.17","0.49","0.25","0.68","1.13","","","","",""
"           Physical care","0.20","0.09","0.36","0.09","0.30","0.11","0.10","0.20","0.28","","","","",""
"           Education-related activities","0.12","0.09","0.37","0.07","0.23","0.06","0.03","0.17","0.30","","","","",""
"           Reading to/with children","0.02","0.01","0.04","0.01","0.04","0.01","0.01","0.03","0.03","","","","",""
"           Playing/doing hobbies with children","0.04","0.08","0.11","0.09","0.06","0.12","-0.04","-0.06","0.02","","","","",""
"  Working and work-related activities 3","5.34","6.08","0.10","6.43","2.95","6.08","-0.74","-3.13","-6.32","","","","",""
"      Working 3","5.32","6.05","0.02","6.36","2.91","6.05","-0.73","-3.14","-6.34","","","","",""
"  Leisure and sports","3.14","3.84","4.44","3.78","3.63","3.86","-0.71","-0.24","0.66","","","","",""
"      Socializing and communicating","0.60","0.52","0.87","0.55","0.76","0.55","0.08","0.21","0.32","","","","",""
"      Watching television","1.62","2.25","2.33","2.11","1.81","2.04","-0.63","-0.23","0.23","","","","",""
"      Participating in sports, exercise, and recreation","0.18","0.34","0.25","0.33","0.24","0.35","-0.16","-0.11","-0.08","","","","",""
"  Travel  ","1.36","1.49","1.31","1.48","1.46","1.56","-0.13","-0.11","-0.17","","","","",""
"Travel related to caring for and helping household children","0.20","0.14","0.36","0.07","0.31","0.13","0.05","0.18","0.29","","","","",""
"  Other activities, not elsewhere classified","1.75","1.72","2.47","1.73","2.14","1.82","0.03","0.32","0.74","","","","",""
"","","","","","","","","","","","","","",""
"1 A primary activity refers to an individual's main activity.  Other activities done simultaneously are not included.","","","","","","","","","","","","","",""
"2 In each employment category, differences are calculated by subtracting fathers' average hours from mothers' average hours.","","","","","","","","","","","","","",""
"3 Estimates include a small amount of work time done by persons who do not meet the ATUS definition of employed.","","","","","","","","","","","","","",""
"Note: Data refer to persons 15 years and over.  For technical information about the American Time Use Survey, see the ATUS User's Guide:  www.bls.gov/tus/atususersguide.pdf ","","","","","","","","","","","","","",""
"Source: American Time Use Survey, Bureau of Labor Statistics","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
