"Expenditures (billions of current dollars)","","","","","","","","","","","","","","","","","",""
"Blended Account","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015*","2016*","2017*"
"Diseases of the digestive system","  56.86 ","  61.13 ","  65.69 ","  69.47 ","  73.98 ","  76.53 ","  81.77 ","  85.16 ","  86.87 ","  91.26 ","  94.61 ","  95.80 ","  99.27 ","  102.38 ","  107.19 ","  112.97 ","  122.26 ","  127.07 "
"Diseases of the genitourinary system","  57.96 ","  62.15 ","  66.41 ","  71.83 ","  80.18 ","  85.16 ","  91.20 ","  96.60 ","  99.59 ","  104.48 ","  106.50 ","  109.43 ","  113.46 ","  116.11 ","  121.52 ","  125.72 ","  120.58 ","  124.46 "
"Complications of pregnancy; childbirth; and the puerperium","  25.21 ","  24.88 ","  25.32 ","  28.06 ","  29.56 ","  30.14 ","  32.57 ","  33.90 ","  35.38 ","  36.38 ","  38.98 ","  39.83 ","  44.17 ","  45.06 ","  45.59 ","  46.95 ","  52.55 ","  52.55 "
"Diseases of the skin and subcutaneous organs","  22.33 ","  24.32 ","  26.86 ","  28.01 ","  29.64 ","  31.53 ","  33.28 ","  35.48 ","  38.04 ","  40.23 ","  42.08 ","  43.36 ","  45.35 ","  47.22 ","  51.11 ","  54.62 ","  60.06 ","  62.37 "
"Diseases of the musculoskeletal system and connective tissue","  76.64 ","  87.67 ","  98.31 ","  107.16 ","  117.02 ","  125.38 ","  134.07 ","  141.78 ","  149.95 ","  158.42 ","  169.70 ","  174.80 ","  182.77 ","  189.06 ","  199.36 ","  213.31 ","  229.19 ","  237.40 "
"Injury and poisoning","  66.54 ","  73.06 ","  76.46 ","  81.51 ","  84.85 ","  88.85 ","  93.76 ","  99.19 ","  102.64 ","  107.26 ","  112.44 ","  115.56 ","  118.02 ","  121.19 ","  126.84 ","  132.61 ","  136.40 ","  140.11 "
"Symptoms; signs; and ill-defined conditions","  83.78 ","  96.14 ","  111.86 ","  123.47 ","  140.79 ","  149.87 ","  162.33 ","  177.55 ","  186.93 ","  201.93 ","  212.78 ","  228.10 ","  240.44 ","  249.68 ","  264.34 ","  289.96 ","  320.70 ","  340.04 "
"Other","  32.90 ","  36.35 ","  40.64 ","  44.12 ","  48.24 ","  51.18 ","  55.39 ","  59.94 ","  63.02 ","  67.12 ","  69.55 ","  74.97 ","  78.09 ","  79.39 ","  83.09 ","  86.88 ","  94.72 ","  94.36 "
"Diseases of the blood and blood-forming organs","  9.40 ","  10.88 ","  12.46 ","  14.32 ","  15.37 ","  16.29 ","  17.37 ","  18.20 ","  18.28 ","  19.40 ","  20.28 ","  22.63 ","  23.41 ","  23.34 ","  24.07 ","  24.83 ","  24.84 ","  24.13 "
"Congenital anomalies","  4.77 ","  4.89 ","  5.14 ","  5.49 ","  5.74 ","  5.86 ","  6.07 ","  6.45 ","  7.19 ","  7.50 ","  7.73 ","  7.91 ","  7.97 ","  8.17 ","  8.28 ","  8.43 ","  8.55 ","  7.75 "
"Certain conditions originating in the perinatal period","  4.84 ","  5.05 ","  4.98 ","  5.39 ","  6.04 ","  5.82 ","  5.67 ","  6.02 ","  6.73 ","  7.28 ","  6.79 ","  7.51 ","  7.59 ","  8.29 ","  8.38 ","  7.73 ","  10.40 ","  12.00 "
"Residual codes; unclassified; all E codes","  13.90 ","  15.53 ","  18.07 ","  18.92 ","  21.09 ","  23.21 ","  26.28 ","  29.27 ","  30.83 ","  32.95 ","  34.74 ","  36.91 ","  39.12 ","  39.59 ","  42.36 ","  45.88 ","  50.93 ","  50.47 "
"Medical services by provider","  151.48 ","  162.98 ","  174.18 ","  183.47 ","  195.04 ","  206.84 ","  215.69 ","  230.80 ","  243.33 ","  250.04 ","  259.55 ","  263.71 ","  268.29 ","  271.86 ","  279.56 ","  289.44 ","  302.28 ","  310.10 "
"Dental services","  63.57 ","  69.32 ","  75.57 ","  77.82 ","  83.28 ","  87.87 ","  91.50 ","  96.99 ","  101.75 ","  102.05 ","  104.46 ","  105.80 ","  107.16 ","  108.65 ","  111.57 ","  116.34 ","  122.35 ","  126.41 "
"Nursing homes","  87.91 ","  93.66 ","  98.61 ","  105.66 ","  111.76 ","  118.97 ","  124.18 ","  133.81 ","  141.58 ","  147.99 ","  155.10 ","  157.91 ","  161.13 ","  163.22 ","  168.00 ","  173.11 ","  179.94 ","  183.69 "
"Proprietary and government nursing homes","  56.85 ","  60.09 ","  63.18 ","  67.70 ","  71.85 ","  75.95 ","  79.56 ","  86.29 ","  92.82 ","  96.74 ","  102.36 ","  104.06 ","  106.44 ","  108.22 ","  112.30 ","  117.06 ","  122.47 ","  125.52 "
"Nonprofit nursing homes services to households","  31.06 ","  33.57 ","  35.44 ","  37.96 ","  39.91 ","  43.02 ","  44.62 ","  47.52 ","  48.76 ","  51.25 ","  52.73 ","  53.85 ","  54.69 ","  55.00 ","  55.70 ","  56.05 ","  57.47 ","  58.18 "
"Medical products, appliances and equipment","  57.36 ","  57.89 ","  61.95 ","  66.82 ","  72.47 ","  78.70 ","  85.56 ","  93.38 ","  96.53 ","  98.29 ","  104.22 ","  110.86 ","  116.20 ","  120.21 ","  124.53 ","  130.59 ","  136.04 ","  140.23 "
"Pharmaceutical and other medical products","  25.19 ","  26.06 ","  27.91 ","  30.34 ","  32.72 ","  35.51 ","  38.67 ","  41.74 ","  45.31 ","  47.64 ","  51.82 ","  56.57 ","  61.21 ","  63.18 ","  65.52 ","  69.03 ","  72.06 ","  74.43 "
"Pharmaceutical products (without prescription drugs)","  23.24 ","  24.00 ","  25.74 ","  27.94 ","  29.99 ","  32.50 ","  35.28 ","  37.97 ","  41.48 ","  43.86 ","  47.82 ","  52.35 ","  56.67 ","  58.43 ","  60.56 ","  63.72 ","  66.40 ","  68.59 "
"Nonprescription drugs","  23.24 ","  24.00 ","  25.74 ","  27.94 ","  29.99 ","  32.50 ","  35.28 ","  37.97 ","  41.48 ","  43.86 ","  47.82 ","  52.35 ","  56.67 ","  58.43 ","  60.56 ","  63.72 ","  66.40 ","  68.59 "
"Other medical products","  1.95 ","  2.06 ","  2.17 ","  2.40 ","  2.74 ","  3.01 ","  3.39 ","  3.77 ","  3.83 ","  3.79 ","  4.00 ","  4.21 ","  4.54 ","  4.75 ","  4.96 ","  5.31 ","  5.66 ","  5.84 "
"Therapeutic appliances and equipment","  32.17 ","  31.83 ","  34.04 ","  36.49 ","  39.74 ","  43.19 ","  46.90 ","  51.64 ","  51.22 ","  50.65 ","  52.40 ","  54.29 ","  54.99 ","  57.03 ","  59.01 ","  61.55 ","  63.98 ","  65.81 "
"Corrective eyeglasses and contact lenses","  19.91 ","  18.80 ","  20.26 ","  21.10 ","  22.20 ","  23.77 ","  24.91 ","  27.11 ","  27.46 ","  28.24 ","  29.84 ","  31.61 ","  31.62 ","  32.61 ","  33.51 ","  34.26 ","  34.88 ","  35.79 "
"Therapeutic medical equipment","  12.26 ","  13.03 ","  13.78 ","  15.39 ","  17.54 ","  19.42 ","  21.99 ","  24.53 ","  23.76 ","  22.40 ","  22.56 ","  22.69 ","  23.37 ","  24.42 ","  25.50 ","  27.30 ","  29.10 ","  30.02 "
"","","","","","","","","","","","","","","","","","",""
"NOTE: The Medicare drug portion of this account no longer reflects imputations based off of MEPS data. Rather, the imputations are based off of the Medicare-portion of Marketscan (years 2000-2005) and Medicare Part-D (years 2006-present)","","","","","","","","","","","","","","","","","",""
"*NOTE: The Blended Account data after the last quarter of 2015 are based on the updated International Classification of Diseases (ICD-10). Prior years’ data were based on the earlier classification system (ICD-9).  Users should exercise caution when comparing earlier estimates to data for 2015 or later. More information about this change can be found at the Agency for Healthcare Research and Quality: https://www.hcup-us.ahrq.gov/tools_software.jsp","","","","","","","","","","","","","","","","","",""
"Last updated: 05/06/2020","","","","","","","","","","","","","","","","","",""
