"Table 3b: Debt relief order rates per 10,000 adults by location, England and Wales, 2011 to 2021 [r][note 10][note 11]","","","","","","","","","","","","",""
"Back to contents","","","","","","","","","","","","",""
"This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.","","","","","","","","","","","","",""
"Sources: Insolvency Service, Office for National Statistics (population estimates)","","","","","","","","","","","","",""
"Code","Name","Geography","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021 [p]"
"E08000022","North Tyneside","Metropolitan District","15.2","14.6","9.2","8.9","7.8","9.4","7.2","11.9","14.2","8.5","8.1"
"E08000023","South Tyneside","Metropolitan District","4.7","5.7","6.3","9.1","6.1","9.4","7.8","9.4","12.3","9.3","10.1"
"E08000024","Sunderland","Metropolitan District","9.4","10.8","8.9","9.0","6.4","8.0","6.6","7.7","7.5","8.7","5.7"
"E12000002","NORTH WEST","Region","7.2","8.1","7.4","7.1","6.2","6.7","6.2","6.7","7.1","5.1","5.1"
"E06000008","Blackburn with Darwen","Unitary Authority","10.4","12.7","7.1","4.8","3.3","4.0","3.8","3.3","5.4","3.4","4.2"
"E06000009","Blackpool","Unitary Authority","20.4","14.7","12.4","11.8","8.1","7.5","9.0","10.1","8.9","7.8","6.2"
"E06000049","Cheshire East","Unitary Authority","5.6","6.2","6.5","5.1","3.6","3.9","2.6","3.6","4.5","2.9","4.1"
"E06000050","Cheshire West and Chester","Unitary Authority","8.4","12.0","10.2","10.5","11.0","11.2","10.7","9.1","8.8","8.4","6.7"
"E06000006","Halton","Unitary Authority","14.0","16.0","16.1","8.9","8.7","8.2","9.5","10.7","17.8","10.0","12.8"
"E06000007","Warrington","Unitary Authority","7.0","8.5","8.7","7.8","7.3","7.3","7.6","8.4","8.9","4.3","6.4"
"E10000006","Cumbria","County","8.7","8.1","8.2","7.8","6.1","7.0","6.9","6.3","7.6","4.8","5.5"
"E07000026","Allerdale","Non-metropolitan District","15.8","14.1","11.8","11.1","6.2","9.6","9.0","6.8","12.4","6.4","7.9"
"E07000027","Barrow-in-Furness","Non-metropolitan District","5.8","7.0","7.2","7.4","7.9","4.6","6.7","11.1","8.5","6.9","8.4"
"E07000028","Carlisle","Non-metropolitan District","7.6","6.1","7.5","7.2","5.6","6.5","7.4","5.9","5.0","3.6","4.0"
"E07000029","Copeland","Non-metropolitan District","15.5","14.4","16.8","12.7","11.0","12.3","9.2","6.3","13.4","6.7","5.6"
"E07000030","Eden","Non-metropolitan District","3.7","3.7","2.3","4.4","3.2","3.5","3.7","5.2","2.9","4.0","6.3"
"E07000031","South Lakeland","Non-metropolitan District","2.9","3.4","3.6","4.2","3.4","4.8","4.6","3.7","3.7","2.5","2.5"
"E11000001","Greater Manchester (Met County)","Metropolitan County","4.9","5.9","6.0","5.9","4.7","5.2","4.7","5.5","6.2","4.7","4.8"
"E08000001","Bolton","Metropolitan District","2.5","3.4","3.0","3.7","3.2","3.6","4.1","5.2","5.6","4.3","4.3"
"E08000002","Bury","Metropolitan District","4.0","4.9","6.9","5.4","4.0","3.4","3.8","5.4","5.0","3.7","4.1"
"E08000003","Manchester","Metropolitan District","8.6","9.3","9.6","8.1","5.8","6.4","4.6","6.0","5.4","3.9","3.7"
"E08000004","Oldham","Metropolitan District","3.6","3.0","3.2","4.0","3.3","2.8","2.2","2.6","4.0","3.7","4.4"
"E08000005","Rochdale","Metropolitan District","3.8","4.4","3.0","4.9","2.8","4.0","3.2","3.2","5.4","4.7","4.7"
"E08000006","Salford","Metropolitan District","4.7","8.0","7.6","5.6","4.4","5.6","6.0","8.5","9.1","6.8","6.4"
"E08000007","Stockport","Metropolitan District","4.6","6.2","7.1","7.0","6.5","6.2","5.2","5.4","6.7","5.1","6.7"
"E08000008","Tameside","Metropolitan District","4.7","5.6","5.1","5.9","4.6","5.4","4.3","3.9","8.3","5.0","7.3"
"E08000009","Trafford","Metropolitan District","3.5","4.4","5.6","6.3","5.0","5.2","6.6","8.8","7.9","7.7","6.8"
"E08000010","Wigan","Metropolitan District","4.6","5.3","5.2","5.1","5.7","6.5","5.8","4.8","5.0","2.9","2.3"
"E10000017","Lancashire","County","7.2","7.6","6.1","6.2","6.0","6.4","5.6","6.1","6.6","4.5","4.1"
"E07000117","Burnley","Non-metropolitan District","4.6","7.0","6.2","6.1","2.4","5.5","7.0","8.7","7.0","6.0","7.7"
"E07000118","Chorley","Non-metropolitan District","10.5","13.3","5.4","6.5","6.8","7.4","4.7","4.7","6.4","4.8","2.8"
"E07000119","Fylde","Non-metropolitan District","5.8","4.6","3.0","2.8","2.4","3.6","3.1","2.1","3.0","3.9","3.4"
"E07000120","Hyndburn","Non-metropolitan District","4.2","4.9","4.9","5.0","4.2","4.0","2.7","6.1","6.3","4.7","4.0"
"E07000121","Lancaster","Non-metropolitan District","9.6","8.1","7.0","5.5","5.4","7.1","6.7","5.1","7.9","5.0","3.6"
"E07000122","Pendle","Non-metropolitan District","7.2","10.3","7.8","5.8","5.8","4.9","6.0","5.6","4.3","3.5","5.7"
"E07000123","Preston","Non-metropolitan District","8.1","9.9","11.6","14.4","13.8","12.4","11.9","13.6","13.5","6.9","5.6"
"E07000124","Ribble Valley","Non-metropolitan District","5.1","5.1","4.8","4.3","4.7","4.7","2.1","5.0","2.6","3.2","2.4"
"E07000125","Rossendale","Non-metropolitan District","5.7","6.4","8.2","6.1","5.4","6.4","5.6","5.2","7.0","5.6","6.3"
"E07000126","South Ribble","Non-metropolitan District","8.4","9.5","4.2","4.4","5.7","4.0","4.1","6.3","4.9","2.3","2.7"
"E07000127","West Lancashire","Non-metropolitan District","8.0","4.5","3.8","4.7","5.9","7.5","5.7","4.0","5.2","3.6","3.1"
"E07000128","Wyre","Non-metropolitan District","5.5","4.2","4.2","4.7","5.0","5.1","2.8","3.6","6.0","4.3","3.0"
"E11000002","Merseyside (Met County)","Metropolitan County","9.0","10.3","9.0","8.9","8.6","9.1","8.9","9.3","8.5","5.9","5.3"
"E08000011","Knowsley","Metropolitan District","7.9","8.1","6.6","6.7","5.9","6.0","6.2","7.4","6.0","6.5","4.4"
"E08000012","Liverpool","Metropolitan District","10.9","10.6","11.0","9.6","7.7","9.1","8.6","9.4","9.1","5.9","5.0"
"E08000014","Sefton","Metropolitan District","6.3","9.4","10.2","10.8","9.7","12.1","11.9","14.4","12.4","7.8","7.2"
"E08000013","St. Helens","Metropolitan District","6.0","6.9","6.1","6.0","5.8","7.2","7.2","7.2","7.5","6.2","4.6"
"E08000015","Wirral","Metropolitan District","10.5","13.4","7.7","8.9","11.7","9.2","9.1","6.8","5.8","4.0","5.0"
"E12000003","YORKSHIRE AND THE HUMBER","Region","6.7","7.9","7.0","7.3","6.8","7.4","7.5","8.1","8.5","5.9","5.8"
"E06000011","East Riding of Yorkshire","Unitary Authority","6.8","7.3","4.4","3.5","3.5","4.0","4.1","4.0","5.2","3.6","3.6"
"E06000010","Kingston upon Hull, City of","Unitary Authority","17.5","20.3","19.0","18.5","18.6","17.9","16.7","18.6","19.0","12.3","12.0"
"E06000012","North East Lincolnshire","Unitary Authority","5.5","6.4","7.2","9.8","8.3","11.1","7.7","9.0","8.4","9.0","6.6"
"E06000013","North Lincolnshire","Unitary Authority","2.3","5.1","5.8","4.7","5.6","4.6","6.8","5.8","5.5","5.0","4.5"
"E06000014","York","Unitary Authority","6.4","6.7","6.3","7.2","8.0","8.8","10.2","6.2","4.4","5.4","4.3"
"E10000023","North Yorkshire","County","7.8","8.7","7.8","8.4","7.5","8.3","8.3","9.1","9.5","6.3","5.4"
"E07000163","Craven","Non-metropolitan District","4.2","4.0","5.3","4.9","2.9","3.7","3.0","6.9","4.5","4.7","2.5"
"E07000164","Hambleton","Non-metropolitan District","4.6","4.1","4.8","6.4","5.6","5.3","5.1","6.6","5.5","3.4","3.2"
"E07000165","Harrogate","Non-metropolitan District","2.8","4.0","3.3","3.6","3.5","3.5","3.6","3.5","3.7","2.3","2.7"
"E07000166","Richmondshire","Non-metropolitan District","3.7","8.1","4.8","4.5","5.9","3.7","5.3","3.9","4.8","2.7","1.8"
"E07000167","Ryedale","Non-metropolitan District","6.4","7.8","6.6","7.9","6.9","8.6","6.5","9.5","8.6","5.2","5.2"
"E07000168","Scarborough","Non-metropolitan District","23.4","25.9","23.0","23.0","19.2","22.4","21.9","25.0","28.4","19.3","16.4"
"E07000169","Selby","Non-metropolitan District","6.1","3.9","3.9","5.6","6.0","7.7","9.3","6.2","7.2","4.0","3.2"
"E11000003","South Yorkshire (Met County)","Metropolitan County","7.7","10.4","8.9","9.0","7.9","8.9","8.2","8.2","8.2","5.1","5.5"
"E08000016","Barnsley","Metropolitan District","4.2","7.7","7.5","11.5","11.4","11.8","9.6","11.5","10.8","6.6","4.8"
"E08000017","Doncaster","Metropolitan District","11.4","14.0","12.0","8.6","5.8","5.2","7.1","7.8","9.4","5.5","7.8"
"E08000018","Rotherham","Metropolitan District","5.9","6.1","5.6","7.5","6.2","7.2","5.9","7.7","7.0","4.5","5.3"
"E08000019","Sheffield","Metropolitan District","7.9","11.6","9.5","8.8","8.3","10.5","9.2","7.2","6.9","4.6","4.8"
"E11000006","West Yorkshire (Met County)","Metropolitan County","5.0","5.1","4.7","5.2","5.0","5.4","6.1","7.4","8.3","5.8","6.0"
"E08000032","Bradford","Metropolitan District","6.3","7.0","5.8","6.0","4.8","5.3","5.2","6.3","7.9","5.7","4.8"
"E08000033","Calderdale","Metropolitan District","5.8","3.3","4.3","3.6","6.3","6.4","8.6","14.9","20.2","13.8","19.6"
"E08000034","Kirklees","Metropolitan District","8.0","8.2","7.1","7.6","6.7","7.4","8.4","9.6","8.1","5.8","5.7"
"E08000035","Leeds","Metropolitan District","3.1","3.4","3.4","4.9","4.8","5.5","6.0","7.0","7.3","5.3","4.5"
"E08000036","Wakefield","Metropolitan District","2.8","3.5","3.4","3.0","2.6","2.5","3.3","3.0","4.5","2.4","3.1"
"E12000004","EAST MIDLANDS","Region","7.1","7.4","6.3","5.9","5.1","5.4","4.9","5.6","5.9","4.5","4.6"
"E06000015","Derby","Unitary Authority","5.5","5.3","4.0","4.0","3.6","4.4","4.7","6.5","8.4","5.1","6.7"
"E06000016","Leicester","Unitary Authority","9.4","8.8","8.2","5.8","4.7","5.4","4.9","4.8","7.3","5.7","5.5"
"E06000061","North Northamptonshire [note 8]","Unitary Authority","7.0","10.3","9.1","9.5","6.3","9.3","8.7","8.4","5.8","4.7","4.8"
"E06000018","Nottingham","Unitary Authority","6.0","7.7","4.2","4.4","4.5","4.5","4.4","5.6","6.7","3.5","3.7"
"E06000017","Rutland","Unitary Authority","3.0","6.5","4.7","3.9","3.3","3.8","2.2","3.8","3.4","4.3","3.1"
"E06000062","West Northamptonshire [note 9]","Unitary Authority","8.5","9.6","7.4","7.1","5.4","6.4","5.3","5.8","5.8","4.6","5.1"
"E10000007","Derbyshire","County","5.8","5.7","5.6","4.8","4.8","5.1","4.5","5.5","6.4","4.7","4.1"
"E07000032","Amber Valley","Non-metropolitan District","5.0","2.7","4.8","3.7","3.8","4.0","2.6","4.2","5.0","4.7","1.7"
"E07000033","Bolsover","Non-metropolitan District","7.6","6.7","6.2","5.2","6.6","7.4","4.9","7.2","6.0","5.4","4.3"
"E07000034","Chesterfield","Non-metropolitan District","9.5","9.9","8.4","7.1","7.9","6.7","8.3","12.6","10.3","5.5","8.9"
"E07000035","Derbyshire Dales","Non-metropolitan District","4.3","2.6","4.6","4.1","2.7","3.2","3.2","4.5","4.5","2.8","2.3"
"E07000036","Erewash","Non-metropolitan District","4.4","4.0","4.7","4.6","2.6","3.8","4.3","4.3","6.4","4.5","3.1"
"E07000037","High Peak","Non-metropolitan District","7.6","10.2","8.0","6.6","6.1","7.3","3.8","3.2","5.5","5.7","3.7"
"E07000038","North East Derbyshire","Non-metropolitan District","4.5","5.5","5.1","4.4","5.2","6.5","6.9","5.6","9.7","5.9","5.6"
"E07000039","South Derbyshire","Non-metropolitan District","4.1","4.8","3.3","3.0","4.1","2.8","2.1","2.7","3.3","3.0","3.0"
"E10000018","Leicestershire","County","7.7","6.6","5.7","5.0","3.5","4.1","4.1","5.0","5.4","4.9","4.8"
"E07000129","Blaby","Non-metropolitan District","4.9","2.8","3.7","2.6","2.5","2.5","2.8","3.8","4.6","4.0","3.5"
"E07000130","Charnwood","Non-metropolitan District","12.8","12.5","9.9","11.4","7.8","7.9","6.9","8.0","5.9","5.8","5.0"
"E07000131","Harborough","Non-metropolitan District","6.0","5.3","3.3","3.5","1.4","1.5","2.2","1.9","4.7","2.8","4.1"
"E07000132","Hinckley and Bosworth","Non-metropolitan District","7.7","5.3","5.3","2.2","1.4","3.2","3.0","3.3","5.4","3.3","3.3"
"E07000133","Melton","Non-metropolitan District","7.2","3.2","4.2","3.7","2.0","2.7","3.9","9.0","11.9","13.5","12.1"
"E07000134","North West Leicestershire","Non-metropolitan District","5.0","5.3","5.2","2.6","2.7","4.4","4.1","4.2","4.9","4.9","5.6"
"E07000135","Oadby and Wigston","Non-metropolitan District","4.9","4.7","2.4","1.6","2.2","1.3","2.0","4.0","1.5","2.9","2.9"
"E10000019","Lincolnshire","County","7.0","7.5","6.8","7.3","6.5","5.9","5.1","5.7","5.4","4.7","4.6"
"E07000136","Boston","Non-metropolitan District","2.5","1.2","2.1","3.2","5.5","5.2","5.9","4.7","5.2","4.3","4.1"
"E07000137","East Lindsey","Non-metropolitan District","11.9","9.5","8.7","9.2","4.0","5.7","4.6","6.5","7.6","5.4","6.3"
"E07000138","Lincoln","Non-metropolitan District","7.0","6.0","7.7","6.5","5.9","5.6","5.1","5.4","5.3","3.9","4.4"
"E07000139","North Kesteven","Non-metropolitan District","4.0","4.7","2.0","2.8","3.9","3.6","5.2","3.9","3.0","3.2","2.1"
"E07000140","South Holland","Non-metropolitan District","3.1","4.1","1.9","3.7","4.3","2.8","1.7","6.3","6.0","4.3","4.2"
"E07000141","South Kesteven","Non-metropolitan District","12.2","15.4","15.9","17.4","15.6","11.6","8.6","8.3","6.5","6.6","6.2"
"E07000142","West Lindsey","Non-metropolitan District","2.7","5.3","3.3","2.0","3.3","4.4","3.7","2.7","3.2","4.1","3.7"
"E10000024","Nottinghamshire","County","7.3","7.6","6.2","5.8","5.5","5.0","4.6","4.8","4.9","3.7","3.8"
"E07000170","Ashfield","Non-metropolitan District","9.7","8.0","7.1","5.0","5.5","3.7","3.6","3.3","5.1","2.3","3.2"
"E07000171","Bassetlaw","Non-metropolitan District","5.0","6.8","5.0","6.2","5.1","4.4","5.6","4.4","5.5","4.2","6.1"
"E07000172","Broxtowe","Non-metropolitan District","4.3","5.4","4.6","6.8","4.5","4.3","3.7","4.1","6.0","3.4","2.6"
"E07000173","Gedling","Non-metropolitan District","3.8","3.6","2.3","3.0","2.3","3.1","2.9","3.2","3.2","2.5","2.7"
"E07000174","Mansfield","Non-metropolitan District","18.2","19.5","15.3","12.1","10.6","10.3","6.0","9.9","5.8","5.8","4.4"
"E07000175","Newark and Sherwood","Non-metropolitan District","9.0","7.8","7.3","6.6","8.5","7.7","8.6","7.5","7.3","5.3","5.3"
"E07000176","Rushcliffe","Non-metropolitan District","2.0","2.8","2.6","1.4","2.1","2.1","1.6","1.9","1.6","2.3","2.6"
"E12000005","WEST MIDLANDS","Region","6.8","7.5","6.4","6.3","5.7","6.4","5.9","6.4","6.1","4.6","4.2"
"E06000019","Herefordshire, County of","Unitary Authority","11.6","11.3","9.3","9.0","5.3","5.5","6.1","5.3","6.3","5.2","4.4"
"E06000051","Shropshire","Unitary Authority","5.4","6.3","6.3","4.7","4.0","4.6","4.5","4.9","5.4","3.6","4.1"
"E06000021","Stoke-on-Trent","Unitary Authority","14.9","20.6","15.8","18.1","17.9","21.2","20.5","22.9","17.8","13.3","9.9"
"E06000020","Telford and Wrekin","Unitary Authority","7.0","8.2","8.3","8.2","6.4","7.2","7.0","6.9","7.1","8.4","6.7"
"E10000028","Staffordshire","County","6.9","8.0","6.7","7.4","7.3","7.7","6.6","5.8","5.5","4.5","4.0"
"E07000192","Cannock Chase","Non-metropolitan District","9.1","10.7","10.5","9.9","10.6","13.1","7.8","6.0","7.2","5.5","5.5"
"E07000193","East Staffordshire","Non-metropolitan District","5.8","3.2","2.8","2.4","3.3","3.4","2.7","3.8","3.5","3.4","2.4"
"E07000194","Lichfield","Non-metropolitan District","5.4","3.8","3.7","6.1","4.1","4.5","4.4","5.0","5.8","3.6","3.2"
"E07000195","Newcastle-under-Lyme","Non-metropolitan District","8.9","15.3","9.8","13.0","14.2","14.1","12.4","14.1","11.0","8.4","6.9"
"E07000196","South Staffordshire","Non-metropolitan District","8.4","8.9","7.9","6.7","4.8","6.0","6.3","3.5","2.8","3.9","3.1"
"E07000197","Stafford","Non-metropolitan District","5.8","7.0","4.9","6.5","6.9","6.9","4.9","3.0","4.0","3.8","3.6"
"E07000198","Staffordshire Moorlands","Non-metropolitan District","4.8","5.8","4.9","6.7","6.5","5.2","6.5","6.5","3.8","2.7","2.1"
"E07000199","Tamworth","Non-metropolitan District","7.2","8.9","10.4","8.0","7.1","7.6","7.7","3.2","4.8","4.3","4.8"
"E10000031","Warwickshire","County","4.5","5.5","5.4","5.7","6.1","6.9","6.3","6.4","6.0","4.7","4.5"
"E07000218","North Warwickshire","Non-metropolitan District","3.8","4.2","4.4","5.2","7.7","5.9","6.6","3.8","4.4","4.9","3.4"
"E07000219","Nuneaton and Bedworth","Non-metropolitan District","6.3","9.2","9.6","11.1","10.6","12.6","13.0","14.9","13.6","9.1","7.0"
"E07000220","Rugby","Non-metropolitan District","3.3","4.1","3.9","4.5","4.4","5.6","4.6","5.3","5.0","2.9","4.7"
"E07000221","Stratford-on-Avon","Non-metropolitan District","3.0","4.2","3.9","2.7","3.4","4.7","4.5","4.1","3.2","2.8","3.0"
"E07000222","Warwick","Non-metropolitan District","5.3","4.7","4.5","4.8","4.9","5.2","3.2","3.0","3.4","3.8","4.2"
"E11000005","West Midlands (Met County)","Metropolitan County","6.1","6.1","5.4","4.9","4.0","4.4","4.3","5.2","5.3","3.6","3.7"
"E08000025","Birmingham","Metropolitan District","5.0","5.0","4.2","3.7","3.4","3.8","3.9","4.7","3.9","3.4","3.4"
"E08000026","Coventry","Metropolitan District","4.0","4.7","5.1","5.1","3.5","3.4","4.7","5.4","6.7","3.3","2.4"
"E08000027","Dudley","Metropolitan District","5.7","6.6","4.9","3.3","2.7","2.7","2.8","2.5","3.2","2.9","3.7"
"E08000028","Sandwell","Metropolitan District","5.0","4.8","4.2","4.7","4.8","6.2","5.2","5.7","6.1","4.1","4.4"
"E08000029","Solihull","Metropolitan District","4.0","4.7","4.0","4.4","2.8","4.3","3.5","8.5","8.9","5.3","5.8"
"E08000030","Walsall","Metropolitan District","11.1","12.7","10.3","9.5","7.5","7.8","6.9","6.7","7.3","4.3","3.9"
"E08000031","Wolverhampton","Metropolitan District","11.3","7.7","9.1","6.8","5.5","4.6","4.3","5.6","5.8","3.0","3.8"
"E10000034","Worcestershire","County","8.2","9.1","6.3","6.7","6.5","8.0","6.3","6.6","5.7","4.9","3.7"
"E07000234","Bromsgrove","Non-metropolitan District","3.3","1.5","2.5","1.7","2.3","4.5","2.4","2.9","2.8","1.8","1.9"
"E07000235","Malvern Hills","Non-metropolitan District","12.8","12.8","6.0","6.9","8.4","9.4","9.0","9.5","7.1","7.5","5.4"
"E07000236","Redditch","Non-metropolitan District","12.7","18.3","11.9","11.8","9.1","7.8","10.4","8.8","8.1","4.7","3.5"
"E07000237","Worcester","Non-metropolitan District","4.0","4.8","3.2","5.3","4.6","5.7","4.9","4.6","6.8","5.6","3.6"
"E07000238","Wychavon","Non-metropolitan District","5.1","6.4","5.9","6.5","5.4","8.3","4.1","5.8","4.9","5.4","2.5"
"E07000239","Wyre Forest","Non-metropolitan District","13.5","13.4","9.1","8.5","10.2","12.3","8.7","8.8","5.5","4.9","5.6"
"E12000006","EAST","Region","6.7","6.7","5.8","5.9","5.3","5.6","5.3","5.5","5.1","3.8","4.0"
"E06000055","Bedford","Unitary Authority","8.4","10.4","10.2","11.8","5.1","5.3","4.3","3.8","4.4","3.7","3.4"
"E06000056","Central Bedfordshire","Unitary Authority","2.8","3.1","3.3","4.2","2.5","4.0","4.0","2.8","2.2","1.6","1.7"
"E06000032","Luton","Unitary Authority","4.4","4.4","3.9","4.0","2.8","3.1","2.3","2.2","2.9","2.0","2.9"
"E06000031","Peterborough","Unitary Authority","6.1","6.5","6.2","5.8","4.9","5.1","5.0","5.1","3.6","4.3","4.1"
"E06000033","Southend-on-Sea","Unitary Authority","4.1","5.1","5.3","5.4","3.6","5.2","5.3","5.0","5.2","3.1","3.7"
"E06000034","Thurrock","Unitary Authority","3.5","4.1","3.4","2.7","2.3","3.1","3.3","4.3","4.6","3.4","3.4"
"E10000003","Cambridgeshire","County","7.7","6.5","4.9","6.8","6.3","6.3","5.9","5.6","6.1","3.7","4.0"
"E07000008","Cambridge","Non-metropolitan District","13.1","9.1","5.1","7.9","7.5","6.6","5.8","6.5","7.2","2.8","2.3"
"E07000009","East Cambridgeshire","Non-metropolitan District","8.2","5.8","4.5","5.1","4.5","5.8","4.8","3.2","4.7","2.4","3.8"
"E07000010","Fenland","Non-metropolitan District","5.1","7.3","5.7","4.9","6.1","6.4","7.6","6.2","8.2","6.0","4.0"
"E07000011","Huntingdonshire","Non-metropolitan District","4.8","4.9","4.4","6.0","6.1","8.0","6.1","5.6","5.9","4.4","5.9"
"E07000012","South Cambridgeshire","Non-metropolitan District","7.9","6.1","5.0","8.8","6.7","4.2","5.3","5.8","4.7","2.7","3.4"
"E10000012","Essex","County","6.4","6.1","4.7","5.3","4.7","4.8","4.4","4.5","4.0","3.1","3.1"
"E07000066","Basildon","Non-metropolitan District","4.7","5.7","4.6","6.3","5.3","4.4","4.4","4.3","5.1","4.5","4.0"
"E07000067","Braintree","Non-metropolitan District","5.9","6.3","4.9","4.8","4.7","4.6","5.6","5.1","5.3","2.9","3.5"
"E07000068","Brentwood","Non-metropolitan District","5.3","4.3","4.0","3.6","4.5","4.1","2.1","2.5","1.8","1.8","1.6"
"E07000069","Castle Point","Non-metropolitan District","2.0","2.2","3.5","3.2","1.9","2.1","1.5","1.1","2.1","1.8","0.8"
"E07000070","Chelmsford","Non-metropolitan District","3.6","4.8","2.3","2.8","2.8","1.6","1.9","2.5","1.6","1.8","2.7"
"E07000071","Colchester","Non-metropolitan District","7.1","4.5","3.7","4.7","4.8","6.3","5.8","4.3","4.5","3.3","3.3"
"E07000072","Epping Forest","Non-metropolitan District","7.2","9.5","8.1","6.1","5.8","6.9","6.1","3.9","2.4","3.0","3.0"
"E07000073","Harlow","Non-metropolitan District","12.8","6.9","5.0","11.3","9.4","8.6","8.0","7.7","5.8","4.3","4.3"
"E07000074","Maldon","Non-metropolitan District","6.5","9.9","9.2","5.3","2.6","4.5","6.7","8.0","8.9","3.6","5.3"
"E07000075","Rochford","Non-metropolitan District","2.1","2.4","2.4","1.8","2.3","2.0","1.3","2.3","1.1","2.3","2.1"
"E07000076","Tendring","Non-metropolitan District","12.7","10.0","6.6","10.5","7.8","8.2","5.8","9.2","7.2","4.5","3.2"
"E07000077","Uttlesford","Non-metropolitan District","6.3","6.5","4.1","2.5","2.9","3.3","2.1","3.2","2.4","2.2","2.9"
"E10000015","Hertfordshire","County","4.1","4.5","4.3","4.3","4.8","4.8","4.3","5.2","4.6","3.6","4.2"
"E07000095","Broxbourne","Non-metropolitan District","3.9","3.3","3.7","3.8","4.4","2.9","2.0","3.2","3.7","3.2","3.1"
"E07000096","Dacorum","Non-metropolitan District","5.3","7.6","8.6","8.1","12.7","10.1","10.0","11.1","12.9","7.1","8.5"
"E07000242","East Hertfordshire","Non-metropolitan District","4.0","3.7","3.5","2.8","2.6","3.9","2.4","1.9","2.2","2.7","3.2"
"E07000098","Hertsmere","Non-metropolitan District","3.7","5.3","3.6","5.7","3.5","4.7","3.0","2.0","2.3","2.4","2.4"
"E07000099","North Hertfordshire","Non-metropolitan District","3.9","2.6","3.4","3.4","3.1","4.5","4.0","4.7","3.3","3.2","2.6"
"E07000240","St Albans","Non-metropolitan District","2.2","2.2","2.9","2.5","3.6","2.8","2.7","2.8","3.5","1.3","2.5"
"E07000243","Stevenage","Non-metropolitan District","3.6","3.5","2.7","4.1","4.5","6.8","5.0","8.0","6.2","6.3","7.8"
"E07000102","Three Rivers","Non-metropolitan District","5.1","6.7","6.1","5.6","6.1","4.5","3.8","5.4","5.4","3.7","3.6"
"E07000103","Watford","Non-metropolitan District","5.4","5.7","4.0","3.2","2.0","3.8","5.9","8.8","2.2","3.3","3.7"
"E07000241","Welwyn Hatfield","Non-metropolitan District","3.8","5.0","3.9","3.3","3.9","2.9","3.3","4.7","2.9","3.5","4.2"
"E10000020","Norfolk","County","10.3","9.9","7.7","6.2","5.8","6.5","5.9","6.7","6.3","4.6","4.6"
"E07000143","Breckland","Non-metropolitan District","17.7","16.6","8.1","7.4","8.0","5.7","5.5","5.5","3.0","3.2","4.0"
"E07000144","Broadland","Non-metropolitan District","4.2","3.9","4.5","5.2","4.1","6.5","7.1","6.7","5.3","4.5","3.7"
"E07000145","Great Yarmouth","Non-metropolitan District","17.7","18.5","8.3","9.2","8.9","15.2","10.9","14.1","12.2","6.7","5.5"
"E07000146","King's Lynn and West Norfolk","Non-metropolitan District","6.4","7.8","8.4","7.5","5.2","6.3","4.5","5.5","7.5","4.4","4.4"
"E07000147","North Norfolk","Non-metropolitan District","7.4","9.2","6.4","5.0","5.9","5.0","4.4","6.0","5.4","4.5","3.3"
