"TABLE SNR05. Incidence rate1, and number of nonfatal occupational injuries by industry and ownership, 2023                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ","","","","",""
"Industry2                                                                                                              ","NAICS Code3                                                                                                            ","Incidence Rate","Number of cases (thousands)","Percent relative standard error-Incidence rate","Percent relative standard error-Number of cases"
"      Anthracite mining5,8","212113","002.3","0.0 9   ","000.0","000.0"
"    Metal ore mining5,8","2122","001.8","000.8","000.0","000.0"
"     Iron ore mining5,8","21221","001.5","000.1","000.0","000.0"
"     Gold ore and silver ore mining5,8","21222","001.3","000.2","000.0","000.0"
"      Gold ore mining5,8","212221","001.2","000.2","000.0","000.0"
"      Silver ore mining5,8","212222","001.7","0.0 9   ","000.0","000.0"
"     Copper, nickel, lead, and zinc mining5,8","21223","002.4","000.4","000.0","000.0"
"     Other metal ore mining5,8","21229","002.2","000.1","000.0","000.0"
"      Uranium-radium-vanadium ore mining5,8","212291","(-10-)   ","(-10-)   ","000.0","000.0"
"      All other metal ore mining5,8","212299","002.2","000.1","000.0","000.0"
"    Nonmetallic mineral mining and quarrying5,8","2123","001.6","002.1","000.0","000.0"
"     Stone mining and quarrying5,8","21231","001.7","001.2","000.0","000.0"
"      Dimension stone mining and quarrying5,8","212311","001.5","000.1","000.0","000.0"
"      Crushed and broken limestone mining and quarrying5,8","212312","001.8","000.9","000.0","000.0"
"      Crushed and broken granite mining and quarrying5,8","212313","001.5","000.1","000.0","000.0"
"      Other crushed and broken stone mining and quarrying5,8","212319","001.6","000.2","000.0","000.0"
"     Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying5,8","21232","001.5","000.7","000.0","000.0"
"      Construction sand and gravel mining5,8","212321","001.5","000.6","000.0","000.0"
"      Kaolin and ball clay mining5,8","212324","001.2","000.1","000.0","000.0"
"      Clay and ceramic and refractory minerals mining5,8","212325","001.7","0.0 9   ","000.0","000.0"
"     Other nonmetallic mineral mining and quarrying5,8","21239","001.8","000.2","000.0","000.0"
"      Potash, soda, and borate mineral mining5,8","212391","001.2","000.1","000.0","000.0"
"      Phosphate rock mining5,8","212392","001.5","0.0 9   ","000.0","000.0"
"      Other chemical and fertilizer mineral mining5,8","212393","002.1","000.1","000.0","000.0"
"      All other nonmetallic mineral mining5,8","212399","002.2","000.1","000.0","000.0"
"   Support activities for mining","213","000.8","002.8","010.8","011.1"
"    Support activities for mining","2131","000.8","002.8","010.8","011.1"
"     Support activities for mining","21311","000.8","002.8","010.8","011.1"
"      Drilling oil and gas wells","213111","001.8","001.0","022.2","024.6"
"      Support activities for oil and gas operations","213112","000.6","001.8","010.6","010.6"
" Construction","23","002.2","167.6","002.0","002.0"
"  Construction","23","002.2","167.6","002.0","002.0"
"   Construction of buildings","236","002.0","033.7","005.3","005.4"
"    Residential building construction","2361","002.5","020.4","007.8","008.1"
"    Nonresidential building construction","2362","001.6","013.3","005.7","005.8"
"   Heavy and civil engineering construction","237","001.8","020.4","003.5","003.6"
"    Utility system construction","2371","001.5","009.4","005.1","005.3"
"     Water and sewer line and related structures construction","23711","002.5","005.1","006.9","007.2"
"     Oil and gas pipeline and related structures construction","23712","000.5","000.7","013.7","014.6"
"     Power and communication line and related structures construction","23713","001.4","003.6","008.4","009.0"
"    Land subdivision","2372","001.5","000.5","015.9","015.2"
"    Highway, street, and bridge construction","2373","002.5","008.7","004.6","004.9"
"    Other heavy and civil engineering construction","2379","001.4","001.7","018.7","018.9"
"   Specialty trade contractors","238","002.4","113.5","002.4","002.5"
"    Foundation, structure, and building exterior contractors","2381","003.1","027.8","004.6","004.8"
"     Poured concrete foundation and structure contractors","23811","002.8","006.7","010.0","010.5"
"     Structural steel and precast concrete contractors","23812","003.5","003.1","014.6","015.2"
"     Framing contractors","23813","005.4","003.9","009.3","009.8"
"     Masonry contractors","23814","002.6","003.2","011.0","011.6"
"     Glass and glazing contractors","23815","002.5","001.6","014.6","015.5"
"     Roofing contractors","23816","003.0","006.5","009.8","010.4"
"     Siding contractors","23817","004.8","001.7","019.6","019.9"
"    Building equipment contractors","2382","002.4","054.2","003.2","003.3"
"     Electrical contractors and other wiring installation contractors","23821","002.0","019.7","005.0","005.0"
"     Plumbing, heating, and air-conditioning contractors","23822","002.7","032.0","004.2","004.4"
"     Other building equipment contractors","23829","001.7","002.5","013.3","013.5"
"    Building finishing contractors","2383","002.5","018.8","007.2","007.6"
"     Drywall and insulation contractors","23831","003.5","007.9","011.1","011.9"
"     Painting and wall covering contractors","23832","001.6","003.0","015.4","015.9"
"     Flooring contractors","23833","002.4","001.7","022.6","024.5"
"     Tile and terrazzo contractors","23834","001.3","000.6","034.8","036.9"
"     Finish carpentry contractors","23835","002.3","003.4","015.5","016.4"
"     Other building finishing contractors","23839","002.6","002.1","028.5","029.2"
"    Other specialty trade contractors","2389","001.8","012.7","007.5","007.8"
"     Site preparation contractors","23891","001.9","006.9","009.9","010.3"
"     All other specialty trade contractors","23899","001.6","005.8","011.5","011.7"
" Manufacturing","31-33","002.6","326.4","000.8","000.8"
"  Manufacturing","31-33","002.6","326.4","000.8","000.8"
"   Food manufacturing","311","003.3","054.9","001.5","001.6"
"    Animal food manufacturing","3111","002.7","002.0","008.9","009.9"
"     Animal food manufacturing","31111","002.7","002.0","008.9","009.9"
"      Dog and cat food manufacturing","311111","002.5","001.0","008.4","008.8"
"      Other animal food manufacturing","311119","002.9","001.0","015.3","017.3"
"    Grain and oilseed milling","3112","002.5","001.7","007.7","009.5"
"     Flour milling and malt manufacturing","31121","002.9","000.7","010.5","011.4"
"      Flour milling","311211","003.2","000.5","013.0","014.0"
"      Rice milling","311212","002.6","000.2","015.9","018.0"
"      Malt manufacturing","311213","(-10-)   ","(-10-)   ","025.7","022.2"
"     Starch and vegetable fats and oils manufacturing","31122","002.5","000.8","012.9","017.0"
"      Soybean and other oilseed processing","311224","004.1","000.4","019.1","029.0"
"      Fats and oils refining and blending","311225","002.4","000.2","014.1","024.5"
"     Breakfast cereal manufacturing","31123","001.8","000.2","013.1","012.5"
"    Sugar and confectionery product manufacturing","3113","003.0","002.2","007.3","008.1"
"     Sugar manufacturing","31131","003.4","000.5","005.9","005.9"
"      Beet sugar manufacturing","311313","006.1","000.4","006.5","006.6"
"      Cane sugar manufacturing","311314","001.5","000.1","011.5","012.8"
"     Nonchocolate confectionery manufacturing","31134","003.7","000.8","016.7","019.0"
"     Chocolate and confectionery manufacturing","31135","002.5","000.9","008.5","009.6"
"      Chocolate and confectionery manufacturing from cacao beans","311351","004.0","000.4","011.4","015.5"
"      Confectionery manufacturing from purchased chocolate","311352","001.8","000.5","011.0","011.7"
"    Fruit and vegetable preserving and specialty food manufacturing","3114","003.5","006.2","004.2","004.3"
"     Frozen food manufacturing","31141","003.4","003.3","005.6","005.8"
"      Frozen fruit, juice, and vegetable manufacturing","311411","004.0","001.2","009.3","009.3"
"      Frozen specialty food manufacturing","311412","003.1","002.1","007.0","007.3"
"     Fruit and vegetable canning, pickling, and drying","31142","003.5","002.9","006.4","006.6"
"      Fruit and vegetable canning","311421","004.0","002.2","007.8","008.0"
"      Dried and dehydrated food manufacturing","311423","002.6","000.3","017.0","016.5"
"    Dairy product manufacturing","3115","004.0","006.5","003.9","004.2"
"     Dairy product (except frozen) manufacturing","31151","004.2","005.7","004.2","004.6"
"      Fluid milk manufacturing","311511","005.3","002.8","006.1","006.8"
"      Creamery butter manufacturing","311512","003.3","000.1","047.5","046.0"
"      Cheese manufacturing","311513","003.9","002.3","006.2","006.8"
"      Dry, condensed, and evaporated dairy product manufacturing","311514","002.2","000.4","012.7","012.6"
"     Ice cream and frozen dessert manufacturing","31152","003.1","000.8","010.2","011.5"
"    Animal slaughtering and processing","3116","002.9","015.8","001.8","001.8"
"     Animal slaughtering and processing","31161","002.9","015.8","001.8","001.8"
"      Animal (except poultry) slaughtering","311611","003.5","005.3","003.5","003.7"
"      Meat processed from carcasses","311612","003.5","005.4","003.3","003.3"
"      Rendering and meat byproduct processing","311613","004.2","000.4","011.6","013.7"
"      Poultry processing","311615","002.1","004.8","002.3","002.4"
"    Seafood product preparation and packaging","3117","005.1","001.7","007.2","008.1"
"    Bakeries and tortilla manufacturing","3118","003.7","010.9","004.6","004.9"
"     Bread and bakery product manufacturing","31181","003.8","008.1","005.7","006.2"
"      Retail bakeries","311811","002.0","001.4","021.3","022.6"
"      Commercial bakeries","311812","004.6","006.2","005.6","006.2"
"      Frozen cakes, pies, and other pastries manufacturing","311813","004.1","000.6","012.7","012.4"
"     Cookie, cracker, and pasta manufacturing","31182","003.6","002.1","008.5","008.5"
"      Cookie and cracker manufacturing","311821","003.4","001.2","009.7","010.6"
"      Dry pasta, dough, and flour mixes manufacturing from purchased flour","311824","003.9","000.9","015.5","013.7"
"     Tortilla manufacturing","31183","003.6","000.7","011.6","011.2"
"    Other food manufacturing","3119","003.1","007.9","004.8","004.8"
"     Snack food manufacturing","31191","002.9","001.8","007.9","008.5"
"      Roasted nuts and peanut butter manufacturing","311911","002.6","000.4","010.4","011.1"
"      Other snack food manufacturing","311919","003.0","001.4","009.8","010.6"
"     Coffee and tea manufacturing","31192","002.6","000.6","011.5","015.8"
"     Flavoring syrup and concentrate manufacturing","31193","002.6","000.3","024.9","022.8"
"     Seasoning and dressing manufacturing","31194","002.6","001.3","008.5","008.1"
"      Mayonnaise, dressing, and other prepared sauce manufacturing","311941","003.5","000.7","012.5","010.3"
"      Spice and extract manufacturing","311942","001.9","000.5","011.9","012.9"
"     All other food manufacturing","31199","003.5","003.9","008.3","008.0"
"      Perishable prepared food manufacturing","311991","003.8","002.6","009.7","010.3"
"      All other miscellaneous food manufacturing","311999","002.9","001.3","014.8","012.6"
"   Beverage and tobacco product manufacturing","312","003.3","009.2","005.0","005.3"
"    Beverage manufacturing","3121","003.3","008.9","005.1","005.4"
"     Soft drink and ice manufacturing","31211","004.7","005.3","006.0","006.3"
"      Soft drink manufacturing","312111","004.7","004.0","006.1","006.5"
"      Bottled water manufacturing","312112","004.6","000.9","019.7","019.4"
"      Ice manufacturing","312113","005.8","000.4","024.7","029.2"
"     Breweries","31212","002.3","001.7","014.7","015.7"
"     Wineries","31213","002.6","001.5","013.5","014.3"
"     Distilleries","31214","002.0","000.5","017.4","016.7"
"    Tobacco manufacturing","3122","002.6","000.3","010.6","008.0"
"   Textile mills","313","002.7","002.5","005.6","006.0"
"    Fiber, yarn, and thread mills","3131","002.7","000.6","010.6","013.6"
"    Fabric mills","3132","003.0","001.3","006.8","007.1"
"     Broadwoven fabric mills","31321","002.7","000.5","010.8","012.4"
"     Narrow fabric mills and schiffli machine embroidery","31322","003.2","000.2","019.9","017.4"
"     Nonwoven fabric mills","31323","003.4","000.5","011.8","011.0"
"     Knit fabric mills","31324","002.9","000.1","019.0","019.2"
"    Textile and fabric finishing and fabric coating mills","3133","002.3","000.6","014.9","014.5"
"     Textile and fabric finishing mills","31331","002.1","000.4","018.2","016.4"
"     Fabric coating mills","31332","002.7","000.2","024.7","028.4"
"   Textile product mills","314","002.3","002.1","015.6","016.6"
"    Textile furnishings mills","3141","002.4","000.9","019.9","021.0"
"     Curtain and linen mills","31412","002.2","000.3","025.5","028.8"
"    Other textile product mills","3149","002.2","001.2","023.0","024.6"
"     Textile bag and canvas mills","31491","003.0","000.7","033.6","036.7"
"     All other textile product mills","31499","001.7","000.5","029.3","030.8"
"      All other miscellaneous textile product mills","314999","001.6","000.4","024.0","025.7"
"   Apparel manufacturing","315","001.5","001.2","014.8","014.1"
"    Apparel knitting mills","3151","001.9","000.1","021.4","021.8"
"     Hosiery and sock mills","31511","002.0","000.1","018.4","019.9"
"    Cut and sew apparel manufacturing","3152","001.3","000.8","020.4","019.4"
"     Cut and sew apparel contractors","31521","001.1","000.2","030.6","028.4"
"     Men's and boys' cut and sew apparel manufacturing","31522","001.4","000.2","029.0","025.9"
"     Women's, girls', and infants' cut and sew apparel manufacturing","31524","001.7","000.3","046.2","043.9"
"     Other cut and sew apparel manufacturing","31528","001.0","000.1","021.8","020.6"
"   Leather and allied product manufacturing","316","002.9","000.7","012.2","012.8"
"    Leather and hide tanning and finishing","3161","004.2","000.1","026.6","023.6"
"    Footwear manufacturing","3162","003.6","000.3","015.8","017.0"
"    Other leather and allied product manufacturing","3169","001.8","000.2","026.9","028.5"
"     Other leather and allied product manufacturing","31699","001.8","000.2","026.9","028.5"
"      All other leather good and allied product manufacturing","316998","001.9","000.2","026.8","028.5"
"   Wood product manufacturing","321","004.5","019.0","003.4","003.6"
"    Sawmills and wood preservation","3211","003.7","003.7","006.4","006.5"
"     Sawmills and wood preservation","32111","003.7","003.7","006.4","006.5"
"      Sawmills","321113","003.5","003.1","007.1","007.2"
"      Wood preservation","321114","005.4","000.6","012.7","015.8"
"    Veneer, plywood, and engineered wood product manufacturing","3212","004.4","003.7","006.6","006.5"
"     Veneer, plywood, and engineered wood product manufacturing","32121","004.4","003.7","006.6","006.5"
"      Hardwood veneer and plywood manufacturing","321211","004.1","000.5","011.7","012.2"
"      Softwood veneer and plywood manufacturing","321212","003.1","000.5","009.0","010.0"
"      Truss manufacturing","321214","006.5","002.2","010.4","010.0"
"      Reconstituted wood product manufacturing","321219","002.1","000.3","015.3","014.1"
"    Other wood product manufacturing","3219","004.9","011.5","004.7","005.1"
"     Millwork","32191","004.3","004.3","006.8","007.5"
"      Wood window and door manufacturing","321911","004.0","002.2","009.0","010.0"
"      Cut stock, resawing lumber, and planing","321912","007.9","001.0","018.1","019.9"
"      Other millwork (including flooring)","321918","003.3","001.1","009.9","010.9"
"     Wood container and pallet manufacturing","32192","005.7","003.6","009.3","010.1"
"     All other wood product manufacturing","32199","005.0","003.6","008.5","009.0"
"      Manufactured home (mobile home) manufacturing","321991","005.1","001.5","008.4","008.7"
"      All other miscellaneous wood product manufacturing","321999","003.6","000.9","026.9","029.1"
"   Paper manufacturing","322","002.1","007.8","003.2","003.3"
"    Pulp, paper, and paperboard mills","3221","002.0","001.9","004.7","004.7"
"     Pulp mills","32211","001.0","000.1","031.3","027.0"
"     Paper mills","32212","002.1","001.1","005.1","005.5"
"      Paper (except newsprint) mills","322121","002.1","001.0","005.2","005.5"
"     Paperboard mills","32213","002.1","000.7","008.8","008.5"
"    Converted paper product manufacturing","3222","002.2","006.0","004.0","004.0"
"     Paperboard container manufacturing","32221","002.1","003.3","006.1","006.2"
"      Corrugated and solid fiber box manufacturing","322211","002.2","002.3","007.5","007.5"
"      Folding paperboard box manufacturing","322212","001.4","000.4","017.6","019.0"
"      Other paperboard container manufacturing","322219","002.3","000.6","012.9","013.1"
"     Paper bag and coated and treated paper manufacturing","32222","002.5","001.4","006.7","006.9"
"     Stationery product manufacturing","32223","001.9","000.3","019.5","020.0"
"     Other converted paper product manufacturing","32229","002.2","001.0","005.9","006.3"
"      Sanitary paper product manufacturing","322291","001.9","000.5","006.3","007.9"
"      All other converted paper product manufacturing","322299","002.8","000.5","010.5","010.0"
"   Printing and related support activities","323","001.6","005.6","005.6","005.8"
"    Printing and related support activities","3231","001.6","005.6","005.6","005.8"
"     Printing","32311","001.5","005.1","005.8","006.1"
"      Commercial printing (except screen and books)","323111","001.6","004.0","006.3","006.6"
"      Commercial screen printing","323113","001.1","000.8","019.6","020.1"
"      Books printing","323117","002.4","000.3","015.0","013.9"
"     Support activities for printing","32312","003.7","000.6","019.7","019.5"
"   Petroleum and coal products manufacturing","324","001.2","001.3","009.7","009.8"
"    Petroleum and coal products manufacturing","3241","001.2","001.3","009.7","009.8"
"     Petroleum refineries","32411","000.4","000.3","014.5","015.1"
"     Asphalt paving, roofing, and saturated materials manufacturing","32412","002.0","000.6","017.4","017.1"
"      Asphalt paving mixture and block manufacturing","324121","002.3","000.4","024.0","025.0"
"      Asphalt shingle and coating materials manufacturing","324122","001.5","000.2","021.7","018.5"
"     Other petroleum and coal products manufacturing","32419","002.9","000.5","015.3","015.8"
"      Petroleum lubricating oil and grease manufacturing","324191","003.0","000.3","019.7","020.5"
"      All other petroleum and coal products manufacturing","324199","002.6","000.1","019.2","019.2"
"   Chemical manufacturing","325","001.6","014.3","003.6","003.7"
"    Basic chemical manufacturing","3251","001.2","002.0","010.5","010.0"
"     Synthetic dye and pigment manufacturing","32513","002.3","000.3","017.5","014.5"
"     Other basic inorganic chemical manufacturing","32518","001.3","000.6","011.9","012.2"
"     Other basic organic chemical manufacturing","32519","001.5","000.9","018.1","017.9"
"      Ethyl alcohol manufacturing","325193","003.0","000.3","034.8","035.2"
"      All other basic organic chemical manufacturing","325199","001.1","000.5","016.6","016.6"
"    Resin, synthetic rubber, and artificial and synthetic fibers and filaments manufacturing","3252","001.6","001.6","010.3","010.6"
"     Resin and synthetic rubber manufacturing","32521","001.4","001.0","012.3","012.6"
"      Plastics material and resin manufacturing","325211","001.4","000.9","013.3","013.6"
"      Synthetic rubber manufacturing","325212","001.8","000.2","032.5","033.3"
"     Artificial and synthetic fibers and filaments manufacturing","32522","002.0","000.5","018.6","019.2"
"    Pesticide, fertilizer, and other agricultural chemical manufacturing","3253","001.7","000.7","019.3","019.0"
"     Fertilizer manufacturing","32531","001.9","000.5","026.7","025.9"
"      Nitrogenous fertilizer manufacturing","325311","000.9","000.1","031.1","028.2"
"     Pesticide and other agricultural chemical manufacturing","32532","001.5","000.2","018.3","019.6"
"    Pharmaceutical and medicine manufacturing","3254","001.5","005.0","006.0","006.1"
"     Pharmaceutical and medicine manufacturing","32541","001.5","005.0","006.0","006.1"
"      Medicinal and botanical manufacturing","325411","001.5","000.5","021.4","022.8"
"      Pharmaceutical preparation manufacturing","325412","001.5","003.4","007.2","007.3"
"      In-vitro diagnostic substance manufacturing","325413","001.8","000.6","016.0","015.1"
"      Biological product (except diagnostic) manufacturing","325414","001.0","000.5","017.7","017.9"
"    Paint, coating, and adhesive manufacturing","3255","002.2","001.4","014.1","015.9"
"     Paint and coating manufacturing","32551","002.3","001.0","018.4","021.3"
"     Adhesive manufacturing","32552","002.1","000.5","020.4","021.5"
"    Soap, cleaning compound, and toilet preparation manufacturing","3256","001.7","001.9","006.5","007.0"
"     Soap and cleaning compound manufacturing","32561","002.1","001.2","008.9","009.5"
"      Soap and other detergent manufacturing","325611","001.8","000.5","012.8","011.6"
"      Polish and other sanitation good manufacturing","325612","002.4","000.7","012.9","014.9"
"     Toilet preparation manufacturing","32562","001.3","000.7","009.2","009.8"
"    Other chemical product and preparation manufacturing","3259","002.2","001.8","010.3","010.1"
"     Printing ink manufacturing","32591","001.8","000.1","038.7","042.7"
"     Explosives manufacturing","32592","002.8","000.2","025.5","027.5"
"     All other chemical product and preparation manufacturing","32599","002.2","001.4","011.7","011.1"
"      All other miscellaneous chemical product and preparation manufacturing","325998","001.9","000.8","017.8","017.1"
"   Plastics and rubber products manufacturing","326","002.7","020.1","002.7","002.8"
"    Plastics product manufacturing","3261","002.7","016.1","003.1","003.2"
"     Plastics packaging materials and unlaminated film and sheet manufacturing","32611","002.4","002.5","006.5","006.8"
"      Plastics bag and pouch manufacturing","326111","002.8","001.2","007.5","008.3"
"      Plastics packaging film and sheet (including laminated) manufacturing","326112","001.9","000.5","020.9","021.6"
"      Unlaminated plastics film and sheet (except packaging) manufacturing","326113","002.3","000.8","010.8","010.7"
"     Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing","32612","002.5","001.3","009.7","010.3"
"      Unlaminated plastics profile shape manufacturing","326121","001.9","000.4","015.5","016.3"
"      Plastics pipe and pipe fitting manufacturing","326122","003.0","000.9","012.1","013.0"
"     Laminated plastics plate, sheet (except packaging), and shape manufacturing","32613","003.5","000.7","016.3","018.0"
"     Polystyrene foam product manufacturing","32614","001.7","000.5","024.5","024.1"
"     Urethane and other foam product (except polystyrene) manufacturing","32615","003.7","001.5","011.2","012.8"
"     Plastics bottle manufacturing","32616","001.5","000.5","015.0","013.9"
"     Other plastics product manufacturing","32619","002.9","009.1","004.1","004.3"
"      Plastics plumbing fixture manufacturing","326191","003.2","000.5","019.6","015.8"
"      All other plastics product manufacturing","326199","002.9","008.6","004.2","004.4"
"    Rubber product manufacturing","3262","002.9","004.0","005.3","005.4"
"     Tire manufacturing","32621","003.2","001.9","004.8","005.5"
"      Tire manufacturing (except retreading)","326211","003.1","001.6","004.2","004.6"
"      Tire retreading","326212","003.3","000.2","026.2","031.7"
"     Rubber and plastics hoses and belting manufacturing","32622","002.5","000.6","012.1","012.7"
"     Other rubber product manufacturing","32629","002.8","001.6","011.3","011.2"
"      Rubber product manufacturing for mechanical use","326291","002.4","000.7","011.0","010.7"
"      All other rubber product manufacturing","326299","003.3","000.9","018.2","018.3"
"   Nonmetallic mineral product manufacturing","327","003.5","015.1","004.4","004.6"
"    Clay product and refractory manufacturing","3271","003.0","001.1","014.0","014.6"
"     Clay building material and refractories manufacturing","32712","003.8","000.9","015.3","016.1"
"    Glass and glass product manufacturing","3272","004.0","003.4","006.4","006.4"
"     Glass and glass product manufacturing","32721","004.0","003.4","006.4","006.4"
"      Flat glass manufacturing","327211","003.4","000.4","015.3","016.4"
"      Other pressed and blown glass and glassware manufacturing","327212","003.2","000.4","015.9","016.8"
"      Glass container manufacturing","327213","003.9","000.5","013.4","010.8"
"      Glass product manufacturing made of purchased glass","327215","004.5","002.1","009.1","009.0"
"    Cement and concrete product manufacturing","3273","003.5","007.2","007.2","007.4"
"     Ready-mix concrete manufacturing","32732","004.0","004.3","009.5","010.2"
"     Concrete pipe, brick, and block manufacturing","32733","002.7","000.8","026.1","023.6"
"      Concrete pipe manufacturing","327332","005.7","000.5","034.8","026.7"
"     Other concrete product manufacturing","32739","003.2","001.9","012.1","012.7"
"    Lime and gypsum product manufacturing","3274","002.2","000.3","019.4","022.0"
"     Lime manufacturing","32741","001.0","0.0 9   ","028.5","028.3"
"    Other nonmetallic mineral product manufacturing","3279","003.7","003.0","010.8","011.2"
"     All other nonmetallic mineral product manufacturing","32799","003.6","002.6","010.9","011.3"
"      Cut stone and stone product manufacturing","327991","005.5","002.0","014.0","014.8"
"      Mineral wool manufacturing","327993","001.7","000.3","018.3","016.0"
"      All other miscellaneous nonmetallic mineral product manufacturing","327999","002.0","000.3","015.8","019.2"
"   Primary metal manufacturing","331","003.2","012.4","003.1","003.2"
"    Iron and steel mills and ferroalloy manufacturing","3311","001.9","001.8","005.4","005.1"
"    Steel product manufacturing from purchased steel","3312","003.1","001.9","007.8","008.6"
"     Iron and steel pipe and tube manufacturing from purchased steel","33121","002.8","000.8","010.4","011.5"
"     Rolling and drawing of purchased steel","33122","003.3","001.1","011.0","012.2"
"      Rolled steel shape manufacturing","331221","003.0","000.7","016.8","018.4"
"      Steel wire drawing","331222","004.0","000.4","010.5","011.0"
"    Alumina and aluminum production and processing","3313","002.3","001.5","007.3","007.7"
"     Alumina and aluminum production and processing","33131","002.3","001.5","007.3","007.7"
"      Alumina refining and primary aluminum production","331313","002.2","000.2","010.0","012.1"
"      Aluminum sheet, plate, and foil manufacturing","331315","001.2","000.2","009.6","011.5"
"      Other aluminum rolling, drawing, and extruding","331318","002.7","000.8","012.4","012.7"
"    Nonferrous metal (except aluminum) production and processing","3314","002.8","001.8","007.2","007.5"
"     Nonferrous metal (except aluminum) smelting and refining","33141","002.4","000.2","019.6","019.1"
"     Copper rolling, drawing, extruding, and alloying","33142","002.9","000.9","010.6","011.2"
"     Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying","33149","002.7","000.7","011.1","011.5"
"      Nonferrous metal (except copper and aluminum) rolling, drawing, and extruding","331491","002.7","000.4","017.4","018.2"
"      Secondary smelting, refining, and alloying of nonferrous metal (except copper and aluminum)","331492","002.8","000.3","011.9","011.9"
"    Foundries","3315","004.9","005.5","005.2","005.4"
"     Ferrous metal foundries","33151","005.6","003.3","006.8","006.8"
"      Iron foundries","331511","006.4","002.3","008.0","008.3"
"      Steel investment foundries","331512","003.9","000.4","022.6","023.3"
"      Steel foundries (except investment)","331513","005.0","000.6","013.9","012.0"
"     Nonferrous metal foundries","33152","004.1","002.2","008.2","009.0"
"      Nonferrous metal die-casting foundries","331523","004.1","001.0","009.5","010.4"
"      Aluminum foundries (except die-casting)","331524","005.3","000.8","015.0","018.4"
"      Other nonferrous metal foundries (except die-casting)","331529","002.6","000.3","019.3","016.3"
"   Fabricated metal product manufacturing","332","003.0","042.7","002.4","002.5"
"    Forging and stamping","3321","003.7","003.4","005.8","006.2"
"     Forging and stamping","33211","003.7","003.4","005.8","006.2"
"      Iron and steel forging","332111","003.6","000.7","017.0","017.0"
"      Nonferrous forging","332112","003.8","000.3","016.9","022.7"
"      Custom roll forming","332114","004.1","000.2","020.5","023.0"
"      Powder metallurgy part manufacturing","332117","002.8","000.3","016.5","018.2"
