"Table 2: Innovation activity: Percentage of businesses investing in each type of activity, 2018 to 2020","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Cells in some rows have been left blank. This occurs where the start of the row indicates the employment size group, country or English region or Industrial information / Sector to which data in the rows following refer.  ","","","","","","","","","","","","","","","","",""
"Freeze panes are turned on. To turn off, select 'View' ribbon then 'Freeze panes', then 'Unfreeze panes' or use (Alt,W,F).","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"Employment size, Country / English region, Industrial information / Sampling sector","Internal R&D (percentage)","Acquisition of external R&D (percentage)","Total machinery and equipment, computer hardware or software (percentage)","Machinery and equipment (percentage)","Computer hardware (percentage)","Computer software (percentage)","Acquisition of existing knowledge (percentage)","Training for innovative activities (percentage)","Any form of design activity (percentage)","Total market introduction of innovation including i) Changes to product or service design, ii) Market research, iii) Changes to marketing methods (percentage)","Changes to product or service design (percentage)","Market research (percentage)","Changes to marketing methods (percentage)","Launch advertising (percentage)","","",""
"West Midlands","16.5","4.9","38.3","20.1","24.7","26.1","4.3","14.0","14.3","13.7","6.4","1.9","7.7","6.9","","",""
"East of England","17.9","5.8","37.4","18.1","26.7","25.0","5.2","16.3","15.7","10.9","8.2","3.7","5.6","6.0","","",""
"London","15.4","4.4","30.3","8.6","21.1","21.7","3.8","11.9","13.6","10.2","5.2","4.2","5.2","6.3","","",""
"South East","14.7","5.8","35.0","14.5","24.0","26.0","4.2","13.3","13.5","10.9","5.7","3.8","6.5","5.9","","",""
"South West","17.0","5.0","34.8","17.1","24.3","25.2","5.3","15.6","13.6","11.0","5.6","3.2","6.6","6.1","","",""
"Broad sectors","","","","","","","","","","","","","","","","",""
"Primary Sector","14.5","3.6","32.5","21.5","15.9","20.0","3.7","10.9","10.7","5.8","2.6","[c]","1.5","2.2","","",""
"Engineering-based manufacturing","46.8","13.1","49.7","36.8","31.0","33.5","6.4","20.9","35.8","19.5","14.2","7.5","8.4","10.8","","",""
"Other manufacturing","26.6","6.7","45.9","35.8","25.7","25.3","4.8","14.1","20.6","13.6","8.2","4.2","7.5","7.4","","",""
"Construction","12.5","5.9","33.2","13.2","24.5","22.0","4.2","16.6","10.6","7.5","3.6","1.1","3.9","3.9","","",""
"Retail & distribution","12.1","4.7","33.0","16.3","22.8","23.9","3.8","10.4","12.6","11.5","5.1","3.2","6.7","7.3","","",""
"Knowledge intensive services","38.1","10.8","42.9","10.3","31.6","34.9","8.0","23.6","22.1","17.6","11.3","8.3","10.5","11.0","","",""
"Other services","8.2","3.2","29.3","10.6","20.1","20.4","3.5","11.7","9.7","7.9","3.9","2.1","4.7","4.2","","",""
"Production / construction or distribution / service industry","","","","","","","","","","","","","","","","",""
"Production and construction industries","22.9","7.0","40.8","26.6","25.3","24.7","4.7","15.6","18.0","11.6","6.9","3.2","5.9","6.2","","",""
"Distribution and service industries","13.8","4.8","32.4","12.1","22.6","23.6","4.2","13.1","12.4","10.4","5.3","3.3","6.1","6.1","","",""
"Sampling sectors","","","","","","","","","","","","","","","","",""
"Mining and Quarrying","14.2","[c]","41.0","30.6","17.4","20.0","[c]","12.9","9.9","[c]","[c]","[c]","[c]","[c]","","",""
"Manufacture of food, clothing, wood, paper, publish and print","24.5","6.3","44.1","36.1","24.2","19.8","4.8","12.3","22.2","15.3","9.6","5.2","7.7","7.8","","",""
"Manufacture of fuels, chemicals, plastic metals and minerals","29.0","6.6","47.1","38.4","26.3","28.5","4.3","14.8","19.7","12.7","7.9","3.6","8.4","7.6","","",""
"Manufacture of electrical and optical equipments","47.6","13.6","50.6","37.0","31.9","34.8","6.5","21.5","36.7","20.3","14.9","8.7","9.1","12.0","","",""
"Manufacture of transport equipments","43.4","11.0","46.1","35.9","27.5","28.1","6.1","18.2","32.0","16.2","11.3","2.5","5.6","5.5","","",""
"Manufacturing not elsewhere classified","24.1","7.9","46.2","28.0","27.1","28.2","6.0","15.6","19.5","12.8","6.0","3.5","4.1","6.1","","",""
"Electricity, gas and water supply","14.5","3.5","31.2","20.2","15.7","20.0","4.2","10.6","10.8","6.2","2.8","[c]","1.7","2.4","","",""
"Construction","12.5","5.9","33.2","13.2","24.5","22.0","4.2","16.6","10.6","7.5","3.6","1.1","3.9","3.9","","",""
"Wholesale Trade (including cars and bikes)","14.5","5.7","33.4","17.1","22.9","23.6","4.0","11.2","12.9","12.0","4.8","3.5","6.5","7.3","","",""
"Retail Trade (excluding cars and bikes)","9.1","3.5","32.6","15.3","22.6","24.4","3.5","9.3","12.1","10.9","5.5","2.9","6.9","7.2","","",""
"Transport and storage","8.3","4.2","35.0","17.7","26.6","21.6","3.5","14.6","7.0","4.9","2.0","[c]","2.8","3.4","","",""
"Post and courier activities","4.9","[c]","24.0","10.7","12.5","16.7","[c]","10.4","5.9","[c]","[c]","[c]","[c]","[c]","","",""
"Accommodation and Food Services","4.7","1.7","24.6","13.5","15.2","14.8","2.6","9.6","10.2","7.8","3.8","1.7","4.7","5.1","","",""
"Computer and related activities/ ICT","47.9","11.6","39.6","6.3","30.1","33.1","8.7","24.3","25.5","20.7","15.3","10.5","11.8","13.6","","",""
"Motion picture, video and tv programme production/ programming and broadcasting","11.3","2.2","26.4","13.3","25.3","23.0","[c]","4.4","13.1","3.5","[c]","[c]","[c]","[c]","","",""
"Telecommunications","31.4","7.2","39.5","6.9","28.6","29.0","8.1","14.4","12.1","13.8","6.0","8.3","10.1","7.0","","",""
"Financial intermediation","16.0","5.1","37.2","2.8","27.6","30.1","5.3","15.5","8.8","13.4","6.9","3.8","8.3","6.9","","",""
"Real estate activities","2.5","4.0","29.8","2.7","20.6","24.1","3.3","8.0","9.4","4.8","1.1","2.2","3.9","2.0","","",""
"Other services not elsewhere classified","10.8","3.4","32.1","5.1","22.9","25.5","3.8","13.5","8.0","7.9","3.9","2.2","5.0","3.5","","",""
"Architectural and engineering activities and related technical consultancy","37.9","14.4","52.1","18.1","36.4","43.0","8.2","28.9","29.2","16.0","9.1","8.2","10.8","10.4","","",""
"Technical testing and analysis","25.8","8.5","52.0","33.0","34.1","32.1","6.5","31.9","16.2","15.3","7.9","[c]","8.7","8.6","","",""
"Research and experimental development on social sciences and humanities","58.0","15.5","53.6","36.5","42.6","41.3","13.0","31.8","25.7","19.0","8.5","10.6","7.9","12.7","","",""
"Advertising and market research","26.7","9.7","34.9","8.4","28.3","31.6","4.9","20.1","21.0","16.8","12.5","4.8","8.0","[c]","","",""
"Other professional, scientific and technical activities","23.1","10.5","41.0","12.3","30.2","28.2","10.3","20.8","19.7","20.0","9.1","8.3","10.7","6.6","","",""
"Renting of machinery, equipment, personal and household goods","13.2","4.3","29.7","18.0","16.3","17.9","2.9","7.5","9.1","7.3","5.1","2.1","3.7","3.8","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
