"Year","2020","","","","","","","2021","","","","","","","2022","","","","","","","2023","","","","","",""
" ","Number of establishments","Number of persons engaged","Compensation of employees","Operating expenses","Business receipts and other income (1)","Industry value added","Gross surplus","Number of establishments","Number of persons engaged","Compensation of employees","Operating expenses","Business receipts and other income (1)","Industry value added","Gross surplus","Number of establishments","Number of persons engaged","Compensation of employees","Operating expenses","Business receipts and other income (1)","Industry value added","Gross surplus","Number of establishments","Number of persons engaged","Compensation of employees","Operating expenses","Business receipts and other income (1)","Industry value added","Gross surplus"
"Container terminal and marine cargo terminal operators","6","2 845","1,320,479","3,310,330","7,492,198","3,923,717","2,861,389","6","2 694","1,286,886","3,424,393","8,242,749","4,492,960","3,531,470","6","2 615","1,271,509","3,455,084","7,546,755","3,840,435","2,820,162","6","2 426","1,229,205","3,039,989","6,041,582","3,062,002","1,772,387"
"Mid-stream operation and container back-up activities","245","3 079","1,070,669","2,674,391","5,198,213","2,552,080","1,453,153","256","3 362","1,131,818","2,854,033","5,666,599","2,856,388","1,680,747","277","3 343","1,097,128","2,564,296","5,369,661","2,522,789","1,708,237","294","3 309","1,041,839","2,463,075","5,194,039","2,381,486","1,689,126"
"Hong Kong-based airline and helicopter companies","9","17 226","15,589,365","41,130,242","58,425,344","18,914,638","1,705,737","9","16 256","10,491,102","38,189,248","56,576,051","20,294,962","7,895,701","9","16 329","10,096,532","41,414,416","61,183,250","21,390,367","9,672,302","8","18 571","13,782,061","70,929,301","113,012,637","44,420,335","28,301,275"
"Local representative offices of overseas airline companies","69","1 872","761,050","439,399","1,515,028","908,891","314,579","68","1 579","764,206","326,113","1,203,085","766,877","112,766","58","1 355","745,100","402,647","1,473,136","472,213","325,389","59","1 357","739,259","584,948","1,359,539","760,228","35,332"
"Service activities incidental to air transportation","43","14 430","5,659,492","9,708,833","13,817,646","3,953,740","-1,550,680","47","11 165","4,588,681","8,446,540","10,274,965","1,935,357","-2,760,256","47","10 253","4,301,626","8,928,629","12,513,899","3,233,461","-716,357","49","10 997","5,157,098","15,275,641","21,654,219","5,723,000","1,221,481"
"Air and sea cargo forwarding services","3 401","28 949","10,931,144","126,572,338","145,215,928","14,278,046","7,712,446","3 353","29 711","11,571,724","227,995,154","262,365,388","25,168,986","22,798,510","3 251","29 636","12,251,550","243,663,079","284,590,793","26,901,791","28,676,164","3 268","28 316","11,238,000","190,038,954","222,324,354","21,161,978","21,047,399"
"General cargo warehouses","647","7 741","2,050,917","5,835,036","9,798,264","3,832,561","1,912,310","682","8 931","2,431,544","7,863,031","12,753,329","4,985,291","2,458,754","747","9 556","2,494,866","7,123,272","11,935,238","4,958,792","2,317,100","822","10 003","2,728,136","7,646,998","12,858,671","5,243,606","2,483,537"
"International courier activities","170","9 056","3,615,709","31,497,456","38,379,309","7,043,468","3,266,143","181","9 560","3,888,322","38,146,523","46,185,080","8,282,572","4,150,235","188","9 499","3,881,728","33,599,686","39,804,549","6,399,254","2,323,135","178","9 287","3,686,648","30,300,750","35,314,850","5,244,821","1,327,453"
" ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Note(s):","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1 Figures for 2020 to 2022 include the amount of subsidy related to anti-epidemic measures.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Source:","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Logistics & Producer Prices Statistics Section,
Census and Statistics Department
Tel. : (852) 3903 7256
Email : transport@censtatd.gov.hk","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Release Date: 2024 年 12 月 31 日","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
