"arpd_chg","The difference in the apparent redox potential discontinuity (aRPD) between 2008 and 2018 (arpd08-arpd18).","","","","",""
"nbep_div","Bay divisions were based on grouping NBEP bay segments along similarities in the benthic community. PS: Providence and Seekonk Rivers. UB: Upper Bay, Upper East & West Passages, Greenwich Bay. MB: Middle East & West Passages. LB: Lower East & West Passages. MHB: Mount Hope Bay. MO: Mouth of Narragansett Bay.","","","","",""
"DataSource","The source(s) of the primary data used to produce this dataset (Shumchenia et al. 2019)","","","","",""
"SourceYear","The publication year(s) of the primary data used to produce this dataset.","","","","",""
"NBEPYear","The publication year of the NBEP State of Narragansett Bay & Its Watershed Technical Report associated with this dataset.","","","","",""
"","","","","","",""
"Excel Sheet","ByBayDivision","","","","",""
"Summary","This excel table summarizes final benthic habitat types (biotopes) for each bay division in Narragansett Bay, for 1988, 2008, and 2018.","","","","",""
"","","","","","",""
"Column Headings","","","","","",""
"Bay Division","Bay divisions were based on grouping NBEP bay segments along similarities in the benthic community.","","","","",""
"Abbreviation","Abbreviation for the bay division.","","","","",""
"Year","The year the data were collected.","","","","",""
"UN.SF","Organic-rich mud with tolerant species such as Beggiatoa spp., tube-building polychaetes, and shallow burrowing fauna.","","","","",""
"UN.SI","Burrowing fauna on mud. Tubebuilding polychaetes, larger tubebuilders such as Chaetopterus, or deep burrowing fauna may be present.","","","","",""
"UN.ST","Small tube-building fauna on mud or organic-rich mud. Larger tube builders, such as Chaetopterus, and shallow or deep-burrowing fauna may be present.","","","","",""
"UN.SS","Burrowing and tube-building fauna on sandy mud.","","","","",""
"AM","Ampelisca beds occasionally with other small tube-building and shallowburrowing fauna on substrates ranging from organic-rich muds to sand. Beggiatoa spp. or Mulinia lateralis may be present.","","","","",""
"UN.SH","Burrowing fauna on mud with shell hash. Tube-building polychaetes or deep burrowing fauna may be present.","","","","",""
"SH.SA","Very coarse sands with shell hash. Rafting macroalgae or Crepidula beds may be present.","","","","",""
"SA","Hard sands with epibenthic sponges, rafting or attached macroalgae, and/or mobile gastropods.","","","","",""
"SH.SI","Crepidula bed on mud. Mobile crustaceans, gastropods, or Beggiatoa spp. may be present","","","","",""
"Other","Other habitat.","","","","",""
"DataSource","The source(s) of the primary data used to produce this dataset (Shumchenia et al. 2019)","","","","",""
"SourceYear","The publication year(s) of the primary data used to produce this dataset.","","","","",""
"NBEPYear","The publication year of the NBEP State of Narragansett Bay & Its Watershed Technical Report associated with this dataset.","","","","",""
"","","","","","",""
"Excel Sheet","ByStudyArea","","","","",""
"Summary","This excel table summarizes final benthic habitat types (biotopes) for all of Narragansett Bay, for 1988, 2008, and 2018.","","","","",""
"","","","","","",""
"Column Headings","","","","","",""
"StudyArea","The NBEP study area in  which sampling was conducted.","","","","",""
"Year","The year the data were collected.","","","","",""
"UN.SF","Organic-rich mud with tolerant species such as Beggiatoa spp., tube-building polychaetes, and shallow burrowing fauna.","","","","",""
"UN.SI","Burrowing fauna on mud. Tubebuilding polychaetes, larger tubebuilders such as Chaetopterus, or deep burrowing fauna may be present.","","","","",""
"UN.ST","Small tube-building fauna on mud or organic-rich mud. Larger tube builders, such as Chaetopterus, and shallow or deep-burrowing fauna may be present.","","","","",""
"UN.SS","Burrowing and tube-building fauna on sandy mud.","","","","",""
"AM","Ampelisca beds occasionally with other small tube-building and shallowburrowing fauna on substrates ranging from organic-rich muds to sand. Beggiatoa spp. or Mulinia lateralis may be present.","","","","",""
"UN.SH","Burrowing fauna on mud with shell hash. Tube-building polychaetes or deep burrowing fauna may be present.","","","","",""
"SH.SA","Very coarse sands with shell hash. Rafting macroalgae or Crepidula beds may be present.","","","","",""
"SA","Hard sands with epibenthic sponges, rafting or attached macroalgae, and/or mobile gastropods.","","","","",""
"SH.SI","Crepidula bed on mud. Mobile crustaceans, gastropods, or Beggiatoa spp. may be present","","","","",""
"Other","Other habitat.","","","","",""
"DataSource","The source(s) of the primary data used to produce this dataset (Shumchenia et al. 2019)","","","","",""
"SourceYear","The publication year(s) of the primary data used to produce this dataset.","","","","",""
"NBEPYear","The publication year of the NBEP State of Narragansett Bay & Its Watershed Technical Report associated with this dataset.","","","","",""
"","","","","","",""
