"TABLE Q5. Incidence rates1 of other recordable cases of nonfatal occupational injuries and illnesses by quartile distribution and employment size, 2023                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ","","","",""
"Industry, NAICS code2, and establishment employment size                                                               ","Average incidence rates for all establishments: 
    (mean)","One-quarter of the establishments had a rate lower than or equal to: 
    (1st quartile)","One-half of the establishments had a rate lower than or equal to: 
    (median)","Three-fourths of the establishments had a rate lower than or equal to: 
    (3rd quartile)"
"Logging (NAICS 113300)","","","",""
"Total all sizes","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.8","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.2","(-3-)   ","(-3-)   ","001.0"
"Support activities for agriculture and forestry (NAICS 115000)","","","",""
"Total all sizes","001.3","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.1","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.4","(-3-)   ","(-3-)   ","001.4"
"   250 - 999","001.8","(-3-)   ","001.1","002.6"
"   1,000+","001.3","000.4","001.1","002.8"
"Support activities for crop production (NAICS 115100)","","","",""
"Total all sizes","001.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.3","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.4","(-3-)   ","(-3-)   ","001.2"
"   250 - 999","001.8","(-3-)   ","001.2","002.7"
"   1,000+","001.3","000.4","001.1","002.8"
"Support activities for crop production (NAICS 115110)","","","",""
"Total all sizes","001.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.3","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.4","(-3-)   ","(-3-)   ","001.2"
"   250 - 999","001.8","(-3-)   ","001.2","002.7"
"   1,000+","001.3","000.4","001.1","002.8"
"Soil preparation, planting, and cultivating (NAICS 115112)","","","",""
"Total all sizes","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","002.3","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","002.5","-","-","-"
"   250 - 999","-","-","-","-"
"Postharvest crop activities (except cotton ginning) (NAICS 115114)","","","",""
"Total all sizes","001.6","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.5","(-3-)   ","(-3-)   ","001.2"
"   250 - 999","001.9","000.6","001.7","002.6"
"   1,000+","001.3","-","-","-"
"Farm labor contractors and crew leaders (NAICS 115115)","","","",""
"Total all sizes","001.3","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.1","(-3-)   ","(-3-)   ","000.9"
"   250 - 999","001.9","(-3-)   ","001.0","003.4"
"   1,000+","001.3","000.2","001.0","002.7"
"Farm management services (NAICS 115116)","","","",""
"   50 - 249","001.8","-","-","-"
"   250 - 999","001.8","-","-","-"
"Support activities for animal production (NAICS 115200)","","","",""
"Total all sizes","000.7","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","002.1","-","-","-"
"Support activities for forestry (NAICS 115300)","","","",""
"   50 - 249","001.6","(-3-)   ","(-3-)   ","002.3"
"Mining, quarrying, and oil and gas extraction6","","","",""
"Total all sizes","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.3","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.5","(-3-)   ","(-3-)   ","000.8"
"   250 - 999","000.5","000.1","000.6","000.6"
"   1,000+","000.3","000.1","000.1","000.5"
"Oil and gas extraction (NAICS 211000)","","","",""
"Total all sizes","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.4","(-3-)   ","(-3-)   ","001.4"
"   250 - 999","000.4","(-3-)   ","(-3-)   ","000.9"
"   1,000+","-","-","-","-"
"Oil and gas extraction (NAICS 211100)","","","",""
"Total all sizes","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.4","(-3-)   ","(-3-)   ","001.4"
"   250 - 999","000.4","(-3-)   ","(-3-)   ","000.9"
"   1,000+","-","-","-","-"
"Crude petroleum extraction (NAICS 211120)7","","","",""
"Total all sizes","000.2","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.3","(-3-)   ","(-3-)   ","(-3-)   "
"   250 - 999","000.1","-","-","-"
"   1,000+","-","-","-","-"
"Natural gas extraction (NAICS 211130)7","","","",""
"Total all sizes","000.7","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.6","(-3-)   ","000.6","001.4"
"   250 - 999","001.0","-","-","-"
"Mining (except oil and gas) (NAICS 212000)5,8","","","",""
"Total all sizes","000.6","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.8","(-3-)   ","(-3-)   ","001.3"
"   250 - 999","000.6","(-3-)   ","000.4","000.8"
"   1,000+","000.4","-","-","-"
"Coal mining (NAICS 212100)5,8","","","",""
"Total all sizes","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","000.6","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.2","(-3-)   ","000.7","001.7"
"   250 - 999","000.8","000.2","000.7","001.1"
"   1,000+","-","-","-","-"
"Coal mining (NAICS 212110)5,8","","","",""
"Total all sizes","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","000.6","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.2","(-3-)   ","000.7","001.7"
"   250 - 999","000.8","000.2","000.7","001.1"
"   1,000+","-","-","-","-"
"Bituminous coal and lignite surface mining (NAICS 212111)5,8","","","",""
"Total all sizes","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.5","(-3-)   ","(-3-)   ","000.8"
"   250 - 999","000.3","-","-","-"
"   1,000+","-","-","-","-"
"Bituminous coal underground mining (NAICS 212112)5,8","","","",""
"Total all sizes","001.2","(-3-)   ","(-3-)   ","001.7"
"   1 - 10","-","-","-","-"
"   11 - 49","001.2","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.7","(-3-)   ","001.3","002.6"
"   250 - 999","001.0","000.3","000.9","001.5"
"Anthracite mining (NAICS 212113)5,8","","","",""
"Total all sizes","-","-","-","-"
"   1 - 10","-","-","-","-"
"   11 - 49","-","-","-","-"
"   50 - 249","-","-","-","-"
"Metal ore mining (NAICS 212200)5,8","","","",""
"Total all sizes","000.5","(-3-)   ","(-3-)   ","000.4"
"   1 - 10","-","-","-","-"
"   11 - 49","-","-","-","-"
"   50 - 249","000.7","(-3-)   ","000.4","001.2"
"   250 - 999","000.5","(-3-)   ","000.4","000.6"
"   1,000+","000.4","-","-","-"
"Iron ore mining (NAICS 212210)5,8","","","",""
"Total all sizes","000.5","(-3-)   ","(-3-)   ","000.5"
"   50 - 249","-","-","-","-"
"   250 - 999","000.5","-","-","-"
"   1,000+","-","-","-","-"
"Gold ore and silver ore mining (NAICS 212220)5,8","","","",""
"Total all sizes","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","-","-","-","-"
"   50 - 249","000.7","(-3-)   ","000.4","001.8"
"   250 - 999","000.5","(-3-)   ","000.3","000.6"
"Gold ore mining (NAICS 212221)5,8","","","",""
"Total all sizes","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","-","-","-","-"
"   50 - 249","000.7","(-3-)   ","000.4","001.8"
"   250 - 999","000.4","(-3-)   ","000.3","000.6"
"Silver ore mining (NAICS 212222)5,8","","","",""
"Total all sizes","001.1","-","-","-"
"   250 - 999","001.1","-","-","-"
"Copper, nickel, lead, and zinc mining (NAICS 212230)5,8","","","",""
"Total all sizes","000.5","(-3-)   ","000.1","000.8"
"   11 - 49","-","-","-","-"
"   50 - 249","-","-","-","-"
"   250 - 999","000.5","-","-","-"
"   1,000+","000.5","-","-","-"
"Other metal ore mining (NAICS 212290)5,8","","","",""
"Total all sizes","000.5","(-3-)   ","(-3-)   ","000.5"
"   11 - 49","-","-","-","-"
"   50 - 249","-","-","-","-"
"   250 - 999","-","-","-","-"
"   1,000+","-","-","-","-"
"Uranium-radium-vanadium ore mining (NAICS 212291)5,8","","","",""
"Total all sizes","-","-","-","-"
"   11 - 49","-","-","-","-"
"All other metal ore mining (NAICS 212299)5,8","","","",""
"Total all sizes","000.4","(-3-)   ","(-3-)   ","000.5"
"   11 - 49","-","-","-","-"
"   50 - 249","-","-","-","-"
"   250 - 999","-","-","-","-"
"   1,000+","-","-","-","-"
"Nonmetallic mineral mining and quarrying (NAICS 212300)5,8","","","",""
"Total all sizes","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.7","(-3-)   ","(-3-)   ","001.1"
"   250 - 999","000.3","(-3-)   ","000.3","000.4"
"Stone mining and quarrying (NAICS 212310)5,8","","","",""
"Total all sizes","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.6","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.7","(-3-)   ","(-3-)   ","001.1"
"   250 - 999","-","-","-","-"
"Dimension stone mining and quarrying (NAICS 212311)5,8","","","",""
"Total all sizes","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","-","-","-","-"
"Crushed and broken limestone mining and quarrying (NAICS 212312)5,8","","","",""
"Total all sizes","000.6","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.8","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.7","(-3-)   ","(-3-)   ","001.1"
"   250 - 999","-","-","-","-"
"Crushed and broken granite mining and quarrying (NAICS 212313)5,8","","","",""
"Total all sizes","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","000.3","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","-","-","-","-"
"Other crushed and broken stone mining and quarrying (NAICS 212319)5,8","","","",""
"Total all sizes","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.0","(-3-)   ","001.0","001.4"
"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying (NAICS 212320)5,8","","","",""
"Total all sizes","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.6","(-3-)   ","(-3-)   ","001.1"
"   250 - 999","-","-","-","-"
"Construction sand and gravel mining (NAICS 212321)5,8","","","",""
"Total all sizes","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.6","(-3-)   ","(-3-)   ","001.1"
"Kaolin and ball clay mining (NAICS 212324)5,8","","","",""
"Total all sizes","000.3","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","-","-","-","-"
"   50 - 249","-","-","-","-"
"   250 - 999","-","-","-","-"
"Clay and ceramic and refractory minerals mining (NAICS 212325)5,8","","","",""
"Total all sizes","-","-","-","-"
"   11 - 49","-","-","-","-"
"   50 - 249","-","-","-","-"
"Other nonmetallic mineral mining and quarrying (NAICS 212390)5,8","","","",""
"Total all sizes","000.6","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","000.8","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.8","(-3-)   ","(-3-)   ","001.3"
"   250 - 999","000.3","-","-","-"
"Potash, soda, and borate mineral mining (NAICS 212391)5,8","","","",""
"Total all sizes","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   250 - 999","-","-","-","-"
"Phosphate rock mining (NAICS 212392)5,8","","","",""
"Total all sizes","-","-","-","-"
"   50 - 249","-","-","-","-"
"   250 - 999","-","-","-","-"
"Other chemical and fertilizer mineral mining (NAICS 212393)5,8","","","",""
"Total all sizes","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.0","(-3-)   ","(-3-)   ","001.8"
"All other nonmetallic mineral mining (NAICS 212399)5,8","","","",""
"Total all sizes","000.7","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","-","-","-","-"
"   11 - 49","-","-","-","-"
"   50 - 249","-","-","-","-"
"Support activities for mining (NAICS 213000)","","","",""
"Total all sizes","000.3","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.2","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.3","(-3-)   ","(-3-)   ","(-3-)   "
"   250 - 999","000.4","000.3","000.6","000.6"
"   1,000+","000.3","-","-","-"
"Support activities for mining (NAICS 213100)","","","",""
"Total all sizes","000.3","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.2","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.3","(-3-)   ","(-3-)   ","(-3-)   "
"   250 - 999","000.4","000.3","000.6","000.6"
"   1,000+","000.3","-","-","-"
"Support activities for mining (NAICS 213110)","","","",""
"Total all sizes","000.3","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.2","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.3","(-3-)   ","(-3-)   ","(-3-)   "
"   250 - 999","000.4","000.3","000.6","000.6"
"   1,000+","000.3","-","-","-"
"Drilling oil and gas wells (NAICS 213111)","","","",""
"Total all sizes","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.6","(-3-)   ","(-3-)   ","(-3-)   "
"   250 - 999","000.4","-","-","-"
"Support activities for oil and gas operations (NAICS 213112)","","","",""
"Total all sizes","000.3","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.2","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.2","(-3-)   ","(-3-)   ","(-3-)   "
"   250 - 999","000.4","000.3","000.6","000.6"
"   1,000+","000.2","-","-","-"
"Construction","","","",""
"Total all sizes","000.8","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.1","(-3-)   ","(-3-)   ","001.5"
"   250 - 999","000.6","(-3-)   ","000.4","000.8"
"   1,000+","000.4","000.1","000.3","000.6"
"Construction","","","",""
"Total all sizes","000.8","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.5","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.1","(-3-)   ","(-3-)   ","001.5"
"   250 - 999","000.6","(-3-)   ","000.4","000.8"
"   1,000+","000.4","000.1","000.3","000.6"
"Construction of buildings (NAICS 236000)","","","",""
"Total all sizes","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.1","(-3-)   ","(-3-)   ","001.1"
"   250 - 999","000.5","(-3-)   ","000.3","000.6"
"   1,000+","000.5","000.2","000.2","000.7"
"Residential building construction (NAICS 236100)","","","",""
"Total all sizes","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.0","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.8","(-3-)   ","(-3-)   ","001.7"
"   250 - 999","000.6","(-3-)   ","000.3","000.6"
"Nonresidential building construction (NAICS 236200)","","","",""
"Total all sizes","000.7","(-3-)   ","(-3-)   ","(-3-)   "
"   1 - 10","000.7","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.8","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.8","(-3-)   ","(-3-)   ","000.8"
"   250 - 999","000.5","(-3-)   ","000.3","000.6"
"   1,000+","000.5","000.2","000.2","000.7"
"Heavy and civil engineering construction (NAICS 237000)","","","",""
"Total all sizes","000.7","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.6","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.9","(-3-)   ","(-3-)   ","001.3"
"   250 - 999","000.5","(-3-)   ","000.4","000.7"
"   1,000+","000.3","000.1","000.2","000.4"
"Utility system construction (NAICS 237100)","","","",""
"Total all sizes","000.7","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.6","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.0","(-3-)   ","(-3-)   ","001.5"
"   250 - 999","000.4","(-3-)   ","000.3","000.7"
"   1,000+","000.2","-","-","-"
"Water and sewer line and related structures construction (NAICS 237110)","","","",""
"Total all sizes","001.1","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.8","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.8","(-3-)   ","001.2","003.7"
"   250 - 999","000.5","(-3-)   ","000.4","000.7"
"Oil and gas pipeline and related structures construction (NAICS 237120)","","","",""
"Total all sizes","000.3","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.3","(-3-)   ","(-3-)   ","(-3-)   "
"   250 - 999","000.3","(-3-)   ","000.2","000.5"
"   1,000+","000.1","-","-","-"
"Power and communication line and related structures construction (NAICS 237130)","","","",""
"Total all sizes","000.7","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.7","(-3-)   ","(-3-)   ","001.3"
"   250 - 999","000.5","000.2","000.4","000.8"
"   1,000+","000.5","-","-","-"
"Land subdivision (NAICS 237200)","","","",""
"Total all sizes","000.3","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.9","(-3-)   ","(-3-)   ","001.1"
"   250 - 999","-","-","-","-"
"Highway, street, and bridge construction (NAICS 237300)","","","",""
"Total all sizes","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.8","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.0","(-3-)   ","(-3-)   ","001.2"
"   250 - 999","000.6","(-3-)   ","000.5","001.0"
"   1,000+","000.4","-","-","-"
"Other heavy and civil engineering construction (NAICS 237900)","","","",""
"Total all sizes","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.4","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","000.4","(-3-)   ","(-3-)   ","000.8"
"   250 - 999","000.5","-","-","-"
"Specialty trade contractors (NAICS 238000)","","","",""
"Total all sizes","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","000.9","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.2","(-3-)   ","(-3-)   ","001.6"
"   250 - 999","000.8","(-3-)   ","000.5","001.0"
"   1,000+","000.4","000.1","000.3","000.6"
"Foundation, structure, and building exterior contractors (NAICS 238100)","","","",""
"Total all sizes","001.1","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.3","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.3","(-3-)   ","(-3-)   ","001.8"
"   250 - 999","001.3","(-3-)   ","000.6","002.9"
"   1,000+","000.6","-","-","-"
"Poured concrete foundation and structure contractors (NAICS 238110)","","","",""
"Total all sizes","001.1","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.5","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.1","(-3-)   ","(-3-)   ","001.2"
"   250 - 999","001.4","000.4","000.6","003.8"
"   1,000+","000.6","-","-","-"
"Structural steel and precast concrete contractors (NAICS 238120)","","","",""
"Total all sizes","001.4","(-3-)   ","(-3-)   ","(-3-)   "
"   11 - 49","001.1","(-3-)   ","(-3-)   ","(-3-)   "
"   50 - 249","001.7","(-3-)   ","001.1","002.1"
"   250 - 999","000.2","-","-","-"
"","","","",""
"1The incidence rates represent the number of injuries and illnesses per 100 full-time equivalent workers and were calculated as: (N/EH) x 200,000, where ","","","",""
"     N = number of injuries and illnesses                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ","","","",""
"     EH = total hours worked by all employees during the calendar year                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ","","","",""
"     200,000 = base for 100 full-time equivalent workers (working 40 hours per week, 50 weeks per year)","","","",""
"2North American Industry Classification System -- United States, 2017","","","",""
"3Data too small to be displayed.","","","",""
