"raw clone size data used for Figure 5a,d, Extended Data Figure 11a,b from ovariectomized confetti mouse model","","","","","","","","",""
"","","","","","","","","",""
"","1","","4","","","","1","",""
"","2","","5","","","","3","",""
"","1","","4","","","","4","",""
"","3","","5","","","","2","",""
"","1","","1","","","","2","",""
"","1","","17","","","","3","",""
"","1","","6","","","","2","",""
"","1","","8","","","","3","",""
"","1","","3","","","","1","",""
"","2","","2","","","","1","",""
"","1","","4","","","","1","",""
"","1","","16","","","","1","",""
"","1","","5","","","","1","",""
"","1","","2","","","","2","",""
"","1","","4","","","","2","",""
"","1","","3","","","","1","",""
"","1","","6","","","","2","",""
"","1","","6","","","","2","",""
"","2","","1","","","","1","",""
"","3","","2","","","","2","",""
"","1","","1","","","","1","",""
"","1","","13","","","","1","",""
"","1","","4","","","","1","",""
"","1","","3","","","","1","",""
"","1","","1","","","","2","",""
"","2","","1","","","","1","",""
"","1","","2","","","","11","",""
"","2","","4","","","","1","",""
"","1","","3","","","","1","",""
"","1","","2","","","","3","",""
"","1","","2","","","","1","",""
"","1","","1","","","","1","",""
"","1","","1","","","","1","",""
"","1","","9","","","","5","",""
"","1","","2","","","","3","",""
"","1","","2","","","","3","",""
"","1","","4","","","","2","",""
"","3","","1","","","","2","",""
"","1","","2","","","","2","",""
"","1","","3","","","","5","",""
"","1","","1","","","","1","",""
"","1","","1","","","","2","",""
"","1","","2","","","","1","",""
"","1","","2","","","","2","",""
"","2","","3","","","","1","",""
"","1","","2","","","","2","",""
"","1","","1","","","","1","",""
"","4","","4","","","","2","",""
"","1","","1","","","","3","",""
"","1","","2","","","","1","",""
"","1","","2","","","","2","",""
"","1","","1","","","","2","",""
"","1","","1","","","","1","",""
"","2","","15","","","","1","",""
"","1","","6","","","","1","",""
"","1","","4","","","","2","",""
"","1","","4","","","","6","",""
"","1","","5","","","","1","",""
"","3","","4","","","","1","",""
"","1","","1","","","","1","",""
"","1","","1","","","","1","",""
"","1","","1","","","","1","",""
"","2","","4","","","","1","",""
"","1","","1","","","","1","",""
"","2","","5","","","","1","",""
"","3","","1","","","","1","",""
"","2","","3","","","","2","",""
"","1","","2","","","","2","",""
"","2","","11","","","","5","",""
"","1","","3","","","","5","",""
"","1","","3","","","","3","",""
"","1","","4","","","","1","",""
"","1","","1","","","","1","",""
"","1","","7","","","","1","",""
"","1","","7","","","","2","",""
"","2","","3","","","","2","",""
"","2","","1","","","","1","",""
"","1","","2","","","","2","",""
"","1","","12","","","","1","",""
"","1","","2","","","","2","",""
"","1","","7","","","","1","",""
"","1","","7","","","","1","",""
"","2","","1","","","","1","",""
"","1","","2","","","","4","",""
"","1","","1","","","","1","",""
"","1","","4","","","","1","",""
"","1","","2","","","","1","",""
"","1","","1","","","","1","",""
"","1","","2","","","","1","",""
"","3","","2","","","","2","",""
"","2","","1","","","","2","",""
"","1","","3","","","","2","",""
"","1","","4","","","","3","",""
"","1","","1","","","","1","",""
"","1","","1","","","","4","",""
"","1","","1","","","","1","",""
"","1","","2","","","","2","",""
"","1","","3","","","","2","",""
"","1","","5","","","","1","",""
"","3","","2","","","","1","",""
"","1","","2","","","","1","",""
"","2","","2","","","","1","",""
"","1","","13","","","","","",""
"","1","","2","","","","","",""
"","1","","1","","","","","",""
"","3","","2","","","","","",""
"","1","","9","","","","","",""
"","1","","1","","","","","",""
"","1","","1","","","","","",""
"","1","","7","","","","","",""
"","5","","1","","","","","",""
"","1","","6","","","","","",""
"","1","","8","","","","","",""
"","1","","2","","","","","",""
"","1","","3","","","","","",""
"","1","","2","","","","","",""
"","1","","2","","","","","",""
"","1","","3","","","","","",""
"","2","","3","","","","","",""
"","1","","1","","","","","",""
"","2","","4","","","","","",""
"","2","","3","","","","","",""
"","1","","1","","","","","",""
"","1","","1","","","","","",""
"","2","","1","","","","","",""
"","1","","5","","","","","",""
"","2","","1","","","","","",""
"","1","","1","","","","","",""
"","1","","17","","","","","",""
"","1","","1","","","","","",""
"","3","","4","","","","","",""
"","1","","4","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","10","","","","","","","",""
"","1","","","","","","","",""
"","23","","","","","","","",""
"","3","","","","","","","",""
"","2","","","","","","","",""
"","6","","","","","","","",""
"","6","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","4","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","5","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","5","","","","","","","",""
"","4","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","7","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","5","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","4","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","3","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","2","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
"","1","","","","","","","",""
