"Table 4. Real Gross Output by Commodity","","","","","","","","","","","","","","","","","","","","",""
"Digital Goods","72.9","90.8","114.8","149.2","141.9","121.0","132.8","143.2","159.9","181.4","195.9","203.0","172.7","183.9","185.3","177.1","179.1","178.3","190.3","189.6","201.6"
"Digital Services","589.7","671.8","780.4","857.8","891.5","894.6","898.7","948.9","1017.8","1071.7","1146.5","1208.7","1218.3","1308.3","1397.3","1481.3","1537.5","1629.8","1707.8","1832.8","1950.7"
"Percent change from preceding period","","","","","","","","","","","","","","","","","","","","",""
"Total Economy","--","5.4","5.1","4.5","-0.0","0.7","2.3","3.6","3.9","2.2","2.0","-1.3","-5.5","3.3","2.2","2.6","2.1","2.9","2.3","1.9","2.6"
"","","","","","","","","","","","","","","","","","","","","",""
"Digital Economy ","--","17.6","19.4","15.9","1.3","-3.6","2.5","6.1","8.2","7.0","7.2","5.1","-1.9","7.3","6.0","4.8","3.5","5.4","5.0","6.6","6.4"
"Digital-Enabling Infrastructure","--","18.1","19.8","16.4","1.5","-4.1","1.9","5.7","7.5","6.4","6.4","5.0","-2.5","6.6","5.1","3.5","2.9","4.7","4.2","6.2","5.8"
"Hardware","--","29.6","27.7","30.8","-2.9","-3.9","7.6","5.2","11.5","12.3","11.5","1.2","-16.2","2.1","0.5","-8.2","-1.2","-0.3","4.0","-3.5","6.0"
"Software","--","14.0","21.3","4.8","7.2","-0.2","0.4","16.9","6.5","4.3","5.4","3.0","-1.2","3.9","4.9","2.0","5.9","5.5","3.7","7.1","6.8"
"Telecommunications","--","12.2","16.8","16.8","3.2","-7.2","0.7","3.5","7.5","5.4","3.2","5.1","-0.9","4.9","3.3","2.6","2.5","5.2","5.9","7.0","3.3"
"Support Services","--","18.3","16.5","7.2","-0.5","-0.1","0.7","4.5","5.4","5.5","9.4","8.2","1.1","12.1","9.0","8.7","3.1","5.0","2.5","7.1","8.3"
"E-Commerce & Digital Media","--","5.8","11.6","4.9","-3.7","8.2","13.9","12.8","17.7","14.5","15.8","5.7","4.9","13.5","14.1","14.9","8.1","9.8","9.9","9.2","9.7"
"","","","","","","","","","","","","","","","","","","","","",""
"Addendum:","","","","","","","","","","","","","","","","","","","","",""
"Digital Goods","--","24.6","26.4","29.9","-4.9","-14.8","9.8","7.8","11.7","13.5","8.0","3.6","-14.9","6.5","0.8","-4.4","1.1","-0.5","6.7","-0.4","6.4"
"Digital Services","--","13.9","16.2","9.9","3.9","0.4","0.5","5.6","7.3","5.3","7.0","5.4","0.8","7.4","6.8","6.0","3.8","6.0","4.8","7.3","6.4"
"Contribution to percent change","","","","","","","","","","","","","","","","","","","","",""
"Total Economy","--","5.4","5.1","4.5","-0.0","0.7","2.3","3.6","3.9","2.0","1.8","-1.7","-6.0","3.0","1.8","2.5","1.7","3.1","2.3","1.8","1.8"
"","","","","","","","","","","","","","","","","","","","","",""
"Digital Economy ","--","1.09","1.26","1.09","0.09","-0.25","0.16","0.36","0.46","0.38","0.39","0.27","-0.10","0.41","0.34","0.27","0.20","0.30","0.28","0.38","0.38"
"Digital-Enabling Infrastructure","--","1.08","1.22","1.07","0.10","-0.27","0.11","0.31","0.40","0.33","0.32","0.25","-0.13","0.34","0.25","0.17","0.14","0.23","0.20","0.30","0.29"
"Hardware","--","0.45","0.41","0.44","-0.04","-0.05","0.08","0.05","0.10","0.10","0.09","0.01","-0.12","0.01","0.00","-0.04","-0.01","-0.00","0.02","-0.01","0.02"
"Software","--","0.08","0.13","0.03","0.05","-0.00","0.00","0.11","0.05","0.03","0.04","0.02","-0.01","0.03","0.04","0.01","0.04","0.04","0.03","0.05","0.05"
"Telecommunications","--","0.33","0.46","0.49","0.10","-0.22","0.02","0.09","0.18","0.12","0.07","0.11","-0.02","0.11","0.07","0.05","0.05","0.10","0.12","0.14","0.07"
"Support Services","--","0.22","0.22","0.11","-0.01","-0.00","0.01","0.06","0.07","0.07","0.12","0.11","0.02","0.19","0.14","0.15","0.05","0.09","0.04","0.12","0.15"
"E-Commerce & Digital Media","--","0.02","0.03","0.02","-0.01","0.02","0.04","0.04","0.06","0.06","0.07","0.03","0.02","0.07","0.08","0.09","0.06","0.07","0.08","0.08","0.08"
"","","","","","","","","","","","","","","","","","","","","",""
"Addendum:","","","","","","","","","","","","","","","","","","","","",""
"Digital Goods","--","0.51","0.53","0.61","-0.10","-0.26","0.13","0.10","0.14","0.15","0.09","0.04","-0.14","0.05","0.01","-0.03","0.01","-0.00","0.03","-0.00","0.03"
"Digital Services","--","0.58","0.72","0.48","0.19","0.02","0.02","0.26","0.32","0.23","0.30","0.24","0.04","0.36","0.33","0.30","0.19","0.30","0.24","0.38","0.34"
"Note: These estimates are based on data valued in producers’ prices and exclude transportation costs and wholesale and retail trade markups, with the exception of retail trade markups associated with e-commerce transactions.","","","","","","","","","","","","","","","","","","","","",""
"U.S. Bureau of Economic Analysis","","","","","","","","","","","","","","","","","","","","",""
