"ITEM","April","May","June","July","August","September","October","November","December","January","February","March","2016","April","May","June","July","August","September","October","November","December","January","February","March","2017","2018","2019","2020"
"LOADIND CAPACITY","77%","80%","84%","91%","69%","101%","89%","91%","85%","90%","78%","85%","86%","86%","82%","95%","95%","81%","92%","90%","90%","79%","85%","87%","97%","89%","70%","80%","77%"
"LM603049YR-11","1,376","3,200","2,400","3,090","3,090","3,090","3,090","3,155","3,155","3,155","3,155","3,153","35,109","3,153","3,153","3,153","3,153","3,153","3,153","3,153","3,153","3,153","3,153","3,153","3,153","37,830","41,851","43,261","44,532"
"JL69349 GMH","0","5,301","0","0","5,525","0","0","5,525","0","0","5,466","0","21,817","0","5,635","0","0","5,639","0","0","5,530","0","0","5,440","0","22,244","17,198","22,292","22,300"
"18790-11","0","2,436","0","3,016","0","3,016","0","3,016","0","3,016","0","1,508","16,008","3,016","0","3,016","0","1,508","3,016","0","3,016","0","3,016","0","1,508","18,096","20,245","20,853","21,479"
"32306 JR-11","0","0","3,668","0","0","3,189","0","0","3,176","0","3,490","0","13,523","1,842","3,684","0","3,679","0","3,684","0","3,679","0","2,684","0","2,842","22,094","22,110","22,118","22,126"
"32307 JR-11","0","0","0","1,025","0","0","0","2,368","0","1,188","0","2,378","6,959","1,172","1,172","1,172","2,317","0","1,183","1,182","2,351","0","1,183","1,203","1,191","14,126","14,101","14,114","14,134"
"32010 JR-11 GM","41,712","38,448","35,950","51,299","34,669","55,516","53,934","42,512","47,186","53,704","57,957","62,746","575,632","56,600","65,130","54,358","58,794","27,664","53,496","62,272","64,786","35,604","59,842","66,975","70,297","675,817","902,109","1,002,985","934,096"
"Total demand","43,088","49,385","42,018","58,430","43,284","64,811","57,024","56,576","53,517","61,063","70,068","69,784","669,048","65,782","78,773","61,698","67,942","37,963","64,532","66,607","82,515","38,757","69,878","76,771","78,991","790,208","1,017,614","1,125,623","1,058,667"
"Total Capacity","113,926","113,926","113,926","113,926","65,101","119,351","113,926","113,926","86,801","108,501","108,501","119,351","1,291,163","108,501","119,351","113,926","113,926","65,101","113,926","119,351","119,351","81,376","108,501","113,926","119,351","1,296,588","1,296,588","1,296,588","1,296,588"
"LOADIND CAPACITY","38%","43%","37%","51%","66%","54%","50%","50%","62%","56%","65%","58%","52%","61%","66%","54%","60%","58%","57%","56%","69%","48%","64%","67%","66%","61%","78%","87%","82%"
"30212 JR-11","4,974","0","4,812","0","0","4,513","0","0","2,266","3,479","0","1,938","21,982","1,944","1,944","1,944","1,719","1,923","1,936","1,936","1,812","1,923","1,944","1,944","1,925","22,891","23,126","23,240","23,431"
"32211","0","0","0","3,637","0","0","0","2,450","0","0","2,523","0","8,610","0","0","2,623","2,674","0","0","2,564","0","0","901","881","890","10,533","10,716","10,827","10,941"
"32212","5,609","2,880","2,303","3,564","0","3,849","2,443","3,758","0","2,354","2,497","2,431","31,688","2,447","2,416","2,163","3,899","0","2,195","2,037","1,546","2,440","2,289","2,432","2,219","26,086","26,469","26,766","27,016"
"32213 JRML-11","0","0","0","1,529","0","0","0","1,052","0","0","0","0","2,581","0","0","0","1,412","0","0","0","1,020","0","0","0","0","2,432","2,503","2,539","2,572"
"399A","2,880","2,880","2,734","2,734","0","2,734","2,734","2,734","2,734","2,734","2,734","3,008","30,640","3,008","3,008","3,008","0","3,008","3,008","3,008","3,008","3,008","3,008","3,008","2,895","32,975","34,743","35,786","35,786"
"30213 JRML-11","3,047","0","0","0","0","0","1,014","0","0","0","0","0","4,061","0","1,236","0","0","0","0","1,350","0","0","0","0","0","2,586","2,823","2,884","2,979"
"30311","0","0","0","3,266","0","1,713","0","1,256","0","0","0","642","6,877","0","0","2,761","0","0","0","2,759","0","0","0","0","0","5,520","5,660","5,815","5,936"
"32013 JR-R-11","13,080","14,560","6,633","12,020","13,347","15,134","12,556","13,893","9,262","13,905","13,966","16,892","155,248","14,079","13,894","13,753","14,484","5,741","17,506","17,967","12,224","8,987","15,809","17,836","19,594","171,874","180,066","181,712","183,987"
"32014 JR-11","3,622","4,222","2,230","3,950","4,099","4,931","5,070","4,430","5,940","6,230","5,090","9,949","59,763","7,693","7,693","6,493","8,168","6,175","7,673","7,473","7,414","7,380","7,393","7,893","9,310","90,758","114,074","119,319","121,729"
"32015","91","91","1,441","215","1,040","1,085","1,625","985","390","1,100","1,085","1,068","10,216","1,084","1,084","1,054","695","1,001","1,069","1,069","872","1,016","1,114","1,129","1,121","12,308","12,695","12,848","13,265"
"32015 JRYA2-11","5,791","3,991","4,441","3,641","4,466","4,511","5,051","4,411","3,816","4,526","4,511","4,494","53,650","4,510","4,510","4,480","4,121","4,427","4,495","4,495","4,298","4,442","4,540","4,555","4,547","53,420","57,890","59,400","61,213"
"LM 806649-11","43,284","42,220","50,259","47,264","21,664","49,883","49,883","50,102","37,664","46,883","46,973","46,893","532,972","46,804","52,893","49,923","49,893","31,923","46,893","49,923","55,893","37,923","46,893","46,923","46,912","562,796","667,420","667,425","580,430"
"32308 JR-11","0","0","0","0","0","0","0","0","0","1,532","0","0","1,532","0","0","0","1,790","0","0","2,977","0","0","0","0","0","4,767","6,440","6,520","6,599"
"32309 JR-11","0","0","0","2,498","0","0","0","0","0","1,278","0","0","3,776","0","2,894","0","0","0","0","0","2,041","0","0","0","0","4,935","5,244","5,318","5,406"
"32310","3,200","4,927","0","1,614","0","1,624","1,621","3,248","1,617","1,624","0","1,622","21,097","1,624","1,624","3,240","1,624","0","1,624","1,824","3,640","0","1,824","1,824","1,824","20,672","22,732","27,704","28,293"
"30310","0","0","0","2,957","0","0","2,640","0","2,359","0","2,222","0","10,178","0","1,040","2,080","1,877","0","1,040","2,776","0","0","1,040","0","2,081","11,934","12,145","12,482","12,768"
"30309","0","0","2,459","2,218","0","0","2,333","0","1,819","1,958","0","1,459","12,246","1,487","1,487","1,487","2,331","0","1,537","1,537","2,631","0","1,537","1,537","1,537","17,108","17,336","19,460","19,592"
"30309 DJR","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30310 DJR-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total demand","85,578","75,771","77,312","91,107","44,616","89,977","86,970","88,319","67,867","87,603","81,601","90,396","967,117","84,680","95,723","95,009","94,687","54,198","88,976","103,695","96,399","67,119","88,292","89,962","94,854","1,053,593","1,202,082","1,220,045","1,141,943"
"Total Capacity","89,441","89,441","89,441","89,441","51,109","93,700","89,441","89,441","68,146","85,182","85,182","93,700","1,013,665","85,182","93,700","89,441","89,441","51,109","89,441","93,700","93,700","63,886","85,182","89,441","93,700","1,017,924","1,017,924","1,017,924","1,017,924"
"LOADIND CAPACITY","96%","85%","86%","102%","87%","96%","97%","99%","100%","103%","96%","96%","95%","99%","102%","106%","106%","106%","99%","111%","103%","105%","104%","101%","101%","104%","118%","120%","112%"
"32209 JR-11","0","3,531","3,010","4,622","0","3,120","3,051","2,982","0","3,968","2,924","2,554","29,762","2,567","2,567","2,567","4,557","0","2,567","2,567","4,823","0","2,504","2,504","2,507","29,729","30,437","31,086","31,570"
"32208 JR-11","6,056","0","6,713","4,154","0","4,498","5,499","7,803","0","3,792","4,252","4,867","47,634","3,813","7,569","4,212","3,526","0","4,252","7,488","3,341","0","3,792","3,813","3,938","45,744","47,097","49,455","50,686"
"32207","0","0","4,047","0","0","1,179","1,958","2,377","0","1,848","2,388","1,487","15,284","1,493","2,078","2,970","1,038","0","2,124","2,970","1,269","0","1,493","2,078","1,645","19,160","19,750","20,312","20,743"
"30207 JR-11 ","6,602","4,982","2,093","8,272","8,443","12,507","4,114","3,442","3,497","7,353","10,686","6,474","78,465","6,549","6,495","6,526","4,021","6,455","6,472","6,514","5,218","6,478","6,483","6,549","6,205","73,965","74,316","74,637","75,256"
"30208 JR-11","4,228","4,228","3,325","7,107","3,638","3,853","3,906","2,400","10,947","8,057","5,076","7,701","64,466","4,718","4,718","4,758","2,969","4,756","4,718","4,718","3,853","4,701","4,718","4,718","4,668","54,013","56,641","59,324","60,265"
"32009 JR-11 ","7,034","8,924","14,432","0","8,917","8,948","7,509","7,259","7,228","7,559","9,098","7,964","94,872","7,967","7,967","11,967","7,261","3,959","7,967","7,404","7,058","7,396","7,404","7,404","7,389","91,143","100,160","103,950","106,470"
"30209","3,998","0","5,968","2,639","0","4,013","2,639","0","2,983","0","6,164","0","28,404","2,269","4,261","0","3,686","0","2,380","4,414","0","2,393","0","3,870","2,195","25,468","26,573","27,312","27,819"
"30210 JR-11","8,461","9,557","7,883","1,568","0","5,724","9,601","3,683","4,610","5,428","4,598","9,086","70,199","7,094","7,095","7,022","4,144","4,994","7,165","9,028","5,523","7,066","7,059","7,094","6,849","80,137","82,896","84,389","86,765"
"30211","4,048","3,749","2,937","2,654","0","2,941","3,670","2,661","2,726","3,546","3,117","3,987","36,036","3,995","3,995","3,995","2,983","3,967","3,964","3,964","3,477","3,967","3,995","3,995","3,948","46,244","47,607","48,523","49,245"
"32210","0","0","3,850","2,898","0","1,631","4,235","3,731","0","1,685","2,900","2,424","23,354","2,493","2,433","2,433","4,405","0","2,433","2,493","4,591","0","2,493","2,433","2,457","28,664","29,620","30,285","30,801"
"32211","0","0","0","3,637","0","0","0","2,450","0","0","2,523","0","8,610","0","0","2,623","2,674","0","0","2,564","0","0","901","881","890","10,533","10,716","10,827","10,941"
"30309","0","0","2,459","2,218","0","0","2,333","0","1,819","1,958","0","1,459","12,246","1,487","1,487","1,487","2,331","0","1,537","1,537","2,631","0","1,537","1,537","1,537","17,108","17,336","19,460","19,592"
"30310","0","0","0","2,957","0","0","2,640","0","2,359","0","2,222","0","10,178","0","1,040","2,080","1,877","0","1,040","2,776","0","0","1,040","0","2,081","11,934","12,145","12,482","12,768"
"30307","4,399","5,640","4,539","5,859","0","4,480","8,600","5,098","0","3,800","2,720","3,702","48,837","3,589","3,709","3,589","2,726","3,566","3,709","3,589","3,099","3,686","3,589","3,709","3,656","42,220","44,233","45,796","47,075"
"30308","1,666","66","66","1,133","1,100","1,177","1,402","2,328","1,293","2,302","0","1,689","14,222","1,619","1,444","1,619","1,469","0","1,469","3,039","1,444","1,513","1,594","1,469","1,536","18,212","18,951","19,495","20,008"
"31308 DJR-11","4,805","5,930","5,505","5,080","5,528","5,530","6,030","7,005","6,028","4,130","7,005","6,136","68,712","6,137","6,137","6,137","3,553","6,134","6,137","6,137","4,853","6,134","6,237","5,137","6,833","69,566","70,048","71,915","71,977"
"32011","10,803","12,603","12,720","10,498","12,498","12,678","11,758","8,446","14,367","13,598","14,458","15,183","149,610","15,264","15,174","13,454","13,546","6,210","18,136","12,504","14,638","10,102","14,344","15,204","15,101","163,677","182,829","186,540","188,228"
"32012 JR-11","5,070","6,120","5,255","2,787","8,005","7,823","6,682","2,457","4,056","6,183","6,320","5,165","65,923","5,369","6,509","4,561","6,236","4,249","6,101","4,842","5,394","5,217","5,609","6,119","5,155","65,359","71,637","77,156","78,240"
"32013 JR-R-11","13,080","14,560","6,633","12,020","13,347","15,134","12,556","13,893","9,262","13,905","13,966","16,892","155,248","14,079","13,894","13,753","14,484","5,741","17,506","17,967","12,224","8,987","15,809","17,836","19,594","171,874","180,066","181,712","183,987"
"Total demand","80,250","79,890","91,435","80,103","61,476","95,236","98,183","78,015","71,175","89,112","100,417","96,770","1,022,062","90,502","98,572","95,753","87,486","50,031","99,677","106,515","83,436","67,640","90,601","96,350","98,182","1,064,746","1,123,058","1,154,656","1,172,436"
"Total Capacity","99,522","99,522","99,522","99,522","56,869","104,261","99,522","99,522","75,826","94,782","94,782","104,261","1,127,911","94,782","104,261","99,522","99,522","56,869","99,522","104,261","104,261","71,087","94,782","99,522","104,261","1,132,650","1,132,650","1,132,650","1,132,650"
"LOADIND CAPACITY","81%","80%","92%","80%","108%","91%","99%","78%","94%","94%","106%","93%","91%","95%","95%","96%","88%","88%","100%","102%","80%","95%","96%","97%","94%","94%","99%","102%","104%"
"30303 R-11","5,704","0","0","3,160","3,160","3,196","3,195","3,195","3,196","3,195","3,195","3,178","34,374","3,178","3,178","3,178","3,178","3,178","3,346","3,178","3,178","3,178","3,178","3,178","3,179","38,305","37,276","37,730","38,200"
"LM 11949ML-11","7,061","5,230","6,384","4,030","0","3,580","7,465","0","2,947","4,516","2,552","2,831","46,596","1,481","2,532","1,167","1,529","3,447","1,167","1,167","2,227","1,109","2,804","1,167","6,986","26,788","71,935","77,339","82,250"
"LM 12749-11","0","0","4,250","0","0","0","2,533","0","0","0","0","0","6,783","0","2,186","0","0","0","0","0","0","0","0","0","0","2,186","13,037","14,339","15,522"
"30304","0","11,400","4,170","6,686","5,678","5,283","6,243","5,283","5,275","5,783","4,886","5,459","66,146","5,462","5,462","5,365","5,286","5,356","5,365","5,365","5,326","5,453","5,462","5,462","5,462","64,826","64,615","65,087","65,549"
"32004X","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,680","0","0","0","0","0","0","1,680","2,626","2,646","2,668"
"32005x","0","0","0","3,901","0","0","0","4,393","0","0","0","0","8,294","5,308","0","0","0","0","0","5,308","0","0","0","0","0","10,616","11,319","11,480","11,647"
"30203","0","0","0","4,272","7,136","3,136","3,245","3,245","3,245","0","6,490","3,276","34,045","3,276","3,276","4,776","5,052","0","3,276","3,276","3,276","2,167","2,667","2,667","2,667","36,376","36,632","37,670","38,740"
"30204 JR-11","0","5,787","0","2,438","0","2,724","2,605","3,982","0","3,148","2,446","2,490","25,620","2,218","2,218","3,619","2,785","0","2,218","2,218","2,208","1,991","2,218","2,218","2,217","26,126","24,581","24,630","24,672"
"30205JR-11","6,964","11,800","6,927","7,127","0","7,129","8,933","11,131","5,366","9,293","7,133","8,718","90,521","8,446","8,446","10,846","7,649","5,819","8,446","8,446","8,049","8,219","8,446","8,446","8,451","99,709","97,927","99,693","101,240"
"30206 JR-11","227","4,049","4,134","3,393","3,703","4,424","3,421","2,148","2,764","3,422","3,695","3,505","38,885","3,545","3,818","3,450","2,598","3,685","3,545","3,545","6,766","0","3,545","3,818","3,610","41,925","43,143","44,004","44,874"
"30303-11","5,704","0","0","3,160","3,160","3,196","3,195","3,195","3,196","3,195","3,195","3,178","34,374","3,178","3,178","3,178","3,178","3,178","3,346","3,178","3,178","3,178","3,178","3,178","3,179","38,305","37,276","37,730","38,200"
"30305 JR-11","5,761","0","4,417","2,961","0","3,096","3,688","2,896","2,932","3,040","0","6,200","34,991","3,172","3,172","3,172","3,048","3,130","3,172","3,172","6,238","4","3,172","3,172","3,172","37,793","37,415","38,482","39,543"
"30306 JR-11","0","0","0","4,557","3,533","3,052","2,902","3,841","0","2,092","1,819","2,746","24,542","2,752","2,752","2,752","2,340","2,729","2,752","2,752","2,547","2,729","2,752","2,752","2,754","32,358","31,989","32,294","32,887"
"32304 JR-11","0","0","5,044","0","0","0","0","5,305","0","0","0","0","10,349","0","4,244","0","0","4,244","0","0","0","4,244","0","0","0","12,732","12,768","12,768","12,768"
"ST2950A-X4-U-11","2,560","0","1,020","1,020","1,020","1,280","1,240","1,200","1,902","1,256","1,020","973","14,491","973","973","973","973","973","973","973","973","973","973","973","1,307","12,013","15,681","16,122","16,522"
"L 44643RML-11","5,000","0","5,000","0","2,500","2,500","0","5,400","0","5,000","0","5,000","30,400","0","5,600","0","5,000","5,000","0","5,000","5,000","0","5,000","0","5,000","35,600","25,600","35,600","35,600"
"L45449ML-11","0","7,004","0","0","0","5,631","0","0","0","4,305","0","0","16,940","4,410","0","0","4,338","0","0","4,336","0","0","4,547","0","0","17,631","19,355","19,630","19,896"
"L48548-11","0","0","0","0","0","0","0","2,478","0","0","0","0","2,478","0","0","0","0","0","0","0","2,322","0","0","0","0","2,322","4,362","4,619","4,857"
"L68149","0","0","3,383","0","0","0","3,051","0","0","0","0","0","6,434","2,373","0","0","0","0","0","0","0","0","0","0","0","2,373","12,040","13,212","14,281"
"LM 11749 ML-R-11","0","0","5,493","0","0","7,335","0","0","0","5,529","0","0","18,357","3,707","0","5,519","0","0","5,561","0","3,665","0","0","3,814","0","22,266","23,565","23,793","24,028"
"Total demand","38,981","45,270","50,222","46,705","29,890","55,562","51,716","57,692","30,822","53,774","36,431","47,554","544,619","53,479","51,035","47,995","46,954","40,739","44,847","51,914","54,954","33,245","47,942","40,844","47,984","561,930","623,142","648,867","663,943"
"Total Capacity","126,475","126,475","126,475","126,475","72,271","132,497","126,475","126,475","96,362","120,452","120,452","132,497","1,433,381","120,452","132,497","126,475","126,475","72,271","126,475","132,497","132,497","90,339","120,452","126,475","132,497","1,439,404","1,439,404","1,439,404","1,439,404"
"LOADIND CAPACITY","31%","36%","40%","37%","41%","42%","41%","46%","32%","45%","30%","36%","38%","44%","39%","38%","37%","56%","35%","39%","41%","37%","40%","32%","36%","39%","43%","45%","46%"
"LM 501349ML-R-11 ","53,950","57,915","58,779","36,563","13,684","25,535","26,567","45,567","26,096","42,887","42,797","42,797","473,137","41,548","49,548","49,548","48,994","32,870","52,994","52,994","56,994","32,978","48,886","49,102","49,600","566,056","614,203","641,659","638,490"
"32008","21,036","24,468","11,323","11,355","8,823","13,730","17,692","14,349","20,970","21,861","21,860","21,310","208,778","21,318","21,318","20,954","23,154","14,690","20,736","20,736","20,283","21,776","17,804","21,804","17,825","242,399","214,238","103,314","103,549"
"32009 JR-11 ","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"STA 3266-11","72,240","72,240","78,440","78,840","44,800","78,800","76,040","75,600","55,600","75,440","80,200","88,400","455573","","","","","","","","","","","","","335893","306979","398779","398779"
"32010-11","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"Total demand","","","","","","","","","","","","","1,137,488","","","","","","","","","","","","","1,144,347","1,135,420","1,143,752","1,140,818"
"Total Capacity","","","","","","","","","","","","","1,138,894","","","","","","","","","","","","","1,143,679","1,143,679","1,143,679","1,143,679"
"LOADIND CAPACITY","","","","","","","","","","","","","100%","","","","","","","","","","","","","100%","99%","100%","100%"
"32012 BLFT-11 GMH","","","","","","","","","","","","","298809","","","","","","","","","","","","","308448","308448","308448","308448"
"32012 JR-11","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"32009JR-11","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"30210 JR-11","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"STA 3266-11","","","","","","","","","","","","","438600","","","","","","","","","","","","","734400","816000","724200","724200"
"LM 806649-11 ","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"32011JRYA5-11","","","","","","","","","","","","","10526","","","","","","","","","","","","","10771","11221","11557","11903"
"M 802048-11","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"L67048 ML-R-11","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"LM 503349 ML-R-11","","","","","","","","","","","","","85932","","","","","","","","","","","","","0","33395","121633","126562"
"LM 806649LFT-11 GMH","","","","","","","","","","","","","241201","","","","","","","","","","","","","222572","225314","225314","225314"
"Total demand","","","","","","","","","","","","","1,075,069","","","","","","","","","","","","","1,276,191","1,394,378","1,391,151","1,396,427"
"Total Capacity","","","","","","","","","","","","","1,057,577","","","","","","","","","","","","","1,062,020","1,062,020","1,062,020","1,062,020"
"LOADIND CAPACITY","","","","","","","","","","","","","102%","","","","","","","","","","","","","120%","131%","131%","131%"
"30208 JR-11","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"30206","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"LM501349ML-R-11 ","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"LM503349ML-R-11 ","","","","","","","","","","","","","142800","","","","","","","","","","","","","268599","499800","652800","591600"
"32007 JR-11","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"32008","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"32009","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"32011 JR-11","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"HM803146-11","","","","","","","","","","","","","154048","","","","","","","","","","","","","160764","163489","163489","163489"
"M802048-11","","","","","","","","","","","","","470971","","","","","","","","","","","","","534268","591600","591600","502860"
"30306 JR-11 ","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"30210 JR-11","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"30207 JR-11 ","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"Total demand","","","","","","","","","","","","","767,818","","","","","","","","","","","","","963,631","1,254,889","1,407,889","1,257,949"
"Total Capacity","","","","","","","","","","","","","934,083","","","","","","","","","","","","","938,008","938,008","938,008","938,008"
"LOADIND CAPACITY","","","","","","","","","","","","","82%","","","","","","","","","","","","","103%","134%","150%","134%"
"Total demand","","","","","","","","","","","","","7,182,102","","","","","","","","","","","","","7,894,892","8,569,648","9,032,962","8,737,416"
"Total Capacity","","","","","","","","","","","","","9,420,126","","","","","","","","","","","","","9,459,706","9,459,706","9,459,706","9,459,706"
"LOADIND CAPACITY","","","","","","","","","","","","","76%","","","","","","","","","","","","","83%","91%","95%","92%"
"30309 DJR-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32014","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30311","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Total demand","","","","","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0"
"Total Capacity","","","","","","","","","","","","","256,662","","","","","","","","","","","","","257,741","257,741","257,741","257,741"
"LOADIND CAPACITY","","","","","","","","","","","","","0%","","","","","","","","","","","","","0%","0%","0%","0%"
