"Table 4a: Number of Individual Voluntary Arrangements by location, England and Wales, 2011 to 2021 [r]","","","","","","","","","","","","",""
"Back to contents","","","","","","","","","","","","",""
"This worksheet contains one table. Some cells refer to notes which can be found in the Notes worksheet.","","","","","","","","","","","","",""
"Source: Insolvency Service","","","","","","","","","","","","",""
"Code","Name","Geography","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"E06000008","Blackburn with Darwen","Unitary Authority","129","106","135","126","142","183","194","224","246","208","259"
"E06000009","Blackpool","Unitary Authority","209","206","197","189","175","246","273","316","388","343","335"
"E06000049","Cheshire East","Unitary Authority","314","304","300","315","214","284","361","437","471","449","488"
"E06000050","Cheshire West and Chester","Unitary Authority","325","288","318","318","215","276","287","349","459","443","481"
"E06000006","Halton","Unitary Authority","155","163","163","167","112","141","184","252","290","219","258"
"E06000007","Warrington","Unitary Authority","200","248","243","215","172","211","243","353","369","287","326"
"E10000006","Cumbria","County","449","422","404","405","327","391","491","575","690","665","647"
"E07000026","Allerdale","Non-metropolitan District","54","81","54","57","57","80","85","117","154","125","136"
"E07000027","Barrow-in-Furness","Non-metropolitan District","64","55","70","58","41","68","92","113","109","125","114"
"E07000028","Carlisle","Non-metropolitan District","155","130","117","121","94","96","123","147","172","179","167"
"E07000029","Copeland","Non-metropolitan District","47","60","40","50","49","52","53","79","100","93","98"
"E07000030","Eden","Non-metropolitan District","59","38","46","42","19","29","47","33","68","40","38"
"E07000031","South Lakeland","Non-metropolitan District","70","58","77","77","67","66","91","86","87","103","94"
"E11000001","Greater Manchester (Met County)","Metropolitan County","2,529","2,483","2,720","2,878","2,230","2,731","3,209","3,969","4,260","4,017","4,488"
"E08000001","Bolton","Metropolitan District","293","317","298","296","245","289","318","441","488","391","526"
"E08000002","Bury","Metropolitan District","176","186","214","173","182","175","194","282","279","260","268"
"E08000003","Manchester","Metropolitan District","326","307","400","432","353","432","520","607","688","647","775"
"E08000004","Oldham","Metropolitan District","208","208","213","215","177","234","267","330","297","380","430"
"E08000005","Rochdale","Metropolitan District","188","199","204","228","191","241","318","367","400","376","389"
"E08000006","Salford","Metropolitan District","255","213","290","325","202","269","333","477","447","397","440"
"E08000007","Stockport","Metropolitan District","242","239","229","279","199","163","224","327","360","332","384"
"E08000008","Tameside","Metropolitan District","264","272","285","282","250","295","366","446","492","478","531"
"E08000009","Trafford","Metropolitan District","191","179","171","166","134","171","184","204","239","227","234"
"E08000010","Wigan","Metropolitan District","386","363","416","482","297","462","485","488","570","529","511"
"E10000017","Lancashire","County","1,120","1,095","1,124","1,182","933","1,131","1,386","1,645","1,937","1,830","1,885"
"E07000117","Burnley","Non-metropolitan District","93","78","78","90","77","77","133","187","211","179","202"
"E07000118","Chorley","Non-metropolitan District","127","103","135","130","86","121","130","144","230","203","182"
"E07000119","Fylde","Non-metropolitan District","79","66","69","72","45","75","83","108","118","125","97"
"E07000120","Hyndburn","Non-metropolitan District","74","94","103","103","80","90","139","152","164","157","184"
"E07000121","Lancaster","Non-metropolitan District","135","123","117","115","105","101","125","174","184","182","201"
"E07000122","Pendle","Non-metropolitan District","61","69","72","82","63","89","115","127","145","136","152"
"E07000123","Preston","Non-metropolitan District","118","107","109","115","105","133","148","178","201","206","190"
"E07000124","Ribble Valley","Non-metropolitan District","43","39","32","45","29","39","49","44","60","51","75"
"E07000125","Rossendale","Non-metropolitan District","72","59","92","66","62","93","97","96","124","102","112"
"E07000126","South Ribble","Non-metropolitan District","107","117","138","123","96","97","117","124","159","156","130"
"E07000127","West Lancashire","Non-metropolitan District","108","127","93","119","100","115","133","165","157","157","176"
"E07000128","Wyre","Non-metropolitan District","103","113","86","122","85","101","117","146","184","176","184"
"E11000002","Merseyside (Met County)","Metropolitan County","1,285","1,271","1,305","1,445","1,153","1,491","1,710","2,015","2,117","1,954","2,134"
"E08000011","Knowsley","Metropolitan District","134","131","161","180","138","167","209","225","239","235","246"
"E08000012","Liverpool","Metropolitan District","366","380","357","425","344","464","492","603","666","611","679"
"E08000014","Sefton","Metropolitan District","239","221","257","247","222","270","324","360","390","336","370"
"E08000013","St. Helens","Metropolitan District","204","210","235","228","179","235","267","326","295","288","325"
"E08000015","Wirral","Metropolitan District","342","329","295","365","270","355","418","501","527","484","514"
"E12000003","YORKSHIRE AND THE HUMBER","Region","5,144","4,696","4,957","5,074","3,967","4,698","5,723","7,055","7,654","7,732","8,216"
"E06000011","East Riding of Yorkshire","Unitary Authority","368","309","310","326","281","321","353","390","467","423","433"
"E06000010","Kingston upon Hull, City of","Unitary Authority","290","229","287","331","243","298","390","434","504","583","591"
"E06000012","North East Lincolnshire","Unitary Authority","177","151","173","193","151","178","246","309","388","355","463"
"E06000013","North Lincolnshire","Unitary Authority","198","188","187","230","168","218","242","303","324","361","368"
"E06000014","York","Unitary Authority","141","131","151","141","94","144","174","174","175","194","180"
"E10000023","North Yorkshire","County","513","539","499","507","446","500","602","735","801","836","795"
"E07000163","Craven","Non-metropolitan District","33","49","33","27","27","36","40","58","55","61","55"
"E07000164","Hambleton","Non-metropolitan District","77","71","70","74","67","76","100","117","113","141","121"
"E07000165","Harrogate","Non-metropolitan District","121","127","104","114","100","115","139","154","204","202","165"
"E07000166","Richmondshire","Non-metropolitan District","52","60","50","43","61","51","68","76","64","68","77"
"E07000167","Ryedale","Non-metropolitan District","50","33","50","42","37","46","36","52","56","72","78"
"E07000168","Scarborough","Non-metropolitan District","103","110","100","106","86","93","111","164","153","172","158"
"E07000169","Selby","Non-metropolitan District","77","89","92","101","68","83","108","114","156","120","141"
"E11000003","South Yorkshire (Met County)","Metropolitan County","1,410","1,296","1,454","1,377","1,050","1,214","1,485","1,890","2,075","2,042","2,166"
"E08000016","Barnsley","Metropolitan District","317","240","321","294","247","316","348","478","493","493","465"
"E08000017","Doncaster","Metropolitan District","342","359","397","387","237","326","400","457","521","554","567"
"E08000018","Rotherham","Metropolitan District","297","306","319","289","280","288","306","414","515","461","511"
"E08000019","Sheffield","Metropolitan District","454","391","417","407","286","284","431","541","546","534","623"
"E11000006","West Yorkshire (Met County)","Metropolitan County","2,047","1,853","1,896","1,969","1,534","1,825","2,231","2,820","2,920","2,938","3,220"
"E08000032","Bradford","Metropolitan District","415","412","393","379","314","423","461","612","673","686","743"
"E08000033","Calderdale","Metropolitan District","203","169","163","195","152","145","203","272","284","269","306"
"E08000034","Kirklees","Metropolitan District","380","358","348","391","280","312","432","527","538","559","583"
"E08000035","Leeds","Metropolitan District","651","551","599","580","497","580","709","885","856","895","980"
"E08000036","Wakefield","Metropolitan District","398","363","393","424","291","365","426","524","569","529","608"
"E12000004","EAST MIDLANDS","Region","4,490","4,321","4,378","4,536","3,504","4,375","5,556","6,163","7,075","7,028","7,531"
"E06000015","Derby","Unitary Authority","210","227","215","250","194","212","334","382","398","436","461"
"E06000016","Leicester","Unitary Authority","258","219","257","278","254","333","374","419","460","426","520"
"E06000061","North Northamptonshire [note 8]","Unitary Authority","388","357","339","398","228","363","451","549","623","658","640"
"E06000018","Nottingham","Unitary Authority","226","229","273","275","289","304","387","410","457","489","547"
"E06000017","Rutland","Unitary Authority","28","18","25","45","18","22","42","35","39","41","56"
"E06000062","West Northamptonshire [note 9]","Unitary Authority","399","350","337","323","253","301","434","446","585","538","567"
"E10000007","Derbyshire","County","830","874","785","817","638","723","923","1,022","1,200","1,118","1,154"
"E07000032","Amber Valley","Non-metropolitan District","130","117","104","121","88","119","127","181","173","179","163"
"E07000033","Bolsover","Non-metropolitan District","101","115","105","110","87","98","106","113","154","149","161"
"E07000034","Chesterfield","Non-metropolitan District","104","120","132","133","87","96","155","157","165","159","175"
"E07000035","Derbyshire Dales","Non-metropolitan District","56","49","37","50","33","48","48","59","71","71","55"
"E07000036","Erewash","Non-metropolitan District","103","151","122","130","96","103","157","129","174","168","197"
"E07000037","High Peak","Non-metropolitan District","83","108","73","79","83","81","103","119","130","90","112"
"E07000038","North East Derbyshire","Non-metropolitan District","117","103","116","92","94","93","96","139","143","140","139"
"E07000039","South Derbyshire","Non-metropolitan District","136","111","96","102","70","85","131","125","190","162","152"
"E10000018","Leicestershire","County","570","567","520","554","347","571","690","760","891","852","938"
"E07000129","Blaby","Non-metropolitan District","73","82","57","72","32","76","103","127","129","122","146"
"E07000130","Charnwood","Non-metropolitan District","111","117","124","121","99","112","162","173","196","206","223"
"E07000131","Harborough","Non-metropolitan District","46","56","73","53","28","61","69","72","102","109","94"
"E07000132","Hinckley and Bosworth","Non-metropolitan District","118","115","83","118","66","129","141","129","167","127","156"
"E07000133","Melton","Non-metropolitan District","62","44","46","41","32","35","52","60","67","79","71"
"E07000134","North West Leicestershire","Non-metropolitan District","110","114","98","107","56","104","119","139","158","161","155"
"E07000135","Oadby and Wigston","Non-metropolitan District","50","39","39","42","34","54","44","60","72","48","93"
"E10000019","Lincolnshire","County","788","766","823","779","626","731","1,003","1,072","1,225","1,187","1,256"
"E07000136","Boston","Non-metropolitan District","66","71","93","81","79","99","126","123","129","121","129"
"E07000137","East Lindsey","Non-metropolitan District","136","164","163","169","157","145","243","246","237","243","258"
"E07000138","Lincoln","Non-metropolitan District","79","76","109","102","86","106","141","143","171","150","189"
"E07000139","North Kesteven","Non-metropolitan District","140","114","118","111","59","83","110","133","166","165","165"
"E07000140","South Holland","Non-metropolitan District","97","94","91","82","76","92","131","120","140","157","153"
"E07000141","South Kesteven","Non-metropolitan District","171","135","161","145","101","114","137","188","223","233","221"
"E07000142","West Lindsey","Non-metropolitan District","99","112","88","89","68","92","115","119","159","118","141"
"E10000024","Nottinghamshire","County","793","714","804","817","657","815","918","1,068","1,197","1,283","1,392"
"E07000170","Ashfield","Non-metropolitan District","156","137","150","159","145","152","164","200","219","238","282"
"E07000171","Bassetlaw","Non-metropolitan District","134","112","128","136","103","110","157","162","195","203","212"
"E07000172","Broxtowe","Non-metropolitan District","103","78","95","94","75","89","103","143","128","129","132"
"E07000173","Gedling","Non-metropolitan District","97","105","83","118","82","109","117","122","140","165","171"
"E07000174","Mansfield","Non-metropolitan District","133","103","153","132","115","143","162","182","221","240","297"
"E07000175","Newark and Sherwood","Non-metropolitan District","105","108","133","122","100","144","152","182","191","216","219"
"E07000176","Rushcliffe","Non-metropolitan District","65","71","62","56","37","68","63","77","103","92","79"
"E12000005","WEST MIDLANDS","Region","5,225","4,798","5,052","5,429","4,282","5,111","6,112","7,424","8,022","8,060","8,478"
"E06000019","Herefordshire, County of","Unitary Authority","136","140","131","121","124","151","182","245","269","253","289"
"E06000051","Shropshire","Unitary Authority","279","246","230","267","214","233","306","344","410","380","377"
"E06000021","Stoke-on-Trent","Unitary Authority","282","259","315","351","229","339","396","479","510","488","535"
"E06000020","Telford and Wrekin","Unitary Authority","217","213","215","265","179","200","254","341","349","333","419"
"E10000028","Staffordshire","County","877","835","877","876","613","775","843","1,057","1,218","1,236","1,298"
"E07000192","Cannock Chase","Non-metropolitan District","139","128","175","118","101","115","135","151","171","183","174"
"E07000193","East Staffordshire","Non-metropolitan District","118","84","97","120","70","113","129","171","175","184","175"
"E07000194","Lichfield","Non-metropolitan District","72","91","86","89","60","82","77","112","116","140","147"
"E07000195","Newcastle-under-Lyme","Non-metropolitan District","140","162","128","137","88","114","134","162","185","173","231"
"E07000196","South Staffordshire","Non-metropolitan District","103","75","106","101","84","73","105","90","154","134","118"
"E07000197","Stafford","Non-metropolitan District","111","110","88","115","86","135","86","142","166","195","192"
"E07000198","Staffordshire Moorlands","Non-metropolitan District","57","74","88","79","59","67","75","101","109","110","102"
"E07000199","Tamworth","Non-metropolitan District","137","111","109","117","65","76","102","128","142","117","159"
"E10000031","Warwickshire","County","491","434","501","473","321","440","532","687","765","725","822"
"E07000218","North Warwickshire","Non-metropolitan District","67","61","76","66","52","51","57","83","103","102","98"
"E07000219","Nuneaton and Bedworth","Non-metropolitan District","146","150","127","157","91","155","183","200","241","203","278"
"E07000220","Rugby","Non-metropolitan District","110","86","114","115","65","71","112","139","164","146","143"
"E07000221","Stratford-on-Avon","Non-metropolitan District","103","83","110","81","56","86","79","145","134","140","161"
"E07000222","Warwick","Non-metropolitan District","65","54","74","54","57","77","101","120","123","134","142"
"E11000005","West Midlands (Met County)","Metropolitan County","2,414","2,200","2,308","2,527","2,213","2,499","3,005","3,584","3,659","3,777","3,940"
"E08000025","Birmingham","Metropolitan District","877","768","789","886","802","873","962","1,185","1,267","1,340","1,374"
"E08000026","Coventry","Metropolitan District","267","235","240","245","225","264","335","355","383","460","438"
"E08000027","Dudley","Metropolitan District","290","318","303","340","256","293","399","460","480","426","468"
"E08000028","Sandwell","Metropolitan District","298","271","336","351","304","375","410","474","482","516","528"
"E08000029","Solihull","Metropolitan District","201","165","151","146","129","120","175","203","189","234","230"
"E08000030","Walsall","Metropolitan District","267","230","281","280","270","299","376","461","464","431","447"
"E08000031","Wolverhampton","Metropolitan District","214","213","208","279","227","275","348","446","394","370","455"
"E10000034","Worcestershire","County","529","471","475","549","389","474","594","687","842","868","798"
"E07000234","Bromsgrove","Non-metropolitan District","71","74","53","59","49","51","75","103","92","86","102"
"E07000235","Malvern Hills","Non-metropolitan District","42","49","41","60","37","50","78","75","91","115","92"
"E07000236","Redditch","Non-metropolitan District","110","73","91","105","77","99","104","139","188","164","158"
"E07000237","Worcester","Non-metropolitan District","105","73","71","101","79","99","116","134","139","177","145"
"E07000238","Wychavon","Non-metropolitan District","110","98","107","87","67","93","95","120","167","170","174"
"E07000239","Wyre Forest","Non-metropolitan District","91","104","112","137","80","82","126","116","165","156","127"
"E12000006","EAST","Region","4,887","4,854","5,178","5,229","4,006","4,953","5,934","7,333","8,256","8,385","8,456"
"E06000055","Bedford","Unitary Authority","108","119","148","139","134","152","189","211","271","238","253"
"E06000056","Central Bedfordshire","Unitary Authority","258","189","246","245","165","188","225","280","322","362","340"
"E06000032","Luton","Unitary Authority","149","177","151","174","119","175","195","222","252","289","315"
"E06000031","Peterborough","Unitary Authority","177","177","264","215","147","230","257","410","362","393","437"
"E06000033","Southend-on-Sea","Unitary Authority","113","163","142","183","127","202","206","227","280","261","290"
"E06000034","Thurrock","Unitary Authority","170","173","192","184","110","127","224","237","265","266","262"
"E10000003","Cambridgeshire","County","448","482","490","471","388","493","552","686","819","855","786"
"E07000008","Cambridge","Non-metropolitan District","36","48","46","47","55","70","74","84","111","143","110"
"E07000009","East Cambridgeshire","Non-metropolitan District","61","57","51","69","59","63","73","75","122","107","112"
"E07000010","Fenland","Non-metropolitan District","95","117","117","122","75","114","125","170","204","185","187"
"E07000011","Huntingdonshire","Non-metropolitan District","169","151","194","162","126","156","181","225","231","260","227"
"E07000012","South Cambridgeshire","Non-metropolitan District","87","109","82","71","73","90","99","132","151","160","150"
"E10000012","Essex","County","1,189","1,161","1,233","1,301","996","1,133","1,459","1,782","2,072","1,986","2,062"
"E07000066","Basildon","Non-metropolitan District","184","145","181","196","174","166","221","269","316","310","300"
"E07000067","Braintree","Non-metropolitan District","151","155","161","166","125","132","171","214","230","239","264"
"E07000068","Brentwood","Non-metropolitan District","35","33","54","41","28","44","45","58","68","81","69"
"E07000069","Castle Point","Non-metropolitan District","75","79","79","56","58","71","76","66","106","90","98"
"E07000070","Chelmsford","Non-metropolitan District","101","103","92","117","78","111","131","169","198","175","180"
"E07000071","Colchester","Non-metropolitan District","167","152","150","183","123","164","224","275","296","280","306"
"E07000072","Epping Forest","Non-metropolitan District","89","72","62","72","71","71","84","119","115","127","144"
"E07000073","Harlow","Non-metropolitan District","112","115","108","130","103","108","149","176","168","168","195"
"E07000074","Maldon","Non-metropolitan District","32","45","30","52","29","45","46","58","64","64","80"
"E07000075","Rochford","Non-metropolitan District","57","66","68","64","40","40","62","76","110","75","89"
"E07000076","Tendring","Non-metropolitan District","140","154","188","170","133","134","191","222","296","270","244"
"E07000077","Uttlesford","Non-metropolitan District","46","42","60","54","34","47","59","80","105","107","93"
"E10000015","Hertfordshire","County","784","779","796","776","645","776","924","1,171","1,295","1,337","1,375"
"E07000095","Broxbourne","Non-metropolitan District","66","70","87","59","60","85","86","103","130","125","141"
"E07000096","Dacorum","Non-metropolitan District","117","110","90","119","84","93","133","189","187","196","221"
"E07000242","East Hertfordshire","Non-metropolitan District","93","84","91","86","72","76","101","125","145","159","155"
"E07000098","Hertsmere","Non-metropolitan District","70","59","57","74","43","76","80","82","107","114","111"
"E07000099","North Hertfordshire","Non-metropolitan District","104","112","96","104","80","89","113","142","161","153","134"
"E07000240","St Albans","Non-metropolitan District","44","52","43","48","44","42","73","84","94","104","90"
"E07000243","Stevenage","Non-metropolitan District","101","97","111","95","78","99","95","132","134","145","168"
"E07000102","Three Rivers","Non-metropolitan District","53","58","54","48","47","62","61","75","82","77","76"
"E07000103","Watford","Non-metropolitan District","69","58","73","58","69","64","85","105","115","105","115"
"E07000241","Welwyn Hatfield","Non-metropolitan District","67","79","94","85","68","90","97","134","140","159","164"
"E10000020","Norfolk","County","776","751","809","879","652","798","955","1,181","1,230","1,312","1,284"
"E07000143","Breckland","Non-metropolitan District","133","139","144","129","109","125","168","211","207","233","225"
"E07000144","Broadland","Non-metropolitan District","86","80","93","73","58","92","94","144","136","157","124"
"E07000145","Great Yarmouth","Non-metropolitan District","117","108","113","150","113","142","139","180","190","170","174"
"E07000146","King's Lynn and West Norfolk","Non-metropolitan District","131","150","160","164","114","144","171","207","218","213","233"
"E07000147","North Norfolk","Non-metropolitan District","84","98","88","119","88","73","95","94","121","139","120"
"E07000148","Norwich","Non-metropolitan District","118","93","114","140","95","123","180","205","175","213","237"
"E07000149","South Norfolk","Non-metropolitan District","107","83","97","104","75","99","108","140","183","187","171"
"E10000029","Suffolk","County","715","683","707","662","523","679","748","926","1,088","1,086","1,052"
"E07000200","Babergh","Non-metropolitan District","69","77","91","70","51","77","99","105","120","101","135"
"E07000244","East Suffolk [note 1]","Non-metropolitan District","233","221","201","184","172","210","235","315","347","357","336"
"E07000202","Ipswich","Non-metropolitan District","141","159","177","144","124","165","159","194","232","216","200"
"E07000203","Mid Suffolk","Non-metropolitan District","80","83","78","90","55","52","72","94","104","121","108"
"E07000245","West Suffolk [note 2]","Non-metropolitan District","192","143","160","174","121","175","183","218","285","291","273"
"E12000007","LONDON","Region","4,216","3,941","4,268","4,869","4,125","5,055","6,172","7,016","7,385","8,283","8,740"
"E09000007","Camden","London Borough","58","72","50","82","67","83","110","121","118","126","144"
"E09000001","City of London","London Borough","2","6","4","7","3","3","2","1","6","3","3"
"E09000012","Hackney","London Borough","111","94","119","135","144","128","164","176","189","250","269"
"E09000013","Hammersmith and Fulham","London Borough","65","67","57","56","56","79","109","142","106","124","126"
"E09000014","Haringey","London Borough","103","103","105","160","113","140","196","201","192","227","262"
"E09000019","Islington","London Borough","85","75","93","110","76","94","143","157","152","192","213"
"E09000020","Kensington and Chelsea","London Borough","42","33","43","42","48","48","53","58","73","90","89"
"E09000022","Lambeth","London Borough","141","126","155","160","147","201","272","267","298","299","348"
"E09000023","Lewisham","London Borough","145","148","160","190","168","225","247","267","315","348","370"
"E09000025","Newham","London Borough","182","165","177","201","179","236","268","360","327","376","435"
"E09000028","Southwark","London Borough","148","136","150","161","139","179","205","247","261","312","347"
"E09000030","Tower Hamlets","London Borough","125","99","120","134","131","227","216","193","251","267","285"
"E09000032","Wandsworth","London Borough","107","134","123","100","119","126","143","191","205","230","232"
"E09000033","Westminster","London Borough","72","60","61","63","60","83","112","108","83","127","132"
"E09000002","Barking and Dagenham","London Borough","179","182","167","210","163","202","237","277","313","327","307"
"E09000003","Barnet","London Borough","161","147","123","166","136","154","204","231","253","316","312"
"E09000004","Bexley","London Borough","190","152","152","190","151","193","223","256","278","271","296"
"E09000005","Brent","London Borough","145","136","114","143","155","178","244","215","198","316","310"
"E09000006","Bromley","London Borough","154","154","165","196","134","196","247","313","311","291","302"
"E09000008","Croydon","London Borough","267","261","271","346","253","289","357","449","428","479","543"
"E09000009","Ealing","London Borough","148","133","179","165","162","190","221","276","292","347","314"
"E09000010","Enfield","London Borough","166","175","175","238","178","208","234","309","306","331","334"
"E09000011","Greenwich","London Borough","158","142","140","187","149","202","270","268","314","363","429"
"E09000015","Harrow","London Borough","96","107","111","111","107","102","120","158","174","196","212"
"E09000016","Havering","London Borough","153","138","191","158","154","183","223","222","291","293","284"
"E09000017","Hillingdon","London Borough","178","161","179","209","168","205","240","271","286","329","306"
"E09000018","Hounslow","London Borough","181","163","193","205","152","194","241","278","280","318","356"
"E09000021","Kingston upon Thames","London Borough","55","69","82","74","62","75","77","120","140","125","154"
"E09000024","Merton","London Borough","91","101","98","130","100","139","153","157","160","186","182"
"E09000026","Redbridge","London Borough","146","112","146","173","119","144","174","190","215","245","258"
"E09000027","Richmond upon Thames","London Borough","59","61","70","71","54","74","84","101","119","105","108"
"E09000029","Sutton","London Borough","169","102","151","143","145","116","179","204","233","215","227"
"E09000031","Waltham Forest","London Borough","134","127","144","153","133","159","204","232","218","259","251"
"E12000008","SOUTH EAST","Region","7,290","6,698","6,863","6,932","5,476","6,823","8,476","10,094","11,545","11,822","11,944"
"E06000036","Bracknell Forest","Unitary Authority","150","122","90","104","66","92","116","138","161","179","180"
"E06000043","Brighton and Hove","Unitary Authority","164","137","159","155","123","188","235","262","330","294","305"
"E06000060","Buckinghamshire [note 3]","Unitary Authority","335","305","318","281","253","298","360","388","476","533","503"
"E06000046","Isle of Wight","Unitary Authority","138","119","126","120","125","159","169","190","248","222","193"
"E06000035","Medway","Unitary Authority","315","311","344","352","233","298","327","468","491","537","565"
"E06000042","Milton Keynes","Unitary Authority","285","266","230","284","212","260","254","339","388","398","449"
"E06000044","Portsmouth","Unitary Authority","208","164","187","202","175","223","243","303","327","378","357"
"E06000038","Reading","Unitary Authority","131","104","102","126","80","131","138","198","236","216","217"
"E06000039","Slough","Unitary Authority","96","113","142","125","121","154","200","205","218","223","220"
"E06000045","Southampton","Unitary Authority","249","223","180","228","179","205","271","332","380","420","387"
"E06000037","West Berkshire","Unitary Authority","149","138","137","114","104","95","129","161","178","169","171"
"E06000040","Windsor and Maidenhead","Unitary Authority","67","77","73","84","68","86","110","125","120","154","135"
"E06000041","Wokingham","Unitary Authority","83","65","83","53","52","56","89","109","119","145","134"
"E10000011","East Sussex","County","521","459","436","430","390","468","580","650","827","778","791"
"E07000061","Eastbourne","Non-metropolitan District","118","105","93","89","106","128","151","189","188","169","170"
"E07000062","Hastings","Non-metropolitan District","94","85","89","109","80","106","137","132","208","200","194"
"E07000063","Lewes","Non-metropolitan District","109","90","82","79","56","65","96","123","134","118","143"
"E07000064","Rother","Non-metropolitan District","89","47","63","64","58","77","87","95","127","134","123"
"E07000065","Wealden","Non-metropolitan District","111","132","109","89","90","92","109","111","170","157","161"
"E10000014","Hampshire","County","1,139","1,062","1,081","1,087","773","989","1,309","1,504","1,866","1,865","1,873"
"E07000084","Basingstoke and Deane","Non-metropolitan District","156","147","137","134","132","134","196","225","270","260","290"
"E07000085","East Hampshire","Non-metropolitan District","78","89","79","67","52","76","89","101","146","156","122"
"E07000086","Eastleigh","Non-metropolitan District","115","106","121","107","77","79","130","145","188","190","214"
"E07000087","Fareham","Non-metropolitan District","105","78","108","77","46","60","95","112","118","113","117"
"E07000088","Gosport","Non-metropolitan District","142","121","99","106","81","101","126","154","171","168","168"
"E07000089","Hart","Non-metropolitan District","65","56","56","50","22","42","64","72","79","106","95"
"E07000090","Havant","Non-metropolitan District","132","127","123","158","64","116","160","192","231","231","193"
"E07000091","New Forest","Non-metropolitan District","121","104","120","129","113","128","153","180","233","194","204"
"E07000092","Rushmoor","Non-metropolitan District","88","80","103","98","82","75","95","85","132","156","153"
"E07000093","Test Valley","Non-metropolitan District","69","89","84","85","63","111","115","140","169","170","200"
"E07000094","Winchester","Non-metropolitan District","68","65","51","76","41","67","86","98","129","121","117"
"E10000016","Kent","County","1,426","1,363","1,418","1,431","1,161","1,325","1,665","2,006","2,241","2,243","2,334"
"E07000105","Ashford","Non-metropolitan District","127","131","97","133","95","103","129","146","191","170","187"
"E07000106","Canterbury","Non-metropolitan District","105","139","103","124","71","111","134","161","173","187","211"
"E07000107","Dartford","Non-metropolitan District","86","79","96","107","67","92","103","110","153","144","179"
"E07000108","Dover","Non-metropolitan District","128","140","132","139","136","125","162","183","221","252","215"
"E07000112","Folkestone and Hythe [note 4]","Non-metropolitan District","116","77","149","86","110","101","131","153","151","158","156"
"E07000109","Gravesham","Non-metropolitan District","94","79","123","110","97","94","125","149","145","161","147"
"E07000110","Maidstone","Non-metropolitan District","175","111","139","136","129","129","179","203","227","226","227"
"E07000111","Sevenoaks","Non-metropolitan District","91","70","73","76","49","79","91","103","103","122","130"
"E07000113","Swale","Non-metropolitan District","167","159","155","180","133","132","177","234","277","269","294"
"E07000114","Thanet","Non-metropolitan District","179","176","159","161","148","200","225","300","337","289","307"
"E07000115","Tonbridge and Malling","Non-metropolitan District","87","120","119","94","74","79","107","158","148","145","169"
"E07000116","Tunbridge Wells","Non-metropolitan District","71","82","73","85","52","80","102","106","115","120","112"
"E10000025","Oxfordshire","County","452","441","411","422","332","469","532","710","765","752","755"
"E07000177","Cherwell","Non-metropolitan District","126","120","105","112","95","99","140","212","224","221","215"
"E07000178","Oxford","Non-metropolitan District","55","75","66","83","66","94","94","140","134","116","144"
"E07000179","South Oxfordshire","Non-metropolitan District","76","65","103","86","53","105","91","137","136","132","151"
"E07000180","Vale of White Horse","Non-metropolitan District","88","89","69","75","61","94","110","101","141","159","130"
"E07000181","West Oxfordshire","Non-metropolitan District","107","92","68","66","57","77","97","120","130","124","115"
"E10000030","Surrey","County","638","583","643","612","484","635","860","933","978","1,091","1,130"
